"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","notes_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"32","2020_Q2",6.93,"Down",146699000,-86771000,59927999.9999999,-62516000,-20167000,-9430000,-32919000,-2588000,-1869000,-961000,-4457000,-5865000,-10322000,3005000,-7317000.00000001,-7317000,-7317000,-7317000,4009000,4009000,6145000,6145000,2894000,21807000,11843000,34855000,203042000,321133000,56307000,264826000,524175000,559030000,25756000,14324000,11432000,228000,32788000,32788000,58772000,72783000,279472000,270501000,352255000,411027000,174215000,-5433000,148003000,148003000,559030000,-7317000,9430000,9325000,-6974000,4464000,-6083000,-6083000,-2132410.96304939,-6083000,-4057000,-7785000,-9403999.99999999,-9403999.99999999,-9403999.99999999,6842000,73011000,-9220000,0.408509999999999,-0.01764,-0.04988,-0.04944,-0.01309,1.26008,0.59305,2.77715,0.1306,-0.28672,-0.28672,5.74856,5.79966,-0.3613,-0.01462,10.08506,-26.66229
"33","2020_Q3",8.66375,"Up",2864000,38719000,41583000,-43360000,-3969000,-1518000,-37873000,-1777000,816000,835000,-961000,-2144000,-3105000,107000,-2998000,-8343000,-8343000,-8343000,101375000,101375000,7604000,7604000,3446000,27936000,17301000,140361000,187928000,322095000,56307000,265788000,510023000,650384000,44020000,29525000,14495000,241000,34836000,34836000,79097000,148233000,282366000,274500000,430599000,509696000,175243000,-13776000,140688000,140688000,650384000,-8343000,9565000,2846000,20436000,24504000,-2620000,-2620000,377574.566541295,-2620000,75482000,75482000,97366000,97366000,97366000,7788000,148474000,25497000,14.5192,-0.62046,-2.91306,-0.0593,-0.01283,-3.05609,1.77454,3.62288,0.22829,-0.33019,-0.33019,0.11335,5.56796,1.00909,-0.0146,6.04764,-26.50478
"34","2020_Q4",11.01046875,"Up",77940000,-24614000,53326000,-51237000,-9948000,-5425000,-35864000,2089000,1270000,-83000,3359000,-3329000,30000,4382000,4412000,4593000,4593000,4593000,17997000,17997000,8457000,8457000,3281000,24523000,13402000,54258000,174551000,322959000,56307000,266652000,497510000,551768000,46508000,28950000,17558000,262000,34174000,34174000,80944000,41586000,283313000,278002000,324899000,405843000,175887000,-9183000,145925000,145925000,551768000,4593000,9432000,-787000,4768000,18006000,-349000,-3213000,6284000,5935000,-106673000,-107319000,-83378000,-83378000,-83378000,11521000,41848000,11558000,0.684190000000001,0.0267999999999998,0.0589300000000001,0.03148,0.00832,2.51644,0.67032,2.78118,0.07584,0.18161,0.18161,3.08181,5.76998,0.45701,0.00975,2.07022,11.41742
"35","2021_Q1",15.265737704918,"Up",87855000,-101742000,-13887000,16281000,-14143000,-5636000,36060000,2394000,1589000,-83000,3983000,-1016000,2967000,-450000,2517000,856000,856000,856000,49778000,49778000,4933000,4933000,2101000,27214000,5753000,84026000,97867000,386850000,56307000,330543000,484717000,568743000,19798000,8325000,11473000,816000,44295000,44295000,64909000,71588000,284465000,282196000,356053000,420962000,176887000,-8327000,147781000,147781000,568743000,856000,9779000,-1e+06,-16337000,-6702000,242000,-6453000,10938000,11180000,33511000,31144000,35622000,35622000,35622000,12173000,72404000,-3472000,-0.15807,0.02725,0.00974,0.00579,0.00151,-4.05607,1.29452,2.84855,0.12731,0.03385,0.03385,3.47409,5.84377,-0.13729,0.0017,1.8587,9.45113
"36","2021_Q2",13.6360317460317,"Down",88215000,-47640000,40575000,-37311000,-13041000,-5088000,-19182000,3264000,-184000,-61000.0000000001,3080000,-698000,2382000,-3077000,-695000,-2089000,-2089000,-2089000,59016000,59016000,8883000,8883000,4164000,13776000,9858000,85839000,153066000,322058000,56307000,265751000,475124000,560963000,29721000,13256000,16465000,1021000,31456000,31456000,62198000,72238000,279672000,275928000,351910000,414108000,178050000,-10416000,146855000,146855000,560963000,-2089000,8926000,631000,2056000,9524000,-3096000,-3096000,3083000,-13000,-270000.000000015,-277000,9234000.00000001,9234000.00000001,9234000.00000001,12190000,73259000,14227000,0.45996,0.037,-0.02368,-0.01422,-0.00372,-6.81044,1.38009,2.81984,0.1306,-0.08249,-0.08249,3.48343,5.799,0.56179,-0.00418,1.16842,4.36366
"37","2021_Q3",12.56234375,"Down",91155000,-7219000,83936000,-81102000,-13948000,-4875000,-62279000,2834000,-231000,-61000,2603000,-764000,1839000,841000,2680000,-83000,-83000,-83000,65830000,65830000,4580000,4580000,2022000,172787000,6780000,245219000,94773000,220397000,56307000,164090000,315170000,560389000,21147000,10264000,10883000,71541000,139751000,139751000,232439000,810000,179127000,176774000,179937000,412376000,179291000,-10499000,148013000,148013000,560389000,-83000,8836000,953000,2286000,11992000,-4666000,3274455.13382541,0,-4666000,-259000,-252000,7074000,7074000,7074000,11670000,72351000,8449000,0.92081,0.03109,-0.00091,-0.00056,-0.00015,-101.79518,1.05498,2.78608,0.12911,-0.00326,-0.00326,3.57526,5.80533,0.33138,-0.00021,0.55878,2.30099
"38","2021_Q4",10.69203125,"Down",88592000,-26984000,61608000,-64564000,-38572000,-5328000,-20664000,-2956000,-298000,-160000,-3254000,-740000,-3994000,763000,-3231000,17262000,17262000,17262000,51978000,51978000,5829000,5829000,2371000,14010000,6022000,74188000,92807000,217954000,56307000,161647000,310761000,384949000,24421000,12100000,12321000,71999.9999999851,18852000,18852000,43345000,787999.999999993,176828000,174753000,177616000,220961000,181928000,6763000,163988000,163988000,384949000,17262000,5328000,-18430000,-5906000,-1746000,68466000,7950006.84510055,-3.72529029846191e-09,68466000,-74670000,-80832000,-14112000,-14112000,-14112000,2372000,860000,64169000,0.69541,-0.03337,0.19485,0.10526,0.04484,3.71736,1.71157,1.34742,0.00223000000000001,0.67668,0.67672,3.47286,6.42844,2.51547,0.05052,-21.55059,17.29296
"39","2022_Q1",9.56967741935484,"Down",89315000,-118419000,-29104000,24349000,8529000,-5283000,21103000,-4755000,-139000,-92000,-4894000,-2335000,-7229000,390000,-6839000,-4720000,-4720000,-4720000,36797000,36797000,6223000,6528982.38276078,2524000,13498000,5815000,59042000,89884000,218187000,56307000,161880000,308071000,367113000,22447000,12342000,10105000,63000,18032000,18032000,40542000,438000,171262000,171033000,171700000,212242000,182963000,2043000,154871000,154871000,367113000,-4720000,5283000,938000,-7215000,-5714000,-78925000,6925305.13382541,74910000,-4015000,-20000,-5452000,-15181000,-15181000,-15181000,528000,501000,-86002000,-0.32586,-0.05324,-0.05285,-0.03048,-0.01286,18.22076,1.45632,1.37044,0.00136,-0.18362,-0.18362,3.47452,6.02477,-3.34564,-0.01445,-68.74242,7.63323
"40","2022_Q2",7.06774193548387,"Down",95609000,-54321000,41288000,-42997000,-15206000,-5114000,-22677000,-1709000,-136000,-85000,-1845000,322000,-1523000,222000,-1301000,-1356000,-1356000,-1356000,37146000,37146000,5748000,5748000,2711000,15275000,7545000,60880000,89534000,212214000,56307000,155907000,301748000,362628000,24262000,14529000,9733000,66000,18511000,18511000,42839000,418000.000000001,165471000,165235000,165889000,208728000,183512000,687000.000000001,153900000,153900000,362628000,-1356000,5114000,-126000,294000,3926000,-3805000,-3805000,203000.000000015,-3601999.99999999,-17000,-181000.000000007,143000,143000,143000,3405000,484000.000000002,-328000,0.43184,-0.01787,-0.01418,-0.00881,-0.00374,0.24189,1.42113,1.35626,0.00133,-0.0540299999999999,-0.05403,3.80978,6.13252,-0.01307,-0.00424,-10.76711,21.45231
"41","2022_Q3",7.1953125,"Up",98487000,-9006000,89481000,-92156000,-16036000,-5232000,-70888000,-2675000,-168000,-85000,-2843000,-2511000,-5354000,-1134000,-6488000,-6221000,-6221000,-6221000,39262000,39262000,5777000,5777000,2527000,14329000,7921000,61895000,85506000,213290000,56307000,156808000,298796000,360691000,25807000,14653000,11154000,69000,18800000,18800000,44676000,397000,166545000,166545000,166942000,211618000,184906000,-5534000,149073000,149073000,360691000,-6221000,5232000,3113000,4646000,6770000,-4640000,-28246258.5563757,0,-4640000,-14000,-14000,2116000,2116000,2116000,2557000,466000,3697000,0.90856,-0.02716,-0.06317,-0.04173,-0.01725,-0.594279999999999,1.38542,1.41956,0.00129,-0.24937,-0.24937,3.9479,5.97567,0.1482,-0.01968,-15.17247,14.50318
