"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"34","2019_Q1",1.31360655737705,"Up",15827000,-9926000,5901000,-5034000,-4775000,-259000,867000,64000,3000,61000,931000,931000,-31000,9e+05,896000,896000,896000,12039000,12039000,18399000,18399000,957000,9322000,3184000,40717000,5976000,5026000,2116000,1164000,1261000,11002000,51719000,15598000,9499000,6099000,1563000,1563000,17161000,506000,335000,506000,17667000,139240000,-102495000,-1209000,34052000,34052000,51719000,9e+05,187000,-299000,6591000,7591000,-178000,-178000,1.13686837721616e-13,7413000,7413000,-72000,7341000,1054000,-5.6843418860808e-14,7498000,0.37284,0.05478,0.05661,0.02631,0.01732,8.3683,2.37265,0.51882,0,0.03707,0.03772,0.65485,1.40891,0.31023,0.02593,-11.4222,-13.88581
"35","2019_Q2",1.96365079365079,"Up",10155000,-6141000,4014000,-4724000,-4458000,-266000,-710000,26000,1000,25000,-684000,-1279000,0,-1279000,-1289000,-1289000,-1289000,7135000,7135000,17787000,17787000,801000,9255000,3104000,34978000,6003000,6264000,2116000,1147000,2588000,12267000,47245000,11239000,6339000,4900000,1718000,1718000,12957000,1305000,1132000,1305000,14262000,139336000,-103762000,-1105000,32983000,32983000,47245000,-1279000,276000,96000,-3983000,-4900000,-224000,-224000,-2000,-5126000,-5126000,222000,-4904000,-434000,0,-4641000,0.39527,-0.06992,-0.12693,-0.03908,-0.02728,3.60047,2.69954,0.4324,0,-0.05332,-0.05332,0.42003,1.36423,-0.19196,-0.03759,16.44009,10.0493
"36","2019_Q3",1.06734375,"Down",8948000,-5050000,3898000,-4660000,-4455000,-205000,-762000,-91000,6000,-97000,-853000,-934000,-2000,-936000,-945000,-945000,-945000,11664000,11664000,14627000,14627000,317000,5138000,2241000,31746000,5832000,6403000,2116000,1070000,2821000,12235000,43981000,9172000,3890000,5282000,1419000,1419000,10591000,1272000,1100000,1272000,11863000,139459000,-104707000,-1148000,32118000,32118000,43981000,-936000,270000,-43000.0000000001,2795000,2077000,-135000,-135000,0,1942000,1942000,-178000,1764000,-492000,-9.09494701772928e-13,2170000,0.43563,-0.08516,-0.10561,-0.02942,-0.02149,-2.2963,2.99745,0.36936,2.71050543121376e-20,-0.03907,-0.03907,0.36995,1.3279,0.0897199999999999,-0.0283,23.70732,15.30709
"37","2019_Q4",0.9625,"Down",6452000,-3563000,2889000,-4174000,-3822000,-352000,-1285000,86000,15000,71000,-1199000,-1275000,-21000,-1296000,-1278000,-1278000,-1278000,12850000,12850000,10124000,10124000,291000,2952000,1834000,26217000,5712000,5950000,2116000,966000,2868000,11662000,37879000,5037000,2618000,2419000,1037000,1037000,6074000,1164000,993000,1164000,7238000,139597000,-105985000,-1485000,30641000,30641000,37879000,-1296000,216000,308000,1129000,355000,55000,560000,0,915000,915000,-502000,413000,-1069000,0,136000,0.44777,-0.19916,-0.19808,-0.04171,-0.03374,-0.10642,4.31627,0.23622,0,-0.05284,-0.05284,0.26678,1.26694,0.00562,-0.04018,12.02058,10
"38","2020_Q1",0.768225806451613,"Down",4912000,-4883000,29000,-4760000,-4456000,-304000,-4731000,382000,19000,-7000,-4349000,-4349000,9000.00000000001,-4340000,-4340000,-4340000,-4340000,10914000,10914000,6473000,6473000,264000,3959000,1879000,21610000,5662000,4334000,2116000,906000,1312000,9996000,31606000,4093000,2117000,1976000,701000,701000,4794000,637000,466000,637000,5431000,139814000,-110325000,-1702000,26175000,26175000,31606000,-4340000,234000,997000,2190000,-919000,-246000,-246000,-126000,-1291000,-1291000,-540000,-1831000,-4497000,-1.45519152283669e-11,-2562000,0.00590000000000007,-0.96315,-0.88355,-0.16581,-0.13732,0.59032,4.50772,0.20749,0,-0.1789,-0.1789,0.20248,1.07898,-0.10561,-0.16187,2.42695,2.30691
"39","2020_Q2",0.692698412698413,"Down",3778000,-2251000,1527000,-4210000,-3886000,-324000,-2683000,234000,8000,226000,-2449000,-2449000,-118000,-2567000,-2567000,-2567000,-2567000,8003000,8003000,5620000,5620000,367000,4569000,1729000,18559000,5500000,4862000,2116000,877000,1869000,10362000,28921000,3339000,1793000,1546000,893000,893000,4232000,1236000,1064000,1236000,5468000,139895000,-112892000,-1933000,23453000,23453000,28921000,-2567000,206000,81000,375000,-1905000,-14000,-14000,-5000,-1924000,-1924000,-441000,-2365000,-2477000,0,-1998000,0.40418,-0.71016,-0.67946,-0.10945,-0.08876,0.77834,4.3854,0.23315,0,-0.10436,-0.10436,0.1536,0.95349,-0.08123,-0.10397,3.23092,2.98286
"40","2020_Q3",0.84875,"Up",4401000,-3799000,602000,-3026000,-2755000,-271000,-2424000,-89000.0000000001,-1000,-88000,-2513000,-2513000,-31000,-2544000,-2544000,-2544000,-2544000,8254000,8254000,5658000,5658000,342000,4118000,1410000,18372000,5437000,4748000,2116000,838000,1794000,10185000,28557000,3725000,1585000,2140000,958000,958000,5367000,1188000,1016000,2060000,7427000,139965000,-115436000,-1781000,21130000,21130000,28557000,-2544000,208000,-1013000,1840000,-1509000,-108000,-108000,1555000,-62000,-62000,183000,121000,-2216000,1556000,-453000,0.13679,-0.55078,-0.57805,-0.1204,-0.08908,0.17807,3.42314,0.35149,0.05449,-0.10313,-0.10313,0.1784,0.85654,-0.01836,-0.10656,3.02256,2.7632
"41","2020_Q4",2.2715625,"Up",8155000,-2249000,5906000,-3469000,-3184000,-285000,2437000,-61000,-6000,-55000,2376000,2376000,0,2376000,2376000,2376000,2376000,9418000,9418000,5989000,5989000,337000,6361000,1678000,22105000,5347000,4073000,2116000,794000,1163000,9420000,31525000,4565000,2963000,1602000,862000,862000,6372000,711000,539000,1322000,7694000,140022000,-113060000,-1513000,23831000,23831000,31525000,2376000,220000,-7000,-2466000,123000,-84000,-84000,0,39000,39000,514000,553000,2657000,1556000,107000,0.72422,0.29884,0.29135,0.0997,0.07537,0.04503,3.46908,0.32286,0.04936,0.09619,0.09619,0.33014,0.96474,0.00433,0.09104,-2.95898,-3.2261
"42","2021_Q1",4.40016393442623,"Up",6216000,-3613000,2603000,-4072000,-3775000,-297000,-1469000,31000,-5000,35999.9999999999,-1438000,-1635000,92000,-1543000,-1543000,-1543000,-1543000,10640000,10640000,6548000,6548000,97000,3788000,2193000,21073000,5220000,3795000,2116000,553000,1126000,9015000,30088000,4452000,2353000,2099000,1079000,1079000,5531000,680000,546000,2236000,7767000,140400000,-114603000,-1294000,22321000,22321000,30088000,-1543000,214000,357000,1556000,584000,-41000,-41000,-268000.000000001,274999.999999999,274999.999999999,521000,795999.999999999,-1255000,1556000,168000,0.41876,-0.23633,-0.24823,-0.0691299999999999,-0.05128,-0.10888,3.80998,0.34797,0.05171,-0.06223,-0.06223,0.25069,0.90019,0.00678,-0.06283,7.23825,6.1838
"43","2021_Q2",2.32396825396825,"Down",5033000,-2675000,2358000,-3515000,-3100000,-415000,-1157000,1555000,-3000,1558000,398000,398000,69229.940056601,398000,398000,398000,398000,35711000,35711000,4601000,4601000,156000,1921000,1771000,42389000,5041000,3613000,2116000,529000,968000,8654000,51043000,3046000,1466000,1580000,847000,847000,3893000,627000,493000,627000,4520000,164449000,-114205000,-1487000,46523000,46523000,51043000,398000,202000,-1487000,662000,-225000,-4000,-4000,23977000,23748000,23748000,-223000,23525000,-955000,0,122590.43642515,0.46851,-0.22988,0.07908,0.00855,0.0078,0.217891209061064,10.88852,0.09716,0,0.01447,0.01435,0.18295,1.69113,0.00527339100301749,0.00844,37.39372,30.86517
"44","2021_Q3",1.894375,"Down",5218000,-2635000,2583000,-3272000,-2957000,-315000,-689000,-79000,-3000,-75999.9999999998,-768000,-768000,-10000,-778000,-778000,-778000,-778000,36194000,36194000,3403000,3403000,194000,1653000,1555000,41444000,5087000,3530000,2116000,516000,898000,8617000,50061000,2739000,1400000,1339000,813000,813000,3552000,611000,477000,611000,4163000,164469000,-114983000,-1354000,45898000,45898000,50061000,-778000,188000,7000,1037000,454000,-233000,-233000,0,221000.000000004,221000.000000004,210000,431000,-501000,-2.3283064365387e-10,313000,0.49502,-0.13204,-0.1491,-0.01695,-0.01554,-0.40231,11.66779,0.0907,0,-0.02828,-0.02805,0.18968,1.66841,0.01138,-0.01673,72.24351,52.5312
"45","2021_Q4",1.7615625,"Down",7559000,-3840000,3719000,-3141000,-2801000,-340000,578000,1e+05,-4000,104000,678000,678000,-27110.3400161717,678000,678000,678000,678000,35161000,35161000,5062000,5062000,128000,1955000,1064000,42306000,5293000,3440000,2116000,475000,849000,8733000,51039000,3183000,1354000,1829000,829000,829000,4012000,583000,449000,583000,4595000,164490000,-114305000,-1507000,46444000,46444000,51039000,678000,181000,-4000,-512000,343000,-347000,-347000,0,-4000,-4000,-236000,-240000,759000,0,912215.232449957,0.492,0.07647,0.08969,0.0146,0.01328,-3.0897665061603,10.54487,0.09894,0,0.0224,0.02235,0.24977,1.53463,0.0306832275705664,0.01442,-46.32543,-60.83218
"46","2022_Q1",1.27870967741935,"Down",6451000,-3213000,3238000,-3459000,-3197000,-262000,-221000,-19000.0000000001,-3000,-16000.0000000001,-240000,-240000,-4000.00000000001,-244000,-244000,-244000,-244000,35893000,35893000,3259000,3259000,348000,1965000,1074000,41465000,4609000,3900000,2116000,448000,1336000,8509000,49974000,2422000,1561000,861000,801000,801000,3223000,551000,412000,551000,3774000,164511000,-114549000,-1528000,46200000,46200000,49974000,-244000,170000,-550000,813000,189000,5e+05,5e+05,-9.31322574615479e-10,689000,689000,43000,732000,-50999.9999999998,0,1266000,0.50194,-0.03426,-0.0378200000000001,-0.00528000000000001,-0.00488,-5.18852,12.86534,0.08169,0,-0.00806000000000001,-0.00804,0.21316,1.52657,0.04183,-0.00522,703.78431,162.41176
"47","2022_Q2",1.29854838709677,"Up",5535000,-3245000,2290000,-3274000,-3054000,-220000,-984000,-14000,-4000,-10000,-998000,-998000,9336.42000808586,-998000,-998000,-998000,-998000,34174000,34174000,4795000,4795000,361000,2126000,1060000,41456000,4554000,3611000,2116000,448000,1047000,8165000,49621000,3239000,2240000,999000,743000,743000,3982000,506000,367000,506000,4488000,164529000,-115547000,-1598000,45133000,45133000,49621000,-998000,108000,-7000,-849000,-1746000,-53000,-53000,-17000,-1816000,-1816000,2000,-1814000,-876000,0,554673.633775022,0.41373,-0.17778,-0.18031,-0.02211,-0.02011,-3.28736393441985,10.41085,0.09944,0,-0.03298,-0.03298,0.18289,1.49131,0.0180799487147168,-0.02187,39.01142,34.72967
"48","2022_Q3",1.2971875,"Down",6368000,-3690000,2678000,-3163000,-2874000,-289000,-485000,138000,4000,134000,-347000,-347000,-9000,-356000,-356000,-356000,-356000,31308000,31308000,6424000,6424000,405000,2846000,856000,40983000,4556000,3579000,2116000,416000,1047000,8135000,49118000,3235000,2348000,887000,795000,795000,4030000,505000,366000,505000,4535000,164557000,-115903000,-1820000,44583000,44583000,49118000,-356000,124000,96000,-1439000,-1575000,-85000,-85000,-5.82076609134674e-11,-1660000,-1660000,-282000,-1942000,-361000,0,-1876000,0.42054,-0.07616,-0.0559,-0.00799,-0.00725,5.26966,10.16948,0.10172,0,-0.01175,-0.01175,0.21019,1.47158,-0.06192,-0.0079,86.72576,64.55258
