"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","stock_based_compensation","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_change_in_long_term_investment","decrease_in_long_term_investment","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repayment_of_long_term_debt_net","repayments_of_long_term_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"29","2017_Q2",62.4901587301587,"Down",3.2039e+10,-3.0449e+10,1.59e+09,-1.042e+09,-9.2e+08,-1.22e+08,5.48e+08,-4.1e+07,-4.4e+07,3e+06,5.07e+08,-1.3e+07,4.94e+08,-1.84e+08,3.1e+08,3.1e+08,3.11e+08,3.11e+08,2.001e+09,2.001e+09,7.708e+09,7.708e+09,1.0917e+10,1.657e+09,1.657e+09,2.2283e+10,1.823e+09,1.03e+10,9.427e+09,8.73e+08,1.2123e+10,3.4406e+10,1.9385e+10,1.7597e+10,1.788e+09,6.16e+08,2.0001e+10,4.916e+09,2.842e+09,7.758e+09,2.7759e+10,2.958e+09,-2.912e+09,6.582e+09,-1.16e+08,6.512e+09,6.647e+09,3.4406e+10,3.1e+08,1.73e+08,3.3e+07,2.3e+07,1e+07,-4.12e+08,-3.06e+08,-2.98e+08,2.79e+08,-8.7e+07,1.04e+08,-1e+08,-1e+08,-1e+08,5.1e+07,5.1e+07,-9e+06,-1.1e+08,-1.49e+08,2.4e+07,-1e+06,-1e+06,-2.59e+08,-2.5e+08,3.4e+07,-3.5e+08,-3.56e+08,-3.56e+08,-3.55e+08,7.21e+08,5.532e+09,3.93e+08,0.04963,0.0171,0.00971,0.04679,0.00904,1.26367,1.11409,4.17617,0.16079,0.97188,0.96584,100.12188,20.35,1.22812,0.46562,0.03062,0.02616,0.4791,4.89736,6.44343
"30","2017_Q3",58.8733333333333,"Down",3.315e+10,-3.1548e+10,1.602e+09,-1.026e+09,-9.11e+08,-1.15e+08,5.76e+08,-5e+07,-4.4e+07,-6e+06,5.26e+08,-3.5e+07,4.91e+08,-1.67e+08,3.24e+08,3.24e+08,3.24e+08,3.24e+08,1.881e+09,1.881e+09,7.533e+09,7.533e+09,1.1915e+10,1.824e+09,1.824e+09,2.3153e+10,1.856e+09,1.0012e+10,9.276e+09,7.36e+08,1.1868e+10,3.5021e+10,2.0411e+10,1.8857e+10,1.554e+09,6.03e+08,2.1014e+10,4.859e+09,2.692e+09,7.551e+09,2.8565e+10,2.672e+09,-7.83e+08,4.604e+09,-1.7e+08,6.323e+09,6.456e+09,3.5021e+10,3.24e+08,1.66e+08,5.8e+07,2.4e+07,3.4e+07,6e+06,1.6e+08,-9.96e+08,1.284e+09,-4.42e+08,5.54e+08,-1.12e+08,-1.13e+08,-1.13e+08,6e+07,6e+07,-2e+06,-1.27e+08,-1.44e+08,-5.1e+07,-58999999.9999999,-5.9e+07,-3.41e+08,-3.5e+08,0,-5.36e+08,-1.09e+08,-1.09e+08,-1.2e+08,7.42e+08,5.462e+09,8.03e+08,0.04833,0.01738,0.00977,0.05019,0.00925,2.4784,1.10179,4.42457,0.15596,1.01887,1.01567,104.24528,19.88365,2.52516,0.45283,0.03203,0.05496,0.44444,4.82615,6.21701
"31","2017_Q4",51.8490476190476,"Down",3.1821e+10,-3.0092e+10,1.729e+09,-1.089e+09,-9.61e+08,-1.28e+08,6.4e+08,-4.1e+07,-4.6e+07,5e+06,5.99e+08,-3.5e+07,5.64e+08,-1.82e+08,3.82e+08,3.82e+08,3.79e+08,3.79e+08,1.368e+09,1.368e+09,7.505e+09,7.505e+09,1.1641e+10,1.769e+09,1.769e+09,2.2283e+10,1.849e+09,1.0042e+10,9.287e+09,7.55e+08,1.1891e+10,3.4174e+10,1.9189e+10,1.7535e+10,1.654e+09,6.07e+08,1.9796e+10,4.854e+09,2.742e+09,7.596e+09,2.7392e+10,2.684e+09,-7.44e+08,4.842e+09,-1.36e+08,6.646e+09,6.782e+09,3.4174e+10,3.82e+08,1.86e+08,4.7e+07,2.6e+07,2.1e+07,-8.13e+08,3.9e+07,2.84e+08,-1.338e+09,2.02e+08,-1.98e+08,-8e+07,-8e+07,-8e+07,5.3e+07,5.3e+07,-1.02e+08,-1.92e+08,-1.42e+08,-8e+06,0,0,2e+07,0,2e+06,-1.28e+08,-5.18e+08,-5.18e+08,-5.13e+08,8.26e+08,5.461e+09,1.15e+08,0.05434,0.02011,0.01191,0.05588,0.01109,0.30343,1.12563,4.03893,0.1598,1.19937,1.19182,100.69937,21.03165,0.36392,0.44937,0.03477,0.00767,0.37467,4.95521,6.39531
"32","2018_Q1",57.9631147540984,"Up",3.2966e+10,-3.1343e+10,1.623e+09,-1.145e+09,-9.83e+08,-1.62e+08,4.78e+08,-6.4e+07,-6.7e+07,3e+06,4.14e+08,-3.9e+07,3.75e+08,-9.7e+07,2.78e+08,2.78e+08,2.74e+08,2.74e+08,6.879e+09,6.879e+09,8.048e+09,8.048e+09,1.1301e+10,2.117e+09,2.117e+09,2.8345e+10,1.879e+09,9.888e+09,9.207e+09,6.81e+08,1.1767e+10,4.0112e+10,1.9894e+10,1.7906e+10,1.988e+09,1.327e+09,2.1221e+10,9.068e+09,2.877e+09,1.1945e+10,3.3166e+10,2.697e+09,-7.31e+08,4.967e+09,-1.25e+08,6.808e+09,6.946e+09,4.0112e+10,2.78e+08,1.92e+08,3.29e+08,2.3e+07,1.5e+07,-74999999.9999998,-5.58e+08,3.37e+08,3.39e+08,-1.93e+08,7.24e+08,-9.2e+07,-9.4e+07,-9.4e+07,1.41e+08,1.41e+08,-1.9e+07,24000000.0000002,-1.42e+08,4.899e+09,4.921e+09,-2.5e+08,6e+06,0,-3e+06,4.76e+09,5.508e+09,5.508e+09,5.511e+09,6.7e+08,1.0395e+10,6e+08,0.04923,0.0145,0.00831,0.03945,0.00683,2.18978,1.33571,4.77483,0.25915,0.87261,0.85358,104.98726,21.68153,1.91083,0.45223,0.02058,0.02968,0.51825,5.24776,7.35565
"33","2018_Q2",48.2634375,"Down",3.2641e+10,-3.0969e+10,1.672e+09,-1.245e+09,-1.062e+09,-1.83e+08,4.27e+08,-8.3e+07,-8.1e+07,-2e+06,3.44e+08,-1.66e+08,1.78e+08,-6.1e+07,1.17e+08,1.17e+08,1.15e+08,1.15e+08,1.181e+09,1.181e+09,8.382e+09,8.382e+09,1.2121e+10,2.041e+09,2.041e+09,2.3725e+10,2.651e+09,1.5564e+10,1.4926e+10,6.38e+08,1.8215e+10,4.194e+10,2.1472e+10,1.9202e+10,2.27e+09,9.35e+08,2.2407e+10,9.068e+09,3.758e+09,1.2826e+10,3.5233e+10,2.674e+09,-8.53e+08,4.943e+09,-8.6e+07,6.678e+09,6.707e+09,4.194e+10,1.17e+08,2.29e+08,4.1e+07,1.7e+07,2.4e+07,7.95e+08,-3.59e+08,-3.81e+08,1.296e+09,2.39e+08,1.182e+09,-6.6e+07,-6.7e+07,-6.7e+07,6.4e+07,6.4e+07,-6.139e+09,-6.144e+09,-1.5e+08,-4.08e+08,-4.02e+08,-4.02e+08,-1.68e+08,-1.5e+08,-1.8e+07,-7.44e+08,-5.706e+09,-5.706e+09,-5.697e+09,6.56e+08,1.0003e+10,1.446e+09,0.05122,0.01308,0.00352,0.01715,0.00274,12.57391,1.05882,5.25317,0.23851,0.36392,0.36164,103.2943,21.13291,4.57595,0.47468,0.01295,0.07065,1.30435,13.44817,20.66042
"34","2018_Q3",43.9877777777778,"Down",3.5186e+10,-3.3325e+10,1.861e+09,-1.316e+09,-1.131e+09,-1.85e+08,5.45e+08,-8.1e+07,-8.7e+07,6e+06,4.64e+08,-1.47e+08,3.17e+08,7.36e+08,1.053e+09,1.053e+09,1.053e+09,1.053e+09,1.249e+09,1.249e+09,7.664e+09,7.664e+09,1.2087e+10,4.188e+09,1.972e+09,2.5188e+10,2.547e+09,1.517e+10,1.4366e+10,8.04e+08,1.7717e+10,4.2905e+10,2.1084e+10,1.9194e+10,1.89e+09,7.02e+08,2.3125e+10,9.057e+09,3.091e+09,1.2148e+10,3.5273e+10,2.694e+09,-8.48e+08,5.848e+09,-9.5e+07,7.599e+09,7.632e+09,4.2905e+10,1.053e+09,2.91e+08,1.2e+08,2.3e+07,9.7e+07,-1.19e+09,-2.58e+08,-6.14e+08,8.11e+08,-1.129e+09,2.74e+08,-1.01e+08,-1.01e+08,-1.01e+08,1e+06,1e+06,-2e+06,-105000000.000002,-1.46e+08,1.63e+08,2e+06,-1e+06,1999999.99999997,0,-1.05e+08,-8.6e+07,82999999.9999981,82999999.9999981,66999999.9999981,8.36e+08,9.759e+09,-1.191e+09,0.05289,0.01549,0.02993,0.13797,0.02454,-1.13105,1.08921,4.62172,0.22746,3.34286,3.33228,111.70159,24.12381,-3.78095,0.46349,0.05854,-0.05815,0.13865,10.17943,15.61468
"35","2018_Q4",45.1952380952381,"Up",3.3633e+10,-3.172e+10,1.913e+09,-1.307e+09,-1.132e+09,-1.75e+08,6.06e+08,-8.1e+07,-8.3e+07,2e+06,5.25e+08,-6.1e+07,4.64e+08,-2.09e+08,2.55e+08,2.55e+08,2.54e+08,2.54e+08,2.175e+09,2.175e+09,7.671e+09,7.671e+09,1.1962e+10,1.705e+09,1.705e+09,2.3513e+10,2.521e+09,1.4997e+10,1.4299e+10,6.98e+08,1.7518e+10,4.1031e+10,2.0876e+10,1.8741e+10,2.135e+09,5.51e+08,2.1427e+10,9.027e+09,3.027e+09,1.2054e+10,3.3481e+10,2.71e+09,-1.126e+09,5.958e+09,-5e+06,7.537e+09,7.55e+09,4.1031e+10,2.55e+08,2.59e+08,4.7e+07,2.4e+07,2.3e+07,1.97e+08,-1.5e+07,1.3e+08,-4.72e+08,5.54e+08,7.58e+08,7.83e+08,-7.8e+07,-7.8e+07,-3.72529029846191e-09,0,-1e+06,7.81e+08,-1.4e+08,-2.05e+08,0,0,-2.87e+08,-3e+08,-5e+06,-6.37e+08,9.02e+08,9.02e+08,9.26e+08,8.65e+08,9.578e+09,2.054e+09,0.05688,0.01802,0.00755,0.03364,0.00619,8.08661,1.09735,4.43457,0.23343,0.8115,0.80635,107.45367,24.07987,6.5623,0.44728,0.01955,0.10191,0.55118,8.55838,12.21617
"36","2019_Q1",43.9040983606557,"Down",3.5349e+10,-3.3614e+10,1.735e+09,-1.435e+09,-1.271e+09,-1.64e+08,3e+08,-1.07e+08,-7.8e+07,-2.9e+07,1.93e+08,-1.38e+09,-1.187e+09,20999999.9999999,-1.166e+09,-1.166e+09,-1.166e+09,-1.166e+09,1.763e+09,1.763e+09,7.8e+09,7.8e+09,1.2308e+10,2.682e+09,1.926e+09,2.4553e+10,2.487e+09,1.2861e+10,1.2229e+10,6.32e+08,1.5398e+10,3.9951e+10,2.1679e+10,1.9677e+10,2.002e+09,1.001e+09,2.2893e+10,8.012e+09,2.975e+09,1.0987e+10,3.388e+10,2.73e+09,-1.224e+09,4.645e+09,-9.2e+07,6.059e+09,6.071e+09,3.9951e+10,-1.166e+09,2.53e+08,3.95e+08,2.1e+07,1.386e+09,1.068e+09,-2.39e+08,-3.46e+08,9.39e+08,7.14e+08,5.5e+08,-1.38e+08,-1.38e+08,-1.38e+08,0,0,0,-1.4e+08,-1.45e+08,-5.51e+08,-5.51e+08,-5.51e+08,-99999999.9999999,-1e+08,-1.3e+07,-8.09e+08,-3.99e+08,-3.99e+08,-4.12e+08,5.53e+08,9.013e+09,1.462e+09,0.04908,0.00849,-0.03299,-0.19206,-0.02919,-1.25386,1.07251,5.58063,0.2256,-3.78571,-3.7492,114.76948,19.67208,4.74675,0.47078,-0.05654,0.08096,-0.12436,13.11031,24.16667
"37","2019_Q2",40.822380952381,"Down",3.5213e+10,-3.3546e+10,1.667e+09,-1.311e+09,-1.155e+09,-1.56e+08,3.56e+08,-8e+07,-7.7e+07,-3e+06,2.76e+08,4.6e+08,7.36e+08,-1.42e+08,5.94e+08,5.94e+08,5.95e+08,5.95e+08,2.045e+09,2.045e+09,8.082e+09,8.082e+09,1.2481e+10,1.837e+09,1.837e+09,2.4445e+10,2.436e+09,1.2736e+10,1.2093e+10,6.43e+08,1.5566e+10,4.0011e+10,2.2055e+10,2.0236e+10,1.819e+09,1.002e+09,2.3057e+10,7.999e+09,3.042e+09,1.1041e+10,3.4098e+10,2.59e+09,-1.678e+09,5.097e+09,-9.6e+07,5.913e+09,5.913e+09,4.0011e+10,5.94e+08,2.45e+08,-4.69e+08,1.9e+07,-4.88e+08,-5e+06,-3.02e+08,-1.78e+08,5.59e+08,-8.4e+07,3.65e+08,6.82e+08,-5.8e+07,-5.8e+07,1e+06,1e+06,0,6.79e+08,-1.5e+08,-1e+06,-1e+06,-1e+06,-6.13e+08,-6e+08,0,-7.64e+08,2.8e+08,2.8e+08,2.82e+08,6.01e+08,9.001e+09,1.42e+09,0.04734,0.01011,0.0169,0.10063,0.01487,2.38655,1.0602,5.76662,0.22496,1.95082,1.94444,115.45246,19.38689,4.65574,0.4918,0.04149,0.07908,0.2521,11.57404,19.53933
"38","2019_Q3",40.81203125,"Down",3.774e+10,-3.601e+10,1.73e+09,-1.222e+09,-1.064e+09,-1.58e+08,5.08e+08,-9.7e+07,-7.5e+07,-2.2e+07,4.11e+08,-4e+06,4.07e+08,-1.27e+08,2.8e+08,2.8e+08,2.8e+08,2.8e+08,2.182e+09,2.182e+09,7.932e+09,7.932e+09,1.3037e+10,1.94e+09,1.94e+09,2.5091e+10,2.376e+09,1.2995e+10,1.1973e+10,1.022e+09,1.5371e+10,4.0462e+10,2.2374e+10,2.061e+10,1.764e+09,1.45e+09,2.3824e+10,7.599e+09,2.996e+09,1.0595e+10,3.4419e+10,2.728e+09,-1.795e+09,5.233e+09,-1.23e+08,6.043e+09,6.043e+09,4.0462e+10,2.8e+08,2.53e+08,48999999.9999998,2.2e+07,26999999.9999998,-2.11e+08,1.11e+08,-5.75e+08,3.82e+08,-1.29e+08,3.71e+08,-5.8e+07,-5.8e+07,-5.8e+07,1e+06,1e+06,-2.1e+07,-84000000.0000001,-1.43e+08,-1e+06,-1e+06,-1e+06,0,0,-1.86264514923096e-09,-1.44e+08,1.43e+08,1.43e+08,1.37e+08,7.61e+08,9.049e+09,6.19e+08,0.04584,0.01346,0.00742,0.04633,0.00692,2.21071,1.05318,5.69568,0.22364,0.93645,0.93333,126.22074,20.2107,2.07023,0.47826,0.02339,0.03422,0.51071,9.02365,13.51772
"39","2019_Q4",46.64953125,"Up",3.5228e+10,-3.3465e+10,1.763e+09,-1.25e+09,-1.096e+09,-1.54e+08,5.13e+08,-6.3e+07,-7.5e+07,1.2e+07,4.5e+08,-8.1e+07,3.69e+08,-7.3e+07,2.96e+08,2.96e+08,2.96e+08,2.96e+08,3.438e+09,3.438e+09,7.879e+09,7.879e+09,1.2622e+10,1.643e+09,1.643e+09,2.5582e+10,2.322e+09,1.2905e+10,1.186e+10,1.045e+09,1.5227e+10,4.0809e+10,2.2468e+10,2.0517e+10,1.951e+09,1.451e+09,2.3919e+10,7.629e+09,3.029e+09,1.0658e+10,3.4577e+10,2.748e+09,-1.793e+09,5.386e+09,-1.11e+08,6.23e+09,6.232e+09,4.0809e+10,2.96e+08,2.61e+08,5.3e+07,2.3e+07,3e+07,8.7e+08,3.5e+07,4.08e+08,-9.5e+07,5.22e+08,1.48e+09,-6.7e+07,-7.6e+07,-7.6e+07,1e+06,999999.999999999,-1.7e+07,-8.4e+07,-1.42e+08,0,0,-1e+06,0,0,0,-1.42e+08,1.254e+09,1.254e+09,1.256e+09,7.74e+08,9.08e+09,1.65e+09,0.05005,0.01456,0.0084,0.0475,0.00725,5.57432,1.06953,5.5483,0.2225,0.98997,0.98667,117.8194,20.83612,5.51839,0.47492,0.02388,0.08996,0.47973,7.28941,10.99805
"40","2020_Q1",47.3396774193548,"Up",3.7353e+10,-3.5679e+10,1.674e+09,-1.318e+09,-1.165e+09,-1.53e+08,3.56e+08,-6.9e+07,-6.7e+07,-2000000.00000001,2.87e+08,-47999999.9999998,2.39e+08,-4.4e+07,1.95e+08,1.95e+08,1.92e+08,1.92e+08,2.531e+09,2.531e+09,8.448e+09,8.448e+09,1.2822e+10,1.946e+09,1.946e+09,2.5747e+10,2.356e+09,1.286e+10,1.1808e+10,1.052e+09,1.5216e+10,4.0963e+10,2.3657e+10,2.1535e+10,2.122e+09,4.52e+08,2.4109e+10,7.579e+09,2.945e+09,1.0524e+10,3.4633e+10,2.763e+09,-1.79e+09,5.434e+09,-7.9e+07,6.328e+09,6.33e+09,4.0963e+10,1.95e+08,2.41e+08,-3.1e+07,1.8e+07,3.4e+07,1.01e+08,-5.95e+08,-2.06e+08,1.018e+09,-1.16e+08,5.06e+08,-1.22e+08,-1.36e+08,-1.36e+08,-1.8e+07,0,-4.4e+07,-1.73e+08,-1.42e+08,-1.1e+09,-1.1e+09,-1.099e+09,1.3e+07,-5.96046447753906e-08,-1.4e+07,-1.243e+09,-9.1e+08,-9.1e+08,-9.07e+08,5.97e+08,8.031e+09,6.2e+08,0.04482,0.00953,0.00514000000000001,0.0303299999999999,0.00468999999999999,3.22917,1.06794,5.47125,0.19605,0.64646,0.644300000000001,125.76768,21.3064,2.08754,0.47811,0.0193,0.03583,0.73958,9.21273,15.44944
"41","2020_Q2",47.4725396825397,"Up",3.7341e+10,-3.5662e+10,1.679e+09,-1.239e+09,-1.107e+09,-1.32e+08,4.4e+08,-8e+07,-6.6e+07,-1.4e+07,3.6e+08,-5.704e+09,-5.344e+09,4.23e+08,-4.921e+09,-4.921e+09,-4.922e+09,-4.922e+09,1.212e+09,1.212e+09,8.19e+09,8.19e+09,1.2458e+10,1.855e+09,1.855e+09,2.3715e+10,2.324e+09,1.314e+10,1.1658e+10,1.482e+09,1.5464e+10,3.9179e+10,2.1918e+10,1.9724e+10,2.194e+09,6.31e+08,2.2549e+10,7.36e+09,8.367e+09,1.5727e+10,3.8276e+10,2.669e+09,-2.039e+09,3.71e+08,-1.01e+08,9e+08,9.03e+08,3.9179e+10,-4.921e+09,2.34e+08,5e+07,2e+07,3e+07,3.984e+09,2.29e+08,3.56e+08,-1.812e+09,5.211e+09,-6.53e+08,-7.2e+07,-7.2e+07,-7.2e+07,59589213.7847985,73544015.7707327,-74841747.590005,-7.3e+07,-1.46e+08,-7.6e+07,-7.4e+07,-7.4e+07,-3.63e+08,-3.5e+08,-10309073.2156366,-5.85e+08,-1.311e+09,-1.311e+09,-1.319e+09,6.74e+08,7.991e+09,4.163e+09,0.04496,0.01178,-0.13181,-5.45072,-0.12563,-0.84579,1.05171,42.3876,0.20396,-16.62838,-16.62838,126.15203,3.04054,14.06419,0.49324,-0.27669,0.24118,-0.02966,10.05786,15.40682
"42","2020_Q3",47.69578125,"Up",3.9735e+10,-3.8021e+10,1.714e+09,-1.296e+09,-1.163e+09,-1.33e+08,4.18e+08,-5.1e+07,-6.3e+07,1.2e+07,3.67e+08,-88000000.000001,2.79e+08,-5.9e+07,220000000.000002,220000000.000001,222000000.000001,222000000.000001,1.659e+09,1.659e+09,8.28e+09,8.28e+09,1.3799e+10,1.998e+09,1.998e+09,2.5736e+10,2.301e+09,1.3005e+10,1.1523e+10,1.482e+09,1.5306e+10,4.1042e+10,2.3698e+10,2.1459e+10,2.239e+09,1.192e+09,2.489e+10,6.742e+09,8.408e+09,1.515e+10,4.004e+10,2.752e+09,-2.099e+09,4.49e+08,-1.03e+08,9.99e+08,1.002e+09,4.1042e+10,220000000.000002,2.3e+08,5e+07,2.1e+07,2.9e+07,1.97e+08,-1.08e+08,-1.347e+09,1.735e+09,-8.3e+07,6.97e+08,-7.5e+07,-7.7e+07,-7.7e+07,-4e+06,1999999.99999994,-97687663.8441558,-7.8e+07,-1.41e+08,-3.6e+07,-7.19e+08,-7.19e+08,13000000.0000001,0,-1.1e+07,-1.75e+08,4.44e+08,4.44e+08,4.47e+08,6.48e+08,7.934e+09,8.29e+08,0.04314,0.01052,0.00559000000000001,0.22156,0.00541,3.73423,1.03399,39.96008,0.19331,0.760270000000006,0.760269999999995,136.07877,3.42123,2.83904,0.48288,0.02093,0.0478,0.63514,9.68364,15.01196
"43","2020_Q4",48.72734375,"Up",3.9157e+10,-3.7272e+10,1.885e+09,-1.295e+09,-1.165e+09,2.65e+08,5.9e+08,-7.9e+07,-6e+07,-1.9e+07,5.11e+08,-3.3e+07,4.78e+08,-1.27e+08,3.51e+08,3.51e+08,3.48e+08,3.48e+08,2.329e+09,2.329e+09,9.019e+09,9.019e+09,1.2808e+10,1.692e+09,1.692e+09,2.5848e+10,2.299e+09,1.3001e+10,1.1378e+10,1.623e+09,1.53e+10,4.1148e+10,2.4163e+10,2.1984e+10,2.179e+09,5.08e+08,2.4671e+10,6.754e+09,8.517e+09,1.5271e+10,3.9942e+10,2.774e+09,-2.086e+09,6.56e+08,-1.41e+08,1.203e+09,1.206e+09,4.1148e+10,3.51e+08,2.24e+08,7e+07,2.7e+07,4.3e+07,1.031e+09,-7.74e+08,9.83e+08,5.25e+08,2.97e+08,1.676e+09,-9e+07,-9e+07,-9e+07,-8e+06,4e+06,-107232097.987342,-9.8e+07,-1.41e+08,-7.78e+08,-9.5e+07,-9.5e+07,0,0,7e+06,-9.12e+08,6.66e+08,6.66e+08,6.7e+08,8.14e+08,7.262e+09,1.882e+09,0.04814,0.01507,0.00889,0.28856,0.00846,5.40805,1.04771,33.1194,0.17648,1.19588,1.19588,134.56014,4.13402,6.46735,0.48454,0.02879,0.1108,0.40517,6.0602,8.36102
"44","2021_Q1",52.305737704918,"Up",3.6689e+10,-3.5099e+10,1.59e+09,-1.266e+09,-1.137e+09,-5.24e+08,3.24e+08,-2.7e+07,-4.9e+07,2.2e+07,2.97e+08,5.18e+08,8.15e+08,-1.58e+08,6.57e+08,6.57e+08,6.56e+08,6.56e+08,2.771e+09,2.771e+09,8.264e+09,8.264e+09,1.3198e+10,1.707e+09,1.707e+09,2.594e+10,2.366e+09,1.246e+10,11268308270.7058,1.185e+09,1.4826e+10,4.0766e+10,2.3605e+10,2.1374e+10,2.231e+09,1e+07,2.3615e+10,6.765e+09,8.594e+09,1.5359e+10,3.8974e+10,2.789e+09,-2.066e+09,1.17e+09,-1.04e+08,1.789e+09,1.792e+09,4.0766e+10,6.57e+08,2.25e+08,-1.491e+09,2.2e+07,-5.52e+08,8.49e+08,7.35e+08,-400999999.999999,-6.1e+08,1.125e+09,2.4e+08,-1.36e+08,-1.36e+08,-1.36e+08,8.78e+08,8.8e+08,-98169399.2444515,7.42e+08,-1.41e+08,-5.11e+08,-5.11e+08,8.88e+08,0,0,1.24e+08,-5.28e+08,4.54e+08,4.54e+08,4.42e+08,5.49e+08,6.775e+09,1.42e+09,0.04334,0.00883,0.01788,0.36607,0.01609,2.16463,1.09845,21.74888,0.16619,2.23891,2.23891,125.21843,6.1058,4.84642,0.48123,0.04644,0.08275,0.21494,7.29326,12.35802
"45","2021_Q2",55.8119047619048,"Up",3.9065e+10,-3.735e+10,1.715e+09,-1.255e+09,-1.137e+09,-1.18e+08,4.6e+08,-3.8e+07,-4.5e+07,7e+06,4.22e+08,-1.085e+09,-6.63e+08,4.1e+08,-2.53e+08,-2.53e+08,-2.53e+08,-2.53e+08,2.746e+09,2.746e+09,8.637e+09,8.637e+09,1.3439e+10,2.208e+09,2.208e+09,2.703e+10,2.369e+09,1.2328e+10,1.1186e+10,1.142e+09,1.4697e+10,4.1727e+10,2.4004e+10,2.1688e+10,2.316e+09,1.2e+07,2.4016e+10,6.728e+09,9.558e+09,1.6286e+10,4.0302e+10,2.76e+09,-2.022e+09,7.71e+08,-8.7e+07,1.422e+09,1.425e+09,4.1727e+10,-2.53e+08,2.05e+08,5.3e+07,2.8e+07,2.5e+07,2.65e+08,-3.88e+08,-2.45e+08,3.13e+08,5.85e+08,2.7e+08,-7.8e+07,-7.8e+07,-7.8e+07,-1.6e+07,1e+06,-65193916.8403746,-9.4e+07,-1.46e+08,-4e+07,-4e+07,-4e+07,-125775993.303516,-128404785.33645,-1.2e+07,-1.98e+08,-2.2e+07,-2.2e+07,-2.5e+07,6.65e+08,6.74e+09,4.42e+08,0.0439,0.01178,-0.00648,-0.17754,-0.00606,-1.74704,1.1255,28.28211,0.16153,-0.86348,-0.86348,133.32765,4.85324,1.50853,0.49829,-0.00604,0.02494,-0.57708,6.00602,8.68261
"46","2021_Q3",52.26390625,"Down",4.1541e+10,-3.9765e+10,1.776e+09,-1.263e+09,-1.147e+09,-1.16e+08,5.13e+08,-3.4e+07,-4.6e+07,1.2e+07,4.79e+08,-5.2e+07,4.27e+08,2.03e+08,6.3e+08,6.3e+08,6.31e+08,6.31e+08,3.737e+09,3.737e+09,8.728e+09,8.728e+09,1.4443e+10,3.205e+09,3.205e+09,3.0113e+10,2.386e+09,1.222e+10,1.1102e+10,1.118e+09,1.4606e+10,4.4719e+10,2.5737e+10,2.3235e+10,2.502e+09,1.3e+07,2.575e+10,6.72e+09,1.0274e+10,1.6994e+10,4.2744e+10,2.778e+09,-2.009e+09,1.255e+09,-5.3e+07,1.971e+09,1.975e+09,4.4719e+10,6.3e+08,1.99e+08,4.3e+07,2.3e+07,19999999.9999999,3.45e+08,-1.11e+08,-1.011e+09,1.548e+09,-8.1e+07,1.217e+09,-9.6e+07,-9.6e+07,-9.6e+07,2e+06,3000000.00000012,-3000000.00000005,-97000000.0000001,-1.43e+08,-9e+06,-9e+06,-9e+06,-275562378.640957,-277133431.86774,6000000.00000001,-1.46e+08,9.74e+08,9.74e+08,9.91e+08,7.12e+08,6.733e+09,7.58e+08,0.04275,0.01235,0.01519,0.31949,0.01411,1.20127,1.16944,21.64253,0.15056,2.15358,2.12458,141.77816,6.72696,2.58703,0.48805,0.04078,0.03993,0.22662,4.20787,5.84016
