"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","foreign_exchange_gain_loss","pretax_income_loss_adj","abnormal_gains_losses","other_abnormal_items","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","deferred_tax_assets_long_term","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","short_term_borrowings","current_portion_of_long_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","stock_based_compensation","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repayment_of_short_term_debt_net","cash_from_repayment_of_long_term_debt_net","repayments_of_long_term_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"21","2015_Q2",40.2193650793651,"Down",2139100000,-1719900000,419200000,-100700000,-100400000,-3e+05,318500000,13800000,-31300000,45100000,332300000,-5600000,-5600000,326700000,-30700000,2.96e+08,294600000,2e+05,294800000,294800000,2517400000,2517400000,661400000,661400000,1.523e+09,549800000,391400000,5251600000,8899400000,3480900000,1686700000,383500000,862100000,548600000,12380300000,17631900000,1569300000,706800000,862500000,51400000,10400000,4.1e+07,1620700000,3775200000,2029300000,901200000,1128100000,5804500000,7425200000,16700000,3500000,13200000,11258500000,-1083200000,1.0192e+10,14500000,10206500000,17631700000,294600000,182800000,31800000,4600000,-31500000,58700000,219700000,8e+06,108500000,157400000,-54200000,728900000,-229500000,-229500000,-229500000,49600000,-182900000,-91400000,-3900000,-3300000,-6e+05,-6e+05,-73600000,-300400000,245600000,245600000,-102800000,142800000,501300000,3826600000,522200000,0.19597,0.14889,0.13781,0.02888,0.01672,1.77137,3.24033,0.7275,0.21703,0.80546,0.8013,5.84454,27.84699,1.42678,0.24973,0.02404,0.03251,0.31004,2.61161,4.11052
"22","2015_Q3",36.80421875,"Down",2487500000,-1879600000,607900000,-97900000,-89400000,-8499999.99999999,5.1e+08,-39500000,-23500000,-1.6e+07,470500000,-7800000,-7800000,462700000,-72600000,390100000,3.91e+08,-4e+05,390600000,390600000,2209900000,2209900000,626600000,626600000,1612200000,651400000,503200000,5100100000,9041200000,3635600000,1709600000,4.23e+08,930500000,572500000,12676800000,17776900000,1798900000,858200000,940700000,84100000,2.7e+07,57100000,1.883e+09,3761800000,1980300000,968800000,1011500000,5742100000,7625100000,12700000,3500000,9200000,11065400000,-941400000,10136700000,1.5e+07,10151700000,17776800000,3.91e+08,191100000,71300000,29300000,3.2e+07,1e+07,-50100000,37300000,-77900000,83400000,-92900000,603300000,-227400000,-227400000,-227400000,5999999.99999997,-343400000,-98100000,1.9e+07,1.7e+07,2e+06,-1800000,-19500000,-597400000,-337500000,-337500000,3e+07,-307500000,701100000,3845900000,496200000,0.24438,0.20503,0.15703,0.03848,0.02197,1.27035,2.7085,0.75112,0.21634,1.0811,1.07514,6.88486,28.05619,1.37337,0.27152,0.03059,0.03106,0.25115,2.33348,3.20784
"23","2015_Q4",28.69515625,"Down",2105500000,-1770200000,335300000,-89300000,-76500000,-12800000,2.46e+08,-72700000,-24200000,-48500000,173300000,-1100000,-1100000,172200000,-10100000,162100000,160700000,-7e+05,1.6e+08,1.6e+08,1284900000,1284900000,675100000,675100000,1549500000,753500000,578500000,4.263e+09,8.734e+09,4120900000,1.625e+09,423600000,876100000,1196200000,12854900000,17117900000,1811300000,6.57e+08,1154300000,60200000,1.8e+07,42200000,1871500000,3738100000,1881300000,895300000,9.86e+08,5619400000,7490900000,4400000,3500000,9e+05,11058500000,-1448700000,9614200000,12700000,9626900000,17117800000,160700000,180900000,-6600000,2e+06,-55700000,47100000,-146500000,-104400000,-73400000,1.28e+08,-96700000,188500000,-245300000,-245300000,-245300000,-577300000,-822600000,-98300000,-62100000,-8200000,-53900000,-5.6e+07,103200000,-1.31e+08,-765100000,-765100000,-159900000,-9.25e+08,426900000,3798300000,45200000,0.15925,0.11684,0.07599,0.01662,0.00935,0.2825,2.27785,0.77812,0.22189,0.45159,0.44944,5.9427,27.13576,0.12758,0.27745,0.01688,0.00295,0.61438,5.88756,10.21707
"24","2016_Q1",23.6944262295082,"Down",2163200000,-1807700000,355500000,-151200000,-94900000,-56300000,204300000,-59900000,-18800000,-41100000,144400000,-2700000,-2700000,141700000,14300000,1.56e+08,155500000,-5e+05,1.55e+08,1.55e+08,1276300000,1276300000,6.75e+08,6.75e+08,1563500000,628600000,628600000,4143400000,8.721e+09,4525100000,1595300000,691900000,980500000,1257400000,13246100000,17389500000,1979800000,520600000,1459200000,67200000,25500000,41700000,2.047e+09,3769500000,2.008e+09,977400000,1030600000,5777500000,7824500000,9900000,3500000,6400000,11014800000,-1492900000,9531800000,33200000,9.565e+09,17389500000,155500000,1.85e+08,133400000,5400000,102600000,25400000,43700000,-1600000,-10900000,-106800000,1.63e+08,517600000,-298100000,-298100000,-298100000,625100000,230500000,-96900000,4600000,7e+06,-2399999.99999999,-1199999.99999999,233100000,135400000,883500000,883500000,-31400000,852100000,389300000,3836700000,120600000,0.16434,0.09444,0.07165,0.0162,0.00891,0.77806,2.02413,0.81803,0.22063,0.43984,0.43785,6.13848,27.04824,0.34222,0.27497,0.01635,0.00783,0.62516,6.57693,12.53255
"25","2016_Q2",24.32703125,"Up",1.674e+09,-1437300000,236700000,-73300000,-89800000,16500000,163400000,61700000,-26100000,87800000,225100000,6e+05,6e+05,225700000,28700000,254400000,256900000,-1e+05,256800000,256800000,1057700000,1057700000,677200000,677200000,1.566e+09,656200000,656200000,3957100000,9020400000,4649600000,1661100000,697600000,973700000,1317200000,1.367e+10,17627100000,1730500000,517700000,1212800000,83800000,41800000,4.2e+07,1814300000,3.774e+09,2007800000,1065900000,941900000,5781800000,7596100000,16300000,3500000,12800000,11206100000,-1225600000,9996800000,34200000,1.0031e+10,17627100000,256900000,183700000,-67100000,16900000,-53400000,-30600000,-107600000,17100000,34300000,-137700000,-21300000,265900000,-235600000,-235600000,-235600000,3e+05,-273800000,-96200000,14900000,16100000,-1200000,-1200000,-124500000,-2.8e+08,-287900000,-287900000,69700000,-218200000,347100000,3857800000,-24800000,0.1414,0.09761,0.15341,0.0256,0.01457,-0.09657,2.18106,0.75726,0.21886,0.731,0.72707,4.76516,28.45659,-0.07059,0.27384,0.02221,-0.00156,0.37461,8.06713,17.13647
"26","2016_Q3",25.24,"Up",1674500000,-1520500000,1.54e+08,-141700000,-72900000,-68800000,12300000,-18800000,-33600000,14800000,-6500000,-800000.000000001,-8e+05,-7300000,9800000,2500000,-1.1e+07,9e+05,-10100000,-10100000,1059300000,1059300000,399600000,399600000,1702100000,631500000,631500000,3792500000,9197500000,4694800000,1667500000,726500000,1043700000,1257100000,13892300000,17684800000,1806400000,622600000,1183800000,96300000,5.4e+07,42300000,1902700000,3772600000,2015300000,1069600000,945700000,5787900000,7690600000,2.3e+07,3500000,19500000,1.1103e+10,-1168300000,9957700000,36500000,9994200000,17684800000,-1.1e+07,189300000,28700000,5400000,-16400000,39700000,376500000,239900000,-70900000,148800000,58700000,583500000,-201700000,-201700000,-201700000,2399999.99999988,-350800000,-96200000,12300000,12900000,-6e+05,-600000.000000007,-160400000,-242500000,-9800000,-9800000,17100000,7300000,201600000,3868900000,366600000,0.09197,0.00735,-0.00602999999999998,-0.00101,-0.00057,-36.29703,1.99322,0.76951,0.21877,-0.02887,-0.0288699999999998,4.78702,28.46684,1.04803,0.27501,0.00542,0.02309,-9.52475,13.93651,228.42276
"27","2016_Q4",25.1103174603175,"Down",1952200000,-1738800000,213400000,-143700000,-66900000,-76800000,69700000,-57900000,-25500000,-32400000,11800000,5e+05,5e+05,12300000,30200000,42500000,40700000,-1500000,39200000,39200000,653500000,653500000,512400000,512400000,1500100000,783200000,783200000,3449200000,9230600000,4583400000,1651600000,7.89e+08,1064300000,1078500000,1.3814e+10,17263200000,1.513e+09,486900000,1026100000,426400000,53600000,372800000,1939400000,3450300000,1999200000,1061500000,937700000,5449500000,7388900000,22800000,3500000,19300000,11045400000,-1231500000,9836700000,37600000,9874300000,17263200000,40700000,172700000,-2.8e+07,4200000,-58100000,25900000,-97100000,-134900000,195100000,-173800000,16500000,88300000,-196400000,-196400000,-196400000,6e+05,-975300000,-96400000,-4.2e+07,-8e+05,-41200000,-41200000,29400000,-111600000,-998600000,-998600000,-8e+06,-1006600000,242400000,3876700000,-81300000,0.10931,0.0357,0.02008,0.00397,0.00227,-2.07398,1.77849,0.7483,0.22456,0.11197,0.11152,5.57612,28.09683,-0.23222,0.27535,0.00861,-0.00515999999999999,2.45918,13.29703,46.2439
"28","2017_Q1",29.161935483871,"Up",1862100000,-1656200000,205900000,-132300000,-74600000,-57700000,73600000,-57300000,-27200000,-30100000,16300000,-4600000,-4600000,11700000,5500000,17200000,14600000,-2700000,11900000,11900000,673100000,673100000,627800000,627800000,1391100000,365700000,365700000,3057700000,9198500000,4584500000,1630900000,836400000,1063100000,1054100000,1.3783e+10,16840700000,1437900000,471800000,966100000,38900000,1e+05,38800000,1476800000,3779300000,1962100000,1009200000,952900000,5741400000,7218200000,33400000,3500000,29900000,10863400000,-1312200000,9584600000,37900000,9622500000,16840700000,14600000,165500000,5900000,4e+06,-54700000,56600000,136500000,-118600000,104500000,-81200000,231800000,322500000,-209400000,-209400000,-209400000,1.6e+07,-266100000,-96300000,-58600000,-52500000,-6100000,-726100000,-99600000,-254500000,-198100000,-198100000,-1e+07,-208100000,239100000,3818200000,160700000,0.11057,0.03953,0.00639,0.00124,0.00071,13.5042,2.07049,0.75014,0.22672,0.03396,0.03378,5.31421,27.35331,0.45862,0.27483,0.00702,0.01043,8.09244,13.15391,42.73234
"29","2017_Q2",23.3692063492063,"Down",1578100000,-1448500000,129600000,-99500000,-80900000,-18600000,30100000,-16900000,-25800000,8900000,13200000,-4500000,-4500000,8700000,-9700000,-1e+06,-1100000,2e+05,-9e+05,-9e+05,675300000,675300000,577800000,577800000,1533700000,429400000,429400000,3216200000,9.295e+09,4585200000,1639100000,809700000,1063600000,1072800000,13880200000,17096400000,1468400000,536700000,931700000,1.65e+08,124100000,40900000,1633400000,3786600000,2015900000,1048300000,967600000,5802500000,7435900000,31100000,3500000,27600000,1.0861e+10,-1270300000,9621800000,38700000,9660500000,17096400000,-1100000,158800000,92300000,15900000,59100000,17300000,-1.04e+08,45700000,-133300000,38600000,-5.5e+07,1.46e+08,-223800000,-223800000,-223800000,5e+06,-245600000,-96400000,128200000,128500000,-3e+05,-1600000,70400000,102200000,2600000,2600000,3e+06,5600000,188900000,3951600000,-129200000,0.08212,0.01907,-0.00057,-8.99999999999996e-05,-4.99999999999998e-05,143.55556,1.96902,0.76972,0.23114,-0.00257,-0.00257,4.50243,27.45164,-0.36862,0.27504,0.00611,-0.00827,-107.11111,17.3441,108.84718
"30","2017_Q3",20.7480952380952,"Down",1754600000,-1562300000,192300000,-97700000,-71200000,-26500000,94600000,-27300000,-36400000,9100000,67300000,1400000,1400000,68700000,22600000,91300000,97100000,2e+05,97300000,97300000,660600000,660600000,5.48e+08,5.48e+08,1683500000,445100000,445100000,3337200000,9434900000,4672300000,1.661e+09,781700000,1127700000,1101900000,14107200000,17444400000,1764200000,651100000,1113100000,107800000,65300000,42500000,1.872e+09,3799700000,1978100000,1021400000,956700000,5777800000,7649800000,37800000,3500000,34300000,10905400000,-1187100000,9756100000,38500000,9794600000,17444400000,97100000,165900000,-23100000,5e+06,-25100000,-3e+06,2899999.99999994,5700000,-172400000,180600000,-1.1e+07,242800000,-168500000,-168500000,-168500000,13800000,-1.77e+08,-52700000,-51900000,-50300000,-1600000.00000001,-1800000,19300000,-85300000,-19500000,-19500000,1500000,-1.8e+07,260500000,3907500000,72300000,0.1096,0.05392,0.05545,0.00993,0.00558,0.743060000000014,1.78269,0.78102,0.224,0.27721,0.27642,4.99886,27.79516,0.20598,0.15014,0.00957,0.00461,0.541619999999995,12.46411,34.32241
"31","2017_Q4",22.142380952381,"Up",1984800000,-1.744e+09,240800000,-26900000,-66100000,39200000,213900000,22400000,-36200000,58600000,236300000,1100000,1100000,237400000,-17600000,219800000,229600000,-2100000,227500000,227500000,685700000,685700000,592300000,592300000,1666200000,431300000,431300000,3375500000,9696300000,4731300000,1703400000,765100000,1138900000,1123900000,14427600000,17803100000,1.705e+09,547900000,1157100000,192800000,58600000,134200000,1897800000,3722300000,2027500000,1072600000,954900000,5749800000,7647600000,43300000,3500000,39800000,11079800000,-1008900000,10114200000,41300000,10155500000,17803100000,229600000,168800000,-30700000,3600000,19900000,-54200000,-232200000,-58200000,51100000,-257600000,32500000,135500000,-128500000,-197600000,-197600000,-18500000,-220700000,-52700000,3900000,6700000,-2800000,-2800000,143100000,94300000,9100000,9100000,18300000,27400000,382700000,3915100000,39600000,0.12132,0.10777,0.11462,0.0224,0.01278,0.17407,1.77864,0.75305,0.21991,0.64796,0.64594,5.65309,28.80718,0.11279,0.1501,0.01741,0.00246,0.23165,8.43846,15.09771
"32","2018_Q1",25.3760655737705,"Up",1986525070.76718,-1738010479.24576,280100000,-1.53e+08,-83100000,-69900000,127100000,-66400000,-39700000,-26700000,60700000,-1500000,-1500000,59200000,-490200000,-4.31e+08,-429800000,-1300000,-431100000,-431100000,2153500000,2153500000,642600000,642600000,1547200000,273200000,273200000,4616500000,9711700000,4305200000,1693600000,254600000,1089500000,1267500000,14016900000,18633400000,1681500000,540900000,1140600000,349600000,6100000,343500000,2031100000,4878100000,2085100000,1117300000,967800000,6963200000,8994300000,4.8e+07,3500000,44500000,10631100000,-1061600000,9617500000,21600000,9639100000,18633400000,-429800000,1.72e+08,652600000,3500000,558500000,90600000,16400000,-84400000,98900000,-27300000.0000001,29200000,411200000,-299300000,-230200000,-230200000,-18500000,-24499999.9999999,-8800000,1.099e+09,-54900000,1153900000,-9.6e+07,-599999.99999997,1089600000,1476300000,1476300000,-8300000,1.468e+09,299100000,5227700000,506400000,0.123830553157503,0.0771290699598412,0.0805497715784761,-0.04472,-0.02314,-1.17467,2.27291,0.93311,0.28056,-1.22821,-1.2356,5.44373495550957,27.40028,1.44274,0.02507,-0.02491,0.02987,-0.0204100000000002,10.27817,24.18725
"33","2018_Q2",26.2075,"Up",1933700000,-1691600000,242100000,-161400000,-93600000,-67800000,80700000,-81600000,-49400000,-32200000,-9e+05,-5600000,-5600000,-6500000,49900000,43400000,40100000,2200000,42300000,42300000,659400000,659400000,708400000,708400000,2.059e+09,414600000,414600000,3841400000,11865300000,4745600000,1760600000,495900000,836300000,1652800000,16610900000,20452300000,1897900000,679400000,1218500000,322600000,71800000,250800000,2220500000,4823100000,2.729e+09,1178500000,1550500000,7552100000,9772600000,9.81e+08,3800000,977200000,10675600000,-1201600000,1.0455e+10,224700000,10679700000,20452300000,40100000,217500000,-39300000,15700000,-63200000,8200000,-289300000,62500000,-147600000,-74900000,-129300000,-7.1e+07,-222100000,-223300000,-223300000,-3300000,-1220400000,-9600000,-141600000,65300000,-206900000,-206900000,-62100000,-213300000,-1504700000,-1504700000,13400000,-1491300000,298200000,5145700000,-263100000,0.1252,0.04173,0.02188,0.00395999999999998,0.00207000000000001,-6.21986,1.72997,0.91506,0.2516,0.11056,0.11013,5.0541,27.32619,-0.68766,0.02509,0.0028,-0.01418,0.22695,15.0446,55.59232
"34","2018_Q3",29.1157142857143,"Up",2.205e+09,-1910400000,294600000,-98300000,-79300000,-1.9e+07,196300000,-123800000,-45100000,-78700000,72500000,-2400000,-2400000,70100000,-3700000,66400000,68099999.9999999,-2e+05,67900000,67900000,1035300000,1035300000,624900000,624900000,2168300000,341900000,341900000,4170400000,11559600000,4.668e+09,1.738e+09,515700000,837800000,1576500000,16227600000,2.0398e+10,2313500000,774800000,1538700000,281400000,20200000,261200000,2594900000,4736500000,2650900000,1163600000,1487300000,7387400000,9982300000,985500000,3800000,981700000,10734100000,-1523200000,10196400000,219300000,10415700000,2.0398e+10,68099999.9999999,216800000,-20100000,7e+06,-32400000,5300000.00000001,542200000,69700000,-2.22e+08,5.92e+08,102500000,8.07e+08,-202300000,-201100000,-201100000,7700000,-196700000,-9600000,-114800000,-4.7e+07,-67800000.0000001,-1.07e+08,-45500000,-169900000,440400000,440400000,-6.5e+07,375400000,413100000,5017900000,756700000,0.13361,0.08902,0.03079,0.00652,0.00333,11.14433,1.60715,0.95839,0.246,0.17618,0.17536,5.72133,26.45667,1.96341,0.02491,0.00429,0.04184,0.14138,9.64076,20.28833
"35","2018_Q4",31.8242857142857,"Up",2928100000,-2432600000,495500000,-102200000,-78500000,-23700000,393300000,-43100000,-40900000,-2200000,350200000,-7600000,-7600000,342600000,-90600000,2.52e+08,249700000,-2200000,247500000,247500000,1029900000,1029900000,834900000,834900000,1957100000,356100000,356100000,4.178e+09,11891600000,4345100000,1.753e+09,307700000,828500000,1455900000,16236700000,20414700000,2415500000,839300000,1576200000,86900000,25700000,61200000,2502400000,4523100000,2735900000,1195300000,1540600000,7.259e+09,9761400000,987600000,3800000,983800000,10971700000,-1517700000,10441600000,211700000,10653300000,20414700000,249700000,214500000,109100000,3e+06,83300000,22800000,-49500000,-163800000,171500000,-50600000,-6600000,523800000,-231700000,-2.41e+08,-2.41e+08,-4700000,-243800000,-9700000,-401600000,6800000,-408400000,-408500000,114900000,-296400000,-16400000,-16400000,-11200000,-27600000,607800000,4.61e+09,417200000,0.16922,0.13432,0.08453,0.02323,0.01212,1.68566,1.6696,0.91628,0.22582,0.64202,0.63871,7.59559,27.08586,1.08223,0.02516,0.01429,0.02318,0.03919,5.89026,9.10271999999999
"36","2019_Q1",29.5145901639344,"Down",2520500000,-2054300000,466200000,-208200000,-89700000,-118500000,2.58e+08,-109500000,-30700000,-78800000,148500000,-3200000.00000001,-3200000,145300000,-32700000,112600000,1.12e+08,3e+05,112300000,112300000,847700000,847700000,838500000,838500000,2270200000,280600000,280600000,4.237e+09,11746500000,4135700000,1707500000,343800000,826600000,1257800000,15882200000,20119200000,2446200000,780900000,1665300000,37500000,11500000,2.6e+07,2483700000,4491500000,2539300000,1080600000,1458700000,7030800000,9514500000,989700000,3800000,985900000,11064700000,-1657100000,10397300000,207400000,10604700000,20119200000,1.12e+08,235100000,2.8e+07,1800000,-89500000,115700000,-225100000,37500000,-299300000,-124500000,161200000,1.5e+08,-298400000,-289100000,-289100000,-1.86264514923096e-09,-283800000,-9600000,-94900000,-14400000,-80500000,-80500000,59300000,-45200000,-1.79e+08,-1.79e+08,-899999.999999993,-179900000,493100000,4.529e+09,2300000,0.18496,0.10236,0.04455,0.01059,0.00558,0.0204800000000014,1.70592,0.8972,0.22511,0.29116,0.29033,6.53487,26.95696,0.00595999999999997,0.02489,0.0069,0.00013,0.08549,7.46563,14.2686
"37","2019_Q2",23.6511111111111,"Down",2181260754.83773,-1809468131.16117,309500000,-107400000,-93500000,-13900000,202100000,-24400000,-4.7e+07,22600000,177700000,-1100000,-1100000,176600000,-46600000,1.3e+08,129900000,9e+05,130800000,130800000,384600000,384600000,7.92e+08,7.92e+08,2572100000,397600000,397600000,4146300000,11942700000,4356300000,1726800000,345900000,823300000,1460300000,1.6299e+10,20445300000,2188900000,781600000,1407300000,208300000,167500000,40800000,2397200000,4.533e+09,2707600000,1122400000,1585200000,7240600000,9637800000,1e+09,3800000,996200000,11196800000,-1595600000,10601200000,206300000,10807500000,20445300000,129900000,218100000,-3e+06,15300000,5300000,-23600000,-520500000,5.9e+07,-304500000,-186700000,-88300000,-175500000,-313900000,-313900000,-313900000,-12700000,-328900000,-9600000,142200000,152300000,-10100000,-10100000,-110300000,22300000,-482100000,-482100000,13500000,-468600000,420200000,4741300000,-367600000,0.172432450722008,0.056887714990035,-0.147239453600067,0.0121,0.0064,-2.8104,1.72964,0.89177,0.2319,0.3393,0.33764,5.67618825625265,27.49987,-0.95357,0.0249,0.00769,-0.02014,0.07339,10.36816,21.55715
"38","2019_Q3",21.15390625,"Down",2155362331.28005,-1875168663.0544,227200000,-99700000,-78100000,-21600000,127500000,-25200000,-4.6e+07,20800000,102300000,-373100000,-3700000,-270800000,51700000,-219100000,-230300000,-2800000,-233100000,-233100000,401900000,401900000,711700000,711700000,2713900000,401300000,401300000,4228800000,11982900000,4432200000,1745200000,389100000,812400000,1485500000,16415100000,20643900000,2389600000,808600000,1.581e+09,137300000,94400000,42900000,2526900000,4542200000,2892500000,1146800000,1745700000,7434700000,9961600000,1006700000,3800000,1002900000,10944200000,-1477900000,1.0473e+10,209300000,10682300000,20643900000,-230300000,220700000,369300000,6800000,-34900000,397400000,147600000,108900000,-109100000,154500000,-6700000.00000006,507300000,-294900000,-294900000,-294900000,-5.6e+07,-358700000,-19300000,-81800000,-70500000,-11300000,-11300000,-42700000,-143800000,4799999.99999994,4799999.99999994,10800000,15600000,348200000,4679500000,149200000,0.138962592570091,0.0180679921996996,-0.386303118574095,-0.02182,-0.01129,-0.640069999999999,1.67351,0.93253,0.22668,-0.60404,-0.60703,5.64545622106194,27.13916,0.38663,0.05001,-0.01171,0.00817,-0.0828,12.28489,33.5498
"39","2019_Q4",19.31453125,"Down",2200982742.08234,-2015759863.42044,279900000,-1.56e+08,-78200000,-77800000,123900000,-9.7e+07,-43200000,-53800000,26900000,25300000,9700000,52200000,-69200000,-1.7e+07,-4e+07,-4100000,-44100000,-44100000,641100000,641100000,801400000,801400000,2294300000,388500000,388500000,4125300000,11943400000,4371400000,1731800000,371400000,787500000,1480700000,16314800000,20440100000,2593600000,766100000,1827500000,130900000,8.8e+07,42900000,2724500000,4533200000,2871200000,1150800000,1720400000,7404400000,10128900000,885100000,3800000,881300000,10880700000,-1665400000,10100400000,210800000,10311200000,20440100000,-4e+07,210800000,132500000,2900000,26700000,102900000,182700000,-134700000,314500000,1300000,1600000,4.86e+08,-322300000,-322300000,-322300000,-5e+05,-326500000,-19300000,-13700000,-2200000,-11500000,-11500000,255300000,105200000,264700000,264700000,-24200000,240500000,334700000,4664100000,264300000,0.0919689381331294,-0.0145857266904856,-0.531972724261075,-0.00428000000000001,-0.00216,-5.9932,1.51415,0.98232,0.22818,-0.11452,-0.11452,5.79638857534025,26.22799,0.68632,0.05012,-0.00139,0.01481,-0.43764,12.01972,32.46973
"40","2020_Q1",16.5741935483871,"Down",2076300000,-1995600000,80700000,-1.67e+08,-104300000,-62700000,-86300000,-14600000,-46700000,30600000,-100900000,-1113200000,-4900000,-1214100000,288800000,-984700000,-950400000,29400000,-9.21e+08,-9.21e+08,519100000,519100000,803900000,803900000,2076400000,318800000,318800000,3718200000,1.169e+10,3890300000,1156900000,515400000,763600000,1454400000,15580300000,19298500000,2502900000,680400000,1822500000,88800000,41600000,47200000,2591700000,4525500000,2813700000,1040700000,1.773e+09,7339200000,9930900000,862200000,3800000,858400000,9921500000,-1598200000,9185500000,182100000,9367600000,19298500000,-950400000,227600000,882599999,2900000,-258400000,1138099999,117800000,1400000,227200000,-144300000,33500000,277599999,-337100000,-341100000,-341100000,69100000,-346800000,-19700000,-58200000.0000001,-42799999.9999999,-15400000,-15400000,44799999.9999999,-65900000,-135100001,-135100001,8900000,-126200001,141300000,4614300000,-366800000,0.03887,-0.04156,-0.44358,-0.09832,-0.04772,0.39826,1.43466,1.06013,0.2391,-2.432,-2.432,5.4827,24.25535,-0.96858,0.05202,-0.05366,-0.02184,-0.02139,28.98231,-47.45307
"41","2020_Q2",11.7420634920635,"Down",1798100000,-1756700000,41400000,-107600000,-67900000,-39700000,-66200000,-255300000,-41100000,-214200000,-321500000,4500000,4500000,-3.17e+08,1.33e+08,-1.84e+08,-2.04e+08,1e+06,-2.03e+08,-2.03e+08,1069200000,1069200000,7.23e+08,7.23e+08,1930900000,4.98e+08,4.98e+08,4221100000,10989600000,3764800000,1.077e+09,606300000,742300000,1339200000,14754400000,18975500000,2214100000,691700000,1522400000,1054900000,1008200000,46700000,3.269e+09,4525200000,2621400000,9.77e+08,1644400000,7146600000,10415600000,851500000,3800000,847700000,9718700000,-2.184e+09,8386200000,173700000,8559900000,18975500000,-2.04e+08,217800000,169200000,-10100000,-107300000,286600000,6900000,14800000,-24400000,1.46e+08,-129500000,189900000,-263500000,-263500000,-263500000,-1e+05,-269700000,-18900000,958600000,972800000,-14200000,-14200000,-241400000,698300000,618500000,618500000,-68900000,549600000,151600000,5580100000,-2.38e+08,0.02302,-0.03682,-0.1129,-0.02372,-0.0107,1.17241,1.29125,1.21679,0.29407,-0.5359,-0.5359,4.74683,22.13886,-0.6283,0.04989,-0.01098,-0.0142,-0.0931,29.75528,-68.14048
"42","2020_Q3",16.00125,"Up",2044700000,-1787700000,2.57e+08,-171200000,-95100000,-76100000,85800000,-15200000,-49300000,34100000.0000001,70600000,2400000,2400000,7.3e+07,2700000,75700000,45900000,1500000,47400000,47400000,1073300000,1073300000,689600000,689600000,1.954e+09,338700000,338700000,4055600000,11153300000,3811700000,1107600000,664500000,713800000,1325800000,1.4965e+10,19020600000,2443700000,811900000,1631800000,669200000,6.1e+08,59200000,3112900000,4527900000,2716100000,1054700000,1661400000,7.244e+09,10356900000,859200000,3800000,855400000,9.747e+09,-2113200000,8.493e+09,170700000,8663700000,19020600000,45900000.0000001,215400000,101700000,8200000,-16500000,1.1e+08,450700000,2.8e+07,-46200000,2.45e+08,223900000,813700000,-257200000,-257200000,-257200000,599999.999999993,-257900000,-1.9e+07,-416500000,-399300000,-17200000,-17200000,-95200000,-530700000,25100000,25100000,-15400000,9700000,301200000,5197100000,4.92e+08,0.12569,0.04196,0.02318,0.00547,0.00249,10.37975,1.30284,1.19544,0.27324,0.12507,0.12507,5.39499,22.40897,1.29815,0.05013,0.00401,0.02968,0.40084,13.69124,48.06294
