"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"33","2019_Q3",25.4765625,"Up",96646000,-16955000,79691000,-53647000,-8587000,-44633000,-427000,26044000,-12191000,-12191000,13853000,317000,14170000,14170000,14170000,-408000,13762000,12394000,5092000,5092000,45871000,45871000,422555000,36919000,385636000,473518000,2971939000,2971939000,16700000,16700000,2988639000,3462157000,66733000,49911000,16822000,66733000,1354222000,77950000,57610000,1432172000,1498905000,2577277000,1905747000,57505000,1963252000,3462157000,14170000,44633000,714000,3904000,63421000,-267728000,-267728000,-47646000,12972000,1.86264514923096e-09,201594000,-2713000,-2713000,-2713000,70677000,1354222000,0.82457,0.26948,0.12824,0.00631,0.00358,7.09571,0.76348,0.39115,0.11986,0.11939,0.93467,18.43064,0.46079,0.01768,3.84428,19.08867,51.80195
"34","2019_Q4",26.634375,"Up",102421000,-18157000,84264000,-56290000,-8924000,-46908000,-458000,27974000,-14041000,-14041000,13933000,-2743000,11190000,11190000,11190000,-290000,10900000,9533000,6540000,6540000,50460000,50460000,463395000,46707000,416688000,520395000,3208981000,3208981000,15913000,15913000,3224894000,3745289000,79865000,63572000,16293000,79865000,1477030000,83439000,63202000,1560469000,1640334000,2688448000,2049094000,55861000,2104955000,3745289000,11190000,46908000,4150000,2111000,64359000,-319667000,-321131000,-49369000,122342000,0,256450000,-322000.000000004,-322000.000000004,-322000.000000004,74882000,1477030000,0.82272,0.27313,0.09308,0.00453,0.00255,6.51593,0.77927,0.39437,0.09219,0.09183,0.99052,19.09163,0.47745,0.01607,5.17875,19.63743,52.56631
"35","2020_Q1",25.5603225806452,"Down",111181000,-20892113.2042879,91091556.1982168,-136509000,-84402000,-51606000,-501000,29295000,-15510000,-15510000,13785000,4131000,17916000,17916000,17916000,-472000,17444000,16077000,9041000,9041000,57592000,57592000,559222000,38231000,477972000,625855000,3523358000,3523358000,15432000,15432000,3538790000,4164645000,71202000,53737000,17465000,71202000,1645013000,84539000,57801000,1729552000,1800754000,3046981000,2305528000,58363000,2363891000,4164645000,17916000,51606000,-2579000,-8516000,58427000,-460522000,-456899000,-50278000,168741000,-1659000,400789000,2317000,2317000,2317000,80901000,1645013000,0.813443520843069,0.26349,0.1446,0.0068,0.00386,8.78985,0.76178,0.39499,0.15548,0.15487,1.07524,22.29696,0.48624,0.01621,3.12732,20.2219,55.84475
"36","2020_Q2",23.4630158730159,"Down",118548000,-21947000,96601000,-63537000,-10373000,-52688000,-476000,33064000,-14785000,-14785000,18279000,46759000,65038000,65038000,65038000,-1598000,63440000,62072000,324877000,324877000,62144000,62144000,528585000,37312000,490116000,915606000,3599171000,3599171000,22528000,22528000,3621699000,4537305000,73705000,55404000,18301000,73705000,1823972000,122514000,94730000,1946486000,2020191000,3218982000,2456323000,60791000,2517114000,4537305000,65038000,52688000,-46096000,-1050000,70580000,-35529999.9999999,-35980000,-54883000,178503000,-1472000,294919000,329519000,329519000,329519000,85752000,1823972000,0.81487,0.27891,0.5236,0.02466,0.01368,12.42258,0.80258,0.40199,0.6003,0.59796,1.14649,23.75531,0.53078,0.0262,0.88418,17.48175,45.33919
"37","2020_Q3",28.461875,"Up",117617000,-20392000,97225000,-63600000,-9406000,-53606000,-588000,33625000,-15177000,-15177000,18448000,868000,19316000,19316000,19316000,-407000,18909000,17563000,102097000,102097000,65122000,65122000,503590000,39347000,464243000,670809000,3586459000,3586459000,22168000,22168000,3608627000,4279436000,77084000,58783000,18301000,77084000,1596191000,125844000,99552000,1722035000,1799119000,3224652000,2424045000,56272000,2480317000,4279436000,19316000,53606000,2335000,2251000,77508000,-19891000,-19109000,-56985000,-227625000,-425000,-285180000,-226781000,-226781000,-226781000,87231000,1596191000,0.82662,0.28589,0.14932,0.00708,0.0041,8.70231,0.72536,0.37299,0.16985,0.16919,1.13748,23.44315,0.55111,0.01774,3.24461,17.12802,44.43402
"38","2020_Q4",28.51125,"Up",117295000,-20817000,96478000,-63894000,-9537000,-53921000,-436000,32584000,-15763000,-15763000,16821000,7388000,24209000,24209000,24209000,-466000,23743000,22386000,70137000,70137000,66761000,66761000,492826000,49157000,443669000,629724000,3611909000,3611909000,24124000,24124000,3636033000,4265757000,92921000,74619000,18302000,92921000,1596242000,120630000,95639000,1716872000,1809793000,3231763000,2404671000,51293000,2455964000,4265757000,24209000,53921000,-4886999.99999999,2800000,76043000,-61273000,-58952000,-56420000,-492000.00000006,0,-56933000,-39842000.0000001,-39842000.0000001,-39842000.0000001,86505000,1596242000,0.82252,0.2778,0.19085,0.00911,0.00525,6.77698,0.7369,0.3742,0.12503,0.12496,0.6551,13.43024,0.31511,0.01889,2.52033,17.64181,46.83602
"39","2021_Q1",29.4744262295082,"Up",129951000,-24573167.6125907,100172937.027957,-155167000,-100115000,-54523000,-529000,37940000,-16172000,-16618000,21768000,76464000,98232000,98232000,98232000,-2177000,96055000,94699000,15666000,15666000,77796000,77796000,547946000,43471000,504475000,641408000,4025391000,4025391000,25847000,25847000,4051238000,4692646000,89144000,69765000,19379000,89144000,1703290000,129160000,96398000,1832450000,1921594000,3421721000,2716207000,54845000,2771052000,4692646000,98232000,54523000,-75961000,-7003000,69791000,-442919000,-441256000,-55995000,107631000,-486000.000000004,317044000,-54421000,-54421000,-54421000,92463000,1703290000,0.804113734382456,0.29196,0.72873,0.03417,0.02018,7.19519,0.69345,0.36297,0.5289,0.52862,0.72578,14.74247,0.31274,0.03273,0.59129,18.25188,44.48139
"40","2021_Q2",34.0219047619048,"Up",133995000,-27002000,106993000,-72049000,-12790000,-58407000,-852000,34944000,-15326000,-15326000,19618000,5730000,25348000,25348000,25348000,-473000,24875000,20931000,18579000,18579000,79956000,79956000,539111000,44841000,494270000,637646000,4066313000,4066313000,28608000,28608000,4094921000,4732567000,80257000,60600000,19657000,80257000,1833290000,120904000,87345000,1954194000,2034451000,3445378000,2638508000,59608000,2698116000,4732567000,25348000,58407000,-4509000.00000001,-5786000,73460000,-81510000.0000001,-79502000,-59996000,125469000,-79092000,8020000.00000006,1977999.99999999,1977999.99999999,1977999.99999999,93351000,1833290000,0.79849,0.26079,0.15621,0.00776,0.00442,7.94505,0.75403,0.38738,0.1169,0.11684,0.74837,14.73623,0.33508,0.0174,2.86637,19.43965,51.93198
"41","2021_Q3",38.480625,"Up",138427000,-25356000,113071000,-70421000,-12578000,-57332000,-511000,42650000,-15243000,-15243000,27407000,5976000,33383000,33383000,33383000,-733000,32650000,32576000,14588000,14588000,83262000,83262000,540975000,51639000,486599000,638825000,4141236000,4141236000,26338000,26338000,4167574000,4806399000,85072000,65269000,19803000,85072000,1884131000,120294000,87365000,2004425000,2089497000,3488545000,2657690000,59212000,2716902000,4806399000,33383000,57332000,-4534000,2732000,88913000,-119630000,-122515000,-62216000,50438000,-97000,29800000,-3802000,-3802000,-3802000,99982000,1884131000,0.81683,0.3081,0.23533,0.01199,0.00678,7.50923,0.76907,0.392,0.18194,0.18184,0.77312,14.84337,0.34748,0.02008,1.90987,18.6988,43.83454
"42","2021_Q4",41.40828125,"Up",142114000,-26742000,115372000,-71914000,-12668000,-59246000,-1133404.58351937,43458000,-16537000,-15716000,26921000,22662000,49583000,49583000,49583000,-1067000,48516000,48444000,42001000,42001000,88023000,88023000,575826000,63340000,512486000,705850000,4483735000,4483735000,26437000,26437000,4510172000,5216022000,103537000,82605000,20932000,103537000,1972529000,118953000,85497000,2091482000,2195019000,3797972000,2959622000,61381000,3021003000,5216022000,49583000,59246000,-22685000,6096000,92240000,-397920000,-400966000,-60001000,89602000,-1722000,336384000,27658000,27658000,27658000,102704000,1972529000,0.81183,0.3058,0.34088,0.01604,0.00929,6.81737,0.72659,0.37817,0.27056,0.27042,0.79372,16.52968,0.33511,0.02121,1.23856,18.79701,44.42285
"43","2022_Q1",39.5498387096774,"Down",147623000,-30000040.2654504,120508221.180296,-183808000,-118579000,-63714000,-1515000,42915000,-16257000,-17199000,26658000,61460000,88118000,88118000,88118000,-1825000,86293000,86224000,18981000,18981000,93600000,93600000,632826000,60953000,571873000,745407000,5053040000,5053040000,34802000,34802000,5087842000,5833249000,98381000,76475000,21906000,115433000,2218262000,105967000,105967000,2324229000,2439662000,4131815000,3327700000,65887000,3393587000,5833249000,88118000,63714000,-63582000,-6709000,81541000,-627472000,-617902000,-63509000,246266000,-4545000,513384000,-22977000,-22977000,-22977000,106629000,2218262000,0.800922384974494,0.29071,0.58408,0.02541,0.01478,6.45749,0.7189,0.38028,0.48157,0.48131,0.82448,18.58542,0.3547,0.02619,0.73656,20.62554,51.24737
"44","2022_Q2",34.2635483870968,"Down",159209000,-31775000,127434000,-80176000,-12313000,-67366000,-497000,47258000,-17225000,-17225000,30033000,23955000,53988000,53988000,53988000,-1162000,52826000,52764000,34830000,34830000,98320000,98320000,628750000,64308000,564442000,761900000,5162110000,5162110000,56847000,56847000,5218957000,5980857000,95008000,72726000,22282000,95008000,2306173000,104797000,71085000,2410970000,2505978000,4179361000,3400405000,74474000,3474879000,5980857000,53988000,67366000,-24365000,-8110000,88879000,-145952000,-148797000,-66213000,87414000,-1600000,74727000,14809000,14809000,14809000,114624000,2306173000,0.80042,0.29683,0.33141,0.01518,0.00882,8.01932,0.72117,0.38559,0.29469,0.29453,0.88919,18.98147,0.3698,0.02021,1.25489,19.8156,48.06261
"45","2022_Q3",30.805625,"Down",161500000,-28874000,132626000,-82045000,-12234000,-69279000,-532000,50581000,-17873000,-17873000,32708000,376000,33084000,33084000,33084000,-708000,32376000,32317000,12614000,12614000,100500000,100500000,621197000,66903000,554294000,734311000,5247088000,5247088000,127909000,127909000,5374997000,6109308000,106661000,84379000,22282000,106661000,2435971000,110181000,110181000,2546152000,2652813000,4183957000,3382415000,74080000,3456495000,6109308000,33084000,69279000,262000,-316000,102309000,-192670000,-187825000,-67324000,131413000,-402000,63358000,-22158000,-22158000,-22158000,119860000,2435971000,0.82121,0.3132,0.20011,0.00935,0.00529,6.88453,0.76749,0.39873,0.18049,0.1804,0.90199,18.891,0.37601,0.0166,2.08324,20.21823,47.91042
