"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"31","2018_Q2",89.68984375,"Up",123578000,-47763000,75815000,-75815000,-55903000,-19912000,0,-6236000,-7918000,-7918000,-6236000,-6236000,-333000,-6569000,-6569000,-6569000,-6569000,351999000,203146000,50383000,50383000,26334000,22895000,17449000,451611000,153029000,61006000,39773000,16663000,378152000,829763000,79605000,33846000,45759000,82414000,569877000,6904000,6904000,576781000,659195000,865579000,-693475000,170568000,170568000,829763000,-6569000,3522000,16087000,-17306000,-4266000,-35374000,-55988000,2961000,2961000,-11816000,-8870000,-69124000,-69124000,-69431000,3522000,569877000,-48825000,0.6135,0,-0.05316,-0.03851,-0.00792,7.43264,5.47978,3.8647,0.68679,-0.11232,-0.11232,2.11307,2.91655,-0.83486,-0.00879,-0.06533,61.86201,-99.5048872528978
"32","2018_Q3",93.6328571428571,"Up",124262000,-42190000,82072000,-77747000,-59329000,-18418000,4325000,-5604000,-7290000,-7290000,-1279000,-1279000,-412000,-1691000,-1691000,-1691000,-1691000,299792000,136246000,49676000,49676000,40808000,31517000,17559000,421793000,197564000,63439000,39731000,17961000,417063000,838856000,73771000,25191000,48580000,76109000,577119000,6480000,6480000,583599000,659708000,876700000,-695166000,179148000,179148000,838856000,-1691000,3609000,14913000,-22960000,-6129000,-54563000,-61115000,8245000,8245000,-875000,697999.99999997,-66546000,-66546000,-66900000,7934000,577119000,-69177000,0.66048,0.03481,-0.01361,-0.00944,-0.00202,40.90893,5.54196,3.68247,0.68798,-0.02874,-0.02874,2.11211,3.04503,-1.17582,-0.00222,-0.09069,34.95425,64.12185
"33","2018_Q4",84.627619047619,"Down",151076000,-49107000,101969000,-95104000,-73342000,-21762000,6865000,-5012000,-6846000,-6846000,1853000,1853000,-194000,1659000,1659000,1659000,1659000,289844000,126563000,69950000,69950000,58050000,27868000,17905000,445712000,229433000,65622000,39774000,18057000,440594000,886306000,95014000,26845000,68169000,97224000,584485000,6668000,6668000,591153000,688377000,893888000,-693507000,197929000,197929000,886306000,1659000,4123000,24348000,-14275000,15855000,-37622000,-26616000,2258000,2258000,-1155000,1091000,-9670000,-9670000,-9683000,10988000,584485000,-40715000,0.67495,0.04544,0.01098,0.00838,0.00187,-24.54189,4.58438,3.4779,0.65946,0.02811,0.02713,2.55988,3.35377,-0.68989,0.0021,-0.0516,26.8148,42.9193
"34","2019_Q1",85.7111475409836,"Up",164884000,-54540000,110344000,-94134000,-59426000,-34708000,16210000,-5348000,753999.999999999,754000,10862000,10862000,-961000,9901000,9901000,9901000,9901000,288946000,113906000,63294000,63294000,71414000,37632000,24254000,461286000,258379000,68295000,39646000,18266000,467458000,928744000,114473000,25500000,88973000,115657000,591978000,9010000,9010000,600988000,716645000,898618000,-683614000,212099000,212099000,928744000,9901000,4346000,14452000,1741000,30440000,-34841000,-40781000,2336000,2336000,-3954000,-1619000,-11960000,-11960000,-12686000,20556000,591978000,-11583000,0.66922,0.09831,0.06005,0.04668,0.01066,-1.16988,3.9884,3.37882,0.6374,0.16751,0.151,2.78965,3.58847,-0.19597,0.01218,-0.01425,14.74178,18.69414
"35","2019_Q2",102.525714285714,"Up",159555000,-52859000,106696000,-99431000,-67477000,-31954000,7265000,-2561000,-6615000,-6615000,4704000,4704000,-326000,4378000,4378000,4378000,4378000,316374000,129254000,68655000,68655000,73822000,37531000,28028000,496382000,299605000,79836000,39694000,28658000,456230000,952612000,112778000,26833000,85945000,113973000,599601000,15408000,15408000,615009000,728982000,905951000,-679236000,223630000,223630000,952612000,4378000,5135000,13888000,-17034000,6367000,-45255000,7620000,9061000,9061000,-7512000,1549000,15536000,15536000,15348000,12400000,599601000,-49563000,0.66871,0.04553,0.02744,0.01958,0.0046,-11.32092,4.35526,3.25977,0.62943,0.07376,0.0716,2.68815,3.76767,-0.83503,0.00522,-0.0591,22.84089,38.98513
"36","2019_Q3",140.536875,"Up",177136000,-60718000,116418000,-108815000,-76551000,-32264000,7603000,-5719000,-7642000,-7642000,1884000,1884000,-482000,1402000,1402000,1402000,1402000,309748000,119867000,66958000,66958000,85109000,36992000,25211000,498807000,334025000,82214000,39739000,29435000,478916000,977723000,105773000,24752000,81021000,105773000,607351000,14819000,14819000,622170000,727943000,930443000,-677834000,249780000,249780000,977723000,1402000,5891000,16942000,-10325000,13910000,-46694000,-39413000,16629000,16629000,7511999.99999999,16198000,-9305000,-9305000,-9387000,13494000,607351000,-43043000,0.65722,0.04292,0.00791,0.00561,0.00143,-30.70114,4.71583,2.91434,0.62119,0.02343,0.02279,2.95978,4.17359,-0.71921,0.00161,-0.04936,22.05447,39.14284
"37","2019_Q4",166.62375,"Up",192108999,-69023000,123085999,-106054000,-73472000,-32582000,17031999,-9520000,-4043000,-4043000,7511999,1111999,-292000,819999,819999,819999,819999,605504000,419882000,65052000,65052000,90207000,33138000,20653000,793901000,355865000,87618000,39713000,35071000,474489000,1268390000,113282000,21245000,92037000,113282000,985771000,18769000,18769000,1004540000,1117822000,832202000,-676982000,150568000,150568000,1268390000,820000,7774000,25070000,-2441000,31223000,-22651000,12193000,17210000,17210000,-93599999,258153001,301569001,301569001,300039001,24805999,985771000,5998.99999999255,0.64071,0.08866,0.00427,0.00545,0.00065,0.00732000000000355,7.00818,7.42403,0.77718,0.0135,0.01312,3.16199,2.47825,9.9999999999989e-05,0.00071,1.00000000000031e-05,15.32964,22.32662
"38","2020_Q1",182.735322580645,"Up",209400001,-75299999,134100002,-1.16e+08,-80500000,-35500000,18100002,-9e+06,-9400000,-9400000,9100002,6800002,-1800000,5000002,5000002,5000002,5000002,376100000,213700000,69300000,69300000,1.01e+08,44600000,44600000,5.91e+08,399400000,94100000,39800000,41100000,551900000,1142900000,157700000,54500000,103200000,157700000,887900000,21400000,21400000,909300000,1.067e+09,7.49e+08,-6.72e+08,75900000,75900000,1142900000,5e+06,9100000,22700000,10100000,46900000,-56300000,-5.4e+07,7999999.99999999,7999999.99999999,-400001,-202400001,-209500001,-209500001,-206200001,27200002,887900000,-17199998,0.6404,0.08644,0.02388,0.06588,0.00437,-3.44,3.74762,14.05797,0.77688,0.08011,0.07808,3.35486,1.21441,-0.27557,0.00508,-0.01746,18.81618,28.27624
"39","2020_Q2",191.172222222222,"Up",1.98e+08,-71100000,126900000,-119400000,-83900000,-35500000,7500000,-10100000,-10100000,-10100000,-2600000,-2600000,5e+05,-2100000,-2100000,-2100000,-2100000,321600000,201400000,80100000,80100000,95700000,43900000,43900000,541300000,412400000,93700000,39600000,41700000,566900000,1108200000,130400000,36400000,9.4e+07,130400000,8.99e+08,19800000,19800000,918800000,1049200000,7.38e+08,-675200000,5.9e+07,5.9e+07,1108200000,-2100000,8900000,20400000,-30800000,-3600000,-27400000,13400000,6200000,6200000,-25200000,-1.9e+07,-9200000,-9200000,-12300000,16400000,8.99e+08,-42300000,0.64091,0.03788,-0.01061,-0.03559,-0.00189,20.14286,4.15107,17.78305,0.81123,-0.03339,-0.03339,3.14867,0.93824,-0.67267,-0.00215,-0.04326,35.20732,76.98667
"40","2020_Q3",210.60609375,"Up",226300000,-83800000,142500000,-1.15e+08,-80800000,-34200000,27500000,-10100000,-11100000,-11100000,17400000,17400000,-3e+06,14400000,14400000,14400000,14400000,844400000,779100000,7.8e+07,7.8e+07,103700000,59600000,59600000,1085700000,423200000,94300000,39600000,43800000,5.41e+08,1626700000,134400000,35600000,98800000,134400000,910200000,18800000,18800000,9.29e+08,1063400000,1227700000,-660800000,563300000,563300000,1626700000,14400000,9900000,18200000,-16100000,26400000,-24800000,67200000,485500000,485500000,-1600000.00000001,483900000,577500000,577500000,577700000,37400000,910200000,-5e+05,0.6297,0.12152,0.06363,0.02556,0.00885,-0.03472,8.07812,1.8878,0.55954,0.2237,0.21474,3.51557,8.75086,-0.00777,0.00965,-0.00034,1.75935999999999,2.39272999999999
"41","2020_Q4",248.1003125,"Up",2.34e+08,-82200000,151800000,-1.28e+08,-89200000,-38800000,23800000,-10400000,-11400000,-11400000,13400000,13400000,-1800000,11600000,11600000,11600000,11600000,896700000,838100000,85400000,85400000,124900000,53400000,53400000,1160400000,449200000,100500000,39700000,50400000,550200000,1710600000,175200000,5.7e+07,118200000,175200000,921500000,18900000,18900000,940400000,1115600000,1244800000,-649200000,5.95e+08,5.95e+08,1710600000,11600000,10900000,18700000,3e+06,44200000,-2.6e+07,2700000,10600000,10600000,-1e+05,10500000,57400000,57400000,5.9e+07,34700000,921500000,13500000,0.64872,0.10171,0.04957,0.0195,0.00678,1.16379,6.62329,1.87496,0.5387,0.17647,0.17351,3.55985,9.05176,0.20538,0.00756,0.00879,0.7147,1.04202
"42","2021_Q1",267.805573770492,"Up",246100000,-8.5e+07,161100000,-168400000,-130100000,-38300000,-7300000,-11200000,-12500000,-12500000,-18500000,-18500000,1400000,-17100000,-17100000,-17100000,-17100000,947600000,907200000,95300000,95300000,154300000,51500000,51500000,1248700000,478700000,145500000,39800000,7.7e+07,624200000,1872900000,192200000,54100000,138100000,207800000,1043700000,17800000,17800000,1061500000,1269300000,1264300000,-666300000,603600000,603600000,1872900000,-17100000,25700000,27900000,-19500000,1.7e+07,-88300000,-69300000,6900000,6900000,-3400000,130100000,77800000,77800000,83900000,18400000,1059300000,-90800000,0.65461,-0.02966,-0.06948,-0.02833,-0.00913,5.30994,6.00914,2.10288,0.56559,-0.25928,-0.25526,3.73148,9.15053,-1.37675,-0.01017,-0.05403,6.07065,-15.30137
"43","2021_Q2",271.825873015873,"Up",252300000,-84800000,167500000,-151200000,-110500000,-40700000,16300000,-1.6e+07,-13400000,-13400000,3e+05,3e+05,3e+05,6e+05,6e+05,6e+05,6e+05,850200000,820700000,97900000,97900000,170100000,73600000,73600000,1191800000,497900000,150400000,39800000,80900000,648300000,1840100000,169800000,59100000,110700000,185500000,1051599999,17700000,17700000,1069299999,1254799999,1248400000,-666300000,585300000,585300000,1840099999,-35880783.1681546,12800000,24400000,-72300000,-35100000,-32900000,-22700000,1500000,1500000,-26100000,-28400000,-86200000,-86200000,-86500000,29100000,1067299999,-76400000,0.66389,0.06461,0.00238,0.00103,0.00033,-127.33333,6.4248,2.14386,0.58002,0.00908,0.00908,3.81619,8.85302,-1.1556,0.00036,-0.04574,7.46048,13.31902
"44","2021_Q3",285.2209375,"Up",263200000,-80500000,182700000,-156400000,-116300000,-40100000,26300000,-14600000,-16400000,-13742521.3199129,11700000,-28400000,2800000,-25600000,-25600000,-25600000,-25600000,872100000,854600000,100300000,100300000,197800000,82700000,82700000,1252900000,505500000,165300000,39900000,9.2e+07,670800000,1923700000,192400000,49300000,143100000,213300000,1235200000,16100000,16100000,1251300000,1464600000,1149700000,-691300000,459100000,459100000,1923700000,-2.5e+07,15200000,6e+07,-31900000,18300000,-19900000,-11400000,8500000,8500000,-5200000,28400000,35300000,35300000,33900000,41500000,1256100000,-13100000,0.69415,0.09992,-0.09726,-0.05576,-0.01331,0.51172,5.87389,3.19015,0.65296,-0.38722,-0.38722,3.98106,6.94417,-0.19815,-0.01479,-0.00757,9.25301,14.60076
"45","2021_Q4",290.1125,"Up",275600000,-86900000,188700000,-1.55e+08,-117500000,-37500000,33700000,-1.7e+07,-16300000,-13310028.4265506,16700000,15200000,-2600000,12600000,12600000,12600000,12600000,857100000,856600000,114300000,114300000,2.59e+08,76500000,76500000,1306900000,515400000,176600000,39800000,99600000,6.92e+08,1998900000,199700000,5.8e+07,141700000,228600000,1.257e+09,15400000,15400000,1272400000,1.501e+09,1.18e+09,-678700000,497900000,497900000,1998900000,12600000,14500000,17900000,-70800000,-25800000,-27300000,-12200000,4400000,4400000,-3e+05,42200000,4200000,4200000,2e+06,48200000,1285900000,-47300000,0.68469,0.12228,0.04572,0.02531,0.0063,-3.75396999999998,5.71697,3.01466,0.6433,0.18296,0.18099,4.0018,7.22967,-0.68681,0.007,-0.02629,8.89627,12.72404
"46","2022_Q1",245.435483870968,"Down",307700000,-94500000,213200000,-163500000,-121700000,-41800000,49700000,-15500000,-15100000,-11797521.3199129,34200000,33400000,-4200000,29200000,29200000,29200000,29200000,791600000,791600000,1.61e+08,1.61e+08,303200000,7.4e+07,7.4e+07,1329800000,536500000,182500000,39800000,106100000,7.19e+08,2048800000,203700000,37700000,1.66e+08,228800000,1248800000,14900000,14900000,1263700000,1492500000,1.208e+09,-649500000,556300000,556300000,2048800000,29200000,14900000,1.9e+07,-88600000,-25500000,-42600000,-36400000,9100000,9100000,-6e+05,-1500000,-63400000,-63400000,-6.5e+07,64600000,1273900000,-62400000,0.69288,0.16152,0.0949,0.05249,0.01425,-2.13699,5.81206,2.6829,0.62178,0.42399,0.41943,4.4679,8.07765,-0.90607,0.01583,-0.03382,7.46594,9.70423
"47","2022_Q2",227.308709677419,"Down",295400000,-85700000,209700000,-171799999,-128699999,-43100000,37900001,-8600000,-8900000,-8900000,29300001,29300001,-1500000,27800001,27800001,27800001,27800001,709600000,709600000,189300000,189300000,314800000,71700000,71700000,1285400000,538200000,245600000,51800000,1.41e+08,783800000,2069200000,189300000,52200000,137100000,2.15e+08,1390500000,1.7e+07,1.7e+07,1407500000,1622500000,995600000,-561100000,446700000,446700000,2069200000,27800000,15300000,11200000,-6.8e+07,-13700000,-12800000,-46900000,1100000,1100000,-15300000,-20300000,-80900000,-80900000,-81500000,53200001,1416200000,-26099999,0.70988,0.1283,0.09411,0.06223,0.01344,-0.93885,5.9786,3.63219,0.68442,0.40249,0.3982,4.27682,6.46735,-0.37788,0.01479,-0.01388,13.28195,18.6438
"48","2022_Q3",250.46,"Up",299400000,-109100000,190300000,-217000001,-174400001,-42600000,-26700001,-9400000,-8300000,-4312464.46681179,-36100001,-36100001,1100000,-35000001,-35000001,-35000001,-35000001,708600000,708600000,206600000,206600000,320400000,73500000,73500000,1309100000,535799999,268800000,51800000,161900000,804599999,2113699999,2.53e+08,57200000,195800000,279300000,1385200000,26800000,26800000,1.412e+09,1691300000,1011300000,-596100000,422400000,422400000,2113700000,-3.5e+07,15800000,15200000,29300000,25300000,-14600000,-21900000,5700000,5700000,-1200000,-1600000,1800000,1800000,-1100000,-10900001,1411500000,2699999,0.6356,-0.08918,-0.1169,-0.08286,-0.01656,-0.07714,4.68707,4.00402,0.66779,-0.50464,-0.50464,4.31686,6.09032,0.03893,-0.01881,0.00145,-64.48623,-26.32584
