"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_change_in_long_term_investment","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"28","2017_Q1",18.9545161290323,"Up",162986000,-92213000,70773000,-66663000,-34481000,-32182000,4110000,2742000,1084000,-142000,1226000,-111000,6852000,6844000,728000,7572000,7572000,7572000,7572000,123083000,79895000,43188000,92346000,92346000,105117000,32356000,16459000,15897000,352902000,84469000,176102000,53762000,3492000,38036000,12234000,314333000,667235000,110209000,77342000,48194.1557462183,32867000,16326000,16326000,126535000,28050000,28050000,61183000,187718000,253754000,-683991000,921942000,-12188000,479517000,479517000,667235000,7572000,4147000,-1734000,4185000,14170000,-8757000,-8757000,-8757000,13981000,5224000,-4353000,741000,3641000,-4712000,14682000,14682000,-1079000,13603000,8257000,33133000,2957000,0.43423,0.02522,0.04646,0.01579,0.01135,0.39052,2.78897,0.39147,0.04966,0.15651,0.15552,3.36894,9.91168,0.06112,0.08998,0.02205,0.00547,0.57488,-10.89379,-21.88564
"29","2017_Q2",17.5601587301587,"Down",170279000,-96570000,73709000,-66760000,-34789000,-31971000,6949000,1396000,792000,-141000,933000,134000,8345000,8345000,-1694000,6651000,6651000,6651000,6651000,125016000,72558000,52458000,85396000,85396000,112774000,31214000,17816000,13398000,354400000,83514000,174413000,54851000,3492000,39085000,12274000,312778000,667178000,104660000,74300000,3126000,27234000,16969000,16969000,121629000,30861000,30861000,63336000,184965000,255762000,-687188000,923116000,-9477000,482213000,482213000,667178000,6651000,4323000,-426000,-1511000,9037000,-3856000,-3872000,-3872000,-5046000,-8902000,-4369000,-4182000,1377000,-8551000,-8416000,-8416000,1079000,-7337000,11272000,32475000,7599000,0.43287,0.04081,0.03906,0.01379,0.00997,1.14253,2.91378,0.38358,0.04868,0.13733,0.1359,3.51598,9.95691,0.15691,0.09021,0.0202,0.01393,0.65689,-8.20981,-13.31717
"30","2017_Q3",19.4844444444444,"Up",184673000,-100047000,84626000,-68263000,-34706000,-33557000,16363000,1506000,835000,-137000,972000,-719000,17869000,17869000,-5468000,12401000,12401000,12401000,12401000,136129000,88798000,47331000,79891000,79891000,113995000,38117000,23556000,14561000,368132000,84122000,159634000,57093000,3492000,40296000,13305000,300849000,668981000,105491000,66161000,9594000,29736000,15449000,15449000,120940000,32527000,32527000,64678000,185618000,257618000,-698483000,931044000,-6816000,483363000,483363000,668981000,12401000,4054000,-240000,-4673000,11542000,-3637000,-3637000,-3637000,21797000,18160000,-4350000,-11407000,345000,-15757000,13945000,13945000,2295000,16240000,20417000,32151000,17575000,0.45825,0.08861,0.06715,0.02566,0.01854,1.41722,3.04392,0.38401,0.04806,0.25817,0.25616,3.84463,10.06293,0.36589,0.09056,0.03057,0.03207,0.35078,-5.09272,-6.35446
"31","2017_Q4",19.6284126984127,"Up",185112000,-98621000,86491000,-68264000,-34676000,-33588000,18227000,980000,813000,-139000,952000,-842000,19207000,19207000,-3309000,15898000,15898000,15898000,15898000,159638000,128253000,31385000,101613000,101613000,116230000,41668000,23127000,18541000,419149000,85665000,136987000,53757000,3492000,37130000,13135000,276409000,695558000,111267000,73127000,7696000,30444000,13651000,13651000,124918000,34756000,34756000,66474000,191392000,259452000,-692875000,941845000,-4256000,504166000,504166000,695558000,15898000,3657000,3712000,-21821000,1446000,-4795000,-4795000,-4795000,40808000,36013000,-4312000,4847000,4884000,535000,37994000,37994000,1461000,39455000,21884000,31718000,-1423000,0.46724,0.09846,0.08588,0.03153,0.02286,-0.08951,3.35539,0.37962,0.0456,0.33214,0.32777,3.8673,10.53286,-0.02973,0.09008,0.03542,-0.00249,0.27123,-5.84537000000001,-7.01816
"32","2018_Q1",14.8296721311475,"Down",126836000,-68027000,58809000,-62962000,-31412000,-31550000,-4153000,3419000,1384000,-139000,1523000,219000,-734000,-734000.000000004,-10376000,-11110000,-11110000,-11110000,-11110000,102562000,86433000,16129000,144150000,144150000,122542000,43860000,17282000,26578000,413114000,85079000,130256000,40645000,3492000,23428000,9064000,255980000,669094000,93748000,60632000,3936000,29180000,13070000,13070000,106818000,34209000,34209000,64365000,171183000,261312000,-682284000,922178000,-3295000,497911000,497911000,669094000,-11110000,3658000,14055000,-71007000,-64404000,-2281000,-2416000,-2416000,23052000,20771000,-4337000,6806000,6806000,1369000,-42264000,-42264000,444000,-41820000,-495000,30156000,-63407000,0.46366,-0.03274,-0.08759,-0.02231,-0.0166,5.7072,3.86746,0.3438,0.04507,-0.23011,-0.227,2.62698,10.31256,-1.31326,0.08983,-0.01205,-0.11277,-0.39037,146.27475,17.43463
"33","2018_Q2",13.32671875,"Down",120806000,-81073000,39733000,-66380000,-33531000,-32849000,-26647000,580000,734000,-132000,866000,-57000,-26067000,-14745000,3931000,-10814000,-10814000,-10814000,-10814000,99025000,82623000,16402000,80883000,80883000,120021000,44817000,9693000,35124000,344746000,83875000,156472000,57554000,3492000,21427000,32635000,297901000,642647000,88619000,50653000,8277000,29689000,13948000,13948000,102567000,34590000,34590000,64344000,166911000,263130000,-691202000,909611000,-5803000,475736000,475736000,642647000,-10814000,3614000,-11174000,64603000,46229000,-1950000,-1950000,-1950000,49074000,-36642000,-4367000,-9802000,369000,-14169000,-4582000,-4582000,772000,-3810000,-23033000,29754000,35689000,0.3289,-0.22058,-0.08952,-0.02273,-0.01683,-3.30026,3.36118,0.35085,0.0463,-0.22421,-0.22421,2.50469,9.86349,0.73994,0.09054,-0.01194,0.06608,-0.40383,3.00747000000001,2.59958
"34","2018_Q3",15.017619047619,"Up",128048000,-78052000,49996000,-62809000,-32080000,-30729000,-12813000,1554000,781000,-132000,913000,-217000,-11259000,-11259000,3589000,-7670000,-7670000,-7670000,-7670000,106388000,100319000,6069000,76135000,76135000,120537000,37627000,9464000,28163000,340687000,82910000,144437000,71536000,3492000,35615000,32429000,298883000,639570000,101796000,60150000,11948000,29698000,14307000,14307000,116103000,34601000,34601000,63840000,179943000,264915000,-693756000,897586000,-9118000,459627000,459627000,639570000,-7670000,3912000,-13734000,24193000,6701000.00000001,-2233000,-2233000,-2233000,37362000,21288000,-4312000,-2603000,9.31322574615479e-10,-6915000,21074000,21074000,-3378000,17696000,-8901000,29239000,9470000.00000001,0.39045,-0.10006,-0.0599,-0.01669,-0.01199,-1.23468,2.93435,0.3915,0.04572,-0.16028,-0.16028,2.67581,9.60478,0.19789,0.09011,-0.00641,0.01809,-0.56219,8.66745,6.02115
"35","2018_Q4",12.3266666666667,"Down",140335000,-81887000,58448000,-60627000,-30750000,-29877000,-2179000,5399000,691000,-134000,825000,201000,3220000,3220000,4369000,7589000,7589000,7589000,7589000,100085000,94173000,5912000,101865000,101865000,106060000,40512000,10428000,30084000,348522000,81457000,144241000,74610000,3492000,39595000,31523000,300308000,648830000,106524000,65032000,14340000,27152000,17004000,17004000,123528000,32255000,32255000,61701000,185229000,266554000,-693713000,900324000,-9564000,463601000,463601000,648830000,7589000,4426000,-6885000,-9367000,-4237000,-1512000,-1512000,-1512000,30321000,3339000,-4297000,-459000,952000,-4756000,-5654000,-5654000,-492000,-6146000,2247000,29446000,-13001000,0.41649,-0.01553,0.05408,0.01637,0.0117,-1.71314,2.8214,0.39954,0.04538,0.15912,0.15912,2.94234,9.72012,-0.27259,0.09009,0.02263,-0.02475,0.56621,-31.43703,32.41808
"36","2019_Q1",12.5824590163934,"Up",140088000,-84700000,55388000,-59171000,-28079000,-31092000,-3783000,-2754000,1287000,-135000,1422000,1359000,-6537000,-10587000,2140000,-8447000,-8447000,-8447000,-8447000,108750000,105504000,3246000,99385000,99385000,99848000,47443000,10744000,36699000,355426000,80635000,108822000,83144000,7106000,37187000,5668000,272601000,628027000,100070000,60054000,12518000,27498000,17940000,17940000,118010000,33842000,15586000,63738000,181748000,268467000,-691747000,883975000,-14416000,446279000,446279000,628027000,-8447000,3939000,14436000,-3167000,6761000,-2415000,-2415000,-2415000,-86317000,12300000,-4291000,-1185000,162000,-6576000,12485000,12485000,-1154000,11331000,156000.000000001,29896000,-7566000,0.39538,-0.027,-0.0603,-0.01893,-0.01345,0.8957,3.01183,0.40725,0.0476,-0.17694,-0.17694,2.93446,9.34831,-0.15849,0.08988,-0.00815,-0.01483,-0.50799,-505.47436,20.8443
"37","2019_Q2",14.6131746031746,"Up",143791000,-83179000,60612000,-66779000,-35132000,-31647000,-6167000,7245000,464000,-127000,591000,855000,1078000,1078000,-308000,770000,770000,770000,770000,140409000,109119000,31290000,99032000,99032000,93609000,44266000,9683000,34583000,377316000,79505000,85227000,90575000,6982000,36891000,14885000,255307000,632623000,126645000,60116000,11785000,54744000,15230000,15230000,141875000,42687000,42687000,47201000,189076000,270326000,-691074000,879180000,-14885000,443547000,443547000,632623000,770000,4496000,-3832000,8278000,9712000,-1872000,-1872000,-1872000,1721000,-151000,-4301000,-184000,239861.728678679,-4485000,5076000,5076000,-1461000,3615000,-1671000,4514000,5043000,0.42153,-0.04289,0.00535,0.00174,0.00122,6.54935,2.6595,0.42628,0.00714,0.01611,0.01609,3.00931,9.28272,0.10554,0.09001,0.01033,0.01028,5.58571,81.32555,22.03584
"38","2019_Q3",10.95546875,"Down",156391000,-91376000,65015000,-65683000,-33619000,-32064000,-668000,2845000,565000,-127000,692000,-205000,2177000,3407000,587999.999999998,3995000,3995000,3995000,3995000,137705000,106817000,30888000,116661000,116661000,95110000,33893000,8909000,24984000,383369000,78813000,87280000,90324000,6968000,39033000,13820000,256417000,639786000,132455000,63827000,9571000,59057000,12910000,12910000,145365000,44181000,44181000,48446000,193811000,271780000,-690340000,878630000,-14095000,445975000,445975000,639786000,3995000,4417000,-5375000,-1742000,1295000,-2435000,-2435000,-2435000,22585000,-381000,-4303000,526000,526000,-3777000,-2863000,-2863000,561000,-2302000,3749000,4265000,-1016000,0.41572,-0.00427,0.02554,0.00896,0.00624,-0.25432,2.63729,0.43458,0.00667,0.08357,0.0831899999999999,3.27164,9.32963,-0.02125,0.09002,0.01678,-0.00205,1.0771,-35.59349,199.76048
"39","2019_Q4",8.85390625,"Down",114092000,-67761000,46331000,-62747000,-30912000,-31835000,-16416000,1882000,482000,-128000,610000,1616000,-14534000,-18406000,-27717000,-46123000,-46123000,-46123000,-46123000,125161000,96407000,28754000,90647000,90647000,104941000,29254000,10327000,18927000,350003000,73384000,90632000,65856000,6968000,6492000,23283000,229872000,579875000,114128000,52842000,3420000,57866000,14022000,14022000,128150000,52189000,52189000,56770000,184920000,273651000,-689973000,827783000,-16506000,394955000,394955000,579875000,-46123000,4402000,38231000,2565000,-925000,-1701000,-1701000,-1701000,-22968000,-3125000,-4304000,0,0,-4304000,-8354000,-8354000,-2056000,-10410000,-12014000,4581000,16567000,0.40608,-0.14388,-0.40426,-0.11678,-0.07954,-0.35919,2.7312,0.46821,0.0079,-0.96441,-0.97038,2.38561,8.25834,0.34641,0.08999,-0.09258,0.03667,-0.09332,10.03662,7.34527
"40","2020_Q1",8.00806451612903,"Down",115787000,-68578000,47209000,-61279000,-30625000,-30654000,-14070000,-8220000,743000,-129000,872000,-768000,-22290000,-10856000,-768000,-11624000,-11624000,-11624000,-11624000,107016000,73773000,33243000,90531000,90531000,98305000,24458000,7892000,16566000,320310000,68086000,94489000,62233000,6968000,7561000,19883000,224808000,545118000,100748000,44870000,3512000,52366000,11963000,11963000,112711000,45969000,24271000,51981000,164692000,275429000,-685288000,806702000,-16417000,380426000,380426000,545118000,-11624000,4456000,-1816999.99999999,-3569000,-12554000,-3486000,-3486000,-3486000,-2647999.99999999,-6134000,-4304000,0,0,-5304000,-23992000,-23992000,1358000,-22634000,-9614000,6012000,-15901000,0.40772,-0.12152,-0.10039,-0.03056,-0.02132,1.36795,2.84187,0.43291,0.01103,-0.2425,-0.2425,2.4155,7.93629,-0.33172,0.08979,-0.01693,-0.03677,-0.37027,10.50593,7.17868
"41","2020_Q2",9.78015873015873,"Up",114523000,-62923000,51600000,-56479000,-26620000,-29859000,-4879000,1484000,355000,-1000,356000,1129000,-3395000,-14337000,4368000,-9969000,-9969000,-9969000,-9969000,77269000,71285000,5984000,86465000,86465000,99515000,30540000,7419000,23121000,293789000,66500000,79136000,58845000,6968000,7447000,17958000,204481000,498270000,76953000,47685000,3273000,25995000,12465000,12465000,89418000,40661000,22340000,45137000,134555000,277220000,-686545000,790849000,-17809000,363715000,363715000,498270000,-9969000,4365000,12783000,-7203000,-24000,-1406000,-1406000,-1406000,29561000,27632000,-4328000,85586.531459484,75326.1921050266,-28928000,-1320000,-1320000,-1168000,-2488000,-514000,4476000,-13491000,0.45056,-0.0426,-0.08705,-0.02741,-0.02001,1.3533,3.28557,0.36995,0.00898,-0.20787,-0.20787,2.38804,7.58419,-0.28131,0.09025,-0.0138,-0.033,-0.43415,141.62062,14.91966
"42","2020_Q3",10.8134375,"Up",128715000,-75243000,53472000,-59511000,-30799000,-28712000,-6039000,-1426000,331000,0,331000,-1757000,-7465000,2387000,-1635000,752000.000000002,752000.000000002,752000.000000002,752000.000000002,78092000,69059000,9033000,95335000,95335000,106131000,35316000,8104000,27212000,314874000,65194000,84383000,58221000,6968000,7573000,18225000,207798000,522672000,95064000,62465000,2450000,30149000,12090000,12090000,107154000,45158000,23250000,51324000,158478000,278875000,-686555000,787220000,-15346000,364194000,364194000,522672000,752000.000000002,4039000,-8114000,5028000,1705000,-1742000,-1742000,-1742000,1860000,117999.999999996,-4337000,114852.773039806,102869.0593277,-4337000,-2514000,-2514000,1474000,-1040000,-2e+06,6166000,2921000,0.41543,-0.04692,0.00584,0.00206,0.00144,3.88431,2.93852,0.43515,0.0118,0.01568,0.01568,2.68397,7.59418,0.06091,0.09044,0.01225,0.00703,5.76729,35.963,11.91025
"43","2020_Q4",12.2096875,"Up",133143000,-74181000,58962000,-54428000,-27205000,-27223000,4534000,-1335000,344000,0,344000,-1679000,3199000,6043000,-562000,5481000,5481000,5481000,5481000,77261000,71081000,6180000,100223000,100223000,120260000,31595000,8374000,23221000,329339000,64353000,78016000,59707000,6968000,7865000,20409000,202076000,531415000,93633000,59886000,3346000,30401000,13379000,13379000,107012000,48116000,25159000,54810000,161822000,280485000,-686508000,788294000,-12678000,369593000,369593000,531415000,5481000,4121000,-1173000,-15427000,-6998000,-1934000,-1934000,-1934000,12083000,10149000,-4328000,225725.748890386,217148.830497859,-4328000,-1177000,-1177000,2335000,1158000,8655000,6694000,-8144000,0.44285,0.03405,0.04117,0.01483,0.01031,-1.48586,3.07759,0.43784,0.0126,0.11429,0.11429,2.7763,7.70676,-0.16982,0.09025,0.02311,-0.01919,0.78964,-8.15332,-15.56396
"44","2021_Q1",16.3062295081967,"Up",130129000,-76612000,53517000,-56841000,-29348000,-27493000,-3324000,-46000,901000,-4000,905000,-947000,-3370000,-339000,6453000,6114000,6114000,6114000,6114000,63292000,60161000,3131000,98827000,98827000,125457000,29842000,8293000,21549000,317418000,62399000,80130000,65732000,6968000,9869000,25425000,208261000,525679000,80101000,49929000,1301000,28871000,14092000,14092000,94193000,58542000,7124000,58542000,152735000,282263000,-679493000,781813000,-11639000,372944000,372944000,525679000,6114000,4102000,-3539000,-17878000,-11201000,-1329000,-1331000,-1331000,4829000,3500000,-4341000,556132.483160644,552685.734445346,-5384000,-13085000,-13085000,1861000,-11224000,777999.999999998,-9.31322574615479e-10,-24882000,0.41126,-0.02554,0.04698,0.01639,0.01163,-4.06968,3.36987,0.40954,0,0.12708,0.12406,2.70465,7.75142,-0.51716,0.09023,0.02423,-0.05767,0.71001,-81.35219,19.04091
"45","2021_Q2",18.8004761904762,"Up",127533000,-73932000,53601000,-54936000,-27435000,-27501000,-1335000,2283000,284000,-6000,290000,1999000,948000,1944000,-1048000,896000,896000,896000,896000,67869000,63777000,4092000,103201000,103201000,122862000,30413000,7625000,22788000,324345000,60157000,81266000,64995000,6968000,9448000,26195000,206418000,530763000,87698000,55476000,1765000,30457000,14457000,14457000,102155000,58233000,6956000,58233000,160388000,284070000,-676221000,776121000,-13595000,370375000,370375000,530763000,896000,4122000,730000,4937000,10685000,-741000,-741000,-741000,-1263000,-2004000,-4361000,1244000,1244000,-3230000,5451000,5451000,-1734000,3717000,2787000,0,8031000,0.42029,-0.01047,0.00703,0.00242,0.00169,8.96317,3.17503,0.43304,-1.73472347597681e-18,0.01854,0.01828,2.63847,7.66251,0.16615,0.09022,0.01227,0.01874,4.86719,-24.35199,50.8382
"46","2021_Q3",20.5415625,"Up",143232000,-80564000,62668000,-58737000,-30866000,-27871000,3931000,273000,247000,-6000,253000,25999.9999999995,4204000,6213000,-1127000,5086000,5086000,5086000,5086000,72745000,69927000,2818000,122669000,122669000,119012000,30071000,9830000,20241000,344497000,58270000,82778000,65881000,6968000,9165000,28394000,206929000,551426000,100180000,66499000,2345000,31336000,15889000,15889000,116069000,59842000,6477000,59842000,175911000,285878000,-673277000,776054000,-13140000,375515000,375515000,551426000,5086000,4110000,124000,-1792000,7528000,-1469000,-1469000,-1469000,1739000,270000,-4374000,2308000,2308000,-2066000,5732000,5732000,353000,6085000,8041000,0,5907000,0.43753,0.02744,0.03551,0.01354,0.00922,1.16142,2.96804,0.46845,0,0.10522,0.10379,2.96326,7.76885,0.12221,0.09049,0.02173,0.01357,0.860010000000001,-9.04676,-18.50547
"47","2021_Q4",19.84703125,"Down",138081000,-90408000,47673000,-57731000,-30972000,-26759000,-10058000,986000,338000,-1665.82754790866,315116.713926333,648000,-9072000,-9135000,-1292000,-10427000,-10427000,-10427000,-10427000,78113000,75503000,2610000,124146000,124146000,127241000,20030000,10061000,9968999.99999999,349530000,56556000,83935000,67891000,6968000,8957000,31675000,208382000,557912000,117650000,79074000,5914000,32662000,16394000,16394000,134044000,60115000,7365000,60115000,194159000,287720000,-669899000,760398000,-14466000,363753000,363753000,557912000,-10427000,4014000,1809000,15282000,10678000,-1362000,-1801611.47662764,-1801611.47662764,-1024000,-1886000,-4389000,2559000,2559000,-1830000,6962000,6962000,1381000,8343000,-6044000,0,9168000,0.34525,-0.07284,-0.07551,-0.02867,-0.01869,-0.87926,2.60758,0.53377,0,-0.21451,-0.21451,2.84065,7.48324,0.18861,0.09029,-0.01425,0.02163,-0.42093,12.92406,7.76626000000001
"48","2022_Q1",19.505,"Down",154158000,-99723000,54435000,-61673000,-35141000,-26532000,-7238000,3092000,1941000,-4405.52662139642,265001.545225849,1151000,-4146000,-5327000,1137000,-4190000,-4190000,-4190000,-4190000,56953000,56603000,350000,132114993.494969,132114993.494969,139891000,179481000,9296000,170185000,376325000,55766000,70615000,66311000,6968000,9079000,30971000,192692000,569017000,137622000,102489000,6560000,28573000,17737000,17737000,155359000,44016000,1231000,56556000,211915000,289743000,-661547000,740820000,-11914000,357102000,357102000,569017000,-4190000,3838000,-1982000,-23549000,-25883000,-2097000,-1620507.3033085,-1620507.3033085,15983000,13886000,-4405000,320000,320000,-5832000,-17829000,-17829000,-3677000,-21506000,-3400000,12540000,-30183000,0.35311,-0.04695,-0.02718,-0.01173,-0.00736,7.20358,2.42229,0.59343,0.02204,-0.0862,-0.0862,3.17139,7.34642,-0.62093,0.09062,0.00052,-0.07297,-1.05131,13.06265,6.13609
"49","2022_Q2",17.908064516129,"Down",154518000,-100202000,54316000,-54384000,-27893000,-26491000,-68000,-52000,174000,-30000,204000,-226000,-120000,-3535000,2408000,-1127000,-1127000,-1127000,-1127000,54408000,53979000,429000,150111000,150111000,171121000,26501000,9076000,17425000,402141000,54384000,67713000,64854000,6968000,8939000,30542000,186951000,589092000,163319000,127111000,3519000,32689000,19454000,19454000,182773000,54003000,4264000,54003000,236776000,291636000,-660013000,734249000,-13556000,352316000,352316000,589092000,-1127000,3661000,5135000,-2800000,4869000,-1461000,-1461000,-1461000,-1239000,-2700000,-4438000,568000,568000,-3924000,-1755000,-1755000,-1032000,-2787000,3593000,0,-3076000,0.35152,-0.00044,-0.00729,-0.0032,-0.00191,2.72937,2.20022,0.67206,-3.46944695195361e-18,-0.02304,-0.02304,3.15897,7.20276,-0.06289,0.09073,0.00815,-0.00757000000000001,-3.93789,-15.14278,800.11765
"50","2022_Q3",21.67890625,"Up",172038000,-109532000,62506000,-54373000,-27873000,-26500000,8133000,804000,123000,-94000,217000,681000,8937000,4291000,-2148000,2143000,2143000,2143000,2143000,45141000,43368000,1773000,172088000,172088000,196916000,17719000,9306000,8413000,431864000,53432000,52297000,62586000,6968000,8508000,29637000,168315000,600179000,179008000,144432000,4541000,30035000,22705000,22705000,201713000,49929000,3893000,49929000,251642000,293524000,-660112000,731821000,-16696000,348537000,348537000,600179000,2143000,3574000,6462000,-22966000,-10787000,-1824000,-1824000,-1824000,9308000,7484000,-4439000,68000,68000,-4650000,-7953000,-7953000,-2710000,-10663000,11707000,0,-10935000,0.36333,0.04727,0.01246,0.00615,0.00357,-5.10266,2.14098,0.722,0,0.04363,0.04302,3.50219,7.09519,-0.2226,0.09037,0.01652,-0.02744,2.0714,-3.8559,-5.55035
