"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"28","2018_Q1",5.24065573770492,"Up",112094000,-68909000,43185000,-40370000,-27106000,-13264000,2815000,-7674000,-7674000,-4859000,-4859000,-396000,-5255000,-5255000,-5255000,-5255000,95993000,72084000,72789000,72789000,105054000,35167000,18988000,16179000,309003000,23062000,74399000,964000,57812000,15623000,97461000,406464000,66758000,17486000,49272000,104711000,87785000,16926000,284492000,51548000,23891000,13823000,10068000,75439000,359931000,496971000,-450386000,-52000,46533000,46533000,406464000,-5255000,4195000,9237000,14962000,23139000,-1745000,-1745000,-1412000,-1745000,711000,711000,-13114000,8280000,8280000,2546000,10826000,7010000,164571000,20623000,0.38526,0.02511,-0.04688,-0.11293,-0.01293,-3.92445,1.08616,7.73496,0.40488,-0.06319,-0.06319,1.34788,0.55954,0.24798,-0.02236,0.08776,9.78288,24.36163
"29","2018_Q2",4.6309375,"Down",90950000,-52844000,38106000,-40158000,-26065000,-14093000,-2052000,-6571000,-6571000,-8623000,-8623000,-759000,-9382000,-9382000,-9382000,-9382000,91847000,67916000,69650000,69650000,113421000,21953000,16909000,5044000,296871000,21672000,75409000,929000,57863000,16617000,97081000,393952000,61125000,22199000,38926000,99667000,80303000,19364000,199943000,118869000,26494000,16080000,10414000,145363000,345306000,508098000,-459768000,316000,48646000,48646000,393952000,-9382000,2514000,7307000,-13466000,-13027000,-929000,-929000,-929000,-929000,9e+05,9e+05,-1167000,-15123000,-15123000,684000,-14439000,462000,158020000,-13174000,0.41898,-0.02256,-0.10316,-0.19286,-0.02382,1.40418,1.48478,7.09834,0.40111,-0.11203,-0.11203,1.08601,0.58087,-0.15731,-0.04024,-0.0565,143.2316,-32.24805
"30","2018_Q3",3.94126984126984,"Down",100329000,-60974000,39355000,-40372000,-25708000,-14664000,-1017000,-3738000,-3738000,-4755000,-4755000,36000,-4719000,-4719000,-4719000,-4719000,104025000,79509000,80907000,80907000,113809000,19932000,15577000,4355000,318673000,22601000,72663000,893000,57910000,13860000,95264000,413937000,67667000,25922000,41745000,99752000,79955000,19797000,206870000,130425000,27531000,16737000,10794000,157956000,364826000,512968000,-464487000,630000,49111000,49111000,413937000,-4719000,2493000,5562000,-4048999.99999999,-713000,-1048000,-1048000,-1048000,-988000,1136000,1136000,12875000,11174000,11174000,207000,11381000,1476000,169876000,-3657000,0.39226,-0.01014,-0.04704,-0.09609,-0.0114,0.774949999999999,1.54045,7.4286,0.41039,-0.05579,-0.05579,1.18612,0.5806,-0.04323,-0.01914,-0.01483,44.6145,-64.75025
"31","2018_Q4",4.05539682539683,"Up",99832000,-63583000,36249000,-40070000,-26164000,-13906000,-3821000,-4465000,-4465000,-8286000,-8286000,-566000,-8852000,-8852000,-8852000,-8852000,71280000,70392000,81846000,81846000,115900000,21466000,16653000,4813000,290492000,24462000,72365000,857000,58021000,13487000,96827000,387319000,73094000,23175000,49919000,106710000,84058000,22652000,179804000,134321000,28416000,17343000,11073000,162737000,342541000,516259000,-473339000,1858000,44778000,44778000,387319000,-8852000,2380000,4589000,6068000,4185000,-2621000,-2621000,-2621000,21254000,844000,844000,-36348000,-10909000,-10909000,1642000,-9267000,-1441000,134321000,2572000,0.3631,-0.03827,-0.08867,-0.19769,-0.02285,-0.29056,1.6156,7.64976,0.3468,-0.10358,-0.10358,1.16819,0.52397,0.0301,-0.04266,0.01239,-43.74809,-16.49856
"32","2019_Q1",4.55098360655738,"Up",113786000,-65801000,47985000,-44892000,-30304000,-14588000,3093000,-4450000,-4450000,-1357000,-1357000,411000,-946000.000000001,-945999.999999998,-945999.999999998,-945999.999999998,83083000,83083000,65994000,65994000,108540000,26540000,15569000,10971000,284157000,23698000,70872000,821000,57855000,12196000,94570000,378727000,71134000,19694000,51440000,98300000,75404000,22896000,169434000,131077000,29584000,20976000,8608000,160661000,330095000,521824000,-474285000,1093000,48632000,48632000,378727000,-945999.999999998,2345000,4996000,21491000,27886000,-2011000,-2011000,-1678000,-1571000,1509000,1509000,-2813000,23502000,23502000,-2879000,20623000,5438000,131077000,24507000,0.42171,0.02718,-0.00831000000000001,-0.01945,-0.0025,-25.90592,1.6771,6.78761,0.3461,-0.01103,-0.01103,1.32649,0.56694,0.2857,-0.00452,0.11709,8.82567,15.51697
"33","2019_Q2",4.03952380952381,"Down",95829000,-57950000,37879000,-42567000,-28678000,-13889000,-4688000,-3983000,-3983000,-8671000,-8671000,-535000,-9206000,-9206000,-9206000,-9206000,68545000,68545000,66420000,66420000,117684000,19264000,17075000,2189000,271913000,23126000,74092000,785000,57767000,15540000,97218000,369131000,69018000,25921000,43097000,91459000,72278000,19181000,160477000,128926000,32622000,22732000,9890000,161548000,322025000,524785000,-478377000,698000,47106000,47106000,369131000,-9206000,2129000,8872000,-19618000,-17823000,-1602000,-1602000,-1602000,-1602000,837000,837000,-2426000,-21851000,-21851000,-377000,-22228000,-2559000,128926000,-23244000,0.39528,-0.04892,-0.09607,-0.19543,-0.02494,2.52488,1.6944,6.83618,0.34927,-0.10645,-0.10645,1.10812,0.54471,-0.26878,-0.04412,-0.1114,-23.59555,-12.87991
"34","2019_Q3",3.3178125,"Down",102318000,-63938000,38380000,-39248000,-25608000,-13640000,-868000.000000001,-3321000,-3321000,-4189000,-4189000,-451000,-4640000,-4640000,-4640000,-4640000,59428000,59428000,86333000,86333000,119494000,23931000,18476000,5455000,289186000,21103000,75784000,750000,57764000,17270000,96887000,386073000,76380000,31396000,44984000,92626000,72726000,19900000,169006000,136823000,34099000,23406000,10693000,170922000,339928000,528342000,-482956000,759000,46145000,46145000,386073000,-4640000,2045000,3490000,-14670000,-13775000,-616000,-616000,-616000,-616000.000000001,1211000,1211000,8327000,-6064000,-6064000,111000,-5953000,1177000,136823000,-13658000,0.37511,-0.00847999999999999,-0.04535,-0.10055,-0.01202,2.94353,1.7111,7.36652,0.3544,-0.05319,-0.05319,1.17287,0.52896,-0.15656,-0.02138,-0.06292,65.75616,-89.16475
"35","2019_Q4",2.7753125,"Down",103221000,-62755000,40466000,-37585000,-24672000,-12913000,2881000,-3829000,-3829000,-948000,-948000,-236000,-1184000,-1184000,-1184000,-1184000,62509000,62509000,99774000,99774000,124433000,23712000,21452000,2260000,310428000,20265000,75441000,714000,57813000,16914000,95706000,406134000,79419000,25392000,54027000,101655000,78833000,22822000,181074000,145957000,31459000,23291000,8168000,177416000,358490000,531295000,-484140000,489000,47644000,47644000,406134000,-1184000,1914000,4044000,-11903000,-7129000,-1018000,-1018000,-1018000,-1018000,1167000,1167000,8812000,665000,665000,-671000,-6000,4795000,145957000,-7890000,0.39203,0.02791,-0.01147,-0.02485,-0.00292,6.66385,1.71437,7.52435,0.35938,-0.01346,-0.01346,1.17347,0.54164,-0.0897,-0.00526,-0.03506,17.40313,28.96494
"36","2020_Q1",2.88935483870968,"Up",117417000,-71491000,45926000,-42668000,-26617000,-16051000,3258000,-3794000,-3794000,-536000,-536000,-864000,-1400000,-1400000,-1400000,-1400000,76798000,76798000,111885000,111885000,120823000,34569000,24205000,10364000,344075000,17122000,76984000,679000,57770000,18535000,94106000,438181000,93454000,29562000,63892000,98727000,78332000,20395000,192181000,159844000,36285000,26639000,9646000,196129000,388310000,535421000,-485540000,-10000,49871000,49871000,438181000,-1400000,4403000,6610000,-527000,9086000,-1075000,-1075000,-1075000,-1075000,712000,712000,13760000,21771000,21771000,1061000,22832000,7661000,159844000,6923000,0.39114,0.02775,-0.01192,-0.02807,-0.0032,-4.945,1.79037,7.78629,0.36479,-0.01588,-0.01588,1.33153,0.56555,0.07851,-0.00569,0.02814,10.8401,25.48987
"37","2020_Q2",2.08190476190476,"Down",89577000,-56634000,32943000,-37223000,-23882000,-13341000,-4280000,-4439000,-4439000,-8719000,-8719000,-637000,-9356000,-9356000,-9356000,-9356000,80911000,80911000,104684000,104684000,129233000,26399000,20500000,5899000,341227000,16682000,105838000,643000,57657000,47538000,122520000,463747000,71046000,23621000,47425000,105101000,79596000,25505000,176147000,188460000,58166000,26273000,31893000,246626000,422773000,536898000,-494896000,-1028000,40974000,40974000,463747000,-9356000,1865000,4008000,-21138000,-24621000,-1267000,-1267000,-1267000,-1267000,1345628.0683539,1332736.49983206,27450000,1562000,1562000,-1852000,-290000,-2415000,188460000,-24183000,0.36776,-0.04778,-0.10445,-0.22834,-0.02017,2.58476,1.93717,10.31808,0.40639,-0.10539,-0.10539,1.00907,0.46156,-0.27242,-0.03253,-0.08409,-44.53375,-25.12827
"38","2020_Q3",2.3325,"Up",98826000,-60926000,37900000,-34277000,-21213000,-13064000,3623000,7766000,7766000,11389000,11389000,-679000,10710000,10710000,10710000,10710000,96420000,96420000,87734000,87734000,131253000,23108000,20320000,2788000,338515000,16977000,108056000,607000,57740000,49709000,140958000,479473000,73056000,22062000,50994000,105428000,79599000,25829000,178484000,183864000,61125000,27242000,33883000,244989000,423473000,540337000,-484186000,-151000,5.6e+07,5.6e+07,479473000,10710000,1847000,-7383000,11280000,16454000,-1266000,-1266000,-1266000,-1266000,1358000,1358000,-4565999.99999999,10622000,10622000,1880000,12502000,5470000,183864000,16163000,0.3835,0.03666,0.10837,0.19125,0.02234,1.50915,1.89661,7.56202,0.38347,0.11964,0.11715,1.10398,0.62557,0.18056,0.03558,0.0537,15.98611,24.1358
"39","2020_Q4",3.66953125,"Up",99548000,-60415000,39133000,-31164000,-2e+07,-11164000,7969000,-5281000,-5281000,2688000,2910000,-285000,2625000,2625000,2625000,2625000,89742000,89742000,102685000,102685000,136277000,23307000,21266000,2041000,352011000,16302000,106657000,720000,57701000,48236000,137977000,489988000,71688000,26530000,45158000,108720000,82943000,25777000,180408000,190663000,59040000,26563000,32477000,249703000,430111000,542217000,-481561000,-779000,59877000,59877000,489988000,2625000,1869000,5333000,-21948000,-12121000,-401000,-401000,-231000,-401000,1000,1000,5442000,-7080000,-7080000,-703000,-7783000,9838000,190663000,-12226000,0.39311,0.08005,0.02637,0.04384,0.00536,-4.65752,1.95119,7.18324,0.38912,0.02902,0.02882,1.1004,0.66188,-0.13515,0.00848,-0.03949,10.25828,12.6642
"40","2021_Q1",5.15819672131148,"Up",94977000,-55232000,39745000,-34518000,-22303000,-12215000,5227000,-4746000,-4746000,481000,110000,-262000,-151999.999999999,-151999.999999999,-151999.999999999,-151999.999999999,107577000,107577000,90599000,90599000,134374000,24936000,21227000,3709000,357486000,15349000,104163000,663000,57717000,45783000,133441000,490927000,68269000,23126000,45143000,114002000,83207000,30795000,182271000,189307000,55714000,24125000,31589000,245021000,427292000,545741000,-481713000,-484000,63635000,63635000,490927000,-151999.999999999,1960000,7085000,9926000,18819000,-794000,-794000,-794000,-794000,1091000,1091000,-1630000,16395000,16395000,909000,17304000,7187000,189307000,16581000,0.41847,0.05503,-0.00159999999999998,-0.00239,-0.00031,-109.08553,1.96129,6.71473,0.38561,-0.00168,-0.00167000000000002,1.04668,0.70028,0.18273,-0.00049,0.05372,11.37192,15.63612
"41","2021_Q2",4.68222222222222,"Down",85332000,-49929000,35403000,-29935000,-17787000,-12148000,5468000,-4694000,-4694000,774000,746000,-344000,402000,402000,402000,402000,89955000,89955000,75034000,75034000,141017000,26470000,18139000,8331000,332476000,14540000,102103000,606000,57834000,43663000,132234000,464710000,56506000,17841000,38665000,106437000,81344000,25093000,169105000,173527000,54638000,24406000,30232000,228165000,397270000,547742000,-481311000,1009000,67440000,67440000,464710000,402000,1660000,3041000,-7973000,-2870000,-569000,-569000,-569000,-569000,797410.863187232,1545188.29060373,-11159000,-14598000,-14598000,1488000,-13110000,7128000,179689000,-1070000,0.41489,0.06408,0.00471,0.00596,0.000870000000000001,-2.66169,1.96609,5.89072,0.38667,0.00441,0.00438,0.93572,0.73952,-0.01173,0.00133,-0.00355,12.58895,16.41075
"42","2021_Q3",3.96875,"Down",97459000,-56628000,40831000,-32632000,-20676000,-11956000,8199000,-4260000,-4260000,3939000,5056000,-287000,4769000,4769000,4769000,4769000,107322000,107322000,65367000,65367000,138655000,33578000,22309000,11269000,344922000,13773000,102428000,549000,57963000,43916000,133220000,478142000,57214000,10876000,46338000,108987000,80884000,28103000,178731000,168082000,53551000,23391000,30160000,221633000,400364000,551502000,-476542000,2818000,77778000,77778000,478142000,4769000,1657000,4758000,8100000,19284000,-598000,-598000,-598000,-677000,1108000,1108000,136000,18743000,18743000,1810000,20553000,9856000,180612000,17645000,0.41896,0.08413,0.04893,0.06132,0.00997,3.69994,1.92984,5.14752,0.37774,0.05182,0.05099,1.05906,0.84519,0.19174,0.01529,0.05657,7.43608,8.93889
"43","2021_Q4",4.82015625,"Up",102562000,-63020000,39542000,-35116000,-21848000,-13268000,4426000,-4027000,-4027000,399000,331000,-721000,-390000,-390000,-390000,-390000,126335000,126335000,69914000,69914000,136854000,26281000,21030000,5251000,359384000,12327000,98536000,492000,57909000,40135000,127442000,486826000,61831000,17869000,43962000,112363000,80677000,31686000,193136000,164090000,51050000,23212000,27838000,215140000,408276000,554673000,-476932000,716000,78550000,78550000,486826000,-390000,1575000,6263000,8455000,15903000,-260000,-260000,-260000,-260000,789000,789000,1630000,17273000,17273000,-3171000,14102000,6001000,183032000,14917000,0.38554,0.04315,-0.0038,-0.00496000000000001,-8e-04,-38.24872,1.86078,5.19766,0.37597,-0.00419,-0.0041,1.10163,0.84272,0.16023,-0.00125,0.04771,9.44793,12.80999
"44","2022_Q1",3.72370967741935,"Down",110936000,-67205000,43731000,-39589000,-24232000,-15357000,4142000,-14685000,-14685000,-10543000,-10692000,-4e+05,-11092000,-11092000,-11092000,-11092000,116369000,116369000,85360000,85360000,125929000,25115000,21547000,3568000,352773000,12332000,99058000,435000,57960000,40663000,127325000,480098000,73803000,19467000,54336000,114766000,81660000,33106000,192359000,170007000,48892000,23685000,25207000,218899000,411258000,554680000,-488024000,2093000,68840000,68840000,480098000,-11092000,1497000,16573000,-783000,6195000,-893000,-893000,-893000,-893000,-12947000,1133000,-19412000,-14110000,-14110000,855000,-13255000,5639000,173797000,4363000,0.3942,0.03734,-0.09999,-0.16113,-0.0231,-0.393349999999998,1.83393,5.97411,0.362,-0.12082,-0.12625,1.20837,0.74885,0.04752,-0.03805,0.01497,10.18408,13.8648
"45","2022_Q2",2.49661290322581,"Down",107442000,-67918000,39524000,-37113000,-22731000,-14382000,2411000,-2668000,-2668000,-257000,-597000,-431000,-1028000,-1028000,-1028000,-1028000,104679000,104679000,94038000,94038000,126493000,25308000,22263000,3045000,350518000,12263000,98253000,378000,57951000,39924000,125258000,475776000,74672000,22569000,52103000,109981000,78890000,31091000,188317000,194145000,47549000,23828000,23721000,241694000,430011000,531553000,-488203000,2324000,45765000,45765000,475776000,-1028000,1419000,4344000,-13335000,-8600000,-1456000,-3984912.00083101,-3991577.41327442,-1456000,-19875333.1332134,1886467.6451516,-1e+06,-11056000,-11056000,-654000,-11710000,3830000,197809000,-10530000,0.36786,0.02244,-0.00957,-0.02246,-0.00216,10.24319,1.86132,9.39607,0.41576,-0.01117,-0.01117,1.16745,0.49629,-0.11442,-0.00353,-0.03617,24.31593,38.62713
"46","2022_Q3",2.27296875,"Down",116275000,-73648000,42627000,-38646000,-23949000,-14697000,3981000,-2490000,-2490000,1491000,659000,-480000,179000,179000,179000,179000,123196000,123196000,81905000,81905000,123680000,22539000,20940000,1599000,351320000,12208000,97295000,322000,58006000,38967000,124181000,475501000,87325000,29258000,58067000,109522000,76585000,32937000,204388000,174492000,45627000,25175000,20452000,220119000,424507000,536709000,-488024000,2216000,50994000,50994000,475501000,179000,1422000,5642000,25368000,32611000,-803000,-10873736.002493,-10893732.2398233,-803000,2748000,2748000,-13510000,18298000,18298000,-93000,18205000,5403000,182033000,30448000,0.36661,0.03424,0.00153999999999999,0.00351,0.00038,170.10056,1.71889,8.32465,0.38282,0.00195999999999999,0.00196,1.27356,0.55752,0.3335,0.00064,0.10927,10.88969,14.77945
