"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"37","2019_Q2",149.56619047619,"Up",246508000,-134050000,112458000,-79556000,-64139000,32902000,3327000,36229000,29050000,-17550000,11500000,11500000,11500000,11500000,388873000,352387000,50842000,16874000,16874000,456589000,119040000,1167895000,120585000,1318801000,1775390000,86229000,80085000,67288000,153517000,198435000,128137000,198435000,351952000,1304389000,118783000,1423438000,1423438000,1775390000,11500000,25983000,14054000,7121000,58658000,-8756000,-8756000,-8756000,-2469000,-15534000,40655000,40655000,40655000,58885000,0,74800000,0.4562,0.13347,0.04665,0.00808,0.00648,6.50435,2.97419,0.24725,0,0.53491,0.52154,11.46602,66.2095,3.47923,5,0.01393,0.04612,-6.60394,-11.81913
"38","2019_Q3",156.033125,"Up",245110000,-130704000,114406000,-83791000,-68374000,30615000,4125000,34740000,31721000,-7312000,24409000,24409000,24409000,24409000,414803000,375515000,47340000,28178000,17660000,490321000,118462000,1150050000,117268000,1294249000,1784570000,86066000,86066000,67753000,153819000,192875000,126552000,192875000,346694000,1305367000,132060000,1437876000,1437876000,1784570000,24409000,26514000,2818000,-9336000,44405000,-10103000,-10103000,-10103000,-7013000.00000001,-14267000,23125000,23125000,23125000,57129000,-7.27595761418343e-12,45002000,0.46675,0.1249,0.09958,0.01698,0.01368,1.84366,3.18765,0.24112,0,1.12086,1.10408,11.25545,66.02728,2.06649,5,0.02178,0.0276,-7.26081,-13.54901
"39","2019_Q4",127.54078125,"Down",241747000,-132527000,109220000,-87720000,-72303000,21500000,3243000,24743000,23243000,-6551000,16692000,16692000,16692000,16692000,430549000,397094000,50964000,24100000,17130000,505613000,116489000,1132562000,113643000,1275583000,1781196000,86092000,86092000,71738000,157830000,178707000,121691000,178707000,336537000,1306573000,137639000,1444659000,1444659000,1781196000,16692000,26365000,-6290000,1577000,38344000,-8910000,-8910000,-8910000,-4074000,-12691000,21579000,21579000,21579000,47865000,0,47083000,0.45179,0.08894,0.06905,0.01155,0.00937,2.82069,3.20353,0.23295,0,0.76548,0.75427,11.08626,66.25053,2.15918,5,0.01712,0.029,-8.99507,-20.02553
"40","2020_Q1",140.790483870968,"Up",263772000,-133323000,130449000,-83011000,-67595000,47438000,2497000,49935000,39710000,-11173000,28537000,28537000,28537000,28537000,454567000,419693000,51523000,18004000,18004000,524094000,117029000,1111652000,106566000,1265314000,1789408000,92180000,90828000,64568000,156748000,169950000,122008000,169950000,326698000,1309658000,152819000,1462710000,1462710000,1789408000,28537000,25999000,216000,5987000,60739000,-10920000,-10920000,-10920000,-24510000,-13328000,22901000,22901000,22901000,73437000,0,79677000,0.49455,0.17984,0.10819,0.01951,0.01595,2.79206,3.34355,0.22335,-2.71050543121376e-20,1.30796,1.29127,12.08965,67.04143,3.65189,5,0.02564,0.0488,-6.18989,-9.58234
"41","2020_Q2",144.34380952381,"Up",265302000,-132936000,132366000,-84643000,-69226000,47723000,2123000,49846000,46082000,-10843000,35239000,35239000,35239000,35239000,469687000,442845000,41335000,21761000,21761000,532783000,117284000,1097164000,105911000,1251038000,1783821000,95587000,81859000,65301000,160888000,163786000,119205000,163786000,324674000,1287628000,171266000,1459147000,1459147000,1783821000,35239000,25733000,1518000,6205000,68695000,-14258000,-14258000,-14258000,-6334000,-38663000,23698000,23698000,23698000,73456000,0,76246000,0.49893,0.17988,0.13283,0.02415,0.01975,2.16368,3.31151,0.22251,0,1.61573,1.59662,12.16424,66.90266,3.49592,6,0.02992,0.04698,-6.39413,-9.84194
"42","2020_Q3",112.836875,"Down",255831000,-125544000,130287000,-82718000,-67301000,47569000,1639000,49208000,48034000,-13882000,34152000,34152000,34152000,34152000,493425000,470319000,41004000,19067000,19067000,553496000,117247000,1088904000,111485000,1238068000,1791564000,83980000,67258000,64904000,148884000,158130000,118023000,158130000,307014000,1291819000,192072000,1484550000,1484550000,1791564000,34152000,26248000,-682000,-16472000,43246000,-11207000,-11207000,-11207000,-2818000.00000001,-13004000,27424000,27424000,27424000,73817000,0,60020000,0.50927,0.18594,0.13349,0.023,0.01906,1.75744,3.71763,0.20681,8.67361737988404e-19,1.5692,1.55159,11.75478,68.21127,2.75777,7,0.02891,0.03654,-6.68444,-10.37283
"43","2020_Q4",86.88265625,"Down",239026000,-127174000,111852000,-89486000,-74069000,22366000,912000,23278000,16334000,-5374000,10960000,10960000,10960000,10960000,738261000,717804000,45958000,22156000,22156000,806375000,115607000,1094674000,131088000,1240944000,2047319000,127922000,115829000,67373000,195295000,146966000,112954000,146966000,342261000,1515906000,188392000,1705058000,1705058000,2047319000,10960000,26208000,-2133000,11810000,46845000,-9322000,-9322000,-9322000,-5398000,205585000,247032000,247032000,247032000,48574000,0,56436000,0.46795,0.09357,0.04585,0.00643,0.00535,5.14927,4.12901,0.20073,0,0.47642,0.47213,10.39018,74.11684,2.45321,5,0.01382,0.03047,-15.19869,-33.00818
"44","2021_Q1",84.4709836065574,"Down",267494000,-147007000,120487000,-102609000,-84635000,17878000,-101000,17777000,3507000,2410000,5917000,5917000,5917000,5917000,195066000,187509000,50169000,40887000,39458000,286122000,158854000,1820561000,175615000,2009685000,2295807000,104742000,104742000,95310000,200052000,205613000,152206000,347436000,547488000,1519793000,179646000,1748319000,1748319000,2295807000,5917000,30965000,3936000,-56699000,-15881000,-12025000,-12025000,-12025000,-627642000,125269000,-518254000,-518254000,-516631000,48843000,141823000,-22291000,0.45043,0.06684,0.02212,0.00338,0.00258,-3.76728,1.43024,0.31315,0.06177,0.24703,0.24507,11.16745,72.98956,-0.93061,1,0.00981,-0.01064,-1.09008,-2.97813
"45","2021_Q2",75.7185714285714,"Down",290336000,-152805000,137531000,-106252000,-86845000,31279000,2167000,33446000,14167000,-4590000,9577000,9577000,9577000,9577000,244745000,238290000,63469000,44714000,44714000,352928000,164277000,1822957000,203280000,2016514000,2369442000,108798000,97448000,140959000,249757000,241962000,197698000,383760000,633517000,1521392000,174469000,1735925000,1735925000,2369442000,9577000,34571000,9552000,25081000,78781000,-12650000,-12650000,-12650000,-10792000,-17104000,50885000,50885000,50019000,65850000,141798000,82871000,0.4737,0.10773,0.03299,0.00552,0.00404,8.65313,1.41309,0.36494,0.05984,0.39947,0.39651,12.11045,72.40865,3.4567,3,0.01149,0.0391,-1.56336,-3.29125
"46","2021_Q3",71.2784375,"Down",299173000,-152938000,146235000,-112787000,-93395000,33448000,757000,34205000,27457000,-7481000,19976000,19976000,19976000,19976000,265625000,261585000,78609000,49401000,43600000,393635000,153812000,1787804000,193956000,1969678000,2363313000,104134000,100119000,148055000,252189000,236196000,193386000,377944000,630133000,1523268000,179089000,1733180000,1733180000,2363313000,19976000,32053000,5348000,-10327000,47050000,-10488000,-10488000,-10488000,-7013000,-17632000,22404999.9999999,22404999.9999999,21875000.0000001,65501000,141748000,52167000,0.4888,0.1118,0.06677,0.01153,0.00845,2.61148,1.56087,0.36357,0.05998,0.83324,0.82706,12.47906,72.29415,2.17598,4,0.01646,0.02471,-1.89122,-3.70357
"47","2021_Q4",60.53375,"Down",270078000,-153651000,116427000,-104646000,-95714000,11781000,-1848000,9933000,5500000,-1646000,3854000,3854000,3854000,3854000,277406000,274774000,87123000,41952000,39785000,406481000,147246000,1734828000,176242000,1909641000,2316122000,106005000,103383000,149643000,255648000,223825000,182801000,365418000,621066000,1525435000,167665000,1695056000,1695056000,2316122000,3854000,21564000,5100000,4814000,35332000,-6166000,-10494000,-10494000,-2788000,-17741000,14803000,14803000,12919000,33345000,141593000,33639000,0.43109,0.04362,0.01427,0.00227,0.00166,8.72833,1.59,0.3664,0.06113,0.16093,0.15983,11.27768,70.78069,1.40467,3,0.00902,0.01633,-4.07296,-11.52814
"48","2022_Q1",57.2427419354839,"Down",272099000,-148867000,123232000,-89155000,-85391000,34077000,1611000,35688000,29475000,-7795000,21680000,21680000,21680000,21680000,275419000,268918000,51277000,41090000,40777000,367786000,150589000,1764128000,201884000,1938094000,2305880000,95518000,95518000,100237000,195755000,254505000,209910000,396135000,591890000,1530215000,174572000,1713990000,1713990000,2305880000,21680000,15228000,8062000,-25606000,19364000,-11798000,-15801000,-15801000,-12501000,-15411000,-8548000.00000001,-8548000.00000001,-7621000,49305000,141630000,19696000,0.45289,0.12524,0.07968,0.01265,0.0094,0.908489999999998,1.87881,0.34533,0.06142,0.90529,0.8991,11.36208,71.57132,0.82245,7,0.01727,0.00933,-2.7135,-3.92608
"49","2022_Q2",65.3495161290323,"Up",258855000,-144624000,114231000,-98522000,-94784000,15709000,-1171000,14538000,12270000,-5241000,7029000,7029000,7029000,7029000,300204000,293419000,64798000,52846000,52846000,417848000,152742000,1776016000,196574000,1950035000,2367883000,113356000,103934000,141480000,254836000,246991000,207017000,388734000,643570000,1528578000,166550000,1724313000,1724313000,2367883000,7029000,16272000,266000,33028000,56595000,-9686000,-9686000,-9686000,-8761000,-21828000,26006000,26006000,28103000,31981000,141743000,60564000,0.44129,0.06069,0.02715,0.00408,0.00297,8.6163,1.63967,0.37323,0.05986,0.29381,0.29168,10.81989,72.07461,2.53152,5,0.01043,0.02866,-4.95485,-10.08727
"50","2022_Q3",67.8924489795918,"Up",273564000,-147368000,126196000,-100416000,-96722000,25780000,300000.000000001,26080000,22165000,-6945000,15220000,15220000,15220000,15220000,271795000,262941000,75937000,48092000,48092000,395824000,141736000,1704762000,182256000,1864437000,2260261000,89589000,85210000,146044000,235633000,231270000,192656000,372707000,608340000,1513755000,166175000,1651921000,1651921000,2260261000,15220000,17164000,6847000,-15150000,24081000,-13002000,-13002000,-13002000,-12050000,-35911000,-23880000,-23880000,-30958000,42944000,141437000,21737000,0.4613,0.09424,0.05564,0.00921,0.00673,1.42819,1.67983,0.36826,0.06258,0.6396,0.63251,11.49622,69.42011,0.91347,5,0.01486,0.01074,-3.03553,-5.05656
