"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"31","2018_Q2",5.526875,"Up",41735556,-29857040,11878516,-7180490,-1546300,-5634190,4698026,-4095315,-4095315,602711,879732,1482443,-305955,1176488,1176488,30013,1206501,-238343,30673556,30673556,9732048,9732048,11109018,6207626,4901392,51514622,438649721,438649721,443840576,495355198,19763535,16534533,3229002,2570635,2570635,22334170,380701182,380701182,403035352,29100,146501479,-50558067,91399570,920276,92319846,495355198,1176488,5634190,-527685,1025120,7308113,-86330241,-86330241,-86330241,870741,-85459500,85350988,-3450865,80297293,2145906,2145906,2145906,10332216,380701182,-74666950,0.28461,0.11257,-0.00571,-0.00258,-0.00048,313.2752,2.30654,4.36564,0.76854,-0.01769,-0.01769,3.09785,6.78203,-5.5422,0.00288,-0.15785,33.8773,74.50526
"32","2018_Q3",5.90349206349206,"Up",51553527,-35170080,16383447,-7105489,-1503549,-5601940,9277958,-5020977,-5020977,4256981,33622.0000000002,4290603,-1323014,2967589,2967589,-170331,2797258,1352414,28435806,28435806,11398487,11398487,11995015,6693982,5301033,51829308,434285458,434285458,440869715,492699023,20579672,17277577,3302095,1861704,1861704,22441376,378164628,378164628,400606004,29100,146509504,-50811546,91215789,877230,92093019,492699023,2967589,5601940,305680,41580,8916789,-3966405,-3966405.00000001,-3966405.00000001,-648188,-4614593.00000001,-2758035.99999999,-1636091,-6140305,-1838109,-1838109,-1838109,14879898,378164628,12278087,0.31779,0.17997,0.02623,0.01469,0.00274,9.07864999999993,2.30954,4.35001,0.76754,0.10026,0.10026,3.82203,6.76032,0.910259999999998,0.00659,0.02611,23.50344,37.69459
"33","2018_Q4",5.6368253968254,"Down",41418061,-32243023,9175038,-6063453,-1516409,-4547044,3111585,-5218157,-5218157,-2106572,-622136,-2728708,746924,-1981784,-1981784,385616,-1596168,-3065887,37015264,37015264,8225931,8225931,11914543,6889076,5025467,57155738,437525800,437525800,444786424,501942162,20736446,17324207,3412239,2361234,2361234,23097680,390341669,390341669,413439349,29605,148282752,-55631915,88233467,269346,88502813,501942162,-1981784,4547044,823958,2351731,5740949,-7926296,-7933851,-7933851,676012,-7250284,12855751,-2838564,9813227,8303892,8303892,8303892,7658629,390341669,1337140,0.22152,0.07513,-0.07402,-0.03464,-0.00611,-0.43613,2.47452,4.67148,0.77766,-0.22687,-0.22687,3.06483,6.52685,0.09894,-0.00229,0.00279,46.13442,113.55191
"34","2019_Q1",5.70983606557377,"Up",43465977,-33219313,10246664,-6716173,-1614704,-5101469,3530491,-5266346,-5266346,-1735855,-1447291,-3183146,412696,-2770450,-2770450,472795,-2297655,-3768162,33792773,33792773,7029268,7029268,9338392,5262884,4075508,50160433,435725814,435725814,443322414,493482847,19677689,16268096,3409593,2815283,2815283,22492972,388723503,388723503,411216475,29621,147227205,-61052418,81824666,441706,82266372,493482847,-2770450,5101469,1928988,-62487.0000000005,4197520,-3593872,-3606994,-3606994,19201.9999999998,-3574670.00000001,-1886594,-1721242,-4795300,-4172450,-4172450,-4172450,8631960,388723503,4562905,0.23574,0.08122,-0.08669,-0.0458,-0.00764,-1.21090999999999,2.23005,4.9986,0.78771,-0.27717,-0.27717,3.19721,6.01656,0.33563,-0.00588,0.00969,41.11821,100.53297
"35","2019_Q2",6.15873015873016,"Up",47390304,-34218087,13172217,-7713179,-1684444,-6028735,5459038,-5205818,-5205818,253220,-325269,-72049,-318156,-390205,-390205,206949,-183256,-1653763,29004070,29004070,10584506,10584506,10095588,5688031,4407557,49684164,441261072,441261072,446107572,495791736,27128541,23714256,3414285,2351972,2351972,29480513,387661286,387661286,417141799,29621,147326422,-64406087,78637448,12489,78649937,495791736,-390205,6028735,762111,-850457,5550184,-5448718,-5453080,-5453080,161334,-5287384,-1332608,-1470507,-4719454,-4456654,-4456654,-4456654,11487773,387661286,5506754,0.27795,0.11519,-0.0349,-0.02103,-0.00334,-3.32983,1.68532,5.30378,0.7819,-0.1215,-0.1215,3.48183,5.77542,0.40459,0.00056,0.01181,31.22078,65.69971
"36","2019_Q3",6.1015625,"Down",51540703,-35958755,15581948,-6663309,-1554934,-5108375,8918639,-4932609,-4932609,3986030,-2021356,1964674,-815357,1149317,1149317,91356,1240673,-731710,32402174,32402174,9705712,9705712,10530652,5594024,4936628,52638538,436509664,436509664,440485899,493124437,24694456,20700490,3993966,2000943,2000943,26695399,362062982,362062982,388758381,41621,175699966,-66820158,104676081,-310025,104366056,493124437,1149317,5108375,2333036,294405,8885133,-3396162,-3396709,-3396709,-5.82076609134674e-11,-3396162,-26856312,-1577457,-1561796,3927175,3927175,3927175,14027014,362062982,11740614,0.30232,0.17304,-0.0142,-0.00701,-0.00148,-16.04545,1.97182,3.72495,0.73422,-0.0537,-0.0537,3.78235,7.67868,0.86159,0.00166,0.02517,23.50185,36.96313
"37","2019_Q4",5.96265625,"Down",42552175,-33648010,8904165,-6749080,-1768912,-4980168,2155085,-4619687,-4619687,-2464602,3839159,1374557,694190,2068747,2068747,13337,2082084,-106825,30059697,30059697,6384782,6384782,10686895,5494165,5192730,47131374,446839580,446839580,451518590,498649964,28519424,24308930,4210494,2397095,2397095,30916519,360549890,360549890,391466409,43646,180557454,-68687461,107738075,-554520,107183555,498649964,2068747,4980168,-3645634,4050521,7453802,-8342889,-8342914,-8342914,130568,-8212321,-1644070,-1972382,-1327856,-2086375,-2086375,-2086375,7135253,360549890,2148695,0.20925,0.05065,-0.00251,-0.001,-0.00021,-20.11416,1.52447,3.6523,0.72305,-0.00783,-0.00783,3.12037,7.89728,0.15756,0.00527,0.00459,46.31794,153.35367
"38","2020_Q1",4.59935483870968,"Down",44304951,-35025357,9279594,-7342102,-1822064,-5520038,1937492,-4565620,-4565620,-2628128,287034.000000001,-2341094,688803,-1652291,-1652291,422234,-1230057,-3418953,23738066,23738066,4914250,4914250,9894942,5648772,4246170,38547258,443267448,443267448,448679532,487226790,24400397,20189903,4210494,2785338,2785338,27185735,358633884,358633884,385819619,43646,180658584,-73990690,102605903,-1198732,101407171,487226790,-1652291,5520038,-78676,-3217380,571691.000000001,-1814844,-1814844,-1814844,1632.00000000003,-1813212,-1800634,-2188896,-6026670,-7268191,-7268191,-7268191,7457530,358633884,1736503,0.20945,0.04373,-0.07717,-0.03372,-0.00702,-0.507899999999999,1.41792,3.80466,0.73607,-0.24963,-0.24963,3.23488,7.48848,0.12679,-0.00338,0.00377,44.90707,172.85017
"39","2020_Q2",2.32539682539683,"Down",37208465,-32148967,5059498,-6863001,-1880125,-4982876,-1803503,-4501475,-4501475,-6304978,-1573193,-7878171,-5454034,-13332205,-13332205,1197416,-12134789,-14323699,14736207,14736207,4513739,4513739,14902445,7562732,7339713,34152391,440610440,440610440,440610440,474762831,31315802,27098417,4217385,2070309,2070309,33386111,357314587,357314587,390700698,43646,180406641,-90134337,86279642,-2217509,84062133,474762831,-13332205,4982876,7303884,2565198,1519753,-1796662,-1796662,-1796662,12439,-1784223,-1370018,-2273410,-5643846,-5908316,-5908316,-5908316,3179373,357314587,9401943,0.13598,-0.04847,-0.38496,-0.17039,-0.03017,-0.65639,1.02295,4.64776,0.75262,-1.00544,-1.00544,2.61181,6.05326,0.65996,-0.02792,0.0213,107.7503,-189.95166
"40","2020_Q3",2.14234375,"Down",5293906,-10502647,-5208741,-6220915,-1227808,-4993107,-11429656,-4647795,-4647795,-16077451,-200257,-16277708,-23361.9999999981,-16301070,-16301070,1365367,-14935703,-17124614,18520897,18520897,2348015,2348015,14372730,7970698,6402032,35241642,436890062,436890062,436890062,472131704,35065696,30788625,4277071,1559496,1559496,36625192,367770626,367770626,404395818,43646,180349276,-105129724,71286247,-3550361,67735886,472131704,-16301070,4993107,312460.999999999,4596852,-6398650,-1226614,-1226614,-1226614,14168,-1212446,10472605,-14500,10458105,2847009,2847009,2847009,-6436549,367770626,-3042949,-0.98391,-2.15902,-3.23478,-0.25281,-0.03627,0.177690000000001,0.96222,5.97019,0.77896,-1.19726,-1.19726,0.37012,4.98091,-0.21275,-0.03932,-0.00699,-54.2604,-30.55645
"41","2020_Q4",2.15875,"Up",14414477,-15568246,-1153769,-6118958,-1159208,-4959750,-7272727,-4191749,-4191749,-11464476,291971,-11172505,133232,-11039273,-11039273,968273,-10071000,-12259910,15484560,15484560,1585550,1585550,16958271,9260763,7697508,34028381,432180657,432180657,432180657,466209038,40393058,36115988,4277070,1361525,1361525,41754583,367722052,367722052,409476635,43645.9999999999,180283409,-115173422,61236039,-4503636,56732403,466209038,-11039273,4959750,-120026,5403063,-796486,-633715,-633715,-633715,13518,-620197,-332476,8298,-324178,-1740861,-1740861,-1740861,-2312977,367722052,2323139,-0.08004,-0.50454,-0.85053,-0.2161,-0.0263,-0.18949,0.81496,7.21769,0.78875,-0.85542,-0.85542,1.00575,4.26962,0.16209,-0.02888,0.00547,-152.2875,-48.43266
"42","2021_Q1",3.32885245901639,"Up",14585728,-16507025,-1921297,-7186424,-2225385,-4961039,-9107721,-4505429,-4505429,-13613150,539072,-13074078,63721,-13010357,-13010357,958285,-12052072,-14240983,25297771,25297771,2181700,2181700,17729755,7726980,10002775,45209226,427824585,427824585,427824585,473033811,39909001,35631931,4277070,1964073,1964073,41873074,386959432,386959432,428832506,43646,180442678,-127300230,49550068,-5348763,44201305,473033811,-13010357,4961039,-5251786,7712547,-5588557,-301846,-358523,-358523,139731,-162115,19339128,-1469978,17869150,12118478,12118478,12118478,-4146682,386959432,3200298,-0.13172,-0.62443,-0.97636,-0.32218,-0.03011,-0.22472,1.07967,9.70181,0.81804,-0.99124,-0.99124,1.01524,3.44589,0.22276,-0.03303,0.00742,-87.21712,-39.70935
"43","2021_Q2",3.33333333333333,"Up",22635532,-18434835,4200697,-6282973,-1300958,-4982015,-2082276,-5880924,-5880924,-7963200,390185,-7573015,-2609,-7575624,-7575624,699539,-6876085,-9064995,21087141,21087141,3687113,3687113,20177663,8283930,11893733,44951917,423680858,423680858,423680858,468632775,44046361,39769291,4277070,1418509,1418509,45464870,386057177,386057177,431522047,43646,180768480,-134073574,43158465,-6047737,37110728,468632775,-7575624,4982015,348827,1457060,-787722,-972958,-972958,-972958,468569.173100477,-972958,-530497,-28495,-558992,-2319672,-2319672,-2319672,2899739,386057177,3386450,0.18558,-0.09199,-0.40048,-0.24427,-0.01934,-0.37357,0.98872,11.62796,0.82379,-0.63338,-0.61043,1.58157,3.01248,0.23662,-0.02142,0.008,125.86306,-175.27457
"44","2021_Q3",2.49921875,"Down",34383308,-24722829,9660479,-6500108,-1530438,-4969670,3160371,-5490287,-5490287,-2329916,782918,-1546998,-6972,-1553970,-1553970,179637,-1374333,-2810605,21822863,21822863,3088899,3088899,20878948,9169082,11709866,45790710,419425216,419425216,419425216,465215926,43117141,38949954,4167187,1697617,1697617,44814758,384694244,384694244,429509002,41446,180661680,-135244679,41934299,-6227375,35706924,465215926,-1553970,4969670,-492128,-235892,2687680,-820264,-820264,-820264,496957,-323307,-1839153,26635,-1812518,551855.000000002,551855.000000002,551855.000000002,8130041,384694244,7080857,0.28096,0.09192,-0.0817400000000001,-0.07871,-0.00604,-2.51934,1.02178,12.02873,0.82692,-0.19076,-0.18926,2.33366,2.84335,0.48059,-0.00669,0.01684,44.6334,114.81924
"45","2021_Q4",2.36171875,"Down",35493126,-26562195,8930931,-6320628,-1315425,-5005203,2610303,-5581254,-5581254,-2970951,449274,-2521677,-6544,-2528221,-2528221,290168,-2238053,-4317081,19540790,19540790,3644092,3644092,21784837,8550860,13233977,44969719,415076396,415076396,418662364,463632083,42861935,38694748,4167187,1607570,1607570,44469505,382358175,382358175,426827680,108540437,-71736034,-143318661.06707,36804403,-5420944.88527844,36804403,463632083,-2528220,5005203,-159467,-179736,2137780,-320380,-688292.650822859,-688292.650822859,10782,-309598,-2503443,-82701,-2586144,-757962,-757962,-757962,7615506,382358175,7121934,0.25162,0.07354,-0.12163,-0.1173,-0.00931,-1.64971,1.01125,11.59719,0.8247,-0.26581,-0.26581,2.18541,-4.41698,0.43852,-0.0103,0.01699,47.64193,138.99436
"46","2022_Q1",2.19725806451613,"Down",35075958,-26973504,8102454,-7802683,-2850345,-4952338,299771,-5587204,-5587204,-5287433,-11583125,-16870558,-11267,-16881825,-16881825,1148822,-15733003,-17209208,13166883,13166883,4822187,4822187,19305882,6894228,12411654,37294952,398755711,398755711,398755711,436050663,40085644,35960293,4125351,1552942,1552942,41638586,377909147,377909147,419547733,40596,177826364,-153521704,21261858,-4758928,16502930,436050663,-16881826,4952338,11957688,-1743435,-1715235,-862739,-828870.786887274,-828870.786887274,80847,-781892,-4764151,65048,-4699103,-7196230,-7196230,-7196230,5252109,377909147,2657202,0.231,0.00855,-0.49063,-1.0428,-0.03947,-0.15441,0.89568,25.42262,0.86666,-1.2568,-1.2568,2.56163,1.54981,0.19406,-0.04363,0.00674,69.44682,1216.73632
"47","2022_Q2",1.85177419354839,"Down",38352603,-28377842,9974761,-6079099,-1514027,-4565072,3895662,-5688757,-5688757,-1793095,991805,-801290,-9654,-810944,-810944,161621,-649323,-2507765,20184327,20184327,3959215,3959215,17266931,7129479,10137452,41410473,384436002,384436002,384436002,425846475,42201797,38087621,4114176,1842634,1842634,44044431,365678720,365678720,409723151,40371.0000000149,178207380,-154171027,21043873,-4920549,16123324,425846475,-810944,4565072,-117457,3817210,7453881,9975154,-1123798,-1123798,406960.623341363,9975154,-12685793,124872.898184863,-12685793,4743242,4743242,4743242,8460734,365678720,22262752,0.26008,0.10157,-0.06539,-0.15554,-0.00589,-8.87753,0.9402,25.41183,0.85871,-0.15274,-0.15274,2.33587,1.27922,1.35592,-0.00657,0.05831,40.83504,88.68695
"48","2022_Q3",2.22609375,"Up",47170258,-32398707,14771551,-6052109,-1432366,-4619743,8719442,-5315453,-5315453,3403989,24212985,27616974,-11615,27605359,27605359,-1529940,26075419,24269450,23969135,23969135,4088159,4088159,15558810,8175184,7383626,43616104,369481882,369481882,369481882,413097986,33873529,29784182,4089347,1891767,1891767,35765296,333260256,333260256,369025552,40095,178248462,-127843207,47463043,-3390609,44072434,413097986,27605359,4619743,-23776460,-14447630,-5998988,39864827,-1474349,-1474349,570179,40435006,-33158322,-246714,-33405036,1030982,1030982,1030982,13339185,333260256,38767997,0.31315,0.18485,0.51451,0.55067,0.05875,1.5974,1.21951,8.37316,0.80673,1.37634,1.37634,2.67506,2.68939,2.19856,0.06432,0.10274,23.18666,35.47144
