"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"34","2019_Q1",1.40819672131148,"Up",25721000,-22638000,3083000,-6980000,-6232000,-3897000,-4139000,-4139000,-4139000,-8036000,-8036000,-71000.0000000037,-8107000,-8107000,-8107000,-8107000,2272000,2272000,14065000,14065000,101962000,5287000,5287000,123586000,27395000,77360000,29451000,106000,104755000,228341000,28740000,8671000,20069000,31672000,60412000,98273000,443000,0,98716000,159128000,116145000,-46932000,69213000,69213000,228341000,-8107000,1783000,-149999.999999998,7491000,1017000,-1e+05,-100000.000000002,-23000,-23000,894000,894000,894000,-2114000,129945000,5348000,0.11986,-0.15151,-0.31519,-0.11713,-0.0355,-0.65968,2.04572,2.29911,0.56908,-0.19029,-0.19029,0.60373,1.62459,0.12553,-0.04062,0.0267900000000001,-60.39404,-32.76187
"35","2019_Q2",1.59031746031746,"Up",34664000,-27679000,6985000,-6745000,-6024000,240000,-4207000,-4207000,-4207000,-3967000,-3967000,-72000,-4039000,-4039000,-4039000,-4039000,1170000,1170000,20103000,20103000,99772000,5124000,5124000,126169000,26502000,84188000,28730000,7655000,110690000,236859000,34152000,13735000,20417000,33127000,67279000,97918000,6111000,5596000,104029000,171308000,116522000,-50971000,65551000,65551000,236859000,-4039000,1779000,-2875000,3271000,-1864000,-165000,-165000,927000,927000,-1102000,-1102000,-1102000,2019000,131045000,5197000,0.20151,0.00692,-0.11652,-0.06162,-0.01705,-1.2867,1.87531,2.61335,0.55326,-0.09481,-0.09481,0.81366,1.53867,0.12199,-0.01993,0.02564,64.3264,541.14583
"36","2019_Q3",0.619375,"Down",56011000,-58377000,-2366000,-7601000,-6848000,-9967000,-3759000,-4267000,-4267000,-13726000,-13726000,-71000.0000000005,-13797000,-13797000,-13797000,-13797000,1302000,1302000,28050000,28050000,75247000,6783000,6783000,111382000,24973000,82881000,27977000,7101000,107854000,219236000,28944000,9681000,19263000,132674000,161618000,6000,5598000,5012000,5604000,167222000,116782000,-64768000,52014000,52014000,219236000,-13797000,1849000,4403000,6319000,-1226000,-114000,-114000,1463000,1472000,131999.999999999,131999.999999999,131999.999999999,-8118000,132680000,-1842000,-0.04224,-0.17795,-0.24633,-0.26526,-0.06293,0.13351,0.68917,3.21494,0.60519,-0.32384,-0.32384,1.31468,1.22087,-0.0432399999999999,-0.0725,-0.00968,-16.18354,-13.1813000000001
"37","2019_Q4",0.6721875,"Up",45631000,-37849000,7782000,-9024000,-8282000,-1242000,4457000,-4447000,-4447000,3215000,3215000,-548000,2667000,2667000,2667000,2667000,14686000,14686000,19765000,19765000,59352000,4690000,4690000,98493000,24543000,81170000,26728000,6639000,105713000,204206000,29150000,8091000,21059000,114504000,143654000,5000,5594000,4460000,5599000,149253000,117054000,-62101000,54953000,54953000,204206000,2667000,1823000,198000,27694000,32382000,-651000,-651000,-18347000,-18347000,13384000,13384000,13384000,581000,114509000,28172000,0.17054,-0.02722,0.05845,0.04853,0.01306,10.56318,0.68563,2.71601,0.56075,0.06258,0.06258,1.07068,1.28941,0.66103,0.01524,0.16093,171.81239,-80.37279
"38","2020_Q1",0.794193548387097,"Up",25753000,-20989000,4764000,-9579000,-8864000,-4815000,-5991000,-5990000,-5990000,-10806000,-10806000,34999.9999999998,-10771000,-10771000,-10771000,-10771000,2600000,2600000,8061000,8061000,59238000,4525000,4525000,74424000,23674000,82055000,26012000,8240000,105729000,180153000,29118000,10274000,18844000,17008000,46126000,81982000,6934000,5742000,88916000,135042000,117983000,-72872000,45111000,45111000,180153000,-10771000,1666000,2832000,10802000,4529000,-81000.0000000001,-81000,-15188000,-16534000,-12086000,-12086000,-12086000,-3149000,98990000,7537000.00000001,0.18499,-0.18697,-0.41824,-0.23877,-0.05979,-0.69975,1.61349,2.99355,0.54948,-0.25267,-0.25267,0.60412,1.05823,0.17681,-0.07131,0.0499000000000001,-30.60972,-20.01869
"39","2020_Q2",0.876031746031746,"Up",36350000,-28003000,8347000,-7981000,-7265000,366000,-3311000,-3311000,-3311000,-2945000,-2945000,60000,-2885000,-2885000,-2885000,-2885000,6251000,6251000,15454000,15454000,58288000,4231000,4231000,84224000,22784000,80721000,25296000,7622000,103505000,187729000,32424000,11513000,20911000,25757000,58181000,80874000,6323000,5143000,87197000,145378000,118108000,-75757000,42351000,42351000,187729000,-2885000,1794000,-37000,-2467000,-3595000,-188000,-188000,7434000,7434000,3651000,3651000,3651000,2160000,106631000,-555000,0.22963,0.01007,-0.07937,-0.06812,-0.01537,0.19237,1.44762,3.43269,0.568,-0.06768,-0.06768,0.85271,0.99349,-0.01302,-0.01858,-0.00357,46.47222,274.2623
"40","2020_Q3",1.13546875,"Up",47677000,-34996000,12681000,-7473000,-6757000,5208000,-3124000,-3135000,-3135000,2084000,2084000,302000,2386000,2386000,2386000,2386000,7850000,7850000,25317000,25317000,48570000,3622000,3622000,85359000,22108000,79768000,24580000,7385000,101876000,187235000,33662000,12140000,21522000,21674000,55336000,81006000,5948000,4710000,86954000,142290000,118316000,-73371000,44945000,44945000,187235000,2386000,1794000,-779000,2758000,6159000,-402000,-402000,-6633000,-4158000,1599000,1599000,1599000,7002000,102680000,9056000,0.26598,0.10924,0.05005,0.05309,0.01274,3.79547,1.54256,3.16587,0.5484,0.05597,0.05597,1.11843,1.05434,0.21244,0.01554,0.05897,13.54327,18.20853
"41","2020_Q4",1.1959375,"Up",41468000,-32512000,8956000,-6877000,-6162000,2079000,-1966000,-2966000,-2966000,113000,113000,-74000,39000,39000,39000,39000,9235000,9235000,14703000,14703000,40374000,3540000,3540000,67852000,21435000,78472000,23865000,6804000,99907000,167759000,30522000,9534000,20988000,6903000,37425000,79492000,5632000,4335000,85124000,122549000,118542000,-73332000,45210000,45210000,167759000,39000,1794000,-1562000,17015000,17286000,-406000,594000,-16495000,-16495000,1385000,1385000,1385000,3873000,86395000,20556000,0.21597,0.05014,0.00094,0.00086,0.00023,527.07692,1.81301,2.71066,0.51499,0.00091,0.00091,0.97213,1.05986,0.48189,0.00028,0.14978,19.92254,37.114
"42","2021_Q1",1.45180327868852,"Up",22110000,-16684000,5426000,-7175000,-6460000,-1749000,-2896000,-2918000,-2918000,-4645000,-4645000,-103000,-4748000,-4748000,-4748000,-4748000,1348000,1348000,9806000,9806000,44460000,6528000,6528000,62142000,21910000,77597000,23150000,6644000,99507000,161649000,28455000,7644000,20811000,9314000,37769000,77976000,5282000,3927000,83258000,121027000,118702000,-78080000,40622000,40622000,161649000,-4748000,714000,269000,-4398000,-8163000,-474000,-474000,687000,750000,-7887000,-7887000,-7887000,-1035000,87290000,-5804000,0.24541,-0.0791,-0.21474,-0.11688,-0.02937,1.2224100000002,1.64532,2.97935,0.54,-0.1106,-0.1106,0.51505,0.94629,-0.1352,-0.03565,-0.04358,-83.03575,-49.13779
"43","2021_Q2",2.40968253968254,"Up",33780000,-24642000,9138000,-7446000,-6748000,1692000,-2817000,-2817000,-2817000,-1125000,-1125000,49000,-1076000,-1076000,-1076000,-1076000,2775000,2775000,13943000,13943000,47613000,7455000,7455000,71786000,21353000,76388000,22452000,6133000,97741000,169527000,30618000,8974000,21644000,17725000,48343000,76456000,4820000,3407000,81276000,129619000,119064000,-79156000,39908000,39908000,169527000,-1076000,1545000,-42000,-5396000,-4969000,-290000,-290000,6686000,6686000,1427000,1427000,1427000,3237000,94181000,-2498000,0.27052,0.05009,-0.03185,-0.02696,-0.00635,2.32156,1.48493,3.24795,0.55555,-0.02482,-0.02482,0.77918,0.92053,-0.05762,-0.00775,-0.01798,28.23787,54.02246
"44","2021_Q3",3.34140625,"Up",60548000,-38720000,21828000,-7465000,-6766000,14363000,-2877000,-2872000,-2905992.76447707,11486000,11486000,-209000,11277000,11277000,11277000,11277000,1873000,1873000,33314000,33314000,48251000,11186000,11186000,94624000,20634000,75424000,21753000,5868000,96058000,190682000,38129000,8936000,29193000,21724000,59853000,75351000,4281000,2809000,79632000,139485000,119076000,-67879000,51197000,51197000,190682000,11277000,1546000,-612000,-15672000,-3461000,-128000,-128000,2687000,2687000,-902000,-902000,-902000,15909000,97075000,318000,0.36051,0.23722,0.18625,0.22027,0.05914,0.0282000000000213,1.58094,2.72448,0.50909,0.26012,0.26012,1.39662,1.18093,0.00734000000000006,0.07392,0.00208,5.98416,6.62828000000001
"45","2021_Q4",3.878125,"Up",60645000,-36967000,23678000,-6770000,-6072000,16908000,-368000,-2843000,-3502923.68596942,16540000,16540000,-670000,15870000,15870000,15870000,15870000,9503000,9503000,22131000,22131000,58789000,10996000,10996000,101419000,20035000,75679000,21055000,6821000,95714000,197133000,25934000,6696000,19238000,24848000,50782000,74248000,5165000,3635000,79413000,130195000,118947000,-52009000,66938000,66938000,197133000,15870000,1544000,-2297000,1337000,16454000,-247000,-247000,-8313000,-8577000,7630000,7630000,7630000,18452000,99096000,20212000,0.39044,0.2788,0.26169,0.23709,0.0805,1.2736,1.99714,1.94501,0.50269,0.36174,0.33791,1.38235,1.5258,0.46072,0.0927,0.11806,4.85546,5.29885
"46","2022_Q1",4.43516129032258,"Up",37775000,-20755000,17020000,-7678000,-6980000,9342000,-2844000,-2844000,-4878892.76447707,6498000,6498000,-310000,6188000,6188000,6188000,6188000,3492000,3492000,14223000,14223000,94144000,8090000,8090000,119949000,20093000,75673000,20357000,7513000,95766000,215715000,44191000,9623000,34568000,20248000,64439000,73145000,7192000,5500000,80337000,144776000,116760000,-45821000,70939000,70939000,215715000,6188000,1545000,-313000,-16672000,-9252000,-1257000,-1257000,6688000,4498000,-6011000,-6011000,-6011000,10887000,93393000,-6732000,0.45056,0.24731,0.16381,0.08723,0.02869,-1.08791,1.86143,2.04085,0.43295,0.14105,0.13176,0.86105,1.617,-0.15345,0.03608,-0.03925,8.25765,9.62331
"47","2022_Q2",8.2508064516129,"Up",84338000,-38518000,45820000,-7522000,-6824000,38298000,-7305000,-7305000,-7305000,30993000,30993000,-1438000,29555000,29555000,29555000,29555000,5152000,5152000,38180000,38180000,101314000,7680000,7680000,152326000,19183000,75333000,19659000,7871000,94516000,246842000,42609000,8623000,33986000,4250000,46859000,91526000,7561000,5819000,99087000,145946000,117162000,-16266000,100896000,100896000,246842000,29555000,1635000,5740000,-31864000,5066000,-27000,-27000,5134000,-3379000,1660000,1660000,1660000,39933000,95776000,9480000,0.54329,0.4541,0.35044,0.29293,0.11973,0.32076,3.25073,1.4465,0.38801,0.66687,0.63114,1.90298,2.2766,0.2139,0.14471,0.04642,2.2694,2.36629
"48","2022_Q3",8.4096875,"Up",103941000,-46444000,57497000,-7713000,-7014000,49784000,-2623000,-2623000,-11052345.3925382,47161000,47161000,-7351000,39810000,39810000,39810000,39810000,20682000,20682000,43744000,43744000,118664000,7205000,7205000,190295000,19187000,75247000,18960000,8484000,94434000,284729000,52492000,13877000,38615000,4250000,56742000,80677000,6373000,6283000,87050000,143792000,117393000,23544000,140937000,140937000,284729000,39810000,1488000,-38000,-12459000,28801000,-793000,-793000,-12529000,-12478000,15530000,15530000,15530000,51272000,84927000,45371000,0.55317,0.47896,0.38301,0.28247,0.13982,1.13969,3.35369,1.02026,0.29827,0.88544,0.84429,2.31183,3.13469,1.00913,0.17142,0.19537,1.25302,1.29047
