"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","other_operating_expenses","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"33","2018_Q4",115.542857142857,"Down",159974000,-70958000,89016000,-55523000,-29552000,-25629000,-342000,33493000,2714000,36207000,36207000,-4639000,31568000,31568000,31568000,31568000,347848000,131094000,216754000,59887000,59887000,136790000,12876000,12876000,557401000,147497000,53002000,12852000,33271000,205756000,763157000,50599000,27603000,22996000,85507000,67486000,67486000,67486000,152993000,435085000,180819000,-5740000,610164000,610164000,763157000,31568000,3228000,17599000,-244000,52151000,-5059000,13116000,8057000,1466000,1466000,916000,-10532000,49676000,49676000,-1655000,48021000,36721000,0,36057000,0.55644,0.20937,0.19733,0.05174,0.04137,1.1422,6.51878,0.25074,0,0.7452,0.70671,3.77636,14.40357,0.85116,0.06564,0.05321,-9.47273,-10.38569
"34","2019_Q1",127.055573770492,"Up",153497000,-68904000,84593000,-51516000,-28372000,-22735000,-409000,33077000,-393000,32684000,32684000,-5046000,27638000,27638000,27638000,27638000,377281000,172704000,204577000,55214000,55214000,136384000,11931000,11931000,580810000,150001000,59380000,16830000,35868000,212622000,793432000,41477000,22678000,18799000,80439000,72900000,72900000,72900000,153339000,450908000,194728000,-5543000,640093000,640093000,793432000,27638000,3253000,12287000,4412000,47590000,-4469000,11524000,7055000,10578000,10578000,-10374000,-12890000,41755000,41755000,-146000,41609000,36330000,0,41319000,0.55111,0.21549,0.18006,0.04318,0.03483,1.49501,7.2205,0.23956,0,0.65081,0.6134,3.6145,15.07272,0.97297,0.05713,0.05795,-10.38483,-11.40614
"35","2019_Q2",132.05380952381,"Up",141363000,-63357000,78006000,-56289000,-30553000,-25458000,-278000,21717000,3341000,25058000,25058000,1123000,26181000,26181000,26181000,26181000,359024000,181769000,177255000,58889000,58889000,142543000,13629000,13629000,574085000,205497000,65337000,16779000,41987000,274124000,848209000,91576000,27259000,64317000,91576000,76382000,76382000,76382000,167958000,478913000,202378000,-1040000,680251000,680251000,848209000,26181000,3255000,14177000,-4777000,38836000,-56920000,26139000,-30781000,1627000,1627000,10373000,-761000,7294000,7294000,1770000,9064000,24972000,0,-37848000,0.55181,0.15363,0.1852,0.03849,0.03087,-1.44563,6.26895,0.24691,0,0.61244,0.57882,3.30681,15.91268,-0.88535,0.05147,-0.05002,-14.37706,-16.53193
"36","2019_Q3",145.6128125,"Up",151007000,-67782000,83225000,-63106000,-35058000,-27545000,-503000,20119000,2228000,22347000,22347000,-1654000,20693000,20693000,20693000,20693000,366471000,197012000,169459000,55398000,55398000,143622000,19645000,19645000,585136000,213830000,65932000,16686000,42675000,282977000,868113000,88120000,26544000,61576000,88120000,75839000,75839000,75839000,163959000,503759000,204533000,-4138000,704154000,704154000,868113000,20693000,3739000,22198000,-2573000,44057000,-19262000,7973000,-11289000,0,0,2095000,-15928000,16840000,16840000,-1595000,15245000,23858000,0,3677000.00000001,0.55113,0.13323,0.13703,0.02939,0.02384,0.17769,6.64022,0.23285,0,0.48002,0.45495,3.50291,16.33427,0.0853000000000003,0.04964,0.00470999999999999,-15.36051,-18.21517
"37","2019_Q4",155.93,"Up",168813000,-75655000,93158000,-63126000,-34691000,-27743000,-692000,30032000,2258000,32290000,32290000,-2762000,29528000,29528000,29528000,29528000,418740000,205229000,213511000,58261000,58261000,135634000,16660000,16660000,629295000,217043000,66533000,16619000,43343000,286840000,916135000,105026000,30318000,74708000,105026000,76681000,76681000,76681000,181707000,528775000,215692000,-10039000,734428000,734428000,916135000,29528000,3823000,21098000,17975000,72424000,-1679000,-44360000,-46039000,16211000,16211000,-12672000,-14318000,12067000,12067000,-2691000,9376000,33855000,0,52913000,0.55184,0.1779,0.17492,0.04021,0.03223,1.79196,5.9918,0.24741,0,0.68183,0.64427,3.89805,16.95864,1.22181,0.05842,0.06524,-12.36863,-13.94313
"38","2020_Q1",167.659677419355,"Up",166738000,-74802000,91936000,-61242000,-33240000,-27011000,-991000,30694000,2731000,33425000,33425000,-988000,32437000,32437000,32437000,32437000,455397000,172960000,282437000,52704000,52704000,127500000,19605000,19605000,655206000,228315000,72854000,17193000,49090000,301169000,956375000,98225000,27271000,70954000,98225000,84659000,84659000,84659000,182884000,549517000,229450000,-5476000,773491000,773491000,956375000,32437000,4050000,17313000,7186000,60986000,-9658000,-69595000,-79003000,2089000,2089000,-479000,-17043000,-35060000,-35060000,1633000,-33427000,34744000,0,33260000,0.55138,0.18409,0.19454,0.04194,0.03392,1.02537,6.67046,0.23644,0,0.74576,0.69751,3.8335,17.78345,0.76469,0.05954,0.03876,-13.10721,-14.83668
"39","2020_Q2",198.681428571429,"Up",165778000,-74331000,91447000,-60461000,-32164000,-25956000,-2341000,30986000,-1714000,29272000,29272000,6484000,35756000,35756000,35756000,35756000,489266000,154880000,334386000,54341000,54341000,131499000,29679000,29679000,704785000,236807000,62855000,13821000,42463000,302719000,1007504000,112495000,37752000,74743000,112495000,81819000,81819000,81819000,194314000,581736000,241465000,-10011000,813190000,813190000,1007504000,35756000,4328000,26217000,-14882000,51419000,-9951000,-54507000,-64458000,13650000,13650000,-279000,-4056000,-17095000,-17095000,-985000,-18080000,35314000,0,3997000,0.55162,0.18691,0.21569,0.04397,0.03549,0.11179,6.26503,0.23895,0,0.80432,0.76615,3.72912,18.29243,0.08991,0.05942,0.00447,-13.85473,-15.78991
"40","2020_Q3",255.93828125,"Up",186209000,-83616000,102593000,-74638000,-40883000,-31673000,-2082000,27955000,5200000,33155000,33155000,-2989000,30166000,30166000,30166000,30166000,512323000,156483000,355840000,55136000,55136000,152119000,29286000,29286000,748864000,251980000,67279000,13432000,47276000,322291000,1071155000,136785000,45169000,91616000,136785000,85425000,85425000,85425000,222210000,605165000,247864000,-4084000,848945000,848945000,1071155000,30166000,4501000,18091000,6572000,59330000,-14584000,-17079000,-31663000,2352000,2352000,-3782000,-26270000,1397000,1397000,208000,1605000,32456000,0,27433000,0.55096,0.15013,0.162,0.03553,0.02816,0.9094,5.47475,0.26175,0,0.67357,0.64416,4.15784,18.95601,0.61255,0.05887,0.02936,-15.78516,-18.3267
"41","2020_Q4",315.77734375,"Up",259422000,-116382000,143040000,-83061000,-43503000,-37717000,-1841000,59979000,2494000,62473000,62473000,-6907000,55566000,55566000,55566000,55566000,551542000,179466000,372076000,93535000,93535000,148096000,25970000,25970000,819143000,270310000,68925000,13486000,48868000,342151000,1161294000,158278000,48142000,110136000,158278000,88447000,88447000,88447000,246725000,632432000,279653000,2484000,914569000,914569000,1161294000,55566000,4956000,22252000,-5368000,77406000,-19594000,-17722000,-37316000,4274000,4274000,-376000,-19312000,20778000,20778000,2209000,22987000,64935000,0,46880000,0.55138,0.2312,0.21419,0.06076,0.04785,0.84368,5.17534,0.26977,0,1.2356,1.18334,5.76865,20.33686,1.04245,0.07854,0.04674,-8.49376,-9.19559
"42","2021_Q1",359.36606557377,"Up",233043000,-104169000,128874000,-88912000,-45120000,-42252000,-1540000,39962000,4480000,44442000,44442000,-1555000,42887000,42887000,42887000,42887000,595113000,334944000,260169000,66843000,66843000,157062000,22980000,22980000,841998000,281528000,84965000,18556000,59838000,366493000,1208491000,146969000,38169000,108800000,146969000,94935000,94935000,94935000,241904000,657701000,298746000,10140000,966587000,966587000,1208491000,42887000,5401000,14679000,16681000,79648000,-11481000,108757000,94260000,2310000,2310000,-920000,-21919000,151989000,151989000,3494000,155483000,45363000,0,52118000,0.55301,0.17148,0.18403,0.04437,0.03549,1.21524,5.72909,0.25027,0,0.9499,0.90101,5.16164,21.40882,1.15436,0.06236,0.0491,-13.11891,-14.89197
"43","2021_Q2",347.877777777778,"Down",254455000,-113396000,141059000,-94973000,-51453000,-41892000,-1628000,46086000,2587000,48673000,48673000,-3260000,45413000,45413000,45413000,45413000,638823000,218368000,420455000,84059000,84059000,175223000,24325000,24325000,922430000,297741000,88021000,17668000,63782000,385762000,1308192000,187909000,57235000,130674000,187909000,98706000,98706000,98706000,286615000,699359000,315206000,7012000,1021577000,1021577000,1308192000,45413000,5529000,29228000,-3113000,77057000,-18970000,-163921000,-182866000,13037000,13037000,-563000,-10993000,-116802000,-116802000,218000,-116584000,51615000,0,32792000,0.55436,0.18112,0.17847,0.04445,0.03471,0.72208,4.90892,0.28056,0,0.99813,0.95184,5.59266,22.45323,0.72073,0.06148,0.02927,-12.37669,-13.86154
"44","2021_Q3",450.29234375,"Up",293317000,-129102000,164215000,-103587000,-57238000,-44753000,-1596000,60628000,3031000,63659000,63659000,-8490000,55169000,55169000,55169000,55169000,670288000,220210000,450078000,77553000,77553000,177322000,24917000,24917000,950080000,332093000,90818000,17699000,66548000,422911000,1372991000,182731000,58882000,123849000,182731000,102905000,102905000,102905000,285636000,733672000,341382000,12301000,1087355000,1087355000,1372991000,55169000,7120000,31379000,3278000,96946000,-39298000,-30319000,-69342000,2176000,2176000,-577000,-27156000,448000,448000,1397000,1845000,67748000,0,40218000,0.55986,0.2067,0.18809,0.05074,0.04018,0.729,5.19934,0.26269,0,1.21256,1.15632,6.44681,23.89896,0.88395,0.07051,0.03379,-9.89384,-11.05575
"45","2021_Q4",511.60984375,"Up",323522000,-137211000,186311000,-109180000,-56291000,-49468000,-3421000,77131000,793000,77924000,77924000,-9154000,68770000,68770000,68770000,68770000,742038000,226091000,515947000,79859000,79859000,208062000,34535000,34535000,1064494000,340060000,91347000,17726000,67050000,431407000,1495901000,227663000,72092000,155571000,227663000,105525000,105525000,105525000,333188000,769858000,381193000,11662000,1162713000,1162713000,1495901000,68770000,7727000,33262000,8042000,117801000,-19374000,-67656000,-86930000,4604000,4604000,-909000,-24808000,6063000,6063000,-184000,5879000,84858000,0,82680000,0.57588,0.23841,0.21257,0.05915,0.04597,1.20227,4.67574,0.28656,0,1.50304,1.43955,7.0709,25.41227,1.80706,0.0767,0.06519,-8.74447,-9.62049
"46","2022_Q1",432.527903225806,"Down",336504000,-142630000,193874000,-115302000,-61208000,-54514000,420000,78572000,3391000,81963000,81963000,-9292000,72671000,72671000,72671000,72671000,725082000,189265000,535817000,104813000,104813000,259417000,35540000,35540000,1124852000,362962000,98011000,21917000,69523000,460973000,1585825000,226944000,83027000,143917000,226944000,114896000,114896000,114896000,341840000,803226000,424879000,15880000,1243985000,1243985000,1585825000,72671000,8323000,27059000,-79847000,28206000,-17571000,-22277000,-39748000,2175000,2175000,-785000,-27249000,-38791000,-38791000,1969000,-36822000,86895000,0,-1231000,0.57614,0.23349,0.21596,0.05842,0.04583,-0.0169399999999995,4.95652,0.27479,0,1.55886,1.51108,7.21833,26.68465,-0.0264099999999996,0.07455,-0.000909999999999994,-8.34435,-9.22825
"47","2022_Q2",419.87,"Down",377714000,-158834000,218880000,-122746000,-67153000,-54104000,-1489000,96134000,-634000,95500000,95500000,-15934000,79566000,79566000,79566000,79566000,773512000,260604000,512908000,120318000,120318000,311040000,42266000,42266000,1247136000,369374000,97471000,22848000,68052000,466845000,1713981000,272528000,71572000,200956000,272528000,115341000,115341000,115341000,387869000,847966000,467844000,10302000,1326112000,1326112000,1713981000,79566000,9115000,42975000,-24237000,107419000,-26877000,15239000,-11613000,5104000,5104000,-528000,-24249000,71557000,71557000,-220000,71337000,105249000,0,70069000,0.57949,0.25452,0.21065,0.06,0.04642,0.88064,4.57618,0.29249,0,1.72448,1.64938,8.18644,28.74167,1.51865,0.0752,0.04861,-7.34935,-8.04619
"48","2022_Q3",442.98125,"Up",461004000,-190043000,270961000,-129073000,-70669000,-57130000,-1274000,141888000,-5092000,136796000,136796000,-22117000,114679000,114679000,114679000,114679000,811879000,342867000,469012000,125508000,125508000,359647000,35055000,35055000,1332089000,356687000,96917000,23961000,66385000,453604000,1785693000,254487000,77925000,176562000,254487000,108084000,108084000,108084000,362571000,891888000,545920000,-14686000,1423122000,1423122000,1785693000,114679000,9560000,48240000,-67242000,105237000,-11844000,32036000,18282000,1013000,1013000,-662000,-36118000,87401000,87401000,-5142000,82259000,151448000,0,94479000,0.58776,0.30778,0.24876,0.08058,0.06422,0.82386,5.23441,0.25477,0,2.45697,2.37499,9.87689,30.49003,2.02419,0.09871,0.0617,-5.36078,-5.72197
