"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"31","2017_Q4",12.2257142857143,"Up",31311000,-15682000,15629000,-18864000,-10393000,-7270000,-1051000,-3235000,59000,10000,49000,-3176000,-378000,-3554000,1622000,-1932000,-1932000,-1932000,-1932000,37615000,37615000,14746000,14746000,2131000,6849000,6849000,61341000,17760000,76817000,54582000,19622000,2613000,94577000,155918000,18018000,8175000,9843000,113000,23433000,41564000,6090000,2105000,3985000,6140000,47704000,7064000,-2463000,103812000,-199000,108214000,108214000,155918000,-1932000,-1932000,580000,3682000,3746000,-2183000,-1820000,-4003000,-31000,-671000,-702000,-959000,-959000,42000,-917000,-2655000,163000,0.49915,-0.10332,-0.0617,-0.01785,-0.01239,1.47582,0.44083,0.00105,-0.08455,-0.08455,1.37022,4.73564,-0.01688,14.10621,11.57713
"32","2018_Q1",11.9316393442623,"Down",32055000,-15311000,16744000,-18437000,-10012000,-7228000,-1197000,-1693000,226000,31000,195000,-1467000,-557000,-2024000,1812000,-212000,-212000,-212000,-212000,39943000,39943000,16389000,16389000,1999000,5593000,5593000,63924000,17512000,75771000,53665000,19622000,2484000,93283000,157207000,17641000,8400000,9241000,120000,26820000,44581000,4138000,227000,3911000,4195000,48776000,7571000,-2486000,103601000,-255000,108431000,108431000,157207000,-212000,-212000,739000,1931000,4776000,-851000,-1646000,-2497000,-32000,19000,-12999.9999999999,2266000,2266000,62000,2328000,-954000,177000,0.52235,-0.05282,-0.00661,-0.00196,-0.00135,1.43388,0.44983,0.00113,-0.00927,-0.00927,1.40143,4.74057,-0.00188,41.68344,23.48848
"33","2018_Q2",13.225625,"Up",34007000,-16118000,17889000,-19088000,-10759000,-7089000,-1149000,-1199000,-146000,52000,-198000,-1345000,-440000,-1785000,49000,-1736000,-1736000,-1736000,-1736000,35076000,35076000,20306000,20306000,1765000,10694000,5421000,67841000,17113000,77274000,52979000,19622000,4673000,94387000,162228000,17574000,9033000,8541000,96000,30781000,48451000,3977000,251000,3726000,4028000,52479000,7958000,-2425000,104479000,-263000,109749000,109749000,162228000,-1736000,-1736000,606000,3745000,-1363000,-744000,-2134000,-2878000,-30000,-495000,-525000,-4766000,-4766000,-101000,-4867000,-593000,147000,0.52604,-0.03526,-0.05105,-0.01582,-0.0107,1.4002,0.47817,0.00091,-0.07517,-0.07517,1.47248,4.75207,-0.01525,58.90219,29.13178
"34","2018_Q3",16.0519047619048,"Up",34203000,-16454000,17749000,-21104000,-9568000,-10151000,-1350000,-3355000,65000.0000000001,95000,-30000.0000000001,-3290000,-449000,-3739000,-53000,-3792000,-3792000,-3792000,-3792000,32904000,32904000,18963000,18963000,1678000,9785000,5089000,63330000,16355000,73941000,49620000,19622000,4699000,90296000,153626000,16840000,7381000,9459000,72000,25789000,42701000,3906000,274000,3632000,3951000,46652000,9031000,-2424000,100687000,-320000,106974000,106974000,153626000,-3792000,-3792000,676000,5202000,-1385000,-589000,-57000,-646000,-29000,-62000,-91000,-2122000,-2122000,-50000,-2172000,-2679000,117000,0.51893,-0.09809,-0.11087,-0.03545,-0.02468,1.4831,0.43611,0.00076,-0.16394,-0.16394,1.47866,4.6247,-0.03416,12.23852,9.77258
"35","2018_Q4",15.7201587301587,"Down",36014000,-17367000,18647000,-22468000,-11083000,-10059000,-1326000,-3821000,15000,80000,-65000,-3806000,-59000,-3865000,-182000,-4047000,-4047000,-4047000,-4047000,36995000,36995000,33640000,33640000,1566000,8555000,4334000,80756000,15278000,71399000,46262000,19622000,5515000,86677000,167433000,19303000,6431000,12872000,48000,39935000,59286000,4002000,523000,3479000,4042000,63328000,10121000,-2422000,96640000,-234000,104105000,104105000,167433000,-4047000,-4047000,651000,5046000,4467000,-277000,-25000,-302000,-31000,-55000,-86000,4079000,4079000,12000,4091000,-3170000,88000,0.51777,-0.1061,-0.11237,-0.03887,-0.02417,1.36214,0.60831,0.00053,-0.17559,-0.17559,1.56257,4.51688,-0.0374,11.64259,9.65899
"36","2019_Q1",18.4740983606557,"Up",36618000,-17023000,19595000,-22992000,-11354000,-10518000,-1246000,-3397000,204000,102000,102000,-3193000,-361000,-3554000,-35000,-3589000,-3589000,-3589000,-3589000,40771000,40771000,2.7e+07,2.7e+07,2044000,9193000,6272000,79008000,15838000,68745000,43005000,19622000,5675000,84583000,163591000,19610000,4718000,14892000,22000,38669000,58301000,4633000,861000,3772000,4668000,62969000,10263000,-2433000,93051000,-259000,100622000,100622000,163591000,-3589000,-3589000,3138000,3311000,5522000,-1708000,-5.82076609134674e-11,-1708000,-30000,-35000,-65000.0000000001,3749000,3749000,27000,3776000,-259000,57000,0.53512,-0.09277,-0.09801,-0.03567,-0.02194,1.35517,0.6258,0.00035,-0.1569,-0.1569,1.60086,4.39897,-0.03408,157.19691,11.98528
"37","2019_Q2",20.7465079365079,"Up",38389000,-18375000,20014000,-21327000,-10372000,-10064000,-891000,-1313000,-6000,79000,-85000,-1319000,-231000,-1550000,-25000,-1575000,-1575000,-1575000,-1575000,37233000,37233000,25690000,25690000,1483000,9043000,5155000,73449000,15067000,78932000,39819000,19622000,19491000,93999000,167448000,13943000,4469000,9474000,22000,39791000,53756000,13769000,866000,12903000,13769000,67525000,11180000,-2379000,91476000,-354000,99923000,99923000,167448000,-1575000,-1575000,213000,-547000,-1913000,-571000,-2000,-573000,-2000,-1026000,-1028000,-3514000,-3514000,-24000,-3538000,-1100000,22000,0.52135,-0.0342,-0.04103,-0.01576,-0.00941,1.36634,0.67577,0.00013,-0.06785,-0.06785,1.65384,4.30479999999999,-0.01385,33.82818,28.34044
"38","2019_Q3",25.4446875,"Up",40722000,-20504000,20218000,-22908000,-10928000,-10778000,-1321000,-2690000,4000,112000,-108000,-2686000,-190000,-2876000,-42000,-2918000,-2918000,-2918000,-2918000,38915000,38915000,23117000,23117000,954000,9407000,5501000,72393000,15290000,76112000,36679000,19622000,19133000,91402000,163795000,18820000,8836000,9984000,23000,33742000,52585000,12817000,870000,11947000,12845000,65430000,12391000,-2386000,88558000,-198000,98365000,98365000,163795000,-2918000,-2918000,707000,9730000,3147000,-1369000,0,-1369000,-10000,-26999.9999999998,-37000,1741000,1741000,-59000,1682000,-1983000,51000,0.49649,-0.06606,-0.07166,-0.02967,-0.01781,1.37669,0.66518,0.00031,-0.125570000000018,-0.12557,1.75238999999999,4.23294,-0.02623,19.59859,14.44758
"39","2019_Q4",25.30109375,"Down",41988000,-20924000,21064000,-23871000,-11005000,-11285000,-1462000,-2807000,211000,68000,143000,-2596000,108000,-2488000,-94000,-2582000,-2582000,-2582000,-2582000,41905000,41905000,29794000,29794000,1856000,10758000,6796000,84313000,14849000,72666000,33539000,19622000,18752000,87515000,171828000,22936000,10454000,12482000,24000,39609000,62569000,12323000,875000,11448000,12323000,74892000,13576000,-2387000,85976000,-229000,96936000,96936000,171828000,-2582000,-2582000,854000,4992000,4039000,-1069000,-24000,-1093000,-6000,0,-6000,2940000,2940000,50000,2990000,-1953000,24000,0.50167,-0.06685,-0.06149,-0.02664,-0.01503,1.34752,0.77259,0.00014,-0.1111,-0.1111,1.80671,4.17107999999998,-0.02363,21.44444,14.9202
"40","2020_Q1",27.3937096774194,"Up",39658000,-20002000,19656000,-22585000,-11933000,-9336000,-1441000,-2929000,-14000,112000,-126000,-2943000,-24009000,-26952000,-40000,-26992000,-26992000,-26992000,-26992000,46653000,46653000,35869000,35869000,3887000,6999000,4874000,93408000,12230000,48924000,8400000,19622000,20138000,61154000,154562000,22436000,13403000,9033000,24000,46963000,69423000,13357000,880000,12477000,13382000,82805000,14973000,-2401000,58984000,201000,71757000,71757000,154562000,-26992000,-26992000,3341000,26970000,5302000,-411000,-999.999999999971,-412000,-6000,-39000.0000000009,-45000,4845000,4845000,-97000,4748000,412000,49000,0.49564,-0.07386,-0.68062,-0.37616,-0.17464,1.34549,1.15396,0.00032,-1161.79572,-1.16135,1706.96854,3088.5809,-0.31695,-113.1165,15.91123
"41","2020_Q2",18.7411111111111,"Down",29807000,-11257000,18550000,-17770000,-8320000,-8266000,-1184000,780000,-86000,20000,-106000,694000,-1203000,-509000,-8000,-517000,-517000,-517000,-1653000,74604000,74604000,30494000,30494000,2760000,9084000,6407000,116942000,11113000,48048000,8400000,19622000,19174000,59161000,176103000,13240000,4439000,8801000,24000,42790000,56054000,13480000,884000,12596000,13500000,69554000,16242000,-2399000,57331000,176000,106549000,106549000,176103000,-517000,-517000,723000,1803000,-4929000,-243000,-2000,-245000,-6000,33129000,33123000,27949000,27949000,2000,27951000,1503000,44000,0.62234,0.02617,-0.05546,-0.01551,-0.00939000000000001,2.08624,0.65279,0.00025,-0.07063,-0.07063,1.27353,3.04849000000013,-0.01377,-49.60745,-95.58974
"42","2020_Q3",22.27375,"Up",34359000,-11206000,23153000,-17047000,-7567000,-8258000,-1222000,6106000,-62000,26000,-88000,6044000,-57000.0000000037,5987000,-120000,5867000,5867000,5867000,5314000,85706000,85706000,20173000,20173000,2174000,7491000,5016000,115544000,10108000,48062000,8400000,19622000,1.9e+07,58170000,173714000,10361000,3176000,7185000,23000,35393000,45777000,14540000,889000,13651000,14554000,60331000,17633000,-2406000,62645000,52000,113383000,113383000,173714000,5867000,5867000,715000,1578000,11571000,-228000,-4.65661287307739e-10,-228000,-6000,-318000,-323999.999999993,11019000,11019000,83000,11102000,6821000,37000,0.67386,0.17771,0.15466,0.04687,0.03059,2.52406,0.5321,0.00021,0.226850000000064,0.21875,1.46676999999983,3.32653,0.04153,-12.5596,-14.0303
"43","2020_Q4",33.2428125,"Up",36674000,-12479000,24195000,-24457000,-10837000,-12376000,-1244000,-262000,-73000,17000,-90000,-335000,-1552000,-1887000,-183000,-2070000,-2070000,-2070000,-2529000,92608000,92608000,30940000,30940000,1322000,7082000,4338000,131952000,9519000,47730000,8400000,19622000,18474000,57249000,189201000,14288000,5435000,8853000,22000,44115000,58425000,13987000,894000,13093000,13997000,72422000,24066000,-2391000,60116000,-12000,116779000,116779000,189201000,-2070000,-2070000,722000,6922000,8442000,-605000,0,-605000,-6000,-1028000,-1034000,6803000,6803000,99000,6902000,460000,32000,0.65973,-0.00714,-0.06896,-0.02166,-0.01337,2.25849,0.62016,0.00017,-0.10795,-0.10533,1.56546,3.49079999999987,-0.01934,-201.25217,353.34351
"44","2021_Q1",49.7688524590164,"Up",36336000,-12858000,23478000,-48531000,-20745000,-26445000,-1141000,-25053000,-30000,24000,-54000,-25083000,283000,-24800000,519000,-24281000,-24281000,-24281000,-24740000,99180000,99180000,25732000,25732000,1177000,7161000,4797000,133250000,8789000,47834000,8400000,19622000,18010000,56623000,189873000,17733000,6346000,11387000,19000,43403000,61155000,13377000,923000,12454000,13383000,74538000,46739000,-2278000,35376000,39000,115335000,115335000,189873000,-24281000,-24281000,2631000,28875000,13323000,-313000,33969000,33656000,-6000,-39295000,-40418000,6561000,6561000,11000,6572000,-22422000,25000,0.64614,-0.68948,-0.68087,-0.21451,-0.1303,2.17889,0.64627,0.00013,-1.04942,-1.11829,1.54128999999999,3.38817,-0.1835,4.42222,3.95781
"45","2021_Q2",51.7203174603175,"Up",38725000,-13858000,24867000,-22826000,-10055000,-11485000,-1031000,2041000,124000,21000,103000,2165000,3178903.98298604,2165000,-193000,1972000,1972000,1972000,1513000,103911000,103911000,22812000,22812000,1186000,6918000,4837000,134827000,7746000,46912000,8400000,19622000,17005000,54658000,189485000,17536000,7388000,10148000,15000,39468000,57019000,12974000,928000,12046000,12979000,69998000,49672000,-2111000,36889000,37000,119487000,119487000,189485000,1972000,1972000,1031000,3636000,7995000,-274000,-2000,-276000,-6000,-2070000,-2994000,4725000,4725000,6000,4731000,3072000,20000,0.64214,0.0527,0.03907,0.01266,0.00797999999999996,2.3646,0.58582,0.00011,0.063,0.06009,1.6126,3.51824,0.01835,-33.81868,-50.90201
"46","2021_Q3",54.694375,"Up",37892000,-13637000,24255000,-23135000,-9946000,-11379000,-893000,1120000,-90000,13000,-103000,1030000,5249938.64398138,1030000,-48000.0000000001,982000,982000,982000,522999.999999996,106389000,106389000,19269000,19269000,1881000,6684000,4838000,134223000,7372000,46505000,8400000,19622000,16393000,53877000,188100000,17224000,9009000,8215000,10000,34965000,52199000,12720000,933000,11787000,12724000,64923000,52349000,-2100000,37412000,57000,123177000,123177000,188100000,982000,50530917.1366471,893000,3147000,3678000,-512000,0,-511999.999999996,-5000,-638999.999999993,-644000,2522000,2522000,-44000,2478000,2013000,14000,0.64011,0.0295599999999997,0.0138000000000001,0.00425,0.00278,2.57137,0.52707,7e-05,0.0213899999999996,0.02058,1.54965,3.58735,0.00385,-52.84401,-94.97768
"47","2021_Q4",47.51546875,"Down",39460000,-14744000,24716000,-23104000,-10747000,-11210000,-762000,1612000,-46000,6000,-52000,1566000,4370753.98298604,1566000,-24000,1542000,1542000,1542000,1083000,115122000,115122000,24957000,24957000,3256000,6279000,4651000,149614000,6788000,45936000,8400000,19622000,15633000,52724000,202338000,16420000,8035000,8385000,7000,47724000,64151000,10771000,937000,9834000,10774000,74925000,55918000,-2068000,38495000,68000,127413000,127413000,202338000,1542000,86514556.1821961,762000,3651000,10142000,-292000,-1000,-293000,-5000,-193000,-1116000,8733000,8733000,0,8733000,2374000,10000,0.62636,0.04085,0.02745,0.0085,0.00535000000000001,2.33222,0.58805,5e-05,0.04446,0.0425,1.62007,3.7941,0.01448,-48.48863,-71.40943
"48","2022_Q1",40.1570967741935,"Down",46559000,-18865000,27694000,-24564000,-11716000,-12258000,-1178000,3130000,204000,7000,197000,3334000,-1584000,1750000,232000,1982000,1982000,1982000,1523000,96971000,96971000,25175000,25175000,6940000,7087000,5418000,136173000,6345000,71644000,20178000,32759000,16043000,77989000,214162000,20318000,9766000,10552000,4000,51144000,71466000,9891000,938000,8953000,9893000,81359000,59445000,-2063000,40018000,-56000,132803000,132803000,214162000,1982000,80493667.1366471,1178000,3385000,6660000,-119000,-23999.9999999998,-24598000,-3000,-144000,-147000,-18085000,-18085000,-66000,-18151000,4308000,6000,0.59482,0.06723,0.03271,0.01147,0.00711,1.90542,0.61263,3e-05,0.06253,0.05977,1.91152,3.99655,0.01067,-22.50812,-30.97923
"49","2022_Q2",38.9614516129032,"Down",47506000,-19011000,28495000,-25462000,-12766000,-11556000,-926000,3033000,404000,1e+05,304000,3437000,-14739673.3049767,3437000,-398000,3039000,3039000,3039000,2580000,94897000,94897000,22901000,22901000,7246000,7096000,4435000,132140000,5896000,70723000,19831000,32759000,15456000,76619000,208759000,16055000,8185000,7870000,4000,46718000,62777000,9705000,943000,8762000,9706000,72483000,61106000,-1974000,42598000,-454000,136276000,136276000,208759000,3039000,3038999.99999997,926000,2372000,101000,-98000,-7000,-105000,-1000,-820000,-1739000,-1743000,-1743000,-331000,-2074000,3959000,5000,0.59982,0.06384,0.05431,0.01893,0.01236,2.10491,0.53188,2e-05,0.10489,0.10169,1.9313,4.11725,0.02396,-23.96868,-31.28652
"50","2022_Q3",50.4215625,"Up",47742000,-18377000,29365000,-26438000,-12890000,-12577000,-904000,2927000,491000,379000,112000,3418000,-37221615.9319441,3418000,158000,3576000,3576000,3576000,3117000,96196000,96196000,21030000,21030000,9659000,9542000,5830000,136427000,6288000,78051000,19492000,32759000,23011000,84339000,220766000,20387000,10428000,9959000,3000,41664000,62054000,16659000,948000,15711000,16659000,78713000,63554000,-1965000,45715000,-710000,142053000,142053000,220766000,3576000,-175278695.227745,904000,3266000,3016000,-699000,5000,-694000,-1000,-635000,-636000,1686000,1686000,-387000,1299000,3831000,3000,0.61508,0.06131,0.06529,0.02194,0.01412,2.19852,0.55411,1e-05,0.12644,0.12089,1.93664,4.32395,0.01964,-25.10911,-32.86402
