"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_income_loss","non_operating_income_loss","other_investment_income_loss","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"30","2018_Q1",22.1122950819672,"Up",11682000,-12080000,-398000,-398000,904000,173000,715000,16000,506000,506000,-185000,321000,321000,-18000,303000,303000,90975000,20107000,70868000,7608000,7608000,2469000,2849000,2849000,103901000,45332000,101630000,30031000,70037000,414298000,518199000,5355000,3545000,1810000,4004000,1118000,1118000,10477000,65816000,15096000,3405000,11691000,80912000,91389000,333114000,70392000,-5264000,398242000,28568000,426810000,518199000,321000,2267000,169000.000000002,-829000,1928000,-6130000,-49759000,36000,-55853000,-18007000,-486000,71374000,17449000,17449000,17449000,1869000,69820000,-4905000,-0.03407,-0.03407,0.02594,0.00071,0.00058,-16.18812,9.91706,0.21412,0.13474,0.01254,0.01251,0.48344,16.48056,-0.20298,0.00059,-0.00959,-11.31889,53.15327
"31","2018_Q2",24.7871875,"Up",13469000,-11924000,1545000,1545000,436000,283000,167000,-14000,1981000,1981000,-526000,1455000,1455000,2000,1457000,1457000,90588000,19479000,71109000,4175000,4175000,4750000,2475000,2475000,101988000,45383000,103174000,30098000,71730000,418621000,520609000,7535000,4274000,3261000,3990000,1617000,1617000,13142000,64849000,13411000,3405000,10006000,78260000,91402000,333246000,71849000,-4454000,400641000,28566000,429207000,520609000,1455000,1071000,915000,3528000,6969000,-3779000,-3237000,1566000,-5450000,-985000,-1162000,-2147000,-628000,-628000,-628000,2616000,68839000,2891000,0.11471,0.11471,0.10817,0.00339,0.0028,1.98421,7.76046,0.21296,0.13223,0.05623,0.05617,0.51978,15.46111,0.11157,0.00285,0.00565,-8.31384,-14.07702
"32","2018_Q3",22.7984126984127,"Down",5070000,-7419000,-2349000,-2349000,988000,346000,652000,-10000,-1361000,-1361000,348000,-1013000,-1013000,16000,-997000,-997000,80563000,10611000,69952000,2715000,2715000,7335000,3023000,3023000,93636000,45738000,104298000,30742000,72306000,425124000,518760000,6125000,3293000,2832000,4103000,1292000,1292000,11520000,63694000,13951000,3405000,10546000,77645000,89165000,334283000,70852000,-4090000,401045000,28550000,429595000,518760000,-1013000,1149000,240000,-2787000,-2411000,-6607000,1074000,191000,-5342000,-1048000,-67000,-1115000,-8868000,-8868000,-8868000,-1200000,67797000,-10942000,-0.46331,-0.46331,-0.19665,-0.00232,-0.00192,10.97492,8.12813,0.20756,0.13069,-0.03842,-0.03839,0.19537,15.45402,-0.42164,-0.00195,-0.0214,10.63833,5.43465
"33","2018_Q4",18.5765079365079,"Down",15432000,-12717000,2715000,2715000,1927000,351000,1592000,-16000,4642000,4642000,-1155000,3487000,3487000,1000,3488000,3488000,79555000,10174000,69381000,10897000,10897000,5598000,3915000,3915000,99965000,45712000,99979000,27660000,71174000,426046000,526011000,7395000,2976000,4419000,4081000,1855000,1855000,13331000,62737000,15453000,3405000,12048000,78190000,91521000,335299000,74340000,-3698000,405941000,28549000,434490000,526011000,3487000,1064000,4128000,-4408000,4271000,-5797000,611000,1463000,-3723000,-985000,0,-985000,-437000,-437000,-437000,3779000,66818000,-5271000,0.17593,0.17593,0.22602,0.00803,0.00663,-1.51118,7.49869,0.21064,0.12703,0.13436,0.13425,0.59446,15.63745,-0.20305,0.00675,-0.0102,-3.37047,-4.69134
"34","2019_Q1",18.4222950819672,"Down",11648000,-13123000,-1475000,-1475000,1768000,364000,1423000,-19000,293000,292999.999999999,13000.0000000005,306000,306000,1000,306999.999999999,306999.999999999,79657000,15908000,63749000,10876000,10876000,2618000,3348000,3348000,96499000,46086000,103078000,28602000,73247000,432549000,529048000,9612000,6037000,3575000,4018000,2863000,2863000,16493000,61780000,16103000,3405000,12698000,77883000,94376000,349506000,74647000,-4857000,419296000,15376000,434672000,529048000,306000,2140000,-345999.999999998,3425000,5525000,-6397000,4535000,3131000,1269000,-1028000,-32000.0000000001,-1060000,5734000,5734000,5734000,665000,65798000,-2320000,-0.12663,-0.12663,0.0263599999999999,0.00071,0.000580000000000002,-7.557,5.85091,0.21712,0.12437,0.01182,0.0118,0.44853,16.14568,-0.08934,0.00059,-0.00449,-20.8406,9.39593
"35","2019_Q2",17.0571428571429,"Down",10662000,-11694000,-1032000,-1032000,1251000,349000,876000,26000,219000,219000,-95000,124000,124000,-5000,119000,119000,68174000,7904000,60270000,9655000,9655000,5179000,3654000,3654000,86662000,46915000,106945000,29503000,76101000,441304000,527966000,9828000,6610000,3218000,4048000,1997000,1997000,15873000,60749000,16650000,3405000,13245000,77399000,93272000,349823000,74766000,-5276000,419313000,15381000,434694000,527966000,124000,1089000,39000,-2463000,-1211000,-5112000,2e+05,-59000,-4971000,-1007000,-815000,-1822000,-8004000,-8004000,-8004000,57000,64797000,-7423000,-0.09679,-0.09679,0.01116,0.00027,0.00023,-62.37815,5.45971,0.21457,0.12273,0.00458,0.00458,0.4102,16.13215,-0.28558,0.00023,-0.01438,-59.24561,3.27229
"36","2019_Q3",17.429375,"Up",8946000,-10341000,-1395000,-1395000,2322000,329000,1971000,22000,927000,927000,-218000,709000,709000,-2000,707000,707000,60006000,3505000,56501000,2590000,2590000,8140000,3757000,3757000,74493000,46995000,116033000,37151000,77168000,454457000,528950000,8379000,5660000,2719000,4093000,1616000,1616000,14088000,59658000,20143000,5097000,15046000,79801000,93889000,350887000,75473000,-6682000,419678000,15383000,435061000,528950000,709000,1047000,-2806000,983000,-67000.0000000009,-7469000,3923000,235000,-3311000,-992000,-29000,-1021000,-4399000,-4399000,-4399000,-348000,63751000,-6616000,-0.15594,-0.15594,0.07903,0.00163,0.00134,-9.35785,5.28769,0.21581,0.12052,0.02716,0.02714,0.34365,16.12161,-0.25415,0.00136,-0.01275,-10.76149,-2.68459
"37","2019_Q4",16.32078125,"Down",9657000,-12125000,-2468000,-2468000,2512000,294000,2199000,19000,44000,44000,-7000,37000,37000,10000,47000,47000,56536000,9113000,47423000,4091000,4091000,5790000,3558000,3558000,69975000,46424000,119482000,42177000,75353000,463785000,533760000,8242000,3744000,4498000,4137000,6922000,1922000,19301000,58625000,21408000,5185000,16223000,80033000,99334000,351112000,75520000,-7579000,419053000,15373000,434426000,533760000,37000,1426000,-1814000,2184000,1833000,-6614000,9173000,-2789000,-230000,4005000,0,4005000,5608000,5608000,5608000,-1042000,62762000,-5465000,-0.25557,-0.25557,0.00487,0.00011,9e-05,-116.2766,3.62546,0.22866,0.11758,0.0018,0.00177,0.37083,16.09163,-0.20986,9e-05,-0.01054,-5.97505,-2.52269
"38","2020_Q1",15.3620967741935,"Down",20258000,-16794000,3464000,3464000,9905000,267000,11529000,-1891000,13369000,13369000,-3660000,9709000,9709000,-2000,9707000,9707000,66190000,27106000,39084000,9950000,9950000,2792000,3252000,3252000,82184000,45072000,60430000,38240000,21477000,457238000,539422000,9608000,6145000,3463000,4182000,1346000,1346000,15136000,57476000,21186000,5731000,15455000,78662000,93798000,351793000,85227000,-6771000,430249000,15375000,445624000,539422000,9709000,1474000,7572000,-3265000,15490000,-6027000,8217000,10250000,9340000,-6010000,-827000,-6837000,17993000,17993000,17993000,4938000,61658000,-694000,0.17099,0.17099,0.47917,0.02178,0.018,-0.0714899999999972,5.4297,0.21049,0.1143,0.37249,0.37412,0.77737,16.51026,-0.02663,0.01837,-0.00131,-0.917779999999998,-1.30831
"39","2020_Q2",13.9233333333333,"Down",10313000,-12076000,-1763000,-1763000,1591000,228000,1355000,8000,-172000,-172000,-512000,-684000,-684000,2000,-682000,-682000,59276000,25048000,34228000,4085000,4085000,5227000,3685000,3685000,72273000,45150000,118960000,39554000,78155000,465182000,537455000,8323000,4875000,3448000,4258000,2085000,2085000,14666000,55686000,24970000,5734000,19236000,80656000,95322000,351816000,84545000,-9601000,426760000,15373000,442133000,537455000,-684000,1164000,648000,2909000,4037000,-4948000,2296000,1e+05,-2802000,-1725000,-1568000,-3293000,-2058000,-2058000,-2058000,-599000,59944000,-2126000,-0.17095,-0.17095,-0.06613,-0.00154,-0.00127,3.1173,4.92793,0.2156,0.11153,-0.0261,-0.02597,0.3947,16.33283,-0.08137,-0.00129,-0.00403,-1.11519,-0.3789
"40","2020_Q3",14.43,"Up",4775000,-7558000,-2783000,-2783000,1320000,151000,1181000,-11999.9999999998,-1463000,-129999.999999998,-196000,-325999.999999998,-325999.999999998,-7000,-333000,-333000,49298000,21975000,27323000,2860000,2860000,7452000,4831000,4831000,64441000,45776000,119395000,41246000,76798000,470729000,535170000,6745000,4031000,2714000,4205000,1453000,1453000,12403000,54728000,25062000,5738000,19324000,79790000,92193000,353257000,84212000,-9872000,427597000,15380000,442977000,535170000,-325999.999999998,1016000,-1325000,-3351000,-3986000,-4244000,9518000,-2634000,1950000,-1021000,-16000,-1037000,-3073000,-3073000,-3073000,-1767000,58933000,-9166000,-0.58283,-0.58283,-0.06974,-0.000749999999999997,-0.00062,27.52553,5.1956,0.20812,0.11012,-0.0127,-0.01263,0.18211,16.30769,-0.34957,-0.000630000000000001,-0.01739,-5.45274,-3.46209
"41","2020_Q4",14.585625,"Up",13513000,-14340000,-827000,-827000,1616000,455000,1093000,68000,789000,787000,-403000,384000,384000,14000,398000,398000,50354000,36155000,14199000,9731000,9731000,4563000,2329000,2329000,66977000,45812000,114358000,37163000,75923000,470087000,537064000,7925000,3530000,4395000,4251000,2168000,2168000,14344000,53672000,24041000,5550000,18491000,77713000,92057000,354701000,84610000,-9670000,429641000,15366000,445007000,537064000,384000,1455000,6284000,-586000,7537000,-4215000,13028000,1000,7664000,-1021000,0,-1021000,14180000,14180000,14180000,628000,57923000,-3770000,-0.0612,-0.0612,0.02945,0.00089,0.00074,-9.47236,4.66934,0.20687,0.10785,0.01517,0.01506,0.51518,16.37999,-0.14373,0.00076,-0.00715,12.05255,-9.15236
"42","2021_Q1",16.4847540983607,"Up",9229000,-10603000,-1374000,-1374000,971000,49999.9999999999,875000,46000,-403000,-403000,282000,-121000,-121000,-2000,-123000,-123000,58091000,55320000,2771000,4592000,4592000,2990000,2842000,2842000,68515000,46246000,54451000,33524000,20927000,467834000,536349000,6672000,3367000,3305000,4295000,1972000,1972000,12939000,52587000,25492000,5550000,19017000,78079000,91018000,355196000,84487000,-9720000,429963000,15368000,445331000,536349000,-121000,1303000,2260000,4451000,7893000,-6852000,7823000,12065000,12966000,-1052000,-642000,-1694000,19165000,19165000,19165000,-71000,56882000,-2754000,-0.14888,-0.14888,-0.01333,-0.00028,-0.00023,22.39024,5.29523,0.20438,0.10605,-0.00469,-0.00467,0.35165,16.38296,-0.10494,-0.00023,-0.00522,17.02817,0.879910000000001
"43","2021_Q2",15.5371428571429,"Down",11054000,-12108000,-1054000,-1054000,12000,7000,-59000,64000,-1042000,-1042000,-21000,-1063000,-1063000,8000,-1055000,-1055000,52286000,44721000,7565000,1324000,1324000,5156000,5167000,5167000,63933000,48567000,111112000,33403000,77709000,473232000,537165000,9213000,6167000,3046000,4338000,2013000,2013000,15564000,51489000,23964000,5550000,16721000,75453000,91017000,355496000,83432000,-8140000,430788000,15360000,446148000,537165000,-1063000,965000,1603000,2209000,3714000,-5173000,-4815000,-1191000,-11679000,-1066000,-966000,-2032000,-9997000,-9997000,-9997000,-89000,55827000,-3032000,-0.09535,-0.09535,-0.09544,-0.00236,-0.00196,2.87393,4.10775,0.20401,0.10393,-0.04009,-0.04001,0.42009,16.37123,-0.11523,-0.00201,-0.00576,-39.78652,-3.35958
"44","2021_Q3",17.77765625,"Up",16638000,-14113000,2525000,2525000,1417000,9000,1365000,43000,3942000,3942000,-1118000,2824000,2824000,-2000,2822000,2822000,49639000,40478000,9161000,1377000,1377000,7756000,4438000,4438000,63210000,50113000,112957000,39288000,73669000,476160000,539370000,6415000,3879000,2536000,4381000,1518000,1518000,12314000,50390000,26908000,8334000,16998000,77298000,89612000,356586000,86254000,-8444000,434396000,15362000,449758000,539370000,2824000,967000,-5601000,-2999000,-4809000,-6186000,-1627000,9746000,1833000,-1066000,0,-1066000,-4042000,-4042000,-4042000,3492000,54771000,-4575000,0.15176,0.15176,0.16961,0.00627,0.00523,-1.62119,5.13318,0.19924,0.10155,0.10724,0.10701,0.63229,16.50834,-0.17386,0.00531,-0.00861,1.46963999999999,2.03248
"45","2021_Q4",18.9278125,"Up",14962000,-16177000,-1215000,-1215000,1539000,5000,1510000,24000,324000,324000,-98000,226000,226000,-7000,219000,219000,45451000,37660000,7791000,5974000,5974000,5703000,4636000,4636000,61764000,50252000,62222000,42517000,19705000,480327000,542091000,8331000,4006000,4325000,4424000,2057000,2057000,14812000,49290000,26540000,8334000,16503000,75830000,90642000,357722000,86473000,-8115000,436080000,15369000,451449000,542091000,226000,1476000,-1209000,-1314000,-821000,-3818000,1337000,3852000,-929000,-1068000,0,-1068000,-2818000,-2818000,-2818000,261000,53714000,-4773000,-0.08121,-0.08121,0.01464,0.00049,4e-04,-21.79452,4.16986,0.20078,0.09909,0.00832,0.00827,0.56811,16.55817,-0.18123,0.00041,-0.00898,31.659,-6.80082
"46","2022_Q1",17.453064516129,"Down",12959000,-13475000,-516000,-516000,6455000,36000,6386000,33000,5939000,5939000,-2584000,3355000,3355000,7000,3362000,3362000,47178000,36195000,10983000,6473000,6473000,5702000,3619000,3619000,62972000,50699000,62338000,43418000,18920000,483064000,546036000,9213000,4545000,3451000,4475000,1907000,1907000,15595000,48155000,25775000,7909275.69387308,22877000,73930000,89525000,358136000,89835000,-6822000,441149000,15362000,456511000,546036000,3355000,1186000,-1817000,2008000,4732000,-1226000,-5647000,2996000,-3877000,-1095000,-825000,-1920000,-1065000,-1065000,-1065000,670000,52630000,4036000,-0.03982,-0.03982,0.25943,0.00736,0.00616,1.20048,4.03796,0.19611,0.09639,0.12737,0.12618,0.49094,16.71255,0.1529,0.00629,0.00755,8.13731,-10.56589
"47","2022_Q2",17.2466129032258,"Down",21020000,-15808000,5212000,5212000,2148000,17000,1213000,918000,7360000,7360000,-3046000,4314000,4314000,-7000,4307000,4307000,56242000,36705000,19537000,3275000,3275000,8270000,4235000,4235000,72022000,51426000,56149000,37348000,18801000,480006000,552028000,11909000,4271000,3047000,4531000,2543000,2543000,18983000,47001000,23162000,7839000,11727000,70163000,89146000,358403000,94142000,-5032000,447513000,15369000,462882000,552028000,4314000,967000,-242000,2945000,7984000,6000,-8662000,3413000,-5243000,-1109000,-1122000,-2231000,510000,510000,510000,6179000,51532000,12176000,0.24795,0.24795,0.2049,0.0093,0.0078,2.82703,3.79403,0.19259,0.09335,0.16345,0.16244,0.79768,16.98261,0.46207,0.00801,0.02265,-0.76226,-0.90368
"48","2022_Q3",15.86640625,"Down",9269000,-11587000,-2318000,-2318000,1651000,79000,1663000,-91000,-667000,-667000,5000,-662000,-662000,-5000,-667000,-667000,45549000,18364000,27185000,2751000,2751000,9435000,4323000,4323000,62058000,52794000,57323000,38632000,18691000,486247000,548305000,8841000,4437000,2228000,1619000,1657000,1657000,12117000,49055000,22824000,7839000,10956000,71879000,83996000,359379000,93475000,-3919000,448935000,15374000,464309000,548305000,-662000,1081000,-1605000,-4140000,-5326000,-7856000,-7799000,2471000,-13184000,350000,-181000,169000,-18341000,-18341000,-18341000,-1237000,50674000,-13238000,-0.25008,-0.25008,-0.07196,-0.00144,-0.00122,19.84708,5.12156,0.18091,0.09242,-0.02531,-0.02516,0.35175,17.03657,-0.50237,-0.00124,-0.02461,-4.14309,-2.21096
