"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"33","2020_Q1",149.05064516129,"Down",286641000,-153704000,132937000,-32052000,-9522000,-22530000,100885000,-3622000,97263000,97263000,-26368000,70895000,70895000,70895000,70895000,308013000,238147000,156043000,156043000,264281000,25474000,13843000,753811000,13618000,76851000,2910000,73941000,122054000,875865000,64278000,38722000,25556000,84233000,84233000,179186000,464700000,132702000,132702000,597402000,776588000,99277000,99277000,875865000,70895000,2082000,-189000,28216000,101004000,-43983000,-43576000,28750000,-140126000,21000,-140147000,-581000,-129545000,-72117000,-72117000,-72117000,102967000,495375000,113568000,0.46378,0.35196,0.24733,0.71411,0.08094,1.60192,4.20686,7.82244,0.56558,1.0103,1.00846,4.08483,1.41477,1.61842,0.12165,0.15614,1.81963,1.85718
"34","2020_Q2",164.097301587302,"Up",323277000,-171886000,151391000,-30702000,-10450000,-20252000,120689000,-4653000,116036000,116036000,-17890000,98146000,98146000,98146000,98146000,152146000,119741000,174256000,174256000,244112000,30268000,22411000,600782000,14667000,115571000,2986000,112585000,149786000,750568000,90075000,64238000,25837000,113115000,113115000,227257000,621464000,141274000,141274000,762738000,989995000,-239427000,-239427000,750568000,98146000,1849000,4070000,15585000,119650000,-18333000,31598000,148112000,-396596000,3000,-396599000,-501000,-269654000,-118406000,-118406000,-118406000,122538000,645531000,137680000,0.4683,0.37333,0.3036,-0.40992,0.13076,1.40281,2.64362,-4.13485,0.86006,1.43509,1.43312,4.72696,-3.50091,2.01316,0.21706,0.25153,4.02638,4.08807
"35","2020_Q3",172.70046875,"Up",308284000,-163198000,145086000,-33038000,-8997000,-24041000,112048000,-12085000,99963000,99963000,-14152000,85811000,85811000,85811000,85811000,115890000,100004000,147081000,147081000,248585000,17808000,11115000,529364000,15237000,112159000,2993000,109166000,137728000,667092000,81355000,70934000,10421000,99264000,99264000,204686000,615457000,139054000,139054000,754511000,959197000,-292105000,-292105000,667092000,85811000,1820000,11096000,24961000,123688000,-1852000,23715000,-3112000,-141291000,124000,-141415000,-3277000,-167140000,-19737000,-19737000,-19737000,113868000,639524000,151129000,0.47062,0.36346,0.27835,-0.29377,0.12863,1.76118,2.58622,-3.28374,0.95867,1.3207,1.31859,4.74473,-4.49572,2.32599,0.2164,0.31066,4.59861,4.6733
"36","2020_Q4",225.89703125,"Up",337417000,-177782000,159635000,-32278000,-10606000,-21672000,127357000,-6618000,120739000,120739000,-17017000,103722000,103722000,103722000,103722000,84713000,77781000,173882000,173882000,205244000,18957000,10917000,482796000,79048000,53662000,2784000,50878000,137823000,620619000,69386000,61017000,8369000,84296000,84296000,177749000,659447000,139409000,139409000,798856000,976605000,-355986000,-355986000,620619000,103722000,1429000,2058000,-15217000,91992000,-8601000,5064000,43750000,-143166000,25000,-143191000,-416000,-119279000,-22223000,-22223000,-22223000,128786000,683514000,121985000,0.47311,0.37745,0.3074,-0.29137,0.16713,1.17608,2.71617,-2.74338,1.10134,1.60449,1.60263,5.21954,-5.50678,1.887,0.26378,0.26125,4.64958,4.70175
"37","2021_Q1",309.376885245902,"Up",315522000,-163462000,152060000,-33956000,-10516000,-23440000,118104000,-4646000,113458000,113458000,-20840000,92618000,92618000,92618000,92618000,143542000,142617000,142160000,142160000,285943000,15002000,9034000,586647000,78522000,71769000,4102000,67667000,150804000,737451000,186508000,155547000,30961000,53722000,53722000,264297000,628437000,140175000,140175000,768612000,1032909000,-295458000,-295458000,737451000,92618000,2597000,2685000,27054000,124954000,-1833000,9207000,-31250000,-18893000,27000,-18920000,-76000,-69325000,64836000,64836000,64836000,120701000,652504000,166762000,0.48193,0.37431,0.29354,-0.31347,0.12559,1.80054,2.21965,-3.49596,0.88481,1.45399,1.45228,4.95333,-4.63935,2.61797,0.2247,0.33539,4.21672,4.30944
"38","2021_Q2",288.248412698413,"Down",473533000,-245417000,228116000,-38163000,-12350000,-25813000,189953000,-3917000,186036000,186036000,-29527000,156509000,156509000,156509000,156509000,129440000,128427000,196022000,196022000,256038000,20451000,15483000,601951000,78481000,71432000,3682000,67750000,149913000,751864000,111374000,68968000,42406000,131609000,131609000,267050000,612429000,134247000,134247000,746676000,1013726000,-261862000,-261862000,751864000,156509000,2634000,4722000,-46904000,116961000,-2836000,-4911000,-16250000,-83905000,21000,-83926000,-615000,-126240000,-14190000,-14190000,-14190000,192587000,636496000,172374000,0.48173,0.40114,0.33051,-0.59768,0.20816,1.10137,2.25408,-3.87122,0.84656,2.46037,2.45801,7.44408,-4.11655,2.70977,0.35761,0.33873,2.63287,2.66938
"39","2021_Q3",304.56984375,"Up",479436000,-248762000,230674000,-39863000,-10951000,-28912000,190811000,-3613000,187198000,187198000,-27530000,159668000,159668000,159668000,159668000,189622000,189114000,163696000,163696000,233079000,23833000,17065000,610230000,79114000,91808000,3733000,88075000,170922000,781152000,99799000,86672000,13127000,111697000,111697000,235563000,581422000,145967000,145967000,727389000,962952000,-181800000,-181800000,781152000,159668000,2632000,4284000,25404000,191988000,-9034000,-6037000,-31250000,-68698000,22000,-68720000,-201000,-125264000,60687000,60687000,60687000,193443000,605489000,237343000,0.48114,0.39799,0.33303,-0.878260000000001,0.2044,1.48648,2.59052,-5.29677,0.77512,2.54159,2.53881,7.63166,-2.89389,3.77802,0.32438,0.41664,2.14982,2.17947
"40","2021_Q4",300.80484375,"Down",467237000,-244499000,222738000,-43738000,-13255000,-30483000,1.79e+08,-4890000,174110000,174110000,-28035000,146075000,146075000,146075000,146075000,263804000,262791000,187315000,187315000,224930000,21939000,14099000,697988000,79889000,114405000,3507000,110898000,195020000,893008000,77250000,63783000,13467000,156526000,156526000,257641000,548133000,147443000,147443000,695576000,953217000,-60209000,-60209000,893008000,146075000,3047000,4380000,-14678000,138824000,-4132000,-4132000,-32500000,48000,48000,0,-3439000,-61015000,73677000,73677000,73677000,182047000,571998000,191272000,0.47671,0.3831,0.31264,-2.42613,0.16358,1.30941,2.70915,-15.8318,0.64053,2.32537,2.32308,7.43795,-0.95847,3.04486,0.25969,0.29014,1.69294,1.72175
"41","2022_Q1",267.562741935484,"Down",477888000,-247140000,230748000,-47920000,-16957000,-30963000,182828000,-2518000,180310000,180310000,-25978000,154332000,154332000,154332000,154332000,250738000,249418000,172289000,172289000,233767000,37362000,17349000,694156000,79061000,116733000,4776000,111957000,196829000,890985000,230589000,112071000,118518000,125980000,125980000,380434000,467030000,40822000,40822000,507852000,888286000,2699000.00000001,2699000.00000001,890985000,154332000,3787000,2266000,3864000,164249000,-2323000,-4186000,-81250000,-67082000,34000,-67116000,0,-173436000,-13373000,-13373000,-13373000,186615000,490895000,214134000,0.48285,0.38257,0.32295,57.18118,0.17322,1.38749,1.82464,329.11671,0.55096,2.46096,2.45893,7.62036,0.0430400000000001,3.41456,0.33576,0.40069,1.28691,1.31357
"42","2022_Q2",264.170967741935,"Down",458914000,-249451000,209463000,-47765000,-15714000,-32051000,161698000,-3815000,157883000,157883000,-25733000,132150000,132150000,132150000,132150000,267004000,265930000,173927000,173927000,261590000,77813000,35377000,780334000,79608000,137427000,4752000,132675000,218322000,998656000,164653000,124643000,40010000,134415000,134415000,322933000,460929000,156822000,156822000,617751000,940684000,57972000,57972000,998656000,132150000,3244000,4213000,-38669000,100938000,-2971000,-2990000,-6250000,-36752000,19113.3879747811,-36752000,-935000,-81436000,16512000,16512000,16512000,164942000,484794000,149035000,0.45643,0.35235,0.28796,2.27955,0.13233,1.12777,2.4164,16.22652,0.48545,2.09792,2.09589,7.28539,0.91934,2.36597,0.2425,0.21303,1.3204,1.34689
"43","2022_Q3",293.35671875,"Up",431565000,-256867000,174698000,-49307000,-16437000,-32870000,125391000,-2717000,122674000,122674000,-19025000,103649000,103649000,103649000,103649000,214365000,212179000,125459000,125459000,276006000,56530000,14603000,672360000,80044000,137353000,4548000,132805000,218488000,890848000,115066000,106678000,8388000,114696000,114696000,253627000,484829000,156579000,156579000,641408000,895035000,-4187000,-4187000,890848000,103649000,3302000,5130000,-16894000,95187000,-3521000,-3554000,23750000,-131491000,51000,-131542000,-197000,-145384000,-53751000,-53751000,-53751000,128693000,508694000,127303000,0.4048,0.29055,0.24017,-24.75496,0.11635,1.22821,2.65098,-213.76523,0.57102,1.65788,1.65677,6.90294,-0.06796,2.03623,0.21343,0.19257,2.28706,2.34729
