"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"39","2019_Q4",11.13296875,"Up",4019000,-1222000,2797000,-2617000,-2100000,-229000,180000,79000,259000,259000,-59000,2e+05,2e+05,2e+05,2e+05,15807000,15807000,2054000,2054000,310000,222000,18171000,11589000,3984000,1554000,11918000,30089000,1072000,397000,648000,1566000,1566000,2958000,418000,51000,712000,3670000,22688000,3768000,26419000,26419000,30089000,2e+05,430000,227000,303000,1160000,-296000,-296000,-236000,-236000,628000,628000,628000,610000,614000,676000,0.69594,0.04479,0.04976,0.00757,0.00665,3.38,6.143,0.13892,0.02041,0.05193,0.05155,1.04363,6.8603,0.175540000000001,5,0.00729,0.02463,-24.90656,-84.40556
"40","2020_Q1",11.0741935483871,"Down",3959000,-1306000,2653000,-2636000,-2159000,-226000,17000,56000,73000,73000,-4000,69000,69000,69000,69000,15766000,15766000,2051000,2051000,189000,141000,18006000,13485000,3515000,3338000,14384000,32390000,1727000,266000,1151000,1812000,1812000,3840000,2450000,2309000,2450000,6290000,22279000,3837000,26100000,26100000,32390000,69000,406000,-296000,730000,909000,-118000,-118000,236000,-857000,-66000,-66000,-66000,423000,301000,1039000,0.67012,0.00429000000000001,0.01743,0.00264,0.00213,15.05797,4.68906,0.241,0.00929,0.0181700000000002,0.0180500000000002,1.04267000000001,6.87384999999967,0.27364,5,0.00239,0.03601,-36.56028,-909.70588
"41","2020_Q2",10.0742857142857,"Down",4016000,-1253000,2763000,-2515000,-2112000,-209000,248000,58000,306000,306000,-80000,226000,226000,226000,226000,16197000,16197000,2172000,2172000,241000,241000,18610000,13097000,3343000,3084000,13964000,32574000,1817000,383000,1060000,1879000,1879000,4003000,2363000,2226000,2363000,6366000,22121000,4063000,26208000,26208000,32574000,226000,374000,102000,-1e+05,602000,4090.32805689117,65751.8340731813,-203000,-203000,399000,399000,399000,622000,307000,1358272.49328529,0.688,0.06175,0.05627,0.00862,0.00694,11.3057014351396,4.64901,0.2429,0.00942,59.66209,59.10042,1060.19007,6918.6906,351.730773494965,6,0.00783,0.0469345291239854,-25.54662,-64.07258
"42","2020_Q3",15.00484375,"Up",4884000,-1362000,3522000,-2521000,-2147000,-209000,1001000,1000,1002000,1002000,-230000,772000,772000,772000,772000,17097000,17097000,2599000,2599000,273000,273000,19969000,12697000,3171000,2858000,13536000,33505000,2429000,430000,1385000,2015000,2015000,4758000,2268000,2138000,2268000,7026000,21623000,4835000,26479000,26479000,33505000,772000,353000,171000,181000,1477000,-4000,-4000.00000000012,-582000,-582000,891000,891000,891000,1354000,314000,1761000,0.72113,0.20495,0.15807,0.02916,0.02304,2.28109,4.19693,0.26534,0.00937,206.63812,205.64731,1307.28051,7087.52677,471.35974,7,0.02656,0.0606,-12.39513,-16.7662300000002
"43","2020_Q4",20.72125,"Up",4882000,-1387000,3495000,-2419000,-2025000,-182000,1076000,-4000,1072000,1072000,-283000,789000,789000,789000,789000,18429000,18429000,2445000,2445000,220000,220000,21094000,12312000,3023000,2651000,13129000,34223000,2267000,355000,1367000,2098000,2098000,4685000,2174000,2054000,2174000,6859000,21761000,5624000,27364000,27364000,34223000,789000,325000,162000,45000,1321000,-11000,-11000,66000,66000,1376000,1376000,1376000,1401000,320000,1718000,0.7159,0.2204,0.16161,0.02883,0.02305,2.17744,4.50245,0.25066,0.00935,0.07011,0.06966,0.43378,2.43139,0.15265,7,0.02643,0.05754,-12.92577,-16.82993
"44","2021_Q1",21.9847540983607,"Up",4744000,-1413000,3331000,-2962000,-2557000,-151000,369000,81000,450000,450000,-131000,319000,319000,319000,319000,19556000,19556000,2514000,2514000,298000,298000,22368000,12521000,3432000,2713000,12521000,34889000,2367000,304000,1805000,2212000,2212000,4579000,2168000,1971000,2168000,6747000,22218000,5943000,28142000,28142000,34889000,319000,296000,393000,-22000,986000,-12000,-12000,1170000,145000,1119000,1119000,1119000,665000,0,762000,0.70215,0.07778,0.06724,0.01134,0.00914,2.38871,4.88491,0.23975,0,0.0848900000000302,0.0839000000000009,1.26236999999996,7.48855999999913,0.202769999999993,8,0.01052,0.02514,-29.40752,-52.99729
"45","2021_Q2",25.8107936507937,"Up",4980000,-1394000,3586000,-2879000,-2478000,-152000,707000,1000,708000,708000,-163000,545000,545000,545000,545000,20548000,20548000,2966000,2966000,383000,383000,23897000,12183000,3183000,1849000,12183000,36080000,3045000,589000,2098000,2383000,2383000,5428000,2152000,1890000,2152000,7580000,22028000,6488000,28500000,28500000,36080000,545000,285000,76000,363000,1269000,-16000,-16000,-253000,-253000,1e+06,1e+06,1e+06,992000,0,1502000,0.72008,0.14197,0.10944,0.01912,0.01511,2.75596,4.40254,0.26596,0,0.1446,0.14278,1.32131,7.56169,0.39851,6,0.01778,0.049,-20.71371,-29.06365
"46","2021_Q3",27.10828125,"Up",5720000,-1480000,4240000,-2879000,-2471000,-152000,1361000,1000,1362000,1362000,-256000,1106000,1106000,1106000,1106000,21159000,21159000,3599000,3599000,482000,374000,25240000,12014000,3099000,1775000,12014000,37254000,2790000,754000,1989000,2699000,2699000,5489000,2075000,1815000,2075000,7564000,22117000,7594000,29690000,29690000,37254000,1106000,280000,209000,-783000,812000,-24000,-185000,20000.0000000002,19999.9999999999,647000,647000,647000,1641000,0,1090000,0.74126,0.23794,0.19336,0.03725,0.02969,0.98553,4.59829,0.25477,-2.16840434497101e-19,0.293449999999998,0.289759999999999,1.51764,7.87741999999997,0.289200000000003,6,0.03482,0.03431,-12.89397,-15.54666
"47","2021_Q4",28.07890625,"Up",5465000,-1355000,4110000,-3133000,-2607000,-153000,977000,366000,1343000,1343000,-319000,1024000,1024000,1024000,1024000,22415000,22415000,3037000,3037000,789000,761000,26241000,11713000,2900000,2437000,11713000,37954000,2382000,667000,1654000,2696000,2696000,5078000,2e+06,1738000,2e+06,7078000,22272000,8618000,30876000,30876000,37954000,1024000,289000,169000,-244000,1238000,-9000,-63000,55000,55000,1230000,1230000,1230000,1266000,0,1332000,0.75206,0.17877,0.18737,0.03316,0.02698,1.30078,5.16759,0.22924,0,0.27119,0.2682,1.4473,8.17691,0.35275,7,0.03115,0.04052,-17.70537,-22.94268
"48","2022_Q1",27.9491935483871,"Down",5718000,-1519000,4199000,-3501000,-3014000,-146000,698000,1000,699000,699000,-83000,616000,616000,616000,616000,23852000,23852000,3291000,3291000,750000,750000,27893000,11364000,2648000,2340000,11364000,39257000,2716000,695000,1975000,3086000,3086000,5802000,1835000,1659000,1835000,7637000,22405000,9234000,31620000,31620000,39257000,616000,289000,30000,477000,1412000,-13000,-13000,485000,32000,1431000,1431000,1431000,987000,4.54747350886464e-13,1534000,0.73435,0.12207,0.10773,0.01948,0.01569,2.49026,4.80748,0.24152,0,0.16109,0.16084,1.49529,8.26882999999999,0.40115,6,0.01841,0.04585,-24.16616,-34.17192
"49","2022_Q2",24.7077419354839,"Down",5288000,-1232000,4056000,-3368000,-2947000,-146000,688000,2000,690000,690000,-174000,516000,516000,516000,516000,24271000,24271000,3950000,3950000,879000,879000,29100000,11148000,2524000,2248000,11148000,40248000,2902000,850000,1791000,3422000,3422000,6324000,1721000,1580000,1721000,8045000,22465000,9750000,32203000,32203000,40248000,516000,162000,250000,-380000,548000,-21000,-21000,-124000,-124000,403000,403000,403000,850000,0,623000,0.76702,0.13011,0.09758,0.01602,0.01282,1.20736,4.60152,0.24982,0,0.13608,0.1348,1.39451,8.49235,0.16429,5,0.01521,0.01836,-28.55412,-35.27762
"50","2022_Q3",22.9028125,"Down",5807000,-1364000,4443000,-3295000,-2934000,-147000,1148000,20000,1168000,1168000,-327000,841000,841000,841000,841000,21458000,21458000,3484000,3484000,1123000,847000,26065000,10947000,2401000,2170000,10947000,37012000,2567000,584000,1739000,3481000,3481000,6048000,1614000,1501000,1614000,7662000,18794000,10591000,29350000,29350000,37012000,841000,162000,256000,-163000,1096000,-17000,-17000,-3859000,-3859000,-2780000,-2780000,-2780000,1310000,0,1457000,0.76511,0.19769,0.14483,0.02865,0.02272,1.73246,4.30969,0.26106,-1.6940658945086e-21,0.22481,0.22296,1.55226,7.8455,0.38947,5,0.02716,0.04705,-16.38015,-18.69164
