"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","piotroski_f_score","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"39","2019_Q4",14.36625,"Up",56012000,-9270000,46742000,-44501000,-44501000,2241000,-83000,-13000,2158000,2158000,1782000,1782000,1782000,1782000,15913000,15913000,4634000,14490000,7640000,7640000,42677000,6818000,4610000,2261000,11428000,54105000,5065000,5065000,20474000,20474000,27478000,1881000,1881000,1881000,29359000,1000,-100918000,125663000,24746000,24746000,54105000,1782000,478000,1299000,304000,3863000,-1417000,-1417000,-5492000,-3046000,-3046000,-30000,-3076000,2719000,1939000,0.8345,0.04001,0.03181,0.07201,0.03294,1.55313,1.18641,0.03584,0.88036,0.8158,27.67147,12.22521,8,0.06238,-5.13939,-6.23561
"40","2020_Q1",13.3864516129032,"Down",56170000,-9710000,46460000,-40792000,-40792000,5668000,-170000,-131000,5498000,5498000,3907000,3907000,3907000,3907000,18824000,18824000,3302000,13753000,7309000,7309000,43188000,7131000,4954000,1278000,12085000,55273000,5180000,5180000,19561000,18563000,26195000,1879000,1879000,1879000,28074000,1000,-99960000,127158000,27199000,27199000,55273000,3907000,539000,744000.000000001,1794000,6984000,-817000,-817000,-3313000,2854000,2854000,57000,2911000,6207000,1454000,0.82713,0.10091,0.06956,0.14364,0.07069,1.64871,1.03217,0.02631,1.93385,1.80861,27.80252,13.46272,6,0.12796,-2.79845,-3.06457
"41","2020_Q2",13.55,"Up",56228000,-9190000,47038000,-44460000,-44460000,2578000,-128000,-82000,2450000,2450000,1761000,1761000,1761000,1761000,13009000,13009000,3973000,14776000,10599000,10599000,42357000,10086000,3557000,2232000,13643000,5.6e+07,5148000,5148000,16651000,16651000,25307000,1069000,1069000,1069000,26376000,1000,-99084000,128707000,29624000,29624000,5.6e+07,1761000,1107000,-6385000,57000,-3460000,-752000,-752000,-1604000,-5816000,-5816000,1000,-5815000,3685000,3508000,0.83656,0.04585,0.03132,0.05945,0.03145,1.67373,0.89036,0.06264,0.87967,0.81579,28.08751,14.79804,5,0.05149,-2.57829,-3.68542
"42","2020_Q3",13.209375,"Down",61242000,-10230000,51012000,-47366000,-47366000,3646000,-189000,-150000,3457000,3457000,4303000,4303000,4303000,4303000,14479000,14479000,2794000,14222000,6117000,6117000,37612000,9722000,5479000,2465000,17406000,55018000,3900000,3900000,18591000,18591000,25245000,675000,675000,675000,25920000,999.999999999993,-96793000,125890000,29098000,29098000,55018000,4303000,1286000,8319000,-4683000,9225000,-881000,-881000,-6818000,1526000,1526000,-56000,1470000,4932000,2754000,0.83296,0.05953,0.07026,0.14788,0.07821,1.48988,0.89078,0.05006,2.16602,2.06785,30.82761,14.64717,7,0.13229,-2.37733,-3.21585
"43","2020_Q4",10.97296875,"Down",56077000,-9095000,46982000,-43949000,-43949000,3033000,-367000,-347000,2666000,2666000,1661000,1661000,1661000,1661000,13464000,13464000,3547000,14740000,6084000,6084000,37835000,8920000,3373000,2432000,14498000,52333000,4004000,4004000,17477000,17477000,23324000,411000,411000,411000,23735000,1000,-97132000,125729000,28598000,28598000,52333000,1661000,1291000,-1884000,2144000,3212000,-474000,-474000,-3852000,-1114000,-1114000,99000,-1015000,4324000,1843000,0.83781,0.05409,0.02962,0.05808,0.03174,1.62215,0.82995,0.03522,0.81557,0.79131,27.53447,14.04196,6,0.05384,-2.68756,-3.83152
"44","2021_Q1",9.11754098360656,"Down",59368000,-9449000,49919000,-43710000,-43710000,6209000,-121000,-91000,6088000,6088000,3824000,3824000,3824000,3824000,22138000,22138000,2610000,13888000,5232000,5232000,43868000,8126000,4678000,1663000,15009000,58877000,4611000,4611000,19224000,18432000,25019000,604000,604000,604000,25623000,999.999999999884,-93307000,126560000,33254000,33254000,58877000,3824000,1416000,-229000,4338000,9349000,-574000,-574000,-148000,8627000,8627000,47000,8674000,7625000,1184000,0.84084,0.10458,0.06441,0.11499,0.06495,1.75339,0.77052,0.02011,1.87684,1.82003,29.13812,16.32124,6,0.10913,-2.74807,-3.37478
"45","2021_Q2",7.97825396825397,"Down",54827000,-9398000,45429000,-41932000,-41932000,3497000,-147000,-141000,3350000,3350000,2451000,2451000,2451000,2451000,17960000,17960000,2440000,14798000,5835000,5835000,41033000,21587000,5387000,2969000,29179000,70212000,4733000,4733000,14988000,14988000,22020000,14056000,14056000,14056000,36076000,1000,-92856000,126991000,34136000,34136000,70212000,2451000,2245000,-5913000,164000,-1053000,-960000,-960000,-2249000,-4262000,-4262000,84000,-4178000,5742000,2299000,0.82859,0.06378,0.0447,0.0718,0.03491,1.86344,1.05683,0.03274,1.20204,1.16719,26.88863,16.74121,4,0.04854,-2.72745,-4.47841
"46","2021_Q3",7.1865625,"Down",59007000,-10189000,48818000,-43369000,-43369000,5449000,124000,133000,5573000,5573000,3812000,3812000,3812000,3812000,19726000,19726000,3805000,14712000,4216000,4216000,42459000,25064000,4698000,2047000,31967000,74426000,5155000,5155000,15250000,13384000,22454000,16456000,16456000,16456000,38910000,1000,-93044000,128559000,35516000,35516000,74426000,3812000,1213000,-124000,991999.999999999,5893000,-572000,-572000,-3675000,1646000,1646000,120000,1766000,6662000,2049000,0.82733,0.09234,0.0646,0.10733,0.05122,1.89093,1.09556,0.02753,1.87952,1.8475,29.09358,17.51127,5,0.07057,-2.65341,-3.24408
"47","2021_Q4",6.65046875,"Down",51571000,-8817000,42754000,-40665000,-40665000,2089000,-257000,-255000,1832000,1832000,1724000,1724000,1724000,1724000,18955000,18955000,4071000,14820000,5774000,5774000,43620000,25007000,4287000,2464000,31499000,75119000,5161000,5161000,15477000,15477000,22277000,1019000,1019000,17214000,39491000,1000,-93320000,128947000,35628000,35628000,75119000,1724000,1401000,8493000,-8559000,3059000,-1729000,-1729000,-1853000,-523000,-523000,-248000,-771000,3490000,17834000,0.82903,0.04051,0.03343,0.04839,0.02295,1.95807,1.10843,0.23741,0.85739,0.84889,25.6477,17.7188,5,0.03164,-0.3212,-0.53662
"48","2022_Q1",5.42467741935484,"Down",54776000,-9783000,44993000,-38413000,-38413000,6580000,-103000,-86000,6477000,6477000,4907000,4907000,4907000,4907000,23174000,23174000,2925000,16145000,5810000,3533902.41550239,48054000,11123000,17350000,15423000,30678000,78732000,23048000,6744000,2151000,2151000,25199000,16726000,16726000,16726000,41925000,129049000,-92346000,104000.000000015,36807000,36807000,78732000,4907000,966000,988999.999999999,1512000,8374000,-480000,-473000,-3676000,4225000,4225000,-6000,4219000,7546000,0,0.8214,0.12013,0.08958,0.13332,0.06233,1.90698,1.13905,-2.77555756156289e-17,2.49663,2.47415,27.86949,18.72704,5,0.09166,-3.07103,-3.52188
"49","2022_Q2",4.28290322580645,"Down",53224000,-9431000,43793000,-39181000,-15076000,4612000,-180000,-177000,4432000,4432000,3316000,3316000,3316000,3316000,19929000,19929000,3254000,16079000,5641000,5641000,44903000,23817000,4672000,2382000,30694000,75597000,4842000,4842000,14988000,14988000,22275000,691000,691000,16012000,38287000,1000,-92522000,129831000,37310000,37310000,75597000,3316000,793000,121000,-3765000,465000,-378000,-378000,-3323000,-3236000,-3236000,-9000,-3245000,5405000,17766000,0.82281,0.08665,0.0623,0.08888,0.04386,2.01585,1.02619,0.23501,1.7325,1.72285,27.80769,19.49318,5,0.05946,-0.40019,-0.46899
"50","2022_Q3",3.99375,"Down",52189000,-9677000,42512000,-42870000,-17421000,-358000,-140000,-139000,-498000,-498000,79000,79000,79000,79000,-4776822.72006662,-4776822.72006662,2417000,15433000,24936000,24936000,42786000,22913000,6549000,3863000,29462000,72248000,4867000,4867000,14585000,14585000,22166000,694000,694000,15302000,37468000,1000,-95597000,130376000,34780000,34780000,72248000,79000,812000,1533000,1619000,4043000,-521000,-521000,-3185000,337000,337000,-92000,245000,454000,17322000,0.81458,-0.00686,0.00151,0.00226999999999999,0.00109,1.93025,1.07729,0.23976,0.0412699999999999,0.04104,27.26694,18.17134,5,0.0015,19.3577681447205,21.4903473278567
