"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"32","2018_Q3",26.548253968254,"Up",32657000,-151000,32506000,-26393000,-25846000,-547000,6113000,296000,296000,6409000,-23033000,-16624000,4610000,-12014000,-12014000,-12014000,-12014000,30774000,30774000,846000,846000,93687000,5441000,125307000,4640000,62610000,9035000,246400000,371707000,16928000,2154000,14774000,19289000,19289000,36217000,55238000,16631000,55238000,91455000,292189000,-199998000,187866000,195000,280252000,280252000,371707000,-12014000,631000,1953000,9129000.00000001,-301000,-905000,-2679000,559000,559000,-1482000,-923000,-3903000,-3903000,-65000,-3968000,6744000,-5.82076609134674e-11,10358000,0.99538,0.18719,-0.36788,-0.04287,-0.03232,-0.86216,3.45989,0.32633,1.0842021724855e-19,-0.63023,-0.63023,1.71311,14.70136,0.54336,-0.03581,0.03087,-4.56317,-5.03419
"33","2018_Q4",33.6350793650794,"Up",40751000,-170000,40581000,-27223000,-26676000,-547000,13358000,296000,296000,13654000,-28812000,-15158000,6186000,-8972000,-8972000,-8972000,-8972000,20348000,20348000,2140000,2140000,113965000,12751000,136453000,7011000,64024000,10995000,235556000,372009000,21516000,4909000,16607000,24976000,24976000,46492000,51053000,18643000,51053000,97545000,295439000,-199998000,178894000,129000,274464000,274464000,372009000,-8972000,620000,2276000,1128000,-4948000,-2349000,-3930000,1362000,1362000,-2854000,-1492000,-10370000,-10370000,-56000,-10426000,13978000,0,6571000,0.99583,0.3278,-0.22017,-0.03269,-0.02412,-0.73239,2.93498,0.3554,0,-0.4663,-0.4663,2.11793,14.26454,0.34151,-0.02756,0.02019,-1.45572,-1.52328
"34","2019_Q1",55.114262295082,"Up",134917000,-755000,134162000,-51098000,-50552000,-546000,83064000,-20999.9999999999,-20999.9999999999,83043000,-41419000,41624000,-15552000,26072000,26072000,26072000,26072000,13089000,13089000,3601000,3601000,139478000,5288000,156168000,7684000,63758000,11276000,283110000,439278000,37464000,5688000,31776000,23155000,22279000,60619000,70510000,22609000,75510000,136129000,298055000,-199998000,204965000,127000,303149000,303149000,439278000,26072000,609000,26008000,-61407000,-8718000,-1063000,-3013000,657999.999999993,657999.999999993,-1180000,4478000,-7253000,-7253000,-6000,-7259000.00000001,83673000,5e+06,36755000,0.9944,0.61567,0.19324,0.086,0.05935,1.40975,2.57622,0.44905,0.01138,1.30367,1.06595,6.74619,15.15821,1.83784,0.06885,0.09707,-0.09667,-0.0973799999999996
"35","2019_Q2",67.2973015873016,"Up",68773000,77000,68850000,-35766000,-35219000,-547000,33084000,557000,557000,33641000,-42267000,-8626000,3467000,-5159000,-5159000,-5159000,-5159000,135475000,135475000,3381000,3381000,120317000,6483000,259173000,7963000,89724000,37789000,312064000,571237000,19599000,4360000,15239000,35458000,35458000,55057000,70530000,26172000,70530000,125587000,445686000,-199998000,199806000,156000,445650000,445650000,571237000,-5159000,655000,13064000,4189000,12749000,-1509000,-2996000,128418000,128418000,-10847000,112571000,122324000,122324000,62000,122386000,33739000,0,32952000,1.00112,0.48106,-0.07501,-0.01158,-0.00903,-6.38728,4.70736,0.28181,0,-0.23632,-0.23632,3.15025,20.41363,1.50941,-0.00999,0.06384,-4.01538,-4.09488
"36","2019_Q3",90.2096875,"Up",65767000,-449000,65318000,-38513000,-37966000,-547000,26805000,699000,699000,27504000,-39116000,-11612000,5858000,-5754000,-5754000,-5754000,-5754000,115883000,115883000,1059000,1059000,129753000,12180000,246695000,9708000,103249000,51860000,336799000,583494000,24459000,5523000,18936000,39996000,39996000,64455000,75774000,37408000,75774000,140229000,449080000,-199998000,194052000,131000,443265000,443265000,583494000,-5754000,733000,7373000,-13876000,-11524000,-2277000,-5119000,887999.999999985,887999.999999985,-2197000,-1309000,-17952000,-17952000,-33000,-17985000,27538000,0,5527000,0.99317,0.40758,-0.08749,-0.01298,-0.00985999999999998,-0.960550000000001,3.8274,0.31635,-1.73472347597681e-18,-0.24818,-0.24818,2.83662,19.11861,0.23839,-0.01109,0.01065,-4.20811,-4.32319
"37","2019_Q4",77.61125,"Down",69913000,-410000,69503000,-42967000,-42420000,-547000,26536000,568000,568000,27104000,-46777000,-19673000,8649000,-11024000,-11024000,-11024000,-11024000,88070000,88070000,682000,682000,145594000,18180000,234346000,10401000,106171000,55329000,346894000,581240000,40287000,18062000,22225000,43371000,34288000,83658000,66011000,36276000,66011000,149669000,448444000,-199998000,183028000,97000,431571000,431571000,581240000,-11024000,765000,-6932000,1252000,-15939000,-1830000,-3929000,1913000,1913000,-8090000,-6177000,-26045000,-26045000,-21000,-26066000,27301000,0,18074000,0.99414,0.37956,-0.15768,-0.02554,-0.01897,-1.63951,2.80124,0.3468,0,-0.46903,-0.46903,2.97451,18.3616,0.76898,-0.02216,0.03632,-3.22589,-3.31889
"38","2020_Q1",114.640967741935,"Up",301748000,-1956000,299792000,-146425000,-98794000,-546000,153367000,266000,266000,153633000,-30223000,123410000,-34586000,88824000,88824000,88824000,88824000,23466000,23466000,2332000,2332000,182348000,7822000,208146000,10518000,522970000,472675000,533488000,741634000,66173000,24554000,41619000,46812000,44242000,112985000,101485000,37355000,101485000,214470000,455194000,-199998000,271852000,116000,527164000,527164000,741634000,88824000,3017000,52407000,-201026000,-56778000,-1025000,-4900000,367000,366999.999999985,-3311000,-2944000,-64622000,-64622000,18000,-64604000,156384000,-5.82076609134674e-11,-11081000,0.99352,0.50826,0.29436,0.16849,0.11977,-0.12475,1.84224,0.40684,1.0842021724855e-19,3.73524,2.99717,12.68915,22.16838,-0.46598,0.14129,-0.01763,-0.150049999999999,-0.15301
"39","2020_Q2",116.264126984127,"Up",106408000,-1138000,105270000,-73704000,-57417000,-547000,31566000,373000,373000,31939000,-30535000,1404000,2048000,3452000,3452000,3452000,3452000,217850000,184167000,668000,668000,134454000,9202000,352972000,12875000,115798000,66049000,588547000,941519000,32090000,8906000,23184000,10593000,7910000,42683000,107150000,45527000,107150000,149833000,717417000,-199998000,274157000,110000,791686000,791686000,941519000,3452000,823000,8844000,-4212000,8907000,-2508000,-64136000,229115000,229115000,-13184000,215931000,160702000,160702000,-2000,160700000,32389000,0,23621000,0.98931,0.29665,0.03244,0.00436,0.00367,6.8427,8.26962,0.18926,0,0.13965,0.13186,4.3047,32.02743,0.95558,0.00384,0.02628,-6.72605,-6.90141
"40","2020_Q3",81.05375,"Down",88766000,-540000,88226000,-67332000,-53586000,-373000,20894000,452000,452000,21346000,-27148000,-5802000,2432000.00000001,-3370000.00000001,-3370000.00000001,-3370000.00000001,-3370000,2e+08,76842000,2724000,2724000,152409000,10635000,355133000,13751000,122091000,72716000,588215000,943348000,33792000,7285000,26507000,8928000,8831000,42720000,108573000,49329000,108573000,151293000,721013000,-199998000,270787000,253000,792055000,792055000,943348000,-3370000.00000001,1778000,5507000,-25220000,-21305000,-2156000,-82433000,223000.00000003,222999.99999997,-3810000,-3587000.00000003,-107325000,-107325000,1000,-107324000,22672000,0,-7136000.00000001,0.99392,0.23538,-0.03796,-0.00425000000000001,-0.00357000000000001,2.11751,8.31304,0.19101,0,-0.12785,-0.12328,3.36758,30.04875,-0.27072,-0.00374000000000002,-0.00792000000000001,-8.82145,-9.57213
"41","2020_Q4",75.99875,"Down",94284000,-482000,93802000,-71307000,-53347000,-287000,22495000,-101000,-101000,22394000,-43342000,-20948000,6443000,-14505000,-14505000,-14505000,-14505000,196470000,87833000,3854000,3854000,178108000,19335000,378432000,14488000,121119000,72030000,582473000,960905000,50171000,21439000,28732000,36313000,9842000,86484000,98735000,45953000,98735000,185219000,719142000,-199998000,256282000,260000,775686000,775686000,960905000,-14505000,1210000,2117000,12617000,1439000,-1790000,18278000,263000,263000,-9052000,-8789000,10928000,10928000,63000,10991000,23705000,0,28089000,0.99489,0.23859,-0.15384,-0.0187,-0.0151,-1.9365,4.37575,0.23878,0,-0.54868,-0.60443,3.5665,29.34203,1.06253,-0.01659,0.03212,-8.28812,-8.73394
"42","2021_Q1",63.9206557377049,"Down",293316000,-1923000,291393000,-140130000,-121442000,-286000,151263000,-57999.9999999999,-57999.9999999999,151205000,-71870000,79335000,-19462000,59873000,59873000,59873000,59873000,93379000,43759000,1799000,1799000,235814000,16661000,330992000,14609000,694421000,645619000,709030000,1040022000,75251000,36921000,38330000,9157000.00000001,9157000,84408000,118056000,45739000,118056000,202464000,721051000,-199998000,316155000,350000,837558000,837558000,1040022000,59873000,1376000,26368000,-184518000,-96901000,-1297000,55008000,364000,364000.000000007,-2670000,-2306000,-44199000,-44199000,125000,-44074000,152639000,0,-13714000,0.99344,0.5157,0.20412,0.07149,0.05757,-0.229050000000002,3.92133,0.24173,6.7762635780344e-21,2.25205,1.96035,11.03272,31.50372,-0.51584,0.06265,-0.01435,-0.61176,-0.617330000000001
"43","2021_Q2",65.7490476190476,"Up",134214000,-996000,133218000,-97267000,-73928000,-176000,35951000,150000,150000,36101000,-36593000,-492000,-308000,-8e+05,-8e+05,-8e+05,-8e+05,126172000,92250000,1847000,1847000,192601000,12325000,320620000,14869000,682306000,633680000,697175000,1017795000,46650000,10944000,35706000,10463000,9586000,57113000,116757000,45009000,116757000,173870000,728251000,-199998000,315355000,317000,843925000,843925000,1017795000,-8e+05,1314000,14058000,28237000,42809000,-1899000,10497000,285000,285000,-5075000,-4790000,48516000,48516000,-25000,48491000,37265000,0,63911000,0.99258,0.26786,-0.00596,-0.00095,-0.00079,-79.88875,5.61378,0.20603,0,-0.03005,-0.03005,5.04185,31.70267,2.40086,-0.00083,0.06653,-3.3858,-3.50955
"44","2021_Q3",46.60796875,"Down",96557000,-246000,96311000,-83282000,-62699000,-119000,13029000,172000,172000,13201000,-38362000,-25161000,6752000,-18409000,-18409000,-18409000,-22888000,305090000,229260000,3534000,3534000,193267000,11594000,501891000,14296000,695551000,647045000,709847000,1211738000,42397000,15423000,26974000,10612000,9249000,53009000,108471000,43546000,108471000,161480000,738944000,-199998000,292467000,341000,1050258000,1050258000,1211738000,-18409000,1183000,4715000,-19572000,-32083000,-806000,-46841000,216791000,216791000,-907999.999999998,215883000,136959000,136959000,51000,137010000,14212000,1.16415321826935e-10,-12918000,0.99745,0.13494,-0.23704,-0.02179,-0.01889,0.564400000000006,9.46803,0.15375,1.0842021724855e-19,-0.8598,-0.8598,3.62724,31.24545,-0.48527,-0.01975,-0.01115,-21.46707,-23.41623
"45","2021_Q4",33.22046875,"Down",63914000,25000,63939000,-80447000,-59957000,-121000,-16508000,189000,189000,-16319000,-49529000,-65848000,12834000,-53014000,-53014000,-53014000,-59948000,227742000,157530000,1305000,1305000,230850000,36653000,459897000,13795000,685911000,637525000,699706000,1159603000,41771000,10084000,31687000,20663000,10116000,62434000,94070000,41885000,94070000,156504000,744822000,-199998000,232519000,318000,1003099000,1003099000,1159603000,-53014000,1619000,-3978000,-15674000,-71047000,-849000,-478000,1932000,1932000,-2111000,-179000,-71704000,-71704000,-26000,-71730000,-14889000,0,-44246000,1.00039,-0.25828,-0.93795,-0.05976,-0.0517,0.73807,7.36613,0.15602,0,-2.23803,-2.23803,2.3861,29.03237,-1.65183,-0.05464,-0.04033,15.29599,13.79586
"46","2022_Q1",17.2261290322581,"Down",243514000,-775000,242739000,-170339000,-150415000,-120000,72400000,244000,244000,72644000,-106033000,-33389000,1237000,-32152000,-32152000,-32152000,-39306000,123232000,81926000,5750000,5750000,278605000,23784000,407587000,12105000,729600000,729600000,741705000,1149292000,66592000,13750000,52842000,8873000,8873000,75465000,91716000,40920000,91716000,167181000,755914000,-199998000,193213000,390000,982111000,982111000,1149292000,-32152000,1850000,57251000,-129250000,-102301000,-311000,24191000,3716000,3715999.99999997,-1389000,2326999.99999997,-75783000,-75783000,64000,-75719000,74250000,-1.86264514923096e-09,-56548000,0.99682,0.29731,-0.16141,-0.04002,-0.0342,1.43866,5.40101,0.17023,1.73472347597681e-18,-1.46741,-1.46741,9.09109,27.98174,-2.1111,-0.0366,-0.05266,-1.65969,-1.7021
"47","2022_Q2",10.1701612903226,"Down",105250000,127000,105377000,-98104000,-78441000,-54055.955672618,7273000,-1021000,-1021000,6252000,-46987000,-40735000,7993000,-32742000,-32742000,-32742000,-39960000,231501000,220563000,1978000,1978000,216062000,11825000,449541000,11106000,702215000,702215000,713321000,1162862000,46234000,8196000,38038000,14155000,14155000,60389000,81747000,38984000,146736000,207125000,762251000,-199998000,153253000,421000,955737000,955737000,1162862000,-32742000,946000,1300000,77608000,47112000,-55000,26121000,1054000,1054000,-543000,65373000,138606000,138606000,31000,138637000,8219000,64989000,77779000,1.00121,0.0691,-0.37967,-0.04181,-0.03436,-1.94642,7.44409,0.21672,0.05589,-1.47655,-1.47655,3.88907,26.45409,2.874,-0.03625,0.07055,-20.2594,-22.89454
"48","2022_Q3",6.975625,"Down",50409000,-423000,49986000,-64941000,-47161000,138832.132982146,-14955000,-1167000,-1167000,-16122000,-30518000,-46640000,9138000,-37502000,-37502000,-37502000,-45029000,199207000,194741000,442000,442000,210948000,9633000,410597000,9750000,674571000,674571000,684321000,1094918000,26468000,5792000,20676000,9426000,9426000,35894000,70703000,37225000,136106000,1.72e+08,767204000,-199998000,108225000,150000,922918000,922918000,1094918000,-37502000,1091000,1393000,9252000,-25766000,-172000,2143000,0,3.72529029846191e-09,-1955000,-1955000,-25577999.9999999,-25577999.9999999,-244000,-25822000,-13864000,65403000,-13922000,0.99161,-0.29667,-0.89327,-0.04879,-0.04113,0.309179999999999,11.43915,0.18637,0.05973,-1.65074,-1.65074,1.84797,24.76652,-0.51037,-0.04252,-0.01315,9.65118,8.94711
