"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"31","2018_Q2",59.684375,"Up",522489000,-354665000,167824000,-112623000,-104737000,-7886000,55201000,-5335000,-5335000,49866000,49866000,-7185000,42681000,42681000,42681000,42681000,54499000,54499000,377627000,377627000,57244000,18880000,489370000,75530000,707652000,222708000,340596000,144348000,783182000,1272552000,239817000,122402000,117415000,11362000,2616000,251179000,320034000,102123000,80201000,422157000,673336000,445773000,186999000,-131000,599216000,599216000,1272552000,42681000,7886000,1160000,8008000,59735000,-5703000,-4724000,-9613000,0,-14970000,-14970000,35152000,35152000,-19000,35133000,63087000,320034000,72577000,0.3212,0.10565,0.08169,0.07123,0.03354,1.70045,1.94829,1.12369,0.25149,0.89416,0.86898,10.94608,12.5535,1.52048,0.04179,0.07106,4.20903,4.81033
"32","2018_Q3",57.2642857142857,"Down",558108000,-377152000,180956000,-126141000,-115535000,-10606000,54815000,-6376000,-6376000,48439000,48439000,-12910000,35529000,35529000,35529000,35529000,22894000,22894000,389438000,389438000,56189000,18888000,468521000,81221000,923521000,339514000,439134000,144873000,1004742000,1473263000,253363000,123105000,130258000,29876000,16261000,283239000,475225000,98055000,78192000,573280000,856519000,448572000,222528000,-40000,616744000,616744000,1473263000,35529000,10606000,4475000,15593000,66203000,-10754000,-1180000,-229337000,1.55e+08,-481999.999999998,133627000,-29507000,-29507000,91000,-29416000,65421000,475225000,83170000,0.32423,0.09822,0.06366,0.05761,0.02412,2.3409,1.65415,1.38878,0.32257,0.74558,0.72603,11.71192,12.9424,1.74533,0.02986,0.06989,6.91416,8.25196
"33","2018_Q4",56.0855555555556,"Down",526842000,-351695000,175147000,-132512000,-121216000,-11296000,42635000,-4649000,-4649000,37986000,37986000,-10068000,27918000,27918000,27918000,27918000,18614000,18614000,411327000,411327000,49898000,14540000,479839000,86817000,923746000,332788000,438299000,152659000,1010563000,1490402000,278175000,142543000,135632000,24913000,11806000,303088000,470416000,102178000,77527000,572594000,875682000,450356000,250446000,93000,614720000,614720000,1490402000,27918000,11296000,5909000,-3015000,42108000,-7465000,-3076000,-32698000,-5e+06,-24000,-36883000,-27473000,-27473000,133000,-27340000,53931000,470416000,53519000,0.33245,0.08093,0.05299,0.04542,0.01873,1.91701,1.58317,1.42452,0.31563,0.59041,0.57528,11.14161,13.00004,1.13181,0.02351,0.04508,8.37741,10.59697
"34","2019_Q1",55.4365573770492,"Down",528635000,-356179000,172456000,-122279000,-110830000,-11449000,50177000,217000.000000001,217000.000000001,50394000,50394000,-14781000,35613000,35613000,35613000,35613000,13856000,13856000,416014000,416014000,52296000,12409000,482166000,90419000,920136000,326147000,438506000,155483000,1010555000,1492721000,284662000,149603000,135059000,22608000,10243000,307270000,440607000,105854000,78528000,546461000,853731000,453218000,286059000,151000,638990000,638990000,1492721000,35613000,11449000,858000,11027000,58947000,-11284000,-2867000,-7689000,-3e+07,0,-44263000,6995000,6995000,58000,7053000,61626000,440607000,76150000,0.32623,0.09492,0.06737,0.05573,0.02386,2.13826,1.56919,1.33606,0.29517,0.76077,0.74053,11.29272,13.65013,1.62672,0.03004,0.06424,6.92485,8.50491
"35","2019_Q2",50.73,"Down",532441000,-355682000,176759000,-131707000,-119997000,-11710000,45052000,-5673000,-5673000,39379000,39379000,-5257000,34122000,34122000,34122000,34122000,19116000,19116000,420838000,420838000,48933000,17724000,488887000,93625000,1055313000,326466000,464923000,263924000,1148938000,1637825000,289358000,153566000,135792000,43912000,32453000,333270000,470798000,183771000,163692000,654569000,987839000,448123000,320181000,50000,649986000,649986000,1637825000,34122000,11710000,-1571000,-8047000,36214000,-7388000,-3673000,-36248000,3e+07,-10280000,1790000,1756000,1756000,-101000,1655000,56762000,470798000,46584000,0.33198,0.08461,0.06409,0.0525,0.02083,1.36522,1.46694,1.51979,0.28745,0.72935,0.71427,11.38084,13.89334,0.99573,0.02616,0.03571,7.95747,10.02579
"36","2019_Q3",55.343125,"Up",535177000,-355635000,179542000,-134386000,-121668000,-12718000,45156000,-6065000,-6065000,39091000,39091000,-10222000,28869000,28869000,28869000,28869000,20937000,20937000,419430000,419430000,49501000,13966000,489868000,97249000,1268971000,409439000,588457000,271075000,1366220000,1856088000,274609000,124672000,149937000,38465000,27412000,316824000,662610000,196214000,156941000,858824000,1175648000,450572000,349050000,-39000,680440000,680440000,1856088000,28869000,12718000,3882000,-16392000,29077000,-8144000,-2726000,-204443000,1.96e+08,-7730000,187495000,12129000,12129000,-89000,12040000,57874000,666360000,43560000,0.33548,0.08438,0.05394,0.04243,0.01555,1.50888,1.54618,1.72778,0.35901,0.61895,0.60877,11.47414,14.58857,0.93392,0.01871,0.02823,11.15221,14.29318
"37","2019_Q4",59.133125,"Up",567597000,-377566000,190031000,-150292000,-133207000,-17085000,39739000,-7830000,-7830000,31909000,31909000,-8394000,23515000,23515000,23515000,23515000,40748000,40748000,417494000,417494000,48690000,11325000,506932000,100199000,1253943000,400428000,586611000,266904000,1354142000,1861074000,297455000,139505000,157950000,42704000,31477000,343909000,611899000,200162000,153806000,812061000,1155970000,451589000,372565000,93000,705104000,705104000,1861074000,23515000,17085000,16881000,23433000,80914000,-9244000,-4965000,-12915000,-50938000,-1907000,-52845000,15154000,15154000,132000,15286000,56824000,615649000,79407000,0.3348,0.07001,0.04143,0.03335,0.01264,3.37687,1.47403,1.63943,0.3308,0.50378,0.49395,12.1601,15.10603,1.7012,0.01546,0.05221,10.11722,14.46692
"38","2020_Q1",68.4354838709677,"Up",586892000,-389759000,197133000,-150165000,-133158000,-17007000,46968000,-8859000,-8859000,38109000,38109000,-10627000,27482000,27482000,27482000,27482000,82985000,82985000,425399000,425399000,52115000,11669000,560499000,104832000,1266315000,398474000,595551000,272290000,1371147000,1931646000,327072000,156140000,170932000,51033000,39245000,378105000,617159000,199640000,153022000,816799000,1194904000,455686000,400047000,152000,736742000,736742000,1931646000,27482000,17007000,14184000,19984000,78657000,-10442000,-1922000,-38218000,4938000,-4779000,158999.99999994,40598000,40598000,59000,40657000,63975000,617159000,84144000,0.33589,0.08003,0.04683,0.0373,0.01423,3.06179,1.48239,1.62188,0.3195,0.58832,0.57769,12.56378,15.77167,1.8013,0.01769,0.05416,8.34973,11.37315
"39","2020_Q2",47.832380952381,"Down",602461000,-400395000,202066000,-166323000,-146234000,-20089000,35743000,-11054000,-11054000,24689000,24689000,-11724000,12965000,12965000,12965000,12965000,97509000,97509000,452466000,452466000,50619000,19950000,600594000,116718000,1742821000,638443000,851459000,252919000,1859539000,2460133000,328206000,175188000,153018000,38604000,26017000,373060000,1083906000,254087000,149825000,1337993000,1711053000,456260000,411858000,105000,749080000,749080000,2460133000,12965000,20234000,15303000,2863000,51365000,-13571000,-7361000,-492137000,4.75e+08,-18874000,456126000,15354000,15354000,-47000,15307000,55977000,1090156000,56993000,0.3354,0.05933,0.02152,0.01731,0.00527,4.39591,1.60991,2.28421,0.44313,0.27376,0.27214,12.72115,15.81706,1.20342,0.00619,0.02723,17.73312,27.77179
"40","2020_Q3",52.6403125,"Up",608351000,-410811000,197540000,-159139000,-137068000,-22071000,38401000,-11443000,-11443000,26958000,26958000,-4633000,22325000,22325000,22325000,22325000,43067000,43067000,425043000,425043000,50529000,15547000,518639000,113975000,1732202000,599737000,870074000,262391000,1846177000,2364816000,315831000,144824000,171007000,60892000,49133000,384536000,956106000,246768000,159119000,1202874000,1587410000,462319000,434183000,47000,777406000,777406000,2364816000,22325000,22426000,4512000,27643000,76906000,-7556000,679999.999999999,-21125000,-126563000,-569000.000000004,-127132000,-71351000,-71351000,-58000,-71409000,60827000,963919000,85547000,0.32471,0.06312,0.0367,0.02872,0.00944,3.83189,1.34874,2.04193,0.40761,0.47116,0.46896,12.83901,16.40685,1.80544,0.01123,0.04303,15.13887,23.9799
"41","2020_Q4",65.195,"Up",551631000,-366998000,184633000,-138171000,-111235000,-26936000,46462000,-12564000,-12564000,33898000,33898000,-7831000,26067000,26067000,26067000,26067000,58419000,58419000,409046000,409046000,46238000,15647000,513703000,112752000,1718410000,580658000,869941000,267811000,1831162000,2344865000,337671000,152935000,184736000,39122000,27222000,386168000,894533000,257091000,177410000,1151624000,1537792000,465933000,460250000,33000,807073000,807073000,2344865000,26067000,27417000,-6702000,41928000,88710000,-6230000,-611000,-15196000,-59562000,-2875000,-62437000,11077000,11077000,-14000,11063000,73879000,903908000,117408000,0.3347,0.08423,0.04725,0.0323,0.01112,4.50409,1.33026,1.90539,0.38548,0.54906,0.54654,11.61915,16.9996,2.473,0.01324,0.05966,11.44424,18.19743
"42","2021_Q1",74.3306557377049,"Up",631271000,-423732000,207539000,-178880000,-155210000,-23670000,28659000,-22681000,-22681000,5978000,5978000,3330000,9308000,9308000,9308000,9308000,29213000,29213000,450084000,450084000,54438000,13629000,533735000,116174000,1703598000,564911000,864485000,274202000,1819772000,2353507000,381295000,167881000,213414000,36974000,25970000,422957000,857961000,252912000,185707000,1110873000,1533830000,469222000,469558000,40000,819677000,819677000,2353507000,9308000,24110000,11734000,-5307000,39845000,-10345000,224000,-9714000.00000001,-48330000,-6741000,-55071000,-24940000,-24940000,7000,-24933000,52769000,862649000,33787000,0.32876,0.0454,0.01474,0.01136,0.00395,3.62989,1.26191,1.87126,0.36654,0.19605,0.19465,13.29607,17.26435,0.71163,0.00481,0.01746,15.79405,29.08113
"43","2021_Q2",86.7801587301587,"Up",885945000,-597077000,288868000,-184466000,-161212000,-23254000,104402000,-8944000,-8944000,95458000,95458000,-25080000,70378000,70378000,70378000,70378000,78325000,78325000,700530000,700530000,51502000,19819000,830357000,119587000,1693178000,549710000,865148000,278320000,1812765000,2643122000,554884000,271903000,282981000,44110000,29111000,598994000,896435000,253633000,184713000,1150068000,1749062000,473251000,539936000,16000,894060000,894060000,2643122000,70378000,23725000,15267000,-70239000,39131000,-11607000,964414.133704807,2794000,33125000,-8358000,24767000,66692000,66692000,-24000,66668000,128127000,896435000,71361000,0.32606,0.11784,0.07944,0.07872,0.02663,1.01397,1.38625,1.95631,0.33916,1.47853,1.46878,18.61229,18.78277,1.49918,0.03443,0.03491,6.38515,7.83615
"44","2021_Q3",106.038125,"Up",857445000,-576902000,280543000,-181369000,-156629000,-24740000,99174000,-10111000,-10111000,89063000,89063000,-22293000,66770000,66770000,66770000,66770000,139494000,139494000,598708000,598708000,51901000,17861000,790103000,121487000,1720853000,546434000,892874000,281545000,1842340000,2632443000,549089000,260894000,288195000,33474000,18409000,582563000,841731000,241767000,178019000,1083498000,1666061000,478800000,606706000,19000,966382000,966382000,2632443000,66770000,25356000,-2171000,81539000,171494000,-11462000,-1391000,-56403000,-5.5e+07,-470000,-55470000,59621000,59621000,3000,59624000,124530000,841731000,216900000,0.32718,0.11566,0.07787,0.06909,0.02536,3.24846,1.35625,1.72402,0.31975,1.40273,1.39348,18.01355,20.30214,4.55672,0.03257,0.10581,5.6391,7.08086
"45","2021_Q4",111.02171875,"Up",877800000,-571935000,305865000,-200036000,-173932000,-26104000,105829000,-5223000,-5223000,100606000,100606000,-26583000,74023000,74023000,74023000,74023000,137041000,137041000,711727000,711727000,50763000,19367000,899531000,127762000,1681704000,530422000,893283000,257999000,1809466000,2708997000,606032000,284094000,321938000,35154000,17250000,641186000,842027000,183306000,122119000,1025333000,1666519000,480862000,680729000,30000,1042478000,1042478000,2708997000,74023000,26790000,-1625000,-82442000,16746000,-15641000,-4625000,-25408000,0,-527000,-527000,-9189000,-9189000,11000,-9178000,132619000,842027000,61119000,0.34844,0.12056,0.08433,0.07101,0.02732,0.82568,1.40292,1.59861,0.31083,1.55295,1.54144,18.41564,21.87047,1.28223,0.0358,0.02956,5.31587,6.66156
"46","2022_Q1",103.817258064516,"Down",1363045000,-928720000,434325000,-265732000,-238678000,-27054000,168593000,-9799000,-9799000,158794000,158794000,-42577000,116217000,116217000,116217000,116217000,180928000,180928000,1028850000,1028850000,139290000,72460000,1349068000,127114000,1655724000,514460000,892341000,248923000,1782838000,3131906000,779638000,425257000,354381000,189752000,173802000,969390000,842322000,158167000,110353000,1000489000,1969879000,487207000,796946000,-295000,1162027000,1162027000,3131906000,116217000,27826000,6294000,-72352000,77985000,-14863000,-2900000,-28385000,0,-977000,-3665000,45935000,45935000,-325000,45610000,196419000,842322000,151781000,0.31864,0.12369,0.08526,0.10001,0.03711,1.30601,1.39167,1.69521,0.26895,2.42371,2.40844,28.42638,24.23414,3.1654,0.05374,0.07019,3.36726,3.92302
"47","2022_Q2",98.9912903225806,"Down",1552538000,-1056370000,496168000,-288235000,-257579000,-30656000,207933000,-9589000,-9589000,198344000,198344000,-52336000,146008000,146008000,146008000,146008000,113482000,113482000,1270020000,1270020000,95264000,39087000,1478766000,129652000,1640254000,494813000,892375000,253066000,1769906000,3248672000,944196000,497297000,446899000,203385000,187561000,1147581000,842618000,177541000,111201000,1020159000,2167740000,489035000,942954000,-1202000,1080932000,1080932000,3248672000,146008000,31510000,36421000,-13724000,200215000,-13590000,-12516000,-23239000,-293846343.933862,-9431000,-237455000,-60479000,-60479000,-183000,-60662000,239443000,842618000,264465000,0.31959,0.13393,0.09404,0.13508,0.04494,1.8113,1.28859,2.00544,0.25937,3.05827,3.03608,32.51933,22.64111,5.53946,0.06949,0.12587,3.04513,3.50659
"48","2022_Q3",112.61525,"Up",1426607000,-966370000,460237000,-276704000,-244430000,-32274000,183533000,-10080000,-10080000,173453000,173453000,-49653000,123800000,123800000,123800000,123800000,79357000,79357000,1029111000,1029111000,81754000,27430000,1190222000,136490000,1682068000,515761000,935675000,230632000,1818558000,3008780000,875360000,458985000,416375000,82019000,66077000,957379000,842914000,169143000,118133000,1012057000,1969436000,497182000,1066754000,-870000,1039344000,1039344000,3008780000,123800000,33247000,6626000,60789000,224462000,-17221000,-3.72529029846191e-09,-92523000,-1079664031.80158,-366000,-174233000,-42294000,-42294000,183000,-42111000,216780000,842914000,310001000,0.32261,0.12865,0.08678,0.11911,0.04115,2.50405,1.24321,1.89488,0.28015,2.78177,2.7671,32.0557,23.35395,6.96569,0.06035,0.15112,3.52227,4.16033
