"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"29","2017_Q2",73.9425396825397,"Down",94530000,-26880000,67650000,-33682000,-13901000,-19781000,33968000,-2814000,-2814000,31154000,31154000,1624000,32778000,32778000,33756000,33756000,886140000,139073000,747067000,402533000,402533000,53562000,53562000,1342235000,12033000,511120000,170976000,340144000,523153000,1865388000,86341000,17694000,68647000,328324000,328324000,414665000,275222000,415360000,398960000,16400000,690582000,1105247000,667859000,-1064795000,1143955000,-559000,746460000,760141000,1865388000,32778000,14528000,-91846000,18685000,-25855000,-268000,-206713000,-206981000,-10292000,82000,82000,0,-21955000,-32165000,-265001000,-265001000,-265001000,48496000,275222000,65289000,0.71565,0.35934,0.35709,0.04441,0.0181,1.93415,3.23691,1.454,0.14754,0.98214,0.93197,2.75036,21.71836,1.89959,0.29945,0.03036,0.045,0.30489,-12.59729,-17.9851
"30","2017_Q3",64.8349206349206,"Down",135779000,-23232000,112547000,-31599000,-12501000,-19098000,80948000,-2330000,-2330000,78618000,78618000,-27074000,51544000,51544000,52499000,52499000,885387000,180952000,704435000,399044000,399044000,51590000,51590000,1336021000,11319000,491559000,155699000,335860000,502878000,1838899000,84802000,11452000,73350000,294876000,294876000,379678000,278479000,375086000,358369000,16717000,653565000,1033243000,672490000,-1064795000,1185836000,-601000,792930000,805656000,1838899000,51544000,13727000,102114000,-147938000,19447000,-557000,33626000,33069000.0000001,-10402000,0,-1.45519152283669e-11,2.3283064365387e-10,-235000,-10637000,41879000,41879000,41879000,94675000,278479000,-26746000,0.8289,0.59617,0.38665,0.06516,0.02855,-0.50946,3.51883,1.28249,0.15144,1.51355,1.46229,3.91452,22.86023,-0.77109,0.29989,0.04311,-0.01833,0.19814,-6.41044,-7.4975
"31","2017_Q4",66.5053968253968,"Up",97325000,-26517000,70808000,-29933000,-12640000,-17293000,40875000,-2187000,-2187000,38688000,38688000,-3963000,34725000,34725000,35536000,35536000,967212000,283557000,683655000,400126000,400126000,52966000,52966000,1420304000,11097000,504721000,157385000,347336000,515818000,1936122000,89427000,11400000,78027000,351012000,351012000,440439000,281774000,381893000,373049000,8844000,663667000,1104106000,676579000,-1064795000,1209012000,-695000,820101000,832016000,1936122000,34725000,14554000,5529000,49941000,104749000,-117000,8432000,8315000,-10413000,0,0,0,-46000,-10459000,102605000,102605000,102605000,55429000,281774000,109216000,0.72754,0.41998,0.36513,0.04271,0.01835,3.07339,3.22475,1.32702,0.14554,1.02383,1.00418,2.80403,23.62791,3.14662,0.30001,0.03072,0.07302,0.29303,-12.36605,-16.76913
"32","2018_Q1",68.4406557377049,"Up",205304000,-26022000,179282000,-33578000,-14026000,-19552000,145704000,-1774000,-1774000,143930000,143930000,-92263000,51667000,51667000,52502000,52502000,1157995000,433014000,724981000,216293000,216293000,21506000,21506000,1395794000,10673000,447953000,84582000,363371000,458626000,1854420000,69299000,10260000,59039000,307142000,307142000,376441000,285126000,319705000,309671000,10034000,604831000,981272000,680747000,-1072488000,1249091000,-2083000,855267000,873148000,1854420000,51667000,14244000,80318000,71230000,217459000,-1129000,-53571000,-54700000,-12148000,-7393000,3e+05,-7693000,6239000,-13302000,149457000,149457000,149457000,159948000,285126000,322312000,0.87325,0.7097,0.25573,0.06013,0.02831,6.13904,3.70787,1.12383,0.15375,1.51499,1.47453,5.92422,24.67947,9.30059,0.35054,0.04374,0.21808,0.23138,-5.4572,-5.9907
"33","2018_Q2",71.3734375,"Up",87444000,-26916000,60528000,-30378000,-14204000,-16174000,30150000,-6336000,-6336000,23814000,23814000,4915000,28729000,28729000,29925000,29925000,1116617000,417481000,699136000,66789000,66789000,24992000,24992000,1208398000,10185000,407575000,37934000,369641000,417760000,1626158000,50538000,13629000,36909000,75652000,75652000,126190000,288506000,175730000,165966000,9764000,464236000,590426000,673401000,-1078512000,1428437000,-4279000,1019047000,1035732000,1626158000,28729000,14699000,-54480000,10457000,-595000,-399000,11917000,11518000,-12155000,-6024000,0,-6024000,-8277000,-26456000,-15533000,-15533000,-15533000,44849000,288506000,49992000,0.69219,0.34479,0.34222,0.02889,0.0184,1.67058,9.57602,0.57006,0.17742,0.86386,0.84045,2.52429,29.41737,1.44315,0.35088,0.02805,0.03333,0.40618,-18.46443,-27.46637
"34","2018_Q3",73.8788888888889,"Up",69555000,-26487000,43068000,-27388000,-11559000,-15829000,15680000,-4847000,-4847000,10833000,10833000,-1057000,9776000,9776000,10706000,10706000,1100561000,523779000,576782000,77988000,77988000,21970000,21970000,1200519000,10575000,408556000,41750000,366806000,419131000,1619650000,51520000,9393000,42127000,76777000,76777000,128297000,291947000,163182000,153296000,9886000,455129000,583426000,679144000,-1081660000,1426888000,-3903000,1020469000,1036224000,1619650000,9776000,14639000,54600000,-72188000,6827000.00000003,-3393000,114357000,110964000,-12164000,782000.000000002,3930000,-3148000,-111000.000000004,-11493000,106298000,106298000,106298000,30319000,291947000,-44205000,0.61919,0.22543,0.15392,0.01033,0.00661,-4.12899,9.35734,0.56303,0.18025,0.30792,0.30047,2.00049,29.34997,-1.27139,0.34985,0.01534,-0.02964,1.13619,-26.67021,-51.56977
"35","2018_Q4",65.9653968253968,"Down",75079000,-32077000,43002000,-30082000,-12806000,-17276000,12920000,-13953000,-13953000,-1033000,-1033000,21143000,20110000,20110000,21407000,21407000,1058350000,508829000,549521000,29769000,29769000,102793000,102793000,1190912000,10278000,586898000,60056000,526842000,597176000,1788088000,159355000,17528000,141827000,134197000,134197000,293552000,313527000,165960000,135465000,30495000,479487000,773039000,683851000,-1115995000,1436171000,-3436000,1000591000,1015049000,1788088000,20110000,17686000,-3860000,136449000,170385000,-340000,18080000,-125245000,-12153000,-31904000,2432000,-34336000,-91000,-44148000,992000,992000,992000,30606000,313527000,145572000,0.57276,0.17209,0.28513,0.02109,0.01197,6.80021,4.0569,0.76158,0.17534,0.61779,0.6012,2.16672,28.87625,4.20109,0.35073,0.02246,0.0974,0.56771,-24.33585,-57.64884
"36","2019_Q1",63.2747540983607,"Down",75326000,-38601000,36725000,-32880000,-12461000,-20419000,3845000,-5401000,30555000,-1556000,-1556000,2416000,860000,860000,2993000,2993000,945780000,475056000,470724000,35032000,35032000,43438000,43438000,1024250000,10051000,592257000,77225000,515032000,602308000,1626558000,67723000,19367000,48356000,111672000,111672000,179395000,317377000,191773000,157634000,34139000,509150000,688545000,686223000,-1182993000,1426266000,-2471000,927025000,938013000,1626558000,860000,19084000,-2339999.99999999,-47429000,-29825000,1556000,73441000,72747000,-11996000,-66636000,361000,-66997000,-328000,-78960000,-36038000,-36038000,-36038000,22929000,317377000,-25360000,0.48755,0.05104,0.03973,0.00319,0.00184,-8.4731,5.70947,0.73405,0.19512,0.08828,0.08705,2.22181,27.34345,-0.74802,0.35383,0.01036,-0.01752,4.00802,-27.40647,-163.43381
"37","2019_Q2",61.0061904761905,"Down",68631000,-36071000,32560000,-32710000,-14215000,-18495000,-150000,-5863000,-5863000,-6013000,-6013000,1799000,-4214000,-4214000,-2803000,-2803000,793045000,503240000,289805000,33322000,33322000,49579000,49579000,875946000,10581000,593224000,79766000,513458000,603805000,1479751000,60823000,22875000,37948000,84816000,84816000,448153000,19061000,187024000,138567000,48457000,206085000,654238000,684327000,-1291979000,1421884000,-1426000,812806000,825513000,1479751000,-4214000,18514000,4711000,-49792000,-30781000,-1584000,174621000,173037000,-11629000,-108984000,2000,-108986000,6236000,-114377000,27879000,27879000,27879000,18364000,321575000,-34811000,0.47442,-0.00219,-0.04084,-0.0034,-0.00189,12.41919,1.95457,0.79252,0.21732,-0.08595,-0.08595,2.10454,24.92429,-1.06746,0.3566,0.00662,-0.02609,-4.14877,-25.6736,3143.13333
"38","2019_Q3",51.97703125,"Down",75609000,-37353000,38256000,-29341000,-12314000,-17027000,8915000,2447000,21832000,11362000,11362000,-4984000,6378000,6378000,7743000,7743000,831159000,531698000,299461000,57183000,57183000,52656000,52656000,940998000,10736000,593332000,83202000,510130000,604068000,1545066000,68369000,14455000,53914000,82575000,82575000,242898000,342417000,159511000,121477000,38034000,501928000,744826000,724882000,-1354262000,1418628000,-350000,788898000,800240000,1545066000,6378000,19128000,-5004000,-43244000,-22742000,-1278000,-17246000,-18524000,-11160000,-62283000,0,-62283000,49298000,67817000,26551000,26551000,26551000,28043000,434371000,-11495000,0.50597,0.11791,0.10241,0.00968,0.00501,-1.48457,3.87405,0.93075,0.28113,0.24549,0.24106,2.39717,25.01183,-0.36445,0.35383,0.01356,-0.00825,1.4413,-14.14927,-44.50791
"39","2019_Q4",51.165,"Down",72523000,-34772000,37751000,-33977000,-13471000,-20506000,3774000,-3117000,7803000,657000,657000,178000,835000,835000,2234000,2234000,947623000,735886000,211737000,23355000,23355000,51545000,51545000,1022523000,10018000,595761000,85437000,510324000,605779000,1628302000,69735000,12713000,57022000,171433000,171433000,334299000,346397000,144307000,107498000,36809000,490704000,825003000,726603000,-1354262000,1409870000,-105000,782106000,803299000,1628302000,835000,19265000,319000,105080000,125499000,-2e+05,79881000,89681000,-10894000,0,0,0,-10292000,-12148000,203032000,203032000,203032000,23039000,439528000,127741000,0.52054,0.05204,0.0308,0.00278,0.00137,57.18039,3.05871,1.02702,0.26993,0.07179,0.07138,2.33051,25.13275,4.10492,0.35008,0.00946,0.09209,4.87645,-22.05369,-134.63037
"40","2020_Q1",49.0856451612903,"Down",102161000,-46744000,55417000,-30121000,-11289000,-18832000,25296000,-5360000,5290000,19936000,19936000,-7984000,11952000,11952000,13754000,13754000,924695000,745491000,179204000,28272000,28272000,63365000,63365000,1016332000,10217000,585533000,73168000,512365000,595750000,1612082000,64734000,13393000,51341000,146654000,146654000,305558000,350588000,169655000,123653000,46002000,520243000,825801000,728114000,-1379262000,1412779000,-74000,761557000,786281000,1612082000,11952000,20187000,10222000,-24904000,17457000,-1447000,25859000,24062000,-10897000,-2.5e+07,2.91038304567337e-11,-2.5e+07,-42319000,-30616000,10903000,10903000,10903000,45483000,444758000,27116000,0.54245,0.24761,0.13463,0.01749,0.00853,1.9715,3.32615,1.05026,0.27589,0.44493,0.44211,3.30479,24.63549,0.87717,0.35251,0.0176,0.01936,0.79228,-10.55201,-18.97284
"41","2020_Q2",49.9392063492064,"Up",76210000,-40108000,36102000,-31421000,-12603000,-18818000,4681000,-4522000,6023000,159000,159000,-1820000,-1661000,-1661000,116000,116000,780900000,515793000,265107000,25608000,25608000,69337000,69337000,875845000,10243000,578642000,73811000,504831000,588885000,1464730000,59535000,12204000,47331000,126298000,126298000,185833000,354823000,148478000,104497000,43981000,503301000,689134000,730254000,-1379611000,1402048000,-42000,752649000,775596000,1464730000,-1661000,19160000,1496000,-45880000,-26885000,-1603000,-92933000,-94536000,-10747000,429000,778000,-349000,-725000,-105952000,-227373000,-227373000,-227373000,23841000,354823000,-21822000,0.47372,0.06142,0.00152,0.000150000000000008,7.99999999999985e-05,-188.12069,4.71308,0.88852,0.24224,0.00378,0.00375,2.48063,24.4987,-0.71031,0.34981,0.00849,-0.01706,92.64655,-17.87161,-91.02264
"42","2020_Q3",56.78234375,"Up",104498000,-38695000,65803000,-33886000,-11794000,-22092000,31917000,-6182000,3789000,25735000,25735000,-5144000,20591000,20591000,22251000,22251000,839245000,670292000,168953000,19380000,19380000,62387000,62387000,921012000,11918000,605835000,79897000,525938000,617753000,1538765000,62402000,11394000,51008000,141528000,141528000,203930000,359119000,185010000,139396000,45614000,544129000,748059000,735278000,-1379611000,1413382000,370000,769419000,790706000,1538765000,20591000,21207000,-21061000,49018000,69755000,-2168000,90470000,88302000,-10762000,1014000,1014000,0,-755000.000000004,-10503000,147554000,147554000,147554000,53124000,359119000,105118000,0.62971,0.30543,0.21293,0.02814,0.01446,4.72418999999999,4.51631,0.94606,0.23338,0.72342,0.71676,3.39743,25.01525,3.41758,0.34989,0.02473,0.07875,0.48366,-9.03784,-15.04296
"43","2020_Q4",56.9071875,"Up",87493000,-40364000,47129000,-31699000,-10854000,-20845000,15430000,-6371000,3994000,9059000,9059000,12843000,21902000,21902000,23784000,23784000,919383000,746561000,172822000,28282000,28282000,84292000,84292000,1031957000,16244000,592293000,78664000,513629000,608537000,1640494000,69326000,12137000,57189000,248086000,248086000,317412000,363523000,156883000,108587000,48296000,520406000,837818000,736635000,-1379611000,1426239000,8000,783271000,802676000,1640494000,21902000,20660000,29584000,29196000,101342000,-6104000,-13898000,-15742000,-10781000,0,0,0,-55000,-10836000,74764000,74764000,74764000,36090000,363523000,46339000,0.53866,0.17636,0.27184,0.02963,0.0145,1.94833,3.25116,1.04378,0.22159,0.77206,0.76419,2.84013,25.42592,1.50422,0.34996,0.02612,0.03502,0.453289999999995,-15.40205,-36.02463
"44","2021_Q1",62.4631147540984,"Up",90790000,68703000,159493000,-156353000,-13748000,-142605000,3140000,-6800000,3118000,-3660000,-3660000,769000.000000004,-2891000,-2891000,-1350000,-1350000,926647000,473474000,453173000,16008000,16008000,59894000,59894000,1002549000,16630000,597096000,80380000,98373000,613726000,1616275000,75827000,10979000,64848000,219935000,219935000,295762000,367992000,155955000,108069000,47886000,523947000,819709000,739195000,-1379611000,1413969000,-184000,773369000,796566000,1616275000,-2891000,20014000,38094000,-35962000,19255000,-1918000,-287087000,-288070000,-10782000,99999.9999999998,1e+05,0,5117000,-5565000,-274380000,-274380000,-274380000,23154000,367992000,-15495000,1.75672,0.03459,-0.01487,-0.00169,-0.00084,11.47778,3.38972,1.02905,0.22768,-0.0438100000000001,-0.04335,2.94601,25.09472,-0.50279,0.34986,0.00714,-0.01173,-7.98667,-24.1278,-177.91561
"45","2021_Q2",70.9725396825397,"Up",82363000,-36574000,45789000,-33800000,-11217000,-22583000,11989000,-6266000,724000,5723000,5723000,-1765000,3958000,3958000,5571000,5571000,884715000,396156000,488559000,12502000,12502000,87663000,87663000,984880000,15626000,561368000,82216000,71420000,576994000,1561874000,60812000,8592000,52220000,192422000,192422000,253234000,419396000,156671000,112153000,44518000,576067000,829301000,739333000,-1385361000,1358380000,-254000,712098000,732573000,1561874000,3958000,19861000,2155000,-35816000,-9842000,-387000,-45548000,-47026000,-10786000,-5013000,737000,-5750000,-4071000,-19870000,-76738000,-76738000,-76738000,31850000,419396000,-2588000,0.55594,0.14556,0.06764,0.00760000000000001,0.00357,-0.46455,3.88921,1.13204,0.26852,0.18067,0.17859,2.671,23.09307,-0.08393,0.34979,0.0125,-0.00198,1.9361,-14.6097,-38.81216
"46","2021_Q3",66.88625,"Down",87735000,-40970000,46765000,-36669000,-14799000,-21870000,10096000,-3627000,3039000,6469000,-6776000,-21000,-6797000,-6797000,1618000,1618000,835903000,410144000,425759000,12003000,12003000,74797000,74797000,922703000,14588000,559792000,82826000,95402000,574380000,1497083000,75322000,7043000,68279000,158899000,158899000,234221000,420598000,126019000,82446000,43573000,546617000,780838000,746187000,-1390752000,1349073000,-323000,704185000,716245000,1497083000,-6797000,19689000,15276000,-55427000,-27259000,-550000,52059000,51509000,-10739000,-1759000,3632000,-5391000,-711000,-13209000,11041000,11041000,11041000,29785000,420598000,-26171000,0.53303,0.11507,0.01844,0.00226,0.00108,-16.17491,3.93945,1.09018,0.28095,0.05247,0.0518700000000001,2.84521,22.83646,-0.84872,0.34826,0.00978,-0.02072,6.63721,-13.94343,-41.1356
"47","2021_Q4",67.62828125,"Up",143496000,-26173006.3554641,65182371.8141056,-43524000,-20978000,-22546000,99972000,-7310000,-1537000,92662000,29467000,-4253000,25214000,25214000,26228000,26228000,900806000,467606000,433200000,141657000,141657000,80304000,80304000,1122767000,14182000,563663000,94850000,96956000,577845000,1700612000,92654000,9555000,83099000,325375000,325375000,418029000,421420000,125846000,66673000,59173000,547266000,965295000,762894000,-1402611000,1364378000,-390000,724271000,735317000,1700612000,25214000,19421000,4454000,47175000,96264000,-940000,-16092000,-17032000,-10794000,-10343000,1516000,-11859000,-74000,-21211000,58021000,58021000,58021000,119393000,421420000,169881000,0.717029123832269,0.69669,0.18278,0.03567,0.01542,6.47709,2.68586,1.31276,0.2478,0.85178,0.83871,4.66017,23.5214,5.51705,0.35055,0.02887,0.13245,0.41154,-4.01519,-4.79519999999999
"48","2022_Q1",64.7862903225806,"Down",111815000,-31592622.2262044,61378791.1544308,-147708000,-14223000,-133485000,-22974000,3553000,9349000,-19421000,29142000,-9329000,19813000,19813000,21878000,21878000,941627000,706282000,235345000,31113000,31113000,77545000,77545000,1050285000,13377000,564494000,98408000,102501000,577871000,1628156000,79888000,7155000,61992000,291673000,291673000,371561000,422745000,80933000,19463000,61470000,503678000,875239000,714316000,-1409611000,1441105000,-571000,745239000,752917000,1628156000,19813000,19222000,-5074000,37268000,71229000,-634000,192718000,192188000,-10739000,-4935000,2065000,-7e+06,-4506000,-20180000,243237000,243237000,243237000,-3752000.00000003,422745000,42211000,0.66729871516599,-0.20546,0.19566,0.02906,0.01344,1.92938,2.82668,1.16246,0.25965,0.71562,0.68566,3.65743,24.37652,1.38071,0.35127,0.02596,0.03359,0.49086,138.29478,22.58562
"49","2022_Q2",60.1538709677419,"Down",101318000,-42095000,59223000,-28496000,-10884000,-17612000,30727000,-6520000,-1005000,24207000,23665000,-5961000,17704000,17704000,17994000,17994000,899220000,783016000,116204000,23638000,23638000,78355000,78355000,1001213000,12315000,582499000,95998000,104215000,594814000,1596027000,69986000,6013000,63973000,238626000,238626000,308612000,424100000,102649000,51869000,50780000,526749000,835361000,716060000,-1409611000,1448138000,-881000,753706000,760666000,1596027000,17704000,19282000,9376000,-64334000,-17972000,-337000,107939000,107602000,-10741000,1226000,1226000,-17624046.9560786,-3526000,-13041000,76589000,76589000,76589000,50009000,424100000,-8701000,0.58453,0.30327,0.1776,0.02366,0.01127,-0.48355,3.24425,1.0982,0.26572,0.58647,0.5768,3.3022,24.56509,-0.28359,0.35007,0.02232,-0.00676000000000001,0.59692,-9.50068999999999,-15.46262
"50","2022_Q3",53.17609375,"Down",124657000,-45417000,79240000,-26602000,-9516000,-17086000,52638000,-21288000,-15016000,31350000,28612000,-8028000,20584000,20584000,21069000,21069000,900609000,833533000,67076000,48801000,48801000,86393000,86393000,1035803000,11261000,570431000,103047000,95697000,581692000,1617495000,64490000,9222000,55268000,168461000,168461000,232951000,604245000,95055000,45075000,49980000,699300000,932251000,705089000,-1484056000,1458674000,-938000,678769000,685244000,1617495000,20584000,21154000,25108000,-100614000,-33768000,-425000,-44962000,-45387000,-10803000,-74445000,0,-74445000,-9433000,134534000,55379000,55379000,55379000,73792000,604245000,-19219000,0.63566,0.42226,0.16902,0.03075,0.01303,-0.91219,4.44644,1.36047,0.37357,0.69276,0.68606,4.09881,22.31838,-0.63193,0.35521,0.02302,-0.01388,0.51274,-4.01621,-5.63023
