"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_investment_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"36","2019_Q3",9.510625,"Up",15400076,-9692074,5708002,-5972100,-5972100,-264098,67148,-9594,76742,-196950,2976566,2779616,2773178,2773178,2773178,2773178,17153426,13152452,4000974,10907395,10907395,13648913,2316603,2254456,44026337,9607354,442003,422935,10049357,54075694,8815304,3522386,193294,5099624,8909620,313690,313690,392631,9302251,43642008,1901373,-769938,44773443,44773443,54075694,-1050315,261619,118900,2910701,3591211,-33125,874087,21349,21349,-164825,4300473,4300473,4287410,-2479,78941,0.37065,-0.01715,0.18008,0.06194,0.05128,4.94144,0.20776,0.00146,1.19067,1.19067,6.61205,19.22355,0.06552,6887.65026,64.65208
"37","2019_Q4",14.68375,"Up",3419388,-402684,3016704,-4112153,-4112153,-1095449,98653,-9696,108349,-996796,-2995783,-3992579,-3968479,1737859,1737859,1737859,20124673,14621921,5502752,12950442,12950442,12586500,2327870,2245595,47989485,9303323,414642,395574,9717965,57707450,10985851,4510344,197220,6278287,11095205,265192,265192,355834,11451039,43654466,3435845,-833900,46256411,46256411,57707450,887023,265302,97866,712765,3408415,-83291,-1582494,-88344,-88344,-274652,1551269,1551269,1521074,-830147,90642,0.88224,-0.32036,0.50824,0.03757,0.03011,4.32525,0.24756,0.00157,0.74603,0.74395,1.46788,19.85699,0.04128,24.13311,18.28842
"38","2020_Q1",13.6582258064516,"Down",15363421,-8329280,7034141,-5846015,-5846015,1188126,45257,-9706,54963,1233383,-216,1233167,1205807,1717899,1717899,1717899,23378154,13928504,9449650,10242405,10242405,8531112,7250139,1839871,49401810,8238089,1260813,1251279,9748902,59150712,10040891,3720445,200363,6120083,11350044,244038,244038,408386,11758430,43440551,4649395,-697664,47392282,47392282,59150712,1205807,226628,146290,1416107,4422422,-98697,-4296266,-665352,756896,-851662,-725506,-725506,-691680.000000001,1414754,164348,0.45785,0.0773300000000001,0.11182,0.03625,0.02904,4.35257,0.24811,0.00278,0.74058,0.72232,6.62312,20.43066,0.03984,-16.4083700000008,-19.53817
"39","2020_Q2",12.1077777777778,"Down",9162742,-5425595,3737147,-4960890,-4960890,-1223743,102164,-9593,111757,-1121579,308403,-813176,-808719,1504633,1504633,1504633,31861586,20561982,11299604,6565654,6565654,8089911,1675089,1598011,48192240,7951593,339933,339933,8646526,56838766,7487036,2675534,200708,4610794,7600058,208831,208831,276006,7876064,43849125,5957796,-844219,48962702,48962702,56838766,-808719,211461,-219701,1823057,240630,363083,6503857,-84560,24226,-274065,6470422,6470422,6433600,-1012282,67175,0.40786,-0.13356,0.16421,0.03073,0.02647,6.34104,0.16086,0.00118,0.64956,0.6372,3.9556,21.13744,0.03441,31.40865,25.98128
"40","2020_Q3",11.00640625,"Down",9627952,-6147904,3480048,-4711668,-4711668,-1231620,278983,-9498.00000000006,288481,-952636.999999999,-414585,-1367222,-1366776,-1935521,-1935521,-1935521,24294326,20546013,3748313,8189950,8189950,9941657,1445900,1358771,43871833,7903542,4321633,720715,13479030,57350863,9460494,4639862,205878,4614754,9881136,438373,294310,505548,10386684,43962619,3830132,-828572,46964179,46964179,57350863,-1366776,218339,101964,-880748,-2378127,-32323,2542377,15299.9999999999,25439,-170937,-6687,-6687,-15453.0000000019,-1013281,67175,0.36145,-0.12792,-0.20103,-0.04121,-0.03375,4.43996,0.22116,0.00117,-0.828,-0.84423,4.11876,20.09089,-0.03685,23.9096100000001,19.67096
"41","2020_Q4",10.0965625,"Down",-13469011,7817024,-5651987,4549489,4655822,-1102498,257860,-7060,264920,-844638,-71301,-915939,-924891,262365,262365,262365,14388478,9123704,5264774,10360155,10360155,9831656,1675871,1587291,36256160,7302577,4591359,1096774,19460836,55716996,7357649,3112381,16637,4228631,7781599,627229,252543,693366,8474965,43867331,4138023,-763323,47242031,47242031,55716996,-924891,191563,143149,-4100544,-3442337,-11792,-7863684,-194129,41167,-382153,-11688174,-11688174,-11650311,-910935,66137,0.41963,0.08185,-0.01948,0.00555,0.00471,4.65922,0.17939,0.00119,0.11217,0.11217,-5.75859,20.19803,0.0094,15.72268,12.99081
"42","2021_Q1",13.352131147541,"Up",2757879,-2006175,751704,-2133768,-2035462,-1382064,4522,-2363.00000000093,6885,-1377542,-218803.999999999,-1596346,-1606863,-3135.00000000373,-3135.00000000373,-3135.00000000373,15548999,12789975,2759024,4402023,4402023,136264,15670967,556953,35758253,304757.999999999,12384102,7522348,19798072,55556325,3125675,709283,16147,2400245,7437651,507487,197308,623947,8061598,44038210,4135284,-678767,47494727,47494727,55556325,-1606863,186674.999999996,163332.000000002,-209281.000000004,896305,-56068.0000000009,2747681,27403,28082,27287.0000000005,3671273,3671273,3717138,-1195389,116460,0.27257,-0.50113,-0.00114000000000009,-6.99999999997361e-05,-5.99999999999412e-05,4.80773,0.16974,0.0021,-0.00134999999999939,-0.00135000000000117,1.18377,20.38623,-6.00000000001346e-05,12.91006,11.1663
"43","2021_Q2",15.471746031746,"Up",35101653.5584007,-78048903.3518814,49623815.9057135,-588551,-231227,-588551,-311413,-311413,-319361.444506133,-899964,-168445,-1068409,-1068409,-1068409,-1068409,-1068409,15440478,14747054,693424,8673414,8673414,8218822,1330487,1330487,33663201,7088892,5291480,543546,19445037,53108238,5910476,2685775,5387,3217089,6717053,526419,140105,669254,7386307,44442182,1948084,-668335,45721931,45721931,53108238,-1068409,357324,313369,178619,-219097,344918,344918,398065.078171267,200155.208399611,50000,175821,175821,175821,-231227,142835,-0.430471637878351,-3.42285236829251,-5.44169929204429,-0.02337,-0.02012,5.0116,0.16155,0.00269,-0.45793,-0.45793,15.0120930217029,19.59668,-0.02303,66.15855,25.99204
"44","2021_Q3",17.35671875,"Up",51386849.4584007,-258786525.055644,165375010.71714,-582352.999999985,-225030.000000015,-582353.000000015,-417857.000000007,-417856.999999985,-539095.992674843,-1000210.00000006,-1263057,-2263267.00000006,-2263267,-2263267.00000006,-2263267.00000006,-2263267.00000006,16589678,14884643,1705035,8729795,8729795,7931875,874908,857520,34126256,6955565,5120171,482726,17871076,51997332,6726004.00000001,3618279.00000001,4849.00000000047,3102876,7538776.00000001,496329.999999985,97173.9999999851,569737,8108512.99999994,44527019,-7772,-630428,43888819.0000001,43888819.0000001,51997332,-2263266.99999988,357323,415902,1356413,-133629.000000015,135064.99999997,135065.00000003,557946.104228355,750868.477866148,7.45058059692383e-09,1436,1436,1435.99999999627,-225030,73407.0000000298,-1.99932491363505,-10.2600463682925,-21.9406262920443,-0.05157,-0.043530000000001,4.52676,0.18475,0.00141,-0.95672,-0.956719999999971,21.9606990217029,18.55259,-0.0509099999999979,73.39586,28.36127
"45","2021_Q4",14.07453125,"Down",25417000,-582694404.111289,372415950.434281,-599052000,-241728000,-573635000,-275694000,-275694000,-482883.294506133,-849329000,-545934000,-1395263000,-1395263000,-1395263000,-1395263000,-1395263000,38146180,35284786,2861394,2119022,2119022,121098,1084709,1068799,41471009,5800827,5747462,1220507,15491114,56962123,37189077,1716451,34022195,1450431,37930479,466689,69613,466689,38397168,45364564,-26815002,15393,18564955,18564955,56962123,-4723607324,1071256353,1004234729,2085109968,-563006274,479503017,479503017,195935.078171266,1886509.50839961,149950000,66446743,66446743,66446743,497621353,0,-4.74381982727011,-22.56895,-54.89487,-75.15574,-24.49458,1.09334,2.06826,0,-593.8817,-593.8817,10.81853,7.90201,-73.31279,-0.07666,0.0665
"46","2022_Q1",8.74118644067797,"Down",-69004361.5168014,-1088247904.51881,695157297.057135,592638768,235056887,569655572,276433959,276415247,18712,846089531,544351286,1390440817,1390416242,1401568323,1401568323,1401568323,18966000,18966000,1055637.86841656,-12323173.4955437,-12323173.4955437,-11881559.6872304,-15932225.5672975,4291968.44190726,18966000,11758333.9803359,2780270000,-5576695.54293783,2780270000,2799236000,2541199000,2233371000,137983195.042785,307828000,2891199000,2.35e+09,2.35e+09,8544931000,11436130000,1e+08,-8736894000,1873125.16946243,-8636894000,-8636894000,2799236000,4718760566,-1071149023,-1003805589,-2084672776,558746606,-479155711,-449438891,-999079,3813366,-185587425,-76279710,-76279710,-76225324,-501493451,6194931000,-8.97378637878351,-41.905801263415,-109.701379415911,-0.162279999999996,0.500699999999998,0.0065599999999999,-1.3241,2.21308,592.51275,592.51275,-29.6254720434059,-3651.24535,-15.6107,-12.31515,10.84158
