"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_investment_income_loss","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","net_extraordinary_gains_losses","discontinued_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_discontinued_operations_operating","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"28","2017_Q1",76.6927419354839,"Up",1.311e+09,-9.89e+08,3.22e+08,-2.05e+08,-1.84e+08,-2e+07,-2e+06,999999.999999996,1.17e+08,3.9e+07,-2.8e+07,2.6e+07,4.1e+07,0,1.56e+08,0,1.56e+08,5e+06,1.61e+08,0,0,1.61e+08,-1e+06,1.6e+08,1.6e+08,6.68e+08,6.38e+08,3e+07,8.01e+08,8.01e+08,7.2e+08,2.83e+08,2.83e+08,2.472e+09,3.577e+09,2.308e+09,1.94e+08,7.96e+08,1.59e+08,8.52e+08,3.07e+08,5.885e+09,8.357e+09,6.37e+08,6.25e+08,1.2e+07,1.18e+08,3.22e+08,3.22e+08,1.077e+09,2.89e+09,1.369e+09,8.93e+08,1.3e+08,3.46e+08,4.259e+09,5.336e+09,1.57e+08,-1.531e+09,4.32e+09,-3.58e+08,2.588e+09,4.33e+08,3.021e+09,8.357e+09,1.61e+08,7.2e+07,-1.91e+08,-9.1e+07,2e+06,-4.7e+07,-5.6e+07,-1.78e+08,-1.3e+07,-2.47e+08,-5.1e+07,-3.7e+07,-1.97e+08,-2e+08,-7e+06,-2.92e+08,-5.86e+08,-5.86e+08,-2.8e+07,-6.14e+08,1.89e+08,3.008e+09,3.7e+07,0.24561,0.08924,0.12204,0.05296,0.01915,0.23125,2.29526,1.7663,0.35994,1.1279,1.11986,9.24171,18.24375,0.26083,0.35952,6,0.02852,0.005,0.31875,12.38095,20
"29","2017_Q2",78.6909523809524,"Up",1.471e+09,-1.121e+09,3.5e+08,-1.79e+08,-1.03e+08,-1.7e+07,-4e+06,-5.5e+07,1.71e+08,4.8e+07,-2.9e+07,2.9e+07,4.7e+07,1e+06,2.19e+08,2.1e+07,2.4e+08,-5.6e+07,1.84e+08,0,0,1.84e+08,-1e+06,1.83e+08,1.83e+08,5.32e+08,5.01e+08,3.1e+07,8.86e+08,8.86e+08,7.17e+08,2.54e+08,2.54e+08,2.389e+09,3.571e+09,2.328e+09,1.92e+08,8e+08,1.54e+08,8.74e+08,3.08e+08,5.899e+09,8.288e+09,6.46e+08,6.15e+08,3.1e+07,1.07e+08,2.62e+08,2.62e+08,1.015e+09,2.851e+09,1.381e+09,8.66e+08,1.4e+08,3.75e+08,4.232e+09,5.247e+09,1.49e+08,-1.662e+09,4.451e+09,-3.27e+08,2.611e+09,4.3e+08,3.041e+09,8.288e+09,1.84e+08,7.2e+07,-1e+06,-6.2e+07,-1e+06,1.92e+08,-6.1e+07,0,-3e+06,-6.4e+07,-5.1e+07,-6.9e+07,-1.28e+08,-1.28e+08,-2.2e+07,-2.7e+08,-1.42e+08,-1.42e+08,5e+06,-1.37e+08,2.43e+08,2.958e+09,1.76e+08,0.23793,0.11625,0.12441,0.06018,0.02208,0.96175,2.35369,1.72542,0.3569,1.30116,1.2979,10.45904,18.56462,1.25139,0.36262,6,0.03171,0.02385,0.27869,9.98354,14.18713
"30","2017_Q3",87.2090476190476,"Up",1.51e+09,-1.145e+09,3.65e+08,-1.41e+08,-1.17e+08,-1.7e+07,-5e+06,-2e+06,2.24e+08,4.1e+07,-2.9e+07,2.9e+07,3.8e+07,3e+06,2.65e+08,1.6e+07,2.81e+08,-4e+07,2.41e+08,-8e+06,-8e+06,2.33e+08,-2e+06,2.31e+08,2.31e+08,5.41e+08,5.11e+08,3e+07,9.85e+08,9.85e+08,7.71e+08,2.86e+08,2.86e+08,2.583e+09,3.663e+09,2.637e+09,3.02e+08,9.75e+08,1.64e+08,8.85e+08,3.11e+08,6.3e+09,8.883e+09,7.08e+08,6.66e+08,4.2e+07,3.84e+08,3.32e+08,3.32e+08,1.424e+09,2.931e+09,1.406e+09,8.66e+08,1.65e+08,3.75e+08,4.337e+09,5.761e+09,1.58e+08,-1.834e+09,4.617e+09,-2.47e+08,2.694e+09,4.28e+08,3.122e+09,8.883e+09,2.33e+08,7.7e+07,-6000000.00000003,-1.3e+07,7e+06,2.98e+08,-5.4e+07,-2.68e+08,-3e+06,-3.25e+08,-6.5e+07,2.62e+08,-1.71e+08,-1.72e+08,-5e+06,21000000.0000001,-6e+06,-6e+06,1.6e+07,1e+07,3.01e+08,3.315e+09,2.74e+08,0.24172,0.14834,0.15298,0.07399,0.026,1.18615,1.8139,1.84529,0.37318,1.66643,1.66152,10.89311,19.43446,1.97663,0.46891,5,0.03774,0.03494,0.28139,9.21595,12.38393
"31","2017_Q4",94.7263492063492,"Up",1.566e+09,-1.183e+09,3.83e+08,-1.57e+08,-1.33e+08,-1.9e+07,-5e+06,0,2.26e+08,3.7e+07,-3.1e+07,2.4e+07,5e+07,-6e+06,2.63e+08,2.6e+07,2.89e+08,-5.7e+07,2.32e+08,-4e+06,-4e+06,2.28e+08,-2e+06,2.26e+08,2.26e+08,4.92e+08,4.61e+08,3.1e+07,9.89e+08,9.89e+08,8.09e+08,3.23e+08,3.23e+08,2.613e+09,3.706e+09,2.743e+09,3.03e+08,9.95e+08,2.01e+08,9.38e+08,3.06e+08,6.449e+09,9.062e+09,7.72e+08,6.95e+08,7.7e+07,4.35e+08,3.43e+08,3.43e+08,1.55e+09,2.954e+09,1.423e+09,8.45e+08,1.95e+08,3.83e+08,4.377e+09,5.927e+09,1.71e+08,-2.031e+09,4.781e+09,-2.06e+08,2.715e+09,4.2e+08,3.135e+09,9.062e+09,2.28e+08,8.2e+07,-6.9e+07,1.3e+07,1e+06,2.55e+08,-6.4e+07,-1e+06,-3e+06,-6.8e+07,-6.2e+07,2.5e+07,-2e+08,-2e+08,-1e+07,-2.47e+08,-6e+07,-6e+07,1e+07,-5e+07,3.08e+08,3.389e+09,3.14e+08,0.24457,0.14432,0.14432,0.07209,0.02494,1.38938,1.68581,1.89059,0.37398,1.65472,1.65021,11.46589,19.87859,2.29903,0.45395,6,0.03624,0.03951,0.27434,9.40584,12.81858
"32","2018_Q1",94.3627868852459,"Down",1.593e+09,-1.18e+09,4.13e+08,-1.71e+08,-1.43e+08,-2e+07,-6e+06,-2e+06,2.42e+08,4.8e+07,-3.1e+07,2.6e+07,4.8e+07,5e+06,2.9e+08,-2.5e+07,2.65e+08,-6e+07,2.05e+08,-1e+06,-1e+06,2.04e+08,-1e+06,2.03e+08,2.03e+08,6.08e+08,5.76e+08,3.2e+07,9.86e+08,9.86e+08,9e+08,2.98e+08,2.98e+08,2.792e+09,3.762e+09,2.984e+09,3.01e+08,1.003e+09,3.66e+08,9.76e+08,3.38e+08,6.746e+09,9.538e+09,8.79e+08,8.07e+08,7.2e+07,3.26e+08,3.54e+08,3.54e+08,1.559e+09,3.315e+09,1.365e+09,5.85e+08,2.11e+08,5.69e+08,4.68e+09,6.239e+09,1.75e+08,-2.031e+09,4.92e+09,-1.77e+08,2.887e+09,4.12e+08,3.299e+09,9.538e+09,2.04e+08,7.9e+07,-4.61e+08,2.35e+08,1e+06,5.8e+07,-8.7e+07,2.98023223876953e-08,-5e+06,-9.2e+07,-6.3e+07,2.25e+08,2.98023223876953e-08,0,-1.7e+07,1.45e+08,1.11e+08,1.11e+08,4e+06,1.15e+08,3.21e+08,3.641e+09,5.29e+08,0.25926,0.15191,0.12743,0.06153,0.02128,2.60591,1.79089,1.89118,0.38174,1.4952,1.48946,11.73325,21.26421,3.89635,0.46403,6,0.03203,0.0637,0.31034,9.4486,12.53306
"33","2018_Q2",99.2828125,"Up",1.851e+09,-1.336e+09,5.15e+08,-1.71e+08,-1.47e+08,-1.8e+07,-6e+06,0,3.44e+08,6.3e+07,-3.1e+07,3.2e+07,5.8e+07,4e+06,4.07e+08,2.5e+07,4.32e+08,-6.5e+07,3.67e+08,-2e+06,-2e+06,3.65e+08,-2e+06,3.63e+08,3.63e+08,5.22e+08,4.9e+08,3.2e+07,1.205e+09,1.205e+09,9.55e+08,3.24e+08,3.24e+08,3.006e+09,3.801e+09,2.973e+09,3.36e+08,1.107e+09,1.82e+08,9.79e+08,3.69e+08,6.774e+09,9.78e+09,9.11e+08,7.97e+08,1.14e+08,4.25e+08,2.66e+08,2.66e+08,1.602e+09,3.343e+09,1.17e+09,5.82e+08,2.19e+08,3.69e+08,4.513e+09,6.115e+09,1.92e+08,-2.031e+09,5.22e+09,-1.28e+08,3.253e+09,4.12e+08,3.665e+09,9.78e+09,3.65e+08,8e+07,7e+06,-3.09e+08,0,1.43e+08,-7.7e+07,-1.44e+08,-1.4e+07,-2.35e+08,-6.3e+07,6.8e+07,0,0,-7e+06,-2e+06,-9.4e+07,-9.4e+07,8e+06,-8.6e+07,4.24e+08,3.768e+09,1.03e+08,0.27823,0.18585,0.19611,0.09905,0.03712,0.28375,1.8764,1.66849,0.38528,2.67076,2.66161,13.61866,23.93382,0.75782,0.46352,7,0.04952,0.01197,0.17355,7.65566,9.43605
"34","2018_Q3",103.674126984127,"Up",1.844e+09,-1.323e+09,5.21e+08,-1.64e+08,-1.36e+08,-1.8e+07,-7e+06,-3e+06,3.57e+08,5.8e+07,-3.2e+07,3.4e+07,5.6e+07,0,4.15e+08,2.7e+07,4.42e+08,-9.7e+07,3.45e+08,0,0,3.45e+08,-1e+06,3.44e+08,3.44e+08,7.4e+08,7.08e+08,3.2e+07,1.156e+09,1.156e+09,9.17e+08,3.4e+08,3.4e+08,3.153e+09,3.724e+09,2.912e+09,3.25e+08,1.069e+09,1.63e+08,9.63e+08,3.92e+08,6.636e+09,9.789e+09,9.3e+08,8.19e+08,1.11e+08,3.66e+08,3.14e+08,3.14e+08,1.61e+09,3.228e+09,1.164e+09,5.57e+08,2.48e+08,3.59e+08,4.392e+09,6.002e+09,2.08e+08,-2.131e+09,5.491e+09,-1.88e+08,3.38e+09,4.07e+08,3.787e+09,9.789e+09,3.45e+08,8.8e+07,3.3e+07,1.2e+08,-1e+06,5.85e+08,-7.9e+07,0,-1.7e+07,-9.6e+07,-7.3e+07,-7.4e+07,-1e+08,-1e+08,-7e+06,-2.54e+08,2.35e+08,2.35e+08,-1.7e+07,2.18e+08,4.45e+08,3.594e+09,5.83e+08,0.28254,0.1936,0.18655,0.09084,0.03514,1.69477,1.95839,1.5849,0.36715,2.53707,2.52367,13.59985,24.92814,4.29974,0.53839,9,0.0488,0.06823,0.21221,6.41348,7.9944
"35","2018_Q4",89.0792063492063,"Down",1.771e+09,-1.255e+09,5.16e+08,-1.4e+08,-1.29e+08,-1.8e+07,-5e+06,1.2e+07,3.76e+08,6.3e+07,-2.8e+07,2.6e+07,6.6e+07,-1e+06,4.39e+08,2.3e+07,4.62e+08,-5.4e+07,4.08e+08,-6e+06,-6e+06,4.02e+08,-1e+06,4.01e+08,4.01e+08,7.34e+08,7.03e+08,3.1e+07,1.086e+09,1.086e+09,1.033e+09,3.27e+08,3.27e+08,3.18e+09,3.699e+09,2.945e+09,3.17e+08,1.064e+09,1.7e+08,9.81e+08,4.13e+08,6.644e+09,9.824e+09,9.56e+08,8.19e+08,1.37e+08,2.29e+08,3.47e+08,3.47e+08,1.532e+09,3.196e+09,1.153e+09,5.47e+08,2.46e+08,3.6e+08,4.349e+09,5.881e+09,2.22e+08,-2.281e+09,5.819e+09,-2.19e+08,3.541e+09,4.02e+08,3.943e+09,9.824e+09,4.02e+08,9e+07,-4.4e+07,1.4e+07,5e+06,4.67e+08,-7.5e+07,0,-3e+06,-7.8e+07,-7.3e+07,-1.54e+08,-1.5e+08,-1.5e+08,-6e+06,-3.83e+08,6e+06,6e+06,-1.1e+07,-5e+06,4.66e+08,3.425e+09,4.59e+08,0.29136,0.21231,0.22643,0.1017,0.04082,1.14464,2.07572,1.4915,0.34864,2.98098,2.95942,13.1654,26.32336,3.41215,0.54267,9,0.05563,0.05387,0.18204,5.77468,7.15691
"36","2019_Q1",89.7962295081967,"Up",1.689e+09,-1.269e+09,4.2e+08,-1.58e+08,-1.34e+08,-1.8e+07,-6e+06,0,2.62e+08,5.5e+07,-2.8e+07,2.5e+07,5.3e+07,5e+06,3.17e+08,-1.43e+08,1.74e+08,-7.6e+07,9.8e+07,3e+06,3e+06,1.01e+08,-2e+06,9.9e+07,9.9e+07,4.7e+08,4.39e+08,3.1e+07,1.017e+09,1.017e+09,1.046e+09,3.41e+08,3.41e+08,2.874e+09,3.719e+09,2.72e+09,3.1e+08,1.057e+09,8.4e+07,9.79e+08,2.9e+08,6.439e+09,9.313e+09,8.75e+08,8.19e+08,5.6e+07,5.61e+08,3.43e+08,3.43e+08,1.779e+09,2.97e+09,1.185e+09,5.64e+08,2.55e+08,3.66e+08,4.155e+09,5.934e+09,2.33e+08,-2.849e+09,5.847e+09,-2.47e+08,2.984e+09,3.95e+08,3.379e+09,9.313e+09,1.01e+08,9.1e+07,2.58e+08,-7.3e+07,-1.4e+07,3.63e+08,-1.06e+08,1.3e+07,-5e+06,-9.8e+07,-7.1e+07,1.2e+08,-5.55e+08,-5.55e+08,-2e+07,-5.26e+08,-2.61e+08,-2.61e+08,-3e+06,-2.64e+08,3.53e+08,3.531e+09,2.5e+08,0.24867,0.15512,0.05861,0.0293,0.01063,2.52525,1.61551,1.75614,0.37915,0.7546,0.74171,12.87391,22.74466,1.90555,0.54118,6,0.021,0.03088,0.71717,8.67139,11.68321
"37","2019_Q2",95.1844444444445,"Up",1.687e+09,-1.234e+09,4.53e+08,-1.38e+08,-1.2e+08,-1.6e+07,-6e+06,4e+06,3.15e+08,4.8e+07,-3e+07,3.2e+07,5e+07,-4e+06,3.63e+08,2.2e+07,3.85e+08,-4.6e+07,3.39e+08,-1e+06,-1e+06,3.38e+08,-1e+06,3.37e+08,3.37e+08,4.7e+08,4.41e+08,2.9e+07,1.015e+09,1.015e+09,1.009e+09,3.9e+08,3.9e+08,2.884e+09,3.721e+09,2.969e+09,3.32e+08,1.075e+09,9.3e+07,9.5e+08,5.19e+08,6.69e+09,9.574e+09,7.68e+08,6.99e+08,6.9e+07,7.43e+08,3.11e+08,3.11e+08,1.822e+09,2.933e+09,1.38e+09,5.5e+08,2.73e+08,5.57e+08,4.313e+09,6.135e+09,2.24e+08,-3.048e+09,6.114e+09,-2.43e+08,3.047e+09,3.92e+08,3.439e+09,9.574e+09,3.38e+08,8.4e+07,9e+06,-1.24e+08,0,3.07e+08,-7.9e+07,-9.1e+07,-7e+06,-1.77e+08,-7e+07,1.78e+08,-2.12e+08,-2.12e+08,-2.6e+07,-1.3e+08,0,0,2e+06,2e+06,3.99e+08,3.676e+09,2.42e+08,0.26852,0.18672,0.19976,0.09799,0.0352,0.7181,1.58288,1.78395,0.38396,2.64226,2.62838,13.22698,23.89011,1.89741,0.54884,4,0.04791,0.02849,0.20772,8.03509,10.17778
"38","2019_Q3",104.13,"Up",1.592e+09,-1.169e+09,4.23e+08,-2.39e+08,-1.18e+08,-1.7e+07,-6e+06,-9.8e+07,1.84e+08,4e+07,-2.7e+07,3e+07,3.9e+07,-2e+06,2.24e+08,1.5e+07,2.39e+08,-2.8e+07,2.11e+08,-3e+06,-3e+06,2.08e+08,-1e+06,2.07e+08,2.07e+08,5.18e+08,4.91e+08,2.7e+07,9.71e+08,9.71e+08,1.011e+09,3.76e+08,3.76e+08,2.876e+09,3.642e+09,2.988e+09,3.27e+08,1.083e+09,9e+07,9.59e+08,5.29e+08,6.63e+09,9.506e+09,7.87e+08,7.64e+08,2.3e+07,3.19e+08,3.02e+08,3.02e+08,1.408e+09,3.444e+09,1.4e+09,5.45e+08,2.65e+08,5.9e+08,4.844e+09,6.252e+09,2.33e+08,-3.347e+09,6.245e+09,-2.67e+08,2.864e+09,3.9e+08,3.254e+09,9.506e+09,2.1e+08,8.6e+07,6.6e+07,6.2e+07,0,4.24e+08,-6.5e+07,0,-1e+06,-6.6e+07,-7.8e+07,6.6e+07,-2.76e+08,-2.76e+08,-1.9e+07,-3.07e+08,5.1e+07,5.1e+07,-1e+06,5e+07,2.7e+08,3.763e+09,2.95e+08,0.2657,0.11558,0.13003,0.06361,0.02178,1.42512,2.04261,1.92133,0.39586,1.65233,1.64277,12.70779,22.86124,2.35477,0.62262,5,0.03386,0.03505,0.37681,12.01852,17.63587
"39","2019_Q4",114.3296875,"Up",1.586e+09,-1.172e+09,4.14e+08,-1.5e+08,-1.2e+08,-1.7e+07,-6e+06,-7e+06,2.64e+08,4.6e+07,-2.6e+07,2.7e+07,4.5e+07,0,3.1e+08,1.3e+07,3.23e+08,-5.3e+07,2.7e+08,-3e+06,-3e+06,2.67e+08,-2e+06,2.65e+08,2.65e+08,5.23e+08,4.97e+08,2.6e+07,9.47e+08,9.47e+08,9.94e+08,3.79e+08,3.79e+08,2.843e+09,3.585e+09,2.986e+09,3.14e+08,1.054e+09,9.8e+07,9.7e+08,5.5e+08,6.571e+09,9.414e+09,8.07e+08,7.64e+08,4.3e+07,3.68e+08,3.58e+08,3.58e+08,1.533e+09,3.359e+09,1.383e+09,5.23e+08,2.69e+08,5.91e+08,4.742e+09,6.275e+09,2.44e+08,-3.622e+09,6.431e+09,-3.06e+08,2.747e+09,3.92e+08,3.139e+09,9.414e+09,2.65e+08,9.5e+07,-4.5e+07,7.7e+07,5e+06,3.97e+08,-8.1e+07,0,-1e+06,-8.2e+07,-7.7e+07,5.3e+07,-2.75e+08,-2.75e+08,0,-2.99e+08,1.6e+07,1.6e+07,-1e+07,6e+06,3.59e+08,3.727e+09,4.08e+08,0.26103,0.16646,0.16709,0.08442,0.02815,1.53962,1.85453,1.99904,0.3959,2.16046,2.14776,12.93015,22.39541,3.32629,0.62776,4,0.04146,0.04946,0.29057,8.92479,12.13636
"40","2020_Q1",92.2527419354839,"Down",1.432e+09,-1.116e+09,3.16e+08,-2.5e+08,-1.25e+08,-1.7e+07,-6e+06,-1.02e+08,65999999.9999999,5.1e+07,-2.6e+07,2.4e+07,4.8e+07,-2e+06,1.17e+08,-7.6e+07,4.1e+07,2999999.99999999,4.4e+07,1e+06,1e+06,44999999.9999999,-2e+06,4.3e+07,4.3e+07,5.03e+08,4.63e+08,4e+07,8.5e+08,8.5e+08,1.038e+09,3.74e+08,3.74e+08,2.765e+09,3.713e+09,2.998e+09,3.12e+08,1.074e+09,9.6e+07,9.75e+08,5.41e+08,6.711e+09,9.476e+09,7.97e+08,7.8e+08,1.7e+07,4.96e+08,4.61e+08,4.61e+08,1.754e+09,3.409e+09,1.415e+09,5.89e+08,2.57e+08,5.69e+08,4.824e+09,6.578e+09,2.54e+08,-3.846e+09,6.399e+09,-3e+08,2.507e+09,3.91e+08,2.898e+09,9.476e+09,4.5e+07,9.1e+07,5.9e+07,1.36e+08,-5e+06,3.26e+08,-1.45e+08,1e+06,-8e+06,-1.68e+08,-7.5e+07,1.15e+08,-2.34e+08,-2.33e+08,-5e+06,-1.99e+08,-4.1e+07,-4.1e+07,7e+06,-3.4e+07,1.57e+08,3.905e+09,1.45e+08,0.22067,0.04609,0.03003,0.01484,0.00454,3.37209,1.5764,2.26984,0.41209,0.35767,0.35537,11.91111,20.85277,1.20608,0.62384,4,0.01436,0.01764,1.74419,21.66879,51.54545
"41","2020_Q2",78.4368253968254,"Down",1.46e+09,-1.112e+09,3.48e+08,-1.53e+08,-1.25e+08,-1.7e+07,-5e+06,-6e+06,1.95e+08,7e+07,-2.6e+07,3.7e+07,5.7e+07,2e+06,2.65e+08,2.7e+07,2.92e+08,-6.5e+07,2.27e+08,-7e+06,-7e+06,2.2e+08,-2e+06,2.18e+08,2.18e+08,6.08e+08,5.7e+08,3.8e+07,8.53e+08,8.53e+08,1.036e+09,3.58e+08,3.58e+08,2.855e+09,3.678e+09,3.012e+09,3.02e+08,1.056e+09,9.1e+07,9.81e+08,5.82e+08,6.69e+09,9.545e+09,7.57e+08,7.24e+08,3.3e+07,7.49e+08,4.22e+08,4.22e+08,1.928e+09,3.356e+09,1.425e+09,5.68e+08,2.58e+08,5.99e+08,4.781e+09,6.709e+09,2.42e+08,-3.996e+09,6.543e+09,-3.41e+08,2.448e+09,3.88e+08,2.836e+09,9.545e+09,2.2e+08,8.6e+07,-3.7e+07,-1.5e+07,5e+06,2.59e+08,-1.19e+08,-59697671.8742644,-9e+06,-1.28e+08,-7.4e+07,2.52e+08,-1.67e+08,-1.67e+08,-2.7e+07,-1.6e+07,1.15e+08,1.15e+08,-8e+06,1.07e+08,2.81e+08,4.105e+09,2.12e+08,0.23836,0.13356,0.14932,0.07687,0.02284,0.97248,1.48081,2.36566,0.43007,1.82807,1.81818,12.24301,20.52801,1.77775,0.62054,4,0.0349,0.02534,0.33945,12.44484,17.93333
"42","2020_Q3",94.58734375,"Up",1.193e+09,-9.51e+08,2.42e+08,-1.59e+08,-1.14e+08,-1.8e+07,-6e+06,-2.1e+07,8.3e+07,3.7e+07,-2.6e+07,3.2e+07,3.1e+07,0,1.2e+08,2.7e+07,1.47e+08,-3.5e+07,1.12e+08,-3e+06,-3e+06,1.09e+08,-2e+06,1.07e+08,1.07e+08,5.75e+08,5.39e+08,3.6e+07,7.29e+08,7.29e+08,1.031e+09,3.74e+08,3.74e+08,2.709e+09,3.725e+09,3.072e+09,3.17e+08,1.098e+09,1e+08,9.57e+08,6e+08,6.797e+09,9.506e+09,6.45e+08,5.99e+08,4.6e+07,1.045e+09,5.72e+08,5.72e+08,2.262e+09,2.989e+09,1.386e+09,5.79e+08,2.56e+08,5.51e+08,4.375e+09,6.637e+09,2.52e+08,-3.995e+09,6.576e+09,-3.46e+08,2.487e+09,3.82e+08,2.869e+09,9.506e+09,1.09e+08,8.9e+07,2.7e+07,1.53e+08,1e+06,3.79e+08,-8.8e+07,-8.5e+07,-7999999.99999997,-1.81e+08,-7.4e+07,-1.48e+08,0,0,-1e+07,-2.32e+08,-3.4e+07,-3.4e+07,3e+06,-3.1e+07,1.72e+08,4.034e+09,2.72e+08,0.20285,0.06957,0.08969,0.0373,0.01126,2.54206,1.19761,2.31335,0.42436,0.90418,0.90026,10.08113,21.01574,2.29846,0.62532,5,0.02184,0.03281,0.69159,20.11047,41.6747
"43","2020_Q4",118.49234375,"Up",1.411e+09,-1.084e+09,3.27e+08,-1.41e+08,-1.06e+08,-1.9e+07,-6e+06,-1e+07,1.86e+08,2.9e+07,-2.7e+07,2.9e+07,2.5e+07,2e+06,2.15e+08,2.6e+07,2.41e+08,-3e+07,2.11e+08,-2e+06,-2e+06,2.09e+08,-2e+06,2.07e+08,2.07e+08,6.5e+08,6.15e+08,3.5e+07,7.16e+08,7.16e+08,1.001e+09,4.04e+08,4.04e+08,2.771e+09,3.851e+09,3.147e+09,3.17e+08,1.128e+09,8.7e+07,9.93e+08,6.22e+08,6.998e+09,9.769e+09,8.19e+08,6.99e+08,1.2e+08,9.58e+08,6.32e+08,6.32e+08,2.409e+09,3.14e+09,1.336e+09,5.84e+08,1.64e+08,5.88e+08,4.476e+09,6.885e+09,2.48e+08,-4.106e+09,6.71e+09,-3.44e+08,2.508e+09,3.76e+08,2.884e+09,9.769e+09,2.09e+08,9e+07,-1.27e+08,2.58e+08,1e+06,4.31e+08,-7.2e+07,2e+06,-8e+06,-7.8e+07,-7.3e+07,-1.03e+08,-1.05e+08,-1.05e+08,-9e+06,-2.9e+08,6.3e+07,6.3e+07,1.3e+07,7.6e+07,2.76e+08,4.098e+09,4.92e+08,0.23175,0.13182,0.1467,0.07178,0.02119,2.37681,1.15027,2.38731,0.41949,1.75364,1.74532,11.95358,21.24704,4.16808,0.61843,5,0.03366,0.05915,0.35266,12.49275,18.53763
"44","2021_Q1",131.508524590164,"Up",1.591e+09,-1.215e+09,3.76e+08,-1.64e+08,-1.37e+08,-2e+07,-5e+06,-2e+06,2.12e+08,2.1e+07,-2.4e+07,2.8e+07,2.1e+07,1e+06,2.33e+08,1.338e+09,1.571e+09,-1.17e+08,1.454e+09,0,0,1.454e+09,-1e+06,1.453e+09,1.453e+09,1.488e+09,9.55e+08,5.33e+08,7.92e+08,7.92e+08,9.78e+08,5.05e+08,5.05e+08,3.763e+09,3.939e+09,3.207e+09,3.19e+08,1.166e+09,2.59e+08,8.2e+08,6.43e+08,7.146e+09,1.0909e+10,7.97e+08,7.97e+08,88870348.2332903,4.96e+08,6.8e+08,6.8e+08,1.973e+09,3.227e+09,1.814e+09,6.43e+08,5.09e+08,6.62e+08,5.041e+09,7.014e+09,2.57e+08,-4.494e+09,8.091e+09,-3.28e+08,3.526e+09,3.69e+08,3.895e+09,1.0909e+10,1.454e+09,9.1e+07,-1.153e+09,-1.16e+08,-2e+06,2.74e+08,-8.5e+07,4e+06,1.561e+09,9.79e+08,-7.2e+07,-4.73e+08,-3.78e+08,-3.78e+08,-1e+07,-9.33e+08,3.2e+08,3.2e+08,2e+07,3.4e+08,3.03e+08,3.723e+09,2.19e+08,0.23633,0.13325,0.91326,0.37304,0.13319,0.15072,1.90725,1.80077,0.34128,12.56505,12.46484,13.75843,30.49165,1.89384,0.62263,8,0.16168,0.02322,0.04955,7.37624,10.54245
