"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","foreign_exchange_gain_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","non_cash_items","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","piotroski_f_score","return_on_invested_capital","net_debt_ebit"
"31","2017_Q4",58.6484126984127,"Up",1087026000,-795226000,291800000,-84811000,-63170000,-20850000,206989000,2293000,-4149000,-3968000,2018000,209282000,209282000,-7580000,205747000,205747000,205747000,205747000,2718617000,2019073000,699544000,799763000,799763000,238447000,209667000,142404000,67263000,3966494000,940119000,2148080000,14462000,276423000,1547769000,3088199000,7054693000,452425000,130704000,4396000,317325000,13451000,113141000,44046000,579017000,330209000,633071000,633071000,963280000,1542297000,2788571000,2729681000,-5856000,5512396000,5512396000,7054693000,-4367000,581379000,-97627000,19453000,657000,-77517000,20266000,-5578000,14688000,518550000,518550000,6348000,524898000,343660000,0.26844,0.19042,0.18928,0.03732,0.02916,6.85039,0.27979,0.04871,1.97015,1.94726,10.40894,52.78455,7,0.03171,-11.47383
"32","2018_Q1",68.0591803278689,"Up",339181000,-277111000,62070000.0000001,-97141000,-75485000,-23583000,-35071000,2578000,-6073000,-3474000,-1215000,-32492999.9999999,-32493000,-398765000,-432454000,-432454000,-432454000,-432454000,2988913000,2268534000,720379000,386405000,386405000,201210000,256244000,157902000,98342000,3832772000,1154537000,1659962000,14462000,51417000,1513856000,3031729000,6864501000,506628000,120220000,19581000,366827000,13075000,130573000,48757000,650276000,380465000,735063000,735063000,1115528000,1765804000,2799211000,2297227000,2259000,5098697000,5098697000,6864501000,203073000,433958000,-199228000,-22647000,-968000.000000007,-222843000,56281000,-15842000,40439000,251554000,251554000,-554000,2.51e+08,393540000,0.183,-0.1034,-1.27499,-0.08482,-0.063,5.89407,0.34632,0.05733,-4.14073,-4.21368,3.24765,48.81986,6,-0.06944,74.00339
"33","2018_Q2",65.410625,"Down",567265000,-394467000,172798000,-98534000,-78210000,-20324000,74264000,22059000,-5182000,-2517000,17934000,96323000,96323000,-11625000,82951000,82951000,82951000,82951000,2878474000,1858338000,1020136000,424670000,424670000,239444000,227711000,197206000,30505000,3770299000,1311642000,1557293000,14462000,64427000,1398797000,3069890000,6840189000,444507000,136897000,10164000,297446000,6062000,103169000,35833000,553738000,431817000,695263000,695263000,1127080000,1680818000,2797776000,2380178000,-18583000,5159371000,5159371000,6840189000,-69259000,-45286000,-177725000,-199295000,2331000,-374689000,54027000,-11871000,42156000,-377819000,-377819000,-5074000,-382893000,437879000,0.30462,0.13092,0.14623,0.01608,0.01213,6.80881,0.32578,0.06402,0.79341,0.78031,5.42578,49.34836,4,0.01318,-32.86377
"34","2018_Q3",51.9011111111111,"Down",309318000,-317376000,-8058000,-95576000,-75206000,-20370000,-103634000,8894000,-6065000,2422000,-4328000,-94740000,-94740000,6163999.99999994,-48491000,-48491000,-48491000,-48491000,3134912000,2024491000,1110421000,303090000,303090000,306612000,241426000,157553000,83873000,3986040000,1484177000,1547365000,14462000,93730000,1362078000,3039652000,7025692000,572014000,161139000,29822000,381053000,7741000,235657000,36175000,815412000,448554000,650898000,650898000,1099452000,1914864000,2809377000,2331688000,-30237000,5110828000,5110828000,7025692000,-56700000,129142000,-194898000,-90894000,287660000,1867999.99999994,28031000,-196000,27835000,158845000,158845000,-8003000,150842000,456295000,-0.02605,-0.33504,-0.15677,-0.00948999999999998,-0.00690000000000001,4.88838,0.37467,0.06495,-0.462810000000001,-0.46281,2.95218,48.77861,2,-0.00780000000000001,25.84689
"35","2018_Q4",43.8961904761905,"Down",676220000,-547093000,129127000,-70652000,-48262000,-22390000,58475000,4904000,-3198000,-2383000,-5971000,63379000,63379000,-2396000,57750000,57750000,57750000,57750000,2729932000,1434883000,1295049000,562833000,562833000,347486000,245838000,195552000,50286000,3886089000,1671129000,1534145000,14462000,108636000,1336462000,3208466000,7094555000,637660000,154602000,49941000,433117000,2618000,227906000,12006000,868184000,463485000,591929000,591929000,1055414000,1923598000,2816690000,2389438000,-35171000,5170957000,5170957000,7094555000,-47518000,-225166000,-237997000,-185145000,240000,-422902000,73599000,-407000,73192000,-574876000,-574876000,623000,-574253000,466103000,0.19095,0.08647,0.0854,0.01117,0.00814,4.47611,0.372,0.0657,0.55103,0.54397,6.45223,49.33931,1,0.00927,-38.71448
"36","2019_Q1",50.3439344262295,"Up",691241000,-592931000,98310000,-87302000,-65914000,-21388000,11008000,37177000,48312000,1908000,32102000,48185000,48185000,4416000,52116000,52116000,52116000,52116000,2547266000,1403562000,1143704000,586448000,586448000,444818000,280991000,243061000,37930000,3859523000,1756211000,1502442000,14462000,77682000,1336136000,3261839000,7121362000,695752000,233287000,20885000,441580000,5570000,144135000,14380000,845457000,461221000,602281000,602281000,1063502000,1908959000,2825316000,2441553000,-54466000,5212403000,5212403000,7121362000,-102051000,-185499000,-129218000,242282000,-54999.9999999702,113009000,116331000,-4286000,112045000,39555000.0000002,39555000.0000002,-1104000,38451000,466791000,0.14222,0.01592,0.07539,0.01,0.00732,4.56501,0.36623,0.06555,0.49705,0.48612,6.59267,49.71295,3,0.0083,-188.99664
"37","2019_Q2",60.1692063492063,"Up",531978000,-531866000,112000,-76751000,-54874000,-21877000,-76639000,7819000,-10121000,172000,3509000,-68820000,-68820000,1394000,-67599000,-67599000,-67599000,-67599000,2117214000,1013402000,1103812000,668809000,668809000,519362000,357441000,277163000,80278000,3662826000,1859293000,1734807000,14462000,78283000,1570421000,3594100000,7256926000,637634000,221738000,7865000,408031000,12361000,186521000,19537000,836516000,558356000,732893000,732893000,1291249000,2127765000,2814220000,2373954000,-59013000,5129161000,5129161000,7256926000,-8036000,-303440000,-149168000,9376000,21000,-139771000,103800000,-15962000,87838000,-355373000,-355373000,-625000,-355998000,570717000,0.00021,-0.14406,-0.12707,-0.01318,-0.00932,4.37867,0.41484,0.07864,-0.64352,-0.64352,5.06424,48.82776,1,-0.01051,20.17898
"38","2019_Q3",64.06890625,"Up",584956000,-507774000,77182000,-85766000,-61371000,-24395000,-8584000.00000001,1877000,-8921000,1726000,-4438000,-6706999.99999999,-6707000,-11744000,-18548000,-18548000,-18548000,-18548000,2029129000,1221568000,807561000,397499000,397499000,678349000,307269000,305566000,1703000,3412246000,2006334000,1719227000,14462000,76892000,1558754000,3725561000,7137807000,679429000,242541000,15293000,421595000,28312000,135578000,23341000,843319000,452976000,706388000,706388000,1159364000,2002683000,2826638000,2355406000,-46920000,5135124000,5135124000,7137807000,-76978000,13570000.0000001,-178668000,297675000,2878000,121885000,-6987000,-132000,-7119000,128336000,128336000,-1393000,126943000,481288000,0.13194,-0.01467,-0.03171,-0.00361,-0.0026,4.04621,0.39,0.06743,-0.17603,-0.17603,5.55145,48.73421,6,-0.00293,180.31699
"39","2019_Q4",54.92078125,"Down",546806000,-408443000,138363000,-97059000,-72147000,-24912000,41304000,4288000,-4976000,1209000,-3399000,45592000,45592000,-15035000,30622000,30622000,30622000,30622000,1540551000,878999000,661552000,532319000,532319000,645628000,324992000,319435000,5557000,3043490000,2106968000,1904229000,14462000,66114000,1756868000,4011197000,7054687000,610861000,218088000,15409000,377364000,28240000,121705000,28422000,760806000,452064000,659334000,659334000,1111398000,1872204000,2835973000,2386028000,-39518000,5182483000,5182483000,7054687000,28416000,-317622000,-182735000,145858000,128000,-36749000,0,1023000,1023000,-353348000,-353348000,-4714000,-358062000,480304000,0.25304,0.07554,0.056,0.00591,0.00434,4.00035,0.36126,0.06808,0.29053,0.29053,5.18791,49.16967,4,0.00484,-25.66935
"40","2020_Q1",47.5438709677419,"Down",1399377000,-1065822000,333555000,-88421000,-62994000,-25427000,245134000,27672000,45838000,-816000,21873000,272806000,-90194000,30865000,-59408000,-59408000,-59408000,-59408000,2164247000,1352741000,811506000,658512000,658512000,497096000,279979000,276455000,3524000,3599834000,2181149000,1734706000,14462000,130771000,1524930000,3915855000,7515689000,949351000,218081000,17010000,714260000,17510000,351347000,28130000,1318208000,454187000,646527000,646527000,1100714000,2418922000,2849481000,2326620000,-79334000,5096767000,5096767000,7515689000,-85022000,781693000,-158146000,-143614000,-5903000,-307663000,-6780000,-19000,-6799000,467231000,467231000,3773000,471004000,471697000,0.23836,0.17517,-0.04245,-0.01166,-0.0079,2.73085,0.4746,0.06276,-0.56351,-0.56351,13.2738,48.34541,6,-0.00956,-6.90459
"41","2020_Q2",44.5955555555556,"Down",532124000,-441786000,90338000,-88682000,-63069000,-25613000,1656000,-79000,2541000,-398000,-2222000,1577000,1577000,89215000,90704000,90704000,90704000,90704000,1508695000,929355000,579340000,411390000,411390000,524510000,303248000,302845000,403000,2747843000,2244175000,1957123000,14462000,213600000,1665143000,4201298000,6949141000,491845000,173762000,8287000,309796000,81807000,158783000,21785000,732435000,390588000,657496000,657496000,1048084000,1780519000,2844161000,2408111000,-83650000,5168622000,5168622000,6949141000,-70324000,-504864000,-112546000,223142000,-14150000,96446000,-325000,-13115000,-13440000,-421858000,-421858000,-5774000,-427632000,472395000,0.16977,0.00311,0.17046,0.01755,0.01305,3.75165,0.34449,0.06798,0.85898,0.85259,5.03929,48.9476,4,0.0144,-625.78502
"42","2020_Q3",66.40203125,"Up",642411000,-504951000,137460000,-80564000,-58081000,-22483000,56896000,-4074000,420000.000000004,-1299000,-3195000,52822000,46822000,-10214000,36911000,36911000,36911000,36911000,1546780000,1052700000,494080000,351723000,351723000,552778000,279895000,279304000,590999.999999998,2731176000,2324413000,2017029000,14462000,204942000,1736431000,4341442000,7072618000,505400000,158800000,16951000,329649000,77029000,164607000,34032000,747036000,387727000,711059000,711059000,1098786000,1845822000,2849034000,2445022000,-67260000,5226796000,5226796000,7072618000,16337000,147769000,-108406000,92721999.9999999,524999.999999998,-15159000,-8776000,-453000.000000002,-9229000,123381000,123381000,5552000,128933000,464756000,0.21398,0.08857,0.0574599999999999,0.00706,0.00522,3.65602,0.35315,0.06571,0.34846,0.34667,6.06466,49.34338,7,0.00576,-19.0175799999998
"43","2020_Q4",86.70640625,"Up",927565000,-634550000,293015000,-85852000,-62880000,-22972000,207163000,-13954000,-8866000,-1852000,-3236000,193209000,193209000,-38107000,155037000,155037000,155037000,155037000,1630873000,1277054000,353819000,307232000,307232000,602065000,260323000,224092000,1222000,2800493000,2386591000,1798133000,14462000,210340000,1514862000,4184724000,6985217000,484230000,153925000,32172000,298133000,40412000,206449000,90857000,731091000,220456000,637557000,637557000,858013000,1589104000,2855751000,2600059000,-59697000,5396113000,5396113000,6985217000,-116996000,207897000,-106332000,141319000,48000,35035000,-75238000,-289000,-75527000,167405000,167405000,1473000,168878000,260868000,0.3159,0.22334,0.16714,0.02873,0.0222,3.83057,0.29449,0.03735,1.46305,1.4523,8.75326,50.9221,7,0.02463,-6.61317
"44","2021_Q1",91.7175409836066,"Up",609232000,-449372000,159860000,-102086000,-79416000,-22670000,57774000,-6192000,-1572000,-1341000,-3279000,51582000,51582000,66400000,115703000,115703000,115703000,115703000,1747068000,1227002000,520066000,292456000,292456000,567587000,407424000,222885552.214199,251739000,3014535000,2402285000,1692111000,14462000,104099000,1252132000,4094396000,7108931000,508387000,183349000,14571000,310467000,41540000,297471000,108658000,847398000,237691000,502914000,502914000,740605000,1588003000,2866892000,2715762000,-61726000,5520928000,5520928000,7108931000,139275000,186318000,-89351000,-166275000,8077000,-247549000,15674000,-65000,15609000,-45622000,-45622000,2527000,-43095000,279231000,0.2624,0.09483,0.18992,0.02096,0.01628,3.5574,0.28763,0.03928,1.09176,1.07999,5.74866,52.09504,7,0.01836,-25.40653
"45","2021_Q2",79.1277777777778,"Down",803374000,-618607000,184767000,-83314000,-63441000,-19873000,101453000,3813000,-2040000,-2595000,8448000,105266000,256161000,-46490000,209671000,209671000,209671000,209671000,1535614000,972879000,562735000,817100000,817100000,550270000,233906000,226922000,6984000,3136890000,2397986000,1574034000,14462000,106803000,1399365000,3972020000,7108910000,418921000,186087000,15351000,217483000,2453000,247967000,41437000,669341000,254447000,490342000,490342000,744789000,1414130000,2853997000,2925433000,-84650000,5694780000,5694780000,7108910000,-165101000,-279478000,-90155000,215981000,43000,271838000,-15762000,-15689000,-31451000,-39091000,-39091000,-652000,-39743000,256900000,0.22999,0.12628,0.26099,0.03682,0.02949,4.68653,0.24832,0.03614,1.97639,1.96156,7.57271,53.67978,6,0.03255,-12.604
"46","2021_Q3",92.85140625,"Up",629180000,-455062000,174118000,-61996000,-38061000,-23935000,112122000,-7582000,-3335000,-1e+06,-3247000,104540000,102795000,-20346000,82449000,82449000,82449000,82449000,1765393000,1346888000,418505000,597624000,597624000,603057000,189402000,189402000,-75177749.1180735,3155476000,2396641000,1696356000,14462000,107450000,1523775000,4092997000,7248473000,386553000,148326000,21671000,216556000,3239000,271131000,33887000,660923000,276084000,527831000,527831000,803915000,1464838000,2859214000,3007882000,-83461000,5783635000,5783635000,7248473000,4288000,177249000,-90627000,144114000,-6671000,198250000,22482000,-121000.000000002,22361000,397860000,397860000,1558000,399418000,279323000,0.27674,0.1782,0.13104,0.01426,0.01137,4.77435,0.25327,0.03854,0.77718,0.77134,5.93074,54.51733,7,0.01251,-13.25404
"47","2021_Q4",102.83,"Up",583504000,-458924000,124580000,-71847000,-46421000,-25426000,52733000,-4827000,-1206000,-1018000,-2603000,47906000,46040000,-837000,45203000,45203000,45203000,45203000,1922065000,1367464000,554601000,273343000,273343000,647439000,203478000,203478000,73985830.529156,3046325000,2505921000,1716384000,14462000,108387000,1545600000,4222305000,7268630000,414188000,170041000,12984000,231163000,37129000,263919000,25109000,715236000,241483000,481836000,481836000,723319000,1438555000,2865734000,3053085000,-88744000,5830075000,5830075000,7268630000,9531000,305321000,-164617000,-392031000,175000,-553377000,-53000,-67000,-120000,-248176000,-248176000,781000,-247395000,278612000,0.2135,0.09037,0.07747,0.00775,0.00622,4.25919,0.24675,0.03833,0.42516,0.42286,5.48819,54.83517,4,0.00686,-31.16555
"48","2022_Q1",76.5741935483871,"Down",907319000,-660830000,246489000,-73330000,-43449000,-29881000,173159000,-5993000,-347000,-3362000,-2284000,167166000,167166000,-35796000,131370000,131370000,131370000,131370000,1826043000,1450654000,375389000,454709000,454709000,666299000,244192000,342046267.488758,244192000,3191243000,2649587000,1572916000,14462000,59162000,1453783000,4222503000,7413746000,486367000,193374000,4543000,288450000,3896000,236615000,34747000,726878000,236005000,491312000,491312000,727317000,1454195000,2871458000,3184455000,-96362000,5959551000,5959551000,7413746000,-3047000.00000001,34467000,-194892000,179395000,-254000.000000001,-15751000,49872000,-111999.999999999,49760000,68476000,68476000,1487000,69963000,239901000,0.27167,0.19085,0.14479,0.02204,0.01772,4.39034,0.24401,0.03236,1.23561,1.22892,8.53385,56.05296,8,0.01963,-9.16003000000001
"49","2022_Q2",71.183064516129,"Down",367040000,-355577000,11463000,-71174000,-44066000,-27108000,-59711000,-4950000,-540000,-4198000,-212000,-64661000,-62754000,19499000,-43255000,-43255000,-43255000,-43255000,1549454000,1326363000,223091000,322121000,322121000,840750000,282668000,663271302.466275,282668000,2994993000,2785824000,1618408000,14462000,61794000,1279216000,4404232000,7399225000,485967000,146233000,4759000,334975000,4701000,244322000,25399000,734990000,247354000,541706000,541706000,789060000,1524050000,2863425000,3141200000,-129450000,5875175000,5875175000,7399225000,4844000,-138839000,-154761000,149945000,12000,-2944000,17269000,-11505000,5764000,-136019000,-136019000,15162000,-120857000,252055000,0.03123,-0.16268,-0.11785,-0.00736,-0.00585,4.07488,0.25941,0.03407,-0.40681,-0.40423,3.45199,55.25572,1,-0.00649,21.72797
"50","2022_Q3",107.1584375,"Up",620955000,-644155000,-23200000,-77354000,-52125000,-25229000,-100554000,-5223000,-356000,-2984000,-1883000,-105777000,139604000,-83799000,55805000,55805000,55805000,55805000,1845161000,1701217000,143944000,489869000,489869000,810461000,237926000,1225317604.93255,237926000,3383417000,2988979000,1046973000,14462000,61732000,731785000,4035952000,7419369000,534609000,160963000,29441000,344205000,5150000,263795000,36329000,803554000,170017000,549971000,549971000,719988000,1523542000,2869052000,3197005000,-170230000,5895827000,5895827000,7419369000,-186145000,88018000,-198687000,77104000,60000,141231000,119938000,-86000,119852000,349101000,349101000,24772000,373873000,175167000,-0.03736,-0.16193,0.08987,0.00947,0.00752,4.21057,0.25841,0.02361,0.52357,0.52127,5.82586,55.31521,4,0.00843,16.60793
