"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"31","2018_Q2",2.02375,"Up",43071000,-5157000,37914000,-34693000,-26649000,-5463000,-2581000,3221000,-555000,-546000,2666000,3628000,6294000,-2791000,3503000,3503000,3503000,3503000,16207000,16207000,27386000,27386000,5590000,4308000,49183000,15621000,230218000,45414000,173216000,11277000,245839000,295022000,17892000,16416000,75142000,75142000,93034000,37499000,19338000,9643000,6717000,56837000,149871000,378893000,-276498000,67764000,-25008000,145151000,145151000,295022000,3503000,2581000,-1999000,2833000,6918000,1695000,1695000,-4e+06,-325000,-4325000,4288000,4288000,-149000,4139000,5802000,37499000,13121000,0.88027,0.07478,0.08133,0.02413,0.01187,3.74565,0.52866,1.03252,0.12711,0.07259,0.07153,0.89252,3.00781,0.27189,0.01734,0.06496,3.66977,6.61037
"32","2018_Q3",2.10873015873016,"Up",41595000,-4749000,36846000,-32819000,-25174000,-5129000,-2516000,4027000,-513000,-489000,3514000,-2957000,556999.999999998,-762000,-205000.000000001,-205000.000000002,-205000.000000002,-205000.000000002,9549000,9549000,21980000,21980000,9957000,7709000,41486000,15259000,204788000,3.9e+07,156174000,9307000,220047000,261533000,19512000,18244000,64194000,64194000,83706000,18547000,16835000,8434000,6664000,35382000,119088000,380494000,-276741000,67559000,-28867000,142445000,142445000,261533000,-205000.000000002,2516000,3093000,-4025000,1379000,11611000,11611000,-1.9e+07,-142000,-19237000,-6247000,-6247000,-411000,-6658000,6543000,18547000,14891000,0.88583,0.09681,-0.00493,-0.00144,-0.000780000000000001,-72.63902,0.49562,0.83603,0.07092,-0.00421000000000001,-0.00421000000000001,0.85372,2.92363,0.30563,-0.00115,0.08374,1.37521,2.23442
"33","2018_Q4",1.72714285714286,"Down",38917000,-4424000,34493000,-30576000,-22817000,-5219000,-2540000,3917000,-344000,-335000,3573000,-2450000,1123000,-193000,930000,930000,930000,930000,4659000,4659000,19080000,19080000,9724000,7440000,33463000,14552000,203390000,3.9e+07,155348000,8811000,217942000,251405000,20232000,19035000,55057000,55057000,75289000,16596000,15584000,9667000,4549000,32180000,107469000,382744000,-277537000,68490000,-29761000,143936000,143936000,251405000,930000,2540000,2809000,-5886000,393000,-2368000,-2368000,-2e+06,-80000,-2813000,-4788000,-4788000,-102000,-4890000,6457000,16596000,-1604000,0.88632,0.10065,0.0239,0.00646,0.0037,-1.72473,0.44446,0.74664,0.06601,0.01907,0.01846,0.79781,2.95072,-0.03288,0.00528,-0.00911,1.84869,3.04749
"34","2019_Q1",2.30803278688525,"Up",37987000,-4014000,33973000,-29196000,-22670000,-4401000,-2125000,4777000,-678000,-684000,4099000,-2471000,1628000,1318000,2946000,2946000,2946000,2946000,6472000,6472000,22850000,22850000,9533000,7330000,38855000,15890000,203640000,3.9e+07,153974000,10530000,219530000,258385000,26198000,25030000,54723000,54723000,80921000,17288000,14821000,10444000,3014000,32109000,113030000,383999000,-278843000,71435000,-31236000,145355000,145355000,258385000,2946000,2125000,2375000,-1218000,6228000,-20991000,-3449000,-977000.000000002,-650000,-799000,1980000,1980000,-167000,1813000,6902000,17288000,-16625000,0.89433,0.12575,0.07755,0.02027,0.0114,-5.64325,0.48016,0.77761,0.06691,0.06097,0.05853,0.78615,3.00817,-0.34406,0.0166,-0.09368,1.56708,2.26418
"35","2019_Q2",3.46857142857143,"Up",37120000,-3825000,33295000,-28828000,-22207000,-4196000,-2425000,4467000,-105000,-105000,4362000,-875000,3487000,-1899000,1588000,1588000,1588000,1588000,4694000,4694000,25157000,25157000,7207000,6545000,37058000,16646000,221872000,3.9e+07,155382000,27347000,238518000,275576000,18660000,17532000,63880000,59954000,82540000,16325000,27896000,10402000,16436000,44221000,126761000,223678000,-118066000,73023000,-29820000,148815000,148815000,275576000,1588000,2425000,1440000,-2215000,3238000,-3052000,-3052000,-1e+06,-532000,-2023000,-1837000,-1837000,59000,-1778000,6892000,16325000,3524000,0.89696,0.12034,0.04278,0.01067,0.00576,2.21914,0.44897,0.8518,0.05924,0.03301,0.03155,0.77168,3.09367,0.07326,0.00823,0.01826,1.68761,2.60376
"36","2019_Q3",3.71328125,"Up",37359000,-3916000,33443000,-28316000,-21564000,-4391000,-2361000,5127000,-219000,-219000,4908000,-1362000,3546000,-485000,3061000,3061000,3061000,3061000,7613000,7613000,18960000,18960000,3716000,3087000,30289000,17470000,219575000,3.9e+07,153823000,26612000,237045000,267334000,18051000,17028000,61035000,56936000,79086000,9362000,27582000,10543000,15966000,36944000,116030000,225301000,-118584000,76084000,-31497000,151304000,151304000,267334000,3061000,2361000,2344000,3371000,11137000,-551000,-551000,-7e+06,-518000,-7518000,3068000,3068000,-149000,2919000,7488000,9362000,10793000,0.89518,0.13724,0.08193,0.02023,0.01145,3.52597,0.38299,0.76687,0.03502,0.06257,0.05892,0.76363,3.0927,0.22061,0.01626,0.05733,0.23357,0.34114
"37","2019_Q4",3.39859375,"Down",37176000,-4250000,32926000,-27653000,-21117000,-4121000,-2415000,5273000,-188000,-188000,5085000,0,5085000,-704000,4381000,4381000,4381000,4381000,4454000,4454000,15425000,15425000,4123000,3178000,24002000,18922000,215756000,3.9e+07,151949000,24727000,234678000,258680000,17028000,16209000,53993000,50147000,71021000,7398000,26976000,10953000,15073000,34374000,105395000,226351000,-120171000,80465000,-33360000,153285000,153285000,258680000,4381000,2415000,1571000,-3754000,4613000,-4059000,-4059000,-2e+06,-316000,-3587000,-3033000,-3033000,-126000,-3159000,7688000,7398000,579000,0.88568,0.14184,0.11784,0.02858,0.01694,0.13216,0.33796,0.68758,0.0286,0.08945,0.08342,0.75903,3.12967,0.01182,0.02335,0.00309,0.38293,0.55832
"38","2020_Q1",2.68112903225806,"Down",5617000,-1542000,4075000,-6863000,-3641000,-1995000,-1227000,-2788000,-191000,-191000,-2979000,286000,-2693000,294000,-2399000,3521000,3521000,3521000,5381000,5381000,21158000,21158000,6533000,4180000,33072000,20352000,224897000,3.9e+07,156059000,29831000,245249000,278321000,19892000,18908000,54211000,50568000,74103000,9435000,33588000,12823000,19707000,43023000,117126000,227923000,-121466000,83986000,-29248000,161195000,161195000,278321000,3521000,2542000,3633000,-5761000,3935000,-6526000,-3843000,2e+06,-3057000,705000.000000002,797000,797000,130000,927000,-245999.999999999,9435000,-12827000,0.72548,-0.49635,0.62685,0.02184,0.01265,-3.643,0.4463,0.72661,0.0339,0.07193,0.06805,0.11475,3.29292,-0.26203,0.01724,-0.06281,-16.47967,-1.45409
"39","2020_Q2",2.57047619047619,"Down",36633000,-4176000,32457000,-30507000,-23089000,-4165000,-3253000,1950000,-183000,-183000,1767000,-9202000,-7435000,885000,-6550000,-6550000,-6550000,-6550000,27823000,27823000,22982000,22982000,5899000,3827000,56704000,21126000,209898000,31800000,152305000,25786000,231024000,287728000,12704000,11857000,58255000,54838000,70959000,36472000,30698000,11530000,18477000,67170000,138129000,229733000,-124457000,77436000,-33113000,149599000,149599000,287728000,-6550000,3253000,9692000,-3462000,2933000,-4288000,-4288000,2.7e+07,-1348000,24009000,22654000,22654000,-212000,22442000,5203000,36472000,-3432000,0.886,0.05323,-0.1788,-0.04378,-0.02276,0.52397,0.79911,0.92333,0.12676,-0.13331,-0.13331,0.74557,3.04471,-0.06985,-0.03022,-0.01583,1.66231,4.43538
"40","2020_Q3",2.480625,"Down",20348000,-2807000,17541000,-17206000,-12142000,-2977000,-2087000,335000,-166000,-166000,169000.000000001,0,169000.000000004,8000,176999.999999998,1862000,1862000,1862000,27475000,27475000,18119000,18119000,5359000,3227000,50953000,22256000,209064000,31800000,152082000,25174000,231320000,282273000,15454000,14426000,49888000,46644000,65342000,36509000,31157000,11987000,18645000,67666000,133008000,231350000,-128065000,79298000,-33318000,149265000,149265000,282273000,1862000,3019000,1973000,233000,7087000,-4117000,-3917000,0,-175000,-3608000,-437999.999999996,-437999.999999996,89999.9999999999,-348000,3354000,36509000,-538000,0.86205,0.01646,0.0915100000000001,0.01247,0.0066,-0.28894,0.77979,0.89109,0.12934,0.0384500000000001,0.03845,0.42017,3.0822,-0.01111,0.00858000000000001,-0.00248,2.6935,26.96716
"41","2020_Q4",2.05,"Down",27149000,-3549000,23600000,-21471000,-15384000,-3697000,-2390000,2129000,-273000,-273000,1856000,-30607000,-28751000,1758000,-26993000,-27322000,-27322000,-27322000,26805000,26805000,16698000,16698000,6080000,3585000,49583000,23695000,179867000,23800000,131132000,24926000,203562000,253145000,16894000,15928000,44734000,41410000,61628000,36546000,29854000,10597000,18749000,66400000,128028000,232877000,-129137000,51976000,-30599000,125117000,125117000,253145000,-27322000,2807000,31851000,-2912000,4424000,-4131000,-4131000,0,-6149000,-1073000,-780000,-780000,110000,-670000,4936000,36546000,-3865000,0.86928,0.07842,-1.00637,-0.21837,-0.10793,0.14146,0.80455,1.02327,0.14437,-0.56984,-0.56984,0.56623,2.60949,-0.08061,-0.14266,-0.02018,1.97346,4.57539
"42","2021_Q1",2.8472131147541,"Up",27037000,-3754000,23283000,-22280000,-15703000,-4048000,-2529000,1003000,-209000,-209000,794000,-3.72529029846191e-09,794000,175000,969000,1995000,1995000,1995000,4542000,4542000,16134000,16134000,12809000,4101000,33485000,23033000,184469000,23800000,128100000,18371000,207502000,240987000,15308000,15308000,50077000,35547000,65385000,19583000,28449000,9765000,17649000,48032000,113417000,234268000,-132150000,53971000,-28519000,127570000,127570000,240987000,1995000,2940000,222000.000000007,-918000,4239000,-3568000,-3568000,-1.7e+07,-2870000,-19870000,-19199000,-19199000,34000,-19165000,3943000,19583000,-718000,0.86115,0.0371,0.0737900000000002,0.01564,0.00828,-0.3599,0.51212,0.88906,0.08126,0.0419100000000001,0.04191,0.56797,2.67987,-0.01508,0.01136,-0.00409,3.81461,14.99601
"43","2021_Q2",3.1684126984127,"Up",26676000,-3702000,22974000,-23158000,-15925000,-3602000,-3631000,-184000,-195000,-195000,-379000,2513000,2134000,-122000,2012000,2671000,2671000,2671000,9832000,7319000,23645000,23645000,4363000,3768000,37840000,24114000,183353000,23800000,133684000,25869000,207467000,245307000,13806000,13007000,55173000,51762000,68979000,19619000,27279000,9613000,16628000,46898000,115877000,236047000,-135037000,56642000,-28222000,129430000,129430000,245307000,2671000,4096000,-1022000,679000,6424000,-3703000,-3703000,-1669000,-1343000,-3012000,-291000,-291000,-30000,-321000,3912000,19619000,1010000,0.86122,-0.0069,0.10013,0.02064,0.01089,0.37814,0.54857,0.89529,0.07998,0.05684,0.05495,0.56766,2.75424,0.02149,0.01515,0.00573,2.50179,-53.19022
"44","2021_Q3",3.92265625,"Up",28721000,-3593000,25128000,-24640000,-17090000,-3510000,-4040000,488000,-87000,-87000,401000,-674000,-273000,61000,-212000,-30211000,-30211000,-30211000,9744000,7905000,13727000,13727000,4e+06,4e+06,27471000,21982000,169908000,23800000,128100000,18008000,195530000,223001000,14322000,13325000,44476000,42230000,58798000,15656000,21049000,8932000,11159000,36705000,95503000,238347000,-137280000,26431000,-20247701.565914,127498000,127498000,223001000,-30211000,4349000,32651000,3134000,9923000,-3119000,-3119000,-2331000,-3927000,-6258000,546000,546000,40000,586000,4837000,15656000,4791000,0.8749,0.01699,-1.05188,-0.23695,-0.13547,-0.15858,0.46721,0.74905,0.07021,-0.63967,-0.61527,0.60812,2.69957,0.10144,-0.18399,0.02918,1.22225,12.11475
"45","2021_Q4",5.29296875,"Up",30758000,-3791000,26967000,-27263000,-18848000,-4056000,-4359000,-296000,-150000,-150000,-446000,-2560000,-3006000,572000,-2434000,-2434000,-2434000,-2434000,3486000,3486000,15267000,15267000,4737000,4563000,23490000,21201000,167852000,23800000,128100000,15952000,195693000,219183000,16142000,16142000,44588000,42486000,60730000,17693000,20601000,9174000,10510000,38294000,99024000,240501000,-144339000,23997000,-8234880.93954837,120159000,120159000,219183000,-2434000,4359000,4963000,2388000,9276000,-3885000,-8638000,2e+06,-7057000,-5057000,-4419000,-4419000,0,-4419000,4063000,17693000,1994000,0.87675,-0.00962,-0.07913,-0.02026,-0.0111,-0.81923,0.38679,0.82411,0.08072,-0.05292,-0.05725,0.66868,2.61227,0.04335,-0.01536,0.01258,3.49668,-47.99662
"46","2022_Q1",5.73,"Up",33748000,-4002000,29746000,-29587000,-20421000,-4852000,-4314000,159000,-45000,-235000,114000,4.65661287307739e-10,114000,118000,232000,232000,232000,232000,1540000,1540000,18385000,18385000,4531000,4177000,24456000,20581000,169772000,23800000,128100000,17872000,197122000,221578000,15859000,15859000,48534000,46146000,64393000,22730000,18093000,9315000,8778000,40823000,105216000,242592000,-150398000,24229000,-60999.9999999925,116362000,116362000,221578000,232000,4314000,1867000,-3455000,2958000,-3600000,-3844000,5e+06,-6060000,-1060000,-1946000,-1946000,-7.27595761418343e-12,-1946000,4473000,22730000,-2700000,0.88142,0.00471,0.00686999999999974,0.00198999999999999,0.00105000000000001,-11.63793,0.37979,0.90421,0.10258,0.00539000000000003,0.00539000000000003,0.78469,2.70559,-0.06278,0.00147999999999999,-0.01718,4.73731,133.27044
"47","2022_Q2",5.93903225806452,"Up",34334000,-4099000,30235000,-29607000,-21707000,-3942000,-3958000,628000,-90000,-245000,538000,2664486.07935107,538000,763000,1301000,1301000,1301000,1301000,4966000,4966000,22205000,22205000,3557000,3557000,30728000,20712000,170047000,23800000,128100000,18147000,197691000,228419000,12515000,11916000,58211000,55787000,70726000,32767000,16721000,7492000,8230000,49488000,120214000,244827000,-162099000,25530000,-53000,108205000,108205000,228419000,1301000,3958000,294000,3665000,9218000,-4091000,-4091000,2501000,-4202000,-1701000,3426000,3426000,218545.47017959,3426000,4586000,32767000,3397000,0.88061,0.01829,0.03789,0.01202,0.0057,2.61107,0.43447,1.11098,0.14345,0.02883,0.0267,0.76085,2.39784,0.07528,0.00825,0.02154,6.06215,44.26911
"48","2022_Q3",5.2359375,"Down",37057000,-4181000,32876000,-31971000,-23383000,-4360000,-4228000,905000,63000,-298000,968000,320000,1288000,162000,1450000,1450000,1450000,1450000,3615000,3615000,18342000,18342000,5730000,5730000,27687000,20941000,170360000,23800000,128100000,18460000,198534000,226221000,17609000,16987000,55788000,53371000,73397000,3e+07,14719000,6223000,7723000,44719000,118116000,247406000,-166170000,26980000,-111000,108105000,108105000,226221000,1450000,4228000,736000,3816000,10230000,-4439000,-4119000,4499000,-12085000,-7462000,-1351000,-1351000,805636.410538772,-1351000,5133000,3e+07,4348000,0.88717,0.02442,0.03913,0.01341,0.00641,2.99862,0.37722,1.0926,0.13261,0.03213,0.02976,0.82119,2.39563,0.09635,0.00949,0.02845,5.14027,29.1547
