"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"39","2020_Q2",0.332380952380952,"Up",729000,-539000,190000,-461000,-427000,-34000,-271000,-54000,-54000,16255.1586143879,-325000,-325000,0,-325000,-325000,-325000,-325000,581000,581000,396000,396000,723000,299000,262000,1999000,626000,199000,85000,825000,2824000,2168000,695000,1473000,1124000,356000,356000,3648000,64000,64000,64000,3712000,0,21990000,-22878000,-888000,-888000,2824000,-325000,20000,64000,672000,431000,146000,146000,577000,577000,577000,-251000,1124000,0.26063,-0.37174,-0.44582,0.36599,-0.11508,0.54797,-4.18018,0.39802,-0.00957,-0.00957,0.02146,-0.02614,-1.08333,-2.16335,-2.00369
"40","2020_Q3",0.50609375,"Up",1757000,-1175000,582000,-566000,-548000,-18000,16000.0000000001,-37000,-37000,0,-21000,-21000,-1.81898940354586e-12,-21000,-21000,-21000,-21000,225000,225000,350000,350000,769000,167000,133000,1511000,608000,191000,79000,799000,2310000,1424000,627000,797000,1121000,590000,590000,3135000,58000,58000,58000,3193000,0,22017000,-22900000,-883000,-883000,2310000,-21000,21000,98000,-687000,-589000,233000,233000,-356000,-356000,-356000,37000,1121000,0.33125,0.0091099999999999,-0.01195,0.0237800000000001,-0.00909000000000001,0.48198,-3.61608,0.48528,-0.000579999999999999,-0.000580000000000001,0.04893,-0.02459,-0.0709499999999998,24.21622,56
"41","2020_Q4",0.1653125,"Down",883000,-648000,235000,-407000,-383000,-24000,-172000,-42000,-42000,-11628.3492471733,-214000,-214000,-2000,-216000,-216000,-216000,-216000,61000,61000,364000,364000,602000,120000,85000,1147000,594000,180000,180000,774000,1921000,1279000,604000,675000,1120000,573000,573000,2972000,49000,49000,49000,3021000,0,22017000,-23117000,-1100000,-1100000,1921000,-217000,19000,44000,13000,-141000,-19000,-19000,-164000,-164000,-164000,-153000,1120000,0.26614,-0.19479,-0.24462,0.19636,-0.11244,0.38594,-2.74636,0.58303,-0.00601,-0.00601,0.02455,-0.03059,-3.13043,-6.92157000000001,-6.15698
"42","2021_Q1",0.179180327868852,"Up",778000,-547000,231000,-425000,-411000,-14000,-194000,-40000,-42000,2000,-234000,-234000,4.54747350886464e-13,-234000,-234000,-234000,-234000,98000,98000,407000,407000,536000,139000,104000,1180000,576000,170000,62000,746000,1926000,1304000,577000,727000,352000,365000,365000,2021000,1161000,1161000,1161000,3182000,0,22094000,-23350000,-1256000,-1256000,1926000,-233000,19000,45000,-14999.9999999999,-184000,269000,221000,37000,37000,37000,-175000,352000,0.29692,-0.24936,-0.30077,0.18631,-0.1215,0.58387,-2.53344,0.18276,-0.00602,-0.00602,0.02002,-0.03232,-0.910510000000001,-1.45143,-1.30928
"43","2021_Q2",0.0798412698412698,"Down",566000,-461000,105000,-614000,-594000,-20000,-509000,-47000,-47000,42258.2383743053,-556000,-556000,0,-556000,-556000,-556000,-556000,63000,63000,337000,337000,507000,141000,106000,1048000,560000,159000,53000,719000,1767000,1266000,629000,637000,1290000,611000,611000,3167000,31000,31000,31000,3198000,0,22475000,-23906000,-1431000,-1431000,1767000,-556000,18000,103000,76000,-359000,324000,324000,-35000,-35000,-35000,-491000,1290000,0.18551,-0.89929,-0.98233,0.38854,-0.31466,0.33091,-2.2348,0.73005,-0.01431,-0.01431,0.01457,-0.03683,5.05455,-2.49898,-2.41061
"44","2021_Q3",0.0478125,"Down",529000,-393000,136000,-380000,-359000,-21000,-244000,999.999999999985,-49000,50000,-243000,-243000,-2000,-245000,-245000,-245000,-245000,30000,30000,387000,387000,475000,61000,25000,953000,544000,147000,43000,691000,1644000,1172000,593000,579000,1577000,358000,358000,3107000,30000,30000,30000,3137000,0,22658000,-24151000,-1493000,-1493000,1644000,-245000,18000,41999.9999999999,-72000.0000000001,-257000,224000,224000,-33000,-33000,-33000,-226000,1577000,0.25709,-0.46125,-0.46314,0.1641,-0.14903,0.30673,-2.10114,0.95925,-0.00598,-0.00598,0.01291,-0.03645,-2.14912,-6.84513,-6.34016
"45","2021_Q4",0.04390625,"Down",614000,-430000,184000,-388000,-366000,-22000,-204000,-49000,-49000,0,-253000,663000,4000,667000,667000,667000,667000,41000,41000,545000,545000,419000,604000,31000,1609000,529000,137000,35000,666000,2275000,1218000,667000,551000,1736000,34000,34000,2988000,13000,13000,13000,3001000,0,22762000,-23488000,-726000,-726000,2275000,663000,17000,-831000,-66000,-217000,228000,228000,11000,11000,11000,-187000,1736000,0.29967,-0.33225,1.08632,-0.91873,0.29319,0.53849,-4.13361,0.76308,0.01671,0.01671,0.01538,-0.01819,0.652,-9.06417,-8.30882
"46","2022_Q1",0.0346774193548387,"Down",509000,-386000,123000,-345000,-323000,-22000,-222000,578000,570000,8000,356000,-325000,-4000,-329000,-329000,-329000,-329000,115000,115000,766000,766000,407886.281229466,459000,24000,1340000,517000,26000,26000,543000,1883000,1246000,682000,564000,1365000,35000,35000,2646000,3000.00000000006,3000.00000000006,181000,2827000,0,22869000,-23813000,-944000,-944000,1883000,-325000,15000,589000,-119000,160000,-86000,-86000,74000,74000,74000,-207000,1543000,0.24165,-0.43615,-0.64637,0.34852,-0.17472,0.50642,-2.9947,0.81944,-0.00925,-0.00925,0.01431,-0.02655,-0.546510000000001,-6.89855,-6.43243
"47","2022_Q2",0.0232258064516129,"Down",351000,-323000,28000,-359000,-337000,-22000,-331000,-48000,-48000,28202.302125024,-379000,-379000,0,-379000,-379000,-379000,-379000,17000,17000,138000,138000,419000,464000,35000,1038000,504000,23000,23000,527000,1565000,1386000,843000,543000,218000,27000,27000,1631000,1242000,1242000,1242000,2873000,0,22884000,-24192000,-1308000,-1308000,1565000,-379000,13000,14000,339000,-13000,-85000,-85000,-98000,-98000,-98000,-318000,218000,0.07977,-0.94302,-1.07977,0.28976,-0.24217,0.63642,-2.19648,0.1393,-0.00861,-0.00861,0.00797,-0.02971,-2.49342,-0.63208,-0.60725
"48","2022_Q3",0.02390625,"Up",185000,-258000,-73000,-274000,-256000,-18000,-347000,-51000,-52000,999.999999999993,-398000,-398000,-2000,-4e+05,-4e+05,-4e+05,-4e+05,2000,2000,83000,83000,401000,256000,33000,742000,491000,23000,23000,514000,1256000,1432000,885000,547000,1465000,18000,18000,2915000,2000,2000,49000,2964000,0,22884000,-24592000,-1708000,-1708000,1256000,-4e+05,13000,-17999.9999999999,336000,-69000,54000,54000,-15000,-15000,-15000,-334000,1512000,-0.39459,-1.87568,-2.16216,0.23419,-0.31847,0.25455,-1.73536,1.20382,-0.00909,-0.00909,0.0042,-0.0388,2.06186,-4.52096,-4.35159
