"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_affiliates_net_of_taxes","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"30","2017_Q3",19.1126984126984,"Down",577070000,-522517000,-52206000,-31866000,-438445000,54553000,-23637000,-23637000,30916000,30916000,-1400000,1426000,30942000,30942000,50000,30992000,30992000,65901000,65901000,342361000,342361000,298803000,42467000,256336000,707065000,2049613000,1537090000,268345000,787803000,448680000,3586703000,4293768000,315149000,98027000,217122000,255404000,570553000,2397775000,98741000,5216348.13269216,98741000,2496516000,3067069000,1181278000,73299000,-27694000,1226883000,-184000,1226699000,4293768000,30992000,31866000,10122000,-70148000,2832000,-33128000,-905000,-388499000,75768000,2219000.00000006,2218999.99999994,-874000,18758000,-366909000,-366909000,-772000,-367681000,86419000,2653179000,-15457000,0.09453,0.05371,0.02526,0.00722,-0.49874,1.23926,2.50026,0.61791,0.25377,0.25218,4.72524,10.04612,-0.12657,0.02246,-0.00389,29.93876,47.42687
"31","2017_Q4",17.8685714285714,"Down",566759000,-503857000,-49074000,-31649000,-423134000,62902000,-24071000,-24071000,38831000,38831000,-1720000,1342000,38453000,38453000,36000,38489000,38489000,51526000.0000001,51526000.0000001,386898000,386898000,292056000,36073000,255983000,730480000,2055982000,1582879000,261790000,781972000,507286000,3638861000,4369341000,314718000,91617000,223101000,260046000,574764000,2487681000,92804000,7523728.98546622,92804000,2580485000,3155249000,1186883000,53495000,-26068000,1214310000,-218000,1214092000,4369341000,38489000,31649000,11111000,-74058000,7191000,-36414000,-761000,-36264000,77410000,776000,776000,-1913000,17980000,-11093000,-11093000,-1044000,-12137000,94551000,2747727000,-14201000,0.11099,0.06791,0.0317,0.00881,-0.36896,1.27092,2.59885,0.62887,0.31484,0.31321,4.63603,9.93292,-0.11616,0.02387,-0.0035,28.51584,42.86352
"32","2018_Q1",15.5050819672131,"Down",568977000,-502519000,-46477000,-31833000,-424209000,66458000,-25617000,-25617000,40841000,40841000,-12368000,7790000,36263000,36263000,94000,36357000,36357000,81377000,81377000,389916000,389916000,108416000,45342000,63074000,579709000,2078123000,1569076000,255339000,778951000,508509000,3647199000,4226908000,340643000,92587000,248056000,28920000,369563000,2552967000,105459000,8757000,96702000,2658426000,3027989000,1192146000,31541000,-24446000,1199241000,-322000,1198919000,4226908000,36357000,31833000,15323000,239624000,323137000,-41672000,-27183000,-68856000,-164135000,291000.000000007,291000,-91999.9999999995,-222247000,32034000.0000001,32034000.0000001,-3876000,28158000.0000001,98291000,2581887000,308611000,0.1168,0.0639,0.03032,0.0086,8.48835,1.56863,2.5256,0.61082,0.29702,0.29559,4.64832,9.79732,2.52123,0.02436,0.07941,25.43987,37.62542
"33","2018_Q2",17.52125,"Up",564917000,-500467000,-41832000,-31926000,-426709000,64450000,-26770000,-26770000,37680000,37680000,-4755000,1995000,34920000,34920000,67000,34987000,34987000,49235000,49235000,384637000,384637000,102350000,31177000,71173000,536222000,2102011000,1555076000,249316000,776395000,503088000,3657087000,4193309000,323363000,84310000,239053000,25189000,348552000,2605142000,101043000,8757000,92286000,2706185000,3054737000,1194018000,8209000,-23092000,1138953000,-381000,1138572000,4193309000,34987000,31386000,6551000,-7823000,65101000,-48350000,3999000,-44351000,53400000,-39782000,4e+05,-4356000,-48976000,-28226000,-28226000,3930000,-24296000,95836000,2630331000,44418000,0.11409,0.06193,0.03073,0.00834,1.26956,1.53843,2.68295,0.62727,0.28733,0.28607,4.63929,9.35347,0.36478,0.02409,0.01148,26.93243,40.04804
"34","2018_Q3",19.1361904761905,"Up",583509000,-516558000,-47448000,-31313000,-437797000,66951000,-28252000,-28252000,38699000,38699000,-3715000,2341000,37325000,37325000,96000,37421000,37421000,65451000,65451000,377768000,377768000,103881000,35763000,68118000,547100000,2124553000,1534917000,243549000,776379000,488712000,3659470000,4206570000,348650000,90327000,258323000,25127000,373777000,2641217000,98639000,8757000,89882000,2739856000,3113633000,1200178000,-11068000,-25229000,1093435000,-498000,1092937000,4206570000,37421000,31853000,7373000,38505000,115152000,-53200000,-1453000,-54653000,50110000,-29028000,1236000,-1025000,-36722000,23777000,23777000,-5811000,17966000,98804000,2666344000,87824000,0.11474,0.06413,0.03424,0.0089,2.34692,1.46371,2.84887,0.63385,0.31113,0.31014,4.8515,9.0912,0.7302,0.02442,0.02276,26.32376,38.84771
"35","2018_Q4",17.2787301587302,"Down",583530000,-513750000,-47647000,-31297000,-434806000,69780000,-29563000,-29563000,40217000,40217000,-3723000,2735000,39229000,39229000,60000,39289000,39289000,66007000,66007000,403610000,403610000,101938000,37587000,64351000,571555000,2148005000,1522779000,237947000,776368000,482187000,3670784000,4242339000,333340000,82284000,251056000,340143000,673483000,2390473000,97971000,8757000,89214000,2488444000,3161927000,1206230000,-29018000,-25785000,1080981000,-569000,1080412000,4242339000,39289000,31297000,14384000,-4.5e+07,39970000,-54082000,1039000,-53043000,72821000,549000,549000,-61000,16070000,2997000,2997000,-3511000,-514000,101077000,2730616000,5718000,0.11958,0.06733,0.03636,0.00926,0.14554,0.84866,2.92659,0.64366,0.32828,0.32659,4.87571,9.03219,0.04778,0.02469,0.00146,26.36217,38.18586
"36","2019_Q1",16.6167213114754,"Down",599430000,-535946000,-47588000,-31898000,-456460000,63484000,-30763000,-30763000,32721000,32721000,-1924000,2556000,33353000,33353000,39000,33392000,33392000,31255000,31255000,445526000,445526000,124981000,57768000,67213000,601762000,2158610000,1497746000,232360000,776359000,459103000,3656356000,4258118000,373211000,93032000,280179000,332027000,705238000,2412244000,100732000,13681000,87051000,2512976000,3218214000,1212164000,-52868000,-23618000,1040503000,-599000,1039904000,4258118000,33392000,31898000,11105000,-22143000,54252000,-34160000,-2276000,-36436000,25765000,-24493000,236000,632000,-55338000,-37522000,-37522000,-4707000,-42229000,95382000,2744271000,41003000,0.10591,0.05571,0.03211,0.00784,1.22793,0.85328,3.09472,0.64448,0.28004,0.27891,5.02705,8.72605,0.34387,0.02333,0.01055,28.44369,42.73543
"37","2019_Q2",16.8596825396825,"Up",610667000,-535890000,-46424000,-32469000,-456997000,74777000,-31884000,-31884000,42893000,42893000,-4840000,2596000,40649000,40649000,56000,40705000,40705000,67728000,67728000,423596000,423596000,113289000,43535000,69754000,604613000,2150627000,1628826000,226782000,776361000,595759000,3779453000,4384066000,340711000,93458000,247253000,332864000,708785000,2448545000,199832000,13681000,186151000,2648377000,3357162000,1215176000,-71076000,-21366000,1027559000,-655000,1026904000,4384066000,40705000,32469000,11693000,14144000,99011000,-27810000,-1559000,-29369000,30985000,457000,457000,-4172000,-30675000,38967000,38967000,366000,39333000,107246000,2781409000,98420000,0.12245,0.06666,0.03964,0.00928,2.41788,0.85303,3.26921,0.63444,0.34271,0.34064,5.14142,8.65138,0.82863,0.02461,0.02455,25.30333,36.29032
"38","2019_Q3",14.67890625,"Down",613966000,-532791000,-47271000,-32352000,-453168000,81175000,-30887000,-30887000,50288000,44547000,-4532000,1821000,41836000,41836000,78000,41914000,41914000,21561000,21561000,394720000,394720000,116603000,46316000,70287000,532884000,2148225000,1627029000,221222000,776357000,599526000,3775254000,4308138000,351709000,91257000,260452000,25866000,409652000,2674832000,202116000,13681000,188435000,2876948000,3286600000,1221496000,-87339000,-16716000,1022266000,-728000,1021538000,4308138000,41914000,32352000,13236000,30554000,118056000,-27296000,7504000,-19792000,-75726000,871999.999999996,872000,-9942000,-142973000,-44709000,-44709000,458000,-44251000,113527000,2700698000,121317000,0.13221,0.06827,0.04103,0.00973,2.89443,1.30082,3.21731,0.62688,0.35172,0.35063,5.15202,8.57822,1.01802,0.02551,0.03091,23.59912,33.00446
"39","2019_Q4",12.7709375,"Down",631579000,-553420000,-48488000,-32419000,-472513000,78159000,-29959000,-29959000,48200000,48794000,-5137000,2228000,45885000,45885000,47000,45932000,45932000,54030000,54030000,377984000,377984000,85585000,43856000,41729000,517599000,2155498000,1609782000,215607000,776341000,587910000,3765280000,4282879000,356393000,96263000,260130000,23417000,408605000,2662756000,204514000,13681000,190833000,2867270000,3275875000,1226565000,-99607000,-23989000,1007794000,-790000,1007004000,4282879000,45932000,32419000,7992000,19548000,105891000,-34456000,5995000,-28461000,-1316000,330000,330000,52000,-59144000,18286000,18286000,-2887000,15399000,110578000,2686173000,100807000,0.12375,0.07273,0.04561,0.01072,2.1947,1.26675,3.25309,0.62719,0.3853,0.38628,5.29795,8.4538,0.84561,0.02672,0.02586,23.8035,33.67677
"40","2020_Q1",13.1317741935484,"Up",621710000,-552715000,-43743000,-33585000,-475387000,68995000,-29360000,-29360000,39635000,37294000,-2139000,2887000,38042000,38042000,10000,38052000,38052000,32463000,32463000,430982000,430982000,78283000,40716000,37567000,541728000,2144722000,1631084000,210070000,776356000,608380000,3775806000,4317534000,345512000,99232000,246280000,24208000,395928000,2720487000,205071000,19254000,185817000,2925558000,3321486000,1232119000,-119779000,-20335000,996830000,-782000,996048000,4317534000,38052000,33585000,9868000,-66320000,15185000,-26445000,-70000.0000000009,-26515000,40194000,131000,131000,27000.0000000009,-17862000,-29192000,-29192000,1711000,-27481000,102580000,2744695000,11954000,0.11098,0.06121,0.0382,0.00881,0.31415,1.36825,3.33466,0.63571,0.31914,0.31896,5.21429,8.36042,0.10026,0.0244,0.00303,26.44016,39.31056
"41","2020_Q2",10.9720634920635,"Down",605017000,-548855000,-53782000,-33327000,-461746000,56162000,-28742000,-28742000,27420000,29407000,-6546000,2260000,25121000,25121000,60000,25181000,25181000,32414000,32414000,375453000,375453000,68659000,36108000,32551000,476526000,2142530000,1568791000,204387000,776306000,551820000,3711321000,4187847000,334726000,92887000,241839000,23625000,385319000,2641350000,203722000,19254000,184468000,2845072000,3230391000,1248330000,-152301000,-33499000,958346000,-890000,957456000,4187847000,25181000,33327000,8153000,61598000,128259000,-29088000,3363000,-25725000,-30867000,-8859000,150000,-2632000,-100061000,2473000,2473000,-7364000,-4891000,89489000,2664975000,128545000,0.09283,0.04162,0.0263,0.00601,5.10484,1.23671,3.37393,0.63636,0.21091,0.20996,5.0674,8.02675,1.07665,0.02166,0.0336,29.4177,46.87442
"42","2020_Q3",10.43734375,"Down",587829000,-523012000,-45543000,-33434000,-444035000,64817000,-25362000,-25362000,39455000,38151000,-4196000,2699000,36654000,36654000,66000,36720000,36720000,75734000,75734000,361030000,361030000,73556000,39133000,34423000,510320000,2130126000,1602266000,198826000,776349000,590813000,3732392000,4242712000,349352000,86155000,263197000,24577000,400921000,2671769000,225727000,19254000,206473000,2897496000,3298417000,1253299000,-174038000,-29554000,945250000,-955000,944295000,4242712000,36720000,33434000,10688000,47675000,128517000,-22945000,-515000,-23460000,-8873000.00000001,146000,146000,-157000,-67341000,37716000,37716000,6404000,44120000,98251000,2696346000,127177000,0.11027,0.06247,0.03889,0.00865,3.46343,1.27287,3.49299,0.63552,0.30649,0.30615,4.90634,7.88958,1.06149,0.02462,0.03289,26.67262,40.43094
"43","2020_Q4",9.25828125,"Down",579136000,-514403000,-46644000,-33628000,-434131000,64733000,-24389000,-24389000,40344000,41545000,-4616000,2243000,39172000,39172000,48000,39220000,39220000,53676000,53676000,380072000,380072000,66325000,33393000,32932000,500073000,2126438000,1621324000,193265000,776364000,615417000,3747762000,4247835000,368894000,91955000,276939000,25073000,421877000,2653241000,240433000,19254000,221179000,2893674000,3315551000,1258438000,-193345000,-27073000,933283000,-999000,932284000,4247835000,39220000,33628000,6340000,22163000,101351000,-30185000,2194000,-27991000,-33266000,-384000,169000,0,-91624000,-18264000,-18264000,651000,-17613000,98361000,2678314000,94955000,0.11178,0.06772,0.04207,0.00923,2.42109,1.18535,3.55637,0.63051,0.32731,0.32678,4.8331,7.78859,0.79243,0.02524,0.02466,26.68373,40.54559
"44","2021_Q1",8.16311475409836,"Down",578116000,-513277000,-47403000,-34291000,-431583000,64839000,-25272000,-25272000,39567000,15025000,-5105000,1964000,11884000,11884000,27000,11911000,11911000,283524000,283524000,362668000,362668000,102469000,32108000,70361000,748661000,2122195000,1589270000,187747000,755250000,609669000,3711465000,4460126000,356036000,85861000,270175000,26180000,411296000,2889092000,247656000,30726000,216930000,3136748000,3548044000,1263529000,-222892000,-22589000,913102000,-1020000,912082000,4460126000,11911000,34291000,38237000,-832999.999999996,83606000,-24036000,-2962000,-26998000,203589000,704000,151000,0,162282000,218890000,218890000,3875000,222765000,99130000,2915272000,79366000,0.11216,0.0206,0.01306,0.00267,6.66325,1.82025,3.89005,0.65363,0.09939,0.0992,4.82386,7.61902,0.66224,0.01323,0.01948,26.54845,40.58897
"45","2021_Q2",6.29761904761905,"Down",576377000,-510747000,-48479000,-34117000,-428151000,65630000,-25642000,-25642000,39988000,56355000,-7936000,2064000,50483000,50483000,61000,50544000,50544000,289391000,289391000,346817000,346817000,64755000,29081000,35674000,700963000,2114058000,1612426000,182481000,755244000,638097000,3726484000,4427447000,367698000,84469000,283229000,27135000,423056000,2812590000,251628000,30726000,220902000,3064218000,3487274000,1269299000,-202834000,-20110000,941256000,-1083000,940173000,4427447000,50544000,34117000,-5669000,45925000,124917000,-11564000,-1722000,-13286000,-60277000,116000,116000,-11488000,-102135000,9496000,9496000,-657000,8839000,99747000,2839725000,142044000,0.11387,0.08769,0.05376,0.01142,2.8103,1.6569,3.70918,0.64139,0.42112,0.41974,4.80226,7.84236,1.18348,0.0201,0.03523,25.56803,38.85927
"46","2021_Q3",7.3496875,"Up",565419000,-493003000,-54688000,-33306000,-405009000,72416000,-26068000,-26068000,46348000,45053000,-5063000,1943000,41933000,41933000,27000,41960000,41960000,483048000,483048000,313831000,313831000,71761000,35449000,36312000,868640000,2074350000,1620619000,177514000,755239000,651262000,3694969000,4563609000,330397000,75329000,255068000,27240000,385732000,2943722000,249087000,30726000,218361000,3192809000,3578541000,1273287000,-160875000,-21132000,986181000,-1113000,985068000,4563609000,41960000,33306000,10116000,-4738000,80644000,-16248000,-2803000,-19051000,134649000,64000.0000000001,64000,-101000.000000004,134611000,196204000,196204000,208000.000000001,196412000,105722000,2970962000,89799000,0.12807,0.07421,0.0426,0.00919,2.14011,2.25193,3.63279,0.65101,0.3496,0.34846,4.71096,8.21667,0.74819,0.00998,0.02135,23.5326,34.35586
"47","2021_Q4",8.18796875,"Up",557277000,-483258000,-50475000,-32883000,-399900000,74019000,-26535000,-26535000,47484000,41396000,-8395000,1640000,34641000,34641000,69000,34710000,34710000,537070000,537070000,327723000,327723000,68196000,31682000,36514000,932989000,2055406000,1600401000,172794000,755222000,635781000,3655807000,4588796000,364613000,67411000,297202000,27010000,420605000,2926466000,224019000,30726000,193293000,3150485000,3571090000,1273998000,-126165000,-23854000,1018880000,-1174000,1017706000,4588796000,34710000,32883000,14533000,1790000,83916000,-6871000,-1255000,-8126000,-4091000,72000,72000,-89000,-4108000,71682000,71682000,-3339000,68343000,106902000,2953476000,110216000,0.13282,0.06229,0.03411,0.00756,3.17534,2.21821,3.50896,0.64363,0.28792,0.28792,4.62267,8.45172,0.91425,0.00827,0.02627,22.60394,32.64575
"48","2022_Q1",6.54290322580645,"Down",557539000,-481521000,-50664000,-34871000,-395986000,76018000,-27208000,-27208000,48810000,50018000,-101336000,1494000,-49824000,-49824000,28000,-49796000,-49796000,506491000,506491000,365573000,365573000,155879000,45176000,102826000,1027943000,2037845000,1471620000,166124000,755225000,550271000,3509465000,4537408000,331995000,64073000,267922000,18568000,378842000,2923815000,259735000,80768000,178967000,3183550000,3562392000,1277486000,-175960000,-20216000,976211000,-1195000,975016000,4537408000,-49796000,34871000,93474000,-85391000,-6842000,-9342000,-3932000,-13274000,-17152000,45000,45000,1000,-17105000,-37221000,-37221000,95999.9999999991,-37125000,110889000,2942383000,117492000,0.13635,-0.08931,-0.05107,-0.01097,-2.35947,2.71338,3.65368,0.64847,-0.41306,-0.41306,4.62485,8.09777,0.97461,-0.01192,0.02813,21.96694,32.04362
"49","2022_Q2",6.65112903225806,"Up",551185000,-469659000,-48560000,-35938000,-385161000,81526000,-25993000,-25993000,55533000,54906000,-17962000,1235000,38179000,38179000,40000,38219000,38219000,598508000,598508000,358648000,358648000,150545000,34998000,115547000,1107701000,2017322000,1483861000,158695000,755238000,569928000,3501183000,4608884000,361716000,80313000,281403000,18617000,408371000,2931197000,248481000,80768000,167713000,3179678000,3588049000,1282557000,-137741000,-17632000,1022085000,-1250000,1020835000,4608884000,38219000,35938000,9372000,38427000,121956000,-13732000,-4109000,-17841000,-5209000,43000,43000,-1285000,-6451000,97664000,97664000,2606000,100270000,117464000,2949814000,160121000,0.14791,0.06934,0.03744,0.00829,4.18957,2.71249,3.51482,0.64003,0.31703,0.31703,4.57214,8.4783,1.32822,0.00906,0.03795,20.01725,28.84118
"50","2022_Q3",7.37765625,"Up",588177000,-493103000,-49296000,-32016000,-411791000,95074000,-27663000,-27663000,67411000,71091000,-18898000,1480000,53673000,53673000,54000,53727000,53727000,587861000,587861000,371851000,371851000,147663000,35321000,109772000,1107375000,2007636000,1440312000,154978000,755203000,530131000,3447948000,4555323000,343441000,79569000,263872000,17639000,389205000,2852428000,243858000,80768000,163090000,3096286000,3485491000,1286156000,-84105000,-25839000,1071113000,-1281000,1069832000,4555323000,53727000,32016000,2848000,-38568000,50023000,-6479000,5004000,-1475000,-53452000,60000,60000,-17000,-53409000,-4861000.00000003,-4861000.00000003,-6937000,-11798000,127090000,2870067000,100941000,0.16164,0.09134,0.05022,0.01179,1.87878,2.84522,3.25798,0.63005,0.44359,0.44082,4.85619,8.84348,0.8334,0.01284,0.02413,17.9574,24.00452
