"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","net_extraordinary_gains_losses","discontinued_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","current_portion_of_long_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"28","2017_Q1",116.018548387097,"Up",872974000,-633269000,239705000,-78403000,-79526000,1123000,161302000,-32458000,-33077000,619000,128844000,12497000,141341000,-33276000,108065000,4536000,4536000,112601000,112601000,112601000,258986000,258986000,491821000,345616000,40759000,9033000,1137182000,3261438000,39226000,4033629000,3094824000,769052000,169753000,7334293000,8471475000,372106000,145042000,138000,138000,372244000,1982751000,1544004000,702854000,642762000,3526755000,3898999000,2940334000,132339000,2807995000,1771518000,-139376000,4572476000,4572476000,8471475000,112601000,71578000,3040000,239979000,-45255000,-30926000,-9348000,-85529000,-26468000,-115999.999999998,0,-4245000,-30829000,123621000,123621000,123621000,232880000,1982889000,0.27458,0.18477,0.12899,0.02463,0.01329,3.05494,0.85271,0.23407,0.8494,0.81842,6.5852,34.49207,0.19966,5,0.01717,0.23506,7.40254,10.68742
"29","2017_Q2",119.373650793651,"Up",787328000,-629107000,158221000,-88211000,-82383000,-5828000,70010000,-30031000,-34076000,4045000,39979000,369000,40348000,3175000,43523000,1398000,1398000,44921000,44921000,44921000,286957000,286957000,468833000,363399000,38573000,0,1157762000,3451821000,34311000,4100430000,3101241000,829114000,170075000,7586562000,8744324000,360759000,175906000,139000,139000,360898000,2329248000,1533417000,703491000,633187000,3862665000,4223563000,2924942000,132222000,2792720000,1734448000,-138629000,4520761000,4520761000,8744324000,44921000,71563000,5737000,94152000,-131783000,-185067000,0,-316850000,-33152000,349995000,-49221000,-25986000,241636000,18938000,18938000,18938000,141573000,2329387000,0.20096,0.08892,0.05706,0.00994,0.00514,3.208,0.93426,0.26639,0.33868,0.33283,5.93601,34.08397,0.24995,7,0.00931,0.73801,14.42669,29.1734
"30","2017_Q3",114.31253968254,"Down",1030763000,-740746000,290017000,-100823000,-83056000,-17767000,189194000,-34566000,-38455000,3889000,154628000,2773000,157401000,-45652000,111749000,8390000,8390000,120139000,120139000,120139000,1129799000,1129799000,570086000,374929000,109998000,109998000,2184812000,3538808000,38888000,4107435000,3101439000,834971000,171025000,7685131000,9869943000,400017000,202753000,525776000,525776000,925793000,2809293000,1532753000,706726000,631007000,4342046000,5267839000,2929450000,132181000,2797269000,1810528000,-137874000,4602104000,4602104000,9869943000,120139000,76776000,6787000.00000001,61070000,-150721000,-25495000,405000.000000001,-175811000,-33042000,1014998000,-11082000,-13291000,957583000,842842000,842842000,842842000,265970000,3335069000,0.28136,0.18355,0.11655,0.02611,0.01217,2.35994,1.14466,0.3379,0.90731,0.8907,7.78451,34.75594,0.24954,3,0.01618,0.27503,8.29142,11.65613
"31","2017_Q4",116.63126984127,"Up",1094715000,-790957000,303758000,-77750000,-73612000,-4138000,226008000,-78266000,-82041000,3775000,147742000,1488000,149230000,-39080000,110150000,-1571000,-1571000,108579000,108579000,108579000,701163000,701163000,579202000,365826000,100781000,100781000,1746972000,3537701000,35999000,4118662000,3101337000,835269000,182056000,7692362000,9439334000,408872000,181207000,4827000,4827000,413699000,2809966000,1530535000,716165000,621253000,4340501000,4754200000,2935387000,132281000,2803106000,1886006000,-136259000,4685134000,4685134000,9439334000,108579000,79635000,48247000,244313000,-73938000,0,0,-73938000,-33069000,-565565000,0,-377000,-599011000,-428636000,-428636000,-428636000,305643000,2814793000,0.27748,0.20645,0.09918,0.02318,0.0115,4.22281,1.01474,0.2982,0.81958,0.80603,8.26312,35.36431,0.24961,6,0.01569,0.30456,6.91536,9.35201
"32","2018_Q1",120.48,"Up",977490000,-735973000,241517000,-105512000,-85921000,-19591000,136005000,-134865000,-136513000,1648000,1140000,13197000,14337000,313632000,327969000,-422999.999999998,-422999.999999998,327546000,327546000,327546000,141646000,141646000,434089000,384338000,220028000,220028000,1180101000,3918931000,35115000,4370744000,3122321000,1063630000,184793000,8324790000,9504891000,401489000,197335000,41383000,41383000,442872000,2813482000,1279644000,464081000,320926000,4093126000,4535998000,2937911000,132324000,2805587000,2180448000,-149466000,4968893000,4968893000,9504891000,327546000,77991000,-153891000,245143000,-87368000,-611871000,-3653000,-702892000,-33072000,-62736000.0000002,-1.86264514923096e-09,-960000,-96768000.0000002,-554517000,-554517000,-554517000,213996000,2854865000,0.24708,0.13914,0.33509,0.06592,0.03446,2.66465,0.91288,0.30036,2.47163,2.42711,7.37606,37.49485,0.24956,5,0.03961,0.10097,12.67883,19.94941
"33","2018_Q2",118.21734375,"Down",854474000,-695140000,159334000,-82315000,-78340000,-3975000,77019000,-32691000,-37774000,5083000,44328000,4164000,48492000,4903000,53395000,-416000,-416000,52979000,52979000,52979000,38141000,38141000,489436000,399754000,83868000,8373000,1011199000,4025865000,35056000,4381091000,3130161000,1060831000,190099000,8442012000,9453211000,383285000,188163000,200022000,22000,583307000,2775687000,1181007000,479430000,510846000,3956694000,4540001000,2920138000,132290000,2787848000,2138885000,-145813000,4913210000,4913210000,9453211000,52979000,81439000,-81282000,92968000,-126987000,-65003000,-34000,-192024000,-37176000,157962000,-55568000,-66294000,-1076000,-100132000,-100132000,-100132000,158458000,2975709000,0.18647,0.09014,0.062,0.01078,0.0056,1.73356,0.92404,0.31478,0.39927,0.39431,6.43963,37.02773,0.28017,6,0.00994,0.70171,18.53846,38.14082
"34","2018_Q3",111.447777777778,"Down",1200151000,-876966000,323185000,-95037000,-89043000,-5994000,228148000,-29906000,-33244000,3338000,198242000,2106000,200348000,-40046000,160302000,-650000,-650000,159652000,159652000,159652000,55059000,55059000,638114000,403764000,86265000,86265000,1183202000,4106414000,41989000,4513179000,3163954000,1156898000,192327000,8661582000,9844784000,451773000,231913000,360023000,23000,811796000,2776906000,1235452000,545756000,500870000,4012358000,4824154000,2920754000,132268000,2788486000,2244545000,-144669000,5020630000,5020630000,9844784000,159652000,85633000,32754000,182792000,-111656000,-142737000,-10192000,-264585000,-37020000,159994000,-19353000,-7227000,96394000,14601000,14601000,14601000,313781000,3136929000,0.26929,0.1901,0.13303,0.0318,0.01622,1.45751,0.96087,0.31864,1.2055,1.18965,9.06212,37.90986,0.27953,7,0.02094,0.23188,9.82172,13.50821
"35","2018_Q4",97.6984126984127,"Down",1240197000,-897055000,343142000,-95459000,-81606000,-13853000,247683000,-29261000,-33548000,4287000,218422000,2104000,220526000,-40662000,179864000,-712000,-712000,179152000,179152000,179152000,38026000,38026000,645715000,408652000,83519000,83519000,1175912000,4188723000,42944000,4468056000,3169615000,1099354000,199087000,8699723000,9875635000,490392000,233885000,200023000,23000,690415000,2778129000,1261302000,581026000,493447000,4039431000,4729846000,2927411000,132045000,2795366000,2361903000,-143525000,5145789000,5145789000,9875635000,179152000,89391000,40749000,296871000,-96757000,5858000,-1990000,-92889000,-36996000,-160005000,-24995000,-32000,-222028000,-18046000,-18046000,-18046000,337074000,2978152000,0.27668,0.19971,0.14445,0.03482,0.01814,1.7032,0.91917,0.30157,1.35322,1.34019,9.36783,38.86871,0.27945,7,0.02303,0.20651,8.72249,11.87052
"36","2019_Q1",104.388852459016,"Up",1088047000,-812763000,275284000,-95365000,-84382000,-10983000,179919000,-32565000,-32857000,292000,147354000,6570000,153924000,-29644000,124280000,-258000,-258000,124022000,124022000,124022000,40037000,40037000,512279000,429330000,97499000,97499000,1079145000,4237307000,44615000,4471063000,3165396000,1095378000,210289000,8752985000,9832130000,469527000,216473000,133023000,23000,602550000,2779357000,1247320000,567283000,322175000,4026677000,4629227000,2930248000,131762000,2798486000,2444870000,-172215000,5202903000,5202903000,9832130000,124022000,89783000,-20020000,260146000,-111478000,-8281000,-633999.999999999,-120393000,-36917000,-67006000,-34067000,-427999.999999998,-138418000,1335000,1335000,1335000,269702000,2912380000,0.25301,0.16536,0.11399,0.02384,0.01261,1.79096,0.88974,0.29621,0.93916,0.92923,8.23922,39.39892,0.27955,7,0.01719,0.29766,10.65006,15.96465
"37","2019_Q2",123.639206349206,"Up",996511000,-804836000,191675000,-94539000,-90268000,-4271000,97136000,-29805000,-32934000,3129000,67331000,7297000,74628000,-10693000,63935000,-636000,-636000,63299000,63299000,63299000,30838000,30838000,560530000,429397000,63086000,63086000,1083851000,4275338000,50952000,4886711000,3161842000,1085398000,639471000,9213001000,10296852000,248119000,248119000,178524000,24000,659607000,2780589000,1639447000,568229000,886474000,4420036000,5079643000,2921933000,132069000,2789864000,2467201000,-171925000,5217209000,5217209000,10296852000,63299000,89181000,9449000,116164000,-115507000,2866000,-7237000,-119878000,-40939000,45494000,0,-14137000,-9582000,-13296000,-13296000,-13296000,186317000,2959113000,0.19235,0.09748,0.06352,0.01213,0.00615,1.64318,0.97363,0.28738,0.47938,0.47574,7.54687,39.51144,0.31004,8,0.01062,0.64676,15.71663,30.14614
"38","2019_Q3",137.0925,"Up",1327682000,-957180000,370502000,-97879000,-95689000,-2190000,272623000,-30569000,-33035000,2466000,242054000,3451000,245505000,-47598000,197907000,-349000,-349000,197558000,197558000,197558000,26031000,26031000,697331000,441423000,90230000,90230000,1255015000,4290682000,51667000,4883400000,3167061000,1076986000,639353000,9225749000,10480764000,284875000,284875000,137024000,24000.0000000005,663588000,2781826000,1663903000,601189000,880048000,4445729000,5109317000,2919233000,132231000,2787002000,2623747000,-171533000,5371447000,5371447000,10480764000,197558000,93496000,50189000,185752000,-99130000,0,2660000,-96470000,-40988000,-41505000,-3.72529029846191e-09,-11375000,-93868000,-4586000,-4586000,-4586000,366119000,2918850000,0.27906,0.20534,0.1488,0.03678,0.01885,1.89126,0.9512,0.2785,1.49359,1.48157,10.03759,40.60941,0.30988,8,0.02396,0.20747,7.90131,10.61106
"39","2019_Q4",139.30390625,"Up",1418758000,-1018115000,400643000,-97502000,-88790000,-8712000,303141000,-31837000,-32196000,359000,271304000,234000,271538000,-53473000,218065000,-2353000,-2353000,215712000,215712000,215712000,90411000,90411000,724940000,429660000,79231000,79231000,1324242000,4287345000,57059000,4871027000,3167061000,1071330000,632636000,9215431000,10539673000,265012000,265012000,24000,24000,535284000,2783068000,1679082000,628726000,869815000,4462150000,4997434000,2917595000,132350000,2785245000,2795834000,-171190000,5542239000,5542239000,10539673000,215712000,96248000,-169003000,344213000,-80144000,0,-6765000,-86909000,-41016000,-137006000,-2602000,-12100000,-192724000,64580000,64580000,64580000,399389000,2783092000,0.28239,0.21367,0.15204,0.03892,0.02047,2.47391,0.9017,0.26406,1.62902,1.61678,10.71424,41.85412,0.30975,9,0.02566,0.19014,6.742,8.8826
"40","2020_Q1",124.584677419355,"Down",1186149000,-893069000,293080000,-112280000,-95753000,-16527000,180800000,-27588999,-30834999,3246000,153211001,12818000,166029001,-23436000,142593001,-1462000,-1462000,141131001,141131001,141131001,271589000,271589000,532012000,458308000,117417000,117417000,1379326000,4316038000,60709000,4892720000,3167061000,1091475000,634184000,9269467000,10648793000,381554000,265159000,25000.0000000075,25000.0000000037,535563000,2784315000,1707058000,633039000,693072000,4491373000,5026936000,2923724000,132371000,2791353000,2895871000,-197738000,5621857000,5621857000,10648793000,141131000,95675000,219765000,337971000,-66619000,-45366000,-558000,-112543000,-41057000,16999.9999999702,2000.00000000186,-988000,-42026000,183402000,183402000,183402000,276475000,2784340000,0.24709,0.15243,0.11898,0.0251,0.01325,2.57547,0.89418,0.26147,1.0654,1.05541,8.95423,42.43936,0.30994,7,0.01801,0.29091,9.08853,13.89796
"41","2020_Q2",107.180158730159,"Down",1049242000,-847519000,201723000,-90421000,-86430000,-3991000,111302000,-40109000,-30773000,-9336000,71193000,999000,72192000,-12194000,59998000,260000,260000,60258000,60258000,60258000,120041000,120041000,597665000,470747000,88327000,88327000,1276780000,4401088000,57987000,4893527000,3167061000,1083515000,642951000,9352602000,10629382000,243019000,243019000,25000,25000,475676000,2785566000,1777814000,648405000,950841000,4563380000,5039056000,2915171000,132433000,2782738000,2885084000,-209929000,5590326000,5590326000,10629382000,60258000,95480000,-73263000,82475000,-140114000,-38256816.7109219,9872000,-130242000,-45100000,-6000,-26132000,-35228000,-106466000,-154233000,-154233000,-154233000,206782000,2785591000,0.19226,0.10608,0.05743,0.01078,0.00567,2.68414,0.90139,0.26207,0.45455,0.45219,7.91481,42.16982,0.34021,5,0.01038,0.74845,12.89063,23.94881
"42","2020_Q3",123.334375,"Up",1322575000,-926056000,396519000,-97365000,-91205000,-6160000,299154000,-26587000,-33954000,7367000,272567000,-258000,272309000,-61352000,210957000,-1041000,-1041000,209916000,209916000,209916000,816765000,816765000,695860000,451480000,66005000,66005000,2030110000,4383010000,43849000,4941755000,3172112000,1114592000,655051000,9368614000,11398724000,278102000,278102000,500026000,500026000,1038749000,2785646000,1810178000,671097000,961547000,4595824000,5634573000,2922247000,132446000,2789801000,3049943000,-208039000,5764151000,5764151000,11398724000,209916000,99471000,33729000.0000001,343116000,-79970000,-5016999.99999999,-4297000,-89284000,-45028000,499994000,0,-11872000,443094000,696926000,696926000,696926000,398625000,3285672000,0.29981,0.22619,0.15872,0.03642,0.01842,1.95438,0.97752,0.28825,1.58364,1.57773,9.97771,43.48563,0.3397,7,0.02348,0.2145,6.19356,8.25296
"43","2020_Q4",140.32875,"Up",1309890000,-929392000,380498000,-93970000,-83511000,-10459000,286528000,-29995000,-35782000,5787000,256533000,1576000,258109000,-56984000,201125000,-1337000,-1337000,199788000,199788000,199788000,1084100000,1084100000,644207000,455461000,81565000,81565000,2265333000,4343799000,41778000,4939623000,3172112000,1107091000,660420000,9325200000,11590533000,263296000,263296000,509435000,509435000,1069893000,2777072000,1815216000,685520000,955208000,4592288000,5662181000,2929676000,132454000,2797222000,3204671000,-205995000,5928352000,5928352000,11590533000,199788000,100961000,51586000,352335000,-39465000,0,5244000,-34221000,-45033000,-6000,0,-5544000,-50583000,267531000,267531000,267531000,387489000,3286507000,0.29048,0.21874,0.15252,0.0337,0.01724,2.11735,0.9551,0.28355,1.50702,1.49914,9.88059,44.71798,0.33969,6,0.0222,0.2254,5.68379,7.68653
"44","2021_Q1",159.899508196721,"Up",1175093000,-872333000,302760000,-108044000,-98654000,-9390000,194716000,-55209000,-33891000,-21318000,139507000,1683000,141190000,-25270000,115920000,-1382000,-1382000,114538000,114538000,114538000,1197100000,1197100000,596974623.995923,448600000,631500000,631500000,2277200000,4.426e+09,34300000,4949400000,3172100000,1123500000,653800000,9409700000,11686900000,384700000,273100000,515400000,515400000,1047900000,2772200000,1839500000,706100000,822800000,4611700000,5659600000,2934500000,132500000,2.802e+09,3274100000,-181300000,6027300000,6027300000,11686900000,114538000,100888000,108448000,292473999,-91151000,-37183000,581000,-127753000,-45039000,-1582000,32000,-4856000,-51445000,113275999,113275999,113275999,295604000,3287600000,0.25765,0.1657,0.09747,0.019,0.0098,2.17311,0.93899,0.28131,0.86366,0.85858,8.8606,45.4479,0.33961,6,0.01431,0.39322,7.07196,10.73615
"45","2021_Q2",176.682698412698,"Up",1068300000,-8.39e+08,229300000,-9.7e+07,-88600000,-8400000,132300000,-27200000,-33100000,5900000,105100000,117200000,222300000,-60600000,161700000,-1100000,-1100000,160600000,160600000,160600000,722300000,722300000,593100000,441400000,236200000,236200000,1.993e+09,4363300000,34300000,4942200000,3172100000,1114600000,655500000,9339800000,11332800000,255600000,255600000,15400000,15400000,565900000,2772900000,1857700000,733600000,951700000,4630600000,5196500000,2930399999,132699999,2797700000,3385600000,-179700000,6136299999,6136299999,11332799999,160600000,100400000,-91700000,169300000,85800000,0,0,85800000,-49100000,-500600000,1140038.53079602,-12500000,-562200000,-307100000,-307100000,-307100000,232700000,2788300000,0.21464,0.12384,0.15033,0.02617,0.01417,3.52182,0.84685,0.24604,1.2098,1.20376,8.04752,46.22483,0.36987,7,0.01945,0.30573,8.87838,15.61602
"46","2021_Q3",177.34515625,"Up",1361100000,-962800000,398300000,-1.11e+08,-100700000,-10300000,287300000,-33400000,-41700000,8300000,253900000,199999.999999985,254100000,-57400000,196700000,-1300000,-1300000,195400000,195400000,195400000,857600000,857600000,686900000,450600000,205300000,205300000,2200400000,4365200000,34300000,4971100000,3172100000,1103100000,695900000,9370600000,1.1571e+10,300100000,300100000,15400000.0000001,15400000,599200000,2769900000,1908800000,748300000,990300000,4678700000,5277900000,2939399999,132699999,2806700000,3531800000,-178100000,6293099999,6293099999,11570999999,195400000,103100000,-69899999,228600001,-87300000,0,0,-87300000,-49100000,-7e+05,721115.428688377,-1.4e+07,-63800000,77500000.9999999,77500000.9999999,77500000.9999999,390400000,2785300000,0.29263,0.21108,0.14356,0.03105,0.01689,3.67223,0.83868,0.24071,1.47195,1.4646,10.25318,47.40601,0.36987,5,0.02225,0.25128,4.93776,6.70971
"47","2021_Q4",192.204375,"Up",1516497000,-1122406000,394091000,-134593000,-103752000,-30841000,259498000,-33701000,-36789000,3088000,225797000,2916000,228713000,-51692000,177021000,-302000,-302000,176719000,176719000,176719000,135683000,135683000,938189000,512230000,132314000,132314000,1718416000,5546949000,34108000,6388529000,3674763000,1819778000,893988000,11969586000,13688002000,410340000,410340000,12228000,12228000,876693000,3874116000,2488054000,1053415000,1266501000,6362170000,7238863000,2942961000,132704000,2810257000,3659657000,-176520000,6426098000,6449139000,13688002000,176719000,117492000,32704999,326915999,-124753000,-1634492000,161000,-1759084000,-49067000,657276000,4.65661287307739e-10,-8024000,600185000,-831983001,-831983001,-831983001,376990000,3886344000,0.25987,0.17112,0.11653,0.0274,0.01291,1.96011,1.12245,0.28392,1.33092,1.32394,11.42113,48.39658,0.36954,4,0.01761,0.27766,9.94897,14.45353
"48","2022_Q1",185.523548387097,"Down",1606303000,-1254594000,351709000,-140106999,-124548000,-15558999,211602001,-42699000,-36111000,-6588000,168903001,-215999.999999996,168687001,-30408000,138279001,-598000,-598000,137681001,137681001,137681001,2.35e+08,2.35e+08,838700000,521300000,101600000,101600000,1696600000,5546800000,34100000,6405100000,3696700000,1.749e+09,959400000,1.1986e+10,13682600000,365500000,365500000,5200000.00000001,5200000,769300000,3874800000,2470800000,1005900000,1297800000,6345600000,7114900000,2949199999,132699999,2816500000,3748500000,-152700000,6544999999,6567699999,13682599999,137681000,142008000,151295000,287084000,-108547000,-4908000,-61000,-113516000,-49133000,-21176000.0000001,0,1824000,-68485000,105083000,105083000,105083000,353610001,3.88e+09,0.21896,0.13173,0.08571,0.02096,0.01006,2.20538,1.08332,0.28357,1.03597,1.0295,12.08655,49.24755,0.3697,6,0.01446,0.35686,10.30797,17.22574
"49","2022_Q2",164.511612903226,"Down",1540700000,-1271900000,268800000,-124400000,-1.19e+08,-5400000,144400000,-34400000,-35900000,1500000,1.1e+08,2600000,112600000,-18700000,93900000,-1800000,-1800000,92100000,91800000,91800000,123100000,123100000,917900000,524500000,97100000,97100000,1662600000,5725600000,36500000,6436100000,3709200000,1751900000,9.75e+08,12198200000,13860800000,390100000,390100000,103900000,3900000,892700000,3874500000,2495300000,1007700000,1320800000,6369800000,7262500000,2939700000,132900000,2806800000,3787200000,-151600000,6575300000,6598300000,13860800000,92100000,1.41e+08,-57500001,175599999,-154200000,-148200000,-1e+05,-302500000,-53200000,89200000,938576.979742199,-17600000,18400000,-108500001,-108500001,-108500001,285400000,3978400000,0.17447,0.09372,0.05958,0.01391,0.00662,1.86244,1.10066,0.28703,0.69127,0.68713,11.60166,49.5128,0.4006,4,0.01109,0.57952,13.50841,26.69875
"50","2022_Q3",161.959,"Down",1954300000,-1508200000,446100000,-140600000,-134400000,-6200000,305500000,-43300000,-38800000,-4500000,262200000,2e+06,264200000,-63700000,200500000,-13100000,-13100000,187400000,187300000,187300000,120700000,120700000,1111600000,524200000,1.43e+08,1.43e+08,1899500000,5743200000,33100000,6505700000,3742400000,1.776e+09,987300000,1.2282e+10,14181500000,4.41e+08,4.41e+08,176500000,5e+05,1029300000,3873700000,2534299999,1036099999,1334300000,6407999999,7437299999,2950200000,132900000,2817300000,3921400000,-150500000,6721100000,6744200000,14181499999,187400000,1.43e+08,-180499999,149900001,-126200000,-39900000,-1e+05,-166200000,-53100000,60400000,2831730.9392266,-299999.999999996,6999999.99999994,-9299999,-9299999,-9299999,448500000,4050200000,0.22827,0.15632,0.09584,0.02777,0.01321,1.84543,1.10277,0.2856,1.40827,1.40827,14.69398,50.53459,0.39925,4,0.01804,0.2835,8.76143,12.86252
