"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","research_development","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","dividends_paid","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"31","2018_Q4",9.46952380952381,"Up",81422000,-68769000,12653000,-2424000,-877000,-1547000,10229000,2413000,2500000,-43000,2543000,12642000,815000,13457000,-4012000,9445000,9445000,9445000,9445000,302450000,199348000,103102000,18942000,18942000,48005000,4329000,470000,3380000,373726000,104254000,5225000,3817000,109479000,483205000,45025000,31414000,10985000,7114000,7114000,52139000,33218000,17430000,15788000,33218000,85357000,282113000,115611000,124000,397848000,397848000,483205000,9445000,2732000,-1028000,2660000,13809000,-1979000,-10750000,1147000,-11582000,-2624000,-2800000,-573000,-573000,-573000,12961000,0,17654000,0.1554,0.12563,0.116,0.02374,0.01955,1.86914,7.16788,0.21455,0,0.21601,0.21597,1.86217,9.09904,0.40376,0.06001,0.028,0.04095,0.27782,-23.33539,-29.5679
"32","2019_Q1",9.69344262295082,"Up",65513000,-50546000,14967000,-2164000,-681000,-1483000,12803000,2454000,2451000,-44000,2495000,15257000,-8738000,6519000,-4683000,1836000,1836000,1836000,1836000,294860000,214972000,79888000,16294000,16294000,39296000,11880000,1767000,3255000,362330000,103575000,5250000,3842000,108825000,471155000,34910000,19981000,4431000,4581000,4581000,39491000,42586000,18026000,24560000,42586000,82077000,282149000,106949000,-20000,389078000,389078000,471155000,1836000,2983000,11074000,-9449000,6443999.99999999,-1783000,14293000,-704000,11806000,-2626000,-2626000,15624000,15624000,15624000,15786000,0,9236999.99999999,0.22846,0.19543,0.02802,0.00472,0.0039,5.03105,9.175,0.21095,0,0.04197,0.04197,1.49765,8.89448,0.21116,0.06003,0.01034,0.0214,1.43028,-18.67858,-23.03054
"33","2019_Q2",7.12809523809524,"Down",48501000,-45239000,3262000,-2051000,-706000,-1345000,1211000,2319000,2319000,-43000,2362000,3530000,2927000,6457000,-958000,5499000,5499000,5499000,5499000,290480000,206021000,84459000,17614000,17614000,53329000,8111000,1383000,1210000,369534000,102849000,7272000,5864000,110121000,479655000,36557000,23483000,5200000,4624000,4624000,41181000,43695000,17665000,26030000,43695000,84876000,282149000,112448000,182000,394779000,394779000,479655000,5499000,2725000,-3583000,-7930000,-3289000,-2241000,-1387000,590000,-3038000,-2624000,-2624000,-8951000,-8951000,-8951000,3936000,0,-5277000,0.06726,0.02497,0.11338,0.01393,0.01146,-0.95963,8.97341,0.215,0,0.12571,0.12569,1.10877,9.02491,-0.12064,0.05999,0.01853,-0.01203,0.47718,-73.80081,-239.86788
"34","2019_Q3",6.57265625,"Down",70864000,-67594000,3270000,-2085000,-788000,-1297000,1185000,2593000,2706000,-44000,2750000,3778000,826000.000000002,4604000,-917000,3687000,3687000,3687000,3687000,303431000,222871000,80560000,21641000,21641000,36116000,7340000,1055000,763000,368528000,102374000,6767000,5359000,109141000,477669000,30406000,20705000,4452000,5258000,5258000,35664000,43522000,17640000,25882000,43522000,79186000,282149000,116135000,199000,398483000,398483000,477669000,3687000,2747000,-685000,11067000,16816000,-2405000,4746000,318000,2659000,-2625000,-2625000,16850000,16850000,16850000,3932000,0,13511000,0.0461400000000001,0.01672,0.05203,0.00925,0.00772,3.6645,10.33333,0.19872,0,0.08429,0.08429,1.62,9.10959,0.30887,0.06001,0.01428,0.03057,0.71196,-77.16963,-256.05992
"35","2019_Q4",6.910625,"Up",65684000,-60222000,5462000,-2187000,-833000,-1354000,3275000,2937000,2675000,-43000,2718000,6212000,1424000,7636000,-1014000,6622000,6622000,6622000,6622000,311528000,235945000,75583000,20820000,20820000,42789000,1853000,510000,976000,376990000,100320000,6956000,5548000,107276000,484266000,34456000,25632000,6199000,5232000,5232000,39688000,39451000,17813000,21638000,39451000,79139000,282170000,122757000,2e+05,405127000,405127000,484266000,6622000,3620000,-1399000,1988000,10831000,-1480000,6403000,-56000,4867000,-2624000,-2624000,13074000,13074000,13074000,6895000,0,8417000,0.08316,0.04986,0.10082,0.01635,0.01367,1.27107,9.49884,0.19534,0,0.15138,0.15138,1.50158,9.26148,0.19242,0.05999,0.0208,0.01893,0.39625,-45.18173,-95.12305
"36","2020_Q1",6.48887096774194,"Down",20177000,48901000,69078000,-9440000,-864000,-1643000,59638000,2018000,2177000,-43000,2220000,61656000,-558000,61098000,11275000,72373000,72373000,72373000,72373000,316951000,243331000,73620000,110264000,110264000,37573000,16101000,1944000,6095000,480889000,98597000,7019000,5611000,105616000,586505000,77526000,61299000,5729000,5237000,5237000,82763000,36644000,12965000,23679000,36644000,119407000,282170000,184632000,296000,467098000,467098000,586505000,72373000,2995000,-3944000,-61144000,10280000,-832000,1526000,-963000,-269000,-2625000,-2625000,7386000,7386000,7386000,62633000,0,-10618000,3.4236,2.95574,3.58691,0.15494,0.1234,-0.14671,5.81043,0.25564,0,1.6545,1.6545,0.46126,10.67817,-0.24273,0.06001,0.14888,-0.02108,0.0362700000000001,-5.06045,-5.31458
"37","2020_Q2",8.65634920634921,"Up",53082000,-36683000,16399000,-2420000,-835000,-1585000,13979000,1911000,1911000,-56000,1967000,15890000,-10059000,5831000,13212000,19043000,19043000,19043000,19043000,307746000,248102000,59644000,128055000,128055000,41451000,25459000,1761000,2049000,502711000,96946000,7221000,5813000,104167000,606878000,209602000,63456000,7042000,4093000,4093000,213695000,38548000,12859000,25689000,38548000,252243000,282219000,72433000,-17000,354635000,354635000,606878000,19043000,3004000,8269000,-26282000,4034000,-1558000,3520000,1876000,3838000,-2624000,-3101000,4771000,4771000,4771000,16983000,0,-24069000,0.30894,0.26335,0.35875,0.0537,0.03138,-1.26393,2.35247,0.71127,0,0.43534,0.43534,1.21349,8.10719,-0.55023,0.05999,0.05511,-0.06122,0.13779,-18.12083,-22.01488
"38","2020_Q3",9.64640625,"Up",47422000,-46511000,911000.000000007,-2050000,-768000,-1282000,-1139000,9836000,1488000,-31000,1519000,8697000,1573000,10270000,4889000,15159000,15159000,15159000,15159000,249918000,187823000,62095000,29223000,29223000,42183000,33144000,1150000,4552000,354468000,95348000,7030000,5622000,102378000,456846000,45209000,31503000,8457000,3427000,3427000,48636000,38266000,13620000,24646000,38266000,86902000,282219000,87592000,133000,369944000,369944000,456846000,15159000,2858000,1251000,60899000,80167000,-1151000,-687000,-4753000,-6591000,-133855000,-133855000,-60279000,-60279000,-60279000,1719000,0,56578000,0.01921,-0.0240200000000002,0.319660000000001,0.04098,0.03318,3.7323,7.28818,0.23491,0,0.34654,0.34654,1.0841,8.45717,1.29341,3.06002,0.36504,0.1386,8.83007,-145.38569,219.41879
"39","2020_Q4",9.384375,"Down",54138000,-42388000,11750000,-7946000,-791000,-1851000,3804000,1043000,1044000,-32000,1076000,4847000,1213000,6060000,830000,6890000,6890000,6890000,6890000,243647000,180171000,63476000,37211000,37211000,29087000,25914000,583000,2890000,335859000,93598000,7326000,5918000,100924000,436783000,19904000,9479000,7800000,3596000,3596000,23500000,36456000,11969000,24487000,36456000,59956000,282219000,94482000,126000,376827000,376827000,436783000,6890000,2692000,-3838000,-13369000,-7625000,-904000,-177000,3678000,2597000,-2624000,-2624000,-7652000,-7652000,-7652000,6496000,0,-8607000,0.21704,0.07026,0.12727,0.01828,0.01577,-1.2492,14.29187,0.15911,0,0.15751,0.1575,1.23763,8.61452,-0.19676,0.05999,0.0230200000000001,-0.02083,0.38084,-37.50724,-64.05021
"40","2021_Q1",11.5137704918033,"Up",49863000,-40215000,9648000,-3953000,-594000,-1262000,5695000,1024000,1054000,-32000,1086000,6719000,2898000,9617000,-4145000,5472000,5472000,5472000,5472000,262526000,198122000,64404000,21387000,21387000,33889000,24803000,3967000,3168000,342605000,91544000,7155000,5747000,98699000,441304000,29012000,13437000,5077000,3976000,3976000,32988000,36433000,12332000,24101000,36433000,69421000,282219000,89456000,208000,371883000,371883000,441304000,5472000,2596000,-2076000,13835000,19827000,-801000,2074000,-643000.000000001,630000.000000001,-2625000.00000001,-2506000.00000001,17951000,17951000,17951000,8291000,0,25470000,0.19349,0.11421,0.10974,0.01471,0.0124,4.65461,10.38575,0.18667,0,0.12509,0.12509,1.1399,8.5015,0.58226,0.0600100000000001,0.01983,0.06238,0.479709999999999,-31.66397,-46.09763
"41","2021_Q2",10.2642857142857,"Down",41516000,-50643000,-9127000,-3931000,-774000,-1548000,-13058000,973000,973000,-32000,1005000,-12085000,-1075000,-13160000,4387000,-8773000,-8773000,-8773000,-8773000,244152000,193979000,50173000,27902000,27902000,45278000,22761000,3228000,2639000,340093000,89200000,7129000,5721000,96329000,436422000,38081000,16841000,13366000,4946000,4946000,43027000,30345000,7914000,22431000,30345000,73372000,282219000,80683000,148000,363050000,363050000,436422000,-8773000,2608000,-3990000,-4192000,-14347000,-146000,13080000,-106000,12828000,-2624000,-2624000,-4143000,-4143000,-4143000,-10450000,0,-19175000,-0.21984,-0.31453,-0.21132,-0.02416,-0.0201,2.18568,7.90418,0.2021,0,-0.20056,-0.20056,0.94908,8.29957,-0.43835,0.05999,-0.01563,-0.04874,-0.2991,23.36383,18.6975
"42","2021_Q3",7.94078125,"Down",74118000,-72528000,1590000,-3626000,-798000,-1195000,-2036000,-564000,758000,-32000,790000,-2600000,1612000,-987999.999999996,4469000,3481000,3481000,3481000,3481000,143832000,97594000,46238000,31333000,31333000,53514000,21184000,2002000,2315000,249863000,86852000,5705000,5705000,92557000,342420000,54987000,44521000,5218000,5390000,5390000,60377000,24629000,3451000,21178000,24629000,85006000,282450000,-25244000,208000,257414000,257414000,342420000,3481000,2623000,-2913000,8807000,11998000,-249000,5623000,-1954000,3420000,-112034000,-111803000,-96385000,-96385000,-96385000,587000,0,4676000.00000001,0.02145,-0.02747,0.04697,0.01352,0.01017,1.34329,4.13838,0.33023,0,0.0795800000000001,0.07958,1.69439,5.88466,0.1069,2.56117,0.40957,0.01658,32.18443,-245.02896,70.6444
"43","2021_Q4",7.48171875,"Down",98682000,-88824000,9858000,-3716000,-814000,-1236000,6142000,608000,622000,-31757.1086185665,655202.353687614,6750000,-729000,6021000,3181000,9202000,9202000,9202000,9202000,161951000,116787000,45164000,26473000,26473000,43694000,12437000,850000,1814000,244555000,84343000,5803000,5803000,90146000,334701000,41939000,34493000,4824000,6265000,6265000,48204000,19934000,128000,19806000,19934000,68138000,282450000,-16042000,155000,266563000,266563000,334701000,9202000,2656000,-1526000,11844000,22176000,-177000,278000,-458000,-357000,-2626000,-2626000,19193000,19193000,19193000,8798000,0,17284000,0.0999,0.06224,0.09325,0.03452,0.02749,1.87829,5.07333,0.25562,0,0.21031,0.21031,2.2554,6.09236,0.39503,0.06002,0.0412800000000001,0.06033,0.28537,-18.4077100000001,-26.3678
"44","2022_Q1",7.89758064516129,"Up",107070000,-79067000,28003000,-6153000,-1098000,-3176000,21850000,2085000,635000,-31672.7054845423,623783.315983027,23935000,122000,24057000,-1712000,22345000,22345000,22345000,22345000,184711000,137521000,47190000,29316000,29316000,26920000,14886000,3592000,1534000,255833000,82901000,5596000,5596000,88497000,344330000,28905000,22823000,6082000,6151000,6299613.79866489,35056000,20346000,1870000,1721000,20346000,55402000,282447000,6303000,178000,288928000,288928000,344330000,22345000,2565000,107000,-760000,24257000,-791000,-1875000,1768000,-898000,-2622000,-2625000,20734000,20734000,20734000,24415000,0,24576000,0.26154,0.20407,0.2087,0.07734,0.06489,1.09984,7.29784,0.19175,0,0.51025,0.51025,2.44497,6.59773,0.5612,0.0598699999999999,0.08073,0.07946,0.117339999999998,-7.56547,-8.45359
"45","2022_Q2",8.22435483870968,"Up",42261000,-48532000,-6271000,-3336000,-679000,-1773000,-9607000,632000,632000,-32000,664000,-8975000,-4127000,-13102000,704000,-12398000,-12398000,-12398000,-12398000,163735000,120984000,42751000,18048000,18048000,37620000,18426000,2969000,5712000,237829000,81056000,5498000,5498000,86554000,324383000,35001000,21960000,5164000,6376000,6376000,41377000,17028000,1138000,15890000,17028000,58405000,282447000,-16598000,129000,265978000,265978000,324383000,-12398000,2570000,1910000,-2658000,-10576000,-921000,250000,-2664000,-3335000,-2626000,-2626000,-16537000,-16537000,-16537000,-7037000,0,-11320000,-0.14839,-0.22733,-0.29337,-0.04661,-0.03822,0.91305,5.74786,0.21959,0,-0.2833,-0.2833,0.96567,6.07766,-0.25866,0.06,-0.03453,-0.04,-0.21181,23.26773,17.0433
"46","2022_Q3",6.8190625,"Down",117796000,-115795000,2001000,-1669000,-755000,110000,332000,-1135000,714000,-33000,747000,-803000,-3239000,-4042000,938000,-3104000,-3104000,-3104000,-3104000,168580000,129154000,39426000,37488000,37488000,31584000,15191000,1827000,3584000,252843000,79145000,5398000,5398000,84543000,337386000,52725000,42051000,5422000,8091000,8091000,60816000,13764000,167000,13597000,13764000,74580000,282447000,-19702000,61000,262806000,262806000,337386000,-3104000,2706000,1511000,7553000,8666000,-918000,0,3047000,2129000,-2625000,-2625000,8170000,8170000,8170000,3038000,0,8735000,0.01699,0.00281999999999996,-0.02635,-0.01181,-0.0092,-2.81411,4.15751,0.28378,0,-0.07093,-0.07093,2.69167,6.00518,0.1996,0.05998,-0.00173,0.03158,-0.84568,-55.49045,-507.77108
