"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","interest_dividends_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"32","2018_Q1",13.2068852459016,"Down",278544000,-104842000,173702000,-113212000,-45814000,-67398000,60490000,-39883000,-40625000,20607000,14999000,35606000,-154000,35527000,35527000,18945000,6.5e+07,31238000,31238000,16083000,16083000,47321000,6370286000,7824763000,-1454477000,876412000,472265000,404147000,7246698000,7294019000,17987000,17987000,228300000,228300000,2777353000,1239478000,1239478000,4016831000,1251224000,1766495000,3104950000,3277188000,7294019000,66328000,67398000,-50700000,1629000,84655000,-152566000,-97498000,-92676000,1.15e+08,-5118000,17206000,4363000,4363000,4363000,127888000,3770544000,-22895000,0.62361,0.21716,0.23336,0.01983,0.00891,-0.35223,0.01704,1.22569,0.51694,0.27372,0.2737,1.17297,13.07518,-0.09641,0.39027,0.02237,-0.00325,1.42578,29.23891,61.81693
"33","2018_Q2",13.4609375,"Up",275770000,-108098000,167672000,-95457000,-25118000,-70339000,72215000,-42839000,-43552000,29376000,27091000,56467000,-260000,56251000,56251000,54868000,236022000,39161000,39161000,14080000,14080000,53241000,6452847000,7958274000,-1505427000,877976000,490505000,387471000,7330823000,7384064000,35075000,35075000,194534000,194534000,3271738000,696209000,696209000,3967947000,1158508000,2089090000,3248163000,3416117000,7384064000,237405000,70339000,-212215000,-11495000,84034000,-135664000,80349000,-92674000,-55736000,-9963000,-158463000,5920000,5920000,5920000,142554000,3738338000,-4345000,0.60801,0.26187,0.85587,0.06909,0.03196,-0.01841,0.01627,1.16154,0.50627,0.99387,0.99381,1.16124,13.67774,-0.0183,0.39024,0.04594,-0.00061,0.39265,25.9493,51.2245
"34","2018_Q3",15.2920634920635,"Up",277293000,-110137000,167156000,-101378000,-29078000,-72300000,65778000,-44094000,-44813000,21684000,22640000,44324000,-105000,44226000,44226000,42825000,123587000,30657000,30657000,108704000,108704000,139361000,6431978000,7987732000,-1555754000,864297000,472272000,392025000,7296275000,7435636000,26015000,26015000,204616000,204616000,3289110000,702953000,702953000,3992063000,1066080000,2213533000,3279332000,3443573000,7435636000,124988000,72300000,-107333000,5135000,95090000,-34890000,81486000,-92676000,7333999.99999997,-5114000,-90456000,86120000,86120000,86120000,138078000,3761432000,108428000,0.60281,0.23721,0.44569,0.03589,0.01662,0.87734,0.04237,1.15928,0.50587,0.52039,0.5203,1.16761,13.80847,0.45656,0.39024,0.03002,0.01505,0.74988,27.01933,56.71767
"35","2018_Q4",12.6360317460317,"Down",278879000,-115906000,162973000,-102693000,-31032000,-71661000,60280000,-44508000,-45416000,15772000,30679000,46451000,-79000,47203000,47203000,45806000,45806000,47657000,47657000,108335000,108335000,155992000,6409612000,8017214000,-1607602000,887840000,450219000,437621000,7297452000,7453444000,34727000,34727000,231296000,231296000,3227192000,831772000,831772000,4058964000,974763000,2259338000,3233993000,3394480000,7453444000,47203000,71661000,-34844000,22878000,106898000,-24892000,-24892000,-92681000,32774000,-5151000,-65375000,16631000,16631000,16631000,131941000,3792941000,130006000,0.58439,0.21615,0.16425,0.01349,0.00615,2.83819,0.04834,1.19575,0.50888,0.19286,0.19282,1.17417,13.61618,0.54737,0.39022,0.01927,0.01809,2.02334,28.38605,62.13145
"36","2019_Q1",11.2340983606557,"Down",285222000,-118396653.583397,155931548.178628,-524173000,-657000.000000004,-71935000,95190000,-44278000,-45506000,50912000,94220000,145132000,-32000,144734000,144734000,143373000,-118543000,54976000,54976000,15095000,15095000,70071000,6341908000,7876300000,-1534392000,748447000,419244000,329203000,7090355000,7160426000,26182000,26182000,219653000,219653000,3206966000,773590000,773590000,3980556000,882582000,2140796000,3023112000,3179870000,7160426000,-117182000,71935000,165487000,-13422000,106818000,294537000,-37852000,-92715000,-56928000,-5240000,-154887000,-85921000,-85921000,-85921000,167125000,3734721000,448272000,0.569162459644728,0.33374,-0.41562,-0.03728,-0.01656,-3.78151,0.02185,1.2518,0.52158,-0.49899,-0.49892,1.20059,12.72525,1.88692,0.39027,-0.00374,0.06483,-0.78212,22.01792,38.65684
"37","2019_Q2",7.45444444444444,"Down",266286000,-117222000,149064000,-82046000,-9816000,-72230000,67018000,-44574000,-45611000,22444000,8912000,31356000,-134000,31626000,31626000,30204000,30082000,39875000,39875000,14877000,14877000,54752000,6298986000,7859676000,-1560690000,792162000,401209000,390953000,7091148000,7145900000,35241000,35241000,178937000,178937000,3175050000,857412000,857412000,4032462000,790083000,2170878000,2960761000,3113438000,7145900000,31504000,72230000,-19758000,-42461000,41515000,-46237000,-43308000,-92714000,84691000,-5503000,-13526000,-15319000,-15319000,-15319000,139248000,3818284000,50684000,0.55979,0.25168,0.11297,0.00966000000000002,0.00421,1.68486,0.01724,1.29518,0.53433,0.12662,0.12661,1.12088,12.46279,0.21335,0.39026,0.01772,0.00731,3.08204,27.13439,56.37902
"38","2019_Q3",7.865,"Up",262003000,-120193000,141810000,-82791000.0000001,-8867000,-73924000,59019000,-45251000,-46412000,13768000,-67581000,-53813000,35000,-53648000,-53648000,-55061000,-37229000,48033000,48033000,13133000,13133000,61166000,6324308000,7939588000,-1615280000,713236000,383688000,329548000,7037544000,7098710000,25417000,25417000,197788000,197788000,2741768000,1320233000,1320233000,4062001000,754783000,2133649000,2888303000,3036709000,7098710000,-35816000,73924000,47308000,-1057000,84359000,-89513000,-58326000,-35659000,21757000,-5684000,-19619000,6414000,6414000,6414000,132943000,3838796000,42338000,0.54125,0.22526,-0.14209,-0.01226,-0.00524,-1.13723,0.02231,1.33763,0.54077,-0.1567,-0.15672,1.1028,12.15718,0.17821,0.15009,-0.00023,0.00616,-0.95783,28.5142,64.22954
"39","2019_Q4",7.8059375,"Down",255827000,-125083000,130744000,-82972000,-9604000,-73368000,47772000,-44579000,-44817000,3193000,-35551000,-32358000,146000,-32129000,-32129000,-33573000,-29390000,49462000,49462000,13987000,13987000,63449000,6189671000,7844812000,-1655141000,663870000,359909000,303961000,6853541000,6916990000,30308000,30308000,182923000,182923000,2731728000,1217040000,1217040000,3948768000,719395000,2104259000,2823479000,2968222000,6916990000,-27946000,73368000,26243000,-1869000,69796000,-39396000,75400000,-35661000,-101886000,-5107000,-142913000,2283000,2283000,2283000,121140000,3735537000,79729000,0.51106,0.18674,-0.11488,-0.0099,-0.00425,-2.71279,0.0232300000000001,1.33035,0.54005,-0.12369,-0.12369,1.07668,11.88298,0.33555,0.15008,0.000939999999999997,0.01189,-1.21337,30.42822,77.15974
"40","2020_Q1",6.18435483870968,"Down",256039000,-126572000,129467000,-78244000,-8741000,-69503000,51223000,-42921000,-42331000,8302000,-36329000,-28027000,-483000,-28727000,-28727000,-29804000,-51697000,37357000,37357000,224437000,14867000,261794000,5890785000,7461586000,-1570801000,499676000,339082690.363556,499676000,6392032000,6653826000,24060000,24060000,158813000,158813000,182873000,3578366000,3593903000,3776776000,683957000,2052562000,2736519000,2877050000,6653826000,-50620000,69503000,56790000,-5498000,70175000,156334000,112405000,-35685000,-152407000,-5706000,-193805000,-11225000,-11225000,-11225000,120726000,3578366000,272045000,0.50565,0.20006,-0.20191,-0.01797,-0.00777,-5.2623,1.43156,1.31273,0.53779,-0.21752,-0.21752,1.07733,11.51438,1.14468,0.15015,-0.00247,0.04204,-0.69027,29.33096,69.12928
"41","2020_Q2",3.35952380952381,"Down",442467000,-316585000,125882000,-77262000,-8832000,-68430000,48620000,-41512000,-41650000,7108000,3592000,10700000,443000,11143000,11143000,9735000,9735000,69545000,69545000,15691000,15691000,85236000,5822344000,7434672000,-1612328000,796143000,323134000,473009000,6618487000,6703723000,29236000,29236000,255114000,255114000,2799871000,1108465000,1116683000,3916554000,588700000,2062297000,2650997000,2787169000,6703723000,11143000,68430000,-6936000,-16325000,56312000,-26641000,-26641000,-35684000,45034000,-5988000,3341000,33012000,33012000,33012000,117050000,3623986000,73641000,0.2845,0.10988,0.022,0.00349,0.00145,7.56456,0.03044,1.40521,0.54059,0.04096,0.04096,1.86169,11.15416,0.30985,0.15014,0.00708,0.01147,3.66554,30.36686,73.10656
"42","2020_Q3",3.71625,"Up",410311000,-301915000,108396000,-76137000,-7312000,-68825000,32259000,-36238000,-43974000,-3979000,-19637000,-23616000,-1126000,-24742000,-24742000,-26072000,-26072000,78485000,78485000,15283000,15283000,93768000,5853331000,7519575000,-1666244000,653424000,310657000,342767000,6506755000,6600523000,27162000,27162000,243285000,243285000,3568779000,271063000,276904000,3845683000,586729000,2036225000,2622954000,2754840000,6600523000,-24742000,68825000,16855000,-6577000,54361000,18957000,19244000,-2379000,-51989000,-10697000,-65073000,8532000.00000001,8532000.00000001,8532000.00000001,101084000,3569395000,114590000,0.26418,0.07862,-0.06354,-0.00946,-0.00395,-4.39514,0.02627,1.39597,0.54077,-0.10968,-0.10968,1.72618,11.03477,0.48208,0.01001,-0.00374,0.0181,-0.09125,34.53474,108.21507
"43","2020_Q4",3.76390625,"Up",394339000,-315650000,78689000,-74199000,-6988000,-67211000,4490000,-57957000,-50083000,-53467000,-51956000,-105423000,-365000,-105788000,-105788000,-106888000,-106888000,82241000,82241000,16134000,16134000,98375000,5719867000,7371731000,-1651864000,716876000,298429000,418447000,6436743000,6535118000,53681000,53681000,264003000,264003000,3616619000,268959000,276793000,3893412000,584707000,1929337000,2514044000,2641706000,6535118000,-105788000,67211000,52227000,34656000,48306000,-34739000,-34739000,-2380000,-734000,-5704000,-8960000,4607000,4607000,4607000,71701000,3567894000,71983000,0.19955,0.01139,-0.27106,-0.04046,-0.01636,-0.67344,0.0272,1.47382,0.54596,-0.44958,-0.44958,1.65861,10.57418,0.30276,0.01001,-0.01681,0.01158,-0.02227,48.61373,776.3147
"44","2021_Q1",4.40688524590164,"Up",384909000,-302207000,82702000,-73142000,-7461000,-65681000,9560000,-47555000,-47555000,-37995000,23277000,-14718000,-202000,-14920000,-14920000,-16228000,-16228000,74417000,74417000,16432000,16432000,90849000,5715829000,7410730000,-1694901000,595974000,286513000,309461000,6385575000,6476424000,23772000,23772000,238717000,238717000,262489000,3566641000,3594713000,3857202000,582728000,1913109000,2495837000,2619222000,6476424000,-14920000,65681000,-26267000,-24929000,-435000,1700000.00000001,1699999.99999999,-2382000,-752000.000000119,-5657000,-8790999.99999994,-7526000.00000006,-7526000.00000006,-7526000.00000006,75241000,3566641000,52214000,0.21486,0.02484,-0.04216,-0.0062,-0.00251,-3.21753,0.34611,1.47265,0.55071,-0.06823,-0.06823,1.61839,10.49399,0.21954,0.01002,-0.00223,0.0084,-0.14678,46.41384,365.2954
"45","2021_Q2",3.96206349206349,"Down",362724000,-287391000,75333000,-73695000,-7542000,-66153000,1638000,-57256000,-57256000,-55618000,-10327000,-65945000,-238000,-66183000,-66183000,-67505000,-67505000,843237000,843237000,390331000,326768000,1233568000,5746171000,7488777000,-1742606000,562967000,274987000,287980000,6309138000,7542706000,52807000,52807000,286623000,286623000,339430000,4657693000,4658086000,4997516000,580573000,1845604000,2426177000,2545190000,7542706000,-66183000,66153000,9754000,25098000,34822000,-35303000,-35303000,-2383000,1091721000,-9701000,1079637000,1079156000,1079156000,1079156000,67791000,4657693000,57824000,0.20769,0.00452,-0.18611,-0.02652,-0.00895,-0.85659,3.63423,1.96351,0.61751,-0.28383,-0.28383,1.52511,10.20114,0.24313,0.01002,-0.00904,0.00803,-0.0353,56.26788,2328.72772
"46","2021_Q3",3.6284375,"Down",346341000,-264632000,81709000,-77014000,-9126000,-67888000,4695000,-51619000,-51619000,-46924000,14470000,-32454000,-191000,-32645000,-32645000,-34222000,-34222000,849079000,849079000,59010000,59010000,908089000,5732466000,7524938000,-1792472000,539297000,263657000,275640000,6271763000,7179852000,32690000,32690000,285134000,285134000,317824000,4356879000,4356879000,4674703000,578807000,1811382000,2390189000,2505149000,7179852000,-32645000,67888000,-26961000,-16058000,-7776000.00000001,54892000,54892000,-2383000,-300779000,-5811000,-309032000,-261916000,-261916000,-261916000,72583000,4356879000,111608000,0.23592,0.01356,-0.09881,-0.01366,-0.00477,-3.26129,2.85721,1.86604,0.60682,-0.14389,-0.14389,1.45623,10.04982,0.46927,0.01002,-0.00464,0.01626,-0.06963,48.32812,747.13525
"47","2021_Q4",3.116875,"Down",337416000,-266073000,71343000,-77572000,-8870000,-68702000,-6229000,-63517000,-63517000,-69746000,-17663000,-87409000,-595000,-88004000,-88004000,-89343000,-89343000,794739000,794739000,16698000.0000001,16698000,811437000,5713373000,7554545000,-1841172000,541238000,252629000,288609000,6254611000,7066048000,47234000,47234000,253624000,253624000,300858000,4355533000,4355533000,4656391000,576843000,1722039000,2298882000,2409657000,7066048000,-88004000,68702000,14775000,-35717000,-40244000,-42474000,-42474000,-2384000,-791000,-10437000,-13934000,-96652000,-96652000,-96652000,62473000,4355533000,-15123000,0.21144,-0.01846,-0.26479,-0.03708,-0.01264,0.16927,2.69708,1.93239,0.6164,-0.37565,-0.37565,1.4187,9.66591,-0.06359,0.01002,-0.01285,-0.00224,-0.02668,56.99733,-571.64778
"48","2022_Q1",2.95629032258065,"Down",336731000,-273716000,63015000,-76937000,-8549000,-68388000,-13922000,-62732000,-62732000,-76654000,443818000,367164000,-406000,366758000,366758000,365585000,365585000,634848000,634848000,382097000,382097000,1016945000,5075749000,6813556000,-1737807000,530820000,48746000,266947000,5606569000,6623514000,29845000,29845000,252199000,252199000,282044000,3679080000,3679080000,3961124000,574766000,2087624000,2662390000,2662390000,6623514000,366758000,68388000,-446832000,-38439000,-50125000,-101463000,265581000,-2390000,-810000.00000006,-6746000,-9948000.00000006,205508000,205508000,205508000,54466000,3679080000,-85030000,0.18714,-0.04134,1.08569,0.13731,0.0552,-0.232590000000001,3.60563,1.48781,0.55546,1.53714,1.53714,1.41582,11.19432,-0.35752,0.01005,0.05803,-0.01341,0.00653999999999999,55.89234,-218.66341
"49","2022_Q2",2.22048387096774,"Down",310733000,-268742000,41991000,-64544000,-7285000,-57259000,-22553000,-56736000,-56736000,-79289000,317830000,238541000,-1472000,240423000,240423000,240423000,240423000,732058000,732058000,759938000,759938000,1491996000,4723503000,6413183000,-1689680000,559880000,40231000,252908000,5283383000,6775379000,45579000,45579000,250485000,250485000,296064000,3578582000,3578582000,3874646000,572686000,2328047000,2900733000,2900733000,6775379000,240423000,57259000,-319188000,14242000,-7264000,588353000,588353000,-2390000,-100838000,-2805000,-106038000,475051000,475051000,475051000,34706000,3578582000,638773000,0.13514,-0.07258,0.77373,0.08288,0.03548,2.65687,5.03944,1.33575,0.52817,1.01089,1.01089,1.30651,12.19646,2.68579,0.01005,0.03748,0.09859,0.00994,82.01821,-126.21487
"50","2022_Q3",1.5653125,"Down",313028000,-266066000,46962000,-65468000,-7207000,-58261000,-18506000,-53709000,-53709000,-72215000,-41012000,-113227000,640000,-109383000,-109383000,-109383000,-109383000,705160000,705160000,163242000,163242000,868402000,4734078000,6472457000,-1738379000,543384000,37359000,347266000,5277462000,6145864000,27639000,27639000,255015000,255015000,282654000,3073585000,3073585000,3356239000,570961000,2218664000,2789625000,2789625000,6145864000,-109383000,58261000,39527000,-12997000,-24592000,-60309000,-60639000,-2390000,-511583000,-24390000,-538363000,-623594000,-623594000,-623594000,39755000,3073585000,-34191000,0.15002,-0.05912,-0.34944,-0.03921,-0.0178,0.31258,3.07231,1.20311,0.50011,-0.45991,-0.45991,1.31616,11.72929,-0.14376,0.01005,-0.01825,-0.00583,-0.02185,59.57553,-127.98147
