"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"39","2020_Q2",15.4888888888889,"Up",4141000,-26278000,-5647000,-20631000,-22137000,124000,-348000,-22013000,-22013000,-22018000,-22018000,-22018000,-22018000,104988000,34444000,14710000,3727000,10983000,124198000,19301000,14234000,14234000,36545000,160743000,13301000,1770000,11531000,30535000,10297000,43836000,30253000,14375000,33141000,76977000,269627000,-186143000,282000,83766000,83766000,160743000,-22018000,618000,2372000,879000,-18149000,-938000,-32951000,3e+05,3e+05,93000,-51007000,-51007000,-51007000,-21519000,2888000,-0.26285,-0.13698,2.83324,0.91895,0.01797,-0.48233,-0.48233,0.09071,1.835,-0.18834,4.74464,4.61219
"40","2020_Q3",11.85125,"Down",6909000,-36826000,-6412000,-30414000,-29917000,-74000.0000000001,-360000,-29991000,-31228000,-31228000,-31228000,-31228000,-31228000,91006000,27645000,12574000,3347000,9227000,108080000,20224000,14106000,14106000,34330000,142410000,15789000,1660000,14129000,25612000,7110000,41401000,30429000,18852000,45150000,86551000,273058000,-217371000,172000,55859000,55859000,142410000,-31228000,7e+05,4412000,1792000,-24324000,-2491000,7674000,381000,381000,10076000,-6574000,-6574000,-6574000,-29217000,14721000,-0.55905,-0.21928,2.61056,1.54945,0.10337,-0.68295,-0.68295,0.1511,1.22162,-0.30916,2.61098,2.54989
"41","2020_Q4",9.84765625,"Down",4298000,-27169000,-7547000,-19622000,-22871000,-354000,-521000,-23225000,-23225000,-23225000,-23225000,-23225000,-23225000,116226000,33410000,8929000,4889000,4040000,129655000,20889000,16833000,16833000,39722000,169377000,15796000,2565000,13231000,24601000,7539000,40397000,29717000,20997000,44539000,84936000,324964000,-240596000,73000,84441000,84441000,169377000,-23225000,1208000,3523000,-1324000,-19818000,-1068000,-22592000,48621000,48621000,48618000,6208000,6208000,6208000,-21663000,14822000,-0.27504,-0.13712,3.20952,1.00586,0.08751,-0.47349,-0.47349,0.08762,1.7215,-0.18007,4.68098,4.43374
"42","2021_Q1",11.6893442622951,"Up",3497000,-29414000,-7116000,-22298000,-25917000,-373000,-476000,-26290000,-28445000,-28445000,-28445000,-28445000,-28445000,93885000,25218000,5265000,4140000,1125000,99384000,22254000,18239000,18239000,40493000,139877000,14925000,2350000,12575000,22628000,7825000,37553000,28058000,23520000,42984000,80537000,328314000,-269041000,17000,59340000,59340000,139877000,-28445000,1391000,5599000,-51000,-21506000,-2880000,13206000,110000,110000,108000,-8192000.00000001,-8192000.00000001,-8192000.00000001,-24526000,14926000,-0.47936,-0.20336,2.6465,1.35721,0.10671,-0.56904,-0.56904,0.06996,1.18609,-0.27799,3.2194,3.04661
"43","2021_Q2",8.72603174603175,"Down",3220000,-29549000,-8181000,-21368000,-26329000,-449000,-501000,-26778000,-26778000,-26778000,-26778000,-26778000,-26778000,202284000,98786000,6897000,6178000,719000,209181000,21707000,15771000,15771000,42593000,251774000,11605000,1804000,9801000,64971000,14446000,76576000,51812000,13109000,66843000,143419000,404116000,-295819000,2000,108355000,108355000,251774000,-26778000,1509000,4240000,63243000,42214000,-435000,-40387000,71742000,71742000,71741000,73568000,73568000,73568000,-24820000,15031000,-0.24713,-0.10636,2.73168,1.3236,0.0597,-0.50943,-0.50943,0.06126,2.0603,-0.15284,7.54444,7.11204
"44","2021_Q3",6.874375,"Down",15134000,-30049000,-8970000,-21079000,-14915000,-686000,-767000,-15601000,-15601000,-15601000,-15601000,-15601000,-15601000,197602000,43090000,7677000,7212000,465000,205279000,21206000,15204000,15204000,39482000,244761000,10981000,1907000,9074000,33727000,2936000,44708000,67633000,15089000,102651000,147359000,408758000,-311420000,8000,97402000,97402000,244761000,-15601000,1626000,4848000,-16203000,-25330000,-1355000,-50323000,129000,129000,19957000,-55696000,-55696000,-55696000,-13289000,35018000,-0.16017,-0.06374,4.59155,1.5129,0.14307,-0.27801,-0.27801,0.26969,1.73474,-0.07798,12.23448,10.9007
"45","2021_Q4",4.99421875,"Down",2379000,-31908000,-9027000,-22881000,-29529000,-858000,-1033000,-30387000,-30387000,-30387000,-30387000,-30387000,-30387000,169376000,27593000,8068000,7623000,445000,177444000,20451000,14021000,14021000,40485000,217929000,12616000,1311000,11305000,34781000,2541000,47397000,63176000,11874000,98427000,145824000,413857000,-341807000,-1000,72105000,72105000,217929000,-30387000,1693000,4824000,-940000,-24810000,-1323000,8457000,856000,856000,856000,-15497000,-15497000,-15497000,-27836000,35251000,-0.42143,-0.13944,3.74378,2.02238,0.16175,-0.54074,-0.54074,0.04233,1.28213,-0.17819,4.8184,4.54215
"46","2022_Q1",2.94532258064516,"Down",17964000,-27265000,-7928000,-19337000,-9301000,-942000,-1068000,-10243000,-10243000,-10243000,-10243000,-10243000,-10243000,143044000,24983000,5171000,3917000,1254000,148215000,19309000,15852000,15852000,44147000,192362000,11127000,1612000,9515000,35543000,2606000,46670000,44539000,11189000,80030000,126700000,417760000,-352050000,-48000,65662000,65662000,192362000,-10243000,1802000,4179000,-18199000,-22461000,-883000,19813000,38000,38000,38000,-2609999.99999999,-2609999.99999999,-2609999.99999999,-7499000,35491000,-0.156,-0.05325,3.17581,1.92958,0.1845,-0.32798,-0.32798,0.5752,2.10247,-0.07031,14.34231,11.5636
"47","2022_Q2",1.55935483870968,"Down",8486000,-29117000,-7620000,-21497000,-20631000,-980000,-1050000,-21611000,-21611000,-21611000,-21611000,-21611000,-21611000,124519000,19572000,7866000,2615000,5251000,132385000,18634000,12146000,12146000,30780000,163165000,7905000,2052064.56412487,7905000,37119000,2533000,45024000,34922000,10670000,70659000,115683000,421386000,-373661000,-299000,47482000,47482000,163165000,-21611000,1872000,3968000,-11925000,-27696000,-553000,21285000,-4201262.98631195,-4201262.98631195,2636942.47143178,-6411000,-6411000,-6411000,-18759000,35737000,-0.45514,-0.13245,2.94032,2.43635,0.21902,-0.38382,-0.38382,0.15071,0.8423,-0.18293,4.73277,4.30333
"48","2022_Q3",0.83796875,"Down",4417000,-27931000,-6566000,-21365000,-23514000,-906000,-1092000,-24420000,-24420000,-24420000,-24420000,-24420000,-24420000,104425000,26936000,6753000,2395000,4358000,111178000,17913000,11800000,11800000,29713000,140891000,10932000,1641000,9291000,35443000,2459000,46375000,32804000,10142000,68479000,114854000,424392000,-398081000,-330000,26037000,26037000,140891000,-24420000,1876000,3228000,847000,-18469000,-1347000,26107000,24000,24000,-274000,7364000,7364000,7364000,-21638000,35675000,-0.9379,-0.17333,2.39737,4.41118,0.25321,-0.43352,-0.43352,0.07841,0.46123,-0.25837,3.17728,2.92379
