"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accrued_taxes","interest_dividends_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"31","2017_Q4",40.1295238095238,"Down",1.853e+09,-1.188e+09,6.65e+08,-3.67e+08,-3.54e+08,-2.8e+07,1.5e+07,2.98e+08,-2.8e+07,-2.8e+07,2.7e+08,0,2.7e+08,-9.4e+07,1.76e+08,1.76e+08,1.76e+08,1.76e+08,3.13e+08,3.13e+08,6.18e+08,6.18e+08,7.91e+08,6.8e+07,6.8e+07,1.79e+09,2.372e+09,2.372e+09,3.289e+09,2.057e+09,1.113e+09,1.19e+08,5.661e+09,7.451e+09,1.23e+09,1.3e+07,1.11e+08,1.106e+09,1.122e+09,2.352e+09,2.27e+09,1.339e+09,4.12e+08,9.27e+08,3.609e+09,5.961e+09,3.6e+08,-9.34e+08,2.173e+09,-1.18e+08,1.481e+09,9e+06,1.49e+09,7.451e+09,1.76e+08,8e+07,2.4e+07,6.4e+07,3.44e+08,-7.6e+07,-1e+06,-7.7e+07,-1.07e+08,-8.3e+07,-7.1e+07,-7.1e+07,-1e+06,-2.62e+08,5e+06,5e+06,-1e+06,4e+06,3.78e+08,3.392e+09,4.6e+08,0.35888,0.16082,0.09498,0.11812,0.02362,2.61364,0.76105,4.00067,0.45524,0.57895,0.57516,6.09539,4.87171,1.51316,0.35197,0.04549,0.07394,0.60795,8.1455,10.33221
"32","2018_Q1",38.3324590163934,"Down",-3.89e+08,5.04e+08,1.15e+08,3.67e+08,-33000000.0000001,-1.3e+07,4.13e+08,4.82e+08,-3.1e+07,-3.1e+07,4.51e+08,-1.1e+07,4.4e+08,-8.5e+07,3.55e+08,3.18e+08,3.18e+08,3.18e+08,3.19e+08,3.19e+08,6.05e+08,6.05e+08,9.02e+08,7.4e+07,7.4e+07,1.9e+09,2.454e+09,2.454e+09,3.372e+09,2.115e+09,1.118e+09,1.39e+08,5.826e+09,7.726e+09,1.358e+09,2e+07,1.11e+08,1.227e+09,1.037e+09,2.395e+09,2.499e+09,1.187e+09,4.9e+08,6.97e+08,3.686e+09,6.081e+09,3.71e+08,-1.066e+09,2.385e+09,-5.3e+07,1.637e+09,8e+06,1.645e+09,7.726e+09,3.18e+08,8.4e+07,-1.12e+08,-1.3e+07,2.77e+08,-1.43e+08,-1.6e+07,-1.59e+08,-1.06e+08,1.08e+08,-1.32e+08,-1.32e+08,2e+06,-1.28e+08,-1e+07,-1e+07,1.6e+07,6e+06,5.66e+08,3.536e+09,4.95e+08,-0.29563,-1.23907,-0.81748,0.19331,0.04116,1.5566,0.79332,3.69666,0.45768,1.05298,1.04605,-1.28808,5.42053,1.63907,0.35099,0.06658,0.07773,0.33333,5.68375,6.67427
"33","2018_Q2",33.38265625,"Down",2.161e+09,-1.378e+09,7.83e+08,-3.69e+08,-3.68e+08,-3e+07,2.9e+07,4.14e+08,-3e+07,-3e+07,3.84e+08,-2e+06,3.82e+08,-1.07e+08,2.75e+08,2.75e+08,2.75e+08,2.75e+08,1.63e+08,1.63e+08,7.66e+08,7.66e+08,1.001e+09,6.6e+07,6.6e+07,1.996e+09,2.417e+09,2.417e+09,3.333e+09,2.086e+09,1.112e+09,1.35e+08,5.75e+09,7.746e+09,1.391e+09,5.3e+07,1.07e+08,1.231e+09,1.192e+09,2.583e+09,2.269e+09,1.205e+09,5.31e+08,6.74e+08,3.474e+09,6.057e+09,3.17e+08,-1.106e+09,2.555e+09,-8.5e+07,1.681e+09,8e+06,1.689e+09,7.746e+09,2.75e+08,8.2e+07,4.7e+07,-2.16e+08,1.88e+08,-5.8e+07,-5e+06,-6.3e+07,-1.11e+08,-6e+07,-8.6e+07,-8.6e+07,-2.2e+07,-2.79e+08,-1.54e+08,-1.54e+08,-2e+06,-1.56e+08,4.96e+08,3.461e+09,3.29e+08,0.36233,0.19158,0.12726,0.16282,0.0355,1.19636,0.77274,3.58615,0.44681,0.91362,0.9106,7.1794,5.58472,1.09302,0.36877,0.06074,0.05177,0.40364,6.64919,7.96618
"34","2018_Q3",35.2401587301587,"Up",2.18e+09,-1.414e+09,7.66e+08,-4.9e+08,-3.93e+08,-2.7e+07,-7e+07,2.76e+08,-3.2e+07,-3.2e+07,2.44e+08,-3.3e+07,2.11e+08,7.4e+07,2.85e+08,2.85e+08,2.85e+08,2.85e+08,1.96e+08,1.96e+08,7.38e+08,7.38e+08,8.69e+08,1.25e+08,1.25e+08,1.928e+09,2.518e+09,2.518e+09,3.89e+09,2.259e+09,1.485e+09,1.46e+08,6.408e+09,8.336e+09,1.353e+09,1.7e+07,1.06e+08,1.23e+09,1.659e+09,3.012e+09,2.247e+09,1.128e+09,3.83e+08,7.45e+08,3.375e+09,6.387e+09,3.33e+08,-1.104e+09,2.734e+09,-2.1e+07,1.942e+09,7e+06,1.949e+09,8.336e+09,2.85e+08,7.9e+07,27000000.0000001,8.1e+07,4.72e+08,-7.4e+07,-6e+06,-7.62e+08,-1.05e+08,4.23e+08,0,0,-1000000.00000001,3.17e+08,2.7e+07,2.7e+07,6e+06,3.3e+07,3.55e+08,3.906e+09,2.88e+08,0.35138,0.12661,0.13073,0.14623,0.03419,1.01053,0.64011,3.27707,0.46857,0.94684,0.94371,7.24252,6.45183,0.95681,0.34884,0.05585,0.04124,0.36842,10.4507,13.44203
"35","2018_Q4",33.0144444444444,"Down",1.402e+09,-8.32e+08,5.7e+08,-3.02e+08,-3.28e+08,-2.2e+07,4.8e+07,2.68e+08,-4.2e+07,-4.2e+07,2.26e+08,-2.3e+07,2.03e+08,-7.3e+07,1.3e+08,-3.93e+08,-3.93e+08,-3.93e+08,1.99e+08,1.99e+08,8.73e+08,8.73e+08,1.076e+09,1.81e+08,1.81e+08,2.329e+09,3.174e+09,3.174e+09,9.063e+09,4.608e+09,4.273e+09,1.82e+08,1.2237e+10,1.4566e+10,1.64e+09,1.4e+07,1.07e+08,1.519e+09,1.763e+09,3.403e+09,8.08e+09,1.672e+09,9.36e+08,7.36e+08,9.752e+09,1.3155e+10,3.48e+08,-1.104e+09,2.236e+09,-7.6e+07,1.404e+09,7e+06,1.411e+09,1.4566e+10,-3.93e+08,1.05e+08,5.86e+08,6.6e+07,3.64e+08,-9.1e+07,-1e+06,-6.183e+09,-1.05e+08,6.028e+09,0,0,-9.6e+07,5.827e+09,8e+06,8e+06,-5e+06,3e+06,3.73e+08,9.843e+09,4.21e+08,0.40656,0.19116,-0.28031,-0.27853,-0.02698,-1.07125,0.6844,9.32318,0.67575,-1.30565,-1.30132,4.65781,4.66445,1.39867,0.34884,-0.02228,0.03257,-0.26718,25.85523,35.98507
"36","2019_Q1",31.1286885245902,"Down",8.72e+08,-6.17e+08,2.55e+08,-1.48e+08,-2.02e+08,-1.2e+07,6.6e+07,1.07e+08,-7.6e+07,-7.6e+07,3.1e+07,3e+06,3.4e+07,2.98023223876953e-08,3.4e+07,94000000.0000001,9.4e+07,9.4e+07,4.9e+07,4.9e+07,5.63e+08,5.63e+08,8.87e+08,7.97e+08,7.1e+07,2.296e+09,2.466e+09,2.466e+09,9.767e+09,3.864e+09,3.664e+09,2.239e+09,1.2233e+10,1.4529e+10,1.338e+09,1e+07,1.07e+08,1.221e+09,1.525e+09,3.594e+09,7.991e+09,1.571e+09,9.6e+08,6.11e+08,9.562e+09,1.3156e+10,3.61e+08,-1.103e+09,2.224e+09,-1.18e+08,1.364e+09,9e+06,1.373e+09,1.4529e+10,9.4e+07,1.28e+08,-3.3e+07,9.2e+07,2.81e+08,-1.84e+08,-6e+06,-189000000.000001,-1.05e+08,4.8e+07,0,0,-1e+06,-5.8e+07,3.4e+07,3.4e+07,-7e+06,2.7e+07,2.35e+08,9.516e+09,1.43e+08,0.29243,0.12271,0.1078,0.06846,0.00647000000000001,1.52128,0.63884,9.58194,0.65497,0.31229,0.311259999999999,2.89701,4.53156,0.47508,0.34884,0.01597,0.01148,1.11702,40.28511,88.47664
"37","2019_Q2",34.9450793650794,"Up",2.202e+09,-1.476e+09,7.26e+08,-3.82e+08,-3.59e+08,-2.3e+07,0,3.44e+08,-9e+07,-9e+07,2.54e+08,-1.8e+07,2.36e+08,-5.6e+07,1.8e+08,1.94e+08,1.94e+08,1.94e+08,2.05e+08,2.05e+08,9.95e+08,9.95e+08,1.226e+09,9.5e+07,9.5e+07,2.521e+09,3.162e+09,3.162e+09,8.904e+09,4.689e+09,3.991e+09,2.24e+08,1.2066e+10,1.4587e+10,1.817e+09,5.5e+07,1.07e+08,1.655e+09,1.845e+09,3.662e+09,8.001e+09,1.509e+09,9.6e+08,5.49e+08,9.51e+09,1.3172e+10,3.51e+08,-1.084e+09,2.295e+09,-1.56e+08,1.406e+09,9e+06,1.415e+09,1.4587e+10,1.94e+08,1.22e+08,6.1e+07,-1.46e+08,2.31e+08,-1.11e+08,1.1e+07,-1e+08,-1.07e+08,-3.5e+07,1166913.48276474,1166913.48276474,-6e+06,-1.48e+08,-1.7e+07,-1.7e+07,-4e+06,-2.1e+07,4.66e+08,9.846e+09,2.65e+08,0.3297,0.15622,0.0881,0.1371,0.0133,1.36598,0.68842,9.30883,0.67498,0.64452,0.64238,7.31561,4.6711,0.8804,0.35548,0.02357,0.02075,0.55155,20.68884,28.02616
"38","2019_Q3",38.7584375,"Up",3.205e+09,-2.393e+09,8.12e+08,-7.66e+08,-5.09e+08,-2.7e+07,-2.3e+08,45999999.9999999,-9.5e+07,-9.5e+07,-49000000.0000001,-3e+06,-52000000.0000001,6999999.99999999,-44999999.9999999,-5.9e+07,-5.9e+07,-5.9e+07,2.03e+08,2.03e+08,9.27e+08,9.27e+08,1.076e+09,88999999.9999999,8.9e+07,2.295e+09,3.036e+09,3.036e+09,8.693e+09,4.721e+09,3.752e+09,2.2e+08,1.1729e+10,1.4024e+10,1.845e+09,2.4e+07,1.07e+08,1.714e+09,1.454e+09,3.299e+09,8.003e+09,1.444e+09,9.04e+08,5.4e+08,9.447e+09,1.2746e+10,3.61e+08,-1.079e+09,2.13e+09,-1.43e+08,1.269e+09,9e+06,1.278e+09,1.4024e+10,-5.9e+07,1.19e+08,3e+08,2.55e+08,6.15e+08,-8.7e+07,2e+06,-1.03e+08,-1.05e+08,-4.08e+08,0,0,-2e+06,-5.15e+08,-3000000.00000001,-3000000.00000001,1e+06,-2000000.00000001,1.65e+08,9.457e+09,3.26e+08,0.25335,0.01435,-0.01841,-0.04617,-0.00421,-5.52542,0.69567,9.9734,0.67434,-0.19601,-0.19536,10.64784,4.21595,1.08306,0.34884,0.00378,0.02677,-1.77966,56.08485,201.17391
"39","2019_Q4",42.88859375,"Up",1.722e+09,-9.12e+08,8.1e+08,-1.69e+08,-3.62e+08,-2.4e+07,2.17e+08,6.41e+08,-9.1e+07,-9.1e+07,5.5e+08,0,5.5e+08,-1.35e+08,4.15e+08,8.4e+07,8.4e+07,8.4e+07,2.02e+08,2.02e+08,7.53e+08,7.53e+08,8.84e+08,3.22e+08,1.02e+08,2.161e+09,2.769e+09,2.769e+09,8.838e+09,4.702e+09,3.587e+09,5.49e+08,1.1607e+10,1.3768e+10,1.638e+09,1.8e+07,1.07e+08,1.513e+09,1.773e+09,3.511e+09,7.507e+09,1.513e+09,9.9e+08,5.23e+08,9.02e+09,1.2531e+10,3.72e+08,-1.077e+09,2.107e+09,-1.74e+08,1.228e+09,9e+06,1.237e+09,1.3768e+10,8.4e+07,1.08e+08,1.39e+08,-2.9e+07,3.02e+08,-7.6e+07,3e+06,-1.9e+07,-1.06e+08,-1.71e+08,0,0,-1e+06,-2.78e+08,5e+06,5e+06,-2e+06,3e+06,7.49e+08,9.28e+09,7.79e+08,0.47038,0.37224,0.04878,0.06791,0.0061,9.27381,0.61549,10.13015,0.67403,0.27907,0.27815,5.72093,4.07973,2.58804,0.35216,0.01579,0.06475,1.2619,12.12016,14.16225
"40","2020_Q1",43.8356451612903,"Up",9.78e+08,-6.33e+08,3.45e+08,-3.66e+08,-2.22e+08,-1.7e+07,-1.27e+08,-20999999.9999999,-7.8e+07,-7.8e+07,-9.9e+07,-1e+07,-1.09e+08,3.3e+07,-75999999.9999999,-7999999.99999994,-8e+06,-8e+06,3.1e+07,3.1e+07,5.74e+08,5.74e+08,8.63e+08,4.99e+08,7.1e+07,1.967e+09,2.455e+09,2.455e+09,8.726e+09,4.017e+09,3.415e+09,1.27e+08,1.1181e+10,1.3148e+10,1.545e+09,1.5e+07,1.07e+08,1.423e+09,1.371e+09,3.385e+09,7.103e+09,1.548e+09,9.24e+08,6.24e+08,8.651e+09,1.2036e+10,3.84e+08,-1.076e+09,1.993e+09,-1.98e+08,1.103e+09,9e+06,1.112e+09,1.3148e+10,-8000000.00000003,9.7e+07,1.56e+08,5e+06,2.5e+08,-1.1e+08,-9.31322574615479e-10,3.75e+08,-1.05e+08,-5.45e+08,1.16415321826935e-10,1.16415321826935e-10,0,-6.5e+08,-2.5e+07,-2.5e+07,-2e+06,-2.7e+07,75999999.9999999,8.474e+09,-62000000.0000001,0.35276,-0.0214699999999999,-0.00818,-0.00719,-0.00061,7.75,0.58109,10.82374,0.64451,-0.02658,-0.0264899999999999,3.24917,3.66445,-0.20598,0.34884,0.00871,-0.00556999999999999,-13.125,111.09211,-402.04762
"41","2020_Q2",45.5979365079365,"Up",2.183e+09,-1.445e+09,7.38e+08,-4.18e+08,-3.4e+08,-2.2e+07,-5.6e+07,3.2e+08,-8e+07,-8e+07,2.4e+08,-3e+06,2.37e+08,-6.8e+07,1.69e+08,1.66e+08,1.66e+08,1.66e+08,6.1e+07,6.1e+07,7.29e+08,7.29e+08,8.87e+08,3.76e+08,6.1e+07,2.053e+09,2.352e+09,2.352e+09,8.705e+09,3.988e+09,3.383e+09,1.334e+09,1.1057e+10,1.311e+10,1.621e+09,5.6e+07,1.08e+08,1.457e+09,1.631e+09,3.435e+09,6.706e+09,1.72e+09,9.42e+08,7.78e+08,8.426e+09,1.1861e+10,3.68e+08,-1.053e+09,2.05e+09,-1.26e+08,1.239e+09,1e+07,1.249e+09,1.311e+10,1.66e+08,8.1e+07,1.22e+08,-1.87e+08,1.82e+08,-9.8e+07,-1e+06,2.69e+08,-1.07e+08,-3.38e+08,1e+06,1e+06,-9e+06,-4.53e+08,-2e+06,-2e+06,-1e+06,-3e+06,4.01e+08,8.337e+09,1.84e+08,0.33807,0.14659,0.07604,0.13291,0.01266,1.10843,0.59767,9.4964,0.63593,0.5515,0.54785,7.25249,4.11628,0.6113,0.35548,0.02415,0.01627,0.64458,20.6384,25.8625
"42","2020_Q3",45.61828125,"Up",2.162e+09,-1.42e+09,7.42e+08,-3.85e+08,-3.85e+08,-2.2e+07,2.2e+07,3.57e+08,-1.46e+08,-1.46e+08,2.11e+08,-7e+06,2.04e+08,-3.3e+07,1.71e+08,1.208e+09,1.208e+09,1.208e+09,57999999.9999999,57999999.9999999,6.6e+08,6.6e+08,7.79e+08,5.9e+07,5.9e+07,1.556e+09,2.336e+09,2.336e+09,7.762e+09,3.988e+09,3.373e+09,4.01e+08,1.0098e+10,1.1654e+10,1.634e+09,2999999.99999999,1.08e+08,1.523e+09,9.02e+08,2.536e+09,4.919e+09,1.7e+09,9.56e+08,7.44e+08,6.619e+09,9.155e+09,3.86e+08,-1.048e+09,3.151e+09,5e+06,2.494e+09,5e+06,2.499e+09,1.1654e+10,1.208e+09,8.1e+07,-9.38e+08,1.3e+08,4.81e+08,-6.9e+07,3e+06,2.099e+09,-1.06e+08,-8.31e+08,3e+06,3e+06,-1.765e+09,-2.699e+09,-1.19e+08,-1.19e+08,1e+06,-1.18e+08,4.38e+08,5.821e+09,5.32e+08,0.3432,0.16512,0.55874,0.48339,0.10366,0.440400000000001,0.61356,3.66347,0.49949,4.01329,3.9868,7.18272,8.28571,1.76744,0.35216,0.13114,0.05309,0.0877500000000021,13.15753,16.14286
"43","2020_Q4",45.0009375,"Down",2.238e+09,-1.466e+09,7.72e+08,-4.99e+08,-3.93e+08,-2.5e+07,-8.1e+07,2.73e+08,-5.5e+07,-5.5e+07,2.18e+08,0,2.18e+08,-5.2e+07,1.66e+08,1.68e+08,1.68e+08,1.68e+08,1.242e+09,1.242e+09,6.62e+08,6.62e+08,7.31e+08,1.11e+08,1.11e+08,2.746e+09,2.34e+09,2.34e+09,7.632e+09,3.981e+09,3.362e+09,2.89e+08,9.972e+09,1.2718e+10,1.765e+09,4.5e+07,1.08e+08,1.612e+09,1.504e+09,3.269e+09,5.191e+09,1.677e+09,9.59e+08,7.18e+08,6.868e+09,1.0137e+10,3.98e+08,-1.028e+09,3.212e+09,-7e+06,2.575e+09,6e+06,2.581e+09,1.2718e+10,1.68e+08,7.9e+07,1.2e+08,9.5e+07,4.62e+08,-5.3e+07,-1e+06,-5e+07,-1.07e+08,-8.93e+08,1.9e+07,1.9e+07,1.755e+09,7.74e+08,1.186e+09,1.186e+09,-2e+06,1.184e+09,3.52e+08,6.695e+09,4.46e+08,0.34495,0.12198,0.07507,0.06509,0.01321,2.65476,0.84001,3.92755,0.52642,0.55263,0.54902,7.36184,8.47039,1.46711,0.35197,0.02511,0.04072,0.6369,15.49148,19.97436
"44","2021_Q1",44.7122950819672,"Down",2.108e+09,-1.361e+09,7.47e+08,-5.81e+08,-4.51e+08,-2.4e+07,-1.06e+08,1.66e+08,-6e+07,-6e+07,1.06e+08,1e+06,1.07e+08,-2.1e+07,8.6e+07,85999999.9999999,8.6e+07,8.6e+07,8.59e+08,8.59e+08,5.75e+08,5.75e+08,8.71e+08,8e+07,8e+07,2.385e+09,2.368e+09,2.368e+09,7.619e+09,3.986e+09,3.35e+09,2.83e+08,9.987e+09,1.2372e+10,1.873e+09,2.4e+07,1.07e+08,1.742e+09,1.202e+09,3.075e+09,4.994e+09,1.734e+09,9.14e+08,8.2e+08,6.728e+09,9.803e+09,4.06e+08,-1.023e+09,3.19e+09,-1e+07,2.563e+09,6e+06,2.569e+09,1.2372e+10,85999999.9999999,8.7e+07,1.03e+08,-5e+06,2.71e+08,-7.9e+07,3e+06,-4.6e+07,-1.06e+08,-4.98e+08,-2.3e+07,-2.3e+07,18000000.0000005,-6.09e+08,-3.84e+08,-3.84e+08,1e+06,-3.83e+08,2.53e+08,6.196e+09,1.9e+08,0.35436,0.07875,0.0408,0.0334800000000001,0.00695,2.2093,0.77561,3.81588,0.50081,0.284770000000001,0.282889999999999,6.98013,8.48675,0.62914,0.35099,0.01829,0.0181,1.23256,21.09486,32.1506
"45","2021_Q2",45.542380952381,"Up",2.34e+09,-1.527e+09,8.13e+08,-3.51e+08,-3.49e+08,-2e+07,1.8e+07,4.62e+08,-5.5e+07,-5.5e+07,4.07e+08,-1e+06,4.06e+08,-9.7e+07,3.09e+08,3.09e+08,3.09e+08,3.09e+08,7.22e+08,7.22e+08,7.65e+08,7.65e+08,9.1e+08,6.6e+07,6.6e+07,2.463e+09,2.352e+09,2.352e+09,7.602e+09,3.987e+09,3.34e+09,2.75e+08,9.954e+09,1.2417e+10,1.822e+09,8.6e+07,1.08e+08,1.628e+09,1.084e+09,2.906e+09,4.996e+09,1.742e+09,9.39e+08,8.03e+08,6.738e+09,9.644e+09,3.82e+08,-9.91e+08,3.387e+09,-9e+06,2.769e+09,4e+06,2.773e+09,1.2417e+10,3.09e+08,7.6e+07,4.3e+07,-2.48e+08,1.8e+08,-7.4e+07,2e+06,-7.2e+07,-1.08e+08,-1.23e+08,-43881775.623416,-43881775.623416,-1.4e+07,-2.45e+08,-1.37e+08,-1.37e+08,1919407.156645,-1.37e+08,5.38e+08,6.08e+09,3.13e+08,0.34744,0.19744,0.13205,0.11143,0.02489,1.01294,0.84756,3.47782,0.48965,1.02318,1.01645,7.74834,9.16887,1.03642,0.35762,0.03936,0.02954,0.34951,9.95911,11.5974
"46","2021_Q3",41.37421875,"Down",2.279e+09,-1.496e+09,7.83e+08,-3.64e+08,-3.9e+08,-1.9e+07,4.5e+07,4.19e+08,-5.4e+07,-5.4e+07,3.65e+08,-1.8e+07,3.47e+08,-1.02e+08,2.45e+08,2.45e+08,2.45e+08,2.45e+08,9.46e+08,9.46e+08,7.02e+08,7.02e+08,8.15e+08,7.2e+07,7.2e+07,2.535e+09,2.329e+09,2.329e+09,7.634e+09,3.991e+09,3.329e+09,3.14e+08,9.963e+09,1.2498e+10,1.776e+09,1.7e+07,1.15e+08,1.644e+09,1.025e+09,2.801e+09,4.996e+09,1.776e+09,9.82e+08,7.94e+08,6.772e+09,9.573e+09,4e+08,-9.9e+08,3.517e+09,-5e+06,2.922e+09,3e+06,2.925e+09,1.2498e+10,2.45e+08,7.8e+07,6e+07,4.8e+07,4.31e+08,-5.8e+07,1e+07,-4.8e+07,-1.07e+08,-5.3e+07,-36524987.4264713,-36524987.4264713,-5.96046447753906e-08,-1.6e+08,2.23e+08,2.23e+08,1e+06,2.24e+08,4.97e+08,6.021e+09,5.89e+08,0.34357,0.18385,0.1075,0.08376,0.0196,2.40408,0.90503,3.27282,0.48176,0.80592,0.80065,7.49671,9.61184,1.9375,0.35197,0.03283,0.05493,0.43673,10.21127,12.11217
"47","2021_Q4",40.020625,"Down",1.984e+09,-1.356e+09,6.28e+08,-3.54e+08,-3.55e+08,-2.2e+07,2.3e+07,2.74e+08,-5.3e+07,-5.3e+07,2.21e+08,-2e+06,2.19e+08,-5.3e+07,1.66e+08,1.6e+08,1.6e+08,1.6e+08,2.09e+08,2.09e+08,5.8e+08,5.8e+08,8.6e+08,2.14e+08,9.2e+07,1.863e+09,2.313e+09,2.313e+09,7.554e+09,3.983e+09,3.249e+09,3.22e+08,9.867e+09,1.173e+10,1.746e+09,1e+06,1.15e+08,1.63e+09,2.04e+08,1.975e+09,4.997e+09,1.763e+09,9.99e+08,7.64e+08,6.76e+09,8.735e+09,4.13e+08,-9.86e+08,3.564e+09,2e+06,2.993e+09,2e+06,2.995e+09,1.173e+10,1.6e+08,7.9e+07,4.7e+07,-1.6e+07,2.7e+08,-5.8e+07,1e+06,-5.7e+07,-1.12e+08,-8.4e+08,-25655705.5162909,-25655705.5162909,1e+06,-9.51e+08,-7.38e+08,-7.38e+08,1e+06,-7.37e+08,3.53e+08,5.201e+09,3.32e+08,0.31653,0.1381,0.08065,0.05342,0.01364,2.075,0.94329,2.91653,0.44339,0.52805,0.52459,6.54785,9.87789,1.09571,0.36964,0.02731,0.03334,0.7,14.14164,18.21898
"48","2022_Q1",42.886935483871,"Up",1.873e+09,-1.286e+09,5.87e+08,-1.76e+08,-3.21e+08,-2.3e+07,1.68e+08,4.11e+08,-4.7e+07,-4.7e+07,3.64e+08,0,3.64e+08,-7.6e+07,2.88e+08,2.88e+08,2.88e+08,2.88e+08,6.9e+07,6.9e+07,5.95e+08,5.95e+08,9.33e+08,9.8e+07,9.8e+07,1.695e+09,2.37e+09,2.37e+09,7.669e+09,3.981e+09,3.239e+09,4.49e+08,1.0039e+10,1.1734e+10,1.766e+09,5e+06,1.15e+08,1.646e+09,4.8e+07,1.814e+09,5.01e+09,1.756e+09,1.051e+09,7.05e+08,6.766e+09,8.58e+09,4.26e+08,-1.021e+09,3.742e+09,5e+06,3.152e+09,2e+06,3.154e+09,1.1734e+10,2.88e+08,8.4e+07,-9.8e+07,-1.2e+08,1.54e+08,-8.5e+07,3e+06,1.9e+07,-1.12e+08,-1.65e+08,-3.6e+07,-3.6e+07,0,-3.13e+08,-1.4e+08,-1.4e+08,0,-1.4e+08,4.95e+08,5.058e+09,3.66e+08,0.3134,0.21943,0.15376,0.09131,0.02454,1.27083,0.9344,2.72036,0.43106,0.9505,0.94426,6.18152,10.40264,1.20792,0.36964,0.04013,0.03672,0.38889,10.07879,12.13869
"49","2022_Q2",46.0708064516129,"Up",2.236e+09,-1.514e+09,7.22e+08,-3.46e+08,-3.26e+08,-2.1e+07,1e+06,3.76e+08,-4.7e+07,-4.7e+07,3.29e+08,-65388970.3203779,3.29e+08,-6.8e+07,2.61e+08,2.61e+08,2.61e+08,2.61e+08,6.9e+07,6.9e+07,7.31e+08,7.31e+08,9.74e+08,1.02e+08,1.02e+08,1.876e+09,2.355e+09,2.355e+09,7.668e+09,3.982e+09,3.228e+09,4.58e+08,1.0023e+10,1.1899e+10,1.858e+09,5.5e+07,1.13e+08,1.69e+09,4.8e+08,2.338e+09,4.567e+09,1.757e+09,1.073e+09,6.84e+08,6.324e+09,8.662e+09,3.84e+08,-1.038e+09,3.882e+09,7e+06,3.235e+09,2e+06,3.237e+09,1.1899e+10,2.83e+08,8.3e+07,2.5e+07,-1.03e+08,2.88e+08,-6.9e+07,1e+06,-6.8e+07,-1.16e+08,-2.4e+07,-6.3e+07,-6.3e+07,-1.7e+07,-2.2e+08,0,0,-1070496.798505,0,4.59e+08,5.047e+09,3.55e+08,0.3229,0.16816,0.11673,0.08063,0.02193,1.36015,0.8024,2.67593,0.42415,0.86424,0.86139,7.40397,10.71192,1.1755,0.38411,0.03755,0.03536,0.44444,10.84532,13.23936
