"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","long_term_investments_receivables","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"21","2015_Q2",82.7250793650794,"Down",2.567e+09,-1.716e+09,8.51e+08,-2.45e+08,-2.45e+08,6.06e+08,-1.11e+08,-1.32e+08,2.1e+07,4.95e+08,4.95e+08,-1.85e+08,3.1e+08,3.1e+08,3.1e+08,3.1e+08,5.24e+08,5.24e+08,1.032e+09,1.032e+09,2.68e+08,2.91e+08,1.73e+08,2.115e+09,2.701e+09,1.3e+08,1.3e+08,3.066e+10,3.2775e+10,1.304e+09,1.094e+09,2.1e+08,5.01e+08,2.98e+08,2.98e+08,2.103e+09,8.429e+09,1.0085e+10,8.783e+09,1.302e+09,1.8514e+10,2.0617e+10,2.466e+09,1.0087e+10,-3.95e+08,1.2158e+10,1.2158e+10,3.2775e+10,3.1e+08,2.46e+08,-2.1e+07,9.6e+07,6.31e+08,-3.76e+08,-3e+06,1e+06,-3.78e+08,-1.81e+08,-1.01e+08,-4.15e+08,-7.02e+08,-4.49e+08,-4.49e+08,-4.49e+08,8.52e+08,8.93e+09,7.57e+08,0.33152,0.23607,0.12076,0.0255,0.00946,2.44194,1.00571,1.69576,0.27246,1.01043,1.00129,8.36701,39.62842,2.46741,0.58996,5,0.01575,0.02428,0.58387,9.8662,13.87129
"22","2015_Q3",69.43828125,"Down",2.713e+09,-1.652e+09,1.061e+09,-2.47e+08,-2.47e+08,8.14e+08,-1.15e+08,-1.34e+08,1.9e+07,6.99e+08,6.99e+08,-2.66e+08,4.33e+08,4.33e+08,4.33e+08,4.33e+08,8.89e+08,8.89e+08,1.055e+09,1.055e+09,2.77e+08,1.92e+08,6.7e+07,2.413e+09,2.724e+09,9.8e+07,9.8e+07,3.0897e+10,3.331e+10,1.439e+09,1.144e+09,2.95e+08,5e+08,2.64e+08,2.64e+08,2.203e+09,8.89e+09,1.014e+10,8.818e+09,1.322e+09,1.903e+10,2.1233e+10,2.449e+09,1.0017e+10,-3.89e+08,1.2077e+10,1.2077e+10,3.331e+10,4.33e+08,2.48e+08,1.7e+07,1.72e+08,8.7e+08,-4.78e+08,0,4e+06,-4.74e+08,-1.79e+08,4.93e+08,-3.5e+08,-3.1e+07,3.65e+08,3.65e+08,3.65e+08,1.062e+09,9.39e+09,1.022e+09,0.39108,0.30004,0.1596,0.03585,0.013,2.36028,1.09532,1.75814,0.2819,1.42951,1.41735,8.95675,39.87124,3.37405,0.59095,4,0.01936,0.03233,0.41339,8.00471,10.44349
"23","2015_Q4",73.70671875,"Up",2.713e+09,-1.616e+09,1.097e+09,-2.75e+08,-2.75e+08,8.22e+08,-9.8e+07,-1.37e+08,3.9e+07,7.24e+08,7.24e+08,-2.72e+08,4.52e+08,4.52e+08,4.52e+08,4.52e+08,4.33e+08,4.33e+08,1.103e+09,1.103e+09,2.88e+08,1.78e+08,5.5e+07,2.002e+09,2.74e+09,1.03e+08,1.03e+08,3.1525e+10,3.3527e+10,1.433e+09,1.16e+09,2.73e+08,6e+08,3.34e+08,3.34e+08,2.367e+09,8.896e+09,1.0135e+10,8.84e+09,1.295e+09,1.9031e+10,2.1398e+10,2.432e+09,1.0079e+10,-3.82e+08,1.2129e+10,1.2129e+10,3.3527e+10,4.52e+08,2.76e+08,-3.6e+07,1.5e+07,7.07e+08,-8.8e+08,-2e+06,2.7e+07,-8.55e+08,-1.77e+08,1e+08,-2.32e+08,-3.08e+08,-4.56e+08,-4.56e+08,-4.56e+08,1.098e+09,9.496e+09,5.05e+08,0.40435,0.30299,0.16661,0.03727,0.01348,1.11726,0.8458,1.7642,0.28323,1.50616,1.49421,9.04032,40.41653,1.68277,0.5898,5,0.0198,0.0159,0.39159,8.2541,11.02555
"24","2016_Q1",65.612131147541,"Down",2.518e+09,-1.589e+09,9.29e+08,-2.87e+08,-2.87e+08,6.42e+08,-1.18e+08,-1.42e+08,2.4e+07,5.24e+08,5.24e+08,-1.63e+08,3.61e+08,3.61e+08,3.61e+08,3.61e+08,1.101e+09,1.101e+09,9.46e+08,9.46e+08,2.71e+08,1.94e+08,1.94e+08,2.512e+09,2.572e+09,6.3e+07,6.3e+07,3.1627e+10,3.4139e+10,1.294e+09,1.091e+09,2.03e+08,7e+08,2.37e+08,2.37e+08,2.231e+09,9.393e+09,1.0327e+10,8.942e+09,1.385e+09,1.972e+10,2.1951e+10,2.442e+09,1.0191e+10,-4.45e+08,1.2188e+10,1.2188e+10,3.4139e+10,3.61e+08,2.89e+08,2.19e+08,-1.69e+08,7e+08,-5.88e+08,0,2.08e+08,-3.8e+08,-1.76e+08,5.91e+08,-7.8e+07,3.48e+08,6.68e+08,6.68e+08,6.68e+08,9.31e+08,1.0093e+10,3.37e+08,0.36894,0.25496,0.14337,0.02962,0.01057,0.93352,1.12595,1.80103,0.29564,1.21222,1.20333,8.45534,40.9268,1.13163,0.591,4,0.01647,0.01033,0.48753,9.65843,14.00623
"25","2016_Q2",74.33578125,"Up",2.42e+09,-1.445e+09,9.75e+08,-2.52e+08,-2.52e+08,7.23e+08,-1.23e+08,-1.39e+08,1.6e+07,6e+08,6e+08,-2.13e+08,3.87e+08,3.87e+08,3.87e+08,3.87e+08,5.89e+08,5.89e+08,9.61e+08,9.61e+08,3.15e+08,1.01e+08,1.01e+08,1.966e+09,2.617e+09,6.7e+07,6.7e+07,3.1819e+10,3.3785e+10,1.418e+09,1.119e+09,2.99e+08,1e+08,3.13e+08,3.13e+08,1.831e+09,9.398e+09,1.0333e+10,8.989e+09,1.344e+09,1.9731e+10,2.1562e+10,2.444e+09,1.0221e+10,-4.42e+08,1.2223e+10,1.2223e+10,3.3785e+10,3.87e+08,2.53e+08,1.4e+07,2.25e+08,8.79e+08,-3.86e+08,-2.3e+07,1e+06,-4.08e+08,-1.76e+08,-6e+08,-2e+08,-9.83e+08,-5.12e+08,-5.12e+08,-5.12e+08,9.76e+08,9.498e+09,1.028e+09,0.40289,0.29876,0.15992,0.03166,0.01145,2.65633,1.07373,1.76405,0.28113,1.30215,1.29475,8.14266,41.12719,3.45895,0.59219,7,0.01756,0.03207,0.45478,9.12807,12.32227
"26","2016_Q3",80.12671875,"Up",2.454e+09,-1.427e+09,1.027e+09,-2.57e+08,-2.57e+08,7.7e+08,-1.34e+08,-1.38e+08,4e+06,6.36e+08,6.36e+08,-2.31e+08,4.05e+08,4.05e+08,4.05e+08,4.05e+08,8.66e+08,8.66e+08,9.85e+08,9.85e+08,3.06e+08,8.2e+07,8.2e+07,2.239e+09,2.639e+09,6.9e+07,6.9e+07,3.2095e+10,3.4334e+10,1.29e+09,1.085e+09,2.05e+08,5.5e+08,2.67e+08,2.67e+08,2.107e+09,9.549e+09,1.0405e+10,9.047e+09,1.358e+09,1.9954e+10,2.2061e+10,2.441e+09,1.0269e+10,-4.37e+08,1.2273e+10,1.2273e+10,3.4334e+10,4.05e+08,2.58e+08,3.9e+07,-1.49e+08,5.53e+08,-5.06e+08,0,1999999.99999997,-5.04e+08,-1.74e+08,5.94e+08,-2e+08,2.28e+08,2.77e+08,2.77e+08,2.77e+08,1.028e+09,1.0099e+10,6.04e+08,0.4185,0.31377,0.16504,0.033,0.0118,1.49136,1.06265,1.79752,0.29414,1.37428,1.36548,8.32711,41.64574,2.04954,0.59043,5,0.01766,0.01843,0.42963,8.98152,11.99091
"27","2016_Q4",89.5373015873016,"Up",2.524e+09,-1.446e+09,1.078e+09,-2.58e+08,-2.58e+08,8.2e+08,-1.15e+08,-1.44e+08,2.9e+07,7.05e+08,7.05e+08,-2.45e+08,4.6e+08,4.6e+08,4.6e+08,4.6e+08,9.84e+08,9.84e+08,9.6e+08,9.6e+08,3.01e+08,7.2e+07,7.2e+07,2.317e+09,2.779e+09,6.9e+07,6.9e+07,3.2315e+10,3.4632e+10,1.349e+09,1.131e+09,2.18e+08,5.5e+08,3.33e+08,3.33e+08,2.232e+09,9.555e+09,1.0449e+10,9.127e+09,1.322e+09,2.0004e+10,2.2236e+10,2.462e+09,1.0367e+10,-4.33e+08,1.2396e+10,1.2396e+10,3.4632e+10,4.6e+08,2.59e+08,-2e+07,1.81e+08,8.8e+08,-3.25e+08,-9.6e+07,3e+06,-4.18e+08,-1.73e+08,0,-2.03e+08,-3.44e+08,1.18e+08,1.18e+08,1.18e+08,1.079e+09,1.0105e+10,1.18e+09,0.4271,0.32488,0.18225,0.03711,0.01328,2.56522,1.03808,1.7938,0.29178,1.57157,1.56091,8.62316,42.35053,4.03143,0.59105,6,0.01921,0.03581,0.37609,8.4532,11.12317
"28","2017_Q1",104.228709677419,"Up",2.49e+09,-1.47e+09,1.02e+09,-2.59e+08,-2.59e+08,7.61e+08,-1.2e+08,-1.42e+08,2.2e+07,6.41e+08,6.41e+08,-2.25e+08,4.16e+08,4.16e+08,4.16e+08,4.16e+08,9.56e+08,9.56e+08,9.45e+08,9.45e+08,2.57e+08,1.33e+08,1.33e+08,2.291e+09,2.777e+09,7.3e+07,7.3e+07,3.2601e+10,3.4892e+10,1.46e+09,1.215e+09,2.45e+08,6.5e+08,2.29e+08,2.29e+08,2.339e+09,9.562e+09,1.0582e+10,9.14e+09,1.442e+09,2.0144e+10,2.2483e+10,2.471e+09,1.0425e+10,-4.87e+08,1.2409e+10,1.2409e+10,3.4892e+10,4.16e+08,2.6e+08,-1999999.99999999,4.8e+07,7.22e+08,-5.4e+08,-4e+06,4.2e+07,-5.02e+08,-1.72e+08,1e+08,-2e+08,-2.48e+08,-2.8e+07,-2.8e+07,-2.8e+07,1.021e+09,1.0212e+10,7.54e+08,0.40964,0.30562,0.16707,0.03352,0.01192,1.8125,0.97948,1.81183,0.29267,1.42955,1.41593,8.5567,42.64261,2.59107,0.59107,7,0.01771,0.02271,0.41346,9.06562,12.16294
"29","2017_Q2",105.279047619048,"Up",2.575e+09,-1.543e+09,1.032e+09,-2.59e+08,-2.59e+08,7.73e+08,-1.18e+08,-1.42e+08,2.4e+07,6.55e+08,6.55e+08,-2.22e+08,4.33e+08,4.33e+08,4.33e+08,4.33e+08,9.55e+08,9.55e+08,9.98e+08,9.98e+08,2.81e+08,9.3e+07,9.3e+07,2.327e+09,2.809e+09,8.2e+07,8.2e+07,3.2818e+10,3.5145e+10,1.59e+09,1.211e+09,3.79e+08,5.5e+08,3.03e+08,3.03e+08,2.443e+09,9.569e+09,1.0606e+10,9.199e+09,1.407e+09,2.0175e+10,2.2618e+10,2.519e+09,1.0493e+10,-4.85e+08,1.2527e+10,1.2527e+10,3.5145e+10,4.33e+08,2.6e+08,1.1e+07,1.42e+08,8.46e+08,-4.03e+08,-2e+06,1e+06,-4.04e+08,-1.77e+08,-1e+08,-2e+08,-4.43e+08,-1e+06,-1e+06,-1e+06,1.033e+09,1.0119e+10,9.94e+08,0.40078,0.30019,0.16816,0.03457,0.01232,2.29561,0.95252,1.80554,0.28792,1.49156,1.47883,8.87013,43.15191,3.42404,0.60971,7,0.01834,0.02989,0.40878,8.87125,11.85511
"30","2017_Q3",109.479523809524,"Up",2.637e+09,-1.517e+09,1.12e+09,-2.64e+08,-2.64e+08,8.56e+08,-7.6e+07,-1.4e+08,6.4e+07,7.8e+08,7.8e+08,-2.83e+08,4.97e+08,4.97e+08,4.97e+08,4.97e+08,6.42e+08,6.42e+08,9.26e+08,9.26e+08,2.89e+08,7.9e+07,7.9e+07,1.936e+09,2.848e+09,1.05e+08,1.05e+08,3.2986e+10,3.4922e+10,1.491e+09,1.223e+09,2.68e+08,6e+08,2.52e+08,2.52e+08,2.343e+09,9.273e+09,1.0644e+10,9.259e+09,1.385e+09,1.9917e+10,2.226e+10,2.518e+09,1.0624e+10,-4.8e+08,1.2662e+10,1.2662e+10,3.4922e+10,4.97e+08,2.65e+08,1.3e+07,-4.5e+07,7.3e+08,-4.2e+08,-2e+06,2e+06,-4.2e+08,-1.77e+08,-2.52e+08,-2.02e+08,-6.23e+08,-3.13e+08,-3.13e+08,-3.13e+08,1.121e+09,9.873e+09,9.39e+08,0.42473,0.32461,0.18847,0.03925,0.01423,1.88934,0.82629,1.75802,0.28272,1.71972,1.70673,9.12457,43.81315,3.24913,0.61246,8,0.02031,0.0283,0.35614,8.23461,10.78388
"31","2017_Q4",121.501587301587,"Up",2.67e+09,-1.51e+09,1.16e+09,-2.65e+08,-2.65e+08,8.95e+08,-9.5e+07,-1.34e+08,3.9e+07,8e+08,8e+08,-2.94e+08,5.06e+08,5.06e+08,5.06e+08,5.06e+08,7.24e+08,7.24e+08,9.73e+08,9.73e+08,2.45e+08,5.7e+07,5.7e+07,1.999e+09,2.888e+09,1.03e+08,1.03e+08,3.3154e+10,3.5153e+10,1.493e+09,1.287e+09,2.06e+08,6e+08,3.2e+08,3.2e+08,2.413e+09,9.28e+09,1.0733e+10,9.367e+09,1.366e+09,2.0013e+10,2.2426e+10,2.537e+09,1.0665e+10,-4.75e+08,1.2727e+10,1.2727e+10,3.5153e+10,5.06e+08,2.66e+08,2.8e+07,8.9e+07,8.89e+08,-3.55e+08,0,5e+06,-3.5e+08,-1.75e+08,-5e+06,-3.1e+08,-4.57e+08,8.2e+07,8.2e+07,8.2e+07,1.161e+09,9.88e+09,1.189e+09,0.43446,0.33521,0.18951,0.03976,0.01439,2.3498,0.82843,1.76208,0.28106,1.76245,1.74784,9.2999,44.3295,4.14141,0.60954,8,0.02043,0.03566,0.34585,7.8863,10.23017
"32","2018_Q1",130.748360655738,"Up",2.669e+09,-1.404e+09,1.265e+09,-2.67e+08,-2.67e+08,9.98e+08,-1.05e+08,-1.34e+08,2.9e+07,8.93e+08,8.93e+08,3.075e+09,3.968e+09,3.968e+09,3.968e+09,3.968e+09,6.9e+08,6.9e+08,9.55e+08,9.55e+08,2.22e+08,2.82e+08,2.82e+08,2.149e+09,2.981e+09,2.51e+08,2.51e+08,3.3562e+10,3.5711e+10,1.612e+09,1.401e+09,2.11e+08,7e+08,2.33e+08,2.33e+08,2.545e+09,9.136e+09,7.671e+09,6.324e+09,1.347e+09,1.6807e+10,1.9352e+10,2.539e+09,1.4176e+10,-3.56e+08,1.6359e+10,1.6359e+10,3.5711e+10,3.968e+09,2.68e+08,-3.32e+09,-1.28e+08,7.88e+08,-3.43e+08,-3e+06,3.9e+07,-3.07e+08,-1.74e+08,-5.5e+07,-3e+08,-5.15e+08,-3.4e+07,-3.4e+07,-3.4e+07,1.266e+09,9.836e+09,-2.28e+09,0.47396,0.37392,1.4867,0.24256,0.11111,-0.5746,0.8444,1.18296,0.27543,13.91304,13.79214,9.35835,57.35975,-7.99439,0.6101,7,0.12231,-0.06732,0.04385,7.22433,9.16433
"33","2018_Q2",133.54296875,"Up",2.717e+09,-1.61e+09,1.107e+09,-2.72e+08,-2.72e+08,8.35e+08,-1.28e+08,-1.36e+08,8e+06,7.07e+08,7.07e+08,-1.55e+08,5.52e+08,5.52e+08,5.52e+08,5.52e+08,1.072e+09,1.072e+09,9.73e+08,9.73e+08,2.45e+08,1.89e+08,1.89e+08,2.479e+09,3.02e+09,2.67e+08,2.67e+08,3.3683e+10,3.6162e+10,1.434e+09,1.217e+09,2.17e+08,6.5e+08,3.04e+08,3.04e+08,2.388e+09,9.637e+09,7.719e+09,6.367e+09,1.352e+09,1.7356e+10,1.9744e+10,2.539e+09,1.4327e+10,-4.48e+08,1.6418e+10,1.6418e+10,3.6162e+10,5.52e+08,2.72e+08,1.6e+07,-2.4e+07,8.16e+08,-3.7e+08,-2e+06,1e+06,-3.71e+08,-2.05e+08,4.43e+08,-3e+08,-6.3e+07,3.82e+08,3.82e+08,3.82e+08,1.107e+09,1.0287e+10,8.68e+08,0.40743,0.30732,0.20317,0.03362,0.01526,1.57246,1.03811,1.20258,0.28447,1.94709,1.93075,9.58377,57.91182,3.06173,0.7231,9,0.02199,0.02521,0.37138,8.3243,11.03593
"34","2018_Q3",156.855714285714,"Up",2.898e+09,-1.599e+09,1.299e+09,-2.73e+08,-2.73e+08,1.026e+09,-1.02e+08,-1.31e+08,2.9e+07,9.24e+08,9.24e+08,-2.14e+08,7.1e+08,7.1e+08,7.1e+08,7.1e+08,4.3e+08,4.3e+08,1.035e+09,1.035e+09,2.6e+08,1.79e+08,1.79e+08,1.904e+09,3.058e+09,2.86e+08,2.86e+08,3.3884e+10,3.5788e+10,1.592e+09,1.323e+09,2.69e+08,5e+08,2.6e+08,2.6e+08,2.352e+09,9.146e+09,7.731e+09,6.414e+09,1.317e+09,1.6877e+10,1.9229e+10,2.544e+09,1.4456e+10,-4.41e+08,1.6559e+10,1.6559e+10,3.5788e+10,7.1e+08,2.74e+08,-2.1e+07,4.7e+07,1.01e+09,-4.18e+08,-2e+06,5e+06,-4.15e+08,-2.03e+08,-6.5e+08,-4e+08,-1.237e+09,-6.42e+08,-6.42e+08,-6.42e+08,1.3e+09,9.646e+09,1.143e+09,0.44824,0.35404,0.245,0.04288,0.01984,1.60986,0.80952,1.16124,0.26953,2.524,2.50264,10.30217,58.86598,4.06328,0.72165,8,0.0269,0.03368,0.28592,7.08923,8.98246
"35","2018_Q4",151.714444444444,"Down",2.947e+09,-1.651e+09,1.296e+09,-2.76e+08,-2.76e+08,1.02e+09,-1.12e+08,-1.42e+08,3e+07,9.08e+08,9.08e+08,-2.06e+08,7.02e+08,7.02e+08,7.02e+08,7.02e+08,7.29e+08,7.29e+08,1.043e+09,1.043e+09,2.67e+08,7e+07,7e+07,2.109e+09,3.109e+09,3.92e+08,3.92e+08,3.4213e+10,3.6322e+10,1.624e+09,1.394e+09,2.3e+08,5e+08,3.17e+08,3.17e+08,2.441e+09,1.0635e+10,7.766e+09,6.464e+09,1.302e+09,1.8401e+10,2.0842e+10,2.27e+09,1.3645e+10,-4.35e+08,1.548e+10,1.548e+10,3.6322e+10,7.02e+08,2.76e+08,3.2e+07,4.8e+07,1.058e+09,-4.45e+08,0,9e+07,-3.55e+08,-2.19e+08,1.48e+09,-1.6e+09,-3.16e+08,3.87e+08,3.87e+08,3.87e+08,1.296e+09,1.1135e+10,1.105e+09,0.43977,0.34611,0.23821,0.04535,0.01933,1.57407,0.86399,1.34638,0.30656,2.54809,2.52336,10.69691,56.18875,4.01089,0.79492,8,0.02679,0.03214,0.31197,8.02932,10.20196
"36","2019_Q1",160.367540983607,"Up",2.896e+09,-1.537e+09,1.359e+09,-2.81e+08,-2.81e+08,1.078e+09,-1.48e+08,-1.48e+08,-3.72529029846191e-09,9.3e+08,9.3e+08,-2.28e+08,7.02e+08,7.02e+08,7.02e+08,7.02e+08,3.58e+08,3.58e+08,1.009e+09,1.009e+09,2.07e+08,2.88e+08,2.88e+08,1.862e+09,3.109e+09,1.77e+08,1.77e+08,3.4377e+10,3.6239e+10,1.76e+09,1.505e+09,2.55e+08,5.85e+08,2.46e+08,2.46e+08,2.591e+09,1.056e+10,7.726e+09,6.46e+09,1.266e+09,1.8286e+10,2.0877e+10,2.485e+09,1.344e+10,-5.63e+08,1.5362e+10,1.5362e+10,3.6239e+10,7.02e+08,2.82e+08,-1.93e+08,5.1e+07,8.42e+08,-5.14e+08,-6e+06,3000000.00000001,-5.17e+08,-2.17e+08,0,-4.81e+08,-6.96e+08,-3.71e+08,-3.71e+08,-3.71e+08,1.36e+09,1.1145e+10,1.125e+09,0.46927,0.37224,0.2424,0.0457,0.01937,1.60256,0.71864,1.359,0.30754,2.59519,2.57143,10.7061,56.79113,4.15896,0.80222,5,0.02685,0.03286,0.30912,7.93162,10.00649
"37","2019_Q2",184.731904761905,"Up",2.84e+09,-1.591e+09,1.249e+09,-2.83e+08,-2.83e+08,9.66e+08,-1.05e+08,-1.49e+08,4.4e+07,8.61e+08,8.61e+08,-1.84e+08,6.77e+08,6.77e+08,6.77e+08,6.77e+08,4.11e+08,4.11e+08,1.048e+09,1.048e+09,2.28e+08,2.35e+08,2.35e+08,1.922e+09,3.198e+09,7.84e+08,7.84e+08,3.514e+10,3.7062e+10,1.672e+09,1.334e+09,3.38e+08,8.35e+08,3.78e+08,3.78e+08,2.885e+09,1.0569e+10,8.277e+09,6.518e+09,1.759e+09,1.8846e+10,2.1731e+10,2.48e+09,1.3411e+10,-5.6e+08,1.5331e+10,1.5331e+10,3.7062e+10,6.77e+08,2.83e+08,-4e+06,-7.5e+07,8.81e+08,-3.15e+08,-2e+06,-3.3e+07,-3.5e+08,-2.3e+08,2.5e+08,-5e+08,-4.78e+08,5.3e+07,5.3e+07,5.3e+07,1.249e+09,1.1404e+10,1.043e+09,0.43979,0.34014,0.23838,0.04416,0.01827,1.54062,0.6662,1.41745,0.3077,2.53463,2.51299,10.63272,57.39798,3.9049,0.8611,7,0.02591,0.02979,0.33973,8.80144,11.37992
"38","2019_Q3",172.1259375,"Down",2.925e+09,-1.576e+09,1.349e+09,-2.84e+08,-2.84e+08,1.065e+09,-1.31e+08,-1.53e+08,2.2e+07,9.34e+08,9.34e+08,-2.12e+08,7.22e+08,7.22e+08,7.22e+08,7.22e+08,2.74e+08,2.74e+08,1.039e+09,1.039e+09,2.56e+08,3.45e+08,3.45e+08,1.914e+09,3.301e+09,7.56e+08,7.56e+08,3.5258e+10,3.7172e+10,1.677e+09,1.407e+09,2.7e+08,4.01e+08,3.73e+08,3.73e+08,2.451e+09,1.1076e+10,8.334e+09,6.596e+09,1.738e+09,1.941e+10,2.1861e+10,2.491e+09,1.3377e+10,-5.57e+08,1.5311e+10,1.5311e+10,3.7172e+10,7.22e+08,2.84e+08,4.4e+07,2.1e+07,1.071e+09,-4.5e+08,-1e+07,-4.2e+07,-5.02e+08,-2.28e+08,5.4e+07,-5.5e+08,-7.08e+08,-1.39e+08,-1.39e+08,-1.39e+08,1.349e+09,1.1477e+10,1.132e+09,0.4612,0.3641,0.24684,0.04716,0.01942,1.56787,0.78091,1.4278,0.30875,2.72762,2.7021,11.05025,57.84284,4.27654,0.86135,5,0.02705,0.03223,0.31579,8.30467,10.51925
"39","2019_Q4",176.4515625,"Up",2.841e+09,-1.559e+09,1.282e+09,-2.86e+08,-2.86e+08,9.96e+08,-1.28e+08,-1.5e+08,2.2e+07,8.68e+08,8.68e+08,-2.11e+08,6.57e+08,6.57e+08,6.57e+08,6.57e+08,4.52e+08,4.52e+08,9.73e+08,9.73e+08,2.66e+08,3.25e+08,3.25e+08,2.016e+09,3.376e+09,7.14e+08,7.14e+08,3.5484e+10,3.75e+10,1.609e+09,1.407e+09,2.02e+08,7.51e+08,4.01e+08,4.01e+08,2.761e+09,1.1085e+10,8.416e+09,6.689e+09,1.727e+09,1.9501e+10,2.2262e+10,2.481e+09,1.331e+10,-5.53e+08,1.5238e+10,1.5238e+10,3.75e+10,6.57e+08,2.87e+08,1.04e+08,-3e+06,1.045e+09,-4.47e+08,0,-2.4e+07,-4.71e+08,-2.47e+08,3.5e+08,-5e+08,-3.94e+08,1.8e+08,1.8e+08,1.8e+08,1.283e+09,1.1836e+10,1.044e+09,0.45125,0.35058,0.23126,0.04312,0.01752,1.58904,0.73017,1.46095,0.31563,2.50763,2.48769,10.84351,58.16031,3.98473,0.94275,5,0.02547,0.02942,0.37595,8.87295,11.42972
"40","2020_Q1",174.404032258065,"Down",2.69e+09,-1.443e+09,1.247e+09,-2.85e+08,-2.85e+08,9.62e+08,-1.34e+08,-1.52e+08,1.8e+07,8.28e+08,8.28e+08,-1.62e+08,6.66e+08,6.66e+08,6.66e+08,6.66e+08,5.8e+08,5.8e+08,9.2e+08,9.2e+08,2.44e+08,3.37e+08,3.37e+08,2.081e+09,3.428e+09,8e+08,8e+08,3.5842e+10,3.7923e+10,1.657e+09,1.428e+09,2.29e+08,3.16e+08,3.27e+08,3.27e+08,2.3e+09,1.188e+10,8.559e+09,6.815e+09,1.744e+09,2.0439e+10,2.2739e+10,2.468e+09,1.3207e+10,-4.91e+08,1.5184e+10,1.5184e+10,3.7923e+10,6.66e+08,2.85e+08,2.6e+07,-8.2e+07,8.95e+08,-8.07e+08,-6e+06,3.72e+08,-4.41e+08,-2.44e+08,3.5e+08,-5.49e+08,-4.14e+08,4e+07,4e+07,4e+07,1.247e+09,1.2196e+10,5.2e+08,0.46357,0.35762,0.24758,0.04386,0.01756,0.78078,0.90478,1.49756,0.3216,2.56746,2.5449,10.37008,58.53508,2.00463,0.94063,5,0.02532,0.01447,0.36637,9.31516,12.07484
"41","2020_Q2",160.913968253968,"Down",2.625e+09,-1.38e+09,1.245e+09,-2.92e+08,-2.92e+08,9.53e+08,-1.32e+08,-1.54e+08,2.2e+07,8.21e+08,4.36e+08,-5.5e+07,3.81e+08,3.81e+08,3.81e+08,3.81e+08,6.08e+08,6.08e+08,8.89e+08,8.89e+08,2.65e+08,2.4e+08,2.4e+08,2.002e+09,3.47e+09,7.87e+08,7.87e+08,3.5436e+10,3.7438e+10,1.484e+09,1.284e+09,2e+08,4e+08,3.52e+08,3.52e+08,2.236e+09,1.1807e+10,8.511e+09,6.828e+09,1.683e+09,2.0318e+10,2.2554e+10,2.463e+09,1.2902e+10,-4.81e+08,1.4884e+10,1.4884e+10,3.7438e+10,3.81e+08,2.92e+08,3.44e+08,-6.2e+07,9.55e+08,-3.66e+08,-9130499.33323124,1.33e+08,-2.33e+08,-2.42e+08,505642350.986428,-4.66e+08,-6.94e+08,2.8e+07,2.8e+07,2.8e+07,1.245e+09,1.2207e+10,8.72e+08,0.47429,0.36305,0.14514,0.0256,0.01018,2.28871,0.89535,1.51532,0.32606,1.48076,1.47275,10.2021,57.84687,3.38904,0.94054,6,0.0175,0.02449,0.63517,9.31647,12.17104
