"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_investment_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"34","2019_Q2",68.1626984126984,"Up",60634000,-26845000,33789000,-22618000,-18998000,-3620000,11171000,-655000,-1726000,713000,10516000,10516000,-2463000,8053000,8053000,8053000,8053000,196135000,196135000,39362000,39341000,44920000,3660000,3660000,284077000,34526000,479318000,132648000,326395000,16358000,513844000,797921000,22583000,9823000,12760000,130278000,42618000,17521000,42618000,172896000,646324000,-7515000,-13784000,625025000,625025000,797921000,8053000,4213000,5250000,-7728000,9788000,-2088000,-3828000,44000,44000,44000,6004000,6004000,2313000,15384000,104595000,8031000,0.55726,0.18424,0.13281,0.01288,0.01009,0.99727,2.18054,0.27662,0.13108,0.18316,0.17401,1.37905,14.21545,0.18266,0.01043,-5.95034,-8.19443
"35","2019_Q3",87.46609375,"Up",70692000,-30708000,39984000,-28930000,-23699000,-5231000,11054000,-1435000,-1743000,1005000,9619000,9619000,-1524000,8095000,8095000,8095000,8095000,208888000,208888000,43089000,43045000,51275000,13242000,3853000,316494000,38125000,713648000,220481000,469510000,19740000,751773000,1068267000,31922000,11304000,20618000,140913000,48386000,20696000,48386000,189299000,893441000,580000,-15053000,878968000,878968000,1068267000,8095000,4840000,4156000,698000,17789000,-3759000,-187477000,190145000,190145000,190128000,20440000,20440000,21682000,15894000,105704000,14357000,0.56561,0.15637,0.11451,0.00921,0.00758,1.77356,2.24602,0.21537,0.09895,0.17454,0.16485,1.52419,18.95144,0.30955,0.00784,-6.49201,-9.33454
"36","2019_Q4",84.00796875,"Down",69445000,-31425000,38020000,-30056000,-24629000,-5427000,7964000,-643000,-2857000,1898000,7321000,1671000,-12000,1659000,1659000,1659000,1659000,513454000,513454000,42036000,41968000,51579000,14471000,4941000,621540000,43034000,714134000,216289000,468845000,25083000,757168000,1378708000,35721000,9951000,25770000,38765000,64643000,26584000,294825000,333590000,1064673000,2239000,-21794000,1045118000,1045118000,1378708000,1659000,5738000,1e+06,13568000,21965000,-5566000,-6892000,131582000,131582000,294875000,309948000,309948000,304612000,13702000,230182000,21716000,0.54748,0.11468,0.02389,0.00159,0.0012,13.08981,16.03354,0.31919,0.16695,0.03258,0.03427,1.36399,20.52753,0.42653,0.00124,-20.67377,-35.56906
"37","2020_Q1",96.5427419354839,"Up",69474000,-30121000,39353000,-33459000,-28287000,-5172000,5894000,-1549000,-2966000,1708000,4345000,4345000,-741000,3604000,3604000,3604000,3604000,528392000,528392000,43216000,43068000,54832000,15388000,5917000,641828000,48455000,709830000,212552000,468413000,25945000,758285000,1400113000,44756000,11425000,33331000,48313000,59265000,29321000,292032000,340345000,1068952000,5843000,-15027000,1059768000,1059768000,1400113000,3604000,6077000,17149000,-9156000,17674000,-7091000,-7111000,109000,109000,-180000,10383000,10383000,14977999.9999999,11971000,232767000,-3535000,0.56644,0.08484,0.05188,0.0034,0.00257,-0.98085,13.28479,0.32115,0.16625,0.06916,0.06796,1.33319,20.33674,-0.06784,0.00267,-24.6951,-50.15694
"38","2020_Q2",117.642698412698,"Up",76090000,-31982000,44108000,-32202000,-27500000,-4702000,11906000,-1230000,-2976000,1364000,10676000,10676000,-861000,9815000,9815000,9815000,9815000,529525000,529525000,44756000,44726000,61781000,15316000,5819000,651378000,50373000,704730000,208526000,468382000,24918000,755103000,1406481000,38106000,10176000,27930000,41853000,59412000,29544000,294870000,336723000,1074706000,15658000,-20606000,1069758000,1069758000,1406481000,9815000,6390000,6996000,-13671000,9530000,-4126000,-5037000,1599000,1599000,1589000,6082000,6082000,1159000,18296000,235458000,1360000,0.57968,0.15647,0.12899,0.00917,0.00698,0.13856,15.56347,0.31477,0.16741,0.18825,0.18481,1.45937,20.51742,0.0260800000000001,0.00719,-16.07275,-24.69906
"39","2020_Q3",142.9403125,"Up",87462000,-36863000,50599000,-31062000,-26726000,-4336000,19537000,-3517000,-3004000,253000,16020000,16020000,-159000,15861000,15861000,15861000,15861000,560364000,560364000,48840000,48779000,69929000,8024000,7568000,687157000,52451000,702437000,204741000,468725000,24140000,754888000,1442045000,40431000,13902000,26529000,44401000,59434000,29486000,297617000,342018000,1082621000,31519000,-14113000,1100027000,1100027000,1442045000,15861000,6479000,4917000,-10522000,16735000,-3165000,-4480000,3813000.00000001,3813000.00000001,3813000,16068000,16068000,21798000,26016000,238183000,12488000,0.57853,0.22338,0.18135,0.01442,0.011,0.78734,15.47616,0.31092,0.16517,0.3028,0.29748,1.66973,21.0005,0.23841,0.01135,-12.38396,-16.49081
"40","2020_Q4",181.93515625,"Up",94060000,-39626000,54434000,-33473000,-29051000,-4422000,20961000,-3218000,-3052000,82000,17743000,17743000,-3191000,14552000,14552000,14552000,14552000,553302000,553302000,55925000,55830000,78531000,8970000,8970000,696728000,55355000,724233000,215385000,482043000,24613000,779588000,1476316000,46524000,14483000,32041000,50984000,59520000,30085000,300462000,351446000,1088522000,46071000,-9723000,1124870000,1124870000,1476316000,14552000,6712000,9054000,-8829000,21489000,-3776000,-33580000,1676000,1676000,1676000,-10415000,-10415000,-7062000,27673000,240942000,18259000,0.57872,0.22285,0.15471,0.01294,0.00986,1.25474,13.66562,0.31243,0.1632,0.27717,0.27213,1.79152,21.42487,0.34777,0.01021,-11.28754,-14.90196
"41","2021_Q1",205.027049180328,"Up",108648000,-48163000,60485000,-43066000,-36344000,-6722000,17419000,-2641000,-3101000,42000,14778000,14778000,4920000,19698000,19698000,19698000,19698000,717292000,717292000,71389000,71389000,95025000,18676000,18676000,902382000,66870000,933635000,287100000,618305000,25749000,1000505000,1902887000,69965000,16880000,53085000,318956000,54781000,27749000,54781000,373737000,1461296000,65769000,2085000,1529150000,1529150000,1902887000,19698000,7486000,4019000,-16332000,14871000,-11388000,-158288000,298838000,298838000,298838000,155421000,155421000,163990000,24905000,243737000,-7735000,0.55671,0.16033,0.1813,0.01288,0.01035,-0.39268,2.82917,0.24441,0.12809,0.37031,0.35385,2.04252,28.7472,-0.14541,0.01078,-19.01445,-27.18612
"42","2021_Q2",193.991587301587,"Down",142837000,-59747000,83090000,-46707000,-39095000,-7612000,36383000,-2926000,-2754000,52000,33457000,33105000,-3655000,29450000,29450000,29450000,29450000,711318000,711318000,90207000,90207000,109520000,15290000,15290000,926335000,72243000,928749000,281670000,617517000,27562000,1000992000,1927327000,62997000,20569000,42428000,313328000,57783000,31074000,57783000,371111000,1468491000,95219000,-7494000,1556216000,1556216000,1927327000,29450000,8444000,11762000,-40394000,9262000,-7584000,-8997000,508000,508000,507000,772000,772000,-5974000,44827000,246561000,504000,0.58171,0.25472,0.20618,0.01892,0.01528,0.0171100000000001,2.95644,0.23847,0.12793,0.53736,0.51786,2.60628,28.39551,0.00920000000000007,0.01583,-10.36779,-12.77402
"43","2021_Q3",256.544375,"Up",162960000,-61990000,100970000,-52730000,-44341000,-8389000,48240000,-3525000,-2787000,41000,44715000,44358000,-8125000,36233000,36233000,36233000,36233000,734327000,734327000,102659000,102659000,135509000,11335000,11335000,983830000,85491000,946644000,276549000,617593000,50788000,1032135000,2015965000,78676000,24903000,53773000,332342000,80554000,53794000,80554000,412896000,1475986000,131452000,-4369000,1603069000,1603069000,2015965000,36233000,8976000,14579000,-22136000,37652000,-16494000,-17201000,352000,352000,345000,20796000,20796000,23010000,57216000,249423000,26711000,0.6196,0.29602,0.22234,0.0226,0.01797,0.7372,2.96029,0.25757,0.12372,0.66113,0.63713,2.97345,29.25042,0.48738,0.01874,-8.47497,-10.05191
"44","2021_Q4",269.40546875,"Up",178216000,-75495000,102721000,-57527000,-48373000,-9154000,45194000,-3601000,-2859000,44000,41593000,41232000,-7734000,33498000,33498000,33498000,33498000,621098000,621098000,122048000,122048000,156163000,11545000,11545000,910854000,99652000,1230891000,340163000,833559000,55627000,1330543000,2241397000,91588000,28194000,63394000,349439000,176693000,137568000,176693000,526132000,1560234000,164950000,-9919000,1715265000,1715265000,2241397000,33498000,10010000,11343000,-32369000,22482000,-10891000,-132695000,1131000,1131000,-122000,-110335000,-110335000,-113230000,55204000,252323000,19678000,0.57638,0.25359,0.18796,0.01953,0.01495,0.58744,2.60662,0.30674,0.11257,0.60996,0.58694,3.24513,31.2332,0.35832,0.01562,-6.68022,-8.15982
"45","2022_Q1",189.962419354839,"Down",186521000,-82048000,104473000,-61176000,-52057000,-9119000,43297000,-3641000,-4314000,39000,39656000,34848000,-5738000,29110000,29110000,29110000,29110000,603814000,603814000,117420000,117420000,184494000,25949000,25949000,931677000,124964000,1301713000,337274000,860362000,102174000,1426677000,2358354000,111701000,36203000,75498000,120004000,233025000,199545000,488283000,608287000,1572893000,194060000,-16886000,1750067000,1750067000,2358354000,29110000,11017000,16722000,-7229000,49620000,-32120000,-62276000,1888000,1888000,231000,-12425000,-12425000,-17284000,54314000,255258000,20703000,0.56011,0.23213,0.15607,0.01663,0.01234,0.7112,7.76372,0.34758,0.10824,0.52634,0.49969,3.37253,31.64335,0.37434,0.01301,-6.41742,-8.05035
"46","2022_Q2",158.157258064516,"Down",206400000,-82356000,124044000,-66455000,-54300000,-12155000,57589000,-617000,-292000,77000,56972000,58931000,-11967000,46964000,46964000,46964000,46964000,584640000,584640000,122435000,122435000,213775000,23939000,23939000,944789000,147627000,1291408000,329928000,859488000,100381000,1439035000,2383824000,103394000,38280000,65114000,424333000,193090000,167232000,193090000,617423000,1529698000,258277000,-21574000,1766401000,1766401000,2383824000,46964000,11834000,7074000,-42759000,23113000,-27187000,-28214000,296000,296000,-12021000,-17122000,-17122000,-19174000,69423000,283267000,11444000,0.60099,0.27902,0.22754,0.02659,0.0197,0.24368,2.22653,0.34954,0.11883,0.84919,0.81371,3.73209,31.93974,0.20693,0.02094,-4.34111,-5.23317
"47","2022_Q3",210.8684375,"Up",207633000,-86260000,121373000,-65089000,-54649000,-10440000,56284000,-2959000,-271000,708000,53325000,59756000,-9895000,49861000,49861000,49861000,49861000,596512000,596512000,121050000,121050000,239117000,19316000,19316000,975995000,168370000,1300551000,322208000,854328000,122108000,1468921000,2444916000,111072000,40379000,70693000,139810000,216030000,192379000,499742000,639552000,1534317000,308138000,-37091000,1805364000,1805364000,2444916000,49861000,12099000,449999.999999999,-16689000,45721000,-25389000,-26220000,167000,167000,-2293000,17208000,17208000,11872000,68383000,283712000,36200000,0.58456,0.27107,0.24014,0.02762,0.02039,0.72602,6.98087,0.35425,0.11604,0.8993,0.87906,3.74491,32.5619,0.65291,0.02163,-4.57424,-5.55753
