"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"30","2018_Q1",39.9777049180328,"Down",353452000,-267787000,85665000,-57796000,-57796000,27869000,-1665000,-1671000,6000.00000000006,26204000,26204000,-3875000,22329000,22329000,22329000,22329000,19359000,19359000,211852000,211852000,80908000,24159000,24159000,336278000,304063000,381979000,167349000,180956000,33674000,686042000,1022320000,115995000,68416000,47579000,92157000,92157000,208152000,232167000,70646000,70646000,302813000,510965000,161227000,373259000,-23131000,511355000,511355000,1022320000,22329000,15069000,9064000,14762000,61224000,-14503000,9138000,-2290000,-4422000,-13885000,-2190000,-43340000,15594000,15594000,-1246000,14348000,42938000,232167000,47072000,0.24237,0.07885,0.06317,0.04367,0.02184,2.10811,1.61554,0.99924,0.2271,0.80613,0.77994,12.76046,18.46114,1.69941,0.15964,0.03286,0.05782,0.19804,4.95617,7.63601
"31","2018_Q2",38.6059375,"Down",336531000,-255801000,80730000,-58735000,-58735000,21995000,-1741000,-1719000,-22000,20254000,20254000,-4881000,15373000,15373000,15373000,15373000,24014000,21620000,185543000,185543000,77299000,57294000,54938000,344150000,304350000,374077000,161964000,187034000,25079000,691165000,1035315000,106173000,72050000,34123000,98650000,98650000,204823000,233260000,72645000,72645000,305905000,510728000,162839000,386518000,-24770000,524587000,524587000,1035315000,15373000,14050000,5168000,-9248000,25343000,-8621000,-1485000,-16230000,-4410000,-2e+06,-721000,-7131000,1982000,1982000,279000,2261000,36045000,233260000,23057000,0.23989,0.06536,0.04568,0.0293,0.01485,1.49984,1.68023,0.97358,0.2253,0.54535,0.5406,11.93838,18.60963,0.81794,0.15644,0.02382,0.02776,0.28687,5.80513,9.51334
"32","2018_Q3",43.6046031746032,"Up",362133000,-277667000,84466000,-55807000,-55807000,28659000,-1726000,-1944000,218000,26933000,26933000,-6419000,20514000,20514000,20514000,20514000,18113000,18113000,200770000,200770000,81933000,60377000,60377000,361193000,308314000,404110000,157991000,186522000,59597000,712424000,1073617000,114602000,75630000,38972000,94614000,94614000,209216000,243799000,81746000,81746000,325545000,534761000,164476000,402619000,-28239000,538856000,538856000,1073617000,20514000,12407000,8567000,-18902000,22586000,-14846000,-724000.000000002,-13569000,-4413000,10500000,-214000,5873000,14890000,14890000,-545000,14345000,41066000,243799000,13737000,0.23325,0.07914,0.05665,0.03807,0.01911,0.66964,1.72641,0.9924,0.22708,0.72931,0.72286,12.87447,19.15728,0.48837,0.15689,0.02884,0.01589,0.21512,5.49568999999999,7.87487
"33","2018_Q4",32.4398412698413,"Down",357718000,-273628000,84090000,-52682000,-52682000,31408000,-2787000,-2132000,-655000,28621000,28621000,-6730000,21891000,21891000,21891000,21891000,15043000,15043000,201498000,201498000,79847000,76387000,76387000,372775000,302209000,405996000,153605000,185788000,66603000,708205000,1080980000,126455000,79072000,47383000,86191000,86191000,212646000,252055000,85405000,85405000,337460000,550106000,162569000,400289000,-31984000,530874000,530874000,1080980000,21891000,11921000,7141000,-18238000,22715000,1932000,0,2862000,-4357000,8e+06,-243000,-19913000,5664000,5664000,-232000,5432000,43329000,252055000,33753000,0.23507,0.0878,0.0612,0.04124,0.02025,1.54187,1.75303,1.03623,0.23317,0.78643,0.77749,12.85091,19.07149,1.21257,0.15652,0.03023,0.03887,0.19903,5.47005,7.54623
"34","2019_Q1",31.5855737704918,"Down",346255000,-301976000,44279000,-55916000,-55916000,-11637000,-2368000,-2299000,-68999.9999999999,-14005000,-17146000,5062000,-12084000,-12084000,-12084000,-12084000,17087000,17087000,192767000,192767000,78344000,83700000,83700000,371898000,315823000,380447000,148235000,185832000,46380000,696270000,1068168000,113338000,72219000,41119000,114174000,114174000,227512000,267157000,77182000,77182000,344339000,571851000,160092000,367597000,-31372000,496317000,496317000,1068168000,-12084000,11420000,-12759000,39202000,25779000,-26849000,0,-26759000,-4684000,13500000,41999.9999999999,-11155000,-12135000,-12135000,-21000,-12156000,-217000,267157000,7074000,0.12788,-0.03361,-0.0349,-0.02435,-0.01131,-0.5854,1.63463,1.15219,0.25011,-0.44665,-0.44173,12.79819,18.34474,0.26147,0.17313,-0.00880000000000001,0.00841,-0.38762,-1152.39631,-21.48922
"35","2019_Q2",35.7053968253968,"Up",355365000,-274398000,80967000,-57926000,-57926000,23041000,-2611000,-2611000,414060.783691071,20430000,20430000,-4987000,15443000,15443000,15443000,15443000,20619000,20619000,209338000,209338000,77345000,85487000,24418000,392789000,317522000,421928000,144908000,185237000,91783000,739450000,1132239000,98881000,73017000,25864000,116024000,116024000,214905000,316426000,115932000,115932000,432358000,647263000,158316000,360394000,-33734000,484976000,484976000,1132239000,15443000,11102000,9196000,-45483000,-9742000,-11198000,-1056000,-12022000,-4598000,47500000,-1270000,21622000,-142000,-142000,-143000,-285000,34143000,316426000,-17551000,0.22784,0.06484,0.04346,0.03184,0.01364,-1.1365,1.82773,1.33463,0.27947,0.58063,0.57531,13.36109,18.23424,-0.65989,0.17288,0.02185,-0.01913,0.29774,8.66377,12.83829
"36","2019_Q3",36.3446875,"Up",357059000,-270852000,86207000,-58632000,-58632000,27575000,-2202000,-2570000,368000,25373000,25373000,-6094000,19279000,19279000,19279000,19279000,13812000,13812000,201913000,201913000,74284000,101325000,101325000,391334000,319234000,428258000,144605000,185803000,97850000,747492000,1138826000,98741000,68456000,30285000,117121000,117121000,371262000,141705000,122778000,122778000,264483000,635745000,159808000,374439000,-31166000,503081000,503081000,1138826000,19279000,11657000,7368000,-10760000,27544000,-11361000,605000,-10988000,-4605000,-20500000,-1223000,-26328000,-9772000,-9772000,261000,-9511000,39232000,297105000,23205000,0.24144,0.07723,0.05399,0.03832,0.01693,1.20364,1.05406,1.2637,0.26089,0.72991,0.72111,13.51831,19.04672,0.87854,0.17435,0.02588,0.02514,0.23886,7.22096999999997,10.27354
"37","2019_Q4",34.34875,"Down",337916000,-263606000,74310000,-52716000,-52716000,21594000,-1764000,-1995000,231000,19830000,19830000,-4596000,15234000,15234000,15234000,15234000,10129000,10129000,197976000,197976000,75791000,113020000,113020000,396916000,326418000,426457000,142779000,185776000,97902000,752875000,1149791000,99896000,66557000,33339000,144246000,144246000,399542000,121116000,114154000,114154000,235270000,634812000,161364000,385032000,-31417000,514979000,514979000,1149791000,15234000,11922000,4504000,4139000,35799000,-18026000,-406000,-18432000,-4605000,-21500000,-91000,-26196000,-8829000,-8829000,-85999.9999999999,-8915000,33516000,276516000,24225000,0.21991,0.0639,0.04508,0.02958,0.01325,1.59019,0.99343,1.23269,0.24049,0.57633,0.5695,12.78387,19.48243,0.91647,0.17421,0.02191,0.02675,0.30228,7.94805,12.33616
"38","2020_Q1",27.0953225806452,"Down",337099000,-259624000,77475000,-61837000,-61837000,15638000,-1521000,-1638000,117000,14117000,14117000,-2159000,11958000,11958000,11958000,11958000,14952000,14952000,196806000,196806000,71089000,99063000,99063000,381910000,324386000,422695000,140191000,185516000,96988000,747081000,1128991000,109175000,69056000,40119000,162282000,162282000,276857000,235331000,100025000,100025000,335356000,612213000,162145000,388010000,-33377000,516778000,516778000,1128991000,11958000,12114000,4709000,24880000,53661000,-5536000,-816000,-5596000,-4906000,-3.3e+07,-576000,-43612000,4453000,4453000,-31000,4422000,27752000,240731000,49255000,0.22983,0.04639,0.03547,0.02314,0.01059,4.119,1.37945,1.18467,0.21323,0.45205,0.44975,12.74332,19.5357,1.86198,0.18546,0.01967,0.05744,0.41027,8.13559,14.43784
"39","2020_Q2",19.0952380952381,"Down",289095000,-228844000,60251000,-53782000,-53782000,6469000,-2463000,-1414000,-1049000,4006000,4006000,-1130000,2876000,2876000,2876000,2876000,11636000,11636000,156304000,156304000,75285000,87468000,87468000,330693000,320073000,420858000,136071000,190544000,94243000,740931000,1071624000,87999000,62369000,25630000,136131000,136131000,379530000,79640000,108310000,108310000,187950000,567480000,161956000,382225000,-40037000,504144000,504144000,1071624000,2876000,12540000,4652000,3908000,23976000,-8606000,-1082000,-9688000,-4872000,-7e+06,-731000,-17334000,-3046000,-3046000,-270000,-3316000,19009000,235040000,15441000,0.20841,0.02238,0.00995,0.0057,0.00268,5.36892,0.87132,1.12563,0.21933,0.10991,0.10887,11.04765,19.26567,0.59007,0.18618,0.00914,0.01822,1.69402,11.75254,34.53455
"40","2020_Q3",20.68296875,"Up",319483000,-243297000,76186000,-52972000,-52972000,23214000,-63000.0000000005,-1325000,1262000,23151000,23151000,-5493000,17658000,17658000,17658000,17658000,19001000,19001000,165682000,165682000,70191000,56858000,56858000,311732000,314323000,428443000,137772000,192566000,98105000,742766000,1054498000,102044000,66172000,35872000,107742000,107742000,361786000,40948000,125596000,125596000,166544000,528330000,164072000,394614000,-32518000,526168000,526168000,1054498000,17658000,12744000,13026000,17926000,61354000,-5618000,89000,-5529000,-4879000,-43319000,-530000,-48728000,7097000,7097000,268000,7365000,35958000,192948000,53759000,0.23847,0.07266,0.05527,0.03356,0.01675,3.04446,0.86165,1.00411,0.18298,0.6751,0.66393,12.21452,20.11653,2.05532,0.18653,0.02668,0.06364,0.27631,4.8375,7.49319
"41","2020_Q4",25.764375,"Up",313584000,-243998000,69586000,-19836000,-19836000,49750000,-1030000,-1501000,471000,48720000,48720000,-11447000,37273000,37273000,37273000,37273000,55413000,55413000,172877000,172877000,73815000,43530000,43530000,345635000,302082000,438265000,136843000,192883000,108539000,740347000,1085982000,109889000,69719000,40170000,99811000,99811000,211700000,192548000,134391000,134391000,326939000,538639000,164445000,414749000,-31851000,547343000,547343000,1085982000,37273000,12716000,-16387000,1580000,35182000,20832000,-97000,20735000,-4795000,751000,-1048000,-19636000,36281000,36281000,131000,36412000,62466000,194548000,96325000,0.22191,0.15865,0.11886,0.0681,0.03432,2.58431,1.63266,0.9841,0.17914,1.44022,1.43159,12.11685,21.14927,3.72199,0.18528,0.04801,0.10992,0.12865,2.22737,2.79668
"42","2021_Q1",36.1631147540984,"Up",308612000,-238945000,69667000,-53504000,-53504000,16163000,640000.000000001,-168000,808000,16803000,-53266000,10895000,-42371000,-42371000,-42371000,-42371000,47277000,47277000,175917000,175917000,72823000,54657000,54657000,350674000,298443000,365982000,130053000,130098000,105831000,664425000,1015099000,126329000,76204000,50125000,89223000,89223000,217552000,187880000,116922000,116922000,304802000,522354000,163529000,357243000,-28027000,492745000,492745000,1015099000,-42371000,13440000,62394000,-12112000,21351000,-7665000,949000,-7665000,-5055000,-3571000,-1405000,-22178000,-8492000.00000001,-8492000.00000001,356000,-8136000.00000001,29603000,189880000,-1068999.99999999,0.22574,0.05237,-0.1373,-0.08599,-0.04174,0.0252300000000001,1.61191,1.06009,0.18706,-1.65408,-1.61932,12.04763,19.23583,-0.0417299999999998,0.19734,-0.04667,-0.00133999999999999,-0.1193,4.81718,8.82281
"43","2021_Q2",36.25,"Up",326006000,-258296000,67710000,-51668000,-51668000,16042000,-1553000,-1238000,-315000,14489000,14489000,-3672000,10817000,10817000,10817000,10817000,36469000,36469000,172433000,172433000,70867000,52363000,52363000,332132000,292296000,366275000,131980000,131461000,102834000,658571000,990703000,111353000,74312000,37041000,73852000,73852000,188205000,187784000,117163000,117163000,304947000,493152000,166876000,352130000,-21455000,497551000,497551000,990703000,10817000,12980000,5771000,-22685000,6883000,-4267000,119000,-4148000,-5035000,-9794290.22384048,-712000,-14257000,-11522000,-11522000,714000,-10808000,29022000,190784000,5742000,0.2077,0.04921,0.03318,0.02174,0.01092,0.53083,1.76474,0.99116,0.19257,0.41676,0.41123,12.56043,19.16976,0.22123,0.19399,0.01968,0.00713,0.46547,5.31717,9.61944
"44","2021_Q3",38.88171875,"Up",325797000,-277795000,48002000,-51070000,-51070000,-3068000,-967000,-1072000,105000,-4035000,-4035000.00000001,1919000,-2116000.00000001,-2116000.00000001,-2116000.00000001,-2116000.00000001,61821000,61821000,160858000,160858000,76601000,44614000,44614000,343894000,272994000,359565000,126642000,130388000,102535000,632559000,976453000,117658000,79166000,38492000,80991000,80991000,199649000,188194000,112049000,112049000,300243000,499892000,166580000,336398000,-26417000,476561000,476561000,976453000,-2116000.00000001,12828000,13772000,23540000,48024000,-4562000,-53000.0000000001,-4615000,-5025000,-2e+06,-1141000,-17960000,25449000,25449000,-714000,24735000,9760000,189194000,26819000,0.14734,-0.00942,-0.00649000000000001,-0.00444,-0.00217,-12.67439,1.72249,1.04896,0.19376,-0.0837300000000001,-0.0825400000000001,12.89213,18.85802,1.06126,0.19884,0.00373999999999999,0.03448,-2.37476,13.05051,-41.51662
"45","2021_Q4",42.49,"Up",334217000,-269537000,64680000,-46970000,-46970000,17710000,-3585000,-528000,-3057000,14125000,14125000,-3068000,11057000,11057000,11057000,11057000,78272000,78272000,165005000,165005000,75437000,48160000,48160000,366874000,254838000,360379000,123553000,129932000,106894000,615217000,982091000,129012000,80995000,48017000,87878000,87878000,217890000,188628000,101720000,101720000,290348000,508238000,166988000,336816000,-29951000,473853000,473853000,982091000,11058000,12545000,7551000,230000,31384000,-2894000,10000,-2884000,-4990000,0,-42000,-11777000,16723000,16723000,58433.1196133341,16723000,30255000,189628000,30659000,0.19353,0.05299,0.03308,0.02333,0.01126,2.77281,1.68376,1.07256,0.19309,0.42601,0.42035,12.87679,18.25671,1.18124,0.19226,0.02097,0.04007,0.4513,3.68058,6.28775
"46","2022_Q1",45.4977419354839,"Up",327957000,-234188000,93769000,-52935000,-52935000,40834000,-2071000,-929000,-1142000,38763000,-10710000,-5562000,-16272000,-16272000,-16272000,-16272000,37583000,37583000,168592000,168592000,80494000,51223000,51223000,337892000,249995000,299976000,72481000,130102000,97393000,549971000,887863000,143081000,92104000,50977000,88865000,88865000,232946000,184544000,84174000,84174000,268718000,501664000,157614000,254825000,-26240000,386199000,386199000,887863000,-16273000,11640000,32372000,-13559000,14180000,20481000,-76000,20930000,-5216000,0,-112000,-76578000,-41468000,-41468000,1124000,-40344000,52474000,185544000,64958000,0.28592,0.12451,-0.04962,-0.04213,-0.01833,-3.99201,1.45052,1.29898,0.20898,-0.62693,-0.61861,12.6356,14.87956,2.50272,0.20096,-0.01686,0.09903,-0.32055,2.8197,3.62348
"47","2022_Q2",42.0079032258065,"Down",356635000,-271018000,85617000,-52401000,-52401000,33216000,-2516000,-1206000,-1310000,30700000,30700000,-7969000,22731000,22731000,22731000,22731000,15186000,15186000,193741000,193741000,98517000,63717000,63717000,371161000,237412000,298377000,71419000,130251000,96707000,535789000,906950000,127120000,88908000,38212000,79945000,79945000,207065000,282677000,89918000,89918000,372595000,579660000,148185000,208205000,-29100000,327290000,327290000,906950000,22731000,10849000,8244000,-72286000,-30462000,-1038000,1e+05,-938000,-4793000,9.8e+07,-1271000,17624000,-13776000,-13776000,64000,-13712000,44065000,282677000,-21290000,0.24007,0.09314,0.06374,0.06945,0.02506,-0.93661,1.79249,1.77109,0.31168,1.01482,1.00353,15.92192,14.61181,-0.95049,0.21398,0.03933,-0.03042,0.21086,6.07037,8.05308
"48","2022_Q3",40.3065625,"Down",372109000,-287173000,84936000,-52864000,-52864000,32072000,-1871000,-1698000,-173000,30201000,30201000,7188000,37389000,37389000,37389000,37389000,22065000,22065000,231853000,231853000,98046000,72254000,72254000,424218000,232766000,291990000,70377000,129476000,92137000,524756000,948974000,128209000,86871000,41338000,105174000,105174000,233383000,273872000,84979000,84979000,358851000,592234000,148978000,240245000,-32483000,356740000,356740000,948974000,37389000,10599000,8993000,-29162000,27819000,-4095000,350000,-3745000,-4809000,-10120000,-2231000,-17160000,6914000,6914000,-64000,6850000,42671000,273872000,2225999.99999999,0.22826,0.08619,0.10048,0.10481,0.0394,0.05954,1.81769,1.66013,0.2886,1.71038,1.68078,17.02237,16.3193,0.101830000000001,0.21999,0.05897,0.00311,0.12862,5.90113,7.8513
