"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","disposition_of_fixed_assets","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"31","2017_Q4",52.0050793650794,"Up",262476000,-144678000,117798000,-71249000,-59983000,-11266000,46549000,-297000,46252000,-1475000,44777000,-16580000,28197000,28197000,28197000,28197000,204171000,204171000,159571000,159571000,244476000,13276000,13276000,621494000,265178000,179129000,30050000,137313000,11766000,446889000,1068383000,141486000,30857000,110629000,142533000,9808000,9808000,9808000,152341000,265966000,683554000,-13478000,916042000,916042000,1068383000,28197000,10486000,5084000,33097000,76864000,-14422000,531000,531000,-14953000,-14953000,-6441000,-9928000,2269000,-11000,-8030000,62393000,62393000,828000,63221000,57035000,1047000,92290000,0.4488,0.17735,0.10743,0.03078,0.02639,3.27304,4.36035,0.1663,0.00098,0.59533,0.59132,5.54168,19.34047,1.94853,0.20961,5,0.04113,0.09957,0.35209,-3.56139,-4.36366
"32","2018_Q1",54.5372131147541,"Up",231680000,-129778000,101902000,-78105000,-65540000,-12565000,23797000,705000,24502000,-588000,23914000,-10829000,13085000,13085000,13085000,13085000,168514000,168514000,135958000,135958000,252996000,26473000,26473000,583941000,273020000,178013000,29326000,137140000,11547000,453582000,1037523000,136491000,31536000,104955000,136491000,16254000,16254000,16254000,152745000,260630000,676644000,-12496000,884778000,884778000,1037523000,13085000,6843000,8078000,6468000.00000001,34474000,-12871000,63999.9999999999,63999.9999999999,-12935000,-12935000,-13018000,-9937000,-46956000,-175000,-57329000,-35873000,-35873000,216000,-35657000,30640000,0,35066000,0.43984,0.10271,0.05648,0.01479,0.01261,2.67986,4.27824,0.17264,0,0.27657,0.27509,4.89685,18.70092,0.74117,0.21003,5,0.02555,0.03892,0.75942,-5.4998,-7.08131
"33","2018_Q2",57.53609375,"Up",244779000,-137157000,107622000,-76122000,-64972000,-11150000,31500000,-2000,31498000,1184000,32682000,-7253000,25429000,25429000,25429000,25429000,137413000,137413000,167146000,167146000,256552000,22423000,22423000,583534000,276114000,178169000,28302000,138026000,11841000,456808000,1040342000,143228000,42098000,101130000,143228000,18052000,18052000,18052000,161280000,269479000,693218000,-8636000,879062000,879062000,1040342000,25429000,9688000,-7e+05,-17299000,17118000,-9696000,1239000,1239000,-10935000,-10935000,-9696000,-9818000,-24304000,-5027000,-39323000,-31901000,-31901000,8e+05,-31101000,41188000,0,21446000,0.43967,0.12869,0.10389,0.02893,0.02444,0.84337,4.07416,0.18347,0,0.54551,0.54094,5.25108,18.85792,0.46007,0.21062,6,0.03929,0.02391,0.38609,-3.33624,-4.36232
"34","2018_Q3",67.3107936507937,"Up",308007000,-167442000,140565000,-79257000,-68008000,-11249000,61308000,-871000,60437000,125000,60562000,-16476000,44086000,44086000,44086000,44086000,155035000,155035000,211179000,211179000,258180000,15772000,15772000,640166000,269127000,174066000,26761000,136398000,10907000,445721000,1085887000,167992000,47985000,120007000,167992000,14093000,14093000,14093000,182085000,272197000,652124000,-20079000,903802000,903802000,1085887000,44086000,9945000,7269000,-23054000,38246000,-7327000,778000,778000,-8105000,-8105000,-7327000,-9728000,-439999.999999996,-84000,-10515000,20404000,20404000,-2782000,17622000,71253000,0,57348000,0.45637,0.19905,0.14313,0.04878,0.0406,1.30082,3.81069,0.20147,0,0.95175,0.94453,6.6494,19.51171,1.23806,0.21001,6,0.05863,0.06248,0.22066,-2.17584,-2.52879
"35","2018_Q4",55.9320634920635,"Down",284178000,-150282000,133896000,-74679000,-64238000,-10441000,59217000,1157000,60374000,460000,60834000,-16473000,44361000,44361000,44361000,44361000,166961000,166961000,192981000,192981000,279503000,21471000,12220000,660916000,257679000,173520000,25457000,136459000,11604000,433697000,1094613000,167451000,42734000,124717000,167451000,13743000,13743000,13743000,181194000,274588000,686351000,-23029000,913419000,913419000,1094613000,44361000,9416000,1306000,-2478000,52605000,-4152000,1522000,1522000,-5674000,-5674000,-4152000,-10192000,-24051000,-17000,-34525000,13928000,13928000,-2002000,11926000,68633000,0,78476000,0.47117,0.20838,0.1561,0.04857,0.04053,1.76903,3.94692,0.19837,0,0.96042,0.95142,6.1525,19.77568,1.69902,0.22066,7,0.05884,0.08464,0.22975,-2.43266,-2.81948
"36","2019_Q1",56.546393442623,"Up",241845000,-143641000,98204000,-81497000,-71281000,-10216000,16707000,-781000,15926000,2124000,18050000,-5293000,12757000,12757000,12757000,12757000,160180000,160180000,146052000,146052000,276088000,17209000,17209000,599529000,254597000,165050000,24402000,130250000,10398000,422134000,1021663000,151580000,34361000,117219000,151580000,14569000,14569000,14569000,166149000,276957000,628207000,-24650000,855514000,855514000,1021663000,12757000,10344000,3149000,25861000,52111000,12933000,17529000,17529000,-4596000,-4596000,10926000,-10153000,-61050000,-382000,-71030000,-7993000,-7993000,1212000,-6781000,27051000,0,71138000,0.40606,0.06908,0.05275,0.01491,0.01249,5.57639,3.9552,0.19421,-2.71050543121376e-20,0.27898,0.27823,5.28889,18.70917,1.55571,0.22204,5,0.02633,0.08176,0.79588,-5.92141,-9.5876
"37","2019_Q2",61.362380952381,"Up",259244000,-148990000,110254000,-79921000,-67661000,-12260000,30333000,-763000,29570000,-310000,29260000,-6598000,22662000,22662000,22662000,22662000,113407000,113407000,173140000,173140000,272459000,16732000,14186000,575738000,251398000,200705000,24148000,131712000,44845000,454614000,1030352000,150578000,35549000,115029000,150578000,44300000,44300000,44300000,194878000,275291000,641168000,-25985000,835474000,835474000,1030352000,22662000,9758000,7434000,-30206000,9648000,-7314000,38000,38000,-7352000,-7352000,-10806000,-9901000,-3e+07,-5864000,-45466000,-46624000,-46624000,-149000,-46773000,40091000,0,9169000,0.42529,0.11701,0.08742,0.02712,0.02199,0.4046,3.82352,0.23325,0,0.50501,0.50123,5.77715,18.61822,0.20433,0.22064,4,0.03701,0.01042,0.4369,-2.82874,-3.73873
"38","2019_Q3",62.59203125,"Up",304853000,-170674000,134179000,-81087000,-70031000,-11056000,53092000,147000,53239000,561000,53800000,-14223000,39577000,39577000,39577000,39577000,141731000,141731000,191282000,191282000,266142000,14795000,14795000,613950000,252710000,200760000,22991000,132312000,45457000,455968000,1069918000,157241000,39241000,1.18e+08,157241000,44256000,44256000,44256000,201497000,277470000,615929000,-24978000,868421000,868421000,1069918000,39577000,9757000,4156000,-9557000,43933000,-5452000,2455000,2455000,-7907000,-7907000,-5452000,-9825000,3.72529029846191e-09,-35000,-10143000,28338000,28338000,-14000,28324000,62849000,0,62063000,0.44014,0.17416,0.12982,0.04557,0.03699,1.56816,3.90452,0.23203,4.33680868994202e-19,0.88599,0.88017,6.82456,19.44081,1.38937,0.21995,5,0.05413,0.068,0.24825,-2.2551,-2.66954
"39","2019_Q4",75.34125,"Up",309932000,-172288000,137644000,-76691000,-64720000,-11971000,60953000,-1778000,59175000,14000,59189000,-15503000,43686000,43686000,43686000,43686000,194061000,194061000,180898000,180898000,242730000,17565000,17565000,635254000,250950000,197619000,21816000,131191000,44612000,451054000,1086308000,165867000,40861000,125006000,165867000,43494000,43494000,43494000,209361000,279344000,649053000,-30013000,876947000,876947000,1086308000,43686000,9529000,4821000,37618000,95654000,-9231000,5000,5000,-9236000,-9236000,-9268000,-10276000,-21437000,-6000,-32762000,53624000,53624000,-1294000,52330000,70482000,0,114372000,0.44411,0.19667,0.14095,0.04982,0.04022,2.61805,3.8299,0.23874,0,0.98226,0.97498,6.96868,19.71775,2.5716,0.23105,5,0.05863,0.12426,0.23522,-2.75334,-3.18378
"40","2020_Q1",75.7243548387097,"Up",262510000,-152457000,110053000,-79201000,-67430000,-11771000,30852000,-502999.999999999,30349000,5759000,36108000,-8051000,28057000,28057000,28057000,28057000,230210000,230210000,139364000,139364000,251907000,19426000,19426000,640907000,249012000,202967000,25071000,131879000,46017000,454459000,1095366000,158907000,33351000,125556000,158907000,44502000,44502000,44502000,203409000,280658000,645507000,-24829000,891957000,891957000,1095366000,28057000,9358000,-1330000,20342000,56427000,-3374000,9657000,9657000,-13031000,-8204000,-2495000,-10195000,-9379000,0,-19783000,34149000,34149000,2e+06,36149000,40210000,3.72529029846191e-09,65229000,0.41923,0.11753,0.10688,0.03146,0.02561,2.32487,4.03322,0.22805,-6.93889390390723e-18,0.62459,0.62769,5.84381,19.85613,1.45208,0.22695,8,0.04085,0.06965,0.36337,-5.72519,-7.46175
"41","2020_Q2",71.778253968254,"Down",283668000,-154002000,129666000,-80380000,-66998000,-13382000,49286000,-2533000,46753000,64000,46817000,-9991000,36826000,36826000,36826000,36826000,301741000,301741000,168736000,168736000,255720000,25786000,25786000,751983000,246941000,199324000,23454000,131599000,44271000,446265000,1198248000,162851000,44505000,118346000,162851000,43803000,43803000,193803000,356654000,273316000,672485000,-32149000,841594000,841594000,1198248000,36826000,9734000,4367000,-38202000,12725000,-6234000,561000,561000,-6795000,-6795000,-6234000,-10169000,-62679000,-7699000,68567000,75058000,75058000,-3527000,71531000,59020000,1.5e+08,24575000,0.4571,0.17375,0.12982,0.04376,0.03073,0.66733,4.61761,0.42378,0.12518,0.83508,0.83155,6.43253,19.0842,0.55727,0.23059,7,0.04539,0.02373,0.27614,-2.57101,-3.07879
"42","2020_Q3",92.576875,"Up",326076000,-176276000,149800000,-77661000,-65470000,-12191000,72139000,-151000,71988000,73000.0000000009,72061000,-18582000,53479000,53479000,53479000,53479000,315448000,315448000,233867000,233867000,265365000,20222000,20222000,834902000,247119000,202482000,22139000,132335000,48008000,449601000,1284503000,193414000,49149000,144265000,193414000,46877000,46877000,196877000,390291000,278069000,716038000,-27837000,894212000,894212000,1284503000,53479000,10005000,6877000,-40320000,30041000,-7210000,77999.9999999991,77999.9999999991,-7288000,-7288000,-7210000,-9989000,0,-756000,-10834000,11997000,11997000,1710000,13707000,82144000,1.5e+08,53196000,0.4594,0.22123,0.16401,0.05981,0.04163,0.99471,4.31666,0.43646,0.11678,1.23011,1.2245,7.50031,20.56842,1.2236,0.22976,6,0.05817,0.04875,0.18678,-2.01412,-2.29346
"43","2020_Q4",90.8709375,"Down",364304000,-191061000,173243000,-81972000,-69685000,-12287000,91271000,-518000,90753000,72000,90825000,-23768000,67057000,67057000,67057000,67057000,311465000,311465000,226447000,226447000,260054000,22439000,22439000,820405000,246472000,210988000,20964000,133734000,56290000,457460000,1277865000,191161000,42271000,148890000,191161000,50904000,50904000,125904000,317065000,281578000,772851000,-21571000,960800000,960800000,1277865000,67057000,10349000,6132000,3314000,86852000,-6685000,111000,111000,-6796000,-6796000,-8110000,-10006000,0,162000,-83886000,-5144000,-5144000,1161000,-3983000,101620000,7.5e+07,122017000,0.47555,0.25054,0.18407,0.06979,0.05248,1.8196,4.2917,0.33,0.05869,1.54243,1.53593,8.37962,22.10006,2.8066,0.23016,8,0.07091,0.11228,0.14922,-2.32695,-2.5908
"44","2021_Q1",98.2265573770492,"Up",293897000,-170222000,123675000,-84340000,-71393000,-12947000,39335000,403000,39738000,123000,39861000,-10223000,29638000,29638000,29638000,29638000,274639000,274639000,165128000,165128000,283742000,29630000,29630000,753139000,255184000,224246000,26800000,135844000,61602000,479430000,1232569000,194061000,48271000,145790000,194061000,57565000,57565000,57565000,251626000,284440000,720441000,-10428000,980943000,980943000,1232569000,29638000,8679000,5878000,33759000,77954000,-16927000,103000,103000,-17030000,-11700000,-18299000,-10236000,-13510000,-379000,-100624000,-40969000,-40969000,4143000,-36826000,48014000,0,75069000,0.42081,0.13384,0.10084,0.03021,0.02405,2.53286,3.88094,0.25651,6.93889390390723e-18,0.67687,0.67752,6.71197,22.40261,1.71441,0.23377,6,0.0384,0.07229,0.34537,-5.71998,-6.98205
"45","2021_Q2",108.514444444444,"Up",347642000,-185360000,162282000,-93979000,-79388000,-14591000,68303000,-1778000,66525000,80000,66605000,-16218000,50387000,50387000,50387000,50387000,257428000,257428000,227201000,227201000,296640000,37732000,37732000,819001000,255684000,220042000,25059000,133477000,61506000,475726000,1294727000,224814000,66236000,158578000,260624000,19594000,19594000,19594000,280218000,286331000,760862000,-19174000,1014509000,1014509000,1294727000,50387000,11225000,9367000,-53146000,17833000,-10400000,105000,105000,-10505000,-10505000,-15729000,-9967000,-27663995.8327683,-5263000,-15422000,-13318000,-13318000,-3893000,-17211000,79528000,0,32200000,0.46681,0.19648,0.14494,0.04967,0.03892,0.63905,3.14246,0.27621,0,1.16155,1.15535,8.01406,23.3871,0.74229,0.22977,7,0.05836,0.03114,0.19781,-3.23695,-3.76891
"46","2021_Q3",109.03546875,"Up",410280000,-213835000,196445000,-94744000,-80577000,-14167000,101701000,-2635000,99066000,28000,99094000,-26609000,72485000,72485000,72485000,72485000,305796000,305796000,249931000,249931000,310254000,35722000,35722000,901703000,255353000,216918000,23749000,134121000,59048000,472271000,1373974000,232454000,60268000,172186000,266541000,20528000,20528000,20528000,287069000,289696000,822497000,-11778000,1086905000,1086905000,1373974000,72485000,11528000,9330000,-29544000,63799000,-8767000,24000,24000,-8791000,-8791000,-10485000,-9989000,-35921478.7718517,9.31322574615479e-10,-10181000,43133000,43133000,5235000,48368000,113229000,3.72529029846191e-09,101527000,0.47881,0.24788,0.17667,0.06669,0.05276,1.40066,3.38298,0.26412,0,1.67097,1.66204,9.45803,25.05602,2.34046,0.23027,7,0.07447,0.09168,0.13781,-2.70069,-3.00681
"47","2021_Q4",119.1315625,"Up",396738000,-198706000,198032000,-97417000,-82855000,-14562000,100615000,-846000,99769000,4000,99773000,-25995000,73778000,73778000,73778000,73778000,294180000,294180000,236535000,236535000,385512000,33427000,33427000,949654000,255547000,216868000,22077000,133495000,61296000,472415000,1422069000,245477000,62405000,183072000,245477000,53589000,33063000,53589000,299066000,292168000,885472000,-17002000,1123003000,1123003000,1422069000,73778000,10439000,5453000,-49204000,40466000,-11986000,777079.0504516,777079.0504516,-12168054.4361558,-11330450.2188013,-14986000,-10859000,-24125000,-953000,-35655000,-10175000,-10175000,-1441000,-11616000,111054000,0,75859000,0.49915,0.25361,0.18596,0.0657,0.05188,1.02821,3.86861,0.26631,0,1.70439,1.69605,9.16529,25.94319,1.75247,0.25086,5,0.07193,0.06447,0.14718,-2.64898,-2.92382
"48","2022_Q1",117.256451612903,"Down",418557000,-220286000,198271000,-101421000,-85360000,-16061000,96850000,-3985000,92865000,212000,93077000,-23280000,69797000,69797000,69797000,69797000,301155000,301155000,231021000,231021000,443756000,22903000,22903000,998835000,259869000,225421000,26269000,134022000,65130000,485290000,1484125000,244602000,57215000,187387000,244602000,55525000,37091000,55525000,300127000,294762000,906841000,-17605000,1183998000,1183998000,1484125000,69797000,9285000,4721000,-54606000,29197000,-17605000,1740423.03210556,1740423.03210556,-16181861.9139173,-15648841.0483281,-17605000,-10804000,0,-9.31322574615479e-10,-10358000,1233999.99999997,1233999.99999997,5741000,6974999.99999997,106135000,2.98023223876953e-08,57204000,0.4737,0.23139,0.16676,0.05895,0.04703,0.81958,4.08351,0.25349,3.46944695195361e-18,1.61406,1.60674,9.67919,27.38011,1.32285,0.24984,7,0.06503,0.04615,0.15479,-2.83747,-3.1095
"49","2022_Q2",102.961612903226,"Down",493570000,-256789000,236781000,-106476000,-90610000,-15866000,130305000,-428000,129877000,-5868000,124009000,-29433000,94576000,94576000,94576000,94576000,984372000,984372000,320428000,320428000,443448000,39632000,39632000,1787880000,265675000,226795000,25021000,133651000,68123000,492470000,2280350000,284349000,76390000,207959000,343185000,34621000,34621000,705354000,1048539000,290206000,990611000,-27725000,1231811000,1231811000,2280350000,94576000,10795000,4061000,-64753000,44679000,-15993000,1830000,1830000,-17823000,-17823000,-17081000,-10806000,-21281000,-16327000,650600000,678198000,678198000,5019000,683217000,141100000,693233000,89787000,0.47973,0.26401,0.19162,0.07678,0.04147,0.94936,5.20967,0.85122,0.304,2.19032,2.18038,11.43079,28.52801,2.07941,0.25026,6,0.05378,0.04582,0.11426,-2.06335,-2.23429
"50","2022_Q3",96.12828125,"Down",593232000,-333899000,259333000,-120435000,-103492000,-16943000,138898000,-5264000,133634000,-5821000,127813000,-34244000,93569000,93569000,93569000,93569000,3030512034.97267,3030512034.97267,594693547.246683,594693547.246683,347384189.610624,121919240.996019,121919228.51181,4094509012.826,269872223.980482,203829028.290408,5862457.13281431,129912647.155396,68053924.0021982,473700857.008652,4568209869.83465,424531603.914144,155315986.335109,269215617.578781,622946001.042226,3545075.30252918,28197224.3355026,2724935799.40961,3347881800.45183,270682611.55528,1250073731.4668,-64314542.0495955,1220328069.38282,1220328069.38282,4568209869.83465,93569000,17529000,4515000,-21841000,93772000,-14020000,-14000,-14000,-14006000,-14006000,-816471000,-10790000,-2.5e+07,21252000,-19069000.0000001,-741768000,-741768000,3530000,-738238000,156427000,0,154810000,0.43715,0.23414,0.15773,0.150552083696655,0.0379665741145127,1.6545,8.51266433234066,2.72416062232168,1.23359613970618,2.16871,2.16395,13.74973,28.379610667372,3.58813,0.25009,-5.81337822243709,0.0373217785356288,0.062172288771627,0.11532,1.00886774635563,1.18105372135714
