"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"36","2019_Q3",11.218125,"Up",17548000,-51052000,-14597000,-36455000,-33504000,3148000,3148000,-30356000,-30356000,-30356000,-30356000,-30284000,-30284000,441099000,169222000,271877000,12095000,12095000,8614000,5848000,2766000,461808000,21019000,182204000,88517000,211673000,673481000,31219000,31219000,50826000,50826000,82045000,104138000,97477000,145688000,227733000,1080132000,-634233000,-765000,445134000,445748000,673481000,-30356000,868000,3611000,-13716000,-39593000,-3783000,-8600000,-12383000,3613000,3613000,139890000,87914000,87914000,88254000,-32636000,41550000,-1.90928,-1.72578,-0.06794,-0.04497,5.62872,0.5109,0.06169,-0.2646,-0.2646,0.15332,3.88933,-0.0512,12.24258,11.92541
"37","2019_Q4",9.1946875,"Down",21958000,-51206000,-14918000,-36288000,-29248000,1887000,1887000,-27361000,-27361000,-27361000,-27361000,-27307000,-27307000,354852000,114291000,240561000,21953000,21953000,7371000,4691000,2680000,384176000,26516000,176741000,86730000,256046000,640222000,32989000,32989000,47561000,47561000,80550000,99735000,93340000,140344000,220894000,1085530000,-661540000,-4901000,419089000,419328000,640222000,-27361000,1159000,7260000,-19932000,-38874000,-4134000,-11821000,-16217000,796000,796000,704000,-54387000,-54387000,-54931000,-28089000,40609000,-1.332,-1.2436,-0.06512,-0.04265,4.76941,0.52678,0.06343,-0.23583,-0.23583,0.18963,3.61936,-0.04879,11.1874,10.74409
"38","2020_Q1",7.41983870967742,"Down",54851000,-53382000,-15053000,-38329000,1469000,3032000,3032000,4501000,4501000,4501000,4501000,4555000,4555000,362474000,80428000,282046000,36909000,36909000,6090000,5408000,682000,405473000,29926000,180285000,87856000,232043000,637516000,31161000,31161000,38711000,38711000,69872000,134905000,128335000,134905000,204777000,1091988000,-656985000,-2449000,432554000,432739000,637516000,4501000,1188000,6224000,-32729000,-20816000,-6781000,-9621000,-16402000,137561000,137561000,1219000,-35999000,-35999000,-35863000,2657000,0,0.0267799999999998,0.0830400000000002,0.01053,0.00714000000000001,5.80308,0.47321,0,0.03929,0.03929,0.47308,3.73068,0.00802,-136.42228,-246.74881
"39","2020_Q2",9.27746031746032,"Up",13076000,-57598000,-16119000,-41479000,-44522000,1548000,1548000,-42974000,-42974000,-42974000,-42974000,-42913000,-42913000,358130000,85749000,272381000,6970000,6970000,5848000,4922000,926000,370948000,31294000,177034000,86347000,213328000,584276000,25515000,25515000,36550000,36550000,62065000,127796000,121352000,127796000,189861000,1098017000,-699898000,-3828000,394291000,394415000,584276000,-42974000,1311000,6835000,15938000,-18890000,-3775000,27495000,23720000,820000,820000,409000,5239000,5239000,5321000,-43211000,0,-3.40486,-3.28181,-0.1088,-0.07345,5.97677,0.48137,0,-0.36975,-0.36975,0.11267,3.3973,-0.08218,8.28794,8.04389
"40","2020_Q3",10.815625,"Up",21553000,-59450000,-17927000,-41523000,-37897000,1932000,1932000,-35965000,-35965000,-35965000,-35965000,-35929000,-35929000,664853000,467443000,197410000,5618000,5618000,8929000,8395000,534000,679400000,33907000,181352000,88815000,215259000,894659000,32553000,32553000,61389000,61389000,93942000,289511000,282933000,289511000,383453000,1248937000,-735827000,-1653000,511457000,511206000,894659000,-35965000,1328000,8143000,186487000,159993000,-2919000,80764000,77608000,144200000,144200000,144156000,381757000,381757000,381694000,-36569000,-9.31322574615479e-10,-1.75832,-1.66701,-0.07028,-0.04016,7.23212,0.75009,-3.46944695195361e-18,-0.25852,-0.25852,0.15508,3.68013,-0.04487,18.18078,17.54368
"41","2020_Q4",11.71421875,"Up",57763000,-61464000,-16177000,-45287000,-3701000,2430000,2430000,-1271000,-1271000,-1508000,-1508000,-1550000,-1550000,648827000,259393000,389434000,39487000,39487000,11980000,11158000,822000,700294000,35282000,182373000,85820000,263416000,963710000,35770000,35770000,87791000,87791000,123561000,319268000,312400000,319268000,442829000,1257235000,-737377000,1553000,521411000,520881000,963710000,-1508000,1360000,8616000,24599000,33067000,-4009000,-238222000,-242497000,1734000,1734000,1616000,-207814000,-207814000,-208050000,-2341000,0,-0.06407,-0.02683,-0.00298,-0.00161,5.6676,0.85015,0,-0.01098,-0.01098,0.40909,3.69274,-0.00184,277.15805,175.31127
"42","2021_Q1",13.4747540983607,"Up",25800000,-69232000,-16874000,-52358000,-43432000,2865000,2865000,-40567000,-40567000,-40675000,-40675000,-40604000,-40604000,641423000,131329000,510094000,5223999.99999999,5223999.99999999,13021000,11986000,1035000,659668000,41324000,187028000,86102000,278882000,938550000,51903000,51903000,91644000,91644000,143547000,297637000,290452000,297637000,441184000,1270796000,-777981000,5419000,498234000,497366000,938550000,-40675000,1683000,9135000,25562000,-4294999.99999999,-4011000,-126246000,-130458000,7111000.00000001,7111000.00000001,6919000.00000003,-127834000,-127834000,-128064000,-41749000,0,-1.68341,-1.5738,-0.08164,-0.04326,4.59548,0.88704,1.0842021724855e-19,-0.28683,-0.28683,0.18226,3.51962,-0.05107,15.36379,14.76844
"43","2021_Q2",11.3220634920635,"Down",26280000,-72582000,-16148000,-56434000,-46302000,625000,625000,-45677000,-45677000,-45939000,-45939000,-45933000,-45933000,587084000,122975000,464109000,6746000,6746000,13114000,12140000,974000,606944000,45222000,182498000,85921000,270151000,877095000,38475000,38475000,94364000,94364000,132839000,274839000,267969000,274839000,407678000,1293555000,-823914000,714000,470355000,469417000,877095000,-45939000,1875000,10398000,-34884000,-68550000,-7950000,53304000,45289000,17469000,17469000,15235000,-8026000,-8026000,-8354000,-44427000,0,-1.76187,-1.74783,-0.09785,-0.05237,4.56902,0.86848,0,-0.32096,-0.32096,0.18363,3.28662,-0.06172,13.21458,12.67945
"44","2021_Q3",9.88515625,"Down",27872000,-76572000,-16486000,-60086000,-48700000,1551000,1551000,-47149000,-47149000,-47174000,-47174000,-47169000,-47169000,529653000,169878000,359775000,6882000,6882000,17529000,16722000,807000,554064000,49588000,182506000,84707000,281299000,835363000,42986000,42986000,93957000,93957000,136943000,252963000,246004000,252963000,389906000,1314553000,-871083000,1987000,445457000,445457000,835363000,-47174000,2245000,12391000,-20029000,-52567000,-7263000,96616000,89299000,10510000,10510000,10019000,46751000,46751000,46903000,-46455000,0,-1.74727,-1.69234,-0.10589,-0.05647,4.04595,0.87529,6.7762635780344e-21,-0.3296,-0.3296,0.19476,3.11265,-0.06754,11.40142,10.87583
"45","2021_Q4",8.68671875,"Down",28563000,-76999000,-14501000,-62498000,-48436000,834000,834000,-47602000,-47602000,-47688000,-47688000,-47688000,-47688000,423413000,176954000,246459000,7967000,7967000,16016000,15396000,620000,447396000,50816000,178555000,83097000,325002000,772398000,41444000,41444000,90454000,90454000,131898000,234484000,227695000,234484000,366382000,1325410000,-918771000,-623000,406016000,406016000,772398000,-47688000,2555000,10541000,-24828000,-59420000,-5207000,66183000,60976000,5755000,5755000,5492000,7048000,7048000,7076000,-45881000,0,-1.69576,-1.66957,-0.11745,-0.06174,3.39198,0.90238,0,-0.33077,-0.33077,0.19812,2.81617,-0.07445,9.2285,8.7417
"46","2022_Q1",5.9458064516129,"Down",27986000,-67885000,-16084000,-51801000,-39899000,2336000,2336000,-37563000,-37563000,-37496000,-37496000,-37496000,-37496000,376548000,178872000,197676000,6013000,6013000,16208000,15859000,349000,398769000,51523000,183462000,9e+07,323154000,721923000,42176000,32417000,85711000,157789001.601322,127887000,218693000,45272000,218693000,346580000,1335597000,-956267000,-3987000,375343000,375343000,721923000,-37496000,2764000,4172000,-22154000,-52714000,-2858000,55493000,52635000,2382000,2382000,2112000,2032999.99999999,2032999.99999999,1917999.99999999,-37135000,0,-1.42568,-1.33981,-0.0999,-0.05194,3.11814,0.92337,0,-0.25152,-0.25152,0.18773,2.51778,-0.06312,10.13998,9.43753
"47","2022_Q2",4.3241935483871,"Down",28231000,-73492000,-14908000,-58584000,-45261000,1342000,1342000,-43919000,-43919000,-43977000,-43977000,-43977000,-43977000,317796000,120257000,197539000,6938000,6938000,15331000,14975000,356000,340065000,51600000,180130000,88516000,314245000,654310000,37743000,37743000,231483000,231483000,269226000,50562000,44051000,50562000,319788000,1341721000,-1000244000,-6955000,334522000,334522000,654310000,-43977000,2832000,9961000,-27791000,-58975000,-2839000,4544000,1705000,74000,74000,-1567000,-58837000,-58837000,-58615000,-42429000,0,-1.60324,-1.55776,-0.13146,-0.06721,1.26312,0.95596,0,-0.30076,-0.30076,0.19307,2.28783,-0.1142,7.49007,7.02141
"48","2022_Q3",5.136875,"Up",29378000,-75112000,-15093000,-60019000,-45734000,2643000,2643000,-43091000,-43091000,-43173000,-43173000,-43173000,-43173000,315722000,117705000,198017000,6002000,6002000,21396000,21107000,289000,343120000,53499000,172541000,86310000,274006000,617126000,41193000,41193000,208715000,208715000,249908000,48937000,42815000,48937000,298845000,1374858000,-1043417000,-13160000,318281000,318281000,617126000,-43173000,2884000,10080000,-23776000,-53985000,-5445000,33874000,28429000,23060000,23060000,22874000,-2682000,-2682000,-2552000,-42850000,-2.8421709430404e-14,-1.55674,-1.46957,-0.13564,-0.06996,1.37299,0.93893,-5.29395592033938e-23,-0.2914,-0.2914,0.19829,2.14825,-0.11757,7.36807,6.90344
