"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"37","2020_Q2",13.8309523809524,"Up",8302498,-1960150,6342348,-4993743,-4894806,-98937,1348605,39951,39951,1388556,1388556,-374000,1014556,1014556,1014556,1014556,8034530,8034530,12718743,12718743,2745557,1534439,476137,25033269,3944164,1325873,562157,137716,5270037,30303306,2946743,1046149,1900594,247074,247074,3276513,55269,3331782,16434904,10536620,26971524,26971524,30303306,1014556,180901,213929,-780344,629042,-415480,-415480,13040,226602,226602,226602,1529506,82696,707682,0.76391,0.16243,0.1222,0.03762,0.03348,0.69753,7.64022,0.12353,0.00273,0.12108,0.11726,0.99081,3.21875,0.08445,0.03742,0.0261,-5.19896,-5.89634
"38","2020_Q3",14.3853125,"Up",8546942,-1871434,6675508,-5108529,-4965052,-143477,1566979,37077,37077,1604056,1604056,-419000,1185056,1185056,1185056,1185056,9206722,9206722,12718220,12718220,2651420,1710735,313436,26287097,3914934,1285150,552093,122057,5200084,31487181,2583304,610610,1972694,327531,327531,2993773,39628,3033401,16732104,11721676,28453780,28453780,31487181,1185056,198300,249623,-238422,1394557,-285261,-285261,62896,1172192,1172192,1172192,1765279,82938,1660596,0.78104,0.18334,0.13865,0.04165,0.03764,1.40128,8.78059,0.10661,0.00263,0.14124,0.13552,1.01869,3.39135,0.19792,0.04147,0.05811,-5.16847,-5.82253
"39","2020_Q4",9.4134375,"Down",8743897,-2150347,6593550,-5680448,-5288486,-391962,913102,34172,34172,947274,947274,-294000,653274,653274,653274,653274,9933309,9933309,13290402,13290402,2646971,1916862,360956,27787544,3878347,1307326,604905,100421,5185673,32973217,3098613,874133,2224480,446573,446573,3622052,24324,3646376,16951891,12374950,29326841,29326841,32973217,653274,181446,241300,-187326,888694,-149594,-149594,-12513,726587,726587,726587,1094548,76866,1051628,0.75407,0.10443,0.07471,0.02228,0.01981,1.60978,7.67177,0.12434,0.00233,0.07774,0.07355,1.04055,3.48999,0.12515,0.0222,0.03574,-9.00503,-10.79446
"40","2021_Q1",10.8224590163934,"Up",6877663,-1289069,5588594,-4299280,-4796656,-415624,1289314,9800,9800,1299114,1299114,9000,1308114,1308114,1308114,1308114,10479000,10479000,12941000,12941000,3085000,1518000,353000,28023000,3788000,1434000,598000,81000,5222000,33245000,2700000,556000,2144000,286000,286000,2986000,9000,2995000,16566000,13684000,30250000,30250000,33245000,1308114,180353,71148,-275908,1283707,-126665,-126665,-611423,545619,545619,545619,1469667,-1.45519152283669e-11,1058094,0.81257,0.18746,0.1902,0.04324,0.03935,0.80887,9.3848,0.09901,0,0.15499,0.14491,0.81488,3.58407,0.12536,0.04323,0.03497,-7.13019,-8.12758
"41","2021_Q2",10.2292063492063,"Down",8004000,-1856000,6148000,-5485000,-5004000,-481000,663000,9000,9000,672000,672000,-137000,535000,535000,535000,535000,11143181,11143181,13624505,13624505,3065043,1504707,487361,29337436,3666101,1387255,626747,60508,5053356,34390792,3277720,766197,2511523,251055,251055,3528775,6001,3534776,16637251,14218765,30856016,30856016,34390792,535000,164000,246000,-123000,822000,-82000,-82000,-76000,664000,664000,664000,827000,0,759000,0.76812,0.08283,0.06684,0.01734,0.01556,1.41869,8.31377,0.11456,2.16840434497101e-19,0.06257,0.05968,0.93605,3.60854,0.08876,0.01734,0.02459,-13.47422,-16.80721
"42","2021_Q3",12.01421875,"Up",9496000,-1971000,7525000,-5943000,-5435000,-508000,1582000,10000,10000,1592000,1592000,-389000,1203000,1203000,1203000,1203000,11742115,11742115,15395124,15395124,2603495,1155027,381763,30895761,3583374,1344489,622697,43792,4927863,35823624,2675506,722905,1952601,810455,810455,3485961,3929,3489890,16911542,15422192,32333734,32333734,35823624,1203000,151000,261000,-946000,669000,-62000,-62000,-8000.00000000006,599000,599000,599000,1733000,1.81898940354586e-12,1114000,0.79244,0.1666,0.12668,0.03721,0.03358,0.92602,8.86291,0.10793,0,0.14037,0.13536,1.10801,3.77274,0.12998,0.0372,0.03445,-6.7756,-7.42232
"43","2021_Q4",11.7278125,"Down",8787000,-2086000,6701000,-6458000,-6051000,-407000,243000,10000,10000,253000,253000,-29000,224000,224000,224000,224000,12500688,12500688,16236661,16236661,2256012,1294821,483399,32288182,3526935,1355446,602430,100016,4882381,37170563,3457569,1023603,2433966,780681,780681,4238250,59702,4297952,17226648,15645963,32872611,32872611,37170563,224000,143000,351000,115000,833000,-64000,-64000,-11000,758000,758000,758000,386000,0,466000,0.7626,0.02765,0.02549,0.00681,0.00603,2.08036,7.61828,0.13075,-1.35525271560688e-20,0.02612,0.02513,1.02456,3.83294,0.05434,0.00679999999999999,0.01415,-32.3852,-51.44316
"44","2022_Q1",12.5208064516129,"Up",9469000,-2538000,6931000,-6279000,-5953000,-326000,652000,-2000,-2000,650000,650000,-250000,4e+05,4e+05,4e+05,4e+05,11889000,11889000,17032000,17032000,2114000,669000,276000,31704000,3605000,1800000,663000,88000,5405000,37109000,4639000,685000,3954000,681513.10718527,681513.10718527,4639000,54000,4693000,17494000,14922000,32416000,32416000,37109000,4e+05,152000,-128000,329000,753000,-240000,-240000,-1124000,-611000,-611000,-611000,804000,-1.13686837721616e-13,1143000,0.73197,0.06886,0.04224,0.01234,0.01078,2.8575,6.83423,0.14477,0,0.04669,0.04503,1.10524,3.78365,0.13341,0.01232,0.0352,-14.78731,-18.23466
"45","2022_Q2",11.8282258064516,"Down",10001000,-2300000,7701000,-7163000,-6787000,-376000,538000,9000,9000,547000,547000,-108000,439000,439000,439000,439000,10980000,10980000,18363000,18363000,2023000,1060000,531000,32426000,3717000,1757000,621000,119000,5474000,37900000,4210000,1261000,2949000,599000,599000,4809000,50000,4859000,17680000,15361000,33041000,33041000,37900000,439000,158000,281000,-1454000,-576000,-270000,-270000,-63000,-909000,-909000,-909000,696000,0,-920000,0.77002,0.05379,0.0439,0.01329,0.01158,-2.09567,6.74277,0.14706,0,0.05129,0.04941,1.16845,3.86028,-0.10749,0.01327,-0.0278,-15.77586,-20.40892
"46","2022_Q3",9.84140625,"Down",10248000,-2368000,7880000,-6804000,-6475000,-329000,1076000,6000,6000,1082000,1082000,-244000,838000,838000,838000,838000,10470000,10470000,19114000,19114000,1790000,1076000,716000,32450000,4027000,1727000,617000,98000,5754000,38204000,4296000,1295000,3001000,374000,374000,4670000,47000,4717000,17950000,15537000,33487000,33487000,38204000,838000,142000,282000,-792000,470000,-310000,-310000,-670000,-510000,-510000,-510000,1218000,0,360000,0.76893,0.105,0.08177,0.02502,0.02193,0.42959,6.94861,0.14086,0,0.09791,0.09432,1.19731,3.91239,0.04206,0.02499,0.01074,-8.59606,-9.73048
