"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","investment_income_loss","commissions_fees_earned","other_non_interest_income","provision_for_loan_losses","net_revenue_after_provisions","total_non_interest_expense","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","short_long_term_investments","net_loans","reserve_for_loan_losses","total_loans","net_fixed_assets","intangible_assets","customer_acceptances_liabilities","other_assets","total_assets","total_deposits","interest_bearing_deposits","other_deposits","short_term_debt","long_term_debt","other_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_investments","net_change_in_loans_interbank","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","net_change_in_deposits","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebit"
"36","2019_Q3",31.2821875,"Down",129617000,98461000,119543000,-21082000,31156000,2909000,14510000,13737000,-2747000,126870000,-71872000,-71872000,54998000,54998000,54917000,-10103000,44814000,44814000,44814000,44814000,194355000,3041706000,7686995000,-50859000,7737854000,179866000,914678000,38450000,438603000,12494653000,8694928000,3035151000,5659777000,296148000,1277817000,151644000,10420537000,0,1282164000,788900000,3054000,2074116000,2074116000,12494653000,25180000,-3883000,80051000,-66270000,9898000,-16918000,60716000,-488000,-220927000,-177617000,-142539000,-142539000,-142539000,1573965000,0.42431,0.34574,0.02161,0.00359,5.02409,0.12597,0.82035,0.81864,2.37271,37.96787,0.30969,0.00494,0.37752,25.08473
"37","2019_Q4",32.50703125,"Up",123068000,96119000,117348000,-21229000,26949000,234000,15246000,11469000,-4121000,118947000,-71579000,-71579000,47368000,47368000,45680000,-8334000,37346000,37346000,37346000,37346000,244333000,3073667000,7702435000,-54317000,7756752000,178344000,914705000,37156000,443247000,12593887000,8664363000,2973658000,5690705000,325247000,1317724000,185284000,10492618000,0,1283549000,809332000,8640000,2101269000,2101269000,12593887000,71725000,-2278000,-27842000,-13131000,-43251000,-16914000,39737000,-208000,-30111000,21504000,49978000,49978000,49978000,1642971000,0.38489,0.30346,0.01777,0.00297,4.99347,0.13046,0.68279,0.68313,2.25002,38.4169,0.30923,0.00431,0.4529,29.52706
"38","2020_Q1",27.4025806451613,"Down",137801000,106963000,128309000,-21346000,30838000,520000,15263000,15055000,-1823000,135978000,-81035000,-81035000,54943000,54943000,43422000,-7046000,36376000,36376000,36376000,36376000,234796000,3257654000,10215556000,-52429000,10267985000,261014000,1149153000,43648000,558291000,15720112000,11004006000,3990567000,7013439000,282362000,1615484000,224339000,13126191000,9530370.35453163,1778793000,824694000,-103000,2593921000,2593921000,15720112000,15268000,-3859000,-11998000,22884000,68208000,-16915000,-11164000,-9463000,-33971000,-93013000,-9537000,-9537000,-9537000,1897846000,0.39871,0.26397,0.01402,0.00231,5.06037,0.12073,0.60117,0.59888,2.27736,42.86823,0.27954,0.00339,0.465,30.26864
"39","2020_Q2",19.5192063492063,"Down",148171000,120162000,142448000,-22286000,28009000,1491000,15248000,11270000,-29821000,118350000,-86169000,-86169000,32181000,32181000,27017000,-3621000,23396000,23396000,23396000,23396000,593872000,3087490000,10235324000,-114272000,10349596000,258200000,1170070000,43960000,606656000,15995572000,11043332000,3923378000,7119954000,333966000,1777616000,254598000,13409512000,3.72529029846191e-09,1779949000,800064000,39761000,2586060000,2586060000,15995572000,32884000,-2925000,219878000,-102848000,114115000,-21016000,222228000,-24527000,42892000,212077000,359076000,359076000,359076000,2111582000,0.21719,0.1579,0.00905,0.00146,5.18531,0.13201,0.34668,0.34616,2.19556,38.31964,0.31141,0.00278,0.89827,47.16168
"40","2020_Q3",19.2678125,"Down",151872000,119012000,134694000,-15682000,32860000,1299000,11909000,19652000,-61840000,90032000,-85033000,-85033000,4999000,4999000,4530000,-42000,4488000,4488000,4488000,4488000,890334000,2851825000,10905668000,-168475000,11074143000,255306000,1166853000,59151000,626258000,16755395000,12186453000,3912170000,8274283000,390777000,1321711000,286933000,14185874000,0,1774906000,782990000,39143000,2569521000,2569521000,16755395000,56510000,-1936000,230900000,-713666000,-484702000,-21434000,-399321000,-416000,1145825000,724654000,296462000,296462000,296462000,1712488000,0.03292,0.02955,0.00175,0.00027,5.52082,0.10221,0.06688,0.06675,2.26321,38.29126,0.31941,0.00155,4.77585,164.46369
"41","2020_Q4",24.79203125,"Up",155206000,120594000,133657000,-13063000,34612000,787000,13482000,20343000,-16288000,138918000,-86336000,-86336000,52582000,52582000,48974000,-7669000,41305000,41305000,41305000,41305000,760266000,2804746000,10804437000,-185109000,10989546000,248491000,1165566000,65023000,703611000,16552140000,12201425000,3875109000,8326316000,381909000,986771000,249069000,13819174000,144529000,1776006000,802892000,36942000,2732966000,2732966000,16552140000,-68766000,-1096000,40171000,102528000,142425000,-21400000,-344033000,144519000,17187000,-203727000,-130068000,-130068000,-130068000,1368680000,0.33879,0.26613,0.01511,0.0025,5.05647,0.08269,0.61453,0.61434,2.30913,38.51029,0.31839,0.00379,0.5181,11.57077
"42","2021_Q1",30.5393442622951,"Up",152416000,119712000,130478000,-10766000,32704000,691000,13828000,18185000,208000,152624000,-87582000,-87582000,65042000,65042000,64558000,-11703000,52855000,52855000,52855000,50211000,905447000,2722069000,10603406000,-185827000,10789233000,249421000,1163091000,66790000,715386000,16425610000,12429373000,3833075000,8596298000,241950000,741294000,256256000,13668873000,144484000,1776649000,831688000,29865000,2756737000,2756737000,16425610000,38978000,-1594000,69834000,217714000,285954000,-24047000,-385724000,427000,229593000,-179751000,145181000,145181000,145181000,983244000,0.42674,0.32943,0.01821,0.00306,4.95835,0.05986,0.74677,0.74733,2.26682,38.85094,0.35764,0.00452,0.47892,1.19609999999999
"43","2021_Q2",35.0990476190476,"Up",149686000,116478000,125054000,-8576000,33208000,279000,14049000,18880000,27958000,177644000,-85476000,-85476000,92168000,92168000,91317000,-18202000,73115000,73115000,73115000,70584000,759048000,3601785000,10543272000,-160040000,10703312000,239863000,1160195000,68896000,684729000,17057788000,13286999000,3929061000,9357938000,137218000,626414000,221635000,14272266000,144484000,1777937000,879786000,8304000,2785522000,2785522000,17057788000,52004000,-2362000,-912418000,100799000,-813981000,-23950000,-219894000,569000,858853000,615578000,-146399000,-146399000,-146399000,763632000,0.61574,0.47155,0.02534,0.00414,5.12373,0.04477,1.04936,1.04793,2.22536,39.26393,0.35606,0.00554,0.33931,0.04974
"44","2021_Q3",31.29640625,"Down",151966000,115854000,123328000,-7474000,36112000,477000,13853000,21782000,21026000,172992000,-82589000,-82589000,90403000,90403000,89180000,-18591000,70589000,70589000,70589000,68057000,846304000,3879703000,10216462000,-140730000,10357192000,235227000,1157322000,64020000,567829000,16966867000,13318255000,3922864000,9395391000,135267000,506531000,225978000,14186031000,144484000,1774294000,925977000,11077000,2780836000,2780836000,16966867000,177338000,-2241000,-278402000,359973000,79330000.0000001,-24622000,-122113000,-54945000,32268000,-169412000,87255999.9999999,87255999.9999999,87255999.9999999,641798000,0.59489,0.44784,0.02447,0.00401,5.10135,0.03783,1.01179,1.01042,2.25926,39.19427,0.36605,0.00546,0.36178,-2.26216
"45","2021_Q4",33.5671875,"Up",148030000,115275000,121378000,-6103000,32755000,-15000,15304000,17466000,1730000,149760000,-90234000,-90234000,59526000,59526000,55059000,-10651000,44408000,44408000,44408000,41877000,1121116000,3953917000,9776560000,-136605000,9913165000,232134000,1154468000,61895000,592021000,16892111000,13423314000,3842432000,9580882000,152546000,376651000,215617000,14168128000,144484000,1775920000,946746000,2935000,2723983000,2723983000,16892111000,46796000,-1253000,-129695000,459227000,330654000,-24333000,-112881000,-71330000,105906000,-102638000,274812000,274812000,274812000,529197000,0.40212,0.2829,0.01537,0.00248,5.20125,0.03133,0.66424,0.66278,2.348,40.91516,0.38596,0.00392,0.58106,-9.94387
"46","2022_Q1",34.7298387096774,"Up",141036000,110326000,115207000,-4881000,30710000,372000,15613000,14725000,13560000,154596000,-88127000,-88127000,66469000,66469000,66293000,-12145000,54148000,54148000,54148000,51617000,1251358000,4031483000,9611856000,-121622000,9733478000,229016000,1151634000,60844000,590934000,16927125000,13565863000,3855162000,9710701000,141893000,316780000,209423000,14233959000,144484000,1777476000,977765000,-6800000,2693166000,2693166000,16927125000,60159000,-2679000,-112226000,188166000,75501000,-23704000,-70814000,-54176000,143276000,-5418000,130242000,130242000,130242000,458673000,0.47129,0.36598,0.01917,0.00305,5.28521,0.0271,0.81873,0.81694,2.23707,40.42635,0.37599,0.00445,0.45923,-11.92563
"47","2022_Q2",32.0454838709677,"Down",138093000,107711000,112174000,-4463000,30382000,-650000,16145000,14887000,3438000,141531000,-85955000,-85955000,55576000,55576000,53983000,-9859000,44124000,44124000,44124000,41593000,1369498000,4081047000,9615407000,-117865000,9733272000,219907000,1149035000,60370000,608751000,17104015000,13797874000,3890061000,9907813000,158538000,404641000,195646000,14556699000,144484000,1778539000,998315000,-113010000,2547316000,2547316000,17104015000,47741000,-559000,-193426000,6537000,-181387000,-23101000,104197000,-61950000,232640000,251786000,118140000,118140000,118140000,563179000,0.40245,0.3012,0.01633,0.00243,5.71452,0.03293,0.65973,0.65829,2.19039,38.11293,0.36642,0.00378,0.55541,-14.5084
"48","2022_Q3",33.4021875,"Up",139210000,112227000,118447000,-6220000,26983000,-1182000,15272000,12893000,811999.999999998,140022000,-86968000,-86968000,53054000,53054000,53001000,-10255000,42746000,42746000,42746000,40214000,450009000,4177094000,10091286000,-117403000,10208689000,216293000,1146456000,61918000,656568000,16799624000,13569302000,3800742000,9768560000,147964000,403560000,210847000,14331673000,144484000,1774451000,1018209000,-177856000,2467951000,2467951000,16799624000,38054000,-2248000,-185837000,-471977000,-658307000,-23097000,-12003000,-36092000,-228044000,-299236000,-919489000,-919489000,-919489000,551524000,0.38111,0.28887,0.01629,0.00239,5.80711,0.03283,0.66983,0.66817,2.31877,38.70116,0.38472,0.00377,0.57435,1.91343
