"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_investment_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"38","2020_Q1",97.8653225806452,"Down",244100000,-156600000,-101300000,-55300000,8.5e+07,-3e+06,19200000,8.2e+07,-43400000,38600000,3.4e+07,3.4e+07,3.4e+07,3.4e+07,670500000,112300000,558200000,16600000,16600000,8.31e+08,41900000,355600000,77500000,77500000,4.75e+08,1.306e+09,141300000,15200000,15200000,565300000,103800000,103800000,103800000,669100000,1768200000,-1132700000,1400000,636900000,636900000,1.306e+09,3.4e+07,2e+06,3.9e+07,22500000,97500000,-2800000,-163400000,-166200000,12400000,12400000,12400000,-56300000,-56300000,-56300000,8.7e+07,408800000,0.05338,0.02603,1.47002,1.05056,0.31302,0.36881,0.34967,2.64785,6.90871,0.02958,-3.00805,-3.07882
"39","2020_Q2",110.50873015873,"Up",237100000,-176100000,-117800000,-58300000,58900000,-3499999,4700000,55400001,-16500000,38900001,37400001,37400001,37400001,37400001,771700000,1.87e+08,584700000,26700000,26700000,968200000,41900000,275300000,76500000,76500000,393700000,1361900000,125900000,14400000,14400000,140300000,107200000,107200000,521300000,661600000,1.797e+09,-1095300000,-1400000,700300000,700300000,1361900000,37400000,2100000,4.5e+07,-4.9e+07,35500000,-1300000,34500000,33200000,6e+06,6e+06,6e+06,74700000,74700000,74700000,6.1e+07,414100000,0.05341,0.02746,6.90093,0.94474,0.30406,0.40389,0.38557,2.56048,7.56263,0.03062,-5.8623,-6.07131
"40","2020_Q3",115.67578125,"Up",302400000,-177400000,-96500000,-80900000,122600000,-4700001,3600000,117899999,-34700000,83199999,79599999,79599999,79599999,79599999,948300000,415100000,533200000,27500000,27500000,1146200000,44600000,245900000,78900000,78900000,369400000,1515600000,137100000,16400000,16400000,5.73e+08,111400000,111400000,111400000,684400000,1842300000,-1015700000,4600000,831200000,831200000,1515600000,79600000,2100000,23900000,13300001,118900001,-4700000,98100000,93400000,15800000,15800000,15800000,228100001,228100001,228100001,124700000,419500000,0.09577,0.05252,2.00035,0.82339,0.27679,0.85591,0.81059,3.25161,8.93763,0.05844,-4.24058,-4.31321
"41","2020_Q4",96.58609375,"Down",258500000,-181600000,-112500000,-69100000,74200000,-5800000,2700000,68400000,-125500000,-57100000,-57600000,-57600000,-57600000,-57600000,944700000,425300000,519400000,34700000,34700000,1156900000,4.3e+07,225100000,77600000,77600000,345700000,1502600000,170500000,15500000,15500000,6.11e+08,87300000,87300000,87300000,698300000,1874400000,-1073300000,3200000,804300000,804300000,1502600000,-57600000,2200000,40200000,-5200001,-20400001,-4e+05,25600000,25200000,5400000,5400000,5400000,10199999,10199999,10199999,76400000,4.25e+08,-0.07162,-0.03833,1.89345,0.86821,0.28284,-0.6167,-0.583,2.76767,8.61135,-0.04375,-6.80236,-7.00404
"42","2021_Q1",104.861967213115,"Up",247900000,-173200000,-106500000,-66700000,71800000,-6200000,1600000,65600000,-23900000,41700000,347900000,347900000,347900000,347900000,8.01e+08,187100000,613900000,30100000,30100000,1016200000,44600000,265300000,408600000,89200000,718500000,1734700000,168700000,17800000,17800000,186500000,104100000,104100000,4.22e+08,608500000,1849800000,-725400000,1800000,1126200000,1126200000,1734700000,347900000,2200000,-258600000,3e+06,94500000,-4500000,-143200000,-147700000,1900000,1900000,-1.85e+08,-238200000,-238200000,-238200000,7.4e+07,317900000,0.30891,0.20055,5.44879,0.54031,0.18326,3.72484,3.57922,2.65418,12.05782,0.22471,-6.52838,-6.72841
"43","2021_Q2",95.8495238095238,"Down",236600000,-202200000,-1.29e+08,-73200000,31500000,-5e+06,1400000,26500000,700000.000000015,27200000,32100000,32100000,32100000,32100000,873700000,352600000,521100000,33800000,33800000,1085400000,45300000,288500000,427200000,101600000,7.61e+08,1846400000,171900000,18100000,18100000,1.9e+08,128800000,128800000,450800000,640800000,1897900000,-693300000,1e+06,1205600000,1205600000,1846400000,32100000,2500000,32800000,19900000,87300000,-4500000,67600000,63100000,15200000,15200000,15100000,165500000,165500000,165500000,3.4e+07,3.22e+08,0.02663,0.01739,5.71263,0.53152,0.17439,0.34076,0.32688,2.51168,12.7983,0.01938,-16.22647,-17.51429
"44","2021_Q3",94.456875,"Down",288900000,-2.18e+08,-143200000,-74800000,67800000,-5300000,9e+05,62500000,-5e+06,57500000,42300000,42300000,42300000,42300000,884900000,3.68e+08,516900000,38400000,38400000,1110100000,5e+07,376700000,419600000,103500000,846300000,1956400000,190900000,2.2e+07,2.2e+07,212900000,1.38e+08,1.38e+08,464300000,677200000,1929500000,-6.51e+08,7e+05,1279200000,1279200000,1956400000,42300000,2600000,45400000,12900000,103200000,-4300000,-86500000,-90800000,3e+06,3e+06,3e+06,15399999.9999999,15399999.9999999,15399999.9999999,70400000,326300000,0.0330699999999999,0.02162,5.21419,0.52939,0.16679,0.44904,0.43075,3.06688,13.57962,0.02426,-7.93466,-8.23894
"45","2021_Q4",91.9875,"Down",2.96e+08,-247300000,-154600000,-92700000,44500000,-5800000,8e+05,38700000,-8200000,30500000,22500000,22500000,22500000,22500000,765900000,311100000,454800000,50500000,50500000,1005700000,51100000,5.49e+08,411500000,101100000,1011600000,2017300000,205900000,2e+07,2e+07,225900000,114700000,114700000,445400000,671300000,1974100000,-628500000,4e+05,1.346e+09,1.346e+09,2017300000,22500000,2800000,57500000,-2.1e+07,61800000,-5700000,-120500000,-126200000,7500000,7500000,7500000,-56900000,-56900000,-56900000,47300000,330700000,0.01672,0.01115,4.45197,0.49874,0.16393,0.23759,0.2303,3.12566,14.21331,0.01256,-9.20085,-9.77978
"46","2022_Q1",84.7493548387097,"Down",3.12e+08,-243900000,-156500000,-87400000,6.4e+07,-5900000,7e+05,58100000,-71900000,-13800000,-7300000,-7300000,-7300000,-7300000,711300000,340800000,370500000,45500000,45500000,972800000,58600000,624400000,416700000,101600000,1099700000,2072500000,225800000,2e+07,2e+07,245800000,117600000,117600000,452700000,698500000,2011500000,-635800000,-1700000,1.374e+09,1.374e+09,2072500000,-7300000,3e+06,3600000,4899999.99999999,4200000,-8900000,32600000,23700000,1800000,1800000,1800000,29700000,29700000,29700000,6.7e+07,335100000,-0.00531,-0.00352,3.95769,0.50837,0.16169,-0.07709,-0.07472,3.29461,14.50898,-0.004,-5.61493,-5.87812000000001
"47","2022_Q2",92.2943548387097,"Up",310600000,-302900000,-200700000,-102200000,3100000,-1600000,1e+06,1500000,19900000,21400000,13900000,13900000,13900000,13900000,664900000,270200000,394700000,60800000,60800000,1018200000,63900000,632300000,430100000,104800000,1126300000,2144500000,235900000,17600000,17600000,253500000,122200000,122200000,499900000,753400000,1947800000,-547400000,-9300000,1391100000,1391100000,2144500000,13900000,3300000,1.8e+07,-75700000,-40500000,-7600000,-2.4e+07,-31600000,6100000,6100000,6100000,-6.6e+07,-6.6e+07,-6.6e+07,6400000,377700000,0.00999,0.00648,4.01657,0.54159,0.17612,0.14678,0.14227,3.27983,14.68955,0.00735,-44.875,-92.64516
"48","2022_Q3",101.46484375,"Up",378200000,-318700000,-182800000,-135900000,54700000,-6e+05,1600000,54100000,-77400000,-23300000,-16900000,-16900000,-16900000,-16900000,648300000,163300000,4.85e+08,62700000,62700000,1019300000,66800000,4.89e+08,430600000,102200000,986400000,2005700000,265700000,2e+07,2e+07,285700000,127600000,127600000,296600000,582300000,1999900000,-564300000,-12200000,1423400000,1423400000,2005700000,-16900000,3900000,125700000,25400000,138100000,-8799999,40200000,31400001,2600000,2600000,-276400000,-106899999,-106899999,-106899999,58600000,1.69e+08,-0.01187,-0.00843,3.56773,0.40909,0.08426,-0.17678,-0.17678,3.95607,14.88912,-0.00983,-8.17918,-8.76234
