"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"30","2018_Q3",29.4577777777778,"Up",393205000,-238253000,154952000,-120683000,-120683000,34269000,-710000,216000,-926000,33559000,33559000,-10353000,23206000,23206000,-310000,22896000,22896000,122345000,122345000,145167000,145167000,180050000,48553000,48553000,496115000,171510000,213918000,92630000,40097000,81191000,385428000,881543000,186683000,53426000,133257000,186921000,89950000,89950000,90264000,277185000,343431000,47540000,295891000,279344000,-30511000,592264000,12094000,604358000,881543000,23206000,8111000,-4887000,5286000,31716000,-7077000,-1984000,-8026000,-65000,-19201000,-19201000,-21000,-24598000,-908000,-908000,14000,-894000,42380000,552000,50942000,0.39407,0.08715,0.05823,0.03788,0.02597,2.22493,2.65414,0.45864,0.00063,0.47737,0.47474,8.19809,12.34835,1.06211,0.04059,0.07331,-2.87383,-3.55403
"31","2018_Q4",26.1973015873016,"Down",413638000,-251140000,162498000,-129403000,-129403000,33095000,-763000,331000,-1094000,32332000,32332000,-20047000,12285000,12285000,-176000,12109000,12109000,135266000,135266000,146498000,146498000,186319000,45596000,45596000,513679000,174877000,204946000,94275000,28823000,81848000,379823000,893502000,197838000,66672000,131166000,198069000,92346000,92346000,92595000,290664000,344476000,47068000,297408000,271912000,-26509000,589879000,12959000,602838000,893502000,12285000,7802000,12624000,7265000,39976000,-7754000,-37000,-8085000,-292000,-15382000,-15382000,1062000,-20307000,11584000,11584000,1339000,12923000,40897000,480000,60455000,0.39285,0.08001,0.02927,0.02009,0.01355,4.99257,2.59343,0.48216,0.00054,0.25635,0.25279,8.75684,12.48791,1.27985,0.02559,0.0869,-3.29574,-4.0727
"32","2019_Q1",29.475737704918,"Up",420025000,-253831000,166194000,-120487000,-120487000,45707000,-941000,438000,-1379000,44766000,44766000,-10406000,34360000,34360000,-150000,34210000,34210000,134515000,134515000,154055000,154055000,184841000,44807000,44807000,518218000,180882000,193867000,93444000,21265000,79158000,374749000,892967000,181124000,62403000,118721000,181347000,86205000,86205000,86404000,267751000,345736000,46788000,298948000,291644000,-25199000,612181000,13035000,625216000,892967000,34360000,8096000,7312000,-25218000,24550000,-11379000,1096000,-10003000,-70000.0000000009,-10656000,-10656000,1559000,-14833000,-286000,-286000,-463000,-749000.000000002,53803000,422000,27612000,0.39568,0.10882,0.08145,0.05472,0.03831,0.80713,2.8576,0.42825,0.00047,0.72899,0.71923,8.95041,13.04511,0.58839,0.05602,0.03879,-2.4923,-2.93375
"33","2019_Q2",30.5609523809524,"Up",384695000,-236173000,148522000,-125362000,-125362000,23160000,1390000,498000,892000,24550000,24550000,-5599000,18951000,18951000,-648000,18303000,18303000,134247000,134247000,138979000,138979000,195015000,57671000,57671000,525912000,188088000,192582000,92427000,21255000,78900000,380670000,906582000,190593000,62885000,127708000,190814000,88962000,88962000,89104000,279918000,347461000,46691000,300770000,296321000,-29573000,614209000,12455000,626664000,906582000,18951000,7541000,2136000,3526000,32154000,-15812000,572000,-15182000,-59000,-7944000,-7944000,-2009000,-15637000,1335000,1335000,-1601000,-266000,30701000,363000,24014000,0.38608,0.0602,0.04758,0.02921,0.02019,1.31203,2.75615,0.44668,0.000399999999999999,0.39179,0.3881,8.23476,13.14772,0.51404,0.03342,0.03354,-4.3609,-5.78083
"34","2019_Q3",30.08140625,"Down",439333000,-264928000,174405000,-145905000,-145905000,28500000,-2106000,-109000,-1997000,26394000,26394000,-6045000,20349000,20349000,-337000,20012000,20012000,93867000,93867000,150507000,150507000,214948000,78094000,78094000,537416000,195327000,319392000,212616000,23227000,83549000,514719000,1052135000,251165000,75090000,176075000,286382000,116433000,116433000,116522000,402904000,354606000,46905000,307701000,309543000,-28329000,635820000,13411000,649231000,1052135000,20349000,8e+06,-1642000,-12777000,13930000,-10858000,1989000,-86958000,34943000,-3666000,-3666000,6048000,31672000,-41356000,-41356000,619000,-40737000,36500000,35306000,18910000,0.39698,0.06487,0.04555,0.03082,0.01902,0.944929999999999,1.87657,0.62059,0.03356,0.4268,0.42329,9.36984,13.5604,0.4033,0.03204,0.02361,-1.60441,-2.05477
"35","2019_Q4",31.68375,"Up",467582000,-277712000,189870000,-149027000,-149027000,40843000,-939000,2000,-941000,39904000,39904000,-10730000,29174000,29174000,-443000,28731000,28731000,101579000,101579000,149526000,149526000,219211000,77089000,77089000,547405000,195680000,318371000,214991000,21231000,82149000,514051000,1061456000,248698000,72421000,176277000,268903000,120720000,120720000,120767000,389670000,353626000,46730000,306896000,330491000,-26854000,657263000,14523000,671786000,1061456000,29174000,7641000,3736000,4813000,45364000,-8649000,-3213000,-12259000,-15053000,-5116000,-5116000,-27000,-26299000,6806000,6806000,908000,7714000,48484000,20252000,55378000,0.40607,0.08735,0.06145,0.04277,0.02707,1.92747,2.0357,0.58005,0.01908,0.61365,0.60873,9.9868,14.03808,1.18279,0.04286,0.06814,-1.6774,-1.99121
"36","2020_Q1",26.9511290322581,"Down",453791000,-264018000,189773000,-152602000,-152602000,37171000,-21000,170000,-191000,37150000,4479000,-2812000,1667000,1667000,-139000,1528000,1528000,129819000,129819000,143288000,143288000,196899000,71112000,71112000,541118000,200523000,318149000,215774000,20670000,81705000,518672000,1059790000,238456000,65365000,173091000,238636000,124159000,124159000,124178000,362814000,360123000,46955000,313168000,325847000,-3462000,682508000,14468000,696976000,1059790000,1667000,7965000,30275000,19390000,59297000,-11173000,897999.999999998,-7292999.99999999,-20054000,-6231000,-6231000,9014000,-23398000,28606000,28606000,-401000,28205000,45136000,198999.999999985,56165000,0.41819,0.08191,0.00336999999999999,0.00219,0.00144,36.7572,2.26755,0.52055,0.00019,0.0325899999999999,0.0320400000000001,9.67819,14.55613,1.19785,0.00932,0.06838,-2.87177,-3.48713
"37","2020_Q2",22.9057142857143,"Down",413633000,-245921000,167712000,-144290000,-144290000,23422000,-351000,409000,-760000,23071000,23071000,-5083000,17988000,17988000,81000,18069000,18069000,111622000,111622000,134379000,134379000,197701000,87601000,87601000,531303000,204789000,626058000,214270000,21906000,389882000,830847000,1362150000,231692000,62935000,168757000,295850000,105898000,105898000,368162000,664012000,357897000,46690000,311207000,329096000,-3728000,683265000,14873000,698138000,1362150000,17988000,7298000,578000,-6524000,19340000,-12277000,-1228000,-18301000,-47000,-12313000,-12313000,-1417000,-19889000,-18850000,-18850000,655000,-18195000,30720000,262264000,17002000,0.40546,0.05663,0.04368,0.02588,0.01327,0.94095,1.79585,0.95112,0.19254,0.38592,0.38343,8.83454,14.59344,0.36314,0.02268,0.01594,4.90371,6.43165
"38","2020_Q3",28.97234375,"Up",447212000,-264823000,182389000,-152788000,-152788000,29601000,1582000,214000,1368000,31183000,31183000,-8279000,22904000,22904000,-311000,22593000,22593000,117569000,117569000,155086000,155086000,205124000,83810000,83810000,561589000,210400000,620339000,214581000,20911000,384847000,830739000,1392328000,253582000,71852000,181730000,317606000,111524000,111524000,363980000,681586000,360678000,46439000,314239000,336989000,-2468000,695199000,15543000,710742000,1392328000,22904000,7638000,4469000,-649000.000000004,34362000,-10584000,-3399000,-14044000,-48000.0000000019,-10854000,-10854000,1988000,-14953000,5365000,5365000,584000,5949000,37239000,252456000,34285000,0.40784,0.06619,0.05052,0.03179,0.01623,1.51751,1.76819,0.95898,0.18132,0.48533,0.48178,9.60672,14.93382,0.73649,0.02664,0.0319,3.6222,4.55684
"39","2020_Q4",35.40953125,"Up",475856000,-276218000,199638000,-147325000,-147325000,52313000,-5419000,579000,-5998000,46894000,46894000,-12178000,34716000,34716000,-204000,34512000,34512000,166272000,166272000,153721000,153721000,198567000,84738000,84738000,603298000,212851000,626484000,214563000,19928000,391993000,839335000,1442633000,263394000,68045000,195349000,328522000,384629000,384629000,384629000,713151000,362839000,46075000,316764000,353419000,-2361000,713897000,15585000,729482000,1442633000,34716000,8099000,-6415000,29657000,66057000,-1361000,3067000,1231000,-40000,-12179000,-12179000,257000,-18452000,48836000,48836000,-132000,48704000,60412000,0,100886000,0.41953,0.10993,0.07253,0.04731,0.02392,2.92322,1.8364,0.97761,-2.77555756156289e-17,0.746,0.7409,10.28589,15.43127,2.18071,0.0368,0.09055,-2.7523,-3.17841
"40","2021_Q1",40.1875409836066,"Up",367281000,-195575000,171706000,-131418000,-131418000,40288000,598999.999999999,292000,307000.000000001,40887000,14025000,-10649000,3376000,3376000,-1081000,2295000,2295000,261553000,261553000,99351000,99351000,181643000,83779000,83779000,626326000,214767000,593796000,161017000,20839000,383287000,808563000,1434889000,210793000,55511000,155282000,350169000,368414000,368414000,368414000,718583000,364072000,45857000,318215000,343633000,-6952000,700753000,15553000,716306000,1434889000,3376000,8157000,105715000,-72765000,44483000,-10540000,1327000,-2801000,74974000,-8023000,-8023000,-4649000,55852000,97534000,97534000,-2251000,95283000,48445000,7.5e+07,-24211000,0.46751,0.10969,0.00625,0.0032,0.0016,-10.54946,1.78864,1.00318,0.05227,0.04993,0.0495199999999999,7.99114,15.24669,-0.52677,0.00754,-0.02088,-3.85082,-4.63049
"41","2021_Q2",40.477619047619,"Up",285458000,-169095000,116363000,-112038000,-112038000,4325000,1509000,35000,1474000,5834000,5834000,-1155000,4679000,4679000,119000,4798000,4798000,334204000,334204000,97374000,97374000,180401000,91973000,91973000,703952000,212933000,586862000,190211000,20060000,376591000,799795000,1503747000,310147000,61917000,248230000,424546000,364202000,364202000,364202000,788748000,366056000,45989000,320067000,346750000,-5232000,707574000,7425000,714999000,1503747000,4679000,8119000,17632000,75870000,106300000,-9800000,11048000,1248000,-25013000,7556443.25779962,7539306.30997737,-10693000,-35706000,71842000,71842000,1310000,73152000,12444000,5e+07,79669000,0.40764,0.01515,0.01681,0.00671,0.00319,16.60463,1.65813,1.10315,0.03325,0.10451,0.10438,6.21791,15.41253,1.73537,0.00425,0.07055,-22.83864,-65.71191
"42","2021_Q3",33.3153125,"Down",459120000,-258565000,200555000,-152616000,-152616000,47939000,-234000,-223000,-11000,47705000,47705000,-12401000,35304000,35304000,-369000,34935000,34935000,350949000,350949000,128324000,128324000,188652000,128477000,128477000,796402000,211688000,642253000,205481000,18990000,417782000,853941000,1650343000,424554000,89260000,335294000,490312000,405382000,405382000,405382000,895694000,372295000,46113000,326182000,378438000,-3957000,746776000,7873000,754649000,1650343000,35304000,8232000,23809000,22065000,89410000,-5621000,-9227000,-16848000,-5e+07,17468943.4065351,17440259.9840693,-3233000,-56449000,16113000,16113000,634000,16747000,56171000,0,85016000,0.43682,0.10441,0.07609,0.04629,0.02117,2.43355,1.62428,1.1869,0,0.75908,0.75341,9.97588,16.22615,1.84725,0.03289,0.07329,-6.24787,-7.32074
"43","2021_Q4",33.88578125,"Up",470196000,-268944000,201252000,-166838000,-166838000,34414000,6519000,-13000,6532000,40933000,40933000,-11344000,29589000,29589000,-357000,29232000,29232000,390324000,390324000,129256000,129256000,212114000,156503000,156503000,888197000,213088000,638887000,175560000,15635000,417095000,851975000,1740172000,484431000,96388000,388043000,550847000,401307000,401307000,401307000,952154000,380291000,46316000,333975000,401117000,-1982000,779426000,8592000,788018000,1740172000,29589000,8269000,18939000,-2676000,54121000,-11049000,-3248000,-14297000,-7000,-874999.999999996,-874999.999999991,5895000,-1471000,38353000,38353000,1247000,39600000,42683000,0,40302000,0.42802,0.07319,0.06217,0.0371,0.0168,1.37869,1.61242,1.20829,0,0.63191,0.62346,10.1642,16.84881,0.87121,0.03003,0.03389,-9.14472,-11.34201
"44","2022_Q1",31.2474193548387,"Down",519470000,-297380000,222090000,-172032000,-172032000,50058000,1383000,-88000,1471000,51441000,51441000,-13484000,37957000,37957000,-461000,37496000,37496000,391213000,391213000,139341000,139341000,226137000,169469000,169469000,926160000,219194000,640968000,175814000,11915000,422808000,860162000,1786322000,544056000,94152000,449904000,611670000,392506000,392506000,392506000,1004176000,376009000,45361000,330648000,399010000,-1521000,773498000,8648000,782146000,1786322000,37957000,8401000,22492000,-8764000,60086000,-8720000,-2086000,-10806000,-29999.9999999963,-43327000,-43327000,2771000,-47428000,1851999.99999999,1851999.99999999,-176000,1675999.99999999,58459000,9.31322574615479e-10,54459000,0.42753,0.09636,0.07218,0.04794,0.02099,1.45239,1.51415,1.28387,0,0.81976,0.81078,11.35702,16.91076,1.19062,0.03775,0.04636,-6.69209,-7.81519
"45","2022_Q2",25.2551612903226,"Down",524783000,-322701000,202082000,-167711000,-167711000,34371000,-287000,-194000,-93000,34084000,34084000,-8818000,25266000,25266000,-7e+05,24566000,24566000,332960000,332960000,141597000,141597000,264454000,198244000,198244000,937255000,229343000,642909000,175671000,11477000,425632000,872252000,1809507000,584929000,118120000,466809000,652337000,392721000,392721000,392721000,1045058000,377492000,44623000,332869000,379862000,-1823000,755531000,8918000,764449000,1809507000,25266000,8553000,19252000,-46908000,6163000,-19335000,-184000,-19519000,-30000,-35640000,-35640000,-2228000,-44675000,-58031000,-58031000,-446000,-58477000,42924000,0,-14501000,0.38508,0.0655,0.04681,0.03214,0.01358,-0.59029,1.43677,1.36707,-2.16840434497101e-19,0.54504,0.54105,11.64322,16.76276,-0.32173,0.02709,-0.01253,-7.75697,-9.68724
"46","2022_Q3",26.22625,"Up",575889000,-352594000,223295000,-169182000,-169182000,54113000,895000,-136000,1031000,55008000,55008000,-14650000,40358000,40358000,-842000,39516000,39516000,293341000,293341000,173998000,173998000,285770000,212059000,212059000,965168000,237518000,649408000,180108000,11727000,426835000,886926000,1852094000,612681000,119971000,492710000,680540000,385872000,385872000,385872000,1066412000,381120000,44200000,336920000,398335000,-2153000,777302000,8380000,785682000,1852094000,40358000,9232000,17327000,-57646000,9270999.99999999,-9981000,1424000,-12953000,-30000,-16870000,-1.5e+07,-12532000,-36053000,-39735000,-39735000,116000,-39619000,63345000,0,10368000,0.38774,0.09396,0.06862,0.0503,0.02134,0.26237,1.41824,1.35731,0,0.87673,0.87032,12.77709,17.24578,0.23003,0.03938,0.00885,-4.63085,-5.4209
