"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"32","2020_Q1",4.18983870967742,"Down",339059000,-257962000,81097000,-80144000,-37325000,-42819000,952999.999999996,-22553000,-22996000,443000,-21600000,-385317000,91892000,-293425000,-293425000,-292871000,-292871000,185740000,185740000,182238000,182238000,124432000,16630000,16155000,509040000,1517587000,526607000,183815000,273524000,69268000,2044194000,2553234000,248237000,248237000,18463000,335398000,1213985000,287271000,58453000,38585000,154710000,1501256000,1836654000,1185939000,-279956000,-19854000,705217000,716580000,2553234000,-293425000,42819000,302176000,-20142000,31428000,-20541000,-20541000,-6954000,-770000,-12436000,-1549000,-1549000,-1549000,43772000,1232448000,-88803000,0.23918,0.00281,-0.86378,-0.40871,-0.11471,0.30322,1.51772,2.56308,0.4827,-3.99317,-3.99317,4.62292,9.61533,-1.21079,-0.12886,-0.03971,23.91273,1098.32949
"33","2020_Q2",2.52539682539683,"Down",269599000,-201317000,68282000,-68501000,-30052000,-38449000,-219000,-4606000,-22277000,17671000,-4825000,-108691000,36086000,-72605000,-72605000,-72345000,-72345000,144701000,144701000,232855000,232855000,119084000,17926000,17926000,514566000,1487221000,431337000,181597000,185649000,64091000,1918558000,2433124000,196959000,196959000,40233000,297393000,1212264000,283873000,65475000,33940000,146148000,1496137000,1793530000,1188786000,-353862000,-25060000,628495000,639594000,2433124000,-72605000,38449000,54975000,-58948000,-38129000,-16386000,-16386000,18544000,-464000,13476000,-41039000,-41039000,-41039000,38230000,1252497000,-73190000,0.25327,-0.00081,-0.26834,-0.11311,-0.02973,1.01168,1.73026,2.80417,0.51477,-0.98473,-0.98473,3.66966,8.55479,-0.99623,-0.03113,-0.03364,28.97714,-5058.42922
"34","2020_Q3",3.71734375,"Up",172537000,-124743000,47794000,-76212000,-39126000,-37086000,-28418000,-23849000,-22179000,-1670000,-52267000,-56223000,23605000,-32618000,-32618000,-32354000,-32354000,158676000,158676000,158346000,158346000,107830000,33046000,33046000,457898000,1453778000,411034000,167050000,185649000,58335000,1864812000,2322710000,125921000,125921000,38456000,222056000,1210518000,276868000,65532000,45504000,132864000,1487386000,1709442000,1192894000,-386110000,-22910000,602461000,613268000,2322710000,-32618000,37086000,782000,20794000,26044000,-4864000,-4864000,-5623000,-108000,-7205000,13975000,13975000,13975000,8668000,1248974000,993000,0.27701,-0.16471,-0.18752,-0.05276,-0.01393,-0.0306900000000001,2.06208,2.78743,0.53772,-0.43946,-0.43946,2.34352,8.18305,0.01349,-0.01444,0.000460000000000002,125.78426,-38.3664599999984
"35","2020_Q4",4.345,"Up",176472000,-107592000,68880000,-67285000,-27216000,-40069000,1595000,-19683000,-19274000,-409000,-18088000,-18310000,4094000,-14216000,-14216000,-13962000,-13962000,134923000,134923000,173827000,173827000,104711000,44280000,44280000,457741000,1415636000,403270000,164632000,185649000,52989000,1818906000,2276647000,128193000,128193000,44248000,218859000,1208969000,245153000,67913000,40334000,108095000,1454122000,1672981000,1198291000,-400061000,-24841000,591847000,603666000,2276647000,-14216000,40069000,-23573000,-18893000,-16613000,-4283000,-4283000,-3901000,1135000,-2857000,-23753000,-23753000,-23753000,41664000,1253217000,14394000,0.39032,0.00904,-0.07912,-0.02313,-0.00613,-1.03094,2.09149,2.77137,0.55047,-0.18941,-0.18941,2.39404,8.02907,0.19527,-0.0066,0.00685,26.84077,701.12476
"36","2021_Q1",10.8862295081967,"Up",227277000,-141418000,85859000,-67741000,-27777000,-39964000,18118000,-7397000,-16155000,8758000,10721000,8077000,-3760000,4317000,4317000,4567000,4567000,150920000,150920000,206934000,206934000,104684000,23775000,23147000,486313000,1368092000,392542000,159582000,185649000,47311000,1760634000,2246947000,121920000,121920000,42042000,194895000,1197660000,227601000,48169000,49386000,109899000,1425261000,1620156000,1200850000,-395496000,-8479000,615260000,626791000,2246947000,4317000,39964000,27517000,-46503000,25295000,-2031000,-2031000,-7136000,-115000,-7267000,15997000,15997000,15997000,58082000,1239702000,13308000,0.37777,0.07972,0.02009,0.00729,0.00203,2.91395,2.49526,2.58484,0.55173,0.06194,0.06194,3.08243,8.34443,0.18049,0.00219,0.00636,18.7456,60.0939399999999
"37","2021_Q2",11.5952380952381,"Up",234416000,-176989000,57427000,-67572000,-26224000,-41348000,-10145000,-15106000,-17711000,2605000,-25251000,-25289000,4354000,-20935000,-20935000,-20778000,-20778000,154411000,154411000,211840000,211840000,106151000,24731000,24321000,497133000,1333317000,387783000,157219000,185649000,44915000,1721100000,2218233000,127123000,127123000,40200000,197850000,1196559000,205549000,34543000,47630000,105404000,1402108000,1599958000,1204754000,-416267000,1103000,607075000,618275000,2218233000,-20935000,41348000,19272000,-26043000,13642000,-3534000,-3534000,-5277000,-1445000,-6617000,3491000,3491000,3491000,31203000,1236759000,-2728000,0.24498,-0.04328,-0.08864,-0.03361,-0.00937,0.13129,2.51268,2.58778,0.55754,-0.28106,-0.28106,3.17091,8.21182,-0.0369,-0.01008,-0.00132,34.68731,-106.68783
"38","2021_Q3",9.4584375,"Down",317301000,-192955000,124346000,-68674000,-27509000,-41165000,55672000,-18104000,-17918000,-186000,37568000,37568000,-11666000,25902000,25902000,26028000,26028000,212700000,212700000,223229000,223229000,113346000,19915000,19915000,569190000,1300211000,385877000,154815000,185649000,45413000,1686088000,2255278000,135595000,135595000,38841000,199974000,1196409000,210156000,31739000,57148000,104216000,1406565000,1606539000,1208507000,-390238000,3161000,638010000,648739000,2255278000,25902000,41165000,20637000,-19393000,68311000,-3350000,-3350000,-5280000,-1352000,-6672000,58289000,58289000,58289000,96837000,1235250000,85760000,0.39189,0.17545,0.08203,0.04012,0.01154,3.29491,2.84632,2.4764,0.54772,0.35208,0.35208,4.29209,8.63027,1.16006,0.01245,0.04095,10.5595,18.3674
"39","2021_Q4",9.965625,"Up",267298000,-207448000,59850000,-70937000,-30956000,-39981000,-11087000,-15216000,-17796000,2580000,-26303000,-26314000,6140000,-20174000,-20174000,-19995000,-19995000,250587000,250587000,176759000,176759000,116405000,29204000,29204000,572955000,1277133000,390527000,152445000,185649000,52433000,1667660000,2240615000,157082000,157082000,20484000,200156000,1195092000,217359000,38923000,48033000,113358000,1412451000,1612607000,1214002000,-410233000,-2562000,617724000,628008000,2240615000,-20174000,39981000,-2794000,57816000,74829000,-7866000,-8076000,-28227000,-638000,-28866000,37887000,37887000,37887000,28894000,1215576000,72704000,0.22391,-0.04148,-0.0748,-0.03184,-0.00892,-3.63611,2.86254,2.56781,0.54252,-0.26923,-0.26923,3.59915,8.31761,0.97895,-0.0097,0.03528,33.39756,-87.03788
"40","2022_Q1",12.6440322580645,"Up",284864000,-217591000,67273000,-73576000,-34939000,-38637000,-6303000.00000001,-16585000,-17732000,1147000,-22888000,-23041000,3927000,-19114000,-19114000,-19016000,-19016000,239425000,239425000,202759000,202759000,115713000,18018000,18018000,575915000,1258646000,385039000,150054000,185649000,49336000,1643685000,2219600000,168870000,167670000,18285000,205871000,1193135000,206511000,32935000,44774000,112308000,1399646000,1605517000,1219420000,-429260000,349000,604215000,614083000,2219600000,-19114000,38637000,8534000,-15492000,12565000,-15106000,-14896000,-5414000,-3432000,-8831000,-11162000,-11162000,-11162000,32334000,1211420000,-2191000,0.23616,-0.02213,-0.06675,-0.03097,-0.00857,0.115220000000001,2.79746,2.6145,0.54578,-0.25257,-0.25257,3.78351,8.02506,-0.0290999999999999,-0.00937,-0.00107999999999999,30.06108,-154.21149
"41","2022_Q2",16.7933870967742,"Up",304887000,-226869000,78018000,-77859000,-40110000,-37749000,159000,-15642000,-17173000,1531000,-15483000,-15483000,6969000,-8514000,-8514000,-8393000,-8393000,239768000,239768000,198835000,198835000,123784000,14525000,14525000,576912000,1228071000,382714000,147694000,185649000,49371000,1610785000,2187697000,171836000,162970000,16303000,203940000,1191980000,180983000,28843000,30388000,105261000,1372963000,1576903000,1223631000,-437641000,3502000,601400000,610794000,2187697000,-8514000,37749000,-1182000,-12974000,15079000,-6383000,-6383000,-5550000,-2735000,-8353000,343000,343000,343000,37908000,1208283000,11582000,0.25589,0.00052,-0.02753,-0.01374,-0.00384,-1.37996,2.82883,2.58173,0.55231,-0.11251,-0.11251,4.08707,8.06188,0.15526,-0.00412,0.00579,25.54909,6091.28931
"42","2022_Q3",12.72125,"Down",388513000,-268896000,119617000,-69532000,-34817000,-34715000,50085000,-15331000,-17430000,2099000,34754000,34754000,-11919000,22835000,22835000,22908000,22908000,312379000,312379000,225110000,225110000,133371000,13393000,13393000,684253000,1208738000,386120000,145484000,185649000,54987000,1594858000,2279111000,203122000,200945000,14232000,248328000,1190327000,206022000,31974000,46569000,105328000,1396349000,1644677000,1227336000,-414745000,-281000,625484000,634434000,2279111000,22835000,34715000,21460000,9092000,88102000,-9574000,-9574000,-5412000,-943000,-5917000,72611000,72611000,72611000,84800000,1204559000,96237000,0.30788,0.12891,0.05896,0.03611,0.01005,4.20102,2.75544,2.59235,0.52852,0.30339,0.29382,5.14532,8.28368,1.27453,0.01121,0.04706,10.52099,17.8133200000002
