"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"30","2017_Q3",63.2147619047619,"Down",393074000,-269262000,123812000,-139672000,-90084000,-46268000,-3320000,-15860000,-20000,-20000,-15880000,-26097000,11464000,-13892000,-13892000,203000,-13689000,-13689000,242708000,242708000,251879000,251879000,181399000,72389000,748375000,1740368000,799478000,36796000,120592000,642090000,2539846000,3288221000,308052000,101052000,2.07e+08,330997000,996472000,112979000,112979000,1109451000,1440448000,1504636000,332754000,7451000,1844841000,2932000,1847773000,3288221000,-13892000,60874000,24381000,-39191000,32172000,-115523000,-115523000,-96807000,-115523000,177503000,7074000,7626000,-552000,164855000,81504000,81504000,648000,82152000,45014000,1019417000,-121164000,0.31498,-0.04035,-0.03483,-0.00741,-0.00416,8.85119,2.26097,0.77956,0.31002,-0.23506,-0.23506,6.74967,31.6787,-2.08057,4,-0.00459,-0.04066,17.25483,-48.97282
"31","2017_Q4",69.2726984126984,"Up",381837000,-263712000,118125000,-143451000,-100125000,-40149000,-3177000,-25326000,512000,512000,-24814000,-24814000,-2172000,-25621000,-25621000,990000,-24631000,-24631000,161821000,161821000,228037000,228037000,182059000,76356000,648273000,1853977000,813357000,33862000,120682000,658813000,2667334000,3315607000,340980000,115112000,225868000,386579000,976138000,117838000,117838000,1093976000,1480555000,1513996000,308123000,11042000,1833161000,1891000,1835052000,3315607000,-25621000,61567000,27362000,33461000,96769000,-166015000,-166015000,-147735000,-166015000,0,-10319000,10861000,-21180000,-11853000,-81099000,-81099000,212000,-80887000,36241000,1021737000,-94141000,0.30936,-0.06633,-0.06451,-0.01342,-0.00743,3.82205,1.67695,0.80682,0.30816,-0.42009,-0.42009,6.51232,31.265,-1.6056,2,-0.00828,-0.03165,23.72771,-33.95388
"32","2018_Q1",72.9340983606557,"Up",439670000,-327344000,112326000,-145377000,-106038000,-36865000,-2474000,-33051000,-3595000,-3595000,-36646000,-36646000,16745000,-19516000,-19516000,-430000,-19946000,-19946000,71446000,71446000,267665000,267665000,196307000,77135000,612553000,1962475000,839081000,31862000,121085000,686134000,2801556000,3414109000,421157000,157481000,263676000,466457000,978405000,121240000,121240000,1099645000,1566102000,1535641000,285960000,15565000,1837166000,10841000,1848007000,3414109000,-19516000,69276000,12203000,14075000,76038000,-174876000,-174876000,-157272000,-174876000,0,-110000,433000,-543000,7832000,-91006000,-91006000,631000,-90375000,36225000,1023705000,-141321000,0.25548,-0.07517,-0.04537,-0.01079,-0.00584,7.08518,1.3132,0.84745,0.29985,-0.33783,-0.33783,7.44686,31.11678,-2.39361,3,-0.00666,-0.04722,26.28734,-28.81181
"33","2018_Q2",63.81734375,"Down",438869000,-344880000,93989000,-148468000,-112642000,-33373000,-2453000,-54479000,-11288000,-11288000,-65767000,-65767000,29205000,-35497000,-35497000,1487000,-34010000,-34010000,54789000,54789000,236085000,236085000,220018000,102977000,613869000,2037228000,893171000,28558000,122455000,742158000,2930399000,3544268000,401860000,149548000,252312000,447160000,1072901000,132260000,132260000,1205161000,1652321000,1589173000,277831000,15442000,1882446000,9501000,1891947000,3544268000,-35497000,77797000,2527000,8987000,53814000,-158788000,-158788000,-146633000,-160858000,92350000,1686000,7655000,-5969000,91660000,-15384000,-15384000,-1273000,-16657000,23318000,1118201000,-155688000,0.21416,-0.12413,-0.07749,-0.01798,-0.0096,4.57771,1.37282,0.87334,0.3155,-0.57442,-0.57442,7.41233,31.79378,-2.62951,2,-0.01082,-0.04954,45.60477,-19.51967
"34","2018_Q3",65.842380952381,"Up",517474000,-392130000,125344000,-146915000,-113120000,-31360000,-2435000,-21571000,-14045000,-14045000,-35616000,-35616000,9704000,-25598000,-25598000,-126000,-25724000,-25724000,44458000,44458000,268803000,268803000,232078000,240427000,785766000,1950373000,893488000,26072000,122676000,744740000,2843861000,3629627000,415724000,165317000,250407000,463426000,1151598000,130266000,130266000,1281864000,1745290000,1614230000,252107000,8376000,1874713000,9624000,1884337000,3629627000,-25598000,79474000,29248000,-25646000,57478000,-182336000,-196370000,-186833000,-138211000,76264000,2850000,3432000,-582000,77604000,-3129000,-3129000,-33000,-3162000,57903000,1199300000,-159783000,0.24222,-0.04169,-0.04971,-0.01365,-0.00709,6.21144,1.69556,0.92621,0.33042,-0.43066,-0.43066,8.66326,31.3854,-2.675,3,-0.008,-0.04972,19.94442,-53.53679
"35","2018_Q4",64.8977777777778,"Down",554694000,-402706000,151988000,-145981000,-114566000,-28928000,-2487000,6007000,-14865000,-14865000,-8858000,-8858000,-3230000,-10737000,-10737000,333000,-10404000,-10404000,43365000,43365000,295325000,295325000,230122000,115844000,684656000,2053943000,891117000,24760000,121506000,744851000,2945060000,3629716000,453110000,160850000,292260000,474865000,1136835000,131970000,131970000,1268805000,1743670000,1630447000,243070000,7047000,1880564000,5482000,1886046000,3629716000,-10737000,80834000,37349000,-4077000,103369000,-169181000,-169181000,-158373000,-41369000,-53729000,-9049000,12508000,-21557000,-68627000,-6627000,-6627000,-1635000,-8262000,86841000,1158590000,-83187000,0.274,0.01083,-0.01876,-0.00552,-0.00287,7.99567,1.44179,0.92451,0.3192,-0.17296,-0.17296,9.22123,31.26249,-1.3829,4,-0.00328,-0.02619,12.84215,185.65424
"36","2019_Q1",69.5873770491803,"Up",557221000,-398005000,159216000,-149793000,-118130000,-29383000,-2280000,9423000,-9663000,-9663000,-240000.000000002,-239999.999999998,5335000,5363000,5363000,-2848000,2515000,2515000,261701000,261701000,300307000,300307000,234518000,90646000,887172000,2125290000,902825000,22301000,121719000,758805000,3028115000,3915287000,465543000,157275000,308268000,485480000,1392903000,120826000,120826000,1513729000,1999209000,1656825000,245585000,5338000,1907748000,8330000,1916078000,3915287000,5363000,80508000,27102000,-83000.0000000037,112890000,-162481000,-162481000,-145016000,-148981000,262275000,2017000,2735000,-718000,253980000,217889000,217889000,447000,218336000,89931000,1412840000,-77968000,0.28573,0.01691,0.00451,0.00131,0.00064,-31.00119,1.82741,1.04339,0.36085,0.04145,0.04145,9.18385,31.44259,-1.28503,7,0.00073,-0.0226,12.80025,122.16269
"37","2019_Q2",87.4285714285714,"Up",537037000,-384459000,152578000,-160643000,-125132000,-33474000,-2037000,-8065000,-10249000,-10249000,-18314000,-18314000,7210000,-9737000,-9737000,-1731000,-11468000,-11468000,129883000,129883000,303619000,303619000,263833000,106847000,804182000,2216045000,1242059000,20354000,121615000,1100090000,3458104000,4262286000,470429000,145544000,324885000,490081000,1382956000,415957000,415957000,1798913000,2288994000,1726015000,234117000,3099000,1963231000,10061000,1973292000,4262286000,-9737000,84012000,28994000,-56805000,46464000,-188051000,-188051000,-166115000,-185774000,-11821000,22049000,24377000,-2328000,7494000,-131816000,-131816000,-2000,-131818000,75947000,1402608000,-176119000,0.28411,-0.01502,-0.02135,-0.00581,-0.00269,15.35743,1.64092,1.15999,0.32907,-0.18826,-0.18826,8.81588,32.22797,-2.89113,6,-0.00302,-0.04645,16.75807,-157.80843
"38","2019_Q3",79.6515625,"Down",592256000,-410099000,182157000,-163732000,-127391000,-34314000,-2027000,18425000,-9127000,-9127000,9298000,9298000,-2390000,8062000,8062000,-4868000,3194000,3194000,87045000,87045000,294067000,294067000,269517000,105004000,755633000,2363916000,1247502000,17967000,121223000,1108312000,3611418000,4367051000,471757000,141746000,330011000,501719000,1443965000,415531000,415531000,1859496000,2361215000,1751930000,237311000,1666000,1990907000,14929000,2005836000,4367051000,8062000,82338000,32877000,13551000,136828000,-176952000,-176952000,-163443000,-176952000,-2999999.99999997,1839000,2639000,-8e+05,-2274000,-42398000,-42398000,-440000,-42838000.0000001,100763000,1473927000,-60248000,0.30756,0.03111,0.00539000000000001,0.00159,0.000730000000000002,-18.86287,1.50609,1.17717,0.33751,0.05195,0.0519499999999999,9.63284,32.38142,-0.97991,5,0.000820000000000001,-0.01547,13.7638,75.27175
"39","2019_Q4",71.5371875,"Down",588224000,-404230000,183994000,-170025000,-136005000,-32164000,-1856000,13969000,-9097000,-9097000,4872000,4872000,3911000,10590000,10590000,-4114000,6476000,6476000,47778000,47778000,316439000,316439000,283300000,102724000,750241000,2513013000,1250430000,16271000,121745000,1112414000,3763443000,4513684000,508302000,152386000,355916000,538403000,1542691000,407279000,407279000,1949970000,2488373000,1763002000,243787000,-521000,2006268000,19043000,2025311000,4513684000,10590000,88759000,26549000,-15828000,110070000,-232835000,-232835000,-268280000,-232835000,97679000,-14063000,11077000,-25140000,83238000,-39527000,-39527000,260000,-39267000,102728000,1572792000,-149846000,0.3128,0.02375,0.01101,0.0032,0.00143,-23.13867,1.39346,1.22864,0.34845,0.10476,0.10476,9.51588,32.45601,-2.4241,5,0.00162,-0.03741,14.84516,109.17131
"40","2020_Q1",57.6985483870968,"Down",591721000,-410899000,180822000,-166730000,-134557000,-30482000,-1691000,14092000,-8520000,-8520000,5572000,5572000,-816000.000000001,4898000,4898000,-3312000,1586000,1586000,304309000,304309000,330698000,330698000,294416000,116281000,1045704000,2586735000,1251429000,14439000,121197000,1115793000,3838164000,4883868000,574791000,183601000,391190000,604579000,1821663000,407484000,407484000,2229147000,2833726000,1788462000,245373000,-6048000,2027787000,22355000,2050142000,4883868000,4898000,87069000,40601000,11006000,143574000,-163240000,-163240000,-163240000,-163240000,277451000,-217000,317000,-534000,276727000,257061000,257061000,-530000,256531000,101161000,1851451000,-50257000,0.30559,0.02382,0.00268,0.00077,0.00032,-31.68789,1.72964,1.38221,0.3791,0.02545,0.02545,9.49595,32.54196,-0.80653,4,0.00037,-0.01166,15.29386,109.78867
"41","2020_Q2",40.657619047619,"Down",530488000,-385569000,144919000,-150233000,-121039000,-27636000,-1558000,-5314000,-9292000,-9292000,-14606000,-14606000,5748000,-8527000,-8527000,-3862000,-12389000,-12389000,232418000,232418000,270436000,270436000,312686000,105985000,921525000,2715822000,1267027000,13041000,121285000,1132701000,3982849000,4904374000,535717000,175955000,359762000,565187000,1815538000,424466000,424466000,2240004000,2805191000,1846833000,232984000,-6851000,2072966000,26217000,2099183000,4904374000,-8527000,92602000,23203000,49629000,156907000,-229262000,-229262000,-229262000,-229262000,-2697000,8805000,9206000,-401000,140000,-72215000,-72215000,324000,-71891000,87288000,1845008000,-98093000,0.27318,-0.01002,-0.02335,-0.0059,-0.00253,7.91775,1.63048,1.33633,0.3762,-0.19819,-0.19819,8.48631,33.16162,-1.56921,3,-0.00284,-0.02245,18.47436,-303.46067
"42","2020_Q3",37.83359375,"Down",554278000,-387313000,166965000,-154282000,-125451000,-27531000,-1300000,12683000,-9662000,-9662000,3021000,3021000,687000,3391000,3391000,-1428000,1963000,1963000,350433000,350433000,249581000,249581000,332927000,108178000,1041119000,2848640000,1313637000,12030000,121765000,1179842000,4162277000,5203396000,592282000,169264000,423018000,624583000,1814677000,456445000,456445000,2271122000,2895705000,2047532000,234947000,-2433000,2280046000,27645000,2307691000,5203396000,3391000,97012000,35449000,40763000,176615000,-230622000,-230622000,-230622000,-230622000,-243000,174403000,174749000,-346000,171792000,117785000,117785000,230000,118015000,109695000,1846978000,-80851000,0.30123,0.02288,0.00354,0.00085,0.00038,-41.18747,1.6669,1.25481,0.35496,0.02948,0.02948,8.32287,34.23647,-1.21403,4,0.00043,-0.01753,13.64278,117.99614
"43","2020_Q4",34.383125,"Down",575559000,-391289000,184270000,-162510000,-132394000,-28803000,-1313000,21760000,-7766000,-7766000,13994000,13994000,-7008000,7760000,7760000,-1e+06,6760000,6760000,317344000,317344000,202792000,202792000,334919000,112548000,967603000,2973733000,1307370000,11079000,122448000,1173843000,4281103000,5248706000,607907000,122342000,485565000,641642000,1803748000,455990000,455990000,2259738000,2901380000,2070360000,241707000,6614000,2318681000,28645000,2347326000,5248706000,7760000,102502000,39767000,73823000,223852000,-242952000,-242952000,-242952000,-242952000,-11664000,-2371000,9895000,-12266000,-15039000,-34139000,-34139000,1050000,-33089000,124262000,1837483000,-37859000,0.32016,0.03781,0.01175,0.00288,0.00129,-5.60044,1.50801,1.23604,0.35008,0.09941,0.09941,8.46361,34.09624,-0.55672,5,0.00146,-0.00816,12.23334,69.85933
"44","2021_Q1",48.4180327868852,"Up",595782000,-400113000,195669000,-166565000,-133432000,-31822000,-1311000,29104000,-5527000,-5527000,23577000,23577000,-8868000,14477000,14477000,-7120000,7357000,7357000,295949000,295949000,238652000,238652000,336672000,119960000,991233000,3050483000,1307751000,9568000.00000001,122300000,1175883000,4358234000,5349467000,677965000,145134000,532831000,708437000,1802684000,451112000,451112000,2253796000,2962233000,2092602000,249064000,9803000,2351469000,35765000,2387234000,5349467000,14477000,104986000,33675000,16703000,169841000,-182435000,-182435000,-182435000,-182435000,-5947999.99999999,-663000,1.49011611938477e-08,-663000,-7202000,-19796000,-19796000,-1599000,-21395000,134090000,1833156000,-22774000,0.32842,0.04885,0.01235,0.00308,0.00138,-3.09555999999999,1.39918,1.24086,0.34268,0.11197,0.11197,9.06767,35.78883,-0.34662,6,0.00157,-0.00488,11.46399,52.81772
"45","2021_Q2",49.6863492063492,"Up",664860000,-453976000,210884000,-194592000,-154200000,-34463000,-5929000,16292000,-2111000,-6229000,14181000,14181000,4087000,18012000,18012000,-1044000,16968000,16968000,275688000,275688000,364494000,364494000,349687000,143159000,1133028000,3389443000,1472062000,261941000,181737000,1028384000,4861505000,5994533000,714227000,204198000,510029000,744555000,2111847000,481121000,481121000,2592968000,3337523000,2360030000,266032000,-5939000,2620123000,36887000,2657010000,5994533000,18012000,114752000,25536000,-93171000,65129000,-260907000,-260907000,-260907000,-399575000,307654000,8259000,8717000,-457999.999999998,315222000,-19224000,-19224000,-1037000,-20261000,131044000,2142175000,-227121000,0.31719,0.0245,0.02552,0.00639,0.00283,-13.38525,1.52175,1.25612,0.35735,0.25825,0.25825,10.11902,39.87768,-3.45673,7,0.00321,-0.04301,14.24321,114.56463
"46","2021_Q3",51.09625,"Up",609157000,-433840000,175317000,-199735000,-152724000,-39612000,-7399000,-24418000,-6022000,-6022000,-30440000,-30440000,9110000,-21330000,5150000,-1859000,3291000,3291000,217654000,217654000,369222000,369222000,348342000,131169000,1066387000,3465367000,1461106000,243331000,191125000,1026650000,4926473000,5992860000,704340000,193247000,511093000,734305000,2110573000,474512000,474512000,2585085000,3319390000,2382363000,269323000,-16873000,2634813000,38657000,2673470000,5992860000,5150000,127108000,29495000,917000.000000015,162670000,-214071000,-405256476.249399,-405311460.239804,-214071000,-2881000,-1225000,59000,-1284000,-4894000.00000006,-56295000,-56295000,-1739000,-58034000,102690000,2140538000,-119574000,0.2878,-0.04008,0.0054,0.00123,0.00055,-36.33364,1.45224,1.2416,0.35718,0.04475,0.04396,8.28289,35.82635,-1.62588,4,0.00062,-0.02261,18.72513,-78.74863
"47","2021_Q4",51.78109375,"Up",625267000,-444232000,181035000,-209766000,-165855000,-36380000,-7531000,-28731000,-5025000,-5025000,-33756000,-33756000,3313000,-30443000,-3990000,-2623000,-6613000,-6613000,166032000,166032000,363013000,363013000,353993000,144833000,1027871000,3603181000,1455742000,237850000,190907000,1026985000,5058923000,6086794000,757037000,251335000,505702000,786627000,2149392000,475045000,475045000,2624437000,3411064000,2397910000,262710000,-26170000,2634450000,41280000,2675730000,6086794000,-3990000,127628000,41096000,-6155000,158579000,-237270000,-511492234.999198,-511565546.986405,-237270000,37443000,-8650000,11773000,-20423000,27932000,-50759000,-50759000,-863000,-51622000,98897000,2178982000,-147841000,0.28953,-0.04595,-0.01058,-0.00247,-0.00109,22.35612,1.30668,1.27482,0.35799,-0.08992,-0.08832,8.50194,35.82141,-2.01024,2,-0.00124,-0.02774,20.354,-70.06195
"48","2022_Q1",46.0164516129032,"Down",888351000,-608074000,280277000,-235090000,-184472000,-42748000,-7870000,45187000,-11611000,-11611000,33576000,33576000,-2273000,31278000,-21655000,-7525000,-29180000,-29180000,310459000,310459000,312172000,312172000,197864000,338977000,1159472000,3704991000,1524883000,236043000,168710000,1042619000,5229874000,6389346000,683237000,200673000,482564000,770421000,2451216000,485115000,469334000,2936331000,3706752000,2421957000,233530000,-21621000,2633866000,48728000,2682594000,6389346000,-21655000,125959000,25702000,-10743000,119263000,-278062000,-494922876.249399,-494977860.239804,-278927000,313383000,-804000,1.86264514923096e-09,-804000,305370000,145706000,145706000,-1279000,144427000,171146000,2486127000,-115386000,0.3155,0.05087,-0.03285,-0.01088,-0.00457,3.95428,1.50498,1.38178,0.38911,-0.39756,-0.39756,12.10337,35.8852,-1.57208,4,-0.00516,-0.02041,12.71235,48.1481
"49","2022_Q2",38.6859677419355,"Down",678223000,-482386000,195837000,-222899000,-179613000,-35763000,-7523000,-27062000,-4739000,-5750000,-31801000,-31801000,10762000,-21039000,-21039000,-525000,-21564000,-21564000,221520000,221520000,372118000,372118000,362007000,172692000,1128337000,3864499000,1490519000,222187000,187359000,1080973000,5355018000,6483355000,687657000,246516000,441141000,726128000,2589845000,465270000,465270000,3055115000,3781243000,2482855000,211966000,-41962000,2652859000,49253000,2702112000,6483355000,-21039000,124087000,24813000,-88224000,39637000,-270857000,-270857000,-270857000,-270857000,137307000,9121000,9626000,-505000,144211000,-87009000,-87009000,-1930000,-88939000,97025000,2628316000,-272818000,0.28875,-0.0399,-0.03179,-0.00798,-0.00333,12.65155,1.55391,1.39937,0.40539,-0.2938,-0.2938,9.24047,36.14397,-3.71702,3,-0.00372,-0.04707,24.80594,-88.93637
"50","2022_Q3",33.4765625,"Down",656683000,-438553000,218130000,-216986000,-177191000,-32416000,-7379000,1144000,2258000,2171000,3402000,3402000,-76079000,-72717000,-47556000,-684000,-48240000,-48240000,149172000,149172000,320249000,320249000,244284000,433371000,1147076000,4002742000,1360462000,211273000,162003000,987186000,5363204000,6510280000,697561000,244917000,452644000,803622000,2646979000,431488000,431488000,3078467000,3882089000,2496791000,163726000,-63957000,2596560000,31631000,2628191000,6510280000,-47556000,124400000,109649000,2001999.99999997,188495000,-283956000,245396793.748998,245488433.733006,-283956000,55345000,-30327000,0,-30327000,24184000,-71277000,-71277000,-1071000,-72348000,125544000,2685556000,-80331000,0.33217,0.00174000000000003,-0.07346,-0.01835,-0.00741,1.66524,1.42738,1.4771,0.41251,-0.63676,-0.63676,8.66817,34.2744,-1.06036,3,-0.0084,-0.01398,20.20315,2217.11888
