"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","deferred_compensation","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"32","2018_Q1",41.3672131147541,"Down",499410000,-432694000,66716000,-33591000,-33591000,33125000,1553000,1553000,34678000,34678000,-14492000,20186000,20186000,20186000,20186000,82778000,9557000,73221000,378720000,42393000,23515000,23515000,527406000,13509000,119612000,51084000,7498000,30149000,148597000,676003000,148786000,74463000,58945000,184168000,29429000,29429000,-1.81898940354586e-12,91883000,276051000,245113000,-9858000,163860000,837000,399952000,399952000,676003000,20186000,2544000,9963000,-28185000,4507999.99999999,-1361000,-3529000,-4890000,-13942000,2470000,2470000,24000,-1066000,-1448000.00000001,-1448000.00000001,-1448000.00000001,35669000,62454000,20615000,0.13359,0.06633,0.04042,0.05047,0.02986,1.02125000000002,2.86372,0.69021,0.09239,0.27425,0.27046,6.78509,5.43384,0.28008,0.18942,0.06939,0.04191,0.690680000000008,-0.56979,-0.61355
"33","2018_Q2",33.71109375,"Down",500562000,-469252000,31310000,-33777000,-33777000,-2467000,1072000,-724000,-1395000,-1395000,1467000,72000,72000,72000,72000,84861000,10489000,74372000,335014000,42274000,27004000,27004000,489153000,13487000,119353000,51084000,7802000,30701000,171654000,660807000,145643000,70624000,74080000,171643000,29595000,29595000,0,94820000,266463000,254444000,-9542000,149743000,-301000,394344000,394344000,660807000,72000,2410000,38745000,-17296000,23931000,-1272000,-2930000,-4202000,-14149000,5005000,5005000,-271000,-18797000,932000,932000,932000,-57000,65225000,-20092000,0.06255,-0.00493,0.00014,0.000180000000000007,0.000109999999999996,-279.05556,2.84983,0.67571,0.09871,0.00097,0.00096,6.77231,5.33525,-0.27183,0.19143,0.02907,-0.04107,196.51389,344.49123,7.95946
"34","2018_Q3",35.4515873015873,"Up",504980000,-438270000,66710000,-34118000,-34118000,32592000,724000,2520000,33316000,33316000,-7502000,25814000,25814000,25814000,25814000,88083000,13155000,74928000,343665000,41424000,27625000,27625000,500797000,13254000,119441000,51084000,7753000,31954000,170081000,670878000,123889000,69269000,54620000,164394000,30891000,30891000,0,98350000,262744000,256646000,-9577000,161269000,-204000,408134000,408134000,670878000,25814000,2426000,2062000,-26838000,3464000,-1078000,-748000,-1826000,-14249000,455000,455000.000000001,317000,1028000,2666000,2666000,2666000,35018000,67459000,14604000,0.1321,0.06454,0.05112,0.06325,0.03848,0.565740000000005,3.04632,0.64377,0.10055,0.34893,0.34656,6.82581,5.51674,0.1974,0.1926,0.0791,0.02883,0.551990000000018,-0.58895,-0.63279
"35","2018_Q4",36.242380952381,"Up",506871000,-439203000,67668000,-36713000,-36713000,30955000,2027000,2027000,32982000,32982000,-6896000,26086000,26086000,26086000,26086000,89901000,15197000,74704000,353484000,41595000,23198000,23198000,508178000,13067000,120821000,51084000,7974000,34204000,179794000,687972000,156413000,75541000,80872000,166372000,33238000,33238000,0,102020000,268392000,256882000,-9623000,173033000,-712000,419580000,419580000,687972000,26086000,2186000,2923000,15919000,47114000,-908000,-685000,-1593000,-14350000,1395000,1395000,22000,-43479000,2042000,2042000,2042000,33141000,68782000,55048000,0.1335,0.06107,0.05146,0.06217,0.03792,2.11025,3.05447,0.63967,0.09998,0.35241,0.34976,6.84757,5.66831,0.74367,0.19386,0.07752,0.10554,0.5501,-0.637249999999983,-0.682249999999999
"36","2019_Q1",32.9986885245902,"Down",490188000,-421437000,68751000,-31995000,-31995000,36756000,-1749000,-6917000,35007000,35007000,-3455000,31552000,31552000,31552000,31552000,102387000,26025000,76362000,341838000,41443000,22468000,22468000,508136000,12900000,128524000,51084000,20552000,30370000,184467000,692603000,133391000,61467000,64784000,163391000,29528000,29528000,-4.65661287307739e-10,88432000,251823000,260193000,-9663000,190092000,158000,440780000,440780000,692603000,31552000,2250000,3346000,-31626000,5522000,-1042000,-923000,-1965000,-14453000,1946000,1946000,-263000,7271000.00000001,10828000,10828000,10828000,39006000,58904000,9793000,0.14025,0.07498,0.06437,0.07158,0.04556,0.310380000000002,3.10994,0.57131,0.08505,0.42585,0.42264,6.61594,5.94909,0.13217,0.19507,0.08693,0.0185,0.458069999999999,-1.11478,-1.18302
"37","2019_Q2",28.6130158730159,"Down",476111000,-427265000,48846000,-41101000,-41101000,7745000,4147000,-1056000,11892000,11892000,-2736000,9156000,9156000,9156000,9156000,106870000,28362000,78508000,353106000,40982000,24048000,24048000,525006000,30077000,128550000,51084000,20177000,31812000,197918000,722924000,145482000,60254000,83818000,175482000,44213000,31909000,12304000,104893000,280375000,265691000,-9308000,184592000,1574000,442549000,442549000,722924000,9156000,3489000,17245000,-12313000,17577000,-1272000,-738000,-2010000,-14588000,1913000,1913000,-555000,-13230000,2337000,2337000,2337000,11234000,60680000,385000,0.10259,0.01627,0.01923,0.02069,0.01267,0.04205,2.99179,0.63355,0.08394,0.12323,0.12254,6.40787,5.95616,0.00518,0.19634,0.04337,0.000700000000000003,1.59327,-4.11163,-5.96385
"38","2019_Q3",22.01125,"Down",462101000,-400485000,61616000,-38609000,-38609000,23007000,610000,-783000,23617000,23617000,-5431000,18186000,18186000,18186000,18186000,95689000,16156000,79533000,346765000,39977000,26572000,26572000,509003000,29603000,129569000,51084000,19985000,34065000,201128000,710131000,121391000,59289000,62102000,151391000,46277000,34193000,12084000,109092000,260483000,268608000,-9350000,188025000,2365000,449648000,449648000,710131000,18186000,3508000,3532000,-22464000,2762000,-1137000,-351000,-1488000,-14688000,1186000,1186000,22000,-13480000,-12206000,-12206000,-12206000,26515000,62815000,8345000,0.13334,0.04979,0.03936,0.04044,0.02561,0.45887,3.36217,0.5793,0.08846,0.24459,0.24372,6.21496,6.04748,0.11223,0.19754,0.05884,0.01494,0.807649999999999,-1.23983,-1.42887
"39","2019_Q4",21.796875,"Down",455606000,-398404000,57202000,-33479000,-33479000,23723000,-7000,-740000,23716000,23716000,-5372000,18344000,18344000,18344000,18344000,120286000,40572000,79714000,349654000,38888000,23084000,23084000,531912000,28975000,128589000,51084000,19726000,34385000,194447000,726359000,150009000,59355000,87588000,160009000,46355000,34717000,11638000,111051000,271060000,270353000,-9391000,191515000,2822000,455299000,455299000,726359000,18344000,3400000,3761000,34378000,59883000,-848000,90000,-758000,-14789000,67000,67000,13000,-34709000,24416000,24416000,24416000,27123000,64696000,66025000,0.12555,0.05207,0.04026,0.04029,0.02525,3.59927,3.32426,0.59535,0.08907,0.2466,0.24621,6.12481,6.12068,0.88759,0.19881,0.0585,0.11658,0.8062,-2.04955,-2.3433
"40","2020_Q1",22.7798387096774,"Up",446960000,-386723000,60237000,-36833000,-36833000,23404000,2467000,-880000,25871000,25871000,-6976000,18895000,18895000,18895000,18895000,118040000,27329000,90711000,340930000,36517000,20245000,20245000,515732000,28820000,178040000,51084000,20364000,84239000,206860000,722592000,138651000,54418000,76158000,148651000,113636000,37621000,76015000,113636000,262287000,271370000,-9439000,195455000,2919000,460305000,460305000,722592000,18895000,3543000,1300000,-10379000,13359000,-912000,-11289000,-12201000,-14886000,462000,462000,23000,-14401000,-13243000,-13243000,-13243000,26947000,0,22632000,0.13477,0.05236,0.04227,0.04105,0.02615,1.19778,3.46941,0.56981,0,0.25394,0.25357,6.00696,6.18631,0.30416,0.20006,0.05886,0.03943,0.78783,-4.38045,-5.04358
"41","2020_Q2",21.1539682539683,"Down",449150000,-387156000,61994000,-30017000,-30017000,31977000,-5195000,-368000,26782000,26782000,-6592000,20190000,20190000,20190000,20190000,154995000,64498000,90497000,303804000,36938000,24819000,24819000,520556000,29010000,133045000,51084000,30642000,30008000,211521000,732077000,136284000,60794000,64935000,186284000,42342000,30098000,12244000,107614000,293898000,276204000,-8815000,168404000,2386000,438179000,438179000,732077000,20190000,3556000,10244000,-21302000,12688000,-659000,-913000,-1572000,-15033000,1724000,1724000,-638000,26053000,37169000,37169000,37169000,35533000,65272000,20164000,0.13803,0.07119,0.04495,0.04608,0.02758,0.99871,2.79442,0.67073,0.08916,0.27043,0.27004,6.0161,5.86915,0.27008,0.20136,0.06454,0.03694,0.74458,-2.52506,-2.80586
"42","2020_Q3",21.03765625,"Down",452029000,-387517000,64512000,-41465000,-41465000,23047000,7365000,-380000,30412000,30412000,-7311000,23101000,23101000,23101000,23101000,170427000,78109000,92318000,295261000,33677000,24176000,24176000,523541000,28558000,142721000,51084000,34150000,37217000,213147000,736688000,169495000,59369000,89204000,169495000,49294000,37211000,12083000,117506000,287001000,278239000,-8862000,176268000,4042000,449687000,449687000,736688000,23101000,3590000,-4332000,57336000,79695000,-869000,-246999.999999999,-1116000,-15128000,138000,138000,22000,-64968000,13611000,13611000,13611000,26637000,68212000,90415000,0.14272,0.05099,0.05111,0.05137,0.03136,3.9139,3.08883,0.63822,0.09259,0.30928,0.309,6.05174,6.02039,1.21047,0.20253,0.0674,0.15941,0.65486,-3.83733,-4.43507
"43","2020_Q4",22.016875,"Up",435947000,-365443000,70504000,-37337000,-37337000,33167000,3965000,-314000,37132000,37132000,-9488000,27644000,27644000,27644000,27644000,203962000,109920000,94042000,277031000,32692000,23834000,23834000,537519000,27807000,149547000,51084000,38265000,40969000,216812000,754331000,134296000,53940000,54861000,134296000,84989000,41045000,43944000,155285000,289581000,280165000,-8908000,188578000,4915000,464750000,464750000,754331000,27644000,3606000,-4287000,22203000,49166000,-1071000,-1103000,-2174000,-15222000,31000,31000,10000,-15181000,31811000,31811000,31811000,36773000,70296000,67393000,0.16173,0.07608,0.06341,0.05948,0.03665,2.43789,4.00249,0.62309,0.09319,0.37007,0.36969,5.83597,6.22155,0.90218,0.20378,0.06913,0.10869,0.55064,-3.6349,-4.03009
"44","2021_Q1",27.6885245901639,"Up",423177000,-352201000,70976000,-41959000,-41959000,29017000,5843000,-312000,34860000,34860000,-7113000,27747000,27747000,27747000,27747000,264342000,139330000,125012000,255474000,31586000,21001000,20608000,572403000,26561000,186067000,51084000,35554000,81242000,212628000,785031000,162260000,52239000,110021000,162260000,142310000,46827000,95483000,142310000,304570000,282964000,-8959000,200893000,5563000,480461000,480461000,785031000,27747000,3516000,3757000,40644000,75664000,-1468000,-30515000,-31983000,-15322000,1027000,1027000,24000,-14271000,29410000,29410000,29410000,32533000,0,78822000,0.16772,0.06857,0.06557,0.05775,0.03535,2.84074,3.52769,0.63391,0,0.37129,0.37077,5.66259,6.42912,1.05473,0.20503,0.06916,0.12657,0.5522,-8.12535,-9.1099
"45","2021_Q2",28.0911111111111,"Up",407751000,-336619000,71132000,-39987000,-39987000,31145000,1807000,-358000,32952000,32952000,-8299000,24653000,24653000,24653000,24653000,249427000,123654000,125773000,252778000,29170000,40815000,40815000,572190000,27722000,182897000,51084000,35891000,78776000,210619000,782809000,146907000,47754000,91245000,146907000,142800000,46876000,95924000,142800000,289707000,287282000,-8492000,210020000,4292000,493102000,493102000,782809000,24653000,3607000,5344000,-30102000,3502000,-796000,-2907000,-3703000,-15472000,1475000,1475000,-1478000,-15475000,-15676000,-15676000,-15676000,34752000,0,12153000,0.17445,0.07638,0.06046,0.05,0.03149,0.49296,3.89491,0.58752,0,0.32869,0.32773,5.43646,6.57443,0.16203,0.20629,0.0631,0.01911,0.62759,-7.17734,-8.00857
"46","2021_Q3",25.18078125,"Down",398171000,-336411000,61760000,-50051000,-50051000,11709000,3354000,-330000,15063000,15063000,-5498000,9565000,9565000,9565000,9565000,250430000,124587000,125843000,271081000,28008000,40973000,40973000,590492000,26922000,200580000,61659000,36123000,85590000,227502000,817994000,176623000,51341000,122687000,176623000,153067000,50406000,102661000,153067000,329690000,289898000,-10382000,203793000,4995000,488304000,488304000,817994000,9565000,3695000,3616000,8464000.00000001,25340000,-1213000,-2e+05,-7413000,-15562000,-1455000,380000,23000.0000000002,-16994000,933000.000000007,933000.000000007,933000.000000007,15404000,0,28153000,0.15511,0.02941,0.02402,0.01959,0.01169,2.94334,3.34323,0.67517,0,0.12753,0.12715,5.30873,6.51046,0.37536,0.20749,0.03918,0.0439,1.62697,-16.25747,-21.38782
"47","2021_Q4",18.27109375,"Down",415590000,-364822000,50768000,-38780000,-38780000,11988000,133000,-329000,12121000,12121000,-2581000,9540000,9540000,9540000,9540000,205165000,79582000,125583000,289725000,26714000,44460000,44460000,566064000,27817000,199722000,65545000,35776000,81362000,227539000,793603000,153854000,50493000,103361000,153854000,159544000,50747000,108797000,159544000,313398000,292659000,-13985000,197550000,3981000,480205000,480205000,793603000,9540000,3659000,7935000,-44245000,-23111000,-1992000,-1208000,-3200000,-15638000,-3179000,383000,123000,-18694000,-45005000,-45005000,-45005000,15647000,0,-28009000,0.12216,0.02885,0.02296,0.01987,0.01202,-2.93595,3.67923,0.65263,4.33680868994202e-19,0.12723,0.12691,5.54246,6.40418,-0.37354,0.20855,0.03936,-0.04378,1.6392,-13.1121,-17.1142
"48","2022_Q1",16.4059677419355,"Down",420447000,-377230000,43217000,-44290000,-44290000,-1073000,2760000,-368000,1687000,1687000,418000,2105000,2105000,2105000,2105000,185190000,70794000,114396000,293388000,26015000,41789000,32976000,546382000,28102000,173786000,74755000,31535000,46691000,231147000,777529000,184134000,64419000,119715000,191125000,133727000,46888000,86839000,133727000,324852000,294884000,-30164000,183957000,4e+06,452677000,452677000,777529000,2105000,3706000,2836000,22730000,31377000,-1475000,10677000,-8674000,-15554000,-15951000,187000,14000.0000000001,-31491000,-8788000,-8788000,-8788000,2633000,0,23470000,0.10279,-0.00255,0.00501,0.00465,0.00271,11.14964,2.85877,0.71762,0,0.02813,0.02814,5.61922,6.04997,0.31367,0.20788,0.03011,0.04002,7.38907,-70.33422,172.59087
"49","2022_Q2",16.6232258064516,"Up",426811000,-373262000,53549000,-35736000,-35736000,17813000,-2032000,-509000,15781000,15781000,-4452000,11329000,11329000,11329000,11329000,140070000,32899000,107171000,319095000,24820000,40842000,35793000,524827000,26702000,194987000,75529000,32936000,66935000,221689000,746516000,158010000,64037000,93973000,174304000,125575000,39157000,86418000,125575000,299879000,297066000,-28587000,179427000,-1269000,446637000,446637000,746516000,11329000,4147000,10055000,-55713000,-30182000,-1255000,-6000,-1375000,-15704000,410000,410000,-1044000,-6338000,-37895000,-37895000,-37895000,21960000,1e+07,-30556000,0.12546,0.04174,0.02654,0.02537,0.01518,-2.69715,3.01099,0.67142,0.0134,0.15244,0.15239,5.74304,6.00981,-0.41115,0.21131,0.04643,-0.05248,1.38618,-5.92304,-7.30197000000001
"50","2022_Q3",14.39515625,"Down",424857000,-379370000,45487000,-29281000,-29281000,16206000,-7956000,-445000,8250000,8250000,-1430000,6820000,6820000,6820000,6820000,129169000,31681000,97488000,331534000,23535000,37614000,33839000,521852000,25632000,192574000,75529000,33453000,65221000,218206000,740058000,169235000,66466000,102769000,183929000,118284000,32789000,85495000,118284000,302213000,299167000,-28375000,170267000,-3214000,437845000,437845000,740058000,6820000,3618000,21992000,-23412000,9018000,-1124000,6657000,5533000,-15795000,0,0,26000.0000000002,-15769000,-1217999.99999999,-1217999.99999999,-1217999.99999999,19824000,1e+07,-3282000,0.10706,0.03814,0.01605,0.01558,0.00922,-0.48123,2.83725,0.69023,0.01351,0.09177,0.09174,5.71674,5.89151,-0.04416,0.21253,0.03995,-0.0058,2.31598,-6.01135,-7.35339
