"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"27","2019_Q1",16.2988524590164,"Up",1.009e+09,-8.38e+08,1.71e+08,-1.48e+08,-1.48e+08,2.3e+07,-7e+06,-1e+07,1.6e+07,1.6e+07,-6e+06,1e+07,1e+07,1e+07,4e+06,4.3e+07,4.3e+07,5.87e+08,5.87e+08,7.97e+08,3.8e+07,3.8e+07,1.465e+09,1.4e+08,8.29e+08,4.84e+08,3.22e+08,2.3e+07,9.69e+08,2.434e+09,5.65e+08,4.35e+08,1.3e+08,5.69e+08,6.8e+08,1.38e+08,9.8e+07,4e+07,8.18e+08,1.387e+09,3.55e+08,1.722e+09,-4.98e+08,-2.32e+08,1.047e+09,1.047e+09,2.434e+09,1e+07,1.7e+07,2.2e+07,8.6e+07,1.35e+08,-5e+06,-5e+06,-3.5e+07,-1.15e+08,1.5e+07,1.5e+07,1.1e+07,4e+07,6.84e+08,1.27e+08,0.16947,0.02279,0.00396,0.00382,0.00164,31.75,2.57469,1.32474,0.28102,0.04515,0.04444,11.38826,7.81038,1.43341,0.00535,0.06795,16.025,27.86957
"28","2019_Q2",16.8233333333333,"Up",9.7e+08,-7.96e+08,1.74e+08,-1.39e+08,-1.39e+08,3.5e+07,-1.1e+07,-1.1e+07,2.4e+07,2.4e+07,-6e+06,1.8e+07,1.8e+07,1.8e+07,1.2e+07,2.7e+07,2.7e+07,6.26e+08,6.26e+08,8.39e+08,2.9e+07,2.9e+07,1.521e+09,1.37e+08,1.015e+09,4.84e+08,3.11e+08,2.2e+08,1.152e+09,2.673e+09,5.59e+08,4.62e+08,9.7e+07,5.98e+08,7.42e+08,3e+08,9.8e+07,2.02e+08,1.042e+09,1.64e+09,3.55e+08,1.72e+09,-4.86e+08,-2.31e+08,1.033e+09,1.033e+09,2.673e+09,1.8e+07,1.6e+07,9e+06,-8.3e+07,-4e+07,-2e+06,-2e+06,6.2e+07,2.6e+07,-1.6e+07,-1.6e+07,-1.6e+07,5.1e+07,7.46e+08,-2.8e+07,0.17938,0.03608,0.01237,0.01162,0.00449,-2.33333000000001,2.54348,1.58761,0.27909,0.14235,0.14068,11.50652,8.0427,-0.33215,0.00866,-0.01347,14.09804,20.54286
"29","2019_Q3",14.1184375,"Down",9.84e+08,-8.1e+08,1.74e+08,-1.33e+08,-1.33e+08,4.1e+07,-9e+06,-1e+07,3.2e+07,3.2e+07,-8e+06,2.4e+07,2.4e+07,2.4e+07,1.8e+07,3.5e+07,3.5e+07,6.27e+08,6.27e+08,7.98e+08,3.6e+07,3.6e+07,1.496e+09,1.36e+08,9.97e+08,4.84e+08,3e+08,2.13e+08,1.133e+09,2.629e+09,5.33e+08,4.38e+08,9.5e+07,5.72e+08,7.34e+08,2.96e+08,9.5e+07,2.01e+08,1.03e+09,1.602e+09,3.55e+08,1.723e+09,-4.68e+08,-2.33e+08,1.027e+09,1.027e+09,2.629e+09,2.4e+07,1.7e+07,-1e+06,8e+06,4.8e+07,-3e+06,-2e+06,-8e+06,-3.9e+07,7e+06,7e+06,8e+06,5.8e+07,7.38e+08,7.1e+07,0.17683,0.04167,0.01829,0.01753,0.00685,3.94444,2.61538,1.55988,0.28072,0.21609,0.21403,11.81273,8.06723,0.85234,0.01164,0.03445,12.12069,17.14634
"30","2019_Q4",13.03390625,"Down",9.42e+08,-7.68e+08,1.74e+08,-1.37e+08,-1.37e+08,3.7e+07,-8e+06,-1e+07,2.9e+07,2.9e+07,-8e+06,2.1e+07,2.1e+07,2.1e+07,1.5e+07,2.5e+07,2.5e+07,5.86e+08,5.86e+08,7.42e+08,3.7e+07,3.7e+07,1.39e+09,1.4e+08,9.77e+08,4.82e+08,2.88e+08,2.07e+08,1.117e+09,2.507e+09,5.24e+08,4.31e+08,9.3e+07,5.62e+08,6.23e+08,2.96e+08,9.1e+07,2.05e+08,9.19e+08,1.481e+09,3.55e+08,1.728e+09,-4.53e+08,-2.41e+08,1.026e+09,1.026e+09,2.507e+09,2.1e+07,1.6e+07,0,8.9e+07,1.26e+08,-7e+06,-6e+06,-1.1e+08,-1.29e+08,-9e+06,-9e+06,-1e+07,5.3e+07,6.27e+08,1.43e+08,0.18471,0.03928,0.01592,0.01462,0.00598,9.53333,2.47331,1.44347,0.2501,0.1816,0.18029,11.40436,8.12349,1.73123,0.01077,0.07337,11.35849,16.27027
"31","2020_Q1",9.39048387096774,"Down",7.66e+08,-6.35e+08,1.31e+08,-1.41e+08,-1.41e+08,-1e+07,-9e+06,-9e+06,-1.9e+07,-1.9e+07,-5e+06,-2.4e+07,-2.4e+07,-2.4e+07,-3e+07,3.2e+07,3.2e+07,4.59e+08,4.59e+08,7.01e+08,2.6e+07,2.6e+07,1.218e+09,1.38e+08,9.69e+08,4.83e+08,2.81e+08,2.05e+08,1.107e+09,2.325e+09,4.48e+08,3.57e+08,9.1e+07,4.86e+08,5.47e+08,2.95e+08,9.1e+07,2.04e+08,8.42e+08,1.328e+09,3.55e+08,1.732e+09,-4.83e+08,-2.32e+08,9.97e+08,9.97e+08,2.325e+09,-2.4e+07,1.4e+07,1.4e+07,1.04e+08,1.08e+08,-5e+06,-6e+06,-7.7e+07,-9.6e+07,6e+06,6e+06,7e+06,4e+06,5.51e+08,1.08e+08,0.17102,-0.01305,-0.03916,-0.03009,-0.0129,-3.6,2.50617,1.332,0.23699,-0.36675,-0.36145,9.3643,7.84841,1.32029,-0.01302,0.0586,129.75,-51.9
"32","2020_Q2",5.19587301587302,"Down",7.94e+08,-6.46e+08,1.48e+08,-1.26e+08,-1.26e+08,2.2e+07,-8e+06,-8e+06,1.4e+07,1.4e+07,-5e+06,9e+06,9e+06,9e+06,2999999.99999999,2.8e+07,2.8e+07,4.76e+08,4.76e+08,6.91e+08,2.4e+07,2.4e+07,1.219e+09,1.31e+08,9.51e+08,4.8e+08,2.73e+08,1.98e+08,1.082e+09,2.301e+09,4.81e+08,3.99e+08,8.2e+07,5.18e+08,5.17e+08,2.94e+08,9e+07,2.04e+08,8.11e+08,1.329e+09,3.55e+08,1.731e+09,-4.8e+08,-2.59e+08,9.72e+08,9.72e+08,2.301e+09,9e+06,1.2e+07,7e+06,9e+06,3.7e+07,-2e+06,-2e+06,-2.7e+07,-3.6e+07,-1e+06,-1e+06,-4e+06,3.4e+07,5.21e+08,4.6e+07,0.1864,0.02771,0.00377999999999998,0.00308999999999997,0.00130000000000001,15.33333,2.35328,1.36728,0.22642,0.0367199999999998,0.0364099999999998,9.71848,7.55202,0.56304,0.00503999999999999,0.02574,14.5,22.40909
"33","2020_Q3",5.74515625,"Up",6.02e+08,-5.23e+08,7.9e+07,-1.26e+08,-1.26e+08,-4.7e+07,-9e+06,-7e+06,-5.6e+07,-2.98e+08,1.7e+07,-2.81e+08,-2.81e+08,-2.81e+08,-2.87e+08,1.9e+07,1.9e+07,3.79e+08,3.79e+08,6.27e+08,3.6e+07,3.6e+07,1.061e+09,1.31e+08,6.85e+08,2.64e+08,2.41e+08,1.8e+08,8.16e+08,1.877e+09,3.9e+08,3.01e+08,8.9e+07,4.27e+08,4.7e+08,2.84e+08,8.1e+07,2.03e+08,7.54e+08,1.181e+09,3.55e+08,1.734e+09,-7.67e+08,-2.51e+08,6.96e+08,6.96e+08,1.877e+09,-2.81e+08,1.1e+07,2.78e+08,3.9e+07,4.7e+07,-3e+06,-3e+06,-4.8e+07,-5.4e+07,-1e+07,-1e+07,-9e+06,-3.6e+07,4.74e+08,-1.7e+07,0.13123,-0.07807,-0.47674,-0.41236,-0.1529,0.05923,2.48478,1.69684,0.25253,-3.49574,-3.5258,7.33252,4.15347,-0.20706,-0.19326,-0.01169,-12.63889,-9.68085
"34","2020_Q4",5.515,"Down",5.85e+08,-4.71e+08,1.14e+08,-1e+08,-1e+08,1.4e+07,-6e+06,-7e+06,7999999.99999997,8e+06,-5e+06,3e+06,3e+06,3e+06,-3e+06,4e+07,4e+07,3.43e+08,3.43e+08,5.82e+08,2.9e+07,2.9e+07,9.94e+08,1.28e+08,6.83e+08,2.64e+08,2.35e+08,1.84e+08,8.11e+08,1.805e+09,3.79e+08,2.93e+08,8.6e+07,4.17e+08,4.05e+08,2.81e+08,8e+07,2.01e+08,6.86e+08,1.103e+09,3.55e+08,1.737e+09,-7.7e+08,-2.45e+08,7.02e+08,7.02e+08,1.805e+09,3e+06,1.2e+07,-9999999.99999994,8.9e+07,9.4e+07,-3e+06,-2e+06,-6.6e+07,-7.2e+07,2e+07,2e+07,2.1e+07,2.6e+07,4.09e+08,1.17e+08,0.19487,0.02393,-0.00512999999999997,-0.00426999999999994,-0.00165999999999997,-39,2.38369,1.57123,0.22659,-0.036630000000001,-0.0366300000000002,7.14286,4.23687,1.42857,0.00216000000000005,0.08405,14.19231,26.35714
"35","2021_Q1",8.51016393442623,"Up",5.79e+08,-4.89e+08,9e+07,-9.7e+07,-9.7e+07,-7e+06,0,-6e+06,-7e+06,-7e+06,2e+06,-5e+06,-5e+06,-5e+06,-1.1e+07,1.19e+08,1.19e+08,3.19e+08,3.19e+08,5.09e+08,1.9e+07,1.9e+07,9.66e+08,1.03e+08,7.12e+08,2.64e+08,2.29e+08,2.19e+08,8.15e+08,1.781e+09,3.58e+08,2.64e+08,9.4e+07,3.99e+08,3.79e+08,2.98e+08,7e+07,2.28e+08,6.77e+08,1.076e+09,3.55e+08,1.74e+09,-7.81e+08,-2.34e+08,7.05e+08,7.05e+08,1.781e+09,-5e+06,1.1e+07,-1e+06,7.8e+07,8.3e+07,2.7e+07,2.6e+07,-2.6e+07,-3.3e+07,7.6e+07,7.6e+07,7.9e+07,4e+06,3.83e+08,1.07e+08,0.15544,-0.01209,-0.019,-0.0156,-0.00618,-9.72727,2.42105,1.52624,0.21505,-0.13366,-0.13366,7.03524,4.25273,1.30012,-0.00361,0.0772,66,-37.71429
"36","2021_Q2",10.155873015873,"Up",6.09e+08,-5.06e+08,1.03e+08,-1e+08,-1e+08,3e+06,-6e+06,-6e+06,-3e+06,-3000000.00000001,3226225.70543842,-3e+06,-3e+06,-3e+06,-9000000.00000001,1.32e+08,1.32e+08,3.69e+08,3.69e+08,5.04e+08,2.4e+07,2.4e+07,1.029e+09,9.8e+07,7e+08,2.64e+08,2.22e+08,2.14e+08,7.98e+08,1.827e+09,4.23e+08,3.38e+08,8.5e+07,5.63e+08,2.77e+08,2.88e+08,7.1e+07,2.17e+08,5.65e+08,1.128e+09,3.55e+08,1.743e+09,-7.9e+08,-2.34e+08,6.99e+08,6.99e+08,1.827e+09,-3e+06,1.1e+07,8999999.99999999,7e+06,2.4e+07,-2e+06,-1e+06,-1000000.00000001,-9000000.00000001,1.4e+07,1.4e+07,1.3e+07,1.4e+07,3.82e+08,71887235.1635456,0.16913,0.00493000000000001,-0.01478,-0.01288,-0.00493,-1.63107154159388,1.82771,1.61373,0.20909,-0.10936,-0.10936,7.39976,4.17983,0.870388014676359,-0.00219,0.0539919000002926,17.85714,83.33333
"37","2021_Q3",8.30875,"Down",6.86e+08,-5.74e+08,1.12e+08,-1.02e+08,-1.02e+08,1e+07,-5e+06,-6e+06,5e+06,5e+06,-1e+06,4e+06,4e+06,4e+06,-2e+06,6.3e+07,6.3e+07,3.82e+08,3.82e+08,4.84e+08,3.2e+07,3.2e+07,9.61e+08,9.5e+07,6.89e+08,2.64e+08,2.16e+08,2.09e+08,7.84e+08,1.745e+09,4.31e+08,3.5e+08,8.1e+07,4.66e+08,2.96e+08,2.81e+08,7e+07,2.11e+08,5.77e+08,1.043e+09,3.55e+08,1.745e+09,-7.92e+08,-2.31e+08,7.02e+08,7.02e+08,1.745e+09,4e+06,1.1e+07,1.5e+07,-7e+06,2.3e+07,-2e+06,-1e+06,-8.6e+07,-9.2e+07,-7e+07,-7e+07,-6.9e+07,2.1e+07,2.97e+08,1.3e+07,0.16327,0.01458,-0.00292,-0.00285,-0.00115,-6.50000000000001,2.06223,1.48575,0.1702,-0.0243,-0.0243,8.33536,4.21628,0.15796,0.00312,0.01016,11.14286,23.4
"38","2021_Q4",7.82953125,"Down",6.85e+08,-5.9e+08,9.5e+07,-1.02e+08,-1.02e+08,-7e+06,-6e+06,-6e+06,-1.3e+07,-1.3e+07,2e+06,-1.1e+07,-1.1e+07,-1.1e+07,-1.7e+07,4.7e+07,4.7e+07,3.99e+08,3.99e+08,4.71e+08,2.8e+07,2.8e+07,9.45e+08,9.2e+07,6.82e+08,2.64e+08,2.1e+08,2.08e+08,7.74e+08,1.719e+09,4.05e+08,3.29e+08,7.6e+07,4.4e+08,3.23e+08,2.7e+08,6.5e+07,2.05e+08,5.93e+08,1.033e+09,3.55e+08,1.748e+09,-8.09e+08,-2.33e+08,6.86e+08,6.86e+08,1.719e+09,-1.1e+07,1e+07,3e+07,-6e+07,-3.1e+07,-2e+06,-2e+06,2.8e+07,1.9e+07,-1.4e+07,-1.4e+07,-1.6e+07,3e+06,3.25e+08,-6.1e+07,0.13869,-0.01022,-0.02482,-0.02478,-0.00989,3.58824,2.14773,1.50583,0.18906,-0.20606,-0.20606,8.30303,4.01212,-0.73939,-0.00859,-0.04762,92.66667,-39.71429
"39","2022_Q1",9.34306451612903,"Up",6.86e+08,-5.79e+08,1.07e+08,-1.06e+08,-1.06e+08,1e+06,-4e+06,-5e+06,-3e+06,-3e+06,-1e+06,-4e+06,-4e+06,-4e+06,-1e+07,4.8e+07,4.8e+07,3.79e+08,3.79e+08,4.53e+08,1.9e+07,1.9e+07,8.99e+08,9.1e+07,6.81e+08,2.64e+08,2.04e+08,2.13e+08,7.72e+08,1.671e+09,4.01e+08,3.21e+08,8e+07,4.36e+08,2.95e+08,2.62e+08,5.3e+07,2.09e+08,5.57e+08,9.93e+08,3.55e+08,1.748e+09,-8.19e+08,-2.31e+08,6.78e+08,6.78e+08,1.671e+09,-4e+06,1.1e+07,2.1e+07,1.2e+07,4e+07,-1e+06,-3e+06,-2.8e+07,-3.6e+07,1e+06,1e+06,1e+06,1.2e+07,2.97e+08,2.4e+07,0.15598,0.00146,-0.01458,-0.01475,-0.00598,-2.4,2.06193,1.4646,0.17774,-0.12005,-0.12005,8.23529,3.87755,0.28812,-0.00323,0.0194,20.75,249
"40","2022_Q2",11.0975806451613,"Up",7.42e+08,-6.06e+08,1.36e+08,-1.07e+08,-1.07e+08,2.9e+07,-6e+06,-6e+06,2.3e+07,2.3e+07,-7e+06,1.6e+07,1.6e+07,1.6e+07,1e+07,3.1e+07,3.1e+07,4.53e+08,4.53e+08,5e+08,2.8e+07,2.8e+07,1.012e+09,8.8e+07,6.86e+08,2.64e+08,1.99e+08,2.23e+08,7.74e+08,1.786e+09,4.87e+08,4e+08,8.7e+07,5.25e+08,3e+08,2.67e+08,5.7e+07,2.1e+08,5.67e+08,1.092e+09,3.55e+08,1.749e+09,-8.09e+08,-2.26e+08,6.94e+08,6.94e+08,1.786e+09,1.6e+07,1e+07,1e+07,-4.9e+07,-1.3e+07,-2e+06,-2e+06,6e+06,-2000000.00000001,-1.7e+07,-1.7e+07,-1.7e+07,3.9e+07,3.03e+08,-5e+06,0.18329,0.03908,0.01348,0.01441,0.0056,-0.5,1.92762,1.57349,0.16965,0.12121,0.12121,8.99394,4.10909,-0.06061,0.01266,-0.00396,6.97436,9.37931
"41","2022_Q3",9.85609375,"Down",8.48e+08,-6.97e+08,1.51e+08,-1.2e+08,-1.2e+08,3.1e+07,-1.1e+07,-5e+06,2e+07,2e+07,-6e+06,1.4e+07,1.4e+07,1.4e+07,8e+06,2.1e+07,2.1e+07,4.89e+08,4.89e+08,5.55e+08,3.6e+07,3.6e+07,1.101e+09,8.5e+07,6.78e+08,2.64e+08,1.94e+08,2.2e+08,7.63e+08,1.864e+09,5.12e+08,4.33e+08,7.9e+07,5.49e+08,3.53e+08,2.6e+08,5.6e+07,2.04e+08,6.13e+08,1.162e+09,3.55e+08,1.752e+09,-8.01e+08,-2.29e+08,7.02e+08,7.02e+08,1.864e+09,1.4e+07,1e+07,3.1e+07,-1.05e+08,-5e+07,-3e+06,-5e+06,5.3e+07,4.7e+07,-8e+06,-8e+06,-1e+07,4.1e+07,3.56e+08,-6.1e+07,0.17807,0.03656,0.00943,0.0114,0.00429,-7.625,2.00546,1.65527,0.19099,0.09697,0.09697,10.27879,4.20606,-0.73939,0.01062,-0.04628,8.17073,10.80645
