"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"33","2018_Q2",17.70765625,"Up",31487000,-19377000,12110000,-10845000,-9153000,-1692000,1265000,-270000,-270000,995000,995000,-181000,814000,814000,814000,814000,6838000,6838000,25285000,25285000,27697000,1229000,1229000,61049000,9761000,48833000,12786000,1292000,58594000,119643000,13805000,9945000,2971000,5502000,301000,5201000,24239000,2926000,682000,2244000,30774000,55013000,51456000,-32525000,46034000,-335000,64630000,64630000,119643000,814000,1543000,343000,-4311000,-1611000,-941000,570000,-1327000,-2307000,-3348000,-3348000,-3339000,2808000,32780000,-2263000,0.3846,0.04018,0.02585,0.01259,0.0068,-2.7801,2.51863,0.8512,0.27398,0.11992,0.1177,4.63863,9.52121,-0.33338,0.0129,-0.02255,9.2386,20.50751
"34","2018_Q3",19.334126984127,"Up",33807000,-20407000,13400000,-11236000,-9207000,-2029000,2164000,-512000,-512000,1652000,1652000,-458000,1194000,1194000,1194000,1194000,5949000,5949000,24048000,24048000,28396000,1767000,1767000,60160000,9525000,47385000,12466000,1304000,56910000,117070000,9612000,6082000,3294000,8248000,366000,7882000,22884000,2548000,623000,1925000,28698000,51582000,52384000,-32960000,46761000,-697000,65488000,65488000,117070000,1194000,1545000,445000,-3321000,-137000,-307000.000000001,-307000,-2604000,-460000,-904000,-904000,-889000,3709000,31174000,539000,0.39637,0.06401,0.03532,0.01823,0.0102,0.45142,2.62891,0.78766,0.26629,0.174,0.16858,4.9267,9.54357,0.0785500000000002,0.01688,0.00543,6.80102,11.65665
"35","2018_Q4",18.9612698412698,"Down",34196000,-20289000,13907000,-11545000,-9422000,-2123000,2362000,-538000,-538000,1824000,1824000,-407000,1417000,1417000,1417000,1417000,7816000,7816000,21717000,21717000,28330000,2014000,2014000,59877000,10109000,46070000,12283000,1275000,56179000,116056000,9208000,5355000,3853000,7567000,374000,7193000,21891000,2281000,614000,1667000,26757000,48648000,53458000,-32960000,47693000,-783000,67408000,67408000,116056000,1417000,1545000,522000,787000,4271000,-1054000,-1054000,-540000,-1400000,1817000,1817000,1867000,3907000,29592000,4047000,0.40668,0.06907,0.04144,0.02102,0.01221,2.85603,2.73523,0.72169,0.25498,0.20462,0.19765,4.93798,9.73387,0.5844,0.01916,0.04076,5.57359,9.21931
"36","2019_Q1",19.1245901639344,"Up",37167000,-22585000,14582000,-11653000,-9684000,-1969000,2929000,653000,1384000,3582000,2837000,-532000,2305000,2305000,2305000,2305000,7534000,7534000,23486000,23486000,30161000,1427000,1427000,62608000,10380000,45995000,12329000,1064000,56375000,118983000,11533000,5956000,5023000,7924000,373000,7551000,24665000,1757000,40000,1717000,24543000,49208000,54079000,-32997000,49511000,-818000,69775000,69775000,118983000,2305000,1519000,-1011000,-331000,2482000,-743000,-743000,923000,-1944000,-205000,-205000,-282000,4448000,27994000,3906000,0.39234,0.07881,0.06202,0.03303,0.01937,1.69458,2.53833,0.70524,0.23528,0.33171,0.32158,5.34861,10.04115,0.5621,0.02805,0.03925,4.59982,6.98532
"37","2019_Q2",24.9073015873016,"Up",36181000,-21942000,14239000,-11771000,-9764000,-2007000,2468000,-368000,-368000,2100000,2100000,-4e+05,1700000,1700000,1700000,1700000,5769000,5769000,21970000,21970000,32043000,1198000,1198000,60980000,10462000,46497000,12136000,2873000,56959000,117939000,9395000,5818000,2767000,7999000,350000,7649000,22326000,2976000,15000,2961000,23999000,46325000,54987000,-33077000,50722000,-1018000,71614000,71614000,117939000,1700000,1584000,614000,-2911000,987000,-586000,-586000,-1308000,-2215000,-1814000,-1814000,-1765000,4052000,25955000,955000,0.39355,0.06821,0.04699,0.02374,0.01441,0.56176,2.73134,0.64687,0.22007,0.24387,0.23455,5.19022,10.27313,0.137,0.02177,0.0095,4.98174,8.17909
"38","2019_Q3",20.506875,"Down",33468000,-21491000,11977000,-10814000,-9029000,-1785000,1163000,-182000,-182000,981000,981000,-29000,952000,952000,952000,952000,4523000,4523000,20605000,20605000,36854000,3059000,3059000,65041000,10910000,45729000,12075000,2681000,56639000,121680000,12103000,9403000,2700000,9753000,321000,9432000,26880000,3453000,504000,2949000,22712000,49592000,55637000,-33454000,51180000,-1275000,72088000,72088000,121680000,952000,1558000,463000,-2948000,25000,-952000,-952000,-1037000,-380000,-1307000,-1307000,-1246000,2721000,24283000,-1150000,0.35786,0.03475,0.02845,0.01321,0.00782,-1.20798,2.41968,0.68794,0.19956,0.13559,0.12914,4.76684,10.26748,-0.16379,0.01448,-0.01152,7.26204,16.99054
"39","2019_Q4",15.04140625,"Down",33318000,-21021000,12297000,-11850000,-9774000,-2076000,447000,-238000,-238000,209000,209000,247000,456000,456000,456000,456000,4468000,4468000,22094000,22094000,35594000,3059000,3059000,65215000,11323000,44827000,12110000,2781000,56150000,121365000,9642000,6674000,2968000,13095000,387000,12708000,27853000,3067000,539000,2528000,20559000,48412000,56388000,-33454000,51142000,-1123000,72953000,72953000,121365000,456000,1550000,536000,-2566000,-24000,-884000,-884000,3980000,1021000,113000,113000,-55000,1997000,22608000,-1700000,0.36908,0.01342,0.01369,0.00625,0.00376,-3.72807,2.3414,0.66361,0.18628,0.06471,0.06337,4.72797,10.35235,-0.24124,0.00964,-0.01724,9.08363000000001,40.58166
"40","2020_Q1",11.4498387096774,"Down",30479000,-20234000,10245000,-11890000,-9674000,-2216000,-1645000,-275000,855000,-1920000,-1920000,571000,-1349000,-1349000,-1349000,-1349000,4249000,4249000,19784000,19784000,33925000,2193000,2193000,60151000,11268000,45245000,12034000,2749000,56513000,116664000,11820000,4409000,7411000,9739000,466000,9273000,26767000,2795000,435000,2360000,18522000,45289000,56647000,-33477000,49298000,-1093000,71375000,71375000,116664000,-1349000,1592000,-1427000,3420000,2236000,-484000,-484000,-1715000,-2168000,-416000,-416000,-219000,-53000.0000000002,20935000,2312000,0.33613,-0.05397,-0.04426,-0.0189,-0.01156,-1.71385999999995,2.24721,0.63452,0.17945,-0.19116,-0.18904,4.31897,10.11407,0.32762,-0.00898,0.02431,-314.83019,-10.14347
"41","2020_Q2",6.56380952380952,"Down",30919000,-20064000,10855000,-10192000,-8252000,-1940000,663000,-349000,-349000,314000,314000,118000,432000,432000,432000,432000,11091000,11091000,18473000,18473000,32557000,2489000,2489000,64610000,11377000,44013000,11988000,2624000,55390000,1.2e+08,7175000,4282000,2893000,18158000,375000,17783000,31935000,2619000,378000,2241000,16503000,48438000,57174000,-33531000,49233000,-1314000,71562000,71562000,1.2e+08,432000,1568000,507000,913000,3420000,-626000,-626000,5006000,3981000,6775000,6775000,6842000,2231000,20486000,2400000,0.35108,0.02144,0.01397,0.00603999999999999,0.0036,5.55556,2.02317,0.67687,0.17072,0.06108,0.0608,4.37141,10.11763,0.33932,0.00981,0.02535,4.21111999999988,14.17044
"42","2020_Q3",7.2771875,"Up",27659000,-17871000,9788000,-9583000,-8090000,-1493000,205000,-73000,417000,132000,531000,-529000,2000,2000,2000,2000,11235000,11235000,14816000,14816000,32368000,2899000,2899000,61318000,11466000,43695000,12552000,2604000,55161000,116479000,7702000,5127000,2575000,8135000,351000,7784000,20229000,2325000,482000,1843000,23693000,43922000,57804000,-33568000,49236000,-915000,72557000,72557000,116479000,2000,1565000,613000,3564000,5744000,-575000,-575000,-3633000,-4279000,890000,890000,144000,1770000,25760000,5288000,0.35388,0.00740999999999999,6.99999999999902e-05,3e-05,2e-05,2644,3.03119,0.60534,0.22116,0.000279999999999982,0.000279999999999982,3.89289,10.2121,0.74426,2e-05,0.05254,8.20621,70.85366
"43","2020_Q4",9.22890625,"Up",28017000,-18283000,9734000,-9317000,-7905000,-1412000,417000,-351000,-65000,66000,-19000,32000,13000,13000,13000,13000,9603000,9603000,15662000,15662000,30868000,2769000,2769000,58902000,11944000,42463000,12466000,2485000,54407000,113309000,7574000,4825000,2749000,5941000,313000,5628000,18499000,2238000,476000,1762000,21772000,40271000,58415000,-33568000,49248000,-1057000,73038000,73038000,113309000,13000,1438000,615000,437000,2503000,-901000,-901000,-2782000,-3282000,-1680000,-1680000,-1632000,1855000,24518000,1359000,0.34743,0.01488,0.00046,0.000180000000000001,0.00011,104.53846,3.18406,0.55137,0.21638,0.00183,0.00181,3.93387,10.25527,0.19082,0.000129999999999999,0.01362,8.04043,35.76739
"44","2021_Q1",11.4219672131148,"Up",29438000,-18455000,10983000,-9835000,-8474000,-1361000,1148000,519000,108000,1667000,1353000,-516000,837000,837000,837000,837000,11439000,11439000,17415000,17415000,30060000,1807000,1807000,60721000,12011000,42741000,12806000,2492000,54752000,115473000,13180000,5734000,6791000,2462000,285000,2177000,20968000,2130000,384000,1746000,19822000,40790000,58570000,-33588000,50085000,-384000,74683000,74683000,115473000,837000,1412000,-862000,2490000,3877000,-485000,-485000,-1032000,-1560000,1832000,1832000,1836000,2560000,23018000,5081000,0.37309,0.039,0.02843,0.01121,0.00725,6.07049000000008,2.89589,0.54618,0.19934,0.11762,0.1154,4.13687,10.49508,0.71402,0.00838,0.0509,4.52305,10.08624
"45","2021_Q2",15.3163492063492,"Up",29078000,-18190000,10888000,-10153000,-8436000,-1717000,735000,-369000,-369000,366000,366000,227000,593000,593000,593000,593000,11414000,11414000,15249000,15249000,29474000,2072000,2072000,58209000,12124000,41723000,12730000,2553000,53847000,112056000,8850000,5639000,2951000,5778000,330000,5448000,15441000,2065000,402000,1663000,21082000,36523000,59100000,-33796000,50678000,-449000,75533000,75533000,112056000,593000,1425000,503000,1388000,3909000,-544000,-544000,-2763000,-3419000,-54000,-54000,-25000,2160000,19830000,2777000,0.37444,0.02528,0.02039,0.00785,0.00529,4.68297,3.76977,0.48354,0.17697,0.083,0.08162,4.0697,10.57145,0.38866,0.00609,0.0285,3.8963,11.45034
"46","2021_Q3",15.30265625,"Down",29845000,-17129000,12716000,-9264000,-7725000,-1539000,3452000,-2e+05,-78999.9999999999,3252000,7718000,-699000,7019000,7019000,7019000,7019000,11389000,11389000,15603000,15603000,29090000,5317000,5317000,61399000,12307000,41528000,12623000,2889000,53835000,115234000,10048000,6131000,3917000,6014000,324000,5690000,16937000,1818000,354000,1464000,15720000,32657000,59604000,-33942000,57697000,-782000,82577000,82577000,115234000,7019000,849000,-3991000,-2293000,1584000,-618000,-618000,-188000,-799000,167000,167000,-24999.9999999998,4301000,14777000,2089000,0.42607,0.11566,0.23518,0.085,0.06091,0.297620000000012,3.62514,0.39547,0.12823,0.97364,0.9577,4.13996,11.45471,0.28978,0.07078,0.02106,0.78772,0.98146
"47","2021_Q4",16.044375,"Up",28857000,-18472000,10385000,-10089000,-8141000,-1948000,296000,-199000,53000,97000,-599000,174000,-425000,-425000,-425000,-425000,8727000,8727000,16351000,16351000,31661000,6451000,6451000,63190000,11674000,40758000,12415000,2764000,52432000,115622000,11236000,6866000,4370000,6339000,284000,6055000,18513000,1719000,336000,1383000,14927000,33440000,60030000,-33944000,57272000,-1176000,82182000,82182000,115622000,-425000,796000,1101000,-3117000,-1645000,-345000,-345000,-188000,-663000,-2653000,-2653000,-2662000,1092000,14146000,-2544000,0.35988,0.01026,-0.01473,-0.00517000000000001,-0.00368,5.98588,3.41328,0.4069,0.12235,-0.05922,-0.05824,4.02076,11.45075,-0.35447,-0.00433,-0.02595,4.96245,18.30743
"48","2022_Q1",14.0885483870968,"Down",29700000,-19950000,9750000,-9977000,-8428000,-1549000,-227000,-224000,368000,-451000,-450999.999999998,-307000,-758000,-758000,-758000,-758000,5276000,5276000,17124000,17124000,34609000,6769000,3634000,63778000,11441000,39736000,12156000,2789000,51177000,114955000,12425000,8590000,3512000,6610000,262000,6348000,20035000,1393000,186000,1207000,13908000,33943000,60220000,-33974000,56514000,-1748000,81012000,81012000,114955000,-758000,924000,363999.999999999,-2984000,-2454000,-289000,-289000,-91000,-675000,-3418000,-3418000,-3451000,697000,13515000,-2269000,0.32828,-0.00764,-0.02552,-0.00936,-0.00659,2.9934,3.18333,0.41899,0.11757,-0.1067,-0.10578,4.18074,11.40372,-0.3194,-0.0079,-0.02366,11.82066,-36.29515
"49","2022_Q2",12.9503225806452,"Down",31010000,-20281000,10729000,-9965000,-8443000,-1522000,764000,-279000,-279000,485000,485000,-60000,425000,425000,425000,425000,5754000,5754000,18444000,18444000,36859000,4333000,4333000,65390000,10978000,38808000,11719000,2767000,49786000,115176000,11254000,6952000,2665000,6146000,222000,5924000,21400000,1247000,140000,1107000,13080000,34480000,60645000,-34223000,56939000,-2665000,80696000,80696000,115176000,425000,912000,344000,-3295000,-1614000,-50000,-50000,2750000,2089000,425000,425000,478000,1676000,15833000,-1609000,0.34599,0.02464,0.01371,0.00527,0.00369,-3.78588,3.05561,0.42728,0.13747,0.05824,0.05746,4.24911,11.05728,-0.22047,0.00435,-0.01646,6.01372,13.19241
"50","2022_Q3",12.1203125,"Down",32259000,-20877000,11382000,-10147000,-8552000,-1595000,1235000,-431000,20000,804000,804000,-220000,584000,584000,584000,584000,4285000,4285000,17382000,17382000,41727000,4268000,4268000,67662000,10577000,38059000,11501000,2662000,48636000,116298000,11629000,7624000,2437000,5791000,281000,5510000,22920000,754000,127000,627000,12282000,35202000,60880000,-34223000,57523000,-3084000,81096000,81096000,116298000,584000,908000,247000,-3944000,-2205000,-113000,-113000,1500000,1e+06,-1318000,-1318000,-1469000,2143000,17028000,-1694000,0.35283,0.03828,0.0181,0.0072,0.00502,-2.90068,2.95209,0.43408,0.14642,0.07989,0.07948,4.413,11.09384,-0.23174,0.00591,-0.01713,5.94634,10.31822
