"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"26","2016_Q3",31.89421875,"Up",4381296000,-4197852000,183444000,-29455000,-29455000,153989000,-22961000,-62723000,39016000,746000,131028000,78781000,-12187000,66594000,66594000,-24766000,41828000,41828000,528490000,528490000,4801196000,4801196000,956250000,771423000,141288000,6285936000,596891000,7106388000,532700000,5785619000,126846000,347085000,314138000,7703279000,13989215000,4272260000,1892457000,2379803000,342513000,645715000,645715000,5260488000,4130087000,934289000,374858000,5064376000,10324864000,3566014000,543797000,-651371000,3458440000,205911000,3664351000,13989215000,66594000,107181000,44154000,-104778000,113151000,-30220000,-37838000,-66701000,-53725000,7946000,8735000,-789000,6812000,-38967000,7483000.00000001,7483000.00000001,4251000,11734000,261170000,4472600000,138359000,0.04187,0.03515,0.00955,0.01141,0.00299,3.30781000000001,1.19493,2.81765,0.31972,0.27108,0.26916,28.39466,22.41374,0.89669,0.00461,0.01525,15.1017,25.61293
"27","2016_Q4",32.8525396825397,"Up",4408782000,-4237439000,171343000,-28863000,-28863000,142480000,-42505000,-62516000,18513000,1498000,99975000,49297000,35097000,84394000,84394000,-16950000,67444000,67444000,508766000,508766000,4620393000,4620393000,1042736000,852582000,119231000,6171895000,624545000,7081887000,493249000,5831409000,110133000,341967000,305129000,7706432000,13878327000,4290809000,1889254000,2401555000,354067000,641343000,641343000,5286219000,3941150000,891751000,377095000,4832901000,10119120000,3586499000,611241000,-645898000,3551842000,207365000,3759207000,13878327000,84394000,97261000,59521000,18874000,260050000,-68788000,-16666000,-85204000,-180023000,5547000,12969000,-7422000,-39096000,-213572000,-38726000,-38726000,-3055000,-41781000,239741000,4295217000,154730000,0.03886,0.03232,0.0153,0.01794,0.00486,2.2942,1.16754,2.69182,0.30949,0.4354,0.43178,28.46212,22.9299,0.9989,0.00754,0.0173,15.79392,26.57532
"28","2017_Q1",36.1890322580645,"Up",4323096000,-4175917000,147179000,-28131000,-28131000,119048000,-49271000,-73405000,21240000,2894000,69777000,-1437999.99999999,14325000,12887000,12887000,-5683000,7204000.00000001,7204000.00000001,588644000,588644000,4531460000,4531460000,880667000,730101000,103501000,6000771000,644992000,7024173000,479439000,5823843000,171508000,330485000,218898000,7669165000,13669936000,4306504000,1910915000,2395589000,366324000,631928000,631928000,5304756000,3702157000,1110534000,403364000,4812691000,10117447000,3606058000,618445000,-857582000,3366921000,185568000,3552489000,13669936000,12887000,83270000,-91386000,358128000,362899000,-36913000,-9319000,-50697000,-176591000,6189000,6527000,-337999.999999998,-76794000,-247196000,65006000,65006000,-858000,64148000,202318000,4068481000,509208000,0.03404,0.02754,0.00167,0.00203,0.000529999999999999,70.68406,1.13121,2.84799,0.29762,0.04609,0.04528,27.66109,21.54306,3.25814,0.000829999999999999,0.05832,17.19984,29.23054
"29","2017_Q2",32.805873015873,"Down",4358349000,-4188376000,169973000,-32639000,-32639000,137334000,-31306000,-53637000,21471000,860000,106028000,90616000,-24838000,65778000,65778000,-18599000,47179000,47179000,560513000,560513000,4538396000,4538396000,886192000,707738000,137204000,5985101000,634916000,6888979000,449785000,5784423000,136442000,343874000,174455000,7523895000,13508996000,4146333000,1967051000,2179282000,358729000,660266000,660266000,5165328000,3751342000,1032439000,358755000,4783781000,9949109000,3621842000,669429000,-912858000,3378413000,181474000,3559887000,13508996000,65778000,66916000,5772000,-60959000,77507000,-21027000,-18133000,-38860000,27401000,-5552000,11942000,-17494000,-48218000,-26369000,12278000,12278000,-6706000,5572000,204250000,4110071000,147102000,0.039,0.03151,0.01082,0.01325,0.00349,3.11796,1.15871,2.79478,0.30425,0.30576,0.2986,28.24594,21.89509,0.95335,0.00542,0.0169,17.3785,25.84617
"30","2017_Q3",32.5250793650794,"Down",4427198000,-4258754000,168444000,-29844000,-29844000,138600000,-38822000,-61801000,21738000,1241000,99778000,80353000,35487000,115840000,115840000,-13444000,102396000,102396000,619909000,619909000,4708941000,4708941000,837458000,688474000,106063000,6166308000,619032000,6855701000,426790000,5805248000,174671000,354571000,94421000,7474733000,13641041000,4066692000,1937110000,2129582000,352638000,644762000,644762000,5064092000,3851082000,997677000,337368000,4848759000,9912851000,3644145000,771825000,-871578000,3544392000,183798000,3728190000,13641041000,115840000,71950000,12216000,-246093000,-46087000,-17678000,-3893000,-19071000,92648000,5606000,6078000,-472000,-7808000,90446000,25288000,25288000,2967000,28255000,210550000,4203720000,-88708000.0000001,0.03805,0.03131,0.02313,0.02747,0.00751,-0.866319999999991,1.21765,2.65889,0.30817,0.65892,0.64522,28.48905,22.80819,-0.57084,0.01147,-0.00993000000000001,17.02119,25.85722
"31","2017_Q4",35.988253968254,"Up",4561467000,-4386291000,175176000,-33944000,-33944000,141232000,7047000,-61547000,66458000,2136000,148279000,148279000,-12205000,136074000,136074000,-34747000,101327000,101327000,644890000,644890000,4759306000,4759306000,929095000,718620000,167569000,6333291000,603327000,6899624000,410294000,5840508000,194035000,339269000,115518000,7502951000,13836242000,4293420000,2165463000,2127957000,157145000,739037000,739037000,5189602000,3753799000,976492000,304268000,4730291000,9919893000,3667125000,873152000,-831659000,3708618000,207731000,3916349000,13836242000,136074000,67112000,32868000,177883000,413937000,-19794000,11231000,-10196000,-295807000,6010000,10376000,-4366000,-31039000,-320836000,82905000,82905000,3582000,86487000,208344000,3910944000,378638000,0.0384,0.03096,0.02221,0.02587,0.00732,3.73679,1.22038,2.53294,0.28266,0.65037,0.63808,29.27771,23.80371,2.43028,0.01151,0.04301,15.67626,23.12545
"32","2018_Q1",36.5401639344262,"Up",4856388000,-4686261000,170127000,-36882000,-36882000,133245000,-20011000,-54325000,31915000,2399000,113234000,109934000,-6150000,103784000,103784000,-15296000,88488000,88488000,665871000,665871000,5127743000,5127743000,888608000,696718000,136491000,6682222000,621357000,7093377000,415096000,5992881000,171331000,364223000,149846000,7714734000,14396956000,4533567000,2249872000,2283695000,1.42e+08,902812000,902812000,5578379000,3702109000,901782000,322199000,4603891000,10182270000,3735147000,961640000,-700661000,3996126000,218560000,4214686000,14396956000,103784000,72653000,-30544000,105404000,251297000,-19960000,-13482000,-134584000,-121803000,3829000,6575000,-2746000,-11757000,-129731000,-13018000,-13018000,2921000,-10097000,205898000,3844109000,297492000,0.03503,0.02744,0.01822,0.021,0.00615,3.36195,1.19788,2.4159,0.26701,0.56214,0.54948,30.85145,25.38641,1.88989,0.00988,0.0332,15.43598,23.85259
"33","2018_Q2",33.95046875,"Down",4910832000,-4774680000,136152000,-34670000,-34670000,101482000,-24162000,-56165000,29720000,2283000,77320000,77320000,47093000,124413000,124413000,-13099000,111314000,111314000,616127000,616127000,5313672000,5313672000,912241000,676951000,197039000,6842040000,631601000,7149310000,411759000,5.997e+09,216742000,370294000,153515000,7780911000,14622951000,4516868000,2426469000,2090399000,163275000,995914000,995914000,5676057000,3738901000,877212000,296578000,4616113000,10292170000,3735599000,1072954000,-704184000,4104369000,226412000,4330781000,14622951000,124413000,62835000,8482000,-143302000,52428000,-18543000,-9120000,-27502000,40209000,-14456000,12245000,-26701000,-42757000,-17004000,7922000,7922000,2882000,10804000,164317000,3902176000,-44621000,0.02772,0.02066,0.02267,0.0257,0.00761,-0.40086,1.20542,2.37652,0.26685,0.70492,0.68777,31.09913,25.99199,-0.28257,0.01222,-0.0049,19.99823,32.38061
"34","2018_Q3",32.6231746031746,"Down",4790910000,-4649638000,141272000,-30217000,-30217000,111055000,-75032000,-100577000,13038000,12507000,36023000,-132155000,24400000,-107755000,-107755000,-11978000,-119733000,-119733000,662168000,662168000,5208918000,5208918000,1052874000,648602000,205057000,6923960000,583417000,7109955000,368215000,5942572000,219907000,384897000,194364000,7693372000,14617332000,4482277000,2286166000,2196111000,133739000,1025825000,1025825000,5641841000,3814976000,895890000,340938000,4710866000,10352707000,3794531000,953221000,-7.07e+08,4040752000,223873000,4264625000,14617332000,-107755000,70648000,242030000,-86528000,118395000,-23659000,-36639000,-60298000,36669000,5983000,6519000,-536000.000000004,-49913000,-7261000,50836000,50836000,3223000,54059000,181703000,3948715000,47116000,0.02949,0.02318,-0.02499,-0.02808,-0.00819,-0.393509999999999,1.22725,2.42758,0.27014,-0.7507,-0.7697,30.03799,25.33466,0.29541,-0.01314,0.00517,18.08747,29.59387
"35","2018_Q4",30.1111111111111,"Down",5147920000,-4962741000,185179000,-35159000,-35159000,150020000,-39598000,-55213000,12863000,2752000,110422000,108273000,-33131000,75142000,75142000,-14232000,60910000,60910000,628321000,628321000,5447985000,5447985000,967536000,651816000,173098000,7043842000,607151000,7076424000,343185000,5928029000,181564000,398134000,225512000,7683575000,14727417000,4730399000,2517234000,2213165000,172979000,986692000,986692000,5890070000,3707293000,869920000,340116000,4577213000,10467283000,3821888000,1014131000,-758287000,4077732000,182402000,4260134000,14727417000,75142000,66658000,-5267000,-64689000,71844000,-23428000,-30143000,-29254000,-92571000,9631000,11736000,-2105000,-16576000,-99516000,-56926000,-56926000,-8880000,-65806000,216678000,3880272000,161692000,0.03597,0.02914,0.01183,0.0143,0.00414,2.65461,1.19588,2.45703,0.26347,0.37975,0.35856,32.09546,25.42322,1.00809,0.00676,0.01795,15.00822,21.67678
"36","2019_Q1",29.5765573770492,"Down",-971346000.000001,987776000,16430000,-35741000,-35741000,-19311000,7754000.00000001,10932000,-6264000,3086000,-11557000,158770000,-34868000,123902000,105327000,-21350000,83977000,83977000,642168000,642168000,5468821000,5468821000,1016333000,585152000,244565000,7127322000,614062000,6939747000,319892000,5921116000,159396000,310661000,228682000,7553809000,14681131000,5032895000,2726047000,2306848000,143051000,953731000,953731000,6129677000,3483746000,789334000,329457000,4273080000,10402757000,3847962000,948148000,-703330000,4092780000,185594000,4278374000,14681131000,105327000,67429000,63163000,295967000,531886000,-21248000,84156000,57967000,-307736000,-142641000,7483000,-150124000,-50710000,-501087000,88766000,88766000,-3452000,85314000,48118000,3626797000,357705000,-0.01691,0.01988,-0.08645,0.01963,0.00572,4.25956,1.16276,2.43147,0.24704,0.52947,0.51913,-6.12427000000001,25.8047,2.25531,0.00966,0.04114,62.02729,-154.5559
"37","2019_Q2",32.8801587301587,"Up",5037495000,-4866882000,170613000,-35907000,-35907000,134706000,-39925000,-56026000,12504000,3597000,94781000,31486000,33600000,65086000,65086000,-13567000,51519000,51519000,640572000,640572000,3282128000,3282128000,3327034000,681449000,2461224000,7249734000,601005000,6916911000,296711000,5893534000,167886000,341009000,217771000,7517916000,14767650000,4853496000,2624561000,2228935000,160799000,1026602000,1026602000,6040897000,3759491000,716833000,318941000,4476324000,10517221000,3846715000,957230000,-726145000,4077800000,172629000,4250429000,14767650000,65086000,63160000,7449000,-336077000,-200382000,-21902000,-37795000,-59697000,291312000,-46862000,5485000,-52347000,-31216000,213234000,-46845000,-46845000,-1586000,-48431000,197866000,3920290000,-193713000,0.03387,0.02674,0.01023,0.01212,0.00349,-3.76003,1.20011,2.47439,0.26546,0.32937,0.32279,32.20575,26.07022,-1.23845,0.0058,-0.0218,16.57545,24.34723
"38","2019_Q3",35.640625,"Up",5040022000,-4844660000,195362000,-37426000,-37426000,157936000,-27599000,-57828000,25963000,4266000,130337000,114462000,-20943000,93519000,93519000,-15674000,77845000,77845000,592731000,592731000,3285939000,3285939000,3361970000,592189000,2661039000,7240640000,596374000,6900009000,277208000,5908248000,163707000,338431000,212415000,7496383000,14737023000,4752774000,2581347000,2171427000,158312000,979101000,979101000,5890187000,3733642000,718320000,321348000,4451962000,10342149000,3905871000,1005086000,-711021000,4199936000,194938000,4394874000,14737023000,93519000,65556000,18925000,-70562000.0000001,107438000,-22543000,-23103000,-45646000,-56296000,-21170000,9057000,-30227000,2868000,-74598000.0000001,-12806000,-12806000,1382000,-11424000,223492000,3891954000,151330000,0.03876,0.03134,0.01545,0.01771,0.00528,1.94399,1.22927,2.35323,0.26409,0.49702,0.49139,32.17953,26.81575,0.966210000000001,0.00864,0.0168,14.76215,20.88962
"39","2019_Q4",41.00609375,"Up",4980204000,-4770960000,209244000,-37534000,-37534000,171710000,-22315000,-55764000,28563000,4886000,149395000,141991000,-36603000,105388000,105388000,-21650000,83738000,83738000,592784000,592784000,3373361000,3373361000,3305680000,607511000,2655540000,7271825000,603480000,6919907000,255213000,5906484000,160289000,391520000,206401000,7523387000,14795212000,4811126000,2609905000,2201221000,159635000,969944000,969944000,5940705000,3653291000,704204000,326588000,4357495000,10298200000,3932576000,1088824000,-718396000,4303004000,194008000,4497012000,14795212000,105388000,64768000,-105000,-93194000,76857000,-24670000,-31005000,-18263000,-101553000,9718000,9827000,-109000,-391000,-92226000,-33632000,-33632000,321000,-33311000,236478000,3812926000,155217000,0.04202,0.03448,0.01681,0.01862,0.00566,1.8536,1.22407,2.29001,0.25771,0.53191,0.52406,31.6348,27.33316,0.98596,0.00929,0.01722,13.61709,18.75337
"40","2020_Q1",42.3306451612903,"Up",-1415266000,1451702000,36436000,-37256000,-37256000,-820000.00000003,-7767000,8136000,-17710000,1807000,-8587000,-38769000,10448000,-28321000,-447983000,-26169000,-474152000,-474152000,777476000,777476000,2869216000,2869216000,3887953000,515593000,1689969000,7534645000,405605000,6610658000,99636000,3476813000,288949000,256131000,2489129000,7016263000,14550908000,4348698000,2410838000,1937860000,98362000,2014694000,2014694000,6461754000,3217985000,971819000,580266000,4189804000,10651558000,3955225000,599548000,-864197000,3690576000,208774000,3899350000,14550908000,-447983000,67701000,537073000,636912000,793703000,-14258000,111430000,-23154000,-417313000,-9446000,6079000,-15525000,-52930000,-479689000,290860000,290860000,-4073000,286787000,66881000,3316347000,679087000,-0.02574,0.000579999999999997,0.33503,-0.1216,-0.03259,-1.43221,1.16604,2.73162,0.22791,-3.00648,-3.15326,-8.97385,23.40103,4.30592,-0.05791,0.08294,37.96102,-3096.18415
"41","2020_Q2",35.4436507936508,"Down",3235610000,-3069810000,165800000,-43614000,-43614000,122186000,-26441000,-40377000,9928000,4008000,95745000,50820000,-15906000,34914000,53094000,-12490000,40604000,40604000,619683000,619683000,2839696000,2839696000,4007554000,532364000,1777336000,7466933000,403882000,7358544000,94274000,3492101000,229211000,279286000,3263672000,7762426000,15229359000,4374623000,2376867000,1997756000,111640000,1975195000,1975195000,6461458000,3358176000,1550321000,1132372000,4908497000,11369955000,3958178000,537490000,-822666000,3673002000,186402000,3859404000,15229359000,53094000,57875000,43526000,-361425000,-206930000,-31038000,-37587000,-68125000,115776000,-33767000,4743000,-38510000,-2657000,79352000,-195703000,-195703000,2714000,-192989000,180061000,3469816000,-196496000,0.05124,0.03776,0.01255,0.01052,0.00267,-4.83933,1.15561,2.94604,0.22784,0.25808,0.25274,20.56549,23.34555,-1.24893,0.00457,-0.02213,15.82871,23.32618
"42","2020_Q3",37.718125,"Up",3245737000,-3076924000,168813000,-41037000,-41037000,127776000,-21176000,-37111000,13505000,2430000,106600000,75387000,-21604000,53783000,-76966000,-9160000,-86126000,-86126000,1033266000,1033266000,2888939000,2888939000,3456052000,726643000,1868171000,7378257000,383871000,5353218000,87591000,3446939000,409566000,256932000,1152190000,5737089000,13115346000,4420257000,2184346000,2235911000,52372000,1514912000,1514912000,5987541000,2079128000,1383154000,938074000,3462282000,9449823000,3961712000,451364000,-881574000,3531502000,134021000,3665523000,13115346000,-76966000,67816000,-46125000.0000001,-243756000,-299031000,-13525000,42596000,2059179000,-1338511000,-2889000,8800000,-11689000,-31185000,-1372585000,387563000,387563000,-8598000,378965000,195592000,2131500000,-40085000.0000001,0.05201,0.03937,-0.02654,-0.0235,-0.00657,0.46542,1.23227,2.57803,0.16252,-0.54321,-0.53589,20.47138,22.27374,-0.252819999999999,-0.01199,-0.00558000000000002,5.61492,8.59499000000003
"43","2020_Q4",47.29875,"Up",3189679000,-3004600000,185079000,-54482000,-54482000,130597000,-23233000,-34925000,8573000,3119000,107364000,87064000,7184000,94248000,94122000,-4783000,89339000,89339000,1229479000,1229479000,2811876000,2811876000,3249007000,668739000,1781772000,7290362000,388864000,5365827000,81995000,3466584000,382834000,240525000,1193889000,5754691000,13045053000,4305972000,2098617000,2207355000,24698000,1421001000,1421001000,5751671000,2047988000,1359525000,966400000,3407513000,9159184000,4009804000,540703000,-805613000,3744894000,140975000,3885869000,13045053000,94122000,55749000,65498000,-29138000,186231000,-36193000,12033000,83092000,-120764000,3408000,3688000,-280000,5053000,-112303000,157020000,157020000,999000,158019000,186346000,2072686000,113831000,0.05802,0.04094,0.02801,0.02299,0.00685,1.27415,1.26752,2.35705,0.15889,0.55795,0.55203,19.92068,23.38819,0.71092,0.01221,0.01555,4.52495,6.45656
"44","2021_Q1",56.3234426229508,"Up",3568950000,-3379082000,189868000,-49402000,-49402000,140466000,-29227000,-47501000,16775000,1499000,111239000,19332000,-15427000,3905000,-223991000,-6196000,-230187000,-230187000,1599688000,1599688000,2920730000,2920730000,3009948000,691707000,1720169000,7530366000,381672000,5086913000,76917000,3484221000,361675000,297595000,866505000,5468585000,12998951000,4655035000,2358228000,2296807000,20874000,1414545000,1414545000,6090454000,2041136000,1453817000,987325000,3494953000,9585407000,4036984000,174248000,-918674000,3292558000,120986000,3413544000,12998951000,-223991000,55936000,261006000,556401000,649352000,-30035000,11005000,-36708999.9999998,-38251000,-127317000,9157000,-136474000,-56866000,-222434000,390209000,390209000,3691000,393900000,196402000,2062010000,738195000,0.0532,0.03936,-0.0645,-0.06743,-0.01771,-3.20694,1.23642,2.80805,0.15863,-1.4385,-1.42128,22.30329,20.57604,4.61317,-0.03322,0.10653,2.35396,3.29134000000002
"45","2021_Q2",64.6874603174603,"Up",3313155000,-3128785000,184370000,-38360000,-38360000,146010000,-18597000,-30651000,8201000,3853000,127413000,114375000,-25601000,88774000,33022000,-6894000,26128000,26128000,940857000,940857000,2930891000,2930891000,3029144000,738945000,1592506000,6900892000,412636000,5191027000,72003000,3514482000,380997000,254616000,968929000,5603663000,12504555000,4578402000,2264703000,2313699000,24278000,1398916000,1398916000,6001596000,2044358000,1438424000,988401000,3482782000,9484378000,4039635000,-254639000,-876792000,2908204000,111973000,3020177000,12504555000,33022000,39523000,131644000,-197085000,7104000,-21273000,2808000,-141268000,-5396000,-460758000,8099000,-468857000,-3314000,-469468000,-603632000,-603632000,6912000,-596720000,185533000,2068636000,-7224000,0.05565,0.04407,0.00789,0.00865,0.00209,-0.27648,1.14984,3.14034,0.16543,0.17255,0.16994,21.87999,19.2057,-0.04771,0.004,-0.00111,6.07859,7.72398
"46","2021_Q3",63.00703125,"Down",3265573000,-3070314000,195259000,-36007000,-36007000,159252000,-22166000,-32800000,7157000,3477000,137086000,128340000,-35148000,93192000,45278000,-5919000,39359000,39359000,815569000,815569000,2793212000,2793212000,2649645000,870962000,1.637e+09,6258426000,408168000,5317239000,66791000,3512839000,380686000,326958000,1029965000,5725407000,11983833000,4495852000,2115110000,2380742000,46899000,1059146000,1059146000,5601897000,2056728000,1398508000,940706000,3455236000,9057133000,4054089000,-336852000,-895736000,2822969000,103731000,2926700000,11983833000,45278000,41305000,29304000,-56737000.0000001,59150000,-55872000,71999.9999999981,-221224000,27306000,-115344000,7470000,-122814000,-22907000,-110945000,-273019000,-273019000,-2247000,-275266000,200557000,2103627000,123096000,0.05979,0.04877,0.01205,0.01345,0.00328,3.12752,1.1172,3.09466,0.17554,0.26635,0.26324,22.09903,19.09387,0.83302,0.00612,0.01915,6.4224,8.08817
"47","2021_Q4",69.4815625,"Up",3408357000,-3206823000,201534000,-36340000,-36340000,165194000,-136286000,-149038000,8270000,4482000,28908000,15937000,17938000,33875000,18373000,-6842000,11531000,11531000,935434000,935434000,2669113000,2669113000,2643946000,867154000,1612146000,6248493000,410864000,5303734000,61666000,3516781000,444647000,331994000,948646000,5714598000,11963091000,4453635000,2068440000,2385195000,55234000,1171162000,1171162000,5680031000,2153812000,1312270000,867040000,3466082000,9146113000,4100482000,-483362000,-910532000,2708037000,108941000,2816978000,11963091000,18373000,48460000,130285000,123216000,320334000,-25174000,-12000,-39180000,-17669000,-150360000,7816000,-158176000,-6447000,-174476000,106678000,106678000,1926000,108604000,213654000,2209046000,293758000,0.05913,0.04847,0.00338,0.00409,0.00096,25.4755,1.10008,3.24678,0.18466,0.07708,0.07605,22.78359,18.09253,1.96366,0.00182,0.04635,5.9611,7.7098
"48","2022_Q1",72.8009677419355,"Up",3353767000,-3136509000,217258000,-44365000,-44365000,172893000,-8656000,-25863000,11416000,5791000,164237000,150152000,-46200000,103952000,106307000,-10140000,96167000,96167000,1120790000,1120790000,2619491000,2619491000,2433262000,739044000,1477437000,6173543000,398876000,5161535000,54867000,3502499000,360260000,328906000,915003000,5560411000,11733954000,4315191000,2090479000,2174201000,53838000,1152686000,1152686000,5521715000,2157740000,1224922000,835598000,3382662000,8904377000,4116973000,-609044790.904193,-1404503000,2712470000,117107000,2829577000,11733954000,106307000,47112000,-38941000,203604000,318082000,-19121000,5242000,-19415000,-6424000,-110905000,6339000,-117244000,-315000,-117644000,181023000,181023000,-1098000,179925000,220005000,2211578000,450688000,0.06478,0.05155,0.02867,0.03399,0.0082,4.68651,1.11805,3.14689,0.18848,0.6687,0.65607,23.32049,18.86122,3.13387,0.01535,0.07193,4.95801,6.30904
"49","2022_Q2",69.4632258064516,"Down",3266716000,-3066512000,200204000,-36501000,-36501000,163703000,-14559000,-25383000,7950000,2874000,149144000,145773000,-22556000,123217000,61277000,271000,61548000,61548000,967789000,967789000,2581708000,2581708000,2380771000,741739000,1463889000,5930268000,400902000,5111848000,50174000,3497763000,373301000,327500000,863110000,5512750000,11443018000,4364922000,2044125000,2320797000,48124000,1100417000,1100417000,5513463000,2157881000,1145435000,768222000,3303316000,8816779000,4085333000,-676902000,-899172000,2510672000,115567000,2626239000,11443018000,61277000,41373000,60130000,32075000,194855000,-32119000,1602000,-48571000,-18662000,-253942000,8366000,-262308000,-16299000,-288903000,-142619000,-142619000,-790000,-143409000,205076000,2206005000,227588000,0.06129,0.05011,0.01884,0.02344,0.00538,3.69773,1.0756,3.35719,0.19278,0.42798,0.41989,22.71518,17.44819,1.58254,0.0103,0.03807,6.03784,7.5638
"50","2022_Q3",70.58828125,"Up",3213658000,-3003706000,209952000,-37098000,-37098000,172854000,-8925000,-24173000,11919000,3329000,163929000,90637000,-36011000,54626000,48513000,-6956000,41557000,41557000,829719000,829719000,2450085000,2450085000,2417372000,753727000,1526731000,5697176000,391564000,5107323000,45486000,3490544000,361319000,341452000,868522000,5498887000,11196063000,4196463000,1915617000,2280846000,42800000,1044215000,1044215000,5283478000,2166310000,1096622000,740936000,3262932000,8546410000,4102312000,-706783000,-864087000,2531442000,118211000,2649653000,11196063000,48513000,43803000,26710000,-120653000,-1627000,-15791000,129000,-45321000,-8608000,-46818000,3668000,-50486000,-3104000,-79728000,-126676000,-126676000,2464000,-124212000,216657000,2209110000,116224000,0.06533,0.05379,0.01293,0.01568,0.00371,2.79674,1.0783,3.22548,0.19731,0.29311,0.28732,22.66683,17.85497,0.81976,0.01054,0.01952,6.3667,7.98009
