"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"35","2019_Q2",40.8479365079365,"Up",49544000,-70570000,-21026000,-9588000,-9588000,-30614000,2252000,2252000,-28362000,-30434000,521000,-29913000,-29913000,-29800000,-29800000,255764000,132388000,48203000,48203000,69194000,69194000,373161000,20850000,39150000,30766000,6e+07,433161000,64126000,34426000,29700000,6900000,6900000,71026000,645000,645000,645000,71671000,149278000,213921000,361799000,-309000,361490000,433161000,-29913000,-29913000,829000,1465000,-8763000,-36382000,-1985000,7015000,1567000,1567000,-2328000,-31695000,-31695000,-31930000,-29785000,0,-41054000,-0.42439,-0.61792,-0.60149,-0.08244,-0.0688,1.37765,5.25386,0.19827,0,-1.91234,-1.91234,3.17936,23.21754,-2.63454,-0.07153,-0.11337,8.58701,8.35448
"36","2019_Q3",35.40703125,"Down",63059000,-60094000,2965000,-10038000,-10038000,-7073000,1642000,1642000,-5431000,-5431000,6411000,980000,979999.999999996,1154000.00000001,1154000.00000001,233624000,170710000,45989000,45989000,73524000,73524000,353137000,20903000,45684000,30766000,66587000,419724000,56956000,26028000,30928000,1758000,1758000,58714000,1941000,1941000,1941000,60655000,149791000,211167000,359552000,-483000,359069000,419724000,980000.000000007,979999.999999993,882000,-10538000,-8106000,-16782000,-1058000,58942000,4.65661287307739e-10,0,-3908000,38252000,38252000,38322000,-6191000,0,-21766000,0.04702,-0.11216,0.0182999999999998,0.00321,0.00275000000000002,-18.86135,6.01453,0.16892,0,0.0738200000000002,0.0738199999999998,4.03371,22.99955,-1.39231,0.01402,-0.06029,37.73607,33.0304
"37","2019_Q4",33.919375,"Down",58406000,-52414000,5992000,-12135000,-12135000,-6143000,3578000,3578000,-2565000,-2565000,-1996000,-4561000,-4561000,-6855000,-6855000,294589000,252482000,34880000,34880000,76431000,76431000,405900000,23211000,43606000,30766000,66817000,472717000,60536000,38249000,22287000,58421000,58421000,118957000,2342000,2342000,2342000,121299000,150377000,200401000,349607000,1811000,351418000,472717000,-4561000,-4561000,899000,10743000,61984000,69065000,-3265000,16735000,0,0,-3911000,81889000,81889000,81772000,-5244000,0,55471000,0.10259,-0.10518,-0.11737,-0.01951,-0.0145,-8.09205,3.41216,0.34517,0,-0.43844,-0.43844,3.73559,22.36054,3.54787,-0.00832,0.1568,56.17639,47.95523
"38","2020_Q1",36.8167741935484,"Up",67988000,-62739000,5249000,-12364000,-12364000,-7115000,602999.999999999,602999.999999999,-6512000,-9335000,2117000,-7218000,-7218000,-7188000,-7188000,327862000,167363000,37192000,37192000,56701000,56701000,421755000,22539000,43246000,27943000,65785000,487540000,71349000,35442000,35907000,72685000,72685000,144034000,2476000,2476000,2476000,146510000,151059000,189306000,339249000,1781000,341030000,487540000,-7218000,-7218000,2039000,609000,42234000,37664000,-750000.000000001,-118750000,63000.0000000001,62999.9999999999,-3844000,-84930000,-84930000,-85119000,-5076000,0,34291000,0.0772,-0.10465,-0.10572,-0.02108,-0.01474,-4.77059,2.92816,0.42961,0,-0.4598,-0.4598,4.34901,21.70083,2.1935,-0.00955,0.09983,64.59062,46.08039
"39","2020_Q2",34.1484126984127,"Down",60148000,-56139000,4009000,-10344000,-10344000,-6335000,1088000,1088000,-5247000,-5247000,4454000,-793000,-793000,-763000,-763000,363544000,262927000,22212000,22212000,69980000,69980000,455736000,22124000,35104000,27943000,57228000,512964000,63281000,34322000,28959000,109825000,109825000,173106000,2958000,2638000,2958000,176064000,151878000,184633000,335149000,1751000,336900000,512964000,-793000,-793000,937000,9788000,30255000,40187000,-684000,59316000,177000,177000,-3733000,95770000,95770000,95564000,-5398000,0,19719000,0.06665,-0.10532,-0.01269,-0.00226,-0.00149,-25.84404,2.6327,0.5226,0,-0.04878,-0.04878,3.84504,21.42485,1.26056,0.00926,0.05802,67.34791,57.38658
"40","2020_Q3",40.15359375,"Up",87492000,-71862000,15630000,-9085000,-9085000,6545000,451000,451000,6996000,6996000,-1397000,5599000,5599000,5609000,5609000,407628000,382424000,29660000,29660000,66168000,66168000,503456000,21692000,35959000,27943000,57651000,561107000,77427000,41242000,36185000,156008000,156008000,233435000,3525000,3525000,3525000,236960000,153198000,170653000,322406000,1741000,324147000,561107000,5599000,5599000,1372000,1354000,54389000,62714000,-449000,74551000,548000,548000,-19041000,118224000,118224000,119497000,7917000,0,63254000,0.17864,0.07481,0.06411,0.0173,0.01,11.27723,2.15673,0.73103,0,0.35833,0.35297,5.58947,20.59707,4.04101,0.0769,0.19304,-51.48768,-62.28083
"41","2020_Q4",41.60390625,"Up",127331000,-106988000,20343000,-9398000,-9398000,10945000,175000,175000,11120000,11120000,-1666000,9454000,9454000,9454000,9454000,443230000,353213000,30607000,30607000,64983000,64983000,538820000,20966000,35714000,27943000,56680000,595500000,100486000,48836000,51650000,160544000,160544000,261030000,3806000,3806000,3806000,264836000,154503000,176186000,328923000,1741000,330664000,595500000,9454000,9454000,1166000,1334000,27705000,39659000,-279000,-65279000,520000,520000,-3401000,-29021000,-29021000,-29211000,12111000,0,41203000,0.15976,0.08596,0.07425,0.02859,0.01588,4.35826,2.06421,0.80092,0,0.6029,0.59643,8.12008,20.97589,2.62757,0.03999,0.12319,-36.59731,-40.49612
"42","2021_Q1",45.8198360655738,"Up",117235000,-95150000,22085000,-10214000,-10214000,11871000,145000,145000,12016000,12016000,-2465000,9551000,9551000,9551000,9551000,456726000,366671000,28713000,28713000,60781000,60781000,546220000,20361000,36049000,27943000,56410000,602630000,104045000,53295000,50750000,172042000,172042000,276087000,4135000,4135000,4135000,280222000,155671000,166110000,320667000,1741000,322408000,602630000,9551000,9551000,1144000,568000,22190000,33453000,-285000,-1618000,396000,396000,-19231000,12604000,12604000,13458000,13015000,0,37385000,0.18838,0.10126,0.08147,0.02962,0.01585,3.91425,1.97843,0.86915,0,0.60854,0.60013,7.46958,20.43116,2.38197,0.08935,0.11449,-35.09228,-38.4741
"43","2021_Q2",47.5411111111111,"Up",126341000,-102627000,23714000,-9892000,-9892000,13822000,712000,712000,14534000,14534000,-3768000,10766000,10766000,10766000,10766000,466750000,396675000,32379000,32379000,59902000,59902000,559031000,19944000,38997000,27943000,58941000,617972000,83517000,41467000,42050000,199548000,199548000,283065000,4091000,4091000,4091000,287156000,157340000,172934000,329075000,1741000,330816000,617972000,10766000,10766000,1110000,1940000,3530000,17346000,-844000,15636000,1023000,1023000,-2919000,30063000,30063000,30004000,14932000,0,21386000,0.1877,0.1094,0.08521,0.03254,0.01742,1.98644,1.97492,0.86802,0,0.68713,0.68032,8.06363,21.003,1.36495,0.04392,0.06386,-31.25837,-33.76863
"44","2021_Q3",43.3684375,"Down",133008000,-105356000,27652000,-10331000,-10331000,17321000,-260000,-260000,17061000,17061000,-4191000,12870000,12870000,12870000,12870000,491480000,451415000,43120000,43120000,63056000,63056000,597656000,19209000,35124000,27943000,54333000,651989000,93625000,44317000,49308000,213722000,213722000,307347000,4107000,4107000,4107000,311454000,158270000,181862000,338794000,1741000,340535000,651989000,12870000,12351905.4338966,1084000,2837000,13047000,29838000,-167000,29268000,0,1.16415321826935e-10,-3942000,55164000,55164000,54740000,18405000,0,35476000,0.2079,0.13023,0.09676,0.03779,0.01974,2.75649,1.94456,0.9146,0,0.81725,0.80548,8.44602,21.51346,2.25273,0.04878,0.10294,-26.70361,-28.37481
"45","2021_Q4",40.3203125,"Down",124451000,-98316000,26135000,-11590000,-11590000,14545000,1117000,1117000,15662000,15662000,-3269000,12393000,12393000,12393000,12393000,481564000,391563000,35793000,35793000,42362000,42362000,559719000,18385000,35049000,27943000,53434000,613153000,82631000,39959000,42672000,176414000,176414000,259045000,4313000,4313000,4313000,263358000,159555000,190308000,348054000,1741000,349795000,613153000,12393000,12977740.5785288,1046000,1534000,-20458000,-5485000,-112000,-50112000,373000,373000,-3574000,-59171000,-59171000,-59852000,15591000,0,-1710000,0.21,0.11687,0.09958,0.03543,0.02021,-0.13798,2.1607,0.75289,0,0.78696,0.77563,7.90265,22.10147,-0.10859,0.04614,-0.00483,-30.88731,-33.10856
"46","2022_Q1",38.0493548387097,"Down",125570000,-103339000,22231000,-15508000,-15508000,6723000,983000,983000,7706000,-195000,-128000,-323000.000000002,-323000.000000002,2215000,2215000,440498000,350472000,26978000,26978000,39808000,39808000,507284000,10460000,35841000,28033000,46301000,553585000,95137000,41822000,53315000,127890000,127890000,223027000,4518815.00901505,4518539.01703159,4963000,227990000,160558000,188690000,326392000,-797000,325595000,553585000,10340933.1156095,11677455.4338966,1002809.97078397,1122131.16780837,-47898806.6334282,-35432932.3792263,-190074.456692983,-101402472.978344,-12187693.8089752,428407.460514877,-15657799.6160023,-152493204.973573,-152493204.973573,-154184382.376271,11485782.4135174,0,-35111747.2330207,0.17704,0.05354,0.01764,0.0068,0.004,-4.01683510712052,2.27454,0.70023,0,0.14137,0.13997,8.01442,20.83176,-2.31017117367375,0.0067,-0.109929405784227,-36.7044375820794,-65.52105
"47","2022_Q2",37.4346774193548,"Down",100277000,-80539000,19738000,-10575000,-10575000,9163000,595000,595000,9758000,9758000,-2273000,7485000,7485000,7485000,7485000,367484000,192255000,36047000,36047000,44060000,44060000,447591000,9936000,35283000,28033000,45219000,492810000,79307000,39942000,39365000,106967000,106967000,186274000,4523000,4523000,4523000,190797000,161544000,192463000,302810000,-797000,302013000,492810000,7485000,7485000,975000,1298000,-49488000,-39730000,-238000,-85238000,-27011000,66000,-30723000,-155691000,-155691000,-158217000,10138000,0,-37315000,0.19683,0.09138,0.07464,0.02478,0.01519,-4.9853,2.40286,0.63175,0,0.50201,0.49927,6.72549,20.30919,-2.50268,0.03653,-0.12173,-36.24818,-40.10521
"48","2022_Q3",34.6996875,"Down",118110000,-93723000,24387000,-10984000,-10984000,13403000,505000,505000,13908000,13908000,-9686000,4222000,4222000,4222000,4222000,318987000,143344000,24888000,24888000,34318000,34318000,378193000,9507000,35370000,28033000,44877000,423070000,77996000,38180000,39816000,64016000,64016000,142012000,4132554.97295486,4133382.94890523,4022000,146034000,162603000,193205000,277833000,-797000,277036000,423070000,4222000,-565675.723160988,980000,694000,-22942000,-17046000,-4e+05,-4e+05,-26091000,0,-29571000,-47017000,-47017000,-48911000,14383000,0,727000,0.20648,0.11348,0.03575,0.01524,0.00998,0.17219,2.66311,0.52713,0,0.29871,0.29634,8.35645,19.65707,0.05144,0.0274,0.00259,-22.17806,-23.79967
