"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_affiliates_net_of_taxes","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","inventories","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_change_in_long_term_investment","decrease_in_long_term_investment","increase_in_long_term_investment","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repayment_of_long_term_debt_net","repayments_of_long_term_debt","cash_from_long_term_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"29","2017_Q2",47.7080952380952,"Up",3.5714e+10,-2.244e+10,1.3274e+10,-1.2269e+10,-2.715e+09,-1.92e+09,-7.95e+08,-9.554e+09,1.005e+09,-5.2e+07,-1e+08,-1.39e+08,3.9e+07,4.8e+07,9.53e+08,9.53e+08,-2.29e+08,-449093.697025998,7.24e+08,7.24e+08,7.24e+08,7.24e+08,2.1531e+10,1.544e+10,6.091e+09,1.06e+10,3.946e+10,3.2632e+10,8.877e+09,3.823e+09,5.054e+09,4.1509e+10,8.0969e+10,3.1945e+10,1.8891e+10,1.3054e+10,3.7399e+10,1.4205e+10,1.4205e+10,2.1896e+10,5.9295e+10,1.7981e+10,5e+06,1.7976e+10,-1.837e+09,6.327e+09,-7.97e+08,2.1674e+10,2.1674e+10,8.0969e+10,7.24e+08,2.435e+09,7.72e+08,-5.55e+09,9.65e+08,9.47e+08,-6.865e+09,-5.97e+08,-1.619e+09,-1.861e+09,-2.148e+09,5.56e+08,1.91e+09,-1.354e+09,-4.5e+07,-1.35e+09,-8.88e+08,-8.88e+08,-9.09e+08,2.1e+07,-8.88e+08,-3.857e+09,-3.857e+09,2.24e+08,-3.633e+09,3.44e+09,7.691e+09,-3.742e+09,0.37167,0.02814,0.02027,0.0334,0.00894,-5.16851,1.05511,2.73577,0.09499,0.07589,0.07388,3.74361,2.27191,-0.39224,4,0.01662,-0.08588,-4.02326,-13.77114
"30","2017_Q3",49.1206349206349,"Up",3.7955e+10,-2.3451e+10,1.4504e+10,-1.3877e+10,-3.104e+09,-2.23e+09,-8.74e+08,-1.0773e+10,6.27e+08,3.8e+07,-9.9e+07,-1.43e+08,4.4e+07,1.37e+08,6.65e+08,6.65e+08,-4.66e+08,-2e+06,1.97e+08,1.97e+08,1.97e+08,1.97e+08,2.1451e+10,1.3203e+10,8.248e+09,1.151e+10,4.1007e+10,3.7083e+10,9.691e+09,4.254e+09,5.437e+09,4.6774e+10,8.7781e+10,3.5455e+10,2.1439e+10,1.4016e+10,4.052e+10,1.6364e+10,1.6364e+10,2.4047e+10,6.4567e+10,1.9134e+10,5e+06,1.9129e+10,-1.837e+09,6.524e+09,-6.07e+08,2.3214e+10,2.3214e+10,8.7781e+10,1.97e+08,2.633e+09,1.476e+09,-456999999.999999,-1.222e+09,-6.82e+08,2.088e+09,-6.41e+08,3.849e+09,-2.501e+09,-3.113e+09,-2.14e+09,2.07e+09,-4.21e+09,-6.33e+08,-5.274e+09,-1.275e+09,-1.275e+09,-1.324e+09,4.9e+07,-1.275e+09,-2.7e+09,-2.7e+09,2.5e+08,-2.45e+09,3.26e+09,7.683e+09,768000000.000001,0.38214,0.01652,0.00519,0.00849,0.00224,3.89848,1.01202,2.78138,0.08752,0.02056,0.02002,3.9619,2.42317,0.0801700000000001,5,0.00417,0.01625,-4.22331,-21.95853
"31","2017_Q4",55.0226984126984,"Up",4.3744e+10,-2.7548e+10,1.6196e+10,-1.5849e+10,-3.44e+09,-2.479e+09,-9.61e+08,-1.2409e+10,3.47e+08,-3e+07,-1.74e+08,-2.28e+08,5.4e+07,1.44e+08,3.17e+08,3.17e+08,-6e+07,-2e+06,2.55e+08,2.55e+08,2.55e+08,2.55e+08,2.431e+10,1.2767e+10,1.1543e+10,1.3711e+10,4.8578e+10,4.5335e+10,2.1354e+10,1.3271e+10,8.083e+09,6.6689e+10,1.15267e+11,4.1919e+10,2.6075e+10,1.5844e+10,4.7072e+10,1.8827e+10,1.8827e+10,4.3537e+10,9.0609e+10,2.0217e+10,5e+06,2.0212e+10,-1.837e+09,6.779e+09,-5.01e+08,2.4658e+10,2.4658e+10,1.15267e+11,2.55e+08,2.912e+09,9.25e+08,-3.15e+08,-1.759e+09,-1.593e+09,2.974e+09,6.3e+07,3.777e+09,-2.66e+09,-3.075e+09,-2.606e+09,2.211e+09,-4.817e+09,-1.3213e+10,-1.8479e+10,1.4662e+10,1.4662e+10,-1.387e+09,1.6049e+10,1.4662e+10,-4e+07,-4e+07,1.49e+08,1.09e+08,3.259e+09,2.471e+10,3.44e+08,0.37025,0.00793,0.00583,0.01034,0.00221,1.34902,1.03199,3.67463,0.21437,0.02651,0.02581,4.54719,2.5632,0.03576,4,0.00374,0.00504,0.12274,1.15274
"32","2018_Q1",71.5098360655738,"Up",6.0453e+10,-3.8495e+10,2.1958e+10,-1.9831e+10,-4.484e+09,-3.44e+09,-1.044e+09,-1.5347e+10,2.127e+09,-2.56e+08,-2.73e+08,-3.38e+08,6.5e+07,1.7e+07,1.871e+09,1.871e+09,-1.4e+07,0,1.857e+09,1.857e+09,1.857e+09,1.857e+09,3.0986e+10,2.0522e+10,1.0464e+10,1.6047e+10,6.0197e+10,4.8866e+10,2.2247e+10,1.335e+10,8.897e+09,7.1113e+10,1.3131e+11,5.2786e+10,3.4616e+10,1.817e+10,5.7883e+10,2.0975e+10,2.0975e+10,4.5718e+10,1.03601e+11,2.1394e+10,5e+06,2.1389e+10,-1.837e+09,8.636e+09,-4.84e+08,2.7709e+10,2.7709e+10,1.3131e+11,1.857e+09,3.498e+09,9.23e+08,6.08e+09,-2.764e+09,-2.255e+09,8.903e+09,2.196e+09,1.2358e+10,-3.036e+09,-3.619e+09,1.136e+09,3.486e+09,-2.35e+09,-8.1e+07,-1.981e+09,-2.571e+09,-2.571e+09,-2.68e+09,1.09e+08,-2.571e+09,7.806e+09,7.806e+09,9e+07,7.896e+09,5.625e+09,2.4743e+10,8.683e+09,0.36322,0.03518,0.03072,0.06702,0.01414,4.67582,1.03998,3.73889,0.18843,0.19224,0.1872,6.25807,2.86843,0.89886,5,0.02529,0.11825,-1.10987,-2.93512
"33","2018_Q2",79.37140625,"Up",5.1042e+10,-3.0735e+10,2.0307e+10,-1.838e+10,-3.766e+09,-2.699e+09,-1.067e+09,-1.4614e+10,1.927e+09,-1.1e+07,-2.5e+08,-3.3e+08,8e+07,2.39e+08,1.916e+09,1.916e+09,-2.87e+08,3532778.84298097,1.629e+09,1.629e+09,1.629e+09,1.629e+09,2.4963e+10,1.6676e+10,8.287e+09,1.384e+10,5.0829e+10,5.2331e+10,2.3202e+10,1.3388e+10,9.814e+09,7.5533e+10,1.26362e+11,4.1863e+10,2.5172e+10,1.6691e+10,4.8045e+10,2.2214e+10,2.2214e+10,4.6854e+10,9.4899e+10,2.2568e+10,5e+06,2.2563e+10,-1.837e+09,1.1199e+10,-4.67e+08,3.1463e+10,3.1463e+10,1.26362e+11,1.629e+09,3.671e+09,1.195e+09,-8.286e+09,1.029e+09,2.22e+09,-1.0216e+10,-1.319e+09,-1.791e+09,-2.727e+09,-3.098e+09,2.207e+09,2.677e+09,-4.7e+08,-1.3e+07,-5.33e+08,-2.164e+09,-2.164e+09,-2.289e+09,1.25e+08,-2.164e+09,-4.488e+09,-4.488e+09,2.48e+08,-4.24e+09,5.598e+09,2.464e+10,-5.128e+09,0.39785,0.03775,0.03191,0.05178,0.01289,-3.14794,1.05795,3.01621,0.195,0.16829,0.16355,5.27293,3.25031,-0.52975,4,0.0208,-0.06548,-0.0577,-0.16762
"34","2018_Q3",94.0349206349206,"Up",5.2886e+10,-3.0632e+10,2.2254e+10,-1.927e+10,-4.011e+09,-2.901e+09,-1.11e+09,-1.5259e+10,2.984e+09,-3.8e+08,-2.5e+08,-3.43e+08,9.3e+07,-1.3e+08,2.604e+09,2.604e+09,-73999999.9999999,4e+06,2.534e+09,2.534e+09,2.534e+09,2.534e+09,2.705e+10,1.9823e+10,7.227e+09,1.4824e+10,5.4481e+10,5.4768e+10,2.4851e+10,1.3944e+10,1.0907e+10,7.9619e+10,1.341e+11,4.4797e+10,2.7657e+10,1.714e+10,5.0801e+10,2.3666e+10,2.3666e+10,4.8304e+10,9.9105e+10,2.4033e+10,5e+06,2.4028e+10,-1.837e+09,1.3733e+10,-9.34e+08,3.4995e+10,3.4995e+10,1.341e+11,2.534e+09,3.63e+09,1.525e+09,-239999999.999996,-1.365e+09,-1.09e+09,2.703e+09,-4.88e+08,7.449e+09,-2.949e+09,-3.243e+09,1.123e+09,1.66e+09,-5.37e+08,-8.66e+08,-2.692e+09,-1.392e+09,-1.392e+09,-1.488e+09,95999999.9999995,-1.392e+09,3.365e+09,3.365e+09,-4.45e+08,2.92e+09,6.614e+09,2.4638e+10,3.499e+09,0.42079,0.05642,0.04791,0.07241,0.0189,1.38082,1.07244,2.83198,0.18373,0.2607,0.2534,5.44095,3.60031,0.35998,6,0.03042,0.04201,-0.36468,-0.80831
"35","2018_Q4",83.1369841269841,"Down",5.6576e+10,-3.3003e+10,2.3573e+10,-1.9849e+10,-4.344e+09,-3.302e+09,-1.042e+09,-1.5505e+10,3.724e+09,-3.33e+08,-2.4e+08,-3.57e+08,1.17e+08,-9.3e+07,3.391e+09,3.391e+09,-5.09e+08,1e+06,2.883e+09,2.883e+09,2.883e+09,2.883e+09,2.9765e+10,2.0425e+10,9.34e+09,1.5862e+10,5.9885e+10,5.8019e+10,2.5791e+10,1.4553e+10,1.1238e+10,8.381e+10,1.43695e+11,4.9324e+10,3.0904e+10,1.842e+10,5.5324e+10,2.4562e+10,2.4562e+10,4.9246e+10,1.0457e+11,2.538e+10,5e+06,2.5375e+10,-1.837e+09,1.6616e+10,-1.034e+09,3.9125e+10,3.9125e+10,1.43695e+11,2.883e+09,3.778e+09,1.773e+09,1.54e+08,-2.884e+09,-1.094e+09,3.895e+09,2.37e+08,8.588e+09,-2.527e+09,-3.352e+09,-2.069e+09,1.964e+09,-4.033e+09,-9.76e+08,-5.572e+09,-2.369e+09,-2.369e+09,-2.511e+09,1.42e+08,-2.369e+09,6.47e+08,6.47e+08,-1.51e+08,4.96e+08,7.502e+09,2.4684e+10,5.638e+09,0.41666,0.06582,0.05096,0.07369,0.02006,1.9556,1.08244,2.67272,0.17178,0.29539,0.28772,5.79672,4.00871,0.57766,7,0.03262,0.0638,-0.67729,-1.36439
"36","2019_Q1",83.2172131147541,"Up",7.2383e+10,-4.4786e+10,2.7597e+10,-2.3811e+10,-6.029e+09,-4.912e+09,-1.117e+09,-1.7782e+10,3.786e+09,-4.36e+08,-2.37e+08,-3.87e+08,1.5e+08,-1.99e+08,3.35e+09,3.35e+09,-3.27e+08,4e+06,3.027e+09,3.027e+09,3.027e+09,3.027e+09,4.125e+10,3.175e+10,9.5e+09,1.7174e+10,7.5101e+10,6.1797e+10,2.575e+10,1.4548e+10,1.1202e+10,8.7547e+10,1.62648e+11,6.1855e+10,3.8192e+10,2.3663e+10,6.8391e+10,2.7213e+10,2.7213e+10,5.0708e+10,1.19099e+11,2.6796e+10,5e+06,2.6791e+10,-1.837e+09,1.9625e+10,-1.035e+09,4.3549e+10,4.3549e+10,1.62648e+11,3.027e+09,4.262e+09,1.859e+09,7.329e+09,-1.395e+09,-1.35e+09,6.881e+09,3.193e+09,1.6477e+10,-3.12e+09,-3.734e+09,-1.21e+08,1.939e+09,-2.06e+09,-3.31e+08,-3.572e+09,-1.761e+09,-1.943e+09,-2.466e+09,5.23e+08,-1.761e+09,1.1144e+10,1.1144e+10,-3000000.00000006,1.1141e+10,8.048e+09,2.3495e+10,1.2584e+10,0.38126,0.05231,0.04182,0.06951,0.01861,4.15725,1.09811,2.73483,0.14445,0.30888,0.3021,7.38602,4.44378,1.28408,7,0.03211,0.13351,-2.20614,-4.68965
"37","2019_Q2",93.1493650793651,"Up",5.97e+10,-3.392e+10,2.578e+10,-2.136e+10,-4.837e+09,-3.664e+09,-1.173e+09,-1.6523e+10,4.42e+09,-1.9e+07,-1.83e+08,-3.66e+08,1.83e+08,1.64e+08,4.401e+09,4.401e+09,-8.36e+08,-4e+06,3.561e+09,3.561e+09,3.561e+09,3.561e+09,3.702e+10,2.3115e+10,1.3905e+10,1.6432e+10,6.9431e+10,6.1048e+10,4.7623e+10,1.4708e+10,3.2915e+10,1.08671e+11,1.78102e+11,5.6397e+10,3.1809e+10,2.4588e+10,6.3695e+10,4.2675e+10,4.2675e+10,6.5997e+10,1.29692e+11,2.8064e+10,5e+06,2.8059e+10,-1.837e+09,2.3193e+10,-1.01e+09,4.841e+10,4.841e+10,1.78102e+11,3.561e+09,4.854e+09,1.541e+09,-8.11e+09,-4.01e+08,7.19e+08,-6.384e+09,-2.044e+09,1.846e+09,-2.721e+09,-3.29e+09,-4.233e+09,2.643e+09,-6.876e+09,-1.169e+09,-8.123e+09,-2.377e+09,-2.377e+09,-2.567e+09,1.9e+08,-2.377e+09,-8.654e+09,-8.654e+09,-1.2e+07,-8.666e+09,9.274e+09,2.3322e+10,-7.21e+08,0.43183,0.07404,0.05965,0.07356,0.01999,-0.20247,1.09005,2.67903,0.13095,0.36263,0.35468,6.07943,4.92974,-0.07342,6,0.03113,-0.0063,-1.47703,-3.0991
"38","2019_Q3",92.728125,"Down",6.3404e+10,-3.6337e+10,2.7067e+10,-2.3983e+10,-5.562e+09,-4.291e+09,-1.271e+09,-1.8421e+10,3.084e+09,-1.94e+08,-1.68e+08,-3.83e+08,2.15e+08,-2.6e+07,2.89e+09,2.89e+09,-2.58e+08,-7e+06,2.625e+09,2.625e+09,2.625e+09,2.625e+09,4.1463e+10,2.2616e+10,1.8847e+10,1.858e+10,7.679e+10,6.4723e+10,4.9838e+10,1.4727e+10,3.5111e+10,1.14561e+11,1.91351e+11,6.2203e+10,3.6063e+10,2.614e+10,6.9678e+10,4.5283e+10,4.5283e+10,6.8612e+10,1.3829e+11,3.004e+10,5e+06,3.0035e+10,-1.837e+09,2.5818e+10,-9.6e+08,5.3061e+10,5.3061e+10,1.91351e+11,2.625e+09,5.202e+09,2.149e+09,-858999999.999996,-2.193e+09,-2.1e+09,3.668e+09,-233999999.999999,9.117e+09,-2.643e+09,-3.562e+09,-4.79e+09,5.161e+09,-9.951e+09,-1.16e+08,-7.549e+09,-2.158e+09,-2.465e+09,-2.441e+09,-2.4e+07,-2.158e+09,-589999999.999996,-589999999.999996,4.8e+07,-541999999.999996,8.286e+09,2.3329e+10,5.042e+09,0.4269,0.04864,0.0414,0.04947,0.01372,1.92076,1.10207,2.60625,0.12192,0.26623,0.26042,6.43043,5.38144,0.51136,6,0.02157,0.04144,-2.18851,-5.88003
"39","2019_Q4",88.50859375,"Down",6.9982e+10,-4.1302e+10,2.868e+10,-2.5522e+10,-6.099e+09,-4.752e+09,-1.347e+09,-1.9423e+10,3.158e+09,-5.26e+08,-1.73e+08,-3.96e+08,2.23e+08,-3.53e+08,2.632e+09,2.632e+09,-4.94e+08,-4e+06,2.134e+09,2.134e+09,2.134e+09,2.134e+09,4.3401e+10,2.3255e+10,2.0146e+10,1.8766e+10,7.9054e+10,6.7662e+10,5.2383e+10,1.4734e+10,3.7649e+10,1.20045e+11,1.99099e+11,6.4755e+10,3.5794e+10,2.8961e+10,7.2136e+10,4.7983e+10,4.7983e+10,7.0455e+10,1.42591e+11,3.1822e+10,5e+06,3.1817e+10,-1.837e+09,2.7952e+10,-1.429e+09,5.6508e+10,5.6508e+10,1.99099e+11,2.134e+09,5.563e+09,2.306e+09,-2.111e+09,-1.182e+09,-3.81e+08,2.26e+08,-7.74e+08,7.892e+09,-3.385e+09,-4.697e+09,-1.289e+09,7.252e+09,-8.541e+09,-3.99e+08,-5.073e+09,-1.96e+09,-2.375e+09,-2.662e+09,2.87e+08,-1.96e+09,8.59e+08,8.59e+08,-2.7e+08,5.89e+08,8.721e+09,2.2472e+10,3.719e+09,0.40982,0.04513,0.03049,0.03776,0.01072,1.74274,1.0959,2.52338,0.11287,0.21556,0.21213,7.06889,5.70788,0.37566,5,0.01681,0.02929,-2.39984,-6.6273
"40","2020_Q1",96.7874193548387,"Up",8.7436e+10,-5.3977e+10,3.3459e+10,-2.958e+10,-7.583e+09,-6.171e+09,-1.412e+09,-2.1997e+10,3.879e+09,1.74e+08,-2.44e+08,-4.55e+08,2.11e+08,4.18e+08,4.053e+09,4.053e+09,-7.86e+08,1e+06,3.268e+09,3.268e+09,3.268e+09,3.268e+09,5.5021e+10,3.6092e+10,1.8929e+10,2.0497e+10,9.6334e+10,7.2705e+10,5.6209e+10,1.4754e+10,4.1455e+10,1.28914e+11,2.25248e+11,7.9622e+10,4.7183e+10,3.2439e+10,8.7812e+10,5.1962e+10,5.1962e+10,7.5376e+10,1.63188e+11,3.3663e+10,5e+06,3.3658e+10,-1.837e+09,3.122e+10,-9.86e+08,6.206e+10,6.206e+10,2.25248e+11,3.268e+09,6.17e+09,1.579e+09,8.642e+09,-3.905e+09,-1.516e+09,1.0683e+10,3.38e+09,1.9659e+10,-3.94e+09,-5.312e+09,1.181e+09,7.625e+09,-6.444e+09,-7.77e+08,-3.536e+09,-3.571e+09,-4.251e+09,-4.669e+09,4.18e+08,-3.571e+09,1.2552e+10,1.2552e+10,3.04e+08,1.2856e+10,1.0049e+10,2.3414e+10,1.5537e+10,0.38267,0.04436,0.03738,0.05266,0.01451,4.75428,1.09705,2.62952,0.10395,0.32877,0.32229,8.79638,6.24346,1.56308,5,0.02378,0.11305,-3.14529,-8.14823
"41","2020_Q2",120.781111111111,"Up",7.5452e+10,-4.4257e+10,3.1195e+10,-2.7206e+10,-6.28e+09,-4.828e+09,-1.452e+09,-2.0926e+10,3.989e+09,-6.06e+08,-2e+08,-4.02e+08,2.02e+08,-4.06e+08,3.383e+09,3.383e+09,-7.44e+08,-1.04e+08,2.535e+09,2.535e+09,2.535e+09,2.535e+09,4.9292e+10,2.7201e+10,2.2091e+10,1.8857e+10,8.5985e+10,7.7779e+10,5.7474e+10,1.4739e+10,4.2735e+10,1.35253e+11,2.21238e+11,7.0847e+10,4.0056e+10,3.0791e+10,7.9711e+10,5.2818e+10,5.2818e+10,7.6255e+10,1.55966e+11,3.5417e+10,5e+06,3.5412e+10,-1.837e+09,3.3755e+10,-2.063e+09,6.5272e+10,6.5272e+10,2.21238e+11,2.535e+09,5.362e+09,2.711e+09,-7.544e+09,1.262e+09,1.392e+09,-8.044e+09,-2.154e+09,3.064e+09,-5.428e+09,-6.795e+09,-3.375e+09,1.1626e+10,-1.5001e+10,-9.1e+07,-8.894e+09,-2.591e+09,-3.208e+09,-3.284e+09,7.6e+07,-2.591e+09,-8.421e+09,-8.421e+09,-4.84e+08,-8.905e+09,9.351e+09,2.3437e+10,-2.877e+09,0.41344,0.05287,0.0336,0.03884,0.01146,-1.13491,1.07871,2.38948,0.10594,0.25452,0.25049,7.5755,6.55341,-0.28886,4,0.01791,-0.02033,-2.76494,-6.48157
"42","2020_Q3",157.6521875,"Up",8.8912e+10,-5.266e+10,3.6252e+10,-3.0409e+10,-5.925e+09,-4.345e+09,-1.58e+09,-2.4484e+10,5.843e+09,3.78e+08,-2.68e+08,-4.03e+08,1.35e+08,6.46e+08,6.221e+09,6.221e+09,-9.85e+08,7e+06,5.243e+09,5.243e+09,5.243e+09,5.243e+09,7.1391e+10,3.7466e+10,3.3925e+10,1.9599e+10,1.10908e+11,8.6517e+10,6.0889e+10,1.4751e+10,4.6138e+10,1.47406e+11,2.58314e+11,8.4899e+10,5.1036e+10,3.3863e+10,9.3896e+10,5.7562e+10,5.7562e+10,9.069e+10,1.84586e+11,3.8022e+10,5e+06,3.8017e+10,-1.837e+09,3.8998e+10,-1.455e+09,7.3728e+10,7.3728e+10,2.58314e+11,5.243e+09,5.748e+09,2.578e+09,7.036e+09,-2.854e+09,-6.72e+08,8.617e+09,1.945e+09,2.0605e+10,-6.614e+09,-7.459e+09,-1.1071e+10,8.138e+09,-1.9209e+10,-1.19e+08,-1.7804e+10,7.408e+09,4.975e+09,-4.943e+09,9.918e+09,7.408e+09,1.0209e+10,1.0209e+10,1.28e+08,1.0337e+10,1.1591e+10,3.3128e+10,1.2998e+10,0.40773,0.06572,0.05897,0.07111,0.0203,2.47912,1.18118,2.50361,0.12825,0.5243,0.51402,8.8912,7.3728,1.2998,6,0.03189,0.07905,-3.3011,-6.54852
"43","2020_Q4",159.5778125,"Up",9.6145e+10,-5.7106e+10,3.9039e+10,-3.2845e+10,-7.1e+09,-5.432e+09,-1.668e+09,-2.5745e+10,6.194e+09,6.15e+08,-3.1e+08,-4.28e+08,1.18e+08,9.25e+08,6.809e+09,6.809e+09,-5.69e+08,9.1e+07,6.331e+09,6.331e+09,6.331e+09,6.331e+09,6.8402e+10,2.993e+10,3.8472e+10,2.3735e+10,1.12969e+11,9.9981e+10,6.9229e+10,1.496e+10,5.4269e+10,1.6921e+11,2.82179e+11,9.2661e+10,5.8334e+10,3.4327e+10,1.01912e+11,6.4563e+10,6.4563e+10,9.7492e+10,1.99404e+11,4.0312e+10,5e+06,4.0307e+10,-1.837e+09,4.5329e+10,-1.029e+09,8.2775e+10,8.2775e+10,2.82179e+11,6.331e+09,6.523e+09,1.6e+09,-2.49e+09,-2.016e+09,-3.898e+09,3.658e+09,-2.34e+08,1.1964e+10,-9.808e+09,-1.1063e+10,-4.333e+09,1.3135e+10,-1.7468e+10,-1.735e+09,-1.5876e+10,-4.105e+09,-1.1049e+10,-5.416e+09,-5.633e+09,-4.105e+09,-8.017e+09,-8.017e+09,3.77e+08,-7.64e+09,1.2717e+10,3.2929e+10,9.88e+08,0.40604,0.06442,0.06585,0.07648,0.02244,0.15606,1.1085,2.40899,0.1167,0.63058,0.61947,9.5762,8.24452,0.09841,5,0.03512,0.00548,-2.78942,-5.72699
"44","2021_Q1",158.512131147541,"Down",1.25555e+11,-7.9284e+10,4.6271e+10,-3.9398e+10,-9.371e+09,-7.403e+09,-1.968e+09,-3.0027e+10,6.873e+09,8.92e+08,-3.14e+08,-4.14e+08,1e+08,1.206e+09,7.765e+09,7.765e+09,-5.65e+08,2.2e+07,7.222e+09,7.222e+09,7.222e+09,7.222e+09,8.4396e+10,4.2122e+10,4.2274e+10,2.3795e+10,1.32733e+11,1.13114e+11,7.5348e+10,1.5017e+10,6.0331e+10,1.88462e+11,3.21195e+11,1.16677e+11,7.2539e+10,4.4138e+10,1.26385e+11,6.959e+10,6.959e+10,1.01406e+11,2.27791e+11,4.287e+10,5e+06,4.2865e+10,-1.837e+09,5.2551e+10,-1.8e+08,9.3404e+10,9.3404e+10,3.21195e+11,7.222e+09,7.618e+09,-8.88e+08,1.6479e+10,-4.561e+09,3.29e+08,1.3249e+10,7.462e+09,3.0431e+10,-1.3194e+10,-1.4823e+10,-3.463e+09,1.7338e+10,-2.0801e+10,-3.8e+08,-1.7037e+10,-1.816e+09,1.382e+09,-4.782e+09,6.164e+09,-1.816e+09,1.1578e+10,1.1578e+10,5.97e+08,1.2175e+10,1.4491e+10,3.1816e+10,1.8341e+10,0.36853,0.05474,0.05752,0.07732,0.02248,2.5396,1.05023,2.43877,0.09906,0.7222,0.7039,12.5555,9.3404,1.8341,6,0.03707,0.09415,-3.62846,-7.65023
"45","2021_Q2",166.198571428571,"Up",1.08518e+11,-6.2403e+10,4.6115e+10,-3.725e+10,-8.194e+09,-6.207e+09,-1.987e+09,-2.9056e+10,8.865e+09,1.403e+09,-2.94e+08,-3.99e+08,1.05e+08,1.697e+09,1.0268e+10,1.0268e+10,-2.156e+09,-5e+06,8.107e+09,8.107e+09,8.107e+09,8.107e+09,7.327e+10,3.3834e+10,3.9436e+10,2.3849e+10,1.21408e+11,1.21461e+11,8.0208e+10,1.522e+10,6.4988e+10,2.01669e+11,3.23077e+11,1.04865e+11,6.3926e+10,4.0939e+10,1.15404e+11,7.2485e+10,7.2485e+10,1.04353e+11,2.19757e+11,4.5165e+10,5e+06,4.516e+10,-1.837e+09,6.0658e+10,-6.66e+08,1.0332e+11,1.0332e+11,3.23077e+11,8.107e+09,7.508e+09,2.583e+09,-1.3985e+10,-2.255e+09,-3.04e+08,-8.266e+09,-3.16e+09,4.213e+09,-1.1187e+10,-1.2082e+10,3.151e+09,1.7826e+10,-1.4675e+10,-6.3e+08,-8.666e+09,-3.476e+09,-5.402e+09,-5.513e+09,1.11e+08,-3.476e+09,-7.929e+09,-7.929e+09,-2.93e+08,-8.222e+09,1.6373e+10,3.1868e+10,-6.643e+09,0.42495,0.08169,0.07471,0.07846,0.02509,-0.81942,1.05203,2.12696,0.09864,0.80427,0.79016,10.76567,10.25,-0.65903,6,0.03904,-0.03199,-2.52868,-4.67028
"46","2021_Q3",172.49375,"Up",1.1308e+11,-6.4176e+10,4.8904e+10,-4.1202e+10,-9.682e+09,-7.524e+09,-2.158e+09,-3.152e+10,7.702e+09,9.32e+08,-3.29e+08,-4.35e+08,1.06e+08,1.261e+09,8.634e+09,8.634e+09,-8.68e+08,1.2e+07,7.778e+09,7.778e+09,7.778e+09,7.778e+09,8.9894e+10,4.038e+10,4.9514e+10,2.4119e+10,1.40848e+11,1.33502e+11,8.5969e+10,1.535e+10,7.0619e+10,2.19471e+11,3.60319e+11,1.07097e+11,6.609e+10,4.1007e+10,1.17792e+11,7.7445e+10,7.7445e+10,1.27724e+11,2.45516e+11,4.8729e+10,5e+06,4.8724e+10,-1.837e+09,6.8436e+10,-5.25e+08,1.14803e+11,1.14803e+11,3.60319e+11,7.778e+09,8.038e+09,3.052e+09,-6.153e+09,-4.462e+09,-2.09e+08,47000000.0000038,-1.529e+09,1.2715e+10,-1.2988e+10,-1.4288e+10,-8.772e+09,1.3213e+10,-2.1985e+10,-3.2e+08,-2.208e+10,1.5643e+10,1.4467e+10,-4.049e+09,1.8516e+10,1.5643e+10,6.278e+09,6.278e+09,2.34e+08,6512000000.00001,1.574e+10,5.0279e+10,-2.533e+09,0.43247,0.06811,0.06878,0.06775,0.02159,-0.32566,1.19573,2.13859,0.13954,0.77163,0.75809,11.21825,11.38919,-0.25129,6,0.03207,-0.01044,-2.51684,-5.14347
