"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"28","2017_Q1",27.9606451612903,"Up",349063000,-161729000,187334000,-94925000,-80323000,-14602000,92409000,-11359000,-4122000,-7237000,81050000,-110970000,6757000,-104213000,-104213000,-104213000,-104213000,52365000,52365000,218365000,218365000,201609000,31023000,31023000,503362000,189596000,550151000,259849000,178336000,86653000,25313000,739747000,1243109000,97185000,39988000,20088000,37109000,8913000,71887000,71887000,177985000,305685000,185619000,159250000,491304000,669289000,509228000,206820000,-142228000,573820000,573820000,1243109000,-104213000,11444000,169920000,-8864999.99999999,68286000,-7766000,-303000,-184000,-8253000,-18376000,-48741000,4620000,7067000,-2447000,-860000,-63357000,-3324000,-3324000,2079000,-1245000,103853000,314598000,80465000,0.53668,0.26473,-0.29855,-0.18161,-0.08383,-0.772120000000001,2.82811,1.16637,0.25307,-0.60813,-0.60813,2.03694,3.34851,0.46955,0.10723,-0.07992,0.07492,-0.17633,2.52504,2.83774
"29","2017_Q2",33.004126984127,"Up",340590000,-154745000,185845000,-98410000,-84151000,-14259000,87435000,-5860000,-4055000,-1805000,81575000,81575000,-20843000,60732000,60732000,60732000,60732000,76568000,76568000,244395000,244395000,214946000,20739000,20739000,556648000,191948000,565254000,269328000,182846000,87175000,25905000,757202000,1313850000,90823000,43908000,20160000,26755000,84380000,78504000,78504000,253707000,302655000,190477000,161562000,493132000,746839000,536717000,164970000,-134676000,567011000,567011000,1313850000,60732000,11094000,4613000,-26215000,50224000,-8200000,-9968000,576000,-17592000,-20118000,72231000,-60033000,30127000,-90160000,-9562981.89371822,-7920000,24712000,24712000,-509000,24203000,98529000,387035000,84957000,0.54566,0.25672,0.17831,0.10711,0.04622,1.39888,2.19406,1.31715,0.29458,0.35078,0.35078,1.96718,3.27495,0.4907,0.1162,0.07064,0.07423,0.33126,3.15102,3.55083
"30","2017_Q3",35.5739682539683,"Up",379483000,-174973000,204510000,-104100000,-89438000,-14662000,100410000,-4806000,-4154000,-652000,95604000,95604000,-15776000,79828000,79828000,79828000,79828000,75446000,75446000,259900000,259900000,221441000,22918000,22918000,579705000,193610000,568462000,273098000,183883000,85537000,25944000,762072000,1341777000,103400000,44447000,20140000,38813000,86066000,74623000,74623000,264089000,236015000,190111000,163552000,426126000,690215000,549320000,224822000,-122580000,651562000,651562000,1341777000,79828000,11268000,6184999.99999997,-11814000,85467000,-8421000,63000,-474000,-8832000,-19997000,-65333000,16566000,16566000,-1.49011611938477e-08,-10735000,-79499000,-2863999.99999999,-2863999.99999999,842000,-2022000,111678000,322081000,107219000,0.53892,0.2646,0.21036,0.12252,0.05949,1.34313,2.19511,1.05932,0.24004,0.45936,0.45936,2.18369,3.74933,0.61698,0.11507,0.08578,0.09213,0.2505,2.20845,2.45628
"31","2017_Q4",40.5485714285714,"Up",379812000,-175732000,204080000,-102645000,-88093000,-14552000,101435000,-5043000,-3901000,-1142000,96392000,96392000,-20932000,75460000,75460000,75460000,75460000,1.4e+08,1.4e+08,258632000,258632000,222878000,20889000,20889000,642399000,199428000,562396000,272858000,181108000,81756000,26674000,761824000,1404223000,116373000,46603000,20196000,49574000,81215000,90683000,90683000,288271000,2.25e+08,170963000,145224000,395963000,684234000,560187000,280355000,-120553000,719989000,719989000,1404223000,75460000,11258000,8414000,15325000,110457000,-12278000,-3e+06,-226000,-15504000,-20158000,-15944000,6729000,6729000,0,0,-29373000,65580000,65580000,-1475000,64105000,112693000,306215000,136672000,0.53732,0.26707,0.19868,0.10481,0.05374,1.81118,2.22846,0.95034,0.21807,0.43216,0.43216,2.17518,4.12336,0.78272,0.11544,0.07987,0.11416,0.26713,1.47494,1.63864
"32","2018_Q1",42.856393442623,"Up",374859000,-174092000,200767000,-111302000,-95558000,-15744000,89465000,-15942000,-4092000,-11850000,73523000,73523000,-37131000,36392000,36392000,36392000,36392000,103662000,103662000,266080000,266080000,239349000,34247000,34247000,643338000,204298000,542981000,278789000,183056000,50916000,30220000,747279000,1390617000,126892000,48748000,22260000,55884000,6578000,112368000,112368000,245838000,226035000,195681000,172411000,421716000,667554000,669253000,181599000,-127789000,723063000,723063000,1390617000,36392000,11963000,38886000,4475000,91716000,-11295000,-1.5e+07,-224000,-26519000,-20204000,-73630000,7263000,7263000,3.72529029846191e-09,-13713000,-100284000,-35087000,-35087000,110000,-34977000,101428000,232613000,131739000,0.53558,0.23866,0.09708,0.05033,0.02617,3.62,2.61692,0.92323,0.16727,0.20708,0.20708,2.133,4.11432,0.74961,0.11496,0.04916,0.11442,0.55518,1.27136,1.44136
"33","2018_Q2",43.20375,"Up",406348000,-183927000,222421000,-110725000,-95436000,-15289000,111696000,-4268000,-3233000,-1035000,107428000,107428000,-21918000,85510000,85510000,85510000,85510000,113832000,113832000,292144000,292144000,267298000,42960000,42960000,716234000,207676000,567621000,298087000,186823000,52124000,30587000,775297000,1491531000,118412000,60096000,22446000,35870000,11931000,150287000,150287000,280630000,285195000,198527000,175349000,483722000,764352000,683726000,176524000,-133071000,727179000,727179000,1491531000,85510000,12651000,4585000,-43994000,58752000,-8961000,-10880000,26000,-19815000,-22445000,61687000,-67403000,17316000,-84719000,-22938419.4547809,-28161000,10776000,10776000,-606000,10170000,124347000,297126000,93310000,0.54737,0.27488,0.21044,0.11759,0.05733,1.09122,2.55224,1.05112,0.19921,0.48682,0.48682,2.31341,4.13996,0.53123,0.12778,0.08828,0.07631,0.26248,1.47405,1.64101
"34","2018_Q3",44.0474603174603,"Up",424570000,-194667000,229903000,-116525000,-100413000,-16112000,113378000,-8142000,-3891000,-4251000,105236000,105236000,-16096000,89140000,89140000,89140000,89140000,109854000,109854000,290946000,290946000,271729000,36757000,36757000,709286000,214997000,548678000,294343000,174202000,48683000,31450000,763675000,1472961000,122607000,54814000,22146000,45647000,6549000,138369000,138369000,267525000,297295000,196336000,174856000,493631000,761156000,672472000,185407000,-146074000,711805000,711805000,1472961000,89140000,11104000,11602000,179000.000000015,112025000,-18482000,361000,-91000,-18212000,-22205000,7161999.99999999,-68146000,2736000,-70882000,-16151000,-99340000,-5527000,-5527000,1054000,-4473000,124482000,303844000,122275000,0.5415,0.26704,0.20995,0.12523,0.06052,1.37172,2.65129,1.06933,0.20628,0.51447,0.51447,2.45041,4.10819,0.70571,0.12816,0.09187,0.10089,0.2491,1.55838,1.711
"35","2018_Q4",39.638253968254,"Down",415936000,-194477000,221459000,-106680000,-90946000,-15734000,114779000,-6722000,-3583000,-3139000,108057000,108057000,-15376000,92681000,92681000,92681000,92681000,137589000,137589000,289633000,289633000,277726000,25812000,25812000,730760000,220164000,534577000,296299000,172476000,32958000,32844000,754741000,1485501000,130189000,53102000,22191000,54896000,3960000,130085000,130085000,264234000,266424000,158281000,136539000,424705000,688939000,681052000,255899000,-140389000,796562000,796562000,1485501000,92681000,11815000,21236000,-42248000,83484000,-12126000,-250000,-1321000,-13697000,-22144000,-33541000,3419000,3419000,0,0,-52266000,17521000,17521000,1467000,18988000,126594000,270384000,87596000,0.53244,0.27595,0.22283,0.11635,0.06239,0.94513,2.76558,0.86489,0.18202,0.53561,0.53561,2.40374,4.60342,0.50623,0.12797,0.09372,0.07149,0.23893,1.04898,1.15696
"36","2019_Q1",43.0895081967213,"Up",406438000,-197682000,208756000,-112182000,-96193000,-15989000,96574000,-6529000,-3678000,-2851000,90045000,90045000,-16322000,73723000,73723000,73723000,73723000,132118000,132118000,274608000,274608000,283982000,32508000,32508000,723216000,229295000,520230000,293846000,166310000,32055000,28019000,749525000,1472741000,145679000,56902000,26480000,62297000,11083000,143041000,143041000,299803000,266391000,154674000,133388000,421065000,720868000,675996000,220734000,-144857000,751873000,751873000,1472741000,73723000,12184000,3547000,24270000,113724000,-14285000,4.65661287307739e-10,-238000,-14523000,-22051000,7157000,-88050000,1163000,-89213000,0,-102944000,-3743000,-3743000,-1728000,-5471000,108758000,277474000,135065000,0.51362,0.23761,0.18139,0.09805,0.05006,1.83206,2.4123,0.95876,0.18841,0.43138,0.43138,2.37821,4.39947,0.79031,0.12903,0.08089,0.11407,0.29911,1.33651,1.50513
"37","2019_Q2",48.1071428571429,"Up",404870000,-188828000,216042000,-111515000,-94946000,-16569000,104527000,-3804000,-3535000,-269000,100723000,100723000,-13974000,86749000,86749000,86749000,86749000,119711000,119711000,289047000,289047000,297458000,27293000,27293000,733509000,256776000,558762000,295136000,166613000,33368000,63645000,815538000,1549047000,133698000,67275000,26486000,39937000,82557000,137789000,137789000,354044000,173738000,176827000,134631000,350565000,704609000,705431000,281038000,-142031000,844438000,844438000,1549047000,86749000,12013000,5006000,-53222000,50546000,-30433000,-5353000,-367000,-36153000,-26438000,-22079000,22409000,24847000,-2438000,-1268000,-27376000,-12983000,-12983000,576000,-12407000,116540000,256295000,46859000,0.53361,0.25817,0.21426,0.10273,0.056,0.54017,2.0718,0.83441,0.16545,0.50772,0.50772,2.36961,4.94231,0.27426,0.15474,0.0886,0.03668,0.30476,1.17199,1.30669
"38","2019_Q3",45.2415625,"Down",428328000,-201374000,226954000,-114593000,-97269000,-17324000,112361000,-4550000,-3431000,-1119000,107811000,107811000,-19674000,88137000,88137000,88137000,88137000,180883000,180883000,291008000,291008000,297545000,29457000,29457000,798893000,286521000,555133000,296273000,163564000,32691000,62605000,841654000,1640547000,135783000,61958000,26716000,47109000,82284000,141535000,141535000,359602000,179081000,175906000,135209000,354987000,714589000,722962000,342308000,-139312000,925958000,925958000,1640547000,88137000,12074000,8661000,4403999.99999999,113276000,-39753000,-823000.000000001,-461000,-41037000,-26637000,5802999.99999999,9107000.00000001,9107000,0,2.3283064365387e-10,-11727000,60512000,60512000,660000,61172000,124435000,261365000,108760000,0.52986,0.26232,0.20577,0.09518,0.05372,1.23399,2.2216,0.77173,0.15932,0.51228,0.51228,2.4896,5.38201,0.63215,0.15482,0.08419,0.07978,0.30222,0.64678,0.71628
"39","2019_Q4",45.85796875,"Up",400555000,-193176000,207379000,-103980000,-87257000,-16723000,103399000,-6590000,-3618000,-2972000,96809000,96809000,-12677000,84132000,84132000,84132000,84132000,177306000,177306000,277417000,277417000,288588000,29316000,29316000,772627000,308656000,556141000,301420000,161525000,32069000,61127000,864797000,1637424000,131396000,54882000,26716000,49798000,4686000,151445000,151445000,287527000,192101000,1.74e+08,136871000,366101000,653628000,730424000,397317000,-143945000,983796000,983796000,1637424000,84132000,12314000,3452000,35761000,135659000,-32310000,-13040000,-133000,-45483000,-26687000,-62780000,-393000,2290000,-2683000,0,-89860000,316000,316000,-3893000,-3577000,115713000,196787000,131841000,0.51773,0.25814,0.21004,0.08552,0.05138,1.56707,2.68715,0.66439,0.12018,0.48977,0.48977,2.33183,5.72717,0.76751,0.15536,0.08181,0.09733,0.3172,0.16836,0.18841
"40","2020_Q1",49.4346774193548,"Up",412292000,-202911000,209381000,-105212000,-88271000,-16941000,104169000,-3635000,-2526000,-1109000,100534000,100534000,-15699000,84835000,84835000,84835000,84835000,220973000,220973000,267345000,267345000,273233000,29917000,29917000,791468000,325546000,575196000,307663000,162623000,39327000,65583000,900742000,1692210000,83352000,54117000,29235000,39506201.2134076,7732000,194238000,194238000,285322000,164298000,217659000,182707000,381957000,667279000,745727000,448991000,-169787000,1024931000,1024931000,1692210000,84835000,12510000,3139000,18769000,119253000,-25457000,-7361000,22000,-32796000,-26681000,-26053000,7645000,12006000,-4361000,-1.16415321826935e-10,-45089000,41368000,41368000,2299000,43667000,116679000,172030000,125690000,0.50785,0.25266,0.20576,0.08277,0.05013,1.48158,2.77395,0.65105,0.10166,0.49376,0.49376,2.39966,5.96539,0.73155,0.15529,0.07883,0.08885,0.3145,-0.41947,-0.46984
"41","2020_Q2",45.5977777777778,"Down",373567000,-174936000,198631000,-108819000,-91738000,-17081000,89812000,-7709000,-2486000,-5223000,82103000,82103000,-9285000,72818000,72818000,72818000,72818000,456656000,456656000,273789000,273789000,289567000,28760000,28760000,1048772000,332078000,566490000,306850000,158069000,38081000,63490000,898568000,1947340000,124944000,64324000,29442000,31178000,45742000,141077000,141077000,311763000,4e+08,216919000,183292000,616919000,928682000,779538000,411450000,-172330000,1018658000,1018658000,1947340000,72818000,13062000,6253000,-37900000,54233000,-18944000,-21285558.5393027,-256000,-19200000,-29333000,274576000,-43294000,38882000,-82176000,-1796000,200153000,235186000,235186000,497000,235683000,102874000,445742000,55315000,0.53171,0.24042,0.19493,0.07148,0.03739,0.75963,3.364,0.91167,0.2289,0.42179,0.42179,2.16382,5.90041,0.3204,0.16991,0.06076,0.0329,0.40283,-0.10609,-0.12152
"42","2020_Q3",54.2296875,"Up",366892000,-184363000,182529000,-102794000,-84846000,-17948000,79735000,-2748000,-3258000,510000.000000001,76987000,42025000,-13193000,28832000,28832000,28832000,28832000,432708000,432708000,282856000,282856000,291442000,31286000,31286000,1038292000,327476000,596691000,338735000,162271000,33968000,61717000,924167000,1962459000,112946000,48259000,29464000,35223000,20597000,176837000,176837000,310380000,4e+08,225111000,184486000,625111000,935491000,790496000,400154000,-163682000,1026968000,1026968000,1962459000,28832000,13904000,45520000,61000,88317000,-13669000,-27173000,11000.0000000001,-40831000,-29157000,-25344000,-16632000,3335000,-19967000,-2.3283064365387e-10,-71133000,-23647000,-23647000,-301000,-23948000,93639000,420597000,93224000,0.4975,0.21733,0.07858,0.02807,0.01469,3.23335,3.34523,0.91093,0.21432,0.16905,0.16905,2.15123,6.02151,0.54661,0.17096,0.03467,0.05573,1.01127,-0.12934,-0.15189
"43","2020_Q4",65.1121875,"Up",439316000,-210363000,228953000,-103681000,-85966000,-17715000,125272000,-3989000,-2964000,-1025000,121283000,121016000,-6901000,114115000,114115000,114115000,114115000,424674000,424674000,314996000,314996000,283713000,37806000,37806000,1061189000,332268000,600538000,342340000,160660000,35339000,62199000,932806000,1993995000,127134000,55463000,29350000,42321000,44039000,155280000,155280000,326453000,2.75e+08,226605000,186581000,501605000,828058000,811643000,485209000,-130915000,1165937000,1165937000,1993995000,114115000,13748000,4237000,-11931000,120169000,-13143000,-384000,175000,-13352000,-29175000,-102726000,15732000,15732000,0,-1000,-116170000,-9353000,-9353000,1319000,-8034000,139020000,319039000,120847000,0.52116,0.28515,0.25976,0.09787,0.05723,1.05899,3.25066,0.71021,0.16,0.6648,0.6648,2.55933,6.79241,0.70402,0.16996,0.08372,0.07061,0.25566,-0.75985,-0.84325
"44","2021_Q1",69.2547540983606,"Up",470340000,-225516000,244824000,-112696000,-93246000,-19450000,132128000,-2621000,-2572000,-48999.9999999995,129507000,129507000,-14816000,114691000,114691000,114691000,114691000,378909000,378909000,314946000,314946000,285704000,44242000,44242000,1023801000,350750000,613577000,347603000,160669000,25828000,79477000,964327000,1988128000,141946000,58305000,31636000,52005000,22183000,157260000,157260000,321389000,1.5e+08,232835000,184747000,382835000,704224000,839774000,568295000,-124165000,1283904000,1283904000,1988128000,114691000,14615000,15119000,-13109000,131316000,-25582000,-3.72529029846191e-09,-72999.9999999999,-25655000,-29318000,-148492000,25489000,25489000,-9.31322574615479e-10,-1.16415321826935e-10,-152321000,-46660000,-46660000,895000,-45765000,146743000,172183000,122868000,0.52053,0.28092,0.24385,0.08933,0.05769,1.0713,3.18555,0.5485,0.08661,0.66224,0.66224,2.71579,7.4134,0.70945,0.16929,0.08527,0.07275,0.25563,-1.40876,-1.56459
"45","2021_Q2",73.4725396825397,"Up",454129000,-206795000,247334000,-119048000,-99477000,-19571000,128286000,-2549000,-2428000,-121000,125737000,125737000,-20050000,105687000,105687000,105687000,105687000,460616000,460616000,323197000,323197000,311645000,31928000,31928000,1127386000,360370000,599964000,343010000,152792000,22902000,81260000,960334000,2087720000,143206000,66242000,31718000,45246000,31661000,148653000,148653000,323520000,1.5e+08,231698000,183576000,381698000,705218000,872242000,642259000,-131999000,1382502000,1382502000,2087720000,105687000,14515000,8460000,-26993000,101669000,-21415000,-15645922.3854717,-34000,-21449000,-31642000,9667000,26460000,26460000,-27904739.5079956,-1404000,3081000,83301000,83301000,-1594000,81707000,142801000,181661000,114443000,0.54463,0.28249,0.23272,0.07645,0.05062,1.08285,3.48475,0.5101,0.08701,0.60793,0.60793,2.61222,7.95236,0.65829,0.18201,0.07647,0.06373,0.29939,-1.95345,-2.17448
"46","2021_Q3",75.235625,"Up",507164000,-243340000,263824000,-129981000,-108575000,-21406000,133843000,-2094000,-2528000,434000,131749000,131749000,-21631000,110118000,110118000,110118000,110118000,482787000,482787000,354222000,354222000,337525000,29418000,29418000,1203952000,387906000,637347000,358449000,159861000,33949000,85088000,1025253000,2229205000,169445000,76074000,31893000,61478000,13130000,176149000,176149000,358724000,1.5e+08,239218000,184973000,389218000,747942000,885302000,720429000,-124468000,1481263000,1481263000,2229205000,110118000,15297000,-5028000,-2009000,118378000,-33344000,-19322000,-78000,-52744000,-31772000,-19019000,6756000,6756000,-74768970.399906,-18000,-44053000,21581000,21581000,590000,22171000,149140000,163130000,135418000,0.52019,0.2639,0.21713,0.07434,0.0494,1.22975,3.35621,0.50494,0.07318,0.64839,0.63342,2.98623,8.72183,0.79736,0.18708,0.07533,0.07189,0.28853,-2.14334,-2.3883
"47","2021_Q4",74.65921875,"Down",486696000,-238462000,248234000,-123635000,-103873000,-19762000,124599000,-2844000,-2500000,-344000,121755000,121755000,-17926000,103829000,103829000,103829000,103829000,603828000,603828000,324284000,324284000,362932000,42027000,42027000,1333071000,416518000,627739000,357014000,154364000,32842000,83519000,1044257000,2377328000,195060000,86858000,31937000,76265000,50323000,181831000,181831000,427214000,1.5e+08,235765000,183254000,385765000,812979000,897969000,792390000,-126010000,1564349000,1564349000,2377328000,103829000,15034000,6231000,12090000,137184000,-27869000,-64000,10000,-27923000,-31824000,37163000,7229000,7229000,-118551431.537819,0,12568000,121829000,121829000,-788000,121041000,139633000,200323000,141780000,0.51004,0.25601,0.21333,0.06637,0.04367,1.36551,3.12038,0.51969,0.08426,0.61136,0.59536,2.86572,9.21105,0.83482,0.18738,0.06781,0.07087,0.3065,-2.88975,-3.23843
"48","2022_Q1",71.0204838709677,"Down",539619000,-265062000,274557000,-129962000,-111050000,-18912000,144595000,-15371000,-2759000,-12612000,129224000,129224000,-8992000,120232000,120232000,120232000,120232000,624302000,624302000,325132000,325132000,382301000,31886000,31886000,1363621000,451061000,628516000,356255000,149740000,55786000,66735000,1079577000,2443198000,197144000,78432000,35771000,82941000,118489000,191159000,191159000,506792000,7.5e+07,152063000,106897000,227063000,733855000,912596000,876916000,-80169000,1709343000,1709343000,2443198000,120232000,14479000,-31304000,-3742000,99665000,-50938000,0,-245000,-51183000,-31872000,-7384000,10518000,10518000,-137210861.783821,-5.82076609134674e-11,-28738000,19744000,19744000,730000,20474000,159074000,193489000,113386000,0.5088,0.26796,0.22281,0.07034,0.04921,0.94306,2.69069,0.42932,0.07919,0.68352,0.68352,3.06773,9.71759,0.6446,0.18119,0.07402,0.05518,0.26509,-2.70826,-2.97945
"49","2022_Q2",62.1866129032258,"Down",494285000,-239810000,254475000,-126112000,-107034000,-19078000,128363000,-5440000,-5287000,-153000,122923000,122923000,-22080000,100843000,100843000,100843000,100843000,380487000,380487000,339407000,339407000,436741000,40585000,40585000,1197220000,487805000,634420000,371401000,154006000,42195000,66818000,1122225000,2319445000,171595000,88108000,35678000,47809000,40160000,190558000,190558000,402313000,7.5e+07,151876000,105129000,226876000,629189000,931182000,841503000,-82429000,1690256000,1690256000,2319445000,100843000,15570000,18061000,-103149000,31325000,-47093000,-25016000,-134000,-72243000,-35801000,-78420000,-87412000,21294000,-108706000,-1219000,-202852000,-243770000,-243770000,-45000,-243815000,143933000,115160000,15771000,0.51483,0.25969,0.20402,0.05966,0.04348,0.15639,2.97584,0.37224,0.04965,0.59262,0.57654,2.90476,9.9331,0.09268,0.21039,0.06981,0.00806,0.35502,-1.84341,-2.06701
"50","2022_Q3",63.7025,"Up",548547000,-279487000,269060000,-120380000,-100413000,-19967000,148680000,-2333000,-1726000,-607000,146347000,146347000,-28969000,117378000,117378000,117378000,117378000,413359000,413359000,373141000,373141000,450974000,39002000,39002000,1276476000,516156000,611646000,365491000,145201000,37137000,63817000,1127802000,2404278000,174444000,85452000,35794000,53198000,55522000,194092000,194092000,424058000,7.5e+07,147946000,103341000,222946000,647004000,939323000,912864000,-94913000,1757274000,1757274000,2404278000,117378000,15883000,11068000,-40669000,103660000,-41768000,-280000,-263000,-42311000,-35540000,17250000,-9199000,2116000,-11315000,2.3283064365387e-10,-27489000,33860000,33860000,-988000,32872000,164563000,130522000,111095000,0.4905,0.27104,0.21398,0.0668,0.04882,0.94647,3.01014,0.36819,0.05429,0.68979,0.67108,3.22364,10.32694,0.65287,0.20886,0.07512,0.05457,0.30278,-1.71872,-1.90232
