"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_investment_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"31","2017_Q4",144.96126984127,"Up",3.398e+09,-1.457e+09,-1.339e+09,-1.18e+08,1.941e+09,-9e+06,-3.5e+07,1.5e+07,1.1e+07,1.932e+09,1.932e+09,-5.02e+08,1.43e+09,1.43e+09,1.43e+09,1.43e+09,7.423e+09,5.559e+09,1.864e+09,1.858e+09,1.858e+09,3.95e+09,1.18e+09,2.77e+09,1.3231e+10,9.01e+08,6.782e+09,3.015e+09,1.147e+09,4.25e+08,2.195e+09,7.683e+09,2.0914e+10,5.116e+09,7.22e+08,4.394e+09,2.868e+09,2.868e+09,7.984e+09,9.99e+08,1.39e+08,8.6e+08,6.392e+09,1.4376e+10,4.318e+09,-1.9735e+10,2.2401e+10,-5.42e+08,6.442e+09,9.6e+07,6.538e+09,2.0914e+10,1.43e+09,1.18e+08,2.68e+08,-2.7e+07,1.789e+09,-1e+08,3.73e+08,-4.27e+08,-3.78e+08,-2.35e+08,-8.26e+08,1.9e+07,-1.042e+09,3.69e+08,3.69e+08,7.1e+07,4.4e+08,2.059e+09,5.393e+09,2.434e+09,0.57122,0.42084,0.21872,0.06838,1.7021,1.65719,2.19884,0.25787,1.34525,1.33895,3.19661,6.06021,2.28975,0.22107,0.12877,0.18824,0.16434,-0.98592,-1.04585
"32","2018_Q1",166.885081967213,"Up",3.312e+09,-1.79e+09,-1.675e+09,-1.15e+08,1.522e+09,-3.8e+07,-4.1e+07,1.2e+07,-9e+06,1.484e+09,1.484e+09,-1.257e+09,2.27e+08,2.27e+08,2.27e+08,2.27e+08,7.782e+09,5.933e+09,1.849e+09,1.969e+09,1.969e+09,4.046e+09,1.04e+09,3.006e+09,1.3797e+10,8.29e+08,6.703e+09,3.035e+09,1.12e+09,2.5e+08,2.298e+09,7.532e+09,2.1329e+10,5.573e+09,9.33e+08,4.64e+09,3.22e+09,3.22e+09,8.793e+09,1.544e+09,1.06e+08,1.438e+09,6.968e+09,1.5761e+10,4.365e+09,-2.0764e+10,2.2364e+10,-4.97e+08,5.468e+09,1e+08,5.568e+09,2.1329e+10,2.27e+08,1.16e+08,6.24e+08,8.55e+08,1.822e+09,-8.6e+07,2.45e+08,-3.17e+08,-1.58e+08,-2.33e+08,-1.022e+09,-1.4e+07,-1.269e+09,3.95e+08,3.95e+08,6000000.00000001,4.01e+08,1.638e+09,5.424e+09,3.664e+09,0.45954,0.06854,0.04077,0.01064,16.14097,1.56909,2.83064,0.2543,0.21476,0.21355,3.1334,5.17313,3.46641,0.22044,0.03669,0.29228,1.02643,-1.43956,-1.54928
"33","2018_Q2",183.82640625,"Up",3.58e+09,-1.638e+09,-1.518e+09,-1.2e+08,1.942e+09,-2.2e+07,-4.3e+07,1.7e+07,4e+06,1.92e+09,1.803e+09,-3.11e+08,1.492e+09,1.492e+09,1.492e+09,1.492e+09,8.268e+09,6.89e+09,1.378e+09,2.122e+09,2.122e+09,4.317e+09,1.273e+09,3.044e+09,1.4707e+10,8.39e+08,7.398e+09,3.104e+09,1.118e+09,3.5e+08,2.826e+09,8.237e+09,2.2944e+10,5.699e+09,3.7e+08,5.329e+09,3.249e+09,3.249e+09,8.948e+09,1.725e+09,6.4e+07,1.661e+09,8.194e+09,1.7142e+10,4.367e+09,-2.2143e+10,2.3852e+10,-3.73e+08,5.703e+09,9.9e+07,5.802e+09,2.2944e+10,1.492e+09,1.2e+08,2.08e+08,-8.62e+08,9.58e+08,-8.2e+07,6.28e+08,-1.79e+08,3.67e+08,-2.63e+08,-1.312e+09,-4e+06,-5.88e+08,7.37e+08,7.37e+08,9.5e+07,8.32e+08,2.062e+09,6.469e+09,1.429e+09,0.54246,0.41676,0.25715,0.06503,0.95777,1.64361,2.9545,0.28195,1.4196,1.41154,3.40628,5.42626,1.35966,0.25024,0.12539,0.1021,0.17627,-0.87245,-0.92636
"34","2018_Q3",204.241587301587,"Up",3.665e+09,-1.504e+09,-1.389e+09,-1.15e+08,2.161e+09,-1.4e+07,-4.8e+07,3.1e+07,3e+06,2.147e+09,1.922e+09,-3.53e+08,1.569e+09,1.569e+09,1.569e+09,1.569e+09,7.745e+09,6.21e+09,1.535e+09,2.164e+09,2.164e+09,4.396e+09,1.323e+09,3.073e+09,1.4305e+10,8.6e+08,7.306e+09,2.974e+09,1.043e+09,3.95e+08,2.894e+09,8.166e+09,2.2471e+10,5.712e+09,3.45e+08,5.367e+09,3.743e+09,3.743e+09,9.455e+09,1.808e+09,5.8e+07,1.75e+09,7.666e+09,1.7121e+10,4.453e+09,-2.365e+10,2.5086e+10,-6.32e+08,5.257e+09,9.3e+07,5.35e+09,2.2471e+10,1.569e+09,1.15e+08,2.93e+08,-4.84e+08,1.493e+09,-9e+07,-1.04e+08,-1.79e+08,-3.73e+08,-2.62e+08,-1.502e+09,9e+06,-1.755e+09,-6.35e+08,-6.35e+08,-2.1e+07,-6.56e+08,2.276e+09,5.858e+09,2.055e+09,0.58963,0.4281,0.29327,0.06982,1.30975,1.51296,3.20019,0.26069,1.50431,1.49571,3.5139,5.04027,1.97028,0.2512,0.14067,0.15788,0.16699,-0.82909,-0.87321
"35","2018_Q4",194.642063492063,"Down",3.898e+09,-1.582e+09,-1.471e+09,-1.11e+08,2.316e+09,-2.3e+07,-4.8e+07,3.1e+07,-6e+06,2.293e+09,2.264e+09,-3.65e+08,1.899e+09,1.899e+09,1.899e+09,1.899e+09,8.493e+09,6.871e+09,1.622e+09,2.277e+09,2.277e+09,4.294e+09,1.375e+09,2.919e+09,1.5064e+10,8.76e+08,7.4e+09,2.95e+09,1.023e+09,5.02e+08,2.925e+09,8.276e+09,2.334e+10,6.047e+09,3.82e+08,5.665e+09,3.162e+09,3.162e+09,9.709e+09,1.906e+09,5e+07,1.856e+09,7.764e+09,1.7473e+10,4.526e+09,-2.4807e+10,2.6726e+10,-6.7e+08,5.775e+09,9.2e+07,5.867e+09,2.334e+10,1.899e+09,1.11e+08,2.6e+08,9.1e+07,2.361e+09,-8.3e+07,6.7e+07,-2.15e+08,-2.31e+08,-2.6e+08,-1.139e+09,-1.2e+07,-1.411e+09,7.19e+08,7.19e+08,-9e+06,7.1e+08,2.427e+09,6.358e+09,2.8e+09,0.59415,0.48717,0.32367,0.08136,1.47446,1.55155,2.97818,0.27241,1.82948,1.81897,3.7553,5.56358,2.6975,0.25048,0.15278,0.19815,0.13691,-0.87969,-0.92185
"36","2019_Q1",211.236885245902,"Up",3.807e+09,-1.816e+09,-1.703e+09,-1.13e+08,1.991e+09,-1.9e+07,-4.7e+07,4.3e+07,-1.5e+07,1.972e+09,1.215e+09,-3.16e+08,8.99e+08,8.99e+08,8.99e+08,8.99e+08,8.378e+09,6.682e+09,1.696e+09,2.276e+09,2.276e+09,5.517e+09,1.432e+09,4.085e+09,1.6171e+10,9.21e+08,7.768e+09,2.904e+09,9.91e+08,5.7e+08,3.303e+09,8.689e+09,2.486e+10,6.875e+09,5.37e+08,6.338e+09,4.218e+09,4.218e+09,1.1593e+10,1.944e+09,6.7e+07,1.877e+09,7.778e+09,1.9371e+10,4.58e+09,-2.575e+10,2.7283e+10,-7.18e+08,5.395e+09,9.4e+07,5.489e+09,2.486e+10,8.99e+08,1.13e+08,4.57e+08,-5.8e+07,1.411e+09,-7.5e+07,-5.79e+08,3.85e+08,-2.69e+08,-2.59e+08,-8.76e+08,-7.7e+07,-1.212e+09,-7e+07,-7e+07,-7.1e+07,-1.41e+08,2.104e+09,6.334e+09,2.287e+09,0.52298,0.23614,0.16378,0.03616,2.54394,1.39489,3.52906,0.25479,0.87112,0.86609,3.68895,5.22771,2.21609,0.25097,0.08411,0.16612,0.2881,-0.97148,-1.02662
"37","2019_Q2",246.051587301587,"Up",3.889e+09,-1.676e+09,-1.559e+09,-1.17e+08,2.213e+09,-1e+07,-4.6e+07,3.2e+07,4e+06,2.203e+09,2.203e+09,-3.41e+08,1.862e+09,1.862e+09,1.862e+09,1.862e+09,7.174e+09,5.857e+09,1.317e+09,2.577e+09,2.577e+09,4.645e+09,1.513e+09,3.132e+09,1.4396e+10,1.305e+09,7.819e+09,2.944e+09,1.025e+09,5.04e+08,3.346e+09,9.124e+09,2.352e+10,6.412e+09,5.08e+08,5.904e+09,3.334e+09,3.334e+09,1.0246e+10,2.212e+09,6.1e+07,2.151e+09,8.011e+09,1.8257e+10,4.569e+09,-2.7534e+10,2.8806e+10,-6.73e+08,5.168e+09,9.5e+07,5.263e+09,2.352e+10,1.862e+09,1.17e+08,4.46e+08,-1.113e+09,1.312e+09,-8.3e+07,4.65e+08,-1.69e+08,2.13e+08,-3.4e+08,-1.77e+09,-1.13e+08,-2.223e+09,-6.98e+08,-6.98e+08,-5.4e+07,-7.52e+08,2.33e+09,6.299e+09,1.475e+09,0.56904,0.47879,0.35379,0.07917,0.79216,1.40504,3.46893,0.26781,1.81481,1.80426,3.79045,5.03704,1.43762,0.33138,0.15987,0.10709,0.1826,-0.37554,-0.39539
"38","2019_Q3",271.28484375,"Up",4.113e+09,-1.716e+09,-1.594e+09,-1.22e+08,2.397e+09,-2.6e+07,-5.1e+07,1.9e+07,6e+06,2.371e+09,2.519e+09,-4.71e+08,2.048e+09,2.048e+09,2.048e+09,2.048e+09,6.5e+09,5.691e+09,8.09e+08,2.607e+09,2.607e+09,5.058e+09,1.786e+09,3.272e+09,1.4165e+10,1.348e+09,9.218e+09,3.524e+09,1.232e+09,4.78e+08,3.984e+09,1.0566e+10,2.4731e+10,6.119e+09,4.32e+08,5.687e+09,3.378e+09,3.378e+09,9.497e+09,2.319e+09,9.5e+07,2.224e+09,1.0125e+10,1.9622e+10,4.675e+09,-2.9454e+10,3.0517e+10,-7.3e+08,5.008e+09,1.01e+08,5.109e+09,2.4731e+10,2.048e+09,1.22e+08,2.36e+08,-8.7e+08,1.536e+09,-9.1e+07,5.4e+08,-4.93e+08,-7.67e+08,-3.37e+08,-1.88e+09,-2e+08,-9.37e+08,-1.68e+08,-1.68e+08,2.8e+07,-1.4e+08,2.519e+09,7.806e+09,2.029e+09,0.58279,0.49793,0.40086,0.08281,0.99072,1.49152,3.84067,0.31564,1.9961,1.9845,4.00877,4.88109,1.97758,0.32846,0.15656,0.13319,0.16455,0.51846,0.54485
"39","2019_Q4",277.8978125,"Up",4.467e+09,-1.812e+09,-1.675e+09,-1.37e+08,2.655e+09,-2.1e+07,-6.3e+07,2.6e+07,1.6e+07,2.634e+09,2.534e+09,-4.26e+08,2.108e+09,2.108e+09,2.108e+09,2.108e+09,5.852e+09,5.101e+09,7.51e+08,2.5e+09,2.5e+09,6.495e+09,1.933e+09,4.562e+09,1.4847e+10,1.492e+09,9.642e+09,3.724e+09,1.31e+09,5.18e+08,4.09e+09,1.1134e+10,2.5981e+10,6.428e+09,5.05e+08,5.923e+09,4.286e+09,4.286e+09,1.0714e+10,2.483e+09,9.7e+07,2.386e+09,1.0218e+10,2.0932e+10,4.725e+09,-3.1207e+10,3.2289e+10,-8.58e+08,4.949e+09,1e+08,5.049e+09,2.5981e+10,2.108e+09,1.37e+08,3.9e+08,-2.8e+08,2.355e+09,-1.32e+08,8.8e+07,-1.35e+08,-6.26e+08,-3.35e+08,-1.746e+09,-4.4e+07,-2.125e+09,-3.96e+08,-3.96e+08,-7.7e+07,-4.73e+08,2.792e+09,7.735e+09,2.806e+09,0.59436,0.47191,0.41751,0.08114,1.33112,1.38576,4.14577,0.29772,2.06667,2.05659,4.37941,4.85196,2.75098,0.32843,0.16002,0.1838,0.15892,0.67443,0.70923
"40","2020_Q1",293.435483870968,"Up",4.414e+09,-2.015e+09,-1.869e+09,-1.46e+08,2.399e+09,-4.3e+07,-6.4e+07,2e+07,1e+06,2.356e+09,2.475e+09,-3.75e+08,2.1e+09,2.1e+09,2.1e+09,2.1e+09,7.676e+09,6.988e+09,6.88e+08,2.514e+09,2.514e+09,6.712e+09,1.763e+09,4.949e+09,1.6902e+10,1.828e+09,1.0506e+10,4.021e+09,1.417e+09,5.43e+08,4.525e+09,1.2334e+10,2.9236e+10,6.892e+09,4.89e+08,6.403e+09,5.012e+09,5.012e+09,1.1904e+10,2.814e+09,8.5e+07,2.729e+09,1.1341e+10,2.3245e+10,4.787e+09,-3.2205e+10,3.3984e+10,-6.73e+08,5.893e+09,9.8e+07,5.991e+09,2.9236e+10,2.1e+09,1.46e+08,1.69e+08,5.65e+08,2.98e+09,-1.16e+08,-5.61e+08,4.87e+08,-4.6e+08,-3.33e+08,-9.75e+08,-1.8e+07,-5.82e+08,1.938e+09,1.938e+09,5.9e+07,1.997e+09,2.545e+09,8.527e+09,3.369e+09,0.5435,0.47576,0.35053,0.07183,1.60429,1.41986,3.87999,0.29166,2.08955,2.07921,4.39204,5.86368,3.35224,0.33134,0.14038,0.19438,0.15857,0.33438,0.35473
"41","2020_Q2",278.651587301587,"Down",4.009e+09,-1.792e+09,-1.648e+09,-1.44e+08,2.217e+09,-5e+07,-6.9e+07,1.6e+07,3e+06,2.167e+09,1.987e+09,-2.94e+08,1.693e+09,1.693e+09,1.693e+09,1.693e+09,1.0684e+10,1.0207e+10,4.77e+08,2.441e+09,2.441e+09,4.998e+09,1.729e+09,3.269e+09,1.8123e+10,1.901e+09,1.0624e+10,4.07e+09,1.447e+09,5.5e+08,4.557e+09,1.2525e+10,3.0648e+10,5.899e+09,3.71e+08,5.528e+09,3.813e+09,3.813e+09,9.712e+09,2.972e+09,8.2e+07,2.89e+09,1.5438e+10,2.515e+10,4.735e+09,-3.3531e+10,3.5273e+10,-1.079e+09,5.398e+09,1e+08,5.498e+09,3.0648e+10,1.693e+09,1.44e+08,5.09e+08,-4.87e+08,1.859e+09,-1.31e+08,5.4e+07,-4.3e+08,-5.07e+08,-4.03e+08,-1.352e+09,-1.04e+08,2.1e+09,3.452e+09,3.452e+09,-8.8e+07,3.364e+09,2.361e+09,1.2466e+10,2.037e+09,0.55301,0.4223,0.30793,0.05524,1.20319,1.86604,4.57439,0.40675,1.68458,1.67624,3.98905,5.37114,2.02687,0.401,0.10011,0.0973,0.23804,0.75476,0.80379
"42","2020_Q3",321.80375,"Up",3.335e+09,-1.606e+09,-1.461e+09,-1.45e+08,1.729e+09,-9.2e+07,-1.01e+08,8e+06,1e+06,1.637e+09,1.69e+09,-2.7e+08,1.42e+09,1.42e+09,1.42e+09,1.42e+09,1.1527e+10,1.1137e+10,3.9e+08,2.147e+09,2.147e+09,5.707e+09,1.79e+09,3.917e+09,1.9381e+10,1.872e+09,1.0874e+10,4.081e+09,1.48e+09,5.73e+08,4.74e+09,1.2746e+10,3.2127e+10,5.752e+09,3.69e+08,5.383e+09,4.171e+09,4.171e+09,9.923e+09,3.158e+09,8.3e+07,3.075e+09,1.5656e+10,2.5579e+10,4.832e+09,-3.3604e+10,3.6288e+10,-1.046e+09,6.47e+09,7.8e+07,6.548e+09,3.2127e+10,1.42e+09,1.45e+08,1.82e+08,-2.89e+08,1.458e+09,-7e+07,76000000.0000001,58000000.0000001,-1.19e+08,-4.01e+08,34000000.0000002,-4.2e+07,-4.09e+08,9.3e+08,9.3e+08,3.9e+07,9.69e+08,1.874e+09,1.2498e+10,1.785e+09,0.51844,0.42579,0.21686,0.0442,1.25704,1.95314,3.90638,0.38902,1.41294,1.40594,3.31841,6.43781,1.77612,0.399,0.08201,0.08039,0.28239,0.51814,0.5616
"43","2020_Q4",329.62953125,"Up",3.837e+09,-1.732e+09,-1.591e+09,-1.41e+08,2.105e+09,-9.9e+07,-1.05e+08,3e+06,3e+06,2.006e+09,1.915e+09,-4.02e+08,1.513e+09,1.513e+09,1.513e+09,1.513e+09,1.0625e+10,1.0225e+10,4e+08,2.357e+09,2.357e+09,5.487e+09,1.958e+09,3.529e+09,1.8469e+10,1.887e+09,1.1238e+10,4.159e+09,1.507e+09,6.07e+08,4.965e+09,1.3125e+10,3.1594e+10,6.15e+09,3.41e+08,5.809e+09,3.808e+09,3.808e+09,9.958e+09,3.181e+09,8.6e+07,3.095e+09,1.5755e+10,2.5713e+10,4.926e+09,-3.5653e+10,3.7403e+10,-8.8e+08,5.796e+09,8.5e+07,5.881e+09,3.1594e+10,1.513e+09,1.41e+08,4.72e+08,-4.72e+08,1.654e+09,-7.9e+07,-4e+07,-8e+07,-1.99e+08,-4.02e+08,-2.037e+09,-2.9e+07,-2.468e+09,-1.013e+09,-1.013e+09,1.15e+08,-8.98e+08,2.246e+09,1.2574e+10,2.097e+09,0.54861,0.39432,0.25727,0.04789,1.38599,1.85469,4.37222,0.39799,1.50847,1.50099,3.82552,5.77866,2.09073,0.4008,0.08851,0.09692,0.2657,0.86776,0.92589
"44","2021_Q1",346.162295081967,"Up",4.12e+09,-2.017e+09,-1.867e+09,-1.5e+08,2.103e+09,-1.1e+08,-1.05e+08,-3e+06,-2e+06,1.993e+09,2.168e+09,-3.83e+08,1.785e+09,1.785e+09,1.785e+09,1.785e+09,1.0596e+10,1.0113e+10,4.83e+08,2.646e+09,2.646e+09,5.871e+09,1.883e+09,3.988e+09,1.9113e+10,1.902e+09,1.2569e+10,4.96e+09,1.753e+09,4.91e+08,5.365e+09,1.4471e+10,3.3584e+10,6.799e+09,5.27e+08,6.272e+09,4.399e+09,4.399e+09,1.1847e+10,3.197e+09,8.6e+07,3.111e+09,1.522e+10,2.7067e+10,4.982e+09,-3.6658e+10,3.8747e+10,-6.8e+08,6.391e+09,1.26e+08,6.517e+09,3.3584e+10,1.785e+09,1.5e+08,2.2e+08,98000000.0000001,2.253e+09,-5.9e+07,-1e+08,-8.9e+07,-1.054e+09,-3.99e+08,-1.021e+09,4.5e+07,-1.375e+09,-1.76e+08,-1.76e+08,1.91e+08,15000000.0000002,2.253e+09,1.2672e+10,2.675e+09,0.51044,0.43325,0.2739,0.05315,1.4986,1.61332,4.15329,0.37732,1.77966,1.77083,4.10768,6.37188,2.667,0.39781,0.09756,0.11949,0.22353,0.92144,0.98716
"45","2021_Q2",369.303492063492,"Up",4.155e+09,-1.958e+09,-1.795e+09,-1.63e+08,2.197e+09,-1.01e+08,-1.07e+08,1e+06,5e+06,2.096e+09,2.19e+09,-3.62e+08,1.828e+09,1.828e+09,1.828e+09,1.828e+09,7.735e+09,7.246e+09,4.89e+08,2.648e+09,2.648e+09,6.022e+09,1.999e+09,4.023e+09,1.6405e+10,1.85e+09,1.6545e+10,7.051e+09,3.321e+09,4.59e+08,5.714e+09,1.8395e+10,3.48e+10,6.517e+09,4.76e+08,6.041e+09,4.309e+09,4.309e+09,1.1475e+10,3.651e+09,3.91e+08,3.26e+09,1.6872e+10,2.8347e+10,4.949e+09,-3.8024e+10,4.014e+10,-7.38e+08,6.327e+09,1.26e+08,6.453e+09,3.48e+10,1.828e+09,1.63e+08,3.53e+08,-8.81e+08,1.463e+09,-6.5e+07,-6.1e+07,-7e+07,-3.56e+09,-4.39e+08,-1.333e+09,-1.16e+08,-6.06e+08,-2.703e+09,-2.703e+09,-1.01e+08,-2.804e+09,2.36e+09,1.387e+10,1.776e+09,0.52876,0.43995,0.28328,0.05253,0.97155,1.42963,4.39284,0.39856,1.82253,1.81349,4.14257,6.30808,1.77069,0.43769,0.09456,0.07408,0.24015,2.59958,2.79244
"46","2021_Q3",361.61765625,"Down",4.528e+09,-2.12e+09,-1.934e+09,-1.86e+08,2.408e+09,-1.06e+08,-1.06e+08,3e+06,-3e+06,2.302e+09,2.478e+09,-4.12e+08,2.066e+09,2.066e+09,2.066e+09,2.066e+09,6.76e+09,6.216e+09,5.44e+08,2.773e+09,2.773e+09,5.546e+09,2.217e+09,3.329e+09,1.5079e+10,1.839e+09,1.7993e+10,7.661e+09,3.613e+09,4.54e+08,6.265e+09,1.9832e+10,3.4911e+10,7.017e+09,5.47e+08,6.47e+09,3.631e+09,3.631e+09,1.1297e+10,3.795e+09,3.94e+08,3.401e+09,1.7045e+10,2.8342e+10,5.053e+09,-3.9729e+10,4.1771e+10,-6.53e+08,6.442e+09,1.27e+08,6.569e+09,3.4911e+10,2.066e+09,1.86e+08,1.3e+08,-1.14e+08,2.268e+09,-8.1e+07,-9.5e+07,-1.3e+08,-1.142e+09,-4.34e+08,-1.69e+09,-7.1e+07,-2.195e+09,-1.069e+09,-1.069e+09,7.7e+07,-9.92e+08,2.594e+09,1.3899e+10,2.811e+09,0.5318,0.45627,0.31451,0.05918,1.3606,1.33478,4.31451,0.39813,2.05982,2.0496,4.51446,6.42273,2.80259,0.4327,0.10304,0.11586,0.21007,2.75212,2.9647
"47","2021_Q4",344.34046875,"Down",4.985e+09,-2.241e+09,-2.053e+09,-1.88e+08,2.744e+09,-9.8e+07,-1.1e+08,5e+06,7e+06,2.646e+09,2.816e+09,-4.02e+08,2.414e+09,2.414e+09,2.414e+09,2.414e+09,6.916e+09,6.406e+09,5.1e+08,2.82e+09,2.82e+09,5.646e+09,2.367e+09,3.279e+09,1.5382e+10,1.86e+09,1.8168e+10,7.569e+09,3.561e+09,4.71e+08,6.567e+09,2.0028e+10,3.541e+10,7.359e+09,5.57e+08,6.802e+09,3.552e+09,3.552e+09,1.1561e+10,3.836e+09,3.74e+08,3.462e+09,1.7047e+10,2.8608e+10,5.026e+09,-4.1282e+10,4.375e+10,-7.91e+08,6.703e+09,9.9e+07,6.802e+09,3.541e+10,2.414e+09,1.88e+08,2.04e+08,-2.63e+08,2.543e+09,-1.39e+08,1.17e+08,-1.13e+08,-1.32e+08,-4.34e+08,-1.55e+09,-1.53e+08,-2.137e+09,2.74e+08,2.74e+08,-5.6e+07,2.18e+08,2.932e+09,1.3861e+10,2.932e+09,0.55045,0.48425,0.3549,0.06817,1.21458,1.33051,4.20582,0.39144,2.45825,2.44828,5.07637,6.82587,2.98574,0.44196,0.11625,0.11968,0.17978,2.36869,2.53098
"48","2022_Q1",358.428709677419,"Up",5.216e+09,-2.389e+09,-2.2e+09,-1.89e+08,2.827e+09,-1.15e+08,-1.08e+08,2e+06,-9e+06,2.712e+09,2.823e+09,-4.44e+08,2.379e+09,2.379e+09,2.379e+09,2.379e+09,7.894e+09,7.421e+09,4.73e+08,3.006e+09,3.006e+09,6.049e+09,2.271e+09,3.778e+09,1.6949e+10,1.907e+09,1.8813e+10,7.662e+09,3.671e+09,4.86e+08,6.994e+09,2.072e+10,3.7669e+10,8.22e+09,7.38e+08,7.482e+09,4.15e+09,4.15e+09,1.3162e+10,3.986e+09,3.95e+08,3.591e+09,1.7095e+10,3.0257e+10,5.061e+09,-4.2588e+10,4.5648e+10,-8.09e+08,7.312e+09,1e+08,7.412e+09,3.7669e+10,2.379e+09,1.89e+08,2.79e+08,3.42e+08,3.189e+09,-1.22e+08,-1.6e+07,-6.1e+07,-4.38e+08,-4.34e+08,-1.27e+09,-5e+06,-1.617e+09,1.134e+09,1.134e+09,-7.3e+07,1.061e+09,3.016e+09,1.3901e+10,3.68e+09,0.54199,0.4561,0.32097,0.06316,1.54687,1.28772,4.08216,0.36903,2.42261,2.41278,5.31161,7.44603,3.74745,0.44196,0.11119,0.14546,0.18243,1.99171,2.12487
"49","2022_Q2",343.835322580645,"Down",5.167e+09,-2.217e+09,-2.025e+09,-1.92e+08,2.95e+09,-1.01e+08,-1.1e+08,5e+06,4e+06,2.849e+09,2.773e+09,-1.42e+08,2.631e+09,2.631e+09,2.631e+09,2.631e+09,7.328e+09,6.879e+09,4.49e+08,2.889e+09,2.889e+09,5.736e+09,2.32e+09,3.416e+09,1.5953e+10,1.957e+09,1.9253e+10,7.625e+09,3.675e+09,7.95e+08,7.158e+09,2.121e+10,3.7163e+10,7.417e+09,6.66e+08,6.751e+09,3.733e+09,3.733e+09,1.1928e+10,4.237e+09,3.86e+08,3.851e+09,1.8105e+10,3.0033e+10,5.026e+09,-4.4994e+10,4.78e+10,-7.98e+08,7.034e+09,9.6e+07,7.13e+09,3.7163e+10,2.631e+09,1.92e+08,2.65e+08,-1.306e+09,1.782e+09,-1.46e+08,2e+06,-1.43e+08,-2.87e+08,-4.79e+08,-2.38e+09,-1.38e+08,-2.154e+09,-6.59e+08,-6.59e+08,-2.8e+07,-6.87e+08,3.142e+09,1.4646e+10,1.832e+09,0.57093,0.50919,0.369,0.0708,0.69631,1.33744,4.2122,0.3941,2.67923,2.66836,5.26171,7.16293,1.86558,0.48778,0.11956,0.07043,0.18206,2.32909,2.48068
"50","2022_Q3",342.0735,"Down",5.497e+09,-2.346e+09,-2.157e+09,-1.89e+08,3.151e+09,-1.03e+08,-1.14e+08,7e+06,4e+06,3.048e+09,2.798e+09,-5.23e+08,2.275e+09,2.275e+09,2.275e+09,2.275e+09,6.359e+09,5.921e+09,4.38e+08,3.175e+09,3.175e+09,5.677e+09,2.409e+09,3.268e+09,1.5211e+10,1.95e+09,1.907e+10,7.519e+09,3.676e+09,9.2e+08,6.955e+09,2.102e+10,3.6231e+10,7.667e+09,6.33e+08,7.034e+09,3.683e+09,3.683e+09,1.2085e+10,4.138e+09,3.71e+08,3.767e+09,1.7884e+10,2.9969e+10,5.163e+09,-4.7359e+10,4.9599e+10,-1.232e+09,6.171e+09,9.1e+07,6.262e+09,3.6231e+10,2.275e+09,1.89e+08,4.67e+08,-4.74e+08,2.457e+09,-5.5e+07,-1.5e+07,-1.42e+08,-5.25e+08,-4.77e+08,-2.34e+09,-3999999.99999997,-2.821e+09,-8.89e+08,-8.89e+08,-1.74e+08,-1.063e+09,3.34e+09,1.4481e+10,3.334e+09,0.57322,0.41386,0.3633,0.06279,1.46549,1.25867,4.78585,0.39969,2.34295,2.33573,5.66117,6.3553,3.43357,0.49125,0.11061,0.134,0.20967,2.43174,2.57759
