"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"39","2020_Q2",48.004126984127,"Up",90068000,-176784000,-101973000,-72636000,-89515000,1492000,2989000,-88023000,-88023000,-88023000,-88023000,-88023000,-88023000,651406000,173059000,478347000,25061000,22126000,724421000,5089000,17940000,15725000,23029000,747450000,99741000,6623000,93118000,99741000,9327000,9327000,9327000,109068000,2429002000,-1792145000,1525000,638382000,638382000,747450000,-88023000,664000,23932000,14425000,-49002000,-934000,30542000,29608000,3754000,3754000,3754000,-15640000,-15640000,-15638000,-88851000,0,-0.99386,-0.97729,-0.13788,-0.11776,7.26302,0.17085,0,-0.56655,-0.56655,0.57971,4.10884,-0.1359,7.33144,7.27706
"40","2020_Q3",43.18296875,"Down",110103000,-151214000,-84344000,-64295000,-44010000,2262000,1825000,-41748000,-41748000,-42141000,-42141000,-42141000,-42141000,658551000,310441000,348110000,27189000,24846000,735735000,6687000,17227000,15381000,23914000,759649000,86422000,6466000,79956000,86422000,10214000,10214000,10214000,96636000,2495819000,-1834286000,1480000,663013000,663013000,759649000,-42141000,723000,19464000,-14929000,-36883000,-2933000,129798000,126865000,47401000,47401000,47401000,137383000,137383000,137382000,-43287000,-1.57772181044202e-30,-0.39972,-0.38274,-0.06356,-0.05547,8.51328,0.14575,4.70197740328915e-38,-0.26921,-0.26921,0.70338,4.23558,-0.0626,15.2136,14.96367
"41","2020_Q4",49.6421875,"Up",120577000,-204471000,-81592000,-120083000,-85899000,1040000,1242000,-84859000,-84859000,-84660000,-84660000,-84660000,-84660000,644441000,452352000,192089000,31449000,30009000,730213000,8427000,57024000,55547000,65451000,795664000,91856000,3471000,88385000,91856000,48941000,48941000,48941000,140797000,2573304000,-1918946000,509000,654867000,654867000,795664000,-84660000,707000,66475000,-5315000,-22793000,-1721000,154715000,152994000,11715000,11715000,11715000,141916000,141916000,141911000,-85192000,0,-0.7124,-0.70212,-0.12928,-0.1064,7.94954,0.215,0,-0.53532,-0.53532,0.76244,4.14088,-0.12029,7.56457,7.50231
"42","2021_Q1",44.022131147541,"Down",121007000,-185661000,-120752000,-62116000,-67162000,819000,554000,-66343000,-66343000,-66760000,-66760000,-66760000,-66760000,631958000,326028000,305930000,27729000,25694000,717616000,9161000,55839000,54731000,6.5e+07,782616000,105967000,8493000,97474000,105967000,49640000,49640000,49640000,155607000,2612679000,-1985706000,36000,627009000,627009000,782616000,-66760000,838000,21579000,16855000,-27488000,-1999000,-114959000,-116958000,18126000,18126000,18126000,-126320000,-126320000,-126324000,-66324000,-1.97215226305253e-31,-0.55503,-0.5517,-0.10647,-0.0853,6.77207,0.24817,0,-0.41915,-0.41915,0.75974,3.93664,-0.09866,9.52835,9.40946
"43","2021_Q2",22.5712698412698,"Down",106554000,-171141000,-111661000,-56973000,-66772000,345000,2e+05,-66427000,-66427000,-66448000,-66448000,-66448000,-66448000,577768000,304487000,273281000,29073000,28515000,673984000,9757000,71432000,70694000,81189000,755173000,109373000,8849000,100524000,109373000,64194000,64194000,64194000,173567000,2633726000,-2052154000,34000,581606000,581606000,755173000,-66448000,895000,13728000,-8324000,-60149000,-1076000,31953000,30877000,7726000,7726000,7726000,-21546000,-21546000,-21541000,-65877000,0,-0.62665,-0.62361,-0.11425,-0.08799,6.16225,0.29843,0,-0.41527,-0.41527,0.66592,3.63479,-0.10289,8.77041,8.65285
"44","2021_Q3",19.27578125,"Down",115221000,-156404000,-96789000,-56935000,-43709000,311000,133000,-43398000,-43398000,-43871000,-43871000,-43871000,-43871000,556918000,266956000,289962000,26659000,26206000,645730000,9197000,69502000,69133000,78699000,724429000,95328000,9065000,86263000,95328000,64263000,64263000,64263000,159591000,2660825000,-2096025000,38000,564838000,564838000,724429000,-43871000,929000,22314000,-4699000.00000001,-25327000,-45000,-17162000,-17207000,5005000,5005000,5005000,-37529000,-37529000,-37531000,-42780000,0,-0.37935,-0.38076,-0.07767,-0.06056,6.77377,0.28254,0,-0.27417,-0.27417,0.72008,3.52999,-0.06974,13.01819,12.74149
"45","2021_Q4",20.11265625,"Up",131612000,-143225000,-81666000,-58565000,-15301000,512000,129000,-14789000,-14789000,-14457000,-14457000,-14457000,-14457000,540291000,94640000,445651000,25594000,24622000,640917000,8581000,68175000,68175000,76756000,717673000,88218000,7722000,80496000,88218000,62500000,62500000,62500000,150718000,2677438000,-2110482000,-1000,566955000,566955000,717673000,-14457000,985000,15753000,-19345000,-17064000,5.82076609134674e-11,-156321000,-156321000,1066000,1066000,1066000,-172319000,-172319000,-172316000,-14316000,0,-0.11626,-0.10985,-0.0255,-0.02014,7.26515,0.26584,0,-0.09055,-0.09055,0.82437,3.55121,-0.02297,37.74036,35.31083
"46","2022_Q1",24.1983870967742,"Up",130758000,-172971000,-105912000,-66942000,-44657000,1752000,129000,-42905000,-42905000,-43094000,-43094000,-43094000,-43094000,520706000,147435000,373271000,24870000,23892000,617823000,8047000,74252000,74252000,82299000,700122000,96068000,6876000,89192000,96068000,63160000,63160000,63160000,159228000,2694662000,-2153576000,-192000,540894000,540894000,700122000,-43094000,535000,11895000,7544000,-23120000,-1000,71550000,71549000,4365000,4365000,4365000,52794000,52794000,52795000,-44122000,7.70371977754894e-34,-0.34152,-0.32957,-0.07967,-0.06155,6.4311,0.29438,-2.29588740394978e-41,-0.26325,-0.26325,0.79877,3.3042,-0.07134,11.8015,11.66012
"47","2022_Q2",18.6761290322581,"Down",115468000,-225534000,-96679000,-128855000,-113016000,445000,105000,-112571000,-112571000,-113056000,-113056000,-113056000,-113056000,445977000,204920000,241057000,26524000,25755000,542223000,7531000,74497000,74497000,82028000,624251000,119603000,10768000,108835000,119603000,59867000,59867000,59867000,179470000,2712025000,-2266632000,-612000,444781000,444781000,624251000,-113056000,516000,15071000,21140000,-76329000,980680.050238362,131345000,131345000,2467000,2467000,2467000,57483000,57483000,57485000,-112500000,0,-0.97876,-0.97911,-0.25418,-0.18111,4.53352,0.4035,0,-0.7028,-0.7028,0.71779,2.76492,-0.22403,3.96424,3.94614
"48","2022_Q3",16.1946875,"Down",134563000,-165547000,-89901000,-75646000,-33651000,83000,580000,-33568000,-33568000,-34011000,-34011000,-34011000,-34011000,436351000,139833000,296518000,21888000,20952000,532519000,7016000,73231000,73231000,80247000,612766000,117681000,11854000,105827000,117681000,60253000,60253000,60253000,177934000,2736318000,-2300643000,-843000,434832000,434832000,612766000,-34011000,515000,21109000,-738000.000000004,-13125000,3885040.15071509,-55797000,-55797000,3831000,3831000,3831000,-65091000,-65091000,-65087000,-33136000,-4.81482486096809e-35,-0.25008,-0.25275,-0.07822,-0.0555,4.52511,0.4092,0,-0.21039,-0.21039,0.83241,2.68989,-0.0687,13.16849,12.96695
