"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"29","2017_Q2",154.36253968254,"Down",288063000,-127250000,160813000,-70494000,-70494000,90319000,-499000,-499000,89820000,89820000,-23237000,66583000,66583000,66583000,66583000,194239000,173288000,109680000,109680000,20740000,324659000,90438000,631068000,109032000,507656000,7066000,721506000,1046165000,102863000,50526000,19852000,16670000,32940000,32940000,135803000,48579000,3179000,45400000,413579000,549382000,676288000,515000,675773000,-1430560000,1330658000,-79603000,496783000,496783000,1046165000,66583000,10016000,5781000,-31267000,51113000,-12537000,-16700000,-81425000,-19867000,-68175000,5511000,-17531000,-47843000,-47843000,-7276000,-55119000,100335000,3.65e+08,79768000,0.55826,0.31354,0.23114,0.13403,0.06364,1.19802,2.39066,1.10588,0.34889,1.67181,1.66042,7.23286,12.47352,2.00286,0.49883,0.09496,0.08762,0.29838,1.70191,1.89064
"30","2017_Q3",154.638888888889,"Up",294354000,-131635000,162719000,-70973000,-70973000,91746000,-2256000,-2256000,89490000,89490000,-22780000,66710000,66710000,66710000,66710000,185354000,155351000,130825000,130825000,27861000,344040000,89450000,628339000,104695000,506832000,7950000,717789000,1061829000,117069000,51121000,19709000,33183000,37252000,37252000,154321000,49278000,3714000,45564000,414278000,568599000,705039000,517000,704522000,-1512127000,1377659000,-77341000,493230000,493230000,1061829000,66710000,10633000,3232000,-3630000,76945000,-5509000,-8449000,-13958000,-19701000,-63527000,2261000,-80967000,-17980000,-17980000,43000,-17937000,102379000,3.65e+08,116020000,0.5528,0.31169,0.22663,0.13525,0.06283,1.73917,2.22938,1.15281,0.34375,1.68933,1.68035,7.45408,12.49031,2.93803,0.4989,0.09522,0.12784,0.29532,1.75472,1.95808
"31","2017_Q4",182.346666666667,"Up",312120000,-146426000,165694000,-78052000,-78052000,87642000,-2413000,-2413000,85229000,85229000,-19815000,65414000,65414000,65414000,65414000,193685000,161758000,147455000,147455000,32043000,373183000,97442000,887389000,175534000,695667000,11089000,984831000,1358014000,129140000,63611000,21951000,36722000,51210000,51210000,180350000,75111000,24820000,47815000,650111000,830461000,720537000,517000,720020000,-1560466000,1421122000,-53640000,527553000,527553000,1358014000,65414000,13121000,12147000,1572000,92254000,-7935000,-4833000,-239024000,-19556000,-40905000,366000,149905000,3135000,3135000,3272000,6407000,100763000,5.75e+08,114215000,0.53087,0.2808,0.20958,0.124,0.04817,1.74603,2.06922,1.57418,0.42341,1.66376,1.65786,7.93855,13.41794,2.90498,0.49739,0.07215,0.09698,0.29896,3.78428,4.35082
"32","2018_Q1",192.481475409836,"Up",326642000,-161269000,165373000,-82945000,-82945000,82428000,-2655000,-2655000,79773000,79773000,-20221000,59552000,59552000,59552000,59552000,227175000,194731000,148331000,148331000,33870000,409376000,100454000,903485000,173543000,707560000,14970000,1003939000,1413315000,151262000,59214000,21853000,61083000,47495000,47495000,198757000,79867000,27274000,48672000,654867000,853624000,742266000,518000,741748000,-1606678000,1458823000,-34720000,559691000,559691000,1413315000,59552000,14524000,8853000,17284000,100213000,-10881000,-775000.000000001,-12899000,-21774000,-38326000,532000,-59568000,27746000,27746000,5225000,32971000,96952000,5.75e+08,123576000,0.50628,0.25235,0.18232,0.1064,0.04214,2.07509,2.05968,1.52517,0.40684,1.5214,1.51489,8.34484,14.29862,3.15704,0.55627,0.06696,0.10175,0.36563,3.5876,4.21974
"33","2018_Q2",190.92078125,"Down",329141000,-161524000,167617000,-78519000,-78519000,89098000,-2919000,-7083610.30112682,86179000,86179000,-15800000,70379000,70379000,70379000,70379000,253610000,221933000,144848000,144848000,28554000,427012000,98731000,904859000,168874000,712476000,16534000,1003590000,1430602000,118177000,67669000,21902000,20658000,43423000,43423000,161600000,76119000,25028000,46378000,650785000,812385000,776030000,521000,775509000,-1638384000,1507301000,-26730000,618217000,618217000,1430602000,70379000,14286000,8373000,-31895000,61143000,-5912000,-6942000,-5445000,-21682000,-9574000,442000,-30814000,24884000,24884000,2318000,27202000,103384000,574666000,81377000,0.50926,0.2707,0.21383,0.11384,0.0492,1.15627,2.6424,1.31408,0.4017,1.80067,1.77366,8.42116,15.81724,2.08205,0.55474,0.07255,0.06413,0.30807,3.10547,3.6034
"34","2018_Q3",207.994761904762,"Up",335231000,-163232000,171999000,-76514000,-76514000,95485000,-3272000,-6191000,92213000,92213000,-39076000,53137000,53137000,53137000,53137000,265186000,233628000,165493000,165493000,41388000,472067000,97470000,902955000,164687000,716912000,15569000,1000425000,1472492000,120765000,59395000,21799000,37797000,65728000,65728000,186493000,99207000,25688000,69220000,673909000,860402000,625784000,390000,625394000,-23379000,28283000,-18598000,612090000,612090000,1472492000,53137000,14086000,10006000,15317000,92546000,-6463000,-2545000,-6545000.00000001,-21724000,-55548000,-1.16415321826935e-10,-77272000,8729000,8729000,2966000,11695000,109571000,574702000,157501000,0.51308,0.28483,0.15851,0.08681,0.03609,2.96406,2.53129,1.40568,0.39029,1.3628,1.33356,8.59765,15.69824,4.03942,0.55715,0.05821,0.12247,0.40883,2.8248,3.24151
"35","2018_Q4",211.701746031746,"Up",339911000,-165073000,174838000,-81573000,-81573000,93265000,-3754000,6191000,89511000,89511000,-14765000,74746000,74746000,74746000,74746000,243546000,213061000,145255000,145255000,40809000,429610000,94380000,883182000,155776000,704807000,14683000,977562000,1407172000,140265000,62772000,24566000,40257000,57528000,57528000,197793000,99307000,23627000,68673000,674046000,871839000,643297000,391000,642906000,-145342000,78463000,-41085000,535333000,535333000,1407172000,74746000,14476000,5728000,30703000,125653000,-6e+06,-121000,-6121000,-21631000,-113218000,1776000,-133073000,-13541000,-13541000,-7026000,-20567000,107741000,574739000,147209000,0.51436,0.27438,0.2199,0.13963,0.05312,1.96946,2.17202,1.62859,0.40844,1.93673,1.91147,8.80735,13.87089,3.8143,0.56048,0.07969,0.12172,0.28939,3.07397,3.5511
"36","2019_Q1",215.565081967213,"Up",345862000,-169467000,176395000,-88039000,-88039000,88356000,-4421000,1920000,83935000,83935000,-15112000,68823000,68823000,68823000,68823000,237882000,208623000,156639000,156639000,36395000,430916000,100545000,887986000,148935000,701833000,27502000,988531000,1419447000,171434000,72059000,24443000,66479000,49700000,49700000,221134000,97638000,29023000,68615000,672413000,893547000,667924000,393000,667531000,-213428000,122843000,-51439000,525900000,525900000,1419447000,68823000,14437000,-5898000,28964000,106326000,-15145000,-2862000,-30420000,-24371000,-54005000,-502000,-78878000,-2972000,-2972000,-1466000,-4437999.99999999,102793000,574775000,131724000,0.51002,0.25547,0.19899,0.13087,0.04849,1.91395,1.94866,1.69908,0.40493,1.79873,1.77023,9.03931,13.74471,3.44268,0.63695,0.07777,0.10992,0.35411,3.27739,3.8129
"37","2019_Q2",267.482222222222,"Up",351640000,-166776000,184864000,-84325000,-84325000,100539000,-4596000,-2134544.71787607,95943000,95943000,-11647000,84296000,84296000,84296000,84296000,197848000,170378000,159890000,159890000,33445000,391183000,101566000,873178000,141037000,694897000,27801000,974744000,1365927000,116314000,61271000,24372000,22268000,40808000,40808000,157122000,92784000,30189000,62595000,667596000,824718000,694472000,394000,694078000,-278146000,184071000,-59189000,541208000,541208000,1365926000,84296000,14241000,7927000,-60144000,46320000,-9526000,-4356000,-7309000,-24252000,-50753000,0,-75005000,-35994000,-35994000,-2251000,-38245000,114780000,574812000,56757000,0.52572,0.28591,0.23972,0.15576,0.06171,0.67331,2.48968,1.52385,0.42082,2.21215,2.17207,9.22794,14.2027,1.48945,0.63644,0.0898,0.04695,0.2877,3.28423,3.74943
"38","2019_Q3",268.81125,"Up",354895000,-165108000,189787000,-81099000,-81099000,108688000,-4339000,-1732969.45392505,104349000,104349000,-19647000,84702000,84702000,84702000,84702000,245404000,218335000,176356000,176356000,66205000,487965000,104829000,872200000,136409000,700029000,29025000,977029000,1464994000,139604000,66846000,24385000,40140000,59178000,59178000,198782000,91843000,20220000,63148000,666691000,865473000,732935000,397000,732538000,-324167000,244388000,-53635000,599521000,599521000,1464994000,84702000,14811000,9497000,-9776000,99234000,-11956000,6470000,-12059000,-24190000,-16624000,-1.16415321826935e-10,-40814000,46361000,46361000,1596000,47957000,123499000,574848000,121414000,0.53477,0.30625,0.23867,0.14128,0.05782,1.43343,2.45477,1.44361,0.39239,2.22572,2.19327,9.3256,15.75365,3.1904,0.63564,0.086,0.09589,0.28559,2.66758,3.0311
"39","2019_Q4",249.511875,"Down",364533000,-163832000,200701000,-83461000,-83461000,117240000,-3856000,153590.536988497,113384000,113384000,-21119000,92265000,92265000,92265000,92265000,350315000,323960000,153461000,153461000,45395000,549171000,105287000,857443000,129205000,690956000,31285000,962730000,1511901000,141015000,67174000,27506000,42515000,50509000,50509000,191524000,91839000,19006000,61083000,665968000,857492000,782105000,4e+05,781705000,-371722000,309147000,-65121000,654409000,654409000,1511901000,92265000,14891000,5443000,47171000,159770000,-11424000,1249000,-10175000,-27327000,-11991000,-901000,-40219000,109376000,109376000,-3751000,105625000,132131000,574129000,188997000,0.55057,0.32162,0.2531,0.14099,0.06103,2.04841,2.86737,1.31033,0.37974,2.41392,2.36619,9.53726,17.12127,4.94472,0.71495,0.09057,0.14314,0.29618,1.69388,1.90902
"40","2020_Q1",265.076935483871,"Up",364283000,-167730000,196553000,-84985000,-84985000,111568000,-3279000,554000,108289000,108289000,-16762000,91527000,91527000,91527000,91527000,385612000,359799000,146309000,146309000,51891000,583812000,119384000,856934000,124448000,685729000,39186000,976318000,1560130000,171267000,79620000,27445000,64202000,47656000,47656000,218923000,94777000,16391000,68298000,668951000,887874000,807374000,401000,806973000,-433799000,373225000,-74544000,672256000,672256000,1560130000,91527000,16520000,3624000,10141000,121812000,-26464000,-14498000,-26557000,-24283000,-33953000,0,-58236000,37019000,37019000,-1180000,35839000,128088000,574174000,128527000,0.53956,0.30627,0.25125,0.13615,0.05867,1.40425,2.66675,1.32074,0.36803,2.3965,2.34258,9.5382,17.60201,3.36529,0.63581,0.08635,0.09583,0.26531,1.47213,1.69011
"41","2020_Q2",282.315396825397,"Up",366658000,-164957000,201701000,-88515000,-88515000,113186000,-4445000,-1314000,108741000,108741000,-14784000,93957000,93957000,93957000,93957000,362268000,336217000,145434000,145434000,38513000,546215000,137726000,1078291000,131679000,691321000,244777000,1216017000,1762232000,136919000,87172000,27290000,18632000,70731000,41325000,207650000,288485000,13471000,265082000,862704000,1070354000,836370000,402000,835968000,-519678000,439892000,-64706000,691878000,691878000,1762232000,93957000,14390000,12812000,-25368000,95791000,-26780000,-2620000,-27143000,-27259000,-67696000,-1022570.59585101,-94955000,-26307000,-26307000,2725000,-23582000,127576000,574219000,90212000,0.55011,0.3087,0.25625,0.1358,0.05332,0.96014,2.63046,1.54703,0.32585,2.47398,2.43494,9.65448,18.21786,2.37538,0.71776,0.07797,0.05803,0.29012,1.66137,1.87259
"42","2020_Q3",338.43578125,"Up",369780000,-176218000,193562000,-87305000,-87305000,106257000,-3148000,-487000,103109000,103109000,-14423000,88686000,88686000,88686000,88686000,605177000,585605000,155011000,155011000,81742000,841930000,133102000,1108356000,121095000,709703000,277558000,1241458000,2083388000,193250000,82094000,29283000,81873000,83043000,53987000,276293000,336366000,19713000,307334000,910720000,1187013000,939475000,408000,939067000,-636956000,633149000,-39293000,896375000,896375000,2083388000,88686000,13906000,22037000,-24960000,99669000,-25119000,384000.000000001,-22793000,-27104000,-40412000,-1586000,-69102000,7774000,7774000,-503000,7271000,120163000,574354000,84507000,0.52345,0.28735,0.23983,0.09894,0.04257,0.95288,3.04724,1.32424,0.27568,2.34148,2.29893,9.76291,23.66604,2.23115,0.7156,0.06408,0.04676,0.30562,-0.25651,-0.29008
"43","2020_Q4",324.34375,"Down",374083000,-170703000,203380000,-81740000,-81740000,121640000,-2500000,-289000,119140000,119140000,-17924000,101216000,101216000,101216000,101216000,480313000,457707000,151398000,151398000,76718000,708429000,136655000,1102621000,127207000,688484000,286930000,1239276000,1947705000,159350000,80048000,29188000,50114000,87950000,58725000,247300000,333138000,15502000,308751000,907447000,1154747000,901069000,406000,900663000,-606405000,573354000,-75060000,792958000,792958000,1947705000,101216000,13037000,36570000,130000,150953000,-11010000,3699000,-11510000,-27075000,2426000,-6000,-24655000,114788000,114788000,-569000,114219000,134677000,574309000,141721000,0.54368,0.32517,0.27057,0.12764,0.05197,1.40018,2.86465,1.45625,0.29486,2.67188,2.63035,9.87495,20.93232,3.74112,0.71472,0.07545,0.08335,0.2675,0.69794,0.77274
"44","2021_Q1",311.318196721311,"Down",383590000,-183568000,200022000,-101445000,-101445000,98577000,-2433000,-607000,96144000,96144000,-7065000,89079000,89079000,89079000,89079000,605177000,585605000,155011000,155011000,81742000,841930000,133102000,1108356000,121095000,709703000,277558000,1241458000,2083388000,193250000,82094000,29283000,81873000,83043000,53987000,276293000,336366000,19713000,307334000,910720000,1187013000,939475000,408000,939067000,-636956000,633149000,-39293000,896375000,896375000,2083388000,89079000,16281000,35471000,18596000,159427000,-14733000,-4199000,-12186000,-29001000,1577000,-1939000,-29363000,117878000,117878000,10020000,127898000,114858000,574354000,125786000,0.52145,0.25699,0.23222,0.09938,0.04276,1.41207,3.04724,1.32424,0.27568,2.34369,2.2876,10.09235,23.58385,3.30946,0.76302,0.06534,0.06961,0.32556,-0.26836,-0.31268
"45","2021_Q2",322.950793650794,"Up",388206000,-188088000,200118000,-79087000,-79087000,121031000,-799000,230000,120232000,120232000,-19026000,101206000,101206000,101206000,101206000,578303000,560137000,156218000,156218000,69568000,804089000,135121000,1160216000,134896000,738575000,286745000,1295337000,2099426000,150490000,84738000,29266000,36486000,77393000,46439000,227883000,343459000,18444000,315868000,918970000,1146853000,968784000,409000,968375000,-682224000,705089000,-39076000,952573000,952573000,2099426000,101206000,15290000,22451000,-49671000,89276000,-18333000,-250000,-58322000,-29103000,-25151000,-2123000,-56377000,-25423000,-25423000,-45000,-25468000,136321000,575511000,87343000,0.51549,0.31177,0.2607,0.10624,0.04821,0.86302,3.52852,1.20395,0.27413,2.66283,2.61534,10.21407,25.06309,2.29808,0.76573,0.06963,0.04667,0.28756,-0.0204800000000001,-0.0230700000000002
"46","2021_Q3",359.4103125,"Up",391787000,-195523000,196264000,-80132000,-80132000,116132000,-1466000,348000,114666000,114666000,-18023000,96643000,96643000,96643000,96643000,620452000,602684000,171574000,171574000,75687000,867713000,132871000,1162923000,130897000,746041000,285985000,1295794000,2163507000,171397000,80606000,29141000,61650000,99906000,67923000,271303000,337337000,15141000,312768000,911736000,1183039000,990327000,409000,989918000,-753954000,772591000,-28496000,980468000,980468000,2163507000,96643000,15672000,18591000,9754000,140660000,-10425000,-1e+06,-11426000,-29083000,-60963000,-236000,-90282000,38952000,38952000,3595000,42547000,131804000,574399000,149156000,0.50095,0.29642,0.24667,0.09857,0.04467,1.54337,3.19832,1.20661,0.26549,2.54277,2.49743,10.30829,25.79704,3.92443,0.7652,0.06644,0.07883,0.30093,-0.34941,-0.39656
"47","2021_Q4",444.24703125,"Up",399558000,-205257000,194301000,-76599000,-76599000,117702000,-3426000,-1587000,114276000,114276000,-13597000,100679000,100679000,100679000,100679000,676701000,658340000,161073000,161073000,82280000,920054000,135850000,1162541000,130521000,749896000,282124000,1298391000,2218445000,183390000,80672000,30972000,71746000,97545000,65124000,280935000,331721000,16018000,307023000,906211000,1187146000,1019791000,410000,1019381000,-811532000,842298000,-19258000,1031299000,1031299000,2218445000,100679000,17223000,22284000,127000,140313000,-18656000,0,-18656000,-28958000,-39134000,-7000,-68099000,53558000,53558000,2098000,55656000,134925000,574490000,129993000,0.48629,0.29458,0.25198,0.09762,0.04538,1.29116,3.27497,1.15112,0.25896,2.65953,2.61029,10.55468,27.24268,3.43388,0.76495,0.06691,0.06709,0.28763,-0.75754,-0.86839
"48","2022_Q1",418.744838709677,"Down",411894000,-197532000,214362000,-95186000,-95186000,119176000,-733000,979000,118443000,118443000,-17381000,101062000,101062000,101062000,101062000,717849000,681865000,151187000,151187000,64542000,933578000,131377000,1159985000,134986000,754205000,268544000,1291362000,2224940000,221025000,85777000,30845000,104403000,94680000,63104000,315705000,318347000,14752000,295201000,892882000,1208587000,1048717000,411981.117737771,1055653768.51837,-905917000,912515000,-38962000,1016353000,1016353000,2224940000,101062000,16291000,19983000,47641000,184977000,-13911000,-17537000,-47588000,-30783000,-75277000,-1893000,-107953000,29436000,29436000,-5911000,23525000,135467000,574535000,186578000,0.52043,0.28934,0.24536,0.09944,0.04542,1.84617,2.95712,1.18914,0.25822,2.66964,2.62022,10.88055,26.84787,4.92862,0.81316,0.06906,0.09772,0.3046,-1.05793,-1.20254
"49","2022_Q2",389.259677419355,"Down",424725000,-207131000,217594000,-91238000,-91238000,126356000,-2731000,-1237000,123625000,119930000,-12283000,107647000,107647000,107647000,107647000,708893000,673900000,157390000,157390000,82285000,948568000,122407000,1183389000,139313000,783025000,258926000,1305796000,2254364000,186542000,105481000,30973000,50088000,86018000,54778000,272560000,308329000,15784000,284825000,882909000,1155469000,1094881000,414000,1094467000,-927505000,989189000,-57670000,1098895000,1098895000,2254364000,107647000,17208000,26720000,-78657000,72918000,-8583000,-250000,-58851000,-30656000,17124000,-2950000,-16482000,-2415000,-2415000,-5550000,-7965000,143564000,574580000,68607000,0.51232,0.2975,0.25345,0.09796,0.04775,0.63733,3.48022,1.05148,0.25487,2.8499,2.78582,11.24439,29.09272,1.81634,0.8116,0.06979,0.03462,0.28478,-0.93556,-1.06297
"50","2022_Q3",421.92015625,"Up",431119000,-199413000,231706000,-112053000,-112053000,119653000,-1392000,281000,118261000,121956000,-12018000,109938000,109938000,109938000,109938000,807996000,773012000,188308000,188308000,94355000,1090659000,114789000,1168709000,135042000,786172000,245326000,1283498000,2374157000,190076000,90262000,31065000,68749000,103162000,72152000,293238000,290313000,15018000,268062000,864938000,1158176000,1131581000,415000,1131166000,-927814000,1068062000,-55848000,1215981000,1215981000,2374157000,109938000,15619000,32112000,-35635000,122034000,-11963000,0,-11963000,-30792000,21165000,-308000,-9935000,100136000,100136000,-1024000,99112000,135272000,574625000,99692000,0.53745,0.27754,0.25501,0.09041,0.04631,0.9068,3.71936,0.95246,0.24203,2.91056,2.84511,11.41367,32.19251,2.6393,0.8152,0.06763,0.04791,0.28009,-1.7252,-1.9504
