"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_investment_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"36","2019_Q4",106.04390625,"Up",213263000,-10827000,202436000,-292220000,-96101000,-196119000,-89784000,-2129000,-2129000,-91913000,-91913000,-91913000,-91913000,-91913000,-91913000,870313000,193466000,676847000,190318000,190318000,92034000,43694000,43694000,1196359000,144743000,756435000,181764000,901178000,2097537000,239183000,181282000,246211000,71725000,71725000,71725000,317936000,3288367000,-1509068000,302000,1779601000,1779601000,2097537000,-91913000,7980000,32250000,-8963000,-60646000,-18432000,-363565000,-381997000,571997000,571997000,571997000,129354000,129354000,129354000,-81804000,0,0.94923,-0.421,-0.43098,-0.05165,-0.04382,4.85908,0.17866,0,-0.5465,-0.5465,1.26802,10.58115,-0.04965,10.639,9.69341
"37","2020_Q1",110.73435483871,"Up",289804000,-11928000,277876000,-316290000,-115229000,-201061000,-38414000,64244000,64244000,25830000,25830000,25830000,25830000,25830000,25830000,811055000,274562000,536493000,236001000,236001000,85932000,43653000,43653000,1176641000,155491000,816451000,241755000,1029225000,2205866000,259357000,207065000,259357000,70222000,70222000,70222000,329579000,3359296000,-1483238000,229000,1876287000,1876287000,2205866000,25830000,5889000,-9621000,-33949000,-11851000,-18990000,84144000,65154000,27793000,27793000,27793000,81096000,81096000,81096000,-32525000,0,0.95884,-0.13255,0.08913,0.01377,0.01171,4.53676,0.17565,0,0.15043,0.15043,1.68777,10.9272,0.01327,24.93636,21.11353
"38","2020_Q2",149.17380952381,"Up",234514000,-29421000,205093000,-317448000,-122249000,-195199000,-112355000,-56047000,-56047000,-168402000,-168402000,-168402000,-168402000,-168402000,-168402000,799087000,249116000,549971000,224613000,224613000,84740000,52007000,52007000,1160447000,174693000,755816000,181145000,931016000,2091463000,257219000,186845000,257219000,68626000,68626000,68626000,325845000,3413780000,-1651640000,3478000,1765618000,1765618000,2091463000,-168402000,5967000,94711000,-1335000.00000001,-69059000,-25256000,47074000.0000001,21818000,21786000.0000001,21786000.0000001,21786000.0000001,-25455000,-25455000,-25446000,-106388000,0,0.87454,-0.4791,-0.71809,-0.09538,-0.08052,4.51151,0.18455,0,-0.97709,-0.97709,1.36068,10.24437,-0.09181,7.51106,7.11216
"39","2020_Q3",167.4046875,"Up",277998000,-48244000,229754000,-323719000,-125642000,-198077000,-93965000,72775000,72775000,-21190000,-21190000,-21190000,-21190000,-21190000,-21190000,895668000,117320000,778348000,290074000,290074000,90002000,54838000,54838000,1330582000,185288000,648686000,78726000,833974000,2164556000,282615000,223389000,282615000,67864000,67864000,67864000,350479000,3485439000,-1672830000,1468000,1814077000,1814077000,2164556000,-21190000,15340000,-33440000,-46994000,-86284000,-21890000,-55041000,-76931000,31485000,31485000,31485000,-131730000,-131730000,-131796000,-78625000,0,0.82646,-0.33801,-0.07622,-0.01168,-0.00979,4.70811,0.1932,0,-0.1222,-0.1222,1.60316,10.46144,-0.01126,11.39164,9.53193
"40","2020_Q4",186.4465625,"Up",1061731000,-78297000,983434000,-345248000,-127579000,-217669000,638186000,1223000,1223000,639409000,639409000,636167000,636167000,636167000,636167000,1718375000,919454000,798921000,293416000,293416000,96727000,57521000,57521000,2166039000,192867000,646055000,81900000,838922000,3004961000,342688000,274038000,593138000,153793000,153793000,153793000,746931000,3293843000,-1036663000,850000,2258030000,2258030000,3004961000,636167000,15453000,42102000,129045000,822767000,-18753000,-21574000,-40326999.9999999,19502000,19502000,19502000,801942000,801942000,802134000,653639000,0,0.92626,0.60108,0.59918,0.28174,0.21171,3.65183,0.33079,0,3.64626,3.22827,6.08543,12.94215,0.26377,-2.62894,-2.69259
"41","2021_Q1",161.135081967213,"Down",601293000,-61758000,539535000,-374549000,-158365000,-216184000,164986000,898000,898000,165884000,165884000,167095000,167095000,167095000,167095000,2559420000,558424000,2000996000,324988000,324988000,116136000,61840000,61840000,3062384000,196700000,640992000,82641000,938522000,4000906000,388138000,310071000,388138000,124668000,124668000,124668000,512806000,4357103000,-869568000,565000,3488100000,3488100000,4000906000,167095000,15630000,44275000,-37856000,189144000,-16510000,-1307062000,-1323572000,773335000,773335000,773335000,-361093000,-361093000,-361030000,180616000,0,0.89729,0.27439,0.27789,0.0479,0.04176,7.88994,0.14702,0,0.93292,0.89676,3.35713,19.47473,0.04625,-14.17051,-15.51295
"42","2021_Q2",148.591746031746,"Down",331983000,-64135000,267848000,-390268000,-159842000,-230426000,-122420000,999999.999999996,999999.999999996,-121420000,-121420000,-121420000,-121420000,-121420000,-121420000,2531156000,373712000,2157444000,335828000,335828000,146591000,90122000,90122000,3103697000,196761000,642527000,89870000,839288000,3942985000,389616000,281568000,389616000,128745000,128745000,128745000,518361000,4415118000,-990988000,494000,3424624000,3424624000,3942985000,-121420000,15277000,47803000,-66986000,-125326000,-7515000,-71200000.0000005,-78715000,19791000,19791000,19791000,-184250000,-184250000,-184712000,-107143000,0,0.80681,-0.36875,-0.36574,-0.03545,-0.03079,7.96604,0.15136,0,-0.67027,-0.67027,1.83264,18.90491,-0.03417,23.62409,20.676
"43","2021_Q3",155.63265625,"Up",388477000,-78090000,310387000,-399990000,-165130000,-234860000,-89603000,5027000,5027000,-84576000,-84576000,-84576000,-84576000,-84576000,-84576000,2451612000,413434000,2038178000,379740000,379740000,163184000,103976000,103976000,3098512000,203146000,650500000,103600000,853646000,3952158000,433834000,331431000,433834000,127050000,127050000,127050000,560884000,4466046000,-1075564000,792000,3391274000,3391274000,3952158000,-84576000,15777000,41377000,-45022000,-72444000,-14888000,113733000,98845000,13201000,13201000,13201000,39602000,39602000,39722000,-73826000,0,0.79898,-0.23065,-0.21771,-0.02494,-0.0214,7.14216,0.16539,0,-0.46688,-0.46688,2.1445,18.72081,-0.02404,33.20798,27.36082
"44","2021_Q4",167.436875,"Up",424091000,-82650000,341441000,-639373000,-180281000,-459092000,-297932000,5228000,5228000,-292704000,-292704000,-293816000,-293816000,-293816000,-293816000,2436374000,685173000,1751201000,387169000,387169000,181375000,109695000,109695000,3114613000,209469000,653796000,112716000,863265000,3977878000,698434000,588477000,698434000,114489000,114489000,114489000,812923000,4533543000,-1369411000,823000,3164955000,3164955000,3977878000,-293847000,16621000,46155000,213217000,-17854000,-16352000,284124000,267772000,22440000,22440000,22440000,272358000,272358000,271739000,-281311000,0,0.80511,-0.70252,-0.69281,-0.09283,-0.07386,4.45942,0.25685,0,-1.61169,-1.61169,2.3263,17.36096,-0.08959,8.66078,8.17762
"45","2022_Q1",135.292419354839,"Down",429820000,-86690000,343130000,-515231000,-210937000,-304294000,-172101000,-4904000,-4904000,-177005000,-177005000,-174659000,-174659000,-174659000,-174659000,2160036000,424834000,1735202000,389256000,389256000,200663000,119239000,119239000,2869194000,210073000,640337000,105073000,850410000,3719604000,568854000,454030000,568854000,85611000,85611000,85611000,654465000,4607999000,-1544039000,1179000,3065139000,3065139000,3719604000,-174628000,18266000,62204000,-189225000,-283383000,-13575000,14557000,982000,22347000,22347000,22347000,-260054000,-260054000,-260339000,-153835000,0,0.79831,-0.4004,-0.40635,-0.05698,-0.04696,5.04381,0.21352,0,-0.95807,-0.95807,2.35772,16.81343,-0.05543,14.04125,12.55098
"46","2022_Q2",144.11064516129,"Up",426460000,-87626000,338834000,-471884000,-174225000,-297659000,-133050000,-2190000,-2190000,-135240000,-135240000,-136494000,-136494000,-136494000,-136494000,1951093000,260996000,1690097000,401009000,401009000,275747000,143406000,143406000,2771255000,214379000,631059000,101486000,845438000,3616693000,531294000,444066000,531294000,86932000,86932000,86932000,618226000,4678576000,-1680533000,424000,2998467000,2998467000,3616693000,-136494000,17093000,49983000,-147394000,-216812000,-17397000,44060000,26663000,26664000,26664000,26664000,-163485000,-163485000,-163838000,-115957000,0,0.79453,-0.31199,-0.32006,-0.04552,-0.03774,5.21605,0.20618,0,-0.74548,-0.74548,2.32917,16.37656,-0.04424,16.826,14.66436
"47","2022_Q3",162.9109375,"Up",497502000,-106100000,391402000,-524513000,-220259000,-304254000,-133111000,-1609000,-1609000,-134720000,-134720000,-134827000,-134827000,-134827000,-134827000,1850322000,364874000,1485448000,438041000,438041000,319354000,170938000,170938000,2778655000,218901000,632787000,108967000,851688000,3630343000,608521000,479649000,608521000,89010000,89010000,89010000,697531000,4747665000,-1815360000,507000,2932812000,2932812000,3630343000,-134827000,17218000,61204000,-15365000,-71770000,-14764000,201613000,173093000,14960000,14960000,14960000,116283000,116283000,113827000,-115893000,0,0.78673,-0.26756,-0.27101,-0.04597,-0.03714,4.56624,0.23784,0,-0.73218,-0.73218,2.70169,15.92664,-0.04462,15.96578,13.90059
