"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_revenue_long_term","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","stock_based_compensation","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_change_in_long_term_investment","decrease_in_long_term_investment","increase_in_long_term_investment","net_cash_from_acquisitions_divestitures","net_cash_from_other_acquisitions","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repayment_of_short_term_debt_net","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"26","2016_Q3",25.5525,"Up",1.1927e+10,-4.495e+09,7.432e+09,-4.138e+09,-2.462e+09,-2.286e+09,-1.76e+08,-1.509e+09,-7.1e+07,3.294e+09,1.2e+07,7.5e+07,-1.62e+08,2.37e+08,-6.3e+07,3.306e+09,3.306e+09,-1.59e+08,3.147e+09,3.147e+09,3.147e+09,3.147e+09,6.0375e+10,6.314e+09,5.4061e+10,4.302e+09,4.302e+09,1.362e+09,8.966e+09,6.132e+09,7.5005e+10,3.386e+09,3.4251e+10,2.322e+09,2.4958e+10,6.971e+09,3.7637e+10,1.12642e+11,3.999e+09,9.62e+08,3.7e+08,2.667e+09,3.008e+09,1.5792e+10,9.796e+09,5.996e+09,2.2799e+10,2.1591e+10,7.374e+09,5.389e+09,7.06e+08,1.279e+09,2.8965e+10,5.1764e+10,4.3857e+10,1.7821e+10,-8.07e+08,6.0871e+10,6.0878e+10,1.12642e+11,3.147e+09,4.98e+08,1.7e+08,3.3e+08,81000000.0000001,-2.41e+08,1.07e+08,3.57e+08,2.3e+07,-1.51e+08,-1.22e+08,3.922e+09,-3.09e+08,-3.14e+08,-3.14e+08,-9.6e+08,7.394e+09,-8.354e+09,-1.03e+08,-4.75e+08,-6.5e+07,-1.437e+09,-1e+07,0,-8.18e+08,3.16e+08,-1.134e+09,-35999999.9999999,-1.929e+09,5.56e+08,5.56e+08,5.56e+08,3.792e+09,2.4599e+10,3.749e+09,0.62312,0.27618,0.26386,0.05169,0.02794,1.19129,3.28984,0.85029,0.21838,0.62071,0.61742,2.35247,12.00611,0.73945,0.04536,0.04038,-9.4346,-10.86096
"27","2016_Q4",25.5380952380952,"Down",1.2e+10,-4.279e+09,7.721e+09,-4.737e+09,-3.013e+09,-2.447e+09,-5.66e+08,-1.626e+09,-8.1e+07,2.984e+09,9.9e+07,9.5e+07,-1.75e+08,2.7e+08,4e+06,3.083e+09,3.083e+09,-7.34e+08,2.349e+09,2.349e+09,2.349e+09,2.349e+09,6.3512e+10,8.895e+09,5.4617e+10,4.047e+09,4.047e+09,1.343e+09,9.669e+09,6.946e+09,7.8571e+10,3.529e+09,3.6554e+10,2.744e+09,2.6762e+10,7.048e+09,4.0083e+10,1.18654e+11,3.904e+09,1.007e+09,1.52e+08,2.745e+09,4.164e+09,1.5935e+10,9.662e+09,6.273e+09,2.4003e+10,2.4431e+10,7.862e+09,5.61e+09,8.91e+08,1.361e+09,3.2293e+10,5.6296e+10,4.4137e+10,1.8448e+10,-2.27e+08,6.2358e+10,6.2358e+10,1.18654e+11,2.349e+09,5.41e+08,2.52e+08,3.95e+08,-4.5e+07,-9.8e+07,-7.8e+07,4.24e+08,3.6e+07,3.3e+07,-5.71e+08,3.064e+09,-3.04e+08,-3.04e+08,-3.04e+08,8.1e+07,1.7394e+10,-1.7313e+10,-2.072e+09,-2.072e+09,-6.9e+07,-2.364e+09,3.977e+09,0,-7.4e+08,7e+07,-8.1e+08,-4.8e+07,1.881e+09,2.581e+09,2.581e+09,2.581e+09,3.525e+09,2.8595e+10,3.877e+09,0.64342,0.24867,0.19575,0.03767,0.0198,1.65049,3.27338,0.90279,0.24099,0.46681,0.46377,2.38474,12.39229,0.77047,0.03701,0.03923,-9.90553,-11.70141
"28","2017_Q1",27.3975806451613,"Up",1.2638e+10,-4.663e+09,7.975e+09,-4.672e+09,-2.976e+09,-2.443e+09,-5.33e+08,-1.601e+09,-8.2e+07,3.303e+09,9.1e+07,9.3e+07,-1.8e+08,2.73e+08,-2e+06,3.394e+09,3.394e+09,-5.81e+08,2.813e+09,2.813e+09,2.813e+09,2.813e+09,6.5756e+10,7.631e+09,5.8125e+10,5.847e+09,5.847e+09,1.217e+09,5.899e+09,5.899e+09,7.8719e+10,3.506e+09,3.9427e+10,2.501e+09,2.6625e+10,6.002e+09,4.2933e+10,1.21652e+11,4.524e+09,1.056e+09,5.17e+08,2.951e+09,4.16e+09,1.6227e+10,1.0155e+10,6.072e+09,2.4911e+10,2.4483e+10,8.673e+09,6.317e+09,9.25e+08,1.431e+09,3.3156e+10,5.8067e+10,4.4516e+10,1.9396e+10,-3.26e+08,6.3586e+10,6.3585e+10,1.21652e+11,2.813e+09,6.04e+08,-1.12e+08,3.57e+08,-4.23e+08,-4.6e+07,5.13e+08,-1.816e+09,1.26e+08,4.9e+07,2.154e+09,3.818e+09,-2.36e+08,-2.66e+08,-2.66e+08,-3.151e+09,7.297e+09,-1.0448e+10,0,0,2.1e+07,-3.366e+09,-9.5367431640625e-07,7.45058059692383e-09,-3.99e+08,3.56e+08,-7.55e+08,-8e+06,-1.716e+09,-1.264e+09,-1.264e+09,-1.264e+09,3.907e+09,2.8643e+10,4.765e+09,0.63103,0.26135,0.22258,0.04424,0.02312,1.69392,3.16001,0.91322,0.23545,0.55924,0.55407,2.51252,12.64135,0.94732,0.04085,0.04722,-9.4991,-11.23615
"29","2017_Q2",27.76,"Up",1.2352e+10,-4.468e+09,7.884e+09,-5.007e+09,-2.973e+09,-2.418e+09,-5.55e+08,-1.545e+09,-7.8e+07,2.877e+09,7.6e+07,9.7e+07,-1.98e+08,2.95e+08,-2.1e+07,2.953e+09,2.953e+09,-6.31e+08,2.322e+09,2.322e+09,2.322e+09,2.322e+09,7.0968e+10,8.583e+09,6.2385e+10,4.805e+09,4.805e+09,1.176e+09,6.192e+09,6.192e+09,8.3141e+10,3.499e+09,3.9647e+10,2.297e+09,2.6823e+10,6.47e+09,4.3146e+10,1.26287e+11,3.647e+09,9.96e+08,3.2e+07,2.619e+09,4.155e+09,1.5415e+10,1.0215e+10,5.2e+09,2.3217e+10,3.0634e+10,9.023e+09,6.736e+09,8.83e+08,1.404e+09,3.9657e+10,6.2874e+10,4.4236e+10,1.9694e+10,-5.24e+08,6.3406e+10,6.3413e+10,1.26287e+11,2.322e+09,5.99e+08,4.86e+08,3.72e+08,1.58e+08,-4.4e+07,-6.77e+08,1.049e+09,4.4e+07,-6.3e+07,-1.707e+09,2.73e+09,-2.73e+08,-2.75e+08,-2.75e+08,-4.919e+09,1.3786e+10,-1.8705e+10,-2.51e+08,-2.51e+08,4.7e+07,-5.396e+09,6.231e+09,0,-9.35e+08,8.8e+07,-1.023e+09,-3.7e+08,3.618e+09,9.52e+08,9.52e+08,9.52e+08,3.476e+09,3.4789e+10,3.157e+09,0.63828,0.23292,0.18799,0.03662,0.01839,1.3596,3.58104,0.9915,0.27548,0.46191,0.45835,2.45713,12.61309,0.62801,0.03385,0.02944,-10.40823,-12.57525
"30","2017_Q3",27.3784126984127,"Down",1.158e+10,-4.304e+09,7.276e+09,-4.383e+09,-2.678e+09,-2.222e+09,-4.56e+08,-1.508e+09,-6.4e+07,2.893e+09,7e+07,1.07e+08,-2.22e+08,3.29e+08,-3.7e+07,2.963e+09,2.963e+09,-6.15e+08,2.348e+09,2.348e+09,2.348e+09,2.348e+09,7.1845e+10,1.0898e+10,6.0947e+10,4.458e+09,4.458e+09,1.264e+09,5.825e+09,5.825e+09,8.3392e+10,3.422e+09,3.9434e+10,2.117e+09,2.6822e+10,6.202e+09,4.2856e+10,1.26248e+11,3.536e+09,9.57e+08,56999999.9999999,2.522e+09,4.451e+09,1.4721e+10,1.0243e+10,4.478e+09,2.2708e+10,3.0471e+10,9.251e+09,6.843e+09,1.025e+09,1.383e+09,3.9722e+10,6.243e+10,4.4585e+10,2.0027e+10,-8.01e+08,6.3811e+10,6.3818e+10,1.26248e+11,2.348e+09,5.49e+08,1.94e+08,3.52e+08,-1.84e+08,2.6e+07,6.81e+08,3.47e+08,-9.5e+07,-3.5e+07,4.64e+08,3.772e+09,-2.48e+08,-2.51e+08,-2.51e+08,5.95e+08,9.879e+09,-9.284e+09,0,-2.38418579101562e-07,7.1e+07,4.18e+08,3e+08,3e+08,-6.7e+08,2.98e+08,-9.68e+08,-2.01e+08,-1.875e+09,2.315e+09,2.315e+09,2.315e+09,3.442e+09,3.4922e+10,4.49e+09,0.62832,0.24983,0.20276,0.03679,0.0186,1.91227,3.67236,0.97825,0.27661,0.4682,0.46587,2.30907,12.72403,0.89531,0.03382,0.04158,-10.72719,-12.76288
"31","2017_Q4",30.9869841269841,"Up",1.194e+10,-4.422e+09,7.518e+09,-4.349e+09,-2.713e+09,-2.226e+09,-4.87e+08,-1.507e+09,-5.9e+07,3.169e+09,2.2e+07,1.35e+08,-2.19e+08,3.54e+08,-1.13e+08,3.191e+09,3.191e+09,-6.76e+08,2.515e+09,2.515e+09,2.515e+09,2.515e+09,6.7974e+10,8.116e+09,5.9858e+10,4.635e+09,4.635e+09,1.366e+09,5.987e+09,5.987e+09,7.9962e+10,3.395e+09,4.2593e+10,2.704e+09,2.9516e+10,6.022e+09,4.5988e+10,1.2595e+11,4.064e+09,1.219e+09,2e+07,2.825e+09,4.248e+09,1.4406e+10,1.0344e+10,4.062e+09,2.2718e+10,2.8222e+10,9.628e+09,6.978e+09,1.168e+09,1.482e+09,3.785e+10,6.0568e+10,4.5003e+10,2.0721e+10,-3.42e+08,6.5382e+10,6.5382e+10,1.2595e+11,2.515e+09,5.6e+08,3.7e+08,4e+08,-9.9e+07,6.9e+07,-7.2e+07,-1.43e+08,-9.8e+07,2.47e+08,-7.8e+07,3.373e+09,-2.29e+08,-2.3e+08,-2.3e+08,1.394e+09,9.139e+09,-7.745e+09,-2.96e+09,-2.96e+09,8.5e+07,-1.71e+09,-2.45e+09,1.7e+09,-4.93e+08,3.2e+07,-5.25e+08,-5.1e+07,-4.445e+09,-2.782e+09,-2.782e+09,-2.782e+09,3.729e+09,3.247e+10,4.104e+09,0.62965,0.26541,0.21064,0.03847,0.01997,1.63181,3.51976,0.92637,0.2578,0.5025,0.49851,2.38561,13.06334,0.81998,0.0369,0.03818,-9.52105,-11.20353
"32","2018_Q1",37.0647540983607,"Up",1.2133e+10,-4.587e+09,7.546e+09,-4.512e+09,-2.813e+09,-2.318e+09,-4.95e+08,-1.499e+09,-5.8e+07,3.034e+09,1.46e+08,1.38e+08,-2.22e+08,3.6e+08,8e+06,3.18e+09,3.18e+09,-7.56e+08,2.424e+09,2.424e+09,2.424e+09,2.424e+09,7.0492e+10,1.1708e+10,5.8784e+10,5.146e+09,5.146e+09,1.616e+09,6.449e+09,6.449e+09,8.3703e+10,3.322e+09,4.2793e+10,2.539e+09,2.9766e+10,6.249e+09,4.6115e+10,1.29818e+11,4.378e+09,1.385e+09,9.8e+07,2.895e+09,7.992e+09,1.5213e+10,1.0821e+10,4.392e+09,2.7583e+10,2.5725e+10,1.0373e+10,7.673e+09,1.25e+09,1.45e+09,3.6098e+10,6.3681e+10,4.5253e+10,2.0838e+10,4.6e+07,6.6137e+10,6.6137e+10,1.29818e+11,2.424e+09,5.78e+08,3.45e+08,4.02e+08,1e+06,-5.8e+07,6.54e+08,-4.97e+08,-2.45e+08,1.62e+08,1.234e+09,4.001e+09,-2.07e+08,-2.08e+08,-2.08e+08,9.76e+08,8.166e+09,-7.19e+09,-1.13e+08,-112999999.999999,3.9e+07,6.95e+08,1.245e+09,4.97e+08,-8.79e+08,2.9e+08,-1.169e+09,-2.2e+07,-1.104e+09,3.592e+09,3.592e+09,3.592e+09,3.612e+09,3.3717e+10,4.815e+09,0.62194,0.25006,0.19979,0.03665,0.01867,1.98639,3.03459,0.96286,0.25973,0.48548,0.48048,2.43,13.24594,0.96435,0.03513,0.04368,-10.18134,-12.12096
"33","2018_Q2",38.49109375,"Up",1.2136e+10,-4.709e+09,7.427e+09,-4.671e+09,-2.891e+09,-2.334e+09,-5.57e+08,-1.567e+09,-6.1e+07,2.756e+09,2.06e+08,1.44e+08,-2.35e+08,3.79e+08,6.2e+07,2.962e+09,2.962e+09,-5.68e+08,2.394e+09,2.394e+09,2.394e+09,2.394e+09,7.1588e+10,1.1043e+10,6.0545e+10,4.206e+09,4.206e+09,1.693e+09,6.593e+09,6.593e+09,8.408e+10,3.202e+09,4.324e+10,2.677e+09,3.0233e+10,6.324e+09,4.6442e+10,1.30522e+11,3.925e+09,1.155e+09,8.6e+07,2.684e+09,1.0239e+10,1.512e+10,1.092e+10,4.2e+09,2.9284e+10,2.5684e+10,1.0004e+10,7.645e+09,8.83e+08,1.476e+09,3.5688e+10,6.4972e+10,4.4872e+10,2.0647e+10,3.1e+07,6.555e+10,6.555e+10,1.30522e+11,2.394e+09,5.66e+08,4.97e+08,3.92e+08,1.78e+08,-7.3e+07,-3.77e+08,9.57e+08,-8e+07,-2.35e+08,-1.019e+09,3.08e+09,-1.67e+08,-1.68e+08,-1.68e+08,-1.684e+09,6.611e+09,-8.295e+09,-7.25e+08,-7.25e+08,7.1e+07,-2.505e+09,2.236e+09,-2.498e+09,-1.677e+09,9e+06,-1.686e+09,-3.73e+08,-1.25e+09,-6.75e+08,-6.75e+08,-6.75e+08,3.322e+09,3.5923e+10,3.346e+09,0.61198,0.22709,0.19726,0.03652,0.01834,1.39766,2.87119,0.99118,0.27523,0.48276,0.47938,2.44727,13.21839,0.67473,0.03436,0.03002,-10.736,-12.94086
"34","2018_Q3",39.9298412698413,"Up",1.1887e+10,-4.389e+09,7.498e+09,-4.425e+09,-2.718e+09,-2.235e+09,-4.83e+08,-1.549e+09,-6e+07,3.073e+09,1.59e+08,1.49e+08,-2.47e+08,3.96e+08,1e+07,3.232e+09,3.232e+09,-1.201e+10,-8.778e+09,-8.778e+09,-8.778e+09,-8.778e+09,7.3683e+10,1.7624e+10,5.6059e+10,3.963e+09,3.963e+09,1.896e+09,6.508e+09,6.508e+09,8.605e+10,3.113e+09,4.2347e+10,2.474e+09,3.0391e+10,6.385e+09,4.546e+10,1.3151e+11,6e+09,1.06e+09,2.204e+09,2.736e+09,1.3741e+10,1.5623e+10,1.1102e+10,4.521e+09,3.5364e+10,2.5625e+10,1.8539e+10,7.686e+09,9.185e+09,1.668e+09,4.4164e+10,7.9528e+10,4.4535e+10,7.364e+09,8.3e+07,5.1982e+10,5.1982e+10,1.3151e+11,-8.778e+09,5.46e+08,1.092e+09,3.93e+08,8.43e+08,-1.44e+08,1.121e+10,2.79e+08,-1.96e+08,-1.03e+08,1.123e+10,4.07e+09,-1.61e+08,-2.11e+08,-2.11e+08,4.117e+09,9.865e+09,-5.748e+09,-2e+06,-2e+06,3.6e+07,3.99e+09,3.506e+09,7.593e+09,-3.478e+09,2.93e+08,-3.771e+09,-82000000.0000001,-1.479e+09,6.581e+09,6.581e+09,6.581e+09,3.619e+09,3.9366e+10,2.6678e+10,0.63077,0.25852,-0.73845,-0.16887,-0.06675,-3.03919,2.43327,1.52991,0.29934,-1.7827,-1.7827,2.41409,10.55686,5.41795,-0.06691,0.24278,-9.48245,-11.16726
"35","2018_Q4",40.8933333333333,"Up",1.2463e+10,-4.704e+09,7.759e+09,-4.625e+09,-2.886e+09,-2.325e+09,-5.61e+08,-1.59e+09,-6.7e+07,3.134e+09,1.19e+08,1.43e+08,-2.37e+08,3.8e+08,-2.4e+07,3.253e+09,3.253e+09,-5.62e+08,2.691e+09,2.691e+09,2.691e+09,2.691e+09,5.4431e+10,6.719e+09,4.7712e+10,4.274e+09,4.274e+09,1.9e+09,6.536e+09,6.536e+09,6.7141e+10,3.082e+09,4.3785e+10,2.681e+09,3.1654e+10,6.406e+09,4.6867e+10,1.14008e+11,5.48e+09,1.552e+09,9.62e+08,2.966e+09,7.736e+09,1.5426e+10,1.1301e+10,4.125e+09,2.8642e+10,2.0336e+10,1.8369e+10,7.652e+09,9.076e+09,1.641e+09,3.8705e+10,6.7347e+10,4.3556e+10,3.709e+09,-6.04e+08,4.6661e+10,4.6661e+10,1.14008e+11,2.691e+09,5.64e+08,3.45e+08,3.99e+08,-8e+06,-4.6e+07,-1.184e+09,-1.72e+08,-1.3e+07,4.86e+08,-1.485e+09,2.416e+09,-2.38e+08,-2.41e+08,-2.41e+08,7.99e+09,8.205e+09,-2.15e+08,-2.035e+09,-2.035e+09,4e+07,5.757e+09,-1.1242e+10,-7.597e+09,-6.089e+09,1.6e+07,-6.105e+09,-1.78e+08,-1.9081e+10,-1.0908e+10,-1.0908e+10,-1.0908e+10,3.698e+09,2.8072e+10,2.838e+09,0.62256,0.25146,0.21592,0.05767,0.0236,1.05463,2.34414,1.44333,0.24623,0.56168,0.55553,2.60134,9.7393,0.59236,0.04579,0.03048,-7.12791,-8.41066
"36","2019_Q1",43.7822950819672,"Up",1.2844e+10,-4.922e+09,7.922e+09,-4.576e+09,-2.891e+09,-2.348e+09,-5.43e+08,-1.626e+09,-3.3e+07,3.346e+09,2.46e+08,1.29e+08,-2.24e+08,3.53e+08,1.17e+08,3.592e+09,3.592e+09,2.11e+08,3.803e+09,3.803e+09,3.803e+09,3.803e+09,4.6548e+10,8.934e+09,3.7614e+10,5.554e+09,5.554e+09,1.846e+09,7.889e+09,7.889e+09,6.1837e+10,3.006e+09,4.3941e+10,2.552e+09,3.1706e+10,6.464e+09,4.6947e+10,1.08784e+11,5.894e+09,1.904e+09,1.004e+09,2.986e+09,5.238e+09,1.5903e+10,1.149e+10,4.413e+09,2.7035e+10,2.0331e+10,1.8214e+10,8.195e+09,8.585e+09,1.434e+09,3.8545e+10,6.558e+10,4.282e+10,1.233e+09,-8.49e+08,4.3204e+10,4.3204e+10,1.08784e+11,3.803e+09,5.16e+08,85999999.9999999,3.92e+08,-1.13e+08,-1.93e+08,-305000000.000002,-1.333e+09,4.5e+07,3.56e+08,6.27e+08,4.1e+09,-2.09e+08,-2.14e+08,-2.14e+08,8.5e+09,8.794e+09,-2.94e+08,-2.17e+08,-2.44e+08,8e+06,8.082e+09,-2.5e+09,3.814697265625e-06,-5.68e+09,3.05e+08,-5.985e+09,-2.39e+08,-9.954e+09,2.228e+09,2.228e+09,2.228e+09,3.862e+09,2.5569e+10,3.137e+09,0.61679,0.26051,0.29609,0.08802,0.03496,0.82488,2.28729,1.51792,0.23504,0.81365,0.79861,2.74797,9.24347,0.671159999999999,0.06137,0.03606,-5.43216,-6.26987
"37","2019_Q2",50.0712698412698,"Up",1.3072e+10,-4.926e+09,8.146e+09,-4.341e+09,-2.621e+09,-2.41e+09,-2.11e+08,-1.608e+09,-3.4e+07,3.805e+09,1.04e+08,1.23e+08,-2.21e+08,3.44e+08,-1.9e+07,3.909e+09,3.909e+09,-3.6e+08,3.549e+09,3.549e+09,3.549e+09,3.549e+09,4.2593e+10,8.41e+09,3.4183e+10,4.536e+09,4.536e+09,1.572e+09,6.985e+09,6.985e+09,5.5686e+10,2.956e+09,4.6787e+10,2.716e+09,3.3386e+10,6.725e+09,4.9743e+10,1.05429e+11,5.511e+09,1.805e+09,1.084e+09,2.622e+09,7.241e+09,1.3662e+10,9.637e+09,4.025e+09,2.6414e+10,1.8323e+10,1.6844e+10,7.177e+09,8.216e+09,1.451e+09,3.5167e+10,6.1581e+10,4.1897e+10,3.169e+09,-1.218e+09,4.3848e+10,4.3848e+10,1.05429e+11,3.549e+09,4.65e+08,3.46e+08,4.03e+08,-7.2e+07,1.5e+07,-5.97e+08,8.92e+08,-3.4e+07,-1.53e+08,-1.302e+09,3.763e+09,-2.1e+08,-2.12e+08,-2.12e+08,4.833e+09,5.346e+09,-5.13e+08,-1.964e+09,-1.964e+09,1.6e+07,2.675e+09,0,0,-5.068e+09,8e+06,-5.076e+09,-3.77e+08,-6.945e+09,-5.07e+08,-5.07e+08,-5.07e+08,4.27e+09,2.5564e+10,3.823e+09,0.62316,0.29108,0.2715,0.08094,0.03366,1.0772,2.1082,1.40442,0.24248,0.77744,0.76918,2.86353,9.60526,0.83746,0.05854,0.04432,-3.98806,-4.47543
"38","2019_Q3",47.41609375,"Down",1.2446e+10,-4.673e+09,7.773e+09,-4.562e+09,-2.78e+09,-2.271e+09,-5.09e+08,-1.557e+09,-3.9e+07,3.211e+09,1.32e+08,1.05e+08,-2.23e+08,3.28e+08,2.7e+07,3.343e+09,3.343e+09,-5.21e+08,2.822e+09,2.822e+09,2.822e+09,2.822e+09,4.0383e+10,9.835e+09,3.0548e+10,3.745e+09,3.745e+09,1.701e+09,7.288e+09,7.288e+09,5.3117e+10,2.931e+09,4.6414e+10,2.27e+09,3.3293e+10,6.77e+09,4.9345e+10,1.02462e+11,5.364e+09,1.655e+09,1.11e+09,2.599e+09,9.737e+09,1.4378e+10,9.976e+09,4.402e+09,2.9479e+10,1.5893e+10,1.6301e+10,7.285e+09,7.76e+09,1.256e+09,3.2194e+10,6.1673e+10,4.1361e+10,5.38e+08,-1.11e+09,4.0789e+10,4.0789e+10,1.02462e+11,2.822e+09,4.87e+08,1.42e+08,3.89e+08,-1.85e+08,-6.2e+07,3.46e+08,7.21e+08,-1.69e+08,-1.43e+08,-62999999.9999995,3.797e+09,-2.53e+08,-2.61e+08,-2.61e+08,3.74e+09,3.972e+09,-2.32e+08,3.65e+08,3.65e+08,1.5e+07,3.867e+09,0,0,-4.682e+09,3.04e+08,-4.986e+09,-1.19e+08,-6.271e+09,1.393e+09,1.393e+09,1.393e+09,3.698e+09,2.563e+10,4.312e+09,0.62454,0.25799,0.22674,0.06919,0.02754,1.52799,1.80186,1.512,0.25014,0.63132,0.62642,2.78434,9.12506,0.96465,0.05189,0.05213,-3.98945,-4.59452
"39","2019_Q4",42.71953125,"Down",1.2958e+10,-4.785e+09,8.173e+09,-4.66e+09,-2.944e+09,-2.403e+09,-5.41e+08,-1.659e+09,-3.9e+07,3.513e+09,1.02e+08,1.2e+08,-2.11e+08,3.31e+08,-1.8e+07,3.615e+09,3.615e+09,-5.71e+08,3.044e+09,3.044e+09,3.044e+09,3.044e+09,3.4643e+10,1.0251e+10,2.4392e+10,3.795e+09,3.795e+09,1.513e+09,7.36e+09,7.36e+09,4.7311e+10,2.834e+09,4.7142e+10,2.398e+09,3.3544e+10,7.177e+09,4.9976e+10,9.7287e+10,5.847e+09,2.022e+09,9.53e+08,2.872e+09,7.777e+09,1.4289e+10,1.0117e+10,4.172e+09,2.7913e+10,1.5921e+10,1.6649e+10,7.339e+09,8.038e+09,1.272e+09,3.257e+10,6.0483e+10,4.0577e+10,-2.877e+09,-8.96e+08,3.6804e+10,3.6804e+10,9.7287e+10,3.044e+09,4.81e+08,3.5e+08,3.74e+08,-2.4e+07,0,4.54e+08,-5.3e+07,2.02e+08,3.48e+08,-4.3e+07,4.329e+09,-2.23e+08,-2.28e+08,-2.28e+08,6.321e+09,6.87e+09,-5.49e+08,-5.76e+08,-5.76e+08,8.4e+07,5.606e+09,-1.997e+09,1.723e+09,-5.971e+09,9e+06,-5.98e+09,-5.4e+07,-9.541e+09,3.94e+08,3.94e+08,3.94e+08,3.994e+09,2.3698e+10,4.796e+09,0.63073,0.27111,0.23491,0.08271,0.03129,1.57556,1.69495,1.64338,0.24359,0.69657,0.68947,2.96522,8.42197,1.09748,0.05914,0.06216,-2.74036,-3.11557
"40","2020_Q1",40.6240322580645,"Down",1.3428e+10,-4.854e+09,8.574e+09,-4.884e+09,-3.053e+09,-2.487e+09,-5.66e+08,-1.753e+09,-3.8e+07,3.69e+09,1.4e+07,1.01e+08,-2.04e+08,3.05e+08,-8.7e+07,3.704e+09,3.704e+09,-1.498e+09,2.206e+09,2.206e+09,2.206e+09,2.206e+09,3.3413e+10,1.175e+10,2.1663e+10,5.491e+09,5.491e+09,1.383e+09,7.468e+09,7.468e+09,4.7755e+10,2.789e+09,4.7249e+10,2.201e+09,3.3529e+10,7.454e+09,5.0038e+10,9.7793e+10,6.429e+09,2.059e+09,1.149e+09,3.221e+09,1.0191e+10,1.5092e+10,1.0668e+10,4.424e+09,3.1712e+10,1.4475e+10,1.8035e+10,7.799e+09,8.927e+09,1.309e+09,3.251e+10,6.4222e+10,4.0266e+10,-5.903e+09,-7.92e+08,3.3571e+10,3.3571e+10,9.7793e+10,2.206e+09,4.64e+08,3.98e+08,4.04e+08,-6.9e+07,6.3e+07,8.74e+08,-1.644e+09,1.32e+08,3.5e+07,2.351e+09,3.942e+09,-2.01e+08,-2.08e+08,-2.08e+08,2.858e+09,4.128e+09,-1.27e+09,-2.38418579101562e-07,0,3.2e+07,2.689e+09,9.13e+08,1.723e+09,-4.356e+09,3.19e+08,-4.675e+09,-1.99e+08,-5.132e+09,1.499e+09,1.499e+09,1.499e+09,4.154e+09,2.4666e+10,6.325e+09,0.63852,0.2748,0.16428,0.06571,0.02256,2.86718,1.5059,1.91302,0.25223,0.51651,0.51566,3.14399,7.86022,1.48092,0.04846,0.08293,-2.10568,-2.37046
