"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_affiliates_net_of_taxes","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accrued_taxes","other_payables_accruals","short_term_debt","current_portion_of_long_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","long_term_borrowings","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"30","2017_Q3",13.4493650793651,"Up",3.711e+09,-2.918e+09,7.93e+08,-1.23e+08,-1.05e+08,-1.8e+07,6.7e+08,-1.87e+08,-1.62e+08,-2.5e+07,4.83e+08,3e+07,5.13e+08,-1.86e+08,-1e+06,3.26e+08,3.35e+08,-6.7e+07,2.68e+08,2.68e+08,4.667e+09,4.667e+09,8.02e+08,8.02e+08,2.623e+09,2.325e+09,1.23e+09,1.0417e+10,2.3115e+10,2.3115e+10,3.511e+09,3.511e+09,2.6626e+10,3.7043e+10,2.076e+09,1.96e+08,1.88e+09,2.216e+09,2.216e+09,6.52e+08,6.52e+08,4.944e+09,1.3138e+10,1.3138e+10,8.968e+09,3.87e+09,5.098e+09,2.2106e+10,2.705e+10,2.6892e+10,-3.72e+09,-1.6043e+10,-4.56e+08,6.673e+09,3.32e+09,9.993e+09,3.7043e+10,3.35e+08,4.5e+08,-1e+06,2.53e+08,1.037e+09,-3.62e+08,2.4e+07,-3.38e+08,13999999.9999998,-38000000.0000001,-2.5e+07,6.74e+08,6.74e+08,6.74e+08,1.12e+09,1.5354e+10,1.197e+09,0.21369,0.18054,0.07222,0.02682,0.00723,4.46642,2.107,2.70689,0.41449,0.18521,0.18445,2.56462,4.61161,0.82723,0.00784,0.03488,9.54196,15.95075
"31","2017_Q4",14.4444444444444,"Up",4.31e+09,-3.212e+09,1.098e+09,-1.31e+08,-1.04e+08,-2.7e+07,9.67e+08,-3.13e+08,-3.04e+08,-9e+06,6.54e+08,-2.8e+07,6.26e+08,-3.87e+08,3e+06,2.42e+08,2.45e+08,3.5e+07,2.8e+08,2.8e+08,4.447e+09,4.447e+09,1.246e+09,1.246e+09,2.727e+09,2.359e+09,1.436e+09,1.0779e+10,2.2844e+10,2.2844e+10,3.679e+09,3.679e+09,2.6523e+10,3.7302e+10,2.886e+09,5.65e+08,2.321e+09,1.414e+09,1.414e+09,7.38e+08,7.38e+08,5.038e+09,1.1703e+10,1.1703e+10,9.265e+09,3.622e+09,5.643e+09,2.0968e+10,2.6006e+10,2.6909e+10,-3.723e+09,-1.4722e+10,-4.87e+08,7.977e+09,3.319e+09,1.1296e+10,3.7302e+10,2.45e+08,4.18e+08,2.64e+08,2.56e+08,1.183e+09,-3.14e+08,6.3e+07,-2.51e+08,-5.52e+08,-3.1e+07,-5.83e+08,3.49e+08,3.49e+08,3.49e+08,1.385e+09,1.3117e+10,1.714e+09,0.25476,0.22436,0.06497,0.02479,0.00751,6.12143,2.13954,2.30223,0.35164,0.19337,0.19257,2.97652,5.50898,1.1837,0.00831,0.05089,6.25993,8.96587
"32","2018_Q1",17.9716393442623,"Up",5.041e+09,-3.261e+09,1.78e+09,-1.48e+08,-1.15e+08,-3.3e+07,1.632e+09,-1.67e+08,-1.68e+08,999999.999999993,1.465e+09,-1.4e+08,1.325e+09,-1.36e+08,4e+06,1.193e+09,1.209e+09,-1.68e+08,1.041e+09,1.041e+09,4.526e+09,4.526e+09,1.322e+09,1.322e+09,2.745e+09,2.033e+09,1.69e+09,1.0626e+10,2.2994e+10,2.2994e+10,3.682e+09,3.682e+09,2.6676e+10,3.7302e+10,3.08e+09,5.83e+08,2.497e+09,1.414e+09,1.414e+09,4.2e+08,4.2e+08,4.914e+09,1.1815e+10,1.1815e+10,9.277e+09,3.663e+09,5.614e+09,2.1092e+10,2.6006e+10,2.6909e+10,-3.723e+09,-1.4722e+10,-4.87e+08,7.977e+09,3.319e+09,1.1296e+10,3.7302e+10,1.209e+09,4.57e+08,-4.26e+08,4.14e+08,1.654e+09,-3.9e+08,2.3e+07,-3.67e+08,-1.661e+09,-1.07e+08,-1.768e+09,-4.81e+08,-4.81e+08,-4.81e+08,2.089e+09,1.3229e+10,2.249e+09,0.3531,0.32375,0.20651,0.09216,0.02791,2.16042,2.16239,2.30223,0.35465,0.71942,0.71546,3.48376,5.51279,1.55425,0.0308,0.06653,4.16611,5.33272
"33","2018_Q2",16.276875,"Down",4.868e+09,-3.259e+09,1.609e+09,-1.52e+08,-1.31e+08,-2.1e+07,1.457e+09,-1.22e+08,-1.51e+08,2.9e+07,1.335e+09,1e+06,1.336e+09,-5.06e+08,-2e+06,8.28e+08,8.17e+08,-1.25e+08,6.92e+08,6.92e+08,4073154700.28865,4073154700.28865,1180677461.34711,1180677461.34711,2786962577.01981,2268586020.67013,1830766204.25257,10309380759.3257,23308771594.0544,23308771594.0544,3674085094.69721,3674085153.00853,26982856688.7516,37292237448.0773,3040951699.76439,505012432.845829,2499432815.95516,758505178.49648,758505178.49648,473413185.262493,473413185.260864,4272870063.52336,11616429972.8985,11616429972.8985,9271967803.1646,3688695987.93636,5583271815.22824,20888397776.0631,25161267839.5865,26844903066.5304,-3724250644.63932,-14149391623.5338,-460445471.254967,8510815327.10231,3620154281.38853,12130969608.4908,37292237448.0773,8.17e+08,4.51e+08,4.7e+07,5.4e+07,1.369e+09,-4.02e+08,-9e+07,-4.92e+08,-1.511e+09,-7.7e+07,-1.588e+09,-7.11e+08,-7.11e+08,-7.11e+08,1.908e+09,0,2.066e+09,0.33053,0.2993,0.14215,0.102719878619915,0.0328417367505685,2.98555,2.45418850527111,2.10907958676996,0.332144240379584,0.47757,0.47462,3.35956,5.88094475038523,1.42581,0.0369810827883329,0.0630780283696036,3.68785308974912,8.2745592565402
"34","2018_Q3",14.5419047619048,"Down",5.168e+09,-3.357e+09,1.811e+09,-1.33e+08,-1.09e+08,-2.4e+07,1.678e+09,-1.22e+08,-1.42e+08,2e+07,1.556e+09,-5000000.00000003,1.551e+09,-5.15e+08,3e+06,1.039e+09,1.035e+09,-1.66e+08,8.69e+08,8.69e+08,3.859e+09,3.859e+09,1.077e+09,1.077e+09,2.839e+09,2.568e+09,1.718e+09,1.0343e+10,2.2923e+10,2.2923e+10,3.762e+09,3.762e+09,2.6685e+10,3.7028e+10,3.062e+09,5.69e+08,2.42e+09,3999999.99999976,3999999.99999976,7.33e+08,7.33e+08,3.799e+09,1.1123e+10,1.1123e+10,9.264e+09,3.702e+09,5.562e+09,2.0387e+10,2.4186e+10,2.6825e+10,-3.726e+09,-1.3161e+10,-4.64e+08,9.474e+09,3.368e+09,1.2842e+10,3.7028e+10,1.035e+09,4.42e+08,-9.1e+07,-7.7e+07,1.309e+09,-4.82e+08,4000000.00000003,-4.78e+08,-4.34e+08,-1.82e+08,-6.89e+08,1.42e+08,1.42e+08,1.42e+08,2.12e+09,1.1127e+10,2.076e+09,0.35043,0.32469,0.16815,0.06767,0.02347,2.38895,2.72256,1.88335,0.3005,0.59972,0.59602,3.5666,6.5383,1.43271,0.02835,0.06247,3.4283,4.33135
"35","2018_Q4",11.2690476190476,"Down",4.908e+09,-3.527e+09,1.381e+09,-1.28e+08,-1.01e+08,-2.7e+07,1.253e+09,-1.29e+08,-1.43e+08,1.4e+07,1.124e+09,6.2e+07,1.186e+09,-5.22e+08,4e+06,6.68e+08,6.64e+08,-1.08e+08,5.56e+08,5.56e+08,4.556e+09,4.556e+09,1.064e+09,1.064e+09,2.878e+09,2.423e+09,1.571e+09,1.0921e+10,2.3013e+10,2.3013e+10,3.815e+09,3.815e+09,2.6828e+10,3.7749e+10,3.114e+09,6.45e+08,2.396e+09,4e+06,4e+06,7.33e+08,7.33e+08,3.851e+09,1.1123e+10,1.1123e+10,9.321e+09,3.839e+09,5.482e+09,2.0444e+10,2.4295e+10,2.6761e+10,-3.726e+09,-1.2526e+10,-5.32e+08,9.977e+09,3.477e+09,1.3454e+10,3.7749e+10,6.64e+08,4.58e+08,-4e+06,1.29e+08,1.247e+09,-5.07e+08,5e+06,-5.02e+08,1e+07,-1e+06,-6.3e+07,6.82e+08,6.82e+08,6.82e+08,1.711e+09,1.1127e+10,1.855e+09,0.28138,0.2553,0.11328,0.04133,0.01473,3.33633,2.83589,1.80578,0.29476,0.38345,0.38134,3.38483,6.88069,1.27931,0.01852,0.05472,3.84044,5.24421
"36","2019_Q1",11.7385245901639,"Up",3.684e+09,-3.323e+09,3.61e+08,-1.14e+08,-8.1e+07,-3.3e+07,2.47e+08,-4.96e+08,-5.09e+08,1.3e+07,-2.49e+08,6.8e+07,-1.81e+08,5.52e+08,3e+06,3.74e+08,3.78e+08,1.07e+08,4.85e+08,4.85e+08,4.217e+09,4.217e+09,8.29e+08,8.29e+08,2.981e+09,2.693e+09,2.2e+09,1.072e+10,2.801e+10,2.801e+10,3.486e+09,3.486e+09,3.1496e+10,4.2216e+10,2.863e+09,1.65e+08,2.625e+09,1.7e+07,1.7e+07,4.49e+08,4.49e+08,3.329e+09,1.1124e+10,1.1124e+10,9.871e+09,4.032e+09,5.839e+09,2.0995e+10,2.4324e+10,2.6171e+10,-3.727e+09,-1.2041e+10,-6.05e+08,9.798e+09,8.094e+09,1.7892e+10,4.2216e+10,3.78e+08,4.03e+08,-2.43e+08,-6e+08,-6.2e+07,-5.8e+08,5.34e+08,-3.546e+09,-1.5e+08,3.463e+09,3.24e+09,-3.68e+08,-3.68e+08,-3.68e+08,6.5e+08,1.1141e+10,-1.082e+09,0.09799,0.06705,0.13165,0.02711,0.01149,-2.23093,3.22019,1.35949,0.2639,0.33494,0.33265,2.5442,6.76657,-0.74724,0.00874,-0.02781,10.65231,28.03239
"37","2019_Q2",11.3369841269841,"Down",3.792e+09,-3.323e+09,4.69e+08,-1.39e+08,-1.12e+08,-2.7e+07,3.3e+08,-1.32e+08,-1.46e+08,1.4e+07,1.98e+08,-1.5e+07,1.83e+08,-1.05e+08,-3e+06,7.5e+07,7.6e+07,-4.5e+07,3.1e+07,3.1e+07,2.833e+09,2.833e+09,7.81e+08,7.81e+08,2.969e+09,2.462e+09,2.052e+09,9.045e+09,2.8497e+10,2.8497e+10,3.517e+09,3.517e+09,3.2014e+10,4.1059e+10,2.822e+09,1.5e+08,2.599e+09,3e+06,3e+06,4.22e+08,4.22e+08,3.247e+09,9.902e+09,9.902e+09,1.0069e+10,4.067e+09,6.002e+09,1.9971e+10,2.3218e+10,2.6121e+10,-3.734e+09,-1.201e+10,-5.94e+08,9.783e+09,8.058e+09,1.7841e+10,4.1059e+10,7.6e+07,3.47e+08,1.03e+08,8e+06,5.34e+08,-6.22e+08,7.6e+07,-5.46e+08,-1.242e+09,-1.6e+07,-1.331e+09,-1.343e+09,-1.343e+09,-1.343e+09,6.77e+08,9.905e+09,1.68e+08,0.12368,0.08703,0.00818,0.00174,0.00076,5.41935,2.78565,1.30138,0.24124,0.02136,0.02128,2.61337,6.74225,0.11578,0.00275,0.00444,10.44609,21.4303
"38","2019_Q3",10.044375,"Down",3.546e+09,-3.354e+09,1.92e+08,-1.28e+08,-9.7e+07,-3.1e+07,63999999.9999999,-1.27e+08,-1.32e+08,5e+06,-6.3e+07,-3.1e+07,-9.4e+07,1.5e+07,5e+06,-7.4e+07,-7.4e+07,2e+06,-7.2e+07,-7.2e+07,2.623e+09,2.623e+09,7.25e+08,7.25e+08,2.986e+09,2.396e+09,2.151e+09,8.73e+09,2.8841e+10,2.8841e+10,3.515e+09,3.515e+09,3.2356e+10,4.1086e+10,2.857e+09,6.3e+07,2.721e+09,4e+06,4e+06,4.25e+08,4.25e+08,3.286e+09,9.912e+09,9.912e+09,1.0071e+10,4.055e+09,6.016e+09,1.9983e+10,2.3269e+10,2.6107e+10,-3.734e+09,-1.2082e+10,-5.82e+08,9.709e+09,8.108e+09,1.7817e+10,4.1086e+10,-7.4e+07,3.52e+08,-7.3e+07,3.49e+08,5.54e+08,-6.29e+08,7999999.99999994,-6.21e+08,7e+06,2.7e+07,-3.9e+07,-1.06e+08,-1.06e+08,-1.06e+08,4.16e+08,9.916e+09,1.21e+08,0.05415,0.01805,-0.0203,-0.00404,-0.00175,-1.68056,2.65673,1.306,0.24135,-0.04962,-0.04983,2.44383,6.69125,0.08339,3.00000000000001e-05,0.0032,17.53125,113.95312
"39","2019_Q4",10.79671875,"Up",3.153e+09,-3.043e+09,1.1e+08,-1.16e+08,-9.1e+07,-2.5e+07,-6e+06,-9e+07,-1.23e+08,3.3e+07,-9.6e+07,-5.3e+07,-1.49e+08,-9.1e+07,5e+06,-2.35e+08,-2.34e+08,2.7e+07,-2.07e+08,-2.07e+08,2.247e+09,2.247e+09,7.31e+08,7.31e+08,2.921e+09,2.448e+09,2.185e+09,8.347e+09,2.933e+10,2.933e+10,3.266e+09,3.266e+09,3.2596e+10,4.0943e+10,2.889e+09,6.1e+07,2.755e+09,4e+06,4e+06,4.88e+08,4.88e+08,3.381e+09,9.915e+09,9.915e+09,1.0105e+10,4.245e+09,5.86e+09,2.002e+10,2.3401e+10,2.6038e+10,-3.735e+09,-1.2289e+10,-5.7e+08,9.444e+09,8.098e+09,1.7542e+10,4.0943e+10,-2.34e+08,3.22e+08,2.6e+07,1.1e+08,2.24e+08,-5.69e+08,-1.91e+08,-6.58e+08,-1e+06,1.3e+07,-6e+07,-4.94e+08,-4.94e+08,-4.94e+08,3.16e+08,9.919e+09,-5.2e+07,0.03489,-0.0019,-0.06565,-0.0118,-0.00506,0.25121,2.4688,1.334,0.24226,-0.14266,-0.14266,2.17298,6.50861,-0.03584,-0.00359,-0.00138,24.27848,-1278.66667
"40","2020_Q1",10.3270967741935,"Down",3.911e+09,-3.405e+09,5.06e+08,-1.15e+08,-9.4e+07,-2.1e+07,3.91e+08,-4.09e+08,-2.19e+08,-1.9e+08,-1.8e+07,3.84e+08,3.66e+08,-3.29e+08,5e+06,42000000.0000001,4.3e+07,-3.4e+07,9e+06,8999999.99999994,2.02e+09,2.02e+09,7.41e+08,7.41e+08,2.792e+09,2.362e+09,1.936e+09,7.915e+09,2.9584e+10,2.9584e+10,3.31e+09,3.31e+09,3.2894e+10,4.0809e+10,2.768e+09,1.19e+08,2.576e+09,4999999.99999999,4999999.99999999,4.36e+08,4.36e+08,3.209e+09,9.821e+09,9.821e+09,1.0331e+10,4.21e+09,6.121e+09,2.0152e+10,2.3361e+10,2.5988e+10,-3.734e+09,-1.228e+10,-6.76e+08,9.298e+09,8.15e+09,1.7448e+10,4.0809e+10,4.3e+07,3.91e+08,-1.46e+08,-1.18e+08,1.7e+08,1.229e+09,-3.6e+07,-2.78e+08,-8.2e+07,2.7e+07,-1.26e+08,-2.34e+08,-2.34e+08,-2.34e+08,7.82e+08,9.826e+09,2.222e+09,0.12938,0.09997,0.0023,0.000520000000000003,0.000220000000000001,246.88889,2.4665,1.33889,0.24078,0.00620000000000001,0.00620000000000004,2.69538,6.40799,1.53136,-0.00556,0.05909,9.9821,19.9641900000001
"41","2020_Q2",9.05269841269841,"Down",2.798e+09,-3.108e+09,-3.1e+08,-1.26e+08,-1.1e+08,-1.6e+07,-4.36e+08,-1.07e+08,-1.27e+08,2e+07,-5.43e+08,-6.9e+07,-6.12e+08,6e+07,3e+06,-5.49e+08,-5.49e+08,5.8e+07,-4.91e+08,-4.91e+08,1.602e+09,1.602e+09,5.15e+08,5.15e+08,2.72e+09,2.52e+09,1.929e+09,7.357e+09,2.9899e+10,2.9899e+10,2.963e+09,2.963e+09,3.2862e+10,4.0219e+10,2.593e+09,1.28e+08,2.465e+09,2.45e+08,2.45e+08,3.05e+08,3.05e+08,3.143e+09,9.829e+09,9.829e+09,1.0284e+10,4.087e+09,6.197e+09,2.0113e+10,2.3256e+10,2.6033e+10,-3.739e+09,-1.2771e+10,-6.68e+08,8.855e+09,8.108e+09,1.6963e+10,4.0219e+10,-5.49e+08,3.41e+08,5.1e+07,1.19e+08,-3.8e+07,-5.25e+08,-2.1e+07,-5.46e+08,2.36e+08,9e+06,1.73e+08,-4.11e+08,-4.11e+08,-4.11e+08,-9.5e+07,1.0074e+10,-5.61e+08,-0.11079,-0.15583,-0.17548,-0.02895,-0.01221,1.14257,2.34076,1.37098,0.25048,-0.33815,-0.33815,1.927,6.09848,-0.38636,-0.0112,-0.01503,-89.17895,-19.43119
"42","2020_Q3",14.24921875,"Up",3.054e+09,-2.613e+09,4.41e+08,-1.09e+08,-9.1e+07,-1.8e+07,3.32e+08,-9.5e+07,-1.15e+08,2e+07,2.37e+08,-2e+07,2.17e+08,-9.6e+07,3e+06,1.24e+08,1.24e+08,-7.1e+07,5.3e+07,52999999.9999999,1.465e+09,1.465e+09,7.17e+08,7.17e+08,2.634e+09,2.339e+09,1.693e+09,7.155e+09,2.9936e+10,2.9936e+10,3.139e+09,3.139e+09,3.3075e+10,4.023e+10,2.518e+09,4.7e+07,2.471e+09,9e+07,9e+07,2.98e+08,2.98e+08,2.906e+09,9.824e+09,9.824e+09,1.0345e+10,4.18e+09,6.165e+09,2.0169e+10,2.3075e+10,2.6063e+10,-3.739e+09,-1.2718e+10,-6.52e+08,8.954e+09,8.201e+09,1.7155e+10,4.023e+10,1.24e+08,3.58e+08,-1.3e+07,2.2e+07,4.91e+08,-4.61e+08,-1.9e+07,-4.8e+08,-1.78e+08,2.9e+07,-1.49e+08,-1.38e+08,-1.38e+08,-1.38e+08,6.9e+08,9.914e+09,3.47e+08,0.1444,0.10871,0.01735,0.00309,0.00132,6.54716999999996,2.46215,1.34509,0.24643,0.03645,0.03645,2.10041,6.15818,0.23865,-0.000529999999999999,0.00927000000000002,12.24493,25.4488
"43","2020_Q4",20.52921875,"Up",3.851e+09,-2.868e+09,9.83e+08,-8e+07,-7.2e+07,-8e+06,9.03e+08,-9.8e+07,-1.2e+08,2.2e+07,8.05e+08,-8.2e+07,7.23e+08,-2.97e+08,6e+06,4.32e+08,4.32e+08,-1.03e+08,3.29e+08,3.29e+08,2.403e+09,2.403e+09,8.93e+08,8.93e+08,2.614e+09,2.161e+09,1.697e+09,8.071e+09,2.9911e+10,2.9911e+10,3.117e+09,3.117e+09,3.3028e+10,4.1099e+10,2.652e+09,1.19e+08,2.533e+09,4.7e+07,4.7e+07,3.97e+08,3.97e+08,3.096e+09,9.983e+09,9.983e+09,1.0458e+10,4.325e+09,6.133e+09,2.0441e+10,2.3537e+10,2.6092e+10,-3.739e+09,-1.2389e+10,-7.28e+08,9.236e+09,8.326e+09,1.7562e+10,4.1099e+10,4.32e+08,3.94e+08,2.33e+08,1.78e+08,1.237e+09,4.7e+08,-1.2e+07,-4.07e+08,7.3e+07,2.1e+07,9.6e+07,9.26e+08,9.26e+08,9.26e+08,1.297e+09,1.003e+10,2.242e+09,0.25526,0.23448,0.08543,0.01873,0.00801,6.81459,2.60691,1.34022,0.24404,0.22643,0.22643,2.65038,6.3565,1.54301,0.00865,0.05892,5.88049,8.44629
"44","2021_Q1",32.0281967213115,"Up",4.495e+09,-3.066e+09,1.429e+09,-1.05e+08,-97000000.0000001,-8e+06,1.324e+09,-2.39e+08,-2.36e+08,-3e+06,1.085e+09,3.84e+08,1.469e+09,-6.11e+08,0,8.58e+08,8.58e+08,-1.5e+08,7.08e+08,7.08e+08,3.657e+09,3.657e+09,8.92e+08,8.92e+08,2.608e+09,2.146e+09,1.626e+09,9.303e+09,2.9818e+10,2.9818e+10,3.023e+09,3.023e+09,3.2841e+10,4.2144e+10,3.032e+09,3.24e+08,2.708e+09,3.4e+07,3.4e+07,3.51e+08,3.51e+08,3.417e+09,9.677e+09,9.677e+09,1.0382e+10,4.408e+09,5.974e+09,2.0059e+10,2.3476e+10,2.6196e+10,-3.758e+09,-1.1681e+10,-5.83e+08,1.0174e+10,8.494e+09,1.8668e+10,4.2144e+10,8.58e+08,4.35e+08,-3.12e+08,3.46e+08,1.327e+09,4.85e+08,-2e+07,1.69e+08,-3.24e+08,2.8e+07,-2.48e+08,1.248e+09,1.248e+09,1.248e+09,1.759e+09,9.711e+09,3.201e+09,0.31791,0.29455,0.15751,0.03793,0.0168,4.52119,2.72256,1.25755,0.23042,0.48727,0.47677,3.0936,7.00206,2.20303,0.01827,0.08258,3.44172999999999,4.57251
"45","2021_Q2",38.5477777777778,"Up",4.85e+09,-4.19e+08,4.431e+09,-2.894e+09,-2.887e+09,-7e+06,1.537e+09,-1.34e+08,-1.45e+08,1.1e+07,1.403e+09,-5e+06,1.398e+09,-4.43e+08,-2e+06,9.53e+08,9.53e+08,-2.35e+08,7.18e+08,7.18e+08,4.58e+09,4.58e+09,1.248e+09,1.248e+09,2.603e+09,2.425e+09,1.903e+09,1.0856e+10,2.9775e+10,2.9775e+10,3.012e+09,3.012e+09,3.2787e+10,4.3643e+10,3.624e+09,6.47e+08,2.866e+09,6.56e+08,6.56e+08,3.31e+08,3.31e+08,4.611e+09,9.153e+09,9.153e+09,1.0306e+10,4.446e+09,5.86e+09,1.9459e+10,2.407e+10,2.624e+10,-3.777e+09,-1.0963e+10,-5.8e+08,1.092e+10,8.653e+09,1.9573e+10,4.3643e+10,9.53e+08,4.19e+08,3.9e+07,-3.36e+08,1.075e+09,-6.3e+07,-1.5e+07,-3.68e+08,9.8e+07,2.1e+07,2.25e+08,9.32e+08,9.32e+08,9.32e+08,1.956e+09,9.809e+09,2e+09,0.91361,0.31691,0.14804,0.03668,0.01645,2.78552,2.35437,1.22976,0.22476,0.49111,0.48612,3.31737,7.46922,1.36799,0.01809,0.05039,2.67331,3.40208
"46","2021_Q3",34.9096875,"Down",5.748e+09,-4.84e+08,5.264e+09,-3.167e+09,-3.153e+09,-1.4e+07,2.097e+09,-1.39e+08,-1.48e+08,9e+06,1.958e+09,-3e+07,1.928e+09,-6.03e+08,6e+06,1.331e+09,1.331e+09,-2.48e+08,1.083e+09,1.083e+09,6.313e+09,6.313e+09,1.1e+09,1.1e+09,2.622e+09,2.564e+09,1.986e+09,1.2599e+10,2.9836e+10,2.9836e+10,3.001e+09,3.001e+09,3.2837e+10,4.5436e+10,4.136e+09,9.19e+08,3.106e+09,1.057e+09,1.057e+09,3.34e+08,3.34e+08,5.527e+09,8.638e+09,8.638e+09,1.0336e+10,4.486e+09,5.85e+09,1.8974e+10,2.4501e+10,2.6244e+10,-3.777e+09,-9.88e+09,-5.76e+08,1.2011e+10,8.924e+09,2.0935e+10,4.5436e+10,1.331e+09,4.83e+08,5.8e+07,5.23e+08,2.395e+09,-1.14e+08,-3.2e+07,-4.65e+08,-1.17e+08,-4.6e+07,-1.96e+08,1.734e+09,1.734e+09,1.734e+09,2.58e+09,9.695e+09,3.592e+09,0.9158,0.36482,0.18841,0.05173,0.02384,3.31671,2.27954,1.17034,0.21338,0.74077,0.73324,3.9316,8.21546,2.45691,0.02644,0.08768,1.31085,1.61278
"47","2021_Q4",37.75359375,"Up",6.083e+09,-9.404e+09,-3.321e+09,5.736e+09,5.751e+09,-1.5e+07,2.415e+09,-1.02e+08,-1.38e+08,3.6e+07,2.313e+09,4.7e+07,2.36e+09,-6.28e+08,-9e+06,1.723e+09,1.723e+09,-3.24e+08,1.399e+09,1.399e+09,7.672e+09,7.672e+09,9.31e+08,9.31e+08,2.703e+09,2.485e+09,1.894e+09,1.3791e+10,3.0102e+10,3.0102e+10,3.024e+09,3.024e+09,3.3126e+10,4.6917e+10,4.297e+09,1.237e+09,2.949e+09,8.97e+08,8.97e+08,3.29e+08,3.29e+08,5.523e+09,8.768e+09,8.768e+09,1.0095e+10,4.5e+09,5.595e+09,1.8863e+10,2.4386e+10,2.6183e+10,-3.777e+09,-8.481e+09,-5.72e+08,1.3353e+10,9.178e+09,2.2531e+10,4.6917e+10,1.723e+09,5.28e+08,-4.66e+08,1.8e+08,1.965e+09,-1.9e+08,-3e+07,-5.48e+08,-2e+07,5.7e+07,-6.7e+07,1.35e+09,1.35e+09,1.35e+09,2.943e+09,9.665e+09,3.561e+09,-0.54595,0.39701,0.22999,0.06209,0.02982,2.54539,2.49701,1.08233,0.206,0.9543,0.94463,4.14939,9.10846,2.42906,0.03308,0.0842,0.6772,0.82526
"48","2022_Q1",44.0840322580645,"Up",6.164e+09,-3.723e+09,2.441e+09,-1.13e+08,-94000000.0000019,-1.9e+07,2.328e+09,-3.32e+08,-1.71e+08,-1.61e+08,1.996e+09,-2.3e+07,1.973e+09,-6.25e+08,1e+07,1.358e+09,1.358e+09,-2.52e+08,1.106e+09,1.106e+09,8.068e+09,8.068e+09,1.168e+09,1.168e+09,2.839e+09,2.755e+09,2.181e+09,1.483e+10,3.0345e+10,3.0345e+10,2.847e+09,2.847e+09,3.3192e+10,4.8022e+10,5.256e+09,1.541e+09,3.495e+09,3.72e+08,3.72e+08,2.64e+08,2.64e+08,5.892e+09,9.078e+09,9.078e+09,1.0033e+10,4.234e+09,5.799e+09,1.9111e+10,2.5003e+10,2.6035e+10,-4.292e+09,-7.375e+09,-3.88e+08,1.398e+10,9.039e+09,2.3019e+10,4.8022e+10,1.358e+09,5.68e+08,-3.4e+07,3.88e+08,2.28e+09,-1.18e+08,-7.3e+07,-5.83e+08,-2.21e+08,-5.03e+08,-1.302e+09,3.95e+08,3.95e+08,3.95e+08,2.896e+09,9.45e+09,3.791e+09,0.39601,0.37768,0.17943,0.04805,0.02303,3.42767,2.51697,1.08619,0.19678,0.74938,0.74478,4.17645,9.47222,2.56861,0.02602,0.0892,0.47721,0.59364
