"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"33","2018_Q4",5.01555555555556,"Down",200413000,-130234000,70179000,-95146000,-24967000,-7317000,-32284000,-32475000,-135000,-32610000,-32610000,-32610000,-32610000,446886000,416406000,153901000,153901000,211945000,43756000,43756000,856488000,131923000,258137000,11007000,390910000,1247398000,175786000,83249000,92537000,42724000,42724000,218510000,61991000,15790000,31224000,324571000,543081000,1547605000,-823503000,-19785000,704317000,704317000,1247398000,-32610000,17089000,16304000,-21194000,-20411000,-5524000,25451000,6627000,6627000,349049000,354089000,354089000,-836000,353253000,-7878000,262580000,-34461000,0.35017,-0.12458,-0.16271,-0.0463,-0.02614,1.05676,3.91967,0.77107,0.2105,-0.21245,-0.21245,1.30569,4.58862,-0.22451,-0.03169,-0.03349,23.39502,7.38198
"34","2019_Q1",4.61196721311475,"Down",332058000,-247554000,84504000,-172394000,-87890000,-19231000,-107121000,-133455000,-12000,-133467000,-133467000,-133467000,-133467000,229465000,202954000,317115000,317115000,311888000,98629000,85400000,957097000,342820000,501353000,41003000,844173000,1801270000,414333000,191187000,223146000,88534000,88534000,502867000,134115000,31768000,8.9e+07,594582000,1097449000,1686091000,-956970000,-25300000,703821000,703821000,1801270000,-133467000,50155000,27431000,-15673000,-71554000,-10665000,-109564000,9.31322574615479e-10,1.86264514923096e-09,-1262000,-182380000,-182380000,2475000,-179905000,-37735000,460467000,-64061000,0.25449,-0.26468,-0.40194,-0.18963,-0.0741,0.47998,1.90328,1.55927,0.25563,-0.76307,-0.76307,1.89847,4.02395,-0.36626,-0.10279,-0.04934,-6.12169,-2.62831
"35","2019_Q2",3.75857142857143,"Down",292707000,-226275000,66432000,-153798000,-87366000,-9720000,-97086000,-121408000,-193000,-121601000,-121601000,-121601000,-121601000,183281000,167259000,267117000,267117000,332495000,92542000,87871000,875435000,161146000,538370000,100889000,699516000,1574951000,396081000,163834000,232247000,95344000,95344000,491425000,186489000,30727000,144339000,466227000,957652000,1702887000,-1054874000,-30714000,617299000,617299000,1574951000,-121601000,30939000,51688000,-17180000,-56154000,-6590000,-6048000,7740000,7740000,16324000,-45878000,-45878000,-1213000,-47091000,-56427000,279738000,-80004000,0.22696,-0.29848,-0.41544,-0.19699,-0.07721,0.65792,1.78142,1.55136,0.17762,-0.68932,-0.68932,1.65928,3.49931,-0.45352,-0.11223,-0.07384,-1.70941,-1.10406
"36","2019_Q3",4.395,"Up",296250000,-234994000,61256000,-154005000,-92749000,-3887000,-96636000,-112271000,-1385000,-113656000,-113656000,-113656000,-113656000,110531000,109034000,260352000,260352000,338793000,112559000,109817000,822235000,159210000,532574000,102302000,691784000,1514019000,454015000,194882000,259133000,78417000,78417000,532432000,180834000,28510000,142230000,466517000,998949000,1715836000,-1168530000,-32236000,515070000,515070000,1514019000,-113656000,31204000,20854000,-2215000,-63813000,-9194000,6357999.99999999,9.31322574615479e-10,-9.31322574615479e-10,-450000.000000015,-57905000,-57905000,1180000,-56725000,-61545000,285683000,-71569000,0.20677,-0.31308,-0.38365,-0.22066,-0.07507,0.6297,1.5443,1.93944,0.18869,-0.63609,-0.63609,1.65801,2.88267,-0.40055,-0.11579,-0.07291,-2.84592,-1.88845
"37","2019_Q4",6.14609375,"Up",325341000,-238512000,86829000,-141986000,-55157000,-13932000,-69089000,-83219000,-1548000,-84767000,-84767000,-84767000,-84767000,94804000,94804000,284448000,284448000,324845000,118502000,118502000,822599000,156570000,527102000,108434000,683672000,1506271000,478518000,206641000,271877000,72870000,72870000,558327000,201070000,32750000,159174000,521245000,1079572000,1730056000,-1253297000,-50060000,426699000,426699000,1506271000,-84767000,29038000,16825000,1711000,-37193000,-11769000,-10270000,4313000,4313000,32799000,-14664000,-14664000,-3227000,-17891000,-26119000,327114000,-34629000,0.26689,-0.16954,-0.26055,-0.19866,-0.05628,0.40852,1.47333,2.53006,0.21717,-0.47096,-0.47096,1.80758,2.37072,-0.1924,-0.08877,-0.03627,-8.89429,-4.2118
"38","2020_Q1",6.86048387096774,"Up",384567000,-273161000,111406000,-143242000,-31836000,-5886000,-37722000,-66757000,163000,-66594000,-66594000,-66594000,-66594000,109201000,109201000,349645000,349645000,340429000,143556000,139217000,942831000,150793000,534714000,114520000,685507000,1628338000,579893000,273397000,306496000,103753000,103753000,715319000,200412000,36067000,155645000,526484000,1241803000,1741065000,-1319891000,-34639000,386535000,386535000,1628338000,-66594000,28643000,18345000,9416000,-10190000,-2649000,-2649000,-9.31322574615479e-10,9.31322574615479e-10,23237000,10398000,10398000,1769000,12167000,-3193000,357745000,3410999.99999999,0.28969,-0.08278,-0.17317,-0.17228,-0.0409,-0.0512199999999999,1.31806,3.21265,0.2197,-0.3682,-0.3682,2.12627,2.13715,0.01886,-0.07049,0.00361,-77.84028,-7.80701
"39","2020_Q2",5.47857142857143,"Down",330273000,-253307000,76966000,-139044000,-62078000,-21452000,-83530000,-98332000,-936000,-99268000,-99268000,-99268000,-99268000,261534000,261534000,272278000,272278000,319696000,163971000,159845000,1017479000,148815000,500837000,106069000,649652000,1667131000,478068000,203277000,274791000,95693000,95693000,605441000,188294000,34149000,146640000,699971000,1305412000,1827667000,-1419809000,-46139000,361719000,361719000,1667131000,-99268000,25445000,25551000,-43245000,-91517000,-8464000,-8464000,7395000,7395000,255021000,155040000,155040000,-4369000,150671000,-36633000,543357000,-87406000,0.23304,-0.18796,-0.30056,-0.27443,-0.05954,0.88051,1.68056,3.60891,0.32592,-0.54536,-0.54536,1.81445,1.9872,-0.48019,-0.09079,-0.07994,-7.69315,-4.53982
"40","2020_Q3",6.9971875,"Up",331587000,-234180000,97407000,-133592000,-36185000,-14374000,-50559000,-5.9e+07,-2635000,-61635000,-61635000,-61635000,-61635000,202782000,202782000,289107000,289107000,288159000,172359000,168052000,952407000,145110000,498341000,103529000,643451000,1595858000,438395000,195947000,242448000,95932000,95932000,562053000,193623000,31300000,156759000,703951000,1266004000,1838864000,-1481444000,-27566000,329854000,329854000,1595858000,-61635000,25924000,27636000,-28497000,-36572000,-10538000,-10538000,3999.99999999627,4000.00000000186,-14562000,-61672000,-61672000,2401000,-59271000,-10261000,538054000,-46661000,0.29376,-0.10913,-0.18588,-0.18686,-0.03862,0.75705,1.69451,3.83807,0.33716,-0.33209,-0.33209,1.78661,1.77727,-0.25141,-0.05806,-0.04396,-32.6744,-9.26549999999998
"41","2020_Q4",7.92984375,"Up",340211000,-231935000,108276000,-127469000,-19193000,-7620000,-26813000,-34537000,-1359000,-35896000,-35896000,-35896000,-35896000,196546000,196546000,290316000,290316000,275839000,163268000,158765000,925969000,143878000,501620000,112883000,645498000,1571467000,387343000,156777000,230566000,88106000,88106000,500335000,204536000,29952000,170006000,721904000,1222239000,1888685000,-1517340000,-22117000,349228000,349228000,1571467000,-35896000,22894000,24737000,-48162000,-36427000,-8146000,-8146000,38975000,38975000,36390000,-8183000,-8183000,-230000,-8413000,3701000,542254000,-51248000,0.31826,-0.05641,-0.10551,-0.10279,-0.02284,1.42768,1.8507,3.49983,0.34506,-0.18933,-0.18933,1.79445,1.84201,-0.27031,-0.03275,-0.04676,93.40935,-18.01219
"42","2021_Q1",9.79885245901639,"Up",353525000,-227382000,126143000,-125954000,189000,-2043000,-1854000,-8819000,-1105000,-9924000,-9924000,-9924000,-9924000,298014000,298014000,319428000,319428000,269307000,175124000,171831000,1061873000,153133000,517491000,119183000,670624000,1732497000,398657000,175762000,222895000,133246000,133246000,633886000,226331000,29810000,192357000,672327000,1306213000,1965245000,-1527264000,-11898000,426284000,426284000,1732497000,-9924000,25877000,28117000,8146000,52216000,-11861000,-11861000,63614000,63614000,57313000,97668000,97668000,1931000,99599000,26066000,547979000,23456000,0.35681,0.000530000000000003,-0.02807,-0.02328,-0.00573,-2.36356,1.67518,3.06418,0.31629,-0.05072,-0.05072,1.8069,2.17775,0.11989,-0.00827,0.01954,9.58969999999995,1322.56614
"43","2021_Q2",9.69634920634921,"Down",330907000,-213875000,117032000,-137212000,-20180000,-24198000,-44378000,-47311000,-1011000,-48322000,-48322000,-48322000,-48322000,234029000,234029000,276855000,276855000,262827000,142533000,139245000,916244000,153118000,497593000,117213000,650711000,1566955000,356575000,151984000,204591000,124285000,124285000,505928000,212288000,28960000,179647000,667679000,1173607000,1983804000,-1575586000,-14870000,393348000,393348000,1566955000,-48322000,20546000,27499000,18907000,18630000,-11721000,-11721000,9344000,9344000,-72469000,-65560000,-65560000,-278000,-65838000,366000,480459000,8563000,0.35367,-0.06098,-0.14603,-0.12285,-0.03084,-0.17721,1.81102,2.98364,0.30662,-0.23846,-0.23846,1.633,1.94114,0.04226,-0.04449,0.00788,673.30601,-12.2116
"44","2021_Q3",9.06328125,"Down",338227000,-217844000,120383000,-144305000,-23922000,-9270999.99999999,-33193000,-32519000,-3075000,-35594000,-35594000,-35594000,-35594000,219735000,219735000,281022000,281022000,274030000,139447000,136607000,914234000,158326000,487967000,112813000,646293000,1560527000,394374000,172959000,221415000,119913000,119913000,514711000,208143000,28410000,176496000,669223000,1183934000,1996091000,-1611180000,-8526000,376593000,376593000,1560527000,-35594000,18762000,25688000,12448000,21304000,-14068000,-14068000,7.45058059692383e-09,7.45058059692383e-09,-28074000,-20838000,-20838000,4523000,-16315000,-5160000,461504000,-3705000,0.35592,-0.07073,-0.10524,-0.09452,-0.02281,0.10409,1.77621,3.1438,0.29574,-0.17565,-0.17565,1.66912,1.85743,-0.01828,-0.03402,-0.00354,-46.85446,-10.1065500000001
"45","2021_Q4",8.4725,"Down",355814000,-237721000,118093000,-142523000,-24430000,-17363000,-41793000,-48339000,-5455000,-53794000,-53794000,-53794000,-53794000,203484000,203484000,273371000,273371000,289613000,143042000,140202000,909510000,155520000,468429000,106465000,623949000,1533459000,411882000,173303000,238579000,107825000,107825000,520190000,204160000,30048000,170986000,672998000,1193188000,2015442000,-1664974000,-10407000,340271000,340271000,1533459000,-53794000,20925000,25572000,-5878000,-13175000,-6525000,-6525000,7153000,7153000,3814000,-15886000,-15886000,-944000,-16830000,-3505000,469321000,-10453000,0.3319,-0.06866,-0.15119,-0.15809,-0.03508,0.19432,1.74842,3.50658,0.30605,-0.25716,-0.25716,1.70097,1.62566,-0.04997,-0.05306,-0.01031,-75.84508,-10.88158
"46","2022_Q1",8.58741935483871,"Up",400257000,-257791000,142466000,-147553000,-5087000,-20479000,-25566000,-30621000,-2447000,-33068000,-33068000,-33068000,-33068000,190611000,190611000,358954000,358954000,291367000,150829000,147989000,991761000,160218000,435245000,92883000,595463000,1587224000,474658000,216404000,258254000,137297000,137297000,612488000,174176000,31612000,140200000,650965000,1263453000,2026309000,-1698042000,-4496000,323771000,323771000,1587224000,-33068000,23350000,31453000,-20366000,1369000,-9065000,-9065000,-9.31322574615479e-10,-9.31322574615479e-10,-4815000,-12511000,-12511000,-1368000,-13879000,18263000,477322000,-8721000,0.35594,-0.01271,-0.08262,-0.10213,-0.02083,0.26373,1.61923,3.9023,0.30073,-0.15808,-0.15808,1.91343,1.54779,-0.04169,-0.03391,-0.00894,15.69901,-56.36151
"47","2022_Q2",6.39951612903226,"Down",338874000,-227227000,111647000,-140871000,-29224000,1081000,-28143000,-35413000,-6437000,-41850000,-41850000,-41850000,-41850000,191937000,191937000,276056000,276056000,291690000,167716000,161188000,927399000,158397000,409742000,83942000,568139000,1495538000,432213000,188460000,243753000,129796000,129796000,562504000,163355000,29907000,131168000,762829000,1325333000,1851002000,-1665400000,-15610000,170205000,170205000,1495538000,-41850000,21572000,22880000,13186000,15788000,-16059000,-16059000,8875000,8875000,6412000,6141000,6141000,-4634000,1507000,-7652000,599969000,-4088000,0.32946,-0.08624,-0.1235,-0.24588,-0.02798,0.09768,1.6487,7.78669,0.40117,-0.19843,-0.19843,1.60674,0.806,-0.01938,-0.04483,-0.00438,-53.32358,-13.96222
"48","2022_Q3",5.4815625,"Down",357985000,-248785000,109200000,-147781000,-38581000,-10668000,-49249000,-50382000,-5339000,-55721000,-55721000,-55721000,-55721000,130856000,130856000,302928000,302928000,309602000,182622000,161480000,926008000,157665000,385127000,82049000,542792000,1468800000,438599000,208882000,229717000,116043000,116043000,555182000,156984000,29130000,125739000,797060000,1352242000,1.867e+09,-1721121000,-29537000,116558000,116558000,1468800000,-55721000,21134000,23478000,-61310000,-72419000,-10667000,-10667000,-1.86264514923096e-09,-1.86264514923096e-09,34831000,-48255000,-48255000,-591000,-48846000,-17447000,640616000,-84085000,0.30504,-0.10777,-0.15565,-0.47805,-0.03794,1.50904,1.66794,11.60145,0.43615,-0.25856,-0.25856,1.66111,0.53985,-0.39017,-0.06095,-0.09198,-29.21763,-13.21272
