"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"33","2018_Q4",124.754761904762,"Down",115650000,-113954000,-5589000,-15998000,-92367000,1696000,-12663000,-12663000,-10967000,7000,-10960000,-129000,-11089000,-11089000,-11089000,-11089000,9245000,9245000,12129000,12129000,30571000,4647000,25924000,51945000,1070951000,16817000,16817000,1087768000,1139713000,46983000,9006000,37977000,33656000,14342000,19314000,83986000,949486000,938924000,995996000,1079982000,186372000,-123211000,59731000,59731000,1139713000,-11089000,15998000,1189000,5665000,11763000,-7134000,-7134000,-5677000,-561000,-6238000,-1609000,-1609000,-1609000,17694000,49857000,16354000,0.01466,-0.09588,-0.18565,-0.00973,-1.47479,0.6185,18.08076,0.04375,-5.56454,-5.56454,58.03404,29.97347,8.20656,-0.01047,0.01544,2.29524,23.94575
"34","2019_Q1",90.6122950819672,"Down",115098000,-118220000,-9638000,-15933000,-92649000,-3122000,-12723000,-12724000,-15845000,-12605000,-28450000,2159000,-26291000,-26291000,-26291000,-26291000,31309000,31309000,10581000,10581000,31568000,5232000,26184000,73458000,1059049000,16637000,16485000,1075686000,1149144000,51381000,9095000,42286000,30536000,14892000,15644000,85030000,983202000,975051000,1028849000,1113879000,188197000,-149502000,35265000,35265000,1149144000,-26291000,15933000,14887000,5470000,9999000,-3976000,-3976000,19852000,-4273000,15579000,21602000,21602000,21602000,12811000,48760000,12146000,-0.02712,-0.22842,-0.74553,-0.02288,-0.46198,0.86391,31.58596,0.04243,-13.17714,-13.17714,57.68753,17.67495,6.08762,-0.02463,0.01138,1.36219,-5.58969
"35","2019_Q2",62.9452380952381,"Down",114176000,-112206000,-7570000,-15974000,-88662000,1970000,-12484000,-12507000,-10514000,-2340000,-12854000,-130000,-12984000,-12984000,-12984000,-12984000,22185000,22185000,10469000,10469000,30287000,3666000,21619000,62941000,1023707000,256861000,256709000,1280568000,1343509000,40966000,2201000,38765000,68037000,5051000,62986000,110675000,1187892000,1187892000,1198895000,1309570000,187219000,-149850000,33939000,33939000,1343509000,-12984000,15974000,6442000,-10577000,-1145000,-3353000,-3353000,-4333000,-272000,-4605000,-9103000,-9103000,-9103000,17944000,12675000,4144000,0.01725,-0.11372,-0.38257,-0.00966,-0.31916,0.5687,38.58599,0.00943,-6.46677,-6.46677,56.86613,16.90355,2.06395,-0.01052,0.00336,-0.52998,-4.82741
"36","2019_Q3",69.95859375,"Up",113126000,-112923000,-6642000,-15975000,-90306000,203000,-12561000,-12545000,-12358000,-59000,-12417000,-117000,-12534000,-12534000,-12534000,-12534000,21698000,21698000,10710000,10710000,30549000,6404000,23993000,62957000,1012229000,252850000,252698000,1265079000,1328036000,45278000,2012000,43266000,70669000,5418000,65251000,117642000,1176780000,1176780000,1187351000,1304993000,188857000,-162384000,23043000,23043000,1328036000,-12534000,15975000,-928000.000000001,-617000,1896000,429000,429000,-2304000,-487000,-2791000,-465999.999999996,-465999.999999996,-465999.999999996,16178000,12266000,16107000,0.00179,-0.1108,-0.54394,-0.00944,-1.28506,0.53516,56.63295,0.00924,-6.20595,-6.20595,56.01195,11.40926,7.97504,-0.01034,0.01329,-0.58301,-46.46305
"37","2019_Q4",58.4296875,"Down",111110000,-119215000,-7554000,-16136000,-95525000,-8105000,-12502000,-12503000,-20607000,0,-20607000,-124000,-20731000,-20731000,-20731000,-20731000,7703000,7703000,8785000,8785000,56043000,5970000,25555000,72531000,978224000,243445000,243293000,1221669000,1294200000,47027000,4413000,42614000,180574000,6329000,174245000,229319000,1051539000,1051539000,1061671000,1290990000,189755000,-183115000,3210000,3210000,1294200000,-20731000,16136000,-943000,4035000,-1503000,-6459000,-6459000,-4979000,-1034000,-6013000,-13975000,-13975000,-13975000,8031000,11850000,5731000,-0.07295,-0.18658,-6.45826,-0.01602,-0.27645,0.31629,402.17757,0.00916,-10.24895,-10.24895,54.93033,1.58695,2.83328,-0.01944,0.00537,0.51637,-0.51166
"38","2020_Q1",34.1612903225806,"Down",108688000,-117445000,-5752000,-16105000,-95588000,-8757000,-12027000,-12026000,-20784000,31080000,10296000,-77000,10219000,10219000,10219000,10219000,23975000,23975000,8143000,8143000,31095000,5308000,25715000,63213000,969211000,235272000,235196000,1204483000,1267696000,57029000,10382000,46647000,70255000,7201000,63054000,129025000,1114604000,1114604000,1124292000,1253317000,190386000,-172896000,14379000,14379000,1267696000,10219000,16105000,-28829000,8486000,5981000,57161000,57161000,-45962000,-893000,-46855000,16287000,16287000,16287000,7348000,11429000,73072000,-0.08057,0.09402,0.71069,0.00806,7.1506,0.48993,87.16302,0.00902,5.04905,5.04905,53.70107,7.10444,36.10375,0.00896,0.06408,-1.7074,1.43267999999999
"39","2020_Q2",11.3896825396825,"Down",106129000,-145347000,-6435000,-51669000,-87243000,-39218000,-11615000,-11616000,-50833000,3884000,-46949000,-232000,-47181000,-47181000,-47181000,-47181000,17729000,17729000,7996000,7996000,21694000,4912000,16710000,47419000,908954000,22443000,22367000,931397000,978816000,47402000,8195000,39207000,60594000,6835000,53759000,107996000,903026000,903026000,903026000,1011022000,191301000,-220077000,-32206000,-32206000,978816000,-47181000,15715000,34759000,-8294000,-5001000,1045000,1045000,-4922000,-313000,-5235000,-9191000,-9191000,-9191000,-23503000,0,-30520000,-0.36953,-0.44456,1.46498,-0.0482,0.64687,0.43908,-31.39235,0,-23.26005,-23.26005,52.32118,-15.87743,-15.04624,-0.05418,-0.03505,0.75433,0.45206
"40","2020_Q3",9.66921875,"Down",101477000,-102975000,-6473000,-16321000,-80181000,-1498000,-11226000,-11218000,-12724000,0,-12724000,-29000,-12753000,-12753000,-12753000,-12753000,25460000,25460000,8832000,8832000,17236000,5823000,11337000,51528000,895127000,17598000,17522000,912725000,964253000,61504000,8776000,52728000,256132000,7017000,249115000,317636000,691097000,691097000,691097000,1008733000,191780000,-232830000,-44480000,-44480000,964253000,-12753000,16321000,-13178000,13867000,4257000,-2729999.99999999,-2730000,-545000,-12000,-557000,970000,970000,970000,14823000,0,25989000,-0.01476,-0.12567,0.28671,-0.01323,-2.03787,0.16222,-22.67835,6.93889390390723e-18,-6.24977999999999,-6.24977999999999,49.73014,-21.79801,12.73625,-0.01972,0.04019,-1.7176,16.99599
"41","2020_Q4",11.479375,"Up",96053000,-107982000,-8128000,-18788000,-81066000,-11929000,-11118000,-11127000,-23047000,-191785000,-214832000,-132000,-214964000,-214964000,-214964000,-214964000,14293000,14293000,9107000,9107000,17685000,4764000,12845000,41085000,692746000,6630000,6554000,699376000,740461000,67179000,10398000,56781000,279521000,5885000,273636000,346700000,652784000,652784000,652784000,999484000,191882000,-447794000,-259023000,-259023000,740461000,-214964000,15548000,191920000,2870000,-4626000,-3130000,-3130000,-2761000,-50000,-2811000,-10567000,-10567000,-10567000,3619000,0,3491000,-0.12419,-2.23797,0.8299,-0.29031,-0.01624,0.1185,-3.85867,0,-104.8763,-104.8763,46.86219,-126.37173,1.70318,-0.54593,0.00887,-3.94943,1.19817
"42","2021_Q1",29.0403278688525,"Up",80205000,-41307000,-6868000,26476000,-60915000,38898000,-10613000,-10410000,28285000,-48759000,-20474000,4000,-20470000,-20470000,-20470000,-20470000,17885000,17885000,5820000,5820000,19723000,7028000,12619000,43428000,655731000,3674000,3674000,659405000,702833000,63731000,14967000,48764000,309391000,3984000,305407000,373122000,4247000,4247000,608976000,982098000,188999000,-468264000,-279265000,-279265000,702833000,-20470000,12718000,6530000,-201000.000000002,-1423000,13329000,13329000,-7269000,-45000,-7314000,4592000,4592000,4592000,51616000,604729000,64740000,0.48498,-0.25522,0.0733000000000003,-0.02912,-3.16268,0.11639,-3.51672,0.86042,-9.83499999999999,-9.83499999999999,38.53523,-134.17544,31.10493,-0.06208,0.19635,11.36942,15.08674
"43","2021_Q2",44.5374603174603,"Up",61648000,-68654000,-7187000,-9283000,-52184000,-7006000,-665000,-9370000,-7671000,46578000,38907000,-63000,38844000,38844000,38844000,38844000,16766000,16766000,3926000,3926000,14554000,5122000,9432000,35246000,647895000,3757000,3757000,651652000,686898000,54506000,12131000,42375000,4907000,3883000,1024000,320759000,3971000,3971000,606394000,927153000,189143000,-429420000,-240255000,-240255000,686898000,38844000,9283000,-46197000,1334000,3264000,-2108000,-2108000,-2258000,-17000,-2275000,-1119000,-1119000,-1119000,2277000,863769000,1566000,-0.11365,0.63009,-0.16168,0.05655,0.04032,0.10988,-3.85904,1.25749,18.87464,18.80155,29.9553,-116.74198,0.76093,0.0619,0.0025,371.98199,-120.8968
"44","2021_Q3",35.73015625,"Down",57542000,-66079000,-9522000,-9025000,-47532000,-8537000,-9500000,-9498000,-18037000,67213000,49176000,-98000,49078000,49078000,49078000,49078000,14556000,14556000,3970000,3970000,14776000,5244000,9532000,33302000,642003000,3570000,3570000,645573000,678875000,61281000,17922000,43359000,236975000,3964000,233011000,298256000,3933000,3933000,571279000,869535000,189660000,-380342000,-190660000,-190660000,678875000,49078000,9025000,-63001000,8598000,3700000,-2645000,-2645000,-3265000,3.63797880709171e-12,-3265000,-2210000,-2210000,-2210000,487999.999999993,567346000,6539000.00000001,-0.14836,0.85291,-0.25741,0.07229,0.13324,0.11166,-4.56066,0.83571,23.80116,23.50479,27.90592,-92.4743,3.17119,0.12894,0.01718,1132.76639,-64.75225
"45","2021_Q4",30.8535483870968,"Down",57924000,-65571000,-7473000,-9503000,-48595000,-7647000,-9701000,-9701000,-17348000,54065000,36717000,-207000,36510000,36510000,36510000,36510000,10669000,10669000,4309000,4309000,20408000,8250000,12158000,35386000,635405000,3389000,3389000,638794000,674180000,57837000,13859000,43978000,164079000,3482000,160597000,221916000,4011000,4011000,605828000,827744000,190246000,-343832000,-153564000,-153564000,674180000,36510000,9503000,-55777000,-4362000,-14126000,-2343000,-2343000,12178000,-57000,12121000,-4348000,-4348000,-4348000,1856000,601817000,-4642000,-0.13202,0.63031,-0.23775,0.05415,-0.12714,0.15946,-5.39022,0.89267,17.69753,17.30332,28.07756,-74.44789,-2.25012,0.08073,-0.01026,318.50647,-77.30456
