"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"31","2018_Q4",7.26619047619048,"Down",15745000,-5435000,10310000,-9866000,-6225000,-3641000,444000,-403000,-215000,-188000,41000,41000,-140000,-99000,-99000,-99000,-99000,10934000,10934000,6722000,6722000,2691000,1497000,20347000,679000,16577000,13186000,2154000,17256000,37603000,8697000,2074000,6623000,22521000,22292000,229000,31283000,8589000,7294000,1295000,15511000,46794000,345438000,-352811000,-1818000,-9191000,-9191000,37603000,-99000,142000,956000,-1188000,-189000,-13000,-13000,541000,541000,376000,174000,174000,-9000,165000,586000,6987000,-475000,0.65481,0.0282,-0.00629,0.01077,-0.00263,4.79798,0.65042,-5.09128,0.18581,-0.00362,-0.00362,0.57573,-0.33608,-0.01737,-0.01551,-0.0743900000000001,-6.73549,-8.88964
"32","2019_Q1",9.47704918032787,"Up",15589000,-5886000,9703000,-10485000,-6554000,-3931000,-782000,-42000,-185000,143000,-824000,-824000,288000,-536000,-536000,-536000,-536000,11498000,11498000,7389000,7389000,3651000,1277000,22538000,559000,16525000,13186000,2606000,17084000,39622000,11896000,3905000,7991000,18623000,18364000,259000,30561000,8833000,7833000,1e+06,17774000,48335000,346250000,-353345000,-1618000,-8713000,-8713000,39622000,-536000,134000,920000,-2214000,-1696000,-33000,-33000,482000,482000,2449000,720000,720000,-156000,564000,-648000,8983000,-3183000,0.62243,-0.05016,-0.03438,0.06152,-0.01353,5.93843,0.73748,-5.54746,0.22672,-0.01945,-0.01945,0.56568,-0.31617,-0.1155,-0.05888,-0.34966,3.88117,3.21611
"33","2019_Q2",9.04253968253968,"Down",15701000,-5235000,10466000,-9713000,-6154000,-3559000,753000,-173000,-190000,17000,580000,580000,24000,604000,604000,604000,604000,11542000,11542000,16872000,16872000,2888000,963000,31302000,507000,17613000,13186000,3931000,18120000,49422000,9286000,2426000,6860000,29297000,28972000,325000,38604000,8835000,7917000,918000,14579000,53183000,346829000,-348926000,-1664000,-3761000,-3761000,49422000,604000,113000,527000,2076000,3320000,-139000,-139000,219000,219000,-3020000,161000,161000,-117000,44000,866000,5765000,2779000,0.66658,0.04796,0.03847,-0.1606,0.01222,4.60099,0.81085,-14.14065,0.11665,0.02182,0.02016,0.56709,-0.13584,0.10037,0.05572,0.25639,-6.6709,-7.67198
"34","2019_Q3",7.65453125,"Down",17704000,-5542000,12162000,-10033000,-6437000,-3596000,2129000,-145000,-139000,-6000,1984000,1984000,16000,2e+06,2e+06,2e+06,2e+06,11222000,11222000,16178000,16178000,2785000,1097000,30185000,468000,17558000,13186000,3943000,18026000,48211000,8593000,2384000,6209000,33832000,28836000,4996000,42432000,7116000,6136000,980000,7116000,49548000,347210000,-346927000,-1620000,-1337000,-1337000,48211000,2e+06,101000,841000,-2079000,863000,-60000,-60000,44000,44000,-1115000,-311999.999999999,-311999.999999999,-8000,-320000.000000001,2230000,6999.99999999907,75000.0000000009,0.68696,0.12026,0.11297,-1.49589,0.04148,0.0374999999999996,0.71137,-37.05909,0.00015,0.07175,0.06798,0.63512,-0.04796,0.00269,0.34566,0.01296,-5.02915,-5.26773
"35","2019_Q4",7.7346875,"Up",17003000,-5296000,11707000,-9917000,-6295000,-3622000,1790000,-320000,-120000,-2e+05,1470000,1470000,-72000,1398000,1398000,1398000,1398000,31078000,31078000,15139000,15139000,3454000,1237000,49671000,456000,17647000,13186000,4099000,18103000,67774000,11980000,3683000,8297000,26323000,26316000,7000.00000000093,38304000,7954000,6985000,969000,7954000,46258000,368629000,-345529000,-1584000,21516000,21516000,67774000,1398000,79000,875000,1435000,3787000,-73000,-73000,712000,712000,16027000,19741000,19741000,115000,19856000,1869000,1000,3303000,0.68853,0.10528,0.08222,0.0649699999999998,0.02063,2.36266,1.29676,2.14993,9.99999999999875e-06,0.0492,0.04606,0.59834,0.75715,0.11623,0.04744,0.11208,-16.62761,-17.36145
"36","2020_Q1",7.76403225806452,"Up",16824000,-5768000,11056000,-10206000,-6614000,-3592000,850000,117000,130000,-13000,967000,967000,-801000,166000,166000,166000,166000,31860000,31860000,20411000,20411000,4318000,1801000,56589000,525000,16640000,13186000,3160000,17165000,73754000,12006000,4173000,7833000,30688000,30688000,-703407.148904051,42694000,6753000,5801000,952000,6753000,49447000,371130000,-345364000,-1459000,24307000,24307000,73754000,166000,69000,1383000,-2634000,-1016000,-126000,-126000,140000,140000,1881000,739000,739000,44000,782999.999999996,919000,0,-1040000,0.65716,0.05052,0.00987,0.00683,0.00225,-6.26506,1.32546,2.03427,0,0.00547,0.00522999999999999,0.55457,0.80123,-0.03428,0.00534,-0.03348,-34.66812,-37.48235
"37","2020_Q2",9.10063492063492,"Up",17190000,-5315000,11875000,-10780000,-6782000,-3998000,1095000,311000,147000,164000,1406000,1406000,-189000,1217000,1217000,1217000,1217000,34363000,34363000,20217000,20217000,3841000,1898000,58421000,513000,20568000,13186000,7155000,21081000,79502000,9806000,1177000,8629000,34697000,33028000,1669000,44503000,9066000,5749000,3317000,9066000,53569000,371696000,-344147000,-1616000,25933000,25933000,79502000,1217000,74000,1166000,267000,2724000,-70000,-70000,86000,86000,86000,2740000,2740000,-237000,2503000,1169000,0,1555000,0.69081,0.0637,0.0708,0.04693,0.01531,1.27773,1.31274,2.06567,-4.33680868994202e-19,0.03989,0.03817,0.56348,0.85007,0.05097,0.03477,0.04443,-29.39521,-31.38174
"38","2020_Q3",11.6596875,"Up",18154000,-5243000,12911000,-10910000,-6858000,-4052000,2001000,-61000.0000000001,124000,-185000,1940000,1940000,32999.9999999999,1973000,1973000,1973000,1973000,40314000,40314000,14204000,14204000,3198000,1553000,57716000,528000,20514000,13186000,7168000,21042000,78758000,8811000,1357000,7454000,32035000,30335000,1700000,40846000,9030000,6080000,2950000,9030000,49876000,372707000,-342175000,-1650000,28882000,28882000,78758000,1973000,73000,917000,2351000,5314000,-55000,-55000,81000,80999.9999999999,529000,5788000,5788000,163000,5951000,2074000,7.27595761418343e-12,4337000,0.71119,0.11022,0.10868,0.06831,0.02505,2.19818,1.41301,1.72689,0,0.06454,0.06198,0.59383,0.94475,0.14187,0.05204,0.1144,-19.4378,-20.14693
"39","2020_Q4",14.13828125,"Up",18355000,-5500000,12855000,-11098000,-6893000,-4205000,1757000,178000,113000,65000,1935000,1935000,-68000,1867000,1867000,1867000,1867000,40658000,40658000,13369000,13369000,3332000,1510000,57359000,629000,19987000,13186000,6708000,20616000,77975000,11055000,1797000,9258000,27686000,25960000,1726000,38741000,7766000,5261000,2505000,7766000,46507000,373334000,-340308000,-1558000,31468000,31468000,77975000,1867000,274000,990000,-2717000,414000,-214000,-214000,615000,615000,167000,367000,367000,-24000,343000,2031000,0,-832000,0.70035,0.09572,0.10172,0.05933,0.02394,-0.44563,1.48058,1.47791,0,0.06089,0.05818,0.59862,1.02629,-0.02713,0.04759,-0.02121,-20.01871,-23.14058
"40","2021_Q1",11.1573770491803,"Down",19030000,-5023000,14007000,-11454000,-7071000,-4383000,2553000,152000,11000,141000,2705000,2705000,-554000,2151000,2151000,2151000,2151000,46609000,46609000,22708000,22708000,4203000,1689000,73520000,713000,19472000,13186000,6260000,20185000,93705000,13768000,2429000,11339000,38397000,36644000,1753000,52165000,6899000,4826000,2073000,6899000,59064000,374430000,-338158000,-1631000,34641000,34641000,93705000,2151000,151000,1747000,1557000,5606000,-175000,-175000,628000,628000,628000,6059000,6059000,-108000,5951000,2704000,9.09494701772928e-13,4640000,0.73605,0.13416,0.11303,0.06209,0.02296,2.15714,1.40937,1.70503,0,0.06997,0.06718,0.61906,1.1269,0.15094,0.05178,0.1117,-17.23706,-18.25656
"41","2021_Q2",10.222380952381,"Down",19063000,-4631000,14432000,-12080000,-7575000,-4505000,2352000,-160000,3000,-163000,2192000,2192000,-148000,2044000,2044000,2044000,2044000,53099000,53099000,15478000,15478000,3896000,1878000,72473000,710000,19034000,13186000,5848000,19744000,92217000,12384000,1116000,11268000,35714000,34016000,1698000,48098000,6333000,4565000,1768000,6333000,54431000,375388000,-336115000,-1487000,37786000,37786000,92217000,2044000,119000,1047000,2524000,5734000,-79000,-79000,488000,488000,488000,6143000,6143000,348000,6491000,2471000,0,5064000,0.75707,0.12338,0.10722,0.05409,0.02217,2.4775,1.50678,1.44051,-3.3881317890172e-21,0.06625,0.06288,0.61787,1.22471,0.16413,0.04633,0.11478,-21.48887,-22.57611
"42","2021_Q3",11.2978125,"Up",19233000,-4712000,14521000,-12626000,-8118000,-4508000,1895000,-157000,3000,-160000,1738000,1738000,-132000,1606000,1606000,1606000,1606000,54203000,54203000,16649000,16649000,3547000,1730000,74399000,851000,18701000,13186000,5515000,19552000,93951000,11437000,1850000,9587000,35399000,33724000,1675000,46836000,6317000,4731000,1586000,6317000,53153000,376577000,-334509000,-1270000,40798000,40798000,93951000,1606000,106000,1425000,-2924000,213000,-238000,-238000,763000,763000,763000,738000,738000,366000,1104000,2001000,0,-1029000,0.755,0.09853,0.0835,0.03936,0.01709,-0.64072,1.5885,1.30283,0,0.05186,0.04911,0.62108,1.31747,-0.03323,0.03409,-0.02184,-27.08796,-28.60317
"43","2021_Q4",10.37828125,"Down",19743000,-4846000,14897000,-13320000,-8949000,-4371000,1577000,-373000,4000,-377000,1204000,1204000,57000,1261000,1261000,1261000,1261000,53413000,53413000,16016000,16016000,3869000,1924000,73298000,774000,19108000,13186000,5922000,19882000,93180000,11555000,1112000,10443000,33472000,31704000,1768000,45027000,5564000,3814000,1750000,5564000,50591000,377146000,-333157000,-1400000,42589000,42589000,93180000,1261000,114000,1309000,-3624000,-940000,-37000,-37000,201000,201000,201000,-776000,-776000,-14000,-790000,1691000,0,-2027000,0.75455,0.07988,0.06387,0.02961,0.01353,-1.60745,1.62787,1.18789,2.11758236813575e-22,0.04059,0.03853,0.63552,1.37092,-0.06525,0.02619,-0.04209,-31.58664,-33.87001
"44","2022_Q1",11.2583870967742,"Up",20248000,-5078000,15170000,-13655000,-9106000,-4549000,1515000,144000,3000,141000,1659000,1659000,389000,2048000,2048000,2048000,2048000,63231000,63231000,26311000,26311000,5136000,2108000,94678000,705000,19180000,13186000,5994000,19885000,114563000,15864000,3068000,12796000,47677000,46211000,1466000,63541000,4961000,3332000,1629000,4961000,68502000,378482000,-331201000,-1220000,46061000,46061000,114563000,2048000,115000,824000,5868000,8855000,-48000,-48000,9e+05,9e+05,9e+05,9707000,9707000,111000,9818000,1630000,-3.5527136788005e-15,7061000,0.74921,0.07482,0.10115,0.04446,0.01788,3.44775,1.49003,1.4872,0,0.06576,0.06311,0.65018,1.47906,0.22674,0.04014,0.13839,-38.79202,-41.73663
"45","2022_Q2",9.97016129032258,"Down",21451000,-5298000,16153000,-15462000,-9853000,-5609000,691000,12000,2000,10000,703000,703000,-152000,551000,551000,551000,551000,70414000,70414000,11400000,11400000,4521000,2217000,86335000,751000,22057000,13186000,8871000,22808000,109143000,11299000,1721000,9578000,41918000,40590000,1328000,53217000,6898000,2720000,4178000,6898000,60115000,3.81e+08,-330651000,-1321000,49028000,49028000,109143000,551000,111000,2355000,4153000,7170000,-131000,-131000,411000,411000,411000,7450000,7450000,-267000,7183000,802000,0,4976000,0.75302,0.03221,0.02569,0.01124,0.00505,9.03085,1.62232,1.22614,0,0.01762,0.01682,0.68577,1.56739,0.15908,0.00985,0.08897,-87.798,-101.90159
"46","2022_Q3",8.9884375,"Down",23093000,-6101000,16992000,-17622000,-11436000,-6186000,-630000,-27000,2000,-29000,-657000,-657000,-169000,-826000,-826000,-826000,-826000,68481000,68481000,14773000,14773000,4238000,2322000,87492000,750000,22086000,13186000,8900000,22836000,110328000,10954000,1580000,9374000,40187000,39009000,1178000,51141000,6523000,2543000,3980000,6523000,57664000,385498000,-331478000,-1356000,52664000,52664000,110328000,-826000,117000,4548000,-6328000,-2489000,-145000,-145000,677000,677000,677000,-1957000,-1957000,24000,-1933000,-513000,0,-6817000,0.73581,-0.02728,-0.03577,-0.01568,-0.00749,8.25303,1.7108,1.09494,0,-0.02659,-0.02659,0.74331,1.69512,-0.21942,-0.01396,-0.11518,133.49123,108.7
