"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","other_investment_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","disposition_of_fixed_assets","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"29","2017_Q2",35.7220634920635,"Down",330485000,-221685000,108800000,-77910000,-60440000,-39467000,-20973000,-10287000,-7183000,30890000,-10700000,-10788000,-10788000,5000,83000,20190000,20005000,-7823000,12182000,12182000,12175000,12175000,57494000,57494000,223031000,223031000,390908000,9261000,9261000,680694000,215390000,971181000,252168000,710090000,2851000,2157000,1186571000,1867265000,273307000,159448000,113859000,315900000,1007898000,89505000,62129000,1097403000,1413303000,705000,250013000,469508000,-36123000,420467000,453962000,1867265000,12182000,12597000,9772000,-39726000,-5175000,-3513000,35000,35000,-3548000,-3548000,-1274000,-3968000,-4764000,-11213000,-11213000,-9778000,43487000,1050491000,8071000,0.32921,0.09347,0.03684,0.02682,0.00652,0.66292,2.15478,3.11326,0.56258,0.19522,0.19345,5.2991,6.73059,0.12941,0.00764,0.00506,22.83434,32.14623
"30","2017_Q3",39.301746031746,"Up",394875000,-261954000,132921000,-81099000,-63417000,-42010000,-21407000,-10553000,-7129000,51822000,-12432000,-10893000,-10893000,38000,-1577000,39390000,39254000,-13878000,25376000,25376000,25291000,25291000,67071000,67071000,243285000,243285000,378110000,9314000,9314000,697780000,217056000,972694000,245718000,716820000,2699000,3196000,1189750000,1887530000,280467000,163359000,117108000,310322000,1007235000,104208000,66633000,1111443000,1421765000,705000,252647000,495463000,-27209000,427922000,465765000,1887530000,25376000,12986000,14231000,6858000,59451000,-6472000,10000,10000,-6482000,-6482000,-6153000,-13305000,-44742000,8556000,8556000,9577000,64808000,1037090000,79072000,0.33662,0.13124,0.06405,0.0543,0.0134,3.12649,2.24857,3.05254,0.54944,0.40691,0.40296,6.35316,6.87352,1.27219,0.01574,0.0492,14.96758,18.71829
"31","2017_Q4",49.6749206349206,"Up",455839000,-299608000,156231000,-83683000,-65591000,-43463000,-22128000,-10850000,-7242000,72548000,-12689000,-10672000,-10672000,14000,-2031000,59859000,60180000,-20404000,39776000,39776000,39435000,39435000,128780000,128780000,320626000,320626000,349023000,11720000,11720000,810149000,218658000,972167000,240002000,720059000,2571000,5225000,1190825000,2000974000,327835000,190207000,137628000,458743000,908101000,119084000,69556000,1027185000,1485928000,706000,254040000,535172000,-22802000,473147000,515046000,2000974000,39776000,13108000,12496000,961000,66341000,-6596000,32000,32000,-6628000,-6628000,-5795000,782000,724000,61270000,61270000,61709000,85656000,1039009000,100425000,0.34273,0.15915,0.08651,0.07657,0.01971,2.5466,1.76602,2.88504,0.51925,0.63848,0.63187,7.38033,7.64912,1.62595,0.02357,0.06002,10.62656,12.54658
"32","2018_Q1",47.5329508196721,"Down",498174000,-311340000,186834000,-91460000,-72974000,-49901000,-23073000,-11179000,-7307000,95374000,-11114000,-10314000,-10314000,241000,-1041000,84260000,84260000,-2037000,82223000,82223000,80907000,80907000,138472000,138472000,279295000,279295000,387049000,19741000,19741000,824557000,230380000,971028000,233364000,721523000,2401000,10502000,1201408000,2025965000,374249000,233639000,140610000,396423000,906548000,124745000,82893000,1031293000,1427716000,708000,257700000,610836000,-21198000,554041000,598249000,2025965000,82223000,13297000,-2866000,44051000,136705000,-16598000,5000.00000000001,5000.00000000001,-16603000,-16603000,-14906000,-110798000,-111361000,10438000,10438000,9692000,108671000,928722000,138161000,0.37504,0.19145,0.16241,0.13524,0.03994,1.70765,2.07999,2.38649,0.45841,1.30752,1.29531,8.05086,8.94226,2.23278,0.04898,0.08365,7.27195,8.2858
"33","2018_Q2",48.53109375,"Up",400091000,-258164000,141927000,-85580000,-68095000,-44620000,-23475000,-11853000,-5632000,56347000,-11161000,-10113000,-10113000,346000,-1394000,45186000,45186000,-11416000,33770000,33770000,33645000,33645000,146162000,146162000,262170000,262170000,439745000,18768000,18768000,866845000,232023000,978600000,228798000,724206000,2302000,19828000,1210623000,2077468000,379630000,228070000,151560000,412637000,907459000,132774000,83634000,1040233000,1452870000,707000,261944000,636814000,-8372000,570068000,624598000,2077468000,33770000,11683000,8668000,-25153000,28968000,-6495000,1000,1000,-6496000,-6496000,-5997000,9996000,-16200000,6771000,6771000,7690000,68030000,940466000,47798000,0.35474,0.14084,0.08409,0.05387,0.0162,1.42066,2.10074,2.32609,0.4527,0.54316,0.53854,6.45897,9.19162,0.77164,0.02,0.02815,11.67579,14.09665
"34","2018_Q3",54.8047619047619,"Up",497581000,-319108000,178473000,-93006000,-74908000,-48269000,-26639000,-12616000,-5482000,85467000,-11522000,-11002000,-11002000,367000,-887000,73945000,72613000,-18382000,54231000,54231000,53261000,53261000,111714000,111714000,311668000,311668000,479880000,27174000,27174000,930436000,233433000,1045406000,259037000,758072000,3370000,23294000,1278839000,2209275000,454682000,274234000,180448000,480049000,908066000,150870000,93364000,1058936000,1538985000,710000,266482000,687772000,-16900000,617012000,670290000,2209275000,54231000,11600000,8878000,-24020000,50689000,-5635000,195000,195000,-5830000,-5830000,-76130000,-6832000.00000001,-7680000,-33121000,-33121000,-34448000,97067000,933433000,85794000,0.35868,0.17176,0.10704,0.07946,0.02411,1.61082,1.93821,2.296,0.42251,0.86676,0.85843,8.09752,10.02956,1.39619,0.03036,0.0489,8.46548,9.61446
"35","2018_Q4",53.6344444444444,"Down",562388000,-362054000,200334000,-93815000,-74484000,-48985000,-25499000,-13653000,-5678000,106519000,-9925000,-9824000,-9824000,382000,-483000,96594000,96594000,-20072000,76522000,76522000,75776000,75776000,174001000,174001000,341758000,341758000,496088000,28110000,28110000,1039957000,243362000,1049354000,250545000,769168000,3228000,25206000,1292716000,2332673000,465469000,287718000,177751000,553113000,859625000,161403000,93023000,1021028000,1574141000,711000,271770000,756636000,-9557000,698163000,758532000,2332673000,76522000,11841000,15717000,-44739000,59341000,-13234000,17000,17000,-13251000,-13251000,-12338000,12951000,14737000,61740000,61740000,62287000,118360000,947269000,80459000,0.35622,0.1894,0.13474,0.0999,0.03248,1.0618,1.88019,2.07525,0.40609,1.23038,1.21672,9.13154,11.32458,1.30642,0.04058,0.04309,6.53319,7.25944
"36","2019_Q1",52.1726229508197,"Down",563404000,-359098000,204306000,-95458000,-78241000,-50013000,-28228000,-11897000,-5320000,108848000,-12165000,-10017000,-10017000,798000,-2946000,96683000,96683000,-19986000,76697000,76697000,75575000,75575000,224482000,224482000,326133000,326133000,544750000,25404000,25404000,1120769000,278929000,1026616000,243447000,764655000,3043000,15308000,1305545000,2426314000,513146000,328091000,185055000,560706000,876396000,166947000,95647000,1043343000,1604049000,712000,2.74e+08,831123000,-23813000,760549000,822265000,2426314000,76697000,12284000,13455000,5793000,108229000,-22023000,1000,1000,-22024000,-22024000,-14429000,-40432000,-42891000,50909000,50909000,50481000,121132000,923956000,124888000,0.36263,0.1932,0.13414,0.09191,0.03115,1.6525,1.99885,1.95077,0.38081,1.2255,1.21631,9.13598,12.32128,2.02514,0.0395,0.06528,5.77448,6.42615
"37","2019_Q2",58.4428571428571,"Up",470353000,-308178000,162175000,-91002000,-72051000,-47289000,-24762000,-13609000,-5342000,71173000,-10419000,-10272000,-10272000,914000,-1061000,60754000,60754000,-14985000,45769000,45769000,44861000,44861000,161266000,161266000,284612000,284612000,588380000,28537000,28537000,1062795000,289438000,1121489000,238181000,828403000,2930000,47590000,1410927000,2473722000,468535000,290871000,177664000,515979000,882483000,207948000,129071000,1090431000,1606410000,714000,279275000,878416000,-29870000,804420000,867312000,2473722000,45769000,12607000,9988000,-53793000,14571000,-15879000,23000,23000,-15902000,-15902000,-76685000,-659000,-1622000,-63736000,-63736000,-63216000,83780000,929927000,29093000,0.34479,0.15132,0.09538,0.05172,0.01814,0.64851,2.05976,1.85217,0.37592,0.72635,0.72096,7.61554,13.0129,0.47105,0.02237,0.01451,9.17476,10.7999
"38","2019_Q3",74.92453125,"Up",541916000,-346078000,195838000,-104912000,-79967000,-52309000,-27658000,-17694000,-7251000,90926000,-10393000,-10452000,-10452000,452000,-393000,80533000,80533000,-18827000,61706000,61706000,61958000,61958000,110367000,110367000,341535000,341535000,570327000,29481000,29481000,1051710000,300795000,1170604000,289152000,817392000,12622000,48047000,1471399000,2523109000,420876000,259696000,161180000,480363000,883476000,229142000,143950000,1112618000,1592981000,715000,283587000,939618000,-33831000,865940000,930128000,2523109000,61706000,14740000,11824000,-80227000,8043000,-18448000,26000,26000,-18474000,-18474000,-69187000,10124000,9780000,-51364000,-51364000,-50899000,105666000,942963000,25818000,0.36138,0.16779,0.11433,0.06661,0.02456,0.4167,2.18941,1.71265,0.37373,1.00059,0.99173,8.75168,13.97296,0.41695,0.02961,0.01228,7.87951,9.15685
"39","2019_Q4",93.0940625,"Up",601135000,-383618000,217517000,-111961000,-86952000,-59356000,-27596000,-17603000,-7406000,105556000,-10595000,-10704000,-10704000,523000,-414000,94961000,94961000,-20064000,74897000,74897000,75574000,75574000,216038000,216038000,373591000,373591000,517232000,30570000,30570000,1137431000,303288000,1153402000,280585000,811914000,11809000,45877000,1456690000,2594121000,406477000,241290000,165187000,476016000,884315000,238011000,145491000,1122326000,1598342000,716000,290555000,1013707000,-46363000,934264000,995779000,2594121000,74897000,15494000,13333000,7464000,111188000,-11037000,34000,34000,-11071000,-11071000,-18319000,10790000,14020000,106889000,106889000,105671000,121050000,953854000,137541000,0.36184,0.17559,0.12572,0.07589,0.02913,1.81995,2.38948,1.60512,0.3677,1.21988,1.20227,9.70326,15.06893,2.22013,0.03455,0.06287,6.09513,6.98981
"40","2020_Q1",102.99064516129,"Up",590932000,-368710000,222222000,-115863000,-87730000,-58729000,-29001000,-19488000,-8645000,106359000,-9303000,-10116000,-10116000,878000,-65000,97056000,83359000,-13423000,69936000,69936000,69614000,69614000,322883000,322883000,319538000,319538000,522024000,31384000,31384000,1195829000,316976000,1152864000,289475000,805284000,8259000,46913000,1469840000,2665669000,435967000,261977000,173990000,497064000,837767000,236760000,140432000,1074527000,1571591000,717000,296750000,1084383000,-24917000,1032382000,1094078000,2665669000,69936000,18068000,17926000,69155000,175085000,-15343000,12000,12000,-15355000,-15355000,-5886999.99999999,-57822000,-64096000,105102000,105102000,106845000,124427000,898864000,191662000,0.37605,0.17999,0.1178,0.06363,0.02612,2.75321,2.40578,1.43645,0.3372,1.1215,1.08935,9.52004,16.62034,3.08771,0.03122,0.08596,4.62907,5.41544
"41","2020_Q2",105.292698412698,"Up",475915000,-303595000,172320000,-109458000,-83028000,-55139000,-27889000,-18649000,-7781000,62862000,-10007000,-9053000,-9053000,960000,-1914000,52855000,52855000,-9444000,43411000,43411000,44460000,44460000,307456000,307456000,312013000,312013000,559695000,29557000,29557000,1208721000,315828000,1129528000,276009000,793576000,7495000,48374000,1445356000,2654077000,428877000,266917000,161960000,483016000,839380000,248090000,154660000,1087470000,1570486000,719000,302079000,1126174000,-73944000,1023642000,1083591000,2654077000,43411000,16116000,7203000,-55384000,11346000,-12894000,17429.7312220917,17429.7312220917,-12894000,-12894000,-12276000,-6008000,-16084000,-17014000,-17014000,-15427000,78978000,893519000,20144000,0.36208,0.13209,0.09342,0.04103,0.01675,0.45308,2.50245,1.44933,0.33666,0.71564,0.70255,7.66042,16.46517,0.32424,0.01998,0.00905,7.42059,9.32301
"42","2020_Q3",164.57453125,"Up",546848000,-337865000,208983000,-119430000,-92308000,-62526000,-29782000,-19455000,-7667000,89553000,-7488000,-7932000,-7932000,660000,-216000,82065000,82065000,-18473000,63592000,63592000,66145000,66145000,396734000,396734000,322937000,322937000,544372000,33063000,33063000,1297106000,317822000,1152697000,269726000,796169000,6905000,77768000,1470519000,2767625000,431345000,230229000,201116000,486720000,841116000,281495000,184956000,1122611000,1609331000,720000,310202000,1190749000,-72526000,1097730000,1158294000,2767625000,63592000,16803000,20992000,381000,101768000,-13426000,12000,12000,-13438000,-13438000,-12720000,373000.000000007,3068000.00000001,92116000,92116000,89278000,106356000,896491000,111784000,0.38216,0.16376,0.12096,0.05711,0.0239,1.68998,2.66499,1.3894,0.32392,1.0625,1.04258,8.78409,17.62141,1.7956,0.02831,0.04785,4.69891,5.58057
"43","2020_Q4",215.21421875,"Up",701355000,-425206000,276149000,-120512000,-91962000,-60901000,-31061000,-20658000,-7892000,155637000,-8352000,-8096000,-8096000,301000,-557000,147285000,147285000,-32050000,115235000,115235000,114970000,114970000,513944000,513944000,398240000,398240000,532952000,35200000,35200000,1480336000,321360000,1172379000,266939000,815624000,9216000,77004000,1493739000,2974075000,508037000,272745000,235292000,556258000,841341000,283035000,177515000,1124376000,1680634000,720000,316494000,1306530000,-62039000,1230192000,1293441000,2974075000,115235000,17168000,9919000,12874000,155196000,-7594000,14000,14000,-7608000,-7608000,-29735000,-10419000,-8580000,116881000,116881000,117210000,172805000,889562000,210135000,0.39374,0.22191,0.16393,0.08889,0.03866,1.82774,2.66124,1.29935,0.29911,1.84383,1.79891,11.248,19.71769,3.37005,0.04662,0.08521,2.17365,2.41342
"44","2021_Q1",294.702295081967,"Up",761082000,-460880000,300202000,-127737000,-97308000,-67807000,-29501000,-21489000,-8940000,172465000,-7068000,-7910000,-7910000,261000,581000,165397000,163986000,-39006000,124980000,124980000,125001000,125001000,655128000,655128000,374906000,374906000,603317000,36382000,36382000,1669733000,393141000,1172549000,232886000,855228000,9932000,73006000,1565690000,3235423000,598095000,330247000,267848000,641524000,841764000,295724000,179955000,1137488000,1779012000,721000,323425000,1432565000,-34254000,1390293000,1456411000,3235423000,124980000,18686000,13706000,60851000,218223000,-28035000,153000,153000,-28188000,-28188000,-69364000,-8553000,-8832000,140027000,140027000,141184000,191151000,885193000,262973000,0.39444,0.22661,0.16424,0.08583,0.03864,2.10377,2.60276,1.2215,0.27359,2.00358,1.94365,12.19899,22.27273,4.21506,0.0474,0.09971,1.20358,1.33398
"45","2021_Q2",335.494603174603,"Up",807434000,-485620000,321814000,-132690000,-101323000,-68424000,-32899000,-22388000,-8979000,189124000,-3811000,-7723000,-7723000,603000,3309000,185313000,185313000,-35368000,149945000,149945000,148993000,148993000,744814000,744814000,428702000,428702000,644576000,39515000,39515000,1857607000,345563000,1218968000,271800000,849294000,9182000,87332000,1564531000,3422138000,679678000,387933000,291745000,710265000,841516000,282534000,160338000,1124050000,1834315000,723000,332187000,1581681000,-31499000,1524730000,1587823000,3422138000,149945000,18237000,4098000,-19737000,152543000,-27464000,5000,5000,-27469000,-27469000,-21850000,-13368000,-40008000,90685000,90685000,89686000,207361000,872103000,195528000,0.39856,0.23423,0.18453,0.09383,0.04354,1.31233,2.61537,1.15524,0.25484,2.3847,2.32442,12.92334,24.39241,3.12951,0.05433,0.0713,0.61385,0.67305
"46","2021_Q3",428.3421875,"Up",919981000,-580246000,339735000,-156783000,-120387000,-78777000,-41610000,-25344000,-11052000,182952000,-7850000,-7721000,-7721000,244000,-373000.000000001,175102000,174271000,-46362000,127909000,127909000,127036000,127036000,390086000,390086000,480889000,480889000,772861000,48697000,48697000,1692533000,392518000,1621875000,429238000,1109908000,10295000,70188000,2014393000,3706926000,808256000,526375000,281881000,836249000,842607000,334887000,176365000,1177494000,2013743000,723000,340777000,1710464000,-37583000,1655900000,1693183000,3706926000,127909000,21229000,13332000,-40020000,122450000,-26684000,69000,69000,-26753000,-26753000,-445266000,-5813000,-32672000,-355488000,-355488000,-354728000,204181000,870600000,183839000,0.36928,0.19886,0.13809,0.07503,0.03427,1.44714,2.02396,1.18932,0.23486,2.03327,1.98187,14.72471,26.49185,2.94243,0.04383,0.06342,2.35337,2.62645
"47","2021_Q4",414.79640625,"Down",942698000,-606704000,335994000,-162415000,-123044000,-82242000,-40802000,-27165000,-12206000,173579000,-8215000,-7980000,-7980000,165000,-4e+05,165364000,165364000,-32611000,132753000,132753000,131570000,131570000,423726000,423726000,510670000,510670000,934948000,54228000,54228000,1923572000,566858000,1.61e+09,314350000,1174315000,14703000,102819000,2176858000,4100430000,951599000,611181000,340418000,1018014000,843426000,412009000,236344000,1255435000,2273449000,724000,361046000,1834477000,-55541000,1782072000,1826981000,4100430000,132753000,23216000,7726000,-89284000,74411000,-33126000,108000,108000,-33234000,-33234000,-79657000,36902000,39235000,33989000,33989000,33640000,196795000,909841000,106996000,0.35642,0.18413,0.13957,0.07201,0.03209,0.81322,1.88953,1.24437,0.22189,2.1023,2.05109,15.06293,28.46333,1.70964,0.04178,0.03398,2.47016,2.80054
"48","2022_Q1",299.982580645161,"Down",1067071000,-704532000,362539000,-165593000,-118538000,-89577000,-28961000,-29406000,-17649000,196946000,-8903000,-9529000,-9529000,403000,223000,188043000,166578000,-20616000,145962000,145962000,142895000,142895000,147339000,147339000,546466000,546466000,1089705000,64954000,64954000,1848464000,679574000,2349742000,736004000,1409674000,66436000,121888000,3029316000,4877780000,1077942000,674208000,403734000,1155907000,902091000,547645000,341681000,1449736000,2605643000,725000,750823000,1965957000,-54755000,2213774000,2272137000,4877780000,145962000,29359000,-4065000,-109504000,61752000,-22459000,77000,77000,-22536000,-22536000,-270514000,57516000,-69525000,-278287000,-278287000,-276387000,226305000,980056000,114958000,0.33975,0.18457,0.13391,0.06289,0.0293,0.80449,1.59915,1.14678,0.20092,2.26782,2.21909,16.93498,35.12226,1.82444,0.03761,0.03025,3.67962,4.22815
"49","2022_Q2",245.893870967742,"Down",1135856000,-775108000,360748000,-206013000,-140215000,-98243000,-41972000,-39744000,-26054000,154735000,-9231000,-9554000,-9554000,77000,246000,145504000,145504000,-28608000,116896000,116896000,113858000,113858000,206023000,206023000,609870000,609870000,1236772000,72736000,72736000,2125401000,674993000,2351139000,720801000,1412187000,56246000,150126000,3026132000,5151533000,1163884000,697486000,466398000,1253158000,1002685000,515567000,351724000,1518252000,2771410000,727000,757774000,2067868000,-46402000,2308134000,2380123000,5151533000,116896000,38461000,-46709000,-118790000,-10142000,-26336000,1864000,1864000,-28200000,-28200000,-27375000,120318000,95601000,58084000,58084000,58684000,193196000,1091959000,76678000,0.3176,0.13623,0.10024,0.04784,0.0221,0.67345,1.69604,1.1644,0.21197,1.80749,1.76559,18.03162,36.62989,1.21726,0.02855,0.01923,4.58569,5.7255
"50","2022_Q3",240.765510204082,"Down",1291391000,-834406000,456985000,-240141000,-172666000,-120066000,-52600000,-41599000,-25876000,216844000,-9638000,-10235000,-10235000,92000,505000,207206000,203463000,-45826000,157637000,157637000,156359000,156359000,467140000,467140000,692291000,692291000,1240524000,91356000,91356000,2491311000,663159000,2318481000,702407000,1388051000,51727000,162205000,2981640000,5472951000,1090988000,614009000,476979000,1172176000,1286499000,511684000,360041000,1798183000,2970359000,727000,765703000,2210582000,-82839000,2418879000,2502592000,5472951000,157637000,39098000,4052000,-176952000,23835000,-18284000,19000,19000,-18303000,-18303000,-35744000,284718000,270766000,258857000,258857000,261117000,255942000,1367687000,106532000,0.35387,0.16792,0.12108,0.06248,0.02857,0.68133,2.12537,1.18691,0.2499,2.45606,2.41616,20.28495,37.98392,1.67339,0.03568,0.02431,3.51856,4.15297
