"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"36","2019_Q1",93.9631147540984,"Up",77978000,-50263000,-3475000,-24241000,-22547000,27715000,-9132000,-8853000,-279000,18583000,-9.31322574615479e-10,18583000,18583000,18583000,-27000,18556000,18556000,374000,374000,374000,2002230000,7870000,121231000,121231000,2131331000,2131705000,86563000,86563000,34652000,34652000,309676000,917326000,917326000,1227002000,1222551000,-319492000,903059000,1644000,904703000,2131705000,18583000,24241000,1310000,-21398000,22736000,-64119000,825999.999999999,-63293000,-25845000,21660000,44994000,44994000,-135000,40674000,117000,117000,117000,51956000,1105787000,0.35542,0.23796,0.02051,0.0087,0.00121,1.35625,0.51873,0.51323,0.51216,2.15677,24.97743,0.71484,0.02208,1.39281,21.27595,39.88501
"37","2019_Q2",103.044126984127,"Up",78798000,-49892000,-3844000,-23746000,-22302000,28906000,-8604000,-8846000,242000,20302000,2232000,22534000,22534000,22534000,-5000,22529000,22529000,1831000,1831000,1831000,2041515000,7879000,120421000,120421000,2169815000,2171646000,83364000,83364000,46616000,46616000,315586000,934586000,934586000,1250172000,1245664000,-325796000,919868000,1606000,921474000,2171646000,22534000,23746000,-1032000,-3766000,41482000,-48456000,-474000,-48930000,-26787000,14222000,24400000,24400000,-2930000,8905000,1457000,1457000,1457000,52652000,1120192000,0.36684,0.28591,0.02445,0.01037,0.0058,1.35671,0.51583,0.61783,0.61679,2.16092,25.22605,0.73459,0.02415,1.189,21.24062,38.68958
"38","2019_Q3",112.0478125,"Up",82101000,-54719000,-4506000,-27291000,-22922000,27382000,-9411000,-8846000,-565000,17971000,8978000,26949000,26949000,26949000,4000.00000000001,26953000,26953000,326000,326000,326000,2159505000,8088000,127461000,127461000,2295054000,2295380000,96381000,96381000,54743000,54743000,288617000,997861000,997861000,1286478000,1337046000,-329703000,1007343000,1559000,1008902000,2295380000,26949000,27291000,-7060000,9725000,56905000,-146241000,10329000,-135912000,-26374000,14843000,89036000,89036000,-2999.99999999953,77502000,-1505000,-1505000,-1505000,54673000,1135354000,0.33352,0.32829,0.02672,0.01174,0.00113,1.27513,0.49463,0.72954,0.72818,2.22225,27.26602,0.71387,0.02487,0.97852,20.7603,41.45161
"39","2019_Q4",121.18078125,"Up",83938000,-52897000,-3151000,-25990000,-23756000,31041000,-8356000,-8522000,166000,22685000,-110000,22575000,22575000,22575000,-4000,22571000,22571000,130000,130000,16079000,2239527000,7596000,137242000,137242000,2384365000,2400444000,122427000,122427000,56857000,56857000,314614000,977160000,977160000,1291774000,1442749000,-336267000,1106482000,2188000,1108670000,2400444000,22575000,25990000,2019000,21725000,72309000,-119385000,-3759000,-123144000,-26949000,-23090000,100126000,100126000,552000,50639000,-196000,-196000,-196000,57031000,1112490000,0.36981,0.2689,0.02036,0.0094,0.05111,1.16516,0.46345,0.5974,0.59604,2.22164,29.28596,0.71328,0.02229,1.19397,19.50448,35.83519
"40","2020_Q1",117.133064516129,"Down",86550000,-56896000,-4905000,-27697000,-24294000,29654000,-7929000,-8249000,320000,21725000,29557000,51282000,51282000,51282000,-1673000,49609000,49609000,224000,224000,224000,2393427000,7805000,144622000,144622000,2545854000,2546078000,92024000,92024000,69123000,69123000,161147000,1182602000,1182602000,1343749000,1514059000,-313495000,1200564000,1765000,1202329000,2546078000,51282000,27697000,-27035000,-26728000,25216000,-184693000,49342000,-135351000,-28685000,70412000,71148000,71148000,-2646000,110229000,94000,94000,94000,57351000,1182602000,0.34262,0.57318,0.04126,0.01948,0.00139,1.11762,0.46448,1.28601,1.28189,2.24362,31.12204,0.7436,0.03283,0.57822,20.61652,39.87246
"41","2020_Q2",103.265079365079,"Down",88628000,-57002000,-3281000,-27892000,-25829000,31626000,-8220000,-8457000,237000,23406000,-108000,23298000,23298000,23298000,-1000,23297000,23297000,671000,671000,671000,2454671000,7613000,141807000,141807000,2604091000,2604762000,91215000,91215000,70781000,70781000,292922000,1119477000,1119477000,1412399000,1525985000,-335354000,1190631000,1732000,1192363000,2604762000,23298000,27892000,1731000,-1482000,51439000,-85314000,-13310000,-98624000,-29947000,68033000,14734000,14734000,-5188000,47632000,447000,447000,447000,59518000,1250403000,0.35684,0.26286,0.01954,0.00894,0.00229,1.18454,0.48005,0.59917,0.59796,2.27941,30.62165,0.7702,0.0218,1.28544,20.99755,39.51597
"42","2020_Q3",121.423125,"Up",89715000,-57946000,-4025000,-28570000,-25351000,31769000,-8116000,-8346000,230000,23653000,-165999.999999996,23487000,23487000,23487000,-3000,23484000,23484000,104000,104000,104000,2474650000,7322000,140442000,140442000,2622414000,2622518000,99965000,99965000,73192000,73192000,301890000,1103831000,1103831000,1405721000,1558326000,-343245000,1215081000,1716000,1216797000,2622518000,23487000,28570000,2674000.00000001,10512000,65243000,-43947000,-4090000.00000001,-48037000,-29210000,-18170000,29647000,29647000,-40000,-17773000,-567000,-567000,-567000,60339000,1232564000,0.35411,0.26176,0.0193,0.00895,0.00034,1.15526,0.46999,0.60203,0.60097,2.29991,31.14953,0.74882,0.02151,1.24383,20.4256,38.79442
"43","2020_Q4",130.80859375,"Up",92012000,-59250000,-3714000,-29211000,-26325000,32762000,-8103000,-8347000,244000,24659000,-248000,24411000,24411000,24411000,-10000,24401000,24401000,19000,19000,18999.9999999998,2482436000,7530000,145701000,145701000,2635667000,2635686000,110457000,110457000,69544000,69544000,306516000,1084552000,1084552000,1391068000,1591724000,-348804000,1242920000,1698000,1244618000,2635686000,24411000,29211000,1747000,7556000,62925000,-32503000,-10518000,-43021000,-29401000,-21832000,31362000,31362000,-118000,-19989000,-85000,-85000,-85000,61973000,1211067000,0.35606,0.26519,0.01961,0.00926,6.00000000000002e-05,1.11767,0.45949,0.62024,0.61828,2.33883,31.5935,0.74734,0.02191,1.20491,19.54154,36.96502
"44","2021_Q1",133.279344262295,"Up",92668000,-59933000,-3384000,-30686000,-25863000,32735000,-8546000,-8777000,231000,24189000,13006000,37195000,37195000,37195000,-14000,37181000,37181000,21000,21000,21000,2563757000,7446000,149579000,149579000,2720782000,2720803000,69573000,69573000,69817000,69817000,139390000,1310895000,1310895000,1450285000,1610057000,-340419000,1269638000,880000,1270518000,2720803000,37195000,30686000,-11151000,-40052000,16678000,-116012000,17438000,-98574000,-31207000,99953000,15312000,15312000,-2160000,81898000,2000.00000000047,2000.00000000047,2000.00000000047,63421000,1310895000,0.35325,0.40123,0.02926,0.01367,0.00015,1.14149,0.4818,0.94108,0.93702,2.34549,32.13541,0.78987,0.02649,0.83933,20.6694,40.04503
"45","2021_Q2",151.495079365079,"Up",97931000,-62169000,-4036000,-30313000,-27820000,35762000,-8075000,-8276000,201000,27687000,-330000,27357000,27357000,27357000,-18000,27339000,27339000,68000.0000000019,68000.0000000019,68000.0000000019,2596954000,7646000,152253000,152253000,2756853000,2756921000,88232000,88232000,65828000,65828000,154060000,1286063000,1286063000,1440123000,1652449000,-336538000,1315911000,887000,1316798000,2756921000,27357000,30313000,1733000,19419000,78822000,-56667000,-7252000,-63919000,-31863000,-24945000,46427000,46427000,-4475000,-14856000,47000,47000,47000,66075000,1286063000,0.36518,0.27917,0.02076,0.00992,0.000439999999999999,1.09366,0.46649,0.68911,0.68751,2.46845,33.16893,0.80314,0.02274,1.16548,19.46266,35.95982
"46","2021_Q3",166.9015625,"Up",99575000,-8015000,-4486000,-31349000,27820000,35683000,-7971000,-8181000,210000,27712000,-133999.999999998,27578000,27578000,27578000,-20000,27558000,27558000,38565000,38565000,38565000,2651796000,7353000,157908000,157908000,2817057000,2855622000,101912000,101912000,64250000,64250000,166162000,1316129000,1316129000,1482291000,1714665000,-342224000,1372441000,890000,1373331000,2855622000,27578000,31349000,2992000,669000,62588000,-85717000,4091000,-81626000,-31540000,32021000,59464000,59464000,-2410000,57535000,38497000,38497000,38497000,67032000,1316129000,0.35835,0.27676,0.02007,0.00965,0.23209,1.07934,0.46089,0.69463,0.69302,2.50989,34.59383,0.795,0.02197,1.1445,19.05902,35.80316
"47","2021_Q4",194.09828125,"Up",104597000,-35822000,-3559000,-32263000,-45805228.6904606,39131000,-8206000,-8416000,210000,30925000,-133000,30792000,30792000,30792000,-21000,30771000,30771000,247000,247000,246999.999999993,2806060000,7111000,171592000,171592000,2984763000,2985010000,149979000,149979000,78676000,78676000,228655000,1336615000,1336615000,1565270000,1765752000,-346854000,1418898000,842000,1419740000,2985010000,30792000,32263000,2378000,34323000,99756000,-178326000,3356000,-174970000,-31837000,20349000,48718000,48718000,-334000,36896000,-38318000,-38318000,-38318000,71394000,1336615000,0.37411,0.29419,0.02167,0.01031,0.00108,1.1025,0.44778,0.76816,0.76611,2.61114,35.42109,0.79477,0.02271,1.03464,18.71821,34.15113
"48","2022_Q1",192.116290322581,"Down",107372000,-151875000,-3623000,-33174000,-115078000,41018000,-7863000,-8072000,209000,33155000,38756000,71911000,71911000,71911000,-22000,71889000,71889000,4393000,4393000,4393000,3015708000,7320000,187915000,187915000,3210943000,3215336000,109760000,109760000,82338000,82338000,192098000,1451778000,1451778000,1643876000,1886824000,1302000,1570070000,1390000,1571460000,3215336000,71911000,33174000,-37074000,-52685000,15326000,-242959000,34211000,-208748000,-36519000,114865000,118800000,118800000,422000,197568000,4146000.00000001,4146000.00000001,4146000.00000001,74192000,1451778000,0.38202,0.66953,0.04575,0.02236,0.02287,1.04608,0.45152,1.72968,1.72094,2.58342,37.77657,0.87866,0.03586,0.50799,19.50864,35.28658
"49","2022_Q2",171.274032258065,"Down",112974000,-71715000,-4310000,-36341000,-31064000,41259000,-7832000,-8110000,278000,33427000,30177000,63604000,63604000,63604000,-24000,63580000,63580000,5718000,5718000,5718000,3125890000,7598000,205529000,205529000,3339017000,3344735000,126708000,126708000,79122000,79122000,205830000,1464516000,1464516000,1670346000,1956332000,-283299000,1673033000,1356000,1674389000,3344735000,63604000,36341000,-28433000,10752000,82264000,-136952000,22807000,-114145000,-46033000,13080000,74179000,74179000,-8020000,33206000,1325000,1325000,1325000,77600000,1464516000,0.36521,0.56278,0.03797,0.01901,0.02778,0.99759,0.43786,1.55665,1.55032,2.76599,40.96154,1.12704,0.03492,0.72402,18.79894,35.35709
"50","2022_Q3",160.47203125,"Down",118553000,-10623000,-4226000,-37461000,31064000,44320000,-8686000,-8970000,284000,35634000,10531000,46165000,46165000,46165000,-26000,46139000,46139000,5555000,5555000,5555000,3620720000,7376000,218066000,218066000,3846162000,3851717000,156208000,156208000,85899000,85899000,242107000,1623536000,1623536000,1865643000,2263076000,23971000,1984723000,1351000,1986074000,3851717000,46165000,37461000,-7688000,17950000,93888000,-170271000,23278000,-146993000,-45754000,99082000,70000,70000,-456000,52942000,-163000,-163000,-163000,81781000,1623536000,0.37384,0.38918,0.02323,0.01198,0.02294,0.93936,0.42151,1.11863,1.11557,2.87429,48.11916,1.1093,0.02546,0.99166,19.78431,36.50679
