"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"31","2018_Q3",7.22238095238095,"Down",372124000,-275838000,96286000,-29698000,-19032000,-10666000,66588000,-25706000,-25706000,40882000,-39036000,1846000,-249000,1597000,2441000,2441000,2441000,39926000,39926000,303161000,303161000,42074000,42074000,385161000,324669000,3785395000,857931000,2927464000,4121269000,4506430000,64812000,2057000,62755000,102480000,102480000,180611000,1915414000,698919000,604785000,94134000,2614333000,2794944000,1697132000,14354000,1711486000,1711486000,4506430000,2441000,10666000,40249000,-83858000,-30502000,-11980000,-26980000,76653000,-1269000,440000,-271000,62638000,5156000,5156000,5156000,77254000,1928733000,-18335000,0.25875,0.17894,0.00656,0.00142999999999998,0.000539999999999998,-7.51127,2.13254,1.63305,0.428,0.01756,0.01753,2.67746,12.31425,-0.13192,0.00344,-0.00423000000000001,24.44931,28.36558
"32","2018_Q4",6.27666666666667,"Down",378508000,-279651000,98857000,-26505000,-15897000,-10608000,72352000,-25923000,-25923000,46429000,6381000,52810000,-16220000,36590000,36948000,36948000,36948000,200190000,200190000,318075000,318075000,93960000,23743000,612225000,328041000,3589929000,871454000,2718475000,3929175000,4541400000,59184000,2259000,56925000,155957000,155957000,228460000,1912139000,661411000,564416000,96995000,2573550000,2802010000,1700769000,38621000,1739390000,1739390000,4541400000,36948000,10608000,-42446000,52687000,57797000,244617000,188183000,-3346000,337999.999999996,345000,-4000.00000000373,-15499000,230481000,230481000,230481000,82960000,1925458000,396484000,0.26118,0.19115,0.09761,0.02124,0.00814,10.73086,2.67979,1.61092,0.42398,0.26623,0.26562,2.7274,12.53347,2.85693,0.01143,0.09165,20.79638,23.84548
"33","2019_Q1",6.31213114754098,"Up",411375000,-262924757.913699,74944673.8598745,-1129715000,-15894000,-14543000,92874000,-26088000,-26088000,66786000,-470467000,-403681000,17113000,-386568000,-386946000,-386946000,-386946000,122893000,122893000,342766000,342766000,94570000,25205000,560229000,317030000,3131894000,539469000,2592425000,3460129000,4020358000,60307000,1858000,58449000,118438000,118438000,178745000,1872203000,635150000,545982000,89168000,2507353000,2686098000,1694924000,-360664000,1334260000,1334260000,4020358000,-386946000,14543000,442915000,-61443000,9069000,-83379000,-11945000,-53330000,-4387000,462000,-5189000,-75273000,-78149000,-78149000,-78149000,107417000,1872203000,-54518000,0.208746666887222,0.22576,-0.94062,-0.29001,-0.09625,0.14089,3.13424,2.01317,0.46568,-2.8541,-2.86684,3.03429,9.84147,-0.40212,-0.09751,-0.01419,16.28522,18.8353
"34","2019_Q2",5.94793650793651,"Down",309005000,-248985000,60020000,-32038999.9999995,-20935000,-11104000,27981000,-25220000,-25220000,2761000,2402000.00000006,5163000,-2038000,3125000,3125000,3125000,3124999.99999994,68266000,68266000,269945000,269945000,33840000,33840000,372051000,327901000,3389047000,534607000,2854440000,3728153000,4100204000,49716000,2826000,46890000,151925000,151925000,201641000,1692258000,874807000,546971000,327836000,2567065000,2768706000,1684318000,-352820000,1331498000,1331498000,4100204000,3125000,11104000,-3267000,54769000,65731000,5880999.99999994,3993000,-1.8e+08,-803000,623000,-483000,-193716000,-123992000,-123992000,-123992000,39085000,1692258000,101773000,0.19424,0.09055,0.0101099999999997,0.00235,0.00076,32.56736,1.84512,2.07939,0.41273,0.0226299999999999,0.0225599999999999,2.23756,9.64161,0.73696,0.00399,0.02611,41.55026,58.0391
"35","2019_Q3",4.4025,"Down",380665000,-261118510.29891,69820613.3132999,-556435000,-17315000,-10965000,73215000,-24944000,-24944000,48271000,-10235000,38036000,-12045000,25991000,25991000,25991000,25991000,30331000,30331000,325495000,325495000,32771000,32771000,388597000,344951000,3378371000,536687000,2841684000,3736027000,4124624000,71330000,8891000,62439000,136693000,136693000,208023000,1698894000,870065000,545808000,324257000,2568959000,2776982000,1674694000,-326828000,1347642000,1347642000,4124624000,25991000,10965000,7104000,-51494000,-7434000,-21902000,-21514000,9e+06,-938000,362000,-4564000,-8989000,-37937000,-37937000,-37937000,84180000,1698894000,22829000,0.257273822291395,0.19233,0.06828,0.01929,0.00629999999999999,0.87834,1.86805,2.06062,0.41189,0.18662,0.18576,2.73328,9.67643,0.16392,0.00982,0.00583,19.82137,22.78991
"36","2019_Q4",4.12609375,"Down",386141000,-282905210.043949,87541282.7634722,-303707000,-19412000,-11183000,82434000,-25256000,-25256000,57178000,-2944000.00000003,54234000,-16027000,38207000,38207000,38207000,38207000,45335000,45335000,363091000,363091000,29797000,29797000,438223000,355824000,3378696000,549881000,2828815000,3747225000,4185448000,65878000,3251000,62627000,162054000,162054000,227932000,1723956000,865690000,551029000,314661000,2589646000,2817578000,1657067000,-288620000,1367870000,1367870000,4185448000,38207000,11183000,10368999.9999999,-13512000,46247000,-47554000,-35503000,2.5e+07,-18054000,290000,-7000.00000000093,4262000,15006000,15006000,15006000,93617000,1723956000,48578000,0.332953188190115,0.21348,0.0989499999999999,0.02793,0.00913,1.27144,1.9226,2.05983,0.41189,0.27998,0.28002,2.82962,10.02369,0.35598,0.01033,0.01227,17.93073,20.36321
"37","2020_Q1",3.60290322580645,"Down",414118000,-287998304.767013,88241060.8319083,761605000,-26642000,-12079000,89106000,-24789000,-24683000,64317000,-544756000,-480439000,-7096000,-487535000,-487535000,-487535000,-487535000,20393000,20393000,378912000,378912000,25375000,25375000,424680000,350666000,2865027000,43920000,2821107000,3218998000,3643678000,82039000,5961000,76078000,112172000,112172000,210588000,1697114000,854533000,549658000,304875000,2551647000,2762235000,1657160000,-775578000,881443000,881443000,3643678000,-487535000,12079000,557835000,-54735000,27644000,-25141000,-37492000,-8700000,3028000,298000,-6743000,-15094000,-24942000,-24942000,-24942000,101185000,1713491000,28405000,0.330255959993777,0.21517,-1.17729,-0.55311,-0.1338,-0.05826,2.01664,3.13376,0.47026,-3.63733,-3.6661,3.08959,6.57615,0.21192,-0.14056,0.00823,16.7327,19.00094
"38","2020_Q2",1.41492063492063,"Down",297030000,-250051000,46979000,-29734999.9999999,-17237000,-12498000,17244000,-23621000,-23621000,-6377000,-5881000.00000012,-12258000.0000001,3120000,-9137999.99999988,-9138000,-9138000,-9138000.00000006,189238000,189238000,300193000,300193000,41823000,41823000,531254000,350945000,2850017000,43892000,2806125000,3204267000,3735521000,72096000,4898000,67198000,119522000,119522000,197106000,1822819000,845409000,555532000,289877000,2668228000,2865334000,1657396000,-784716000,870187000,870187000,3735521000,-9138000,12498000,8255000,56477000,68092000,-9744000,-9744000,114871000,241000,241000,-1923000,110497000,168845000,168845000,168845000,29742000,1828307000,73355000,0.15816,0.05805,-0.0307599999999999,-0.0105,-0.00245,-8.02747,2.69527,3.29278,0.48944,-0.0677400000000001,-0.067740000000001,2.20201,6.45107,0.54381,-0.00182,0.0207,55.10958,95.05155
"39","2020_Q3",1.49625,"Up",175868000,-189473000,-13605000,-22957000,-10276000,-12620000,-36562000,-21642000,-21642000,-58204000,-8692000,-66896000,13085000,-53811000,-53811000,-53811000,-53811000,208222000,208222000,199077000,199077000,47763000,47763000,455062000,346984000,2827850000,43892000,2783958000,3178139000,3633201000,59918000,9062000,50856000,94263000,94263000,159669000,1821515000,833707000,539874000,293833000,2655222000,2814891000,1659590000,-838527000,818310000,818310000,3633201000,-53811000,12620000,-433000,58155000,16531000,-6349000,4067000,-1372000,0,0,-242000,-1614000,18984000,18984000,18984000,-23942000,1827003000,14779000,-0.07736,-0.20789,-0.30597,-0.06576,-0.01481,-0.27465,2.85003,3.43988,0.50286,-0.39954,-0.39954,1.30581,6.07591,0.10973,-0.01547,0.00425,-67.61261,-44.27496
"40","2020_Q4",2.04265625,"Up",268505000,-228671000,39834000,-27073000,-14526000,-12547000,12761000,-20846000,-20846000,-8085000,-13020000,-21105000,4227000,-16878000,-16878000,-16878000,-16878000,32369000,32369000,233392000,233392000,50805000,50805000,316566000,344119000,2805644000,43892000,2761752000,3153068000,3469634000,67668000,10822000,56846000,115314000,115314000,188470000,1654183000,823294000,536320000,286974000,2477477000,2665947000,1661330000,-855405000,803687000,803687000,3469634000,-16878000,12547000,15557000,-13873000,-2647000,-5812000,-5812000,-167394000,2.3283064365387e-10,0,-2.3283064365387e-10,-167394000,-175853000,-175853000,-175853000,25308000,1659671000,1396000.00000001,0.14835,0.04753,-0.06286,-0.021,-0.00486,-0.0827100000000002,1.67966,3.31715,0.47834,-0.12531,-0.12531,1.99353,5.96701,0.01036,-0.00514,0.00042,64.29991,127.52151
"41","2021_Q1",4.86065573770492,"Up",319495000,-239601000,79894000,-35579000,-22521000,-12566000,44315000,-20987000,-20987000,23328000,-249172000,-225844000,63447000,-162397000,-162397000,-162397000,-162397000,30964000,30964000,276102000,276102000,47504000,47504000,354570000,340318000,2590564000,62215000,2528349000,2934187000,3288757000,73604000,13776000,59828000,114436000,114436000,193528000,1689949000,760542000,473398000,287144000,2450491000,2644019000,1663564000,-1017037000,644738000,644738000,3288757000,-162397000,12566000,196301000,-43220000,3250000,-29754000,-40170000,35628000,-1000,-1000,-112000,35515000,-1405000,-1405000,-1405000,56881000,1695437000,-79540000,0.25006,0.1387,-0.50829,-0.25188,-0.04938,0.48979,1.83214,4.10092,0.51553,-1.21171,-1.21171,2.38388,4.81066,-0.59348,-0.05237,-0.02565,29.26237,37.56004
"42","2021_Q2",4.5931746031746,"Down",240764000,-212495000,28269000,-35186000,-23580000,-11592000,-6917000,-21160000,-21160000,-28077000,-9470000,-37547000,15899000,-21648000,-21648000,-21648000,-21648000,51530000,51530000,208756000,208756000,69255000,69255000,329541000,342020000,2604125000,81794000,2522331000,2949450000,3278991000,67724000,8022000,59702000,123971000,123971000,191695000,1705662000,757309000,472864000,284445000,2462971000,2654666000,1663860000,-1038299000,624325000,624325000,3278991000,-21648000,11592000,12656000,41254000,43854000,-22577000,-22577000,22985000,15000,15000,-23711000,-711000.00000003,20566000,20566000,20566000,4675000,1705662000,7452999.99999999,0.11741,-0.02873,-0.08991,-0.03467,-0.0066,-0.34428,1.71909,4.25206,0.52018,-0.15991,-0.15991,1.77844,4.61167,0.0550500000000003,-0.00701,0.00241,353.82503,-239.14009
"43","2021_Q3",3.50109375,"Down",304465000,-245457000,59008000,-38642000,-23714000,-14621000,20366000,-22107000,-22553000,-1741000,1292000,-449000,1876000,1427000,1427000,1427000,1427000,44675000,44675000,244863000,244863000,73303000,73303000,362841000,340080000,2605831000,81826000,2524005000,2948916000,3311757000,82258000,11039000,71219000,124378000,124378000,206636000,1726096000,750697000,471025000,279672000,2476793000,2683429000,1666030000,-1036672000,628328000,628328000,3311757000,1427000,14621000,1177000,-32638000,-15413000,-11152000,-11152000,19985000,17000,17000,-292000,19710000,-6855000,-6855000,-6855000,34987000,1726096000,-10679000,0.19381,0.06689,0.00469,0.00227,0.000430000000000002,-7.48353,1.75594,4.27075,0.5212,0.01054,0.01054,2.24898,4.64124,-0.07888,0.000460000000000005,-0.00344,48.05845,82.5602
"44","2021_Q4",3.07859375,"Down",329443000,-260972000,68471000,-36898000,-24176000,-12477000,31573000,-22771000,-22771000,8802000,-2321999.99999999,6480000,-11241000,-4761000,-4761000,-4761000,-4761000,62841000,62841000,271360000,271360000,65840000,65840000,400041000,360049000,2597563000,81630000,2515933000,2960617000,3360658000,99070000,18605000,80465000,131665000,131665000,230735000,1746948000,755781000,482090000,273691000,2502729000,2733464000,1669478000,-1041424000,627194000,627194000,3360658000,-4761000,12477000,16019000,-6554999.99999999,17180000,-19673000,-19673000,22986000,155000,155000,-2482000,20659000,18166000,18166000,18166000,44050000,1746948000,29063000,0.20784,0.09584,-0.01445,-0.00759,-0.00142,-6.10439,1.73377,4.35824,0.51982,-0.03517,-0.03517,2.43348,4.63286,0.21468,-0.00152,0.00929,38.23171,53.3401
"45","2022_Q1",2.64016129032258,"Down",344732000,-258049000,86683000,-35915000,-21941000,-13548000,50768000,-25027000,-25027000,25741000,1965000,27706000,-6296000,21410000,21410000,21410000,21410000,59439000,59439000,276044000,276044000,68146000,68146000,403629000,376028000,2639227000,82176000,2557051000,3018260000,3421889000,87320000,18897000,68423000,123728000,123728000,233775000,1782131000,753778000,487665000,266113000,2535909000,2769684000,1672636000,-1020142000,652205000,652205000,3421889000,21410000,13548000,8645000,-29926000,13677000,-71682000,-71682000,55409000,215000,215000,-1021000,54603000,-3402000,-3402000,-3402000,64316000,1804858000,-30996000,0.25145,0.14727,0.06211,0.03283,0.00626,-1.44773,1.72657,4.24665,0.52744,0.15815,0.15815,2.54642,4.81761,-0.22896,0.00667,-0.00965,27.13818,34.3803
"46","2022_Q2",2.00435483870968,"Down",275295000,-227045000,48250000,-39800000,-25911000,-13539000,8450000,-23471000,-23471000,-15021000,51000,-14970000,3897000,-11073000,-11073000,-11073000,-11073000,35580000,35580000,227860000,227860000,89178000,86720000,352618000,393895000,2623250000,82176000,2541074000,3020150000,3372768000,87037000,28026000,59011000,124838000,124838000,211875000,1782544000,734930000,484172000,250758000,2517474000,2729349000,1673498000,-1031013000,643419000,643419000,3372768000,-11073000,13539000,-2670000,15424000,15220000,-12058000,-12058000,-22727000,177000,177000,-2013000,-24563000,-21401000,-21401000,-21401000,21989000,1782544000,21458000,0.17527,0.03069,-0.04022,-0.01721,-0.00328,-1.93787,1.66427,4.24195,0.52851,-0.08179,-0.08179,2.03351,4.75271,0.1585,-0.0035,0.00679,79.44718,206.7413
"47","2022_Q3",0.6040625,"Down",319439000,-259860000,59579000,-41326000,-25703000,-15571000,18253000,-24291000,-24529000,-6038000,5023000,-1015000,242000,-773000,-773000,-773000,-773000,40490000,40490000,262324000,262324000,66309000,66218000,369123000,414163000,2615603000,82042000,2533561000,3032771000,3401894000,84730000,16621000,68109000,119929000,119929000,204659000,1834134000,717340000,484351000,232989000,2551474000,2756133000,1676056000,-1031782000,645761000,645761000,3401894000,-773000,15571000,-5672000,-24774000,-15648000,-31886000,-31886000,5e+07,132000,132000,-55000,50077000,2543000,2543000,2543000,33824000,1834134000,-23078000,0.18651,0.05714,-0.00242,-0.0012,-0.000229999999999999,29.85511,1.8036,4.26804,0.53915,-0.00571,-0.00571,2.35958,4.77001,-0.17047,-0.000240000000000001,-0.00722,53.02874,98.26571
