"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","foreign_exchange_gain_loss","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"33","2019_Q1",14.6191803278689,"Up",20587000,-15323000,5264000,-8116000,-5409000,-2707000,-2852000,610000,233000,409000,-32000,-2242000,2072000,-170000,-37000,-207000,-207000,-207000,-207000,37405000,11934000,14323000,14323000,18812000,6114000,1856000,4258000,76654000,73169000,49257000,36608000,122426000,199080000,10983000,4106000,3752000,3752000,14735000,7758000,7713000,7758000,22493000,86252000,105954000,-15619000,176587000,176587000,199080000,-207000,1129000,-267000,1017000,1672000,869000,-2020000,-304000,-304000,-312000,-616000,-1723000,0,2e+05,0.2557,-0.13853,-0.01005,-0.00117,-0.00104,-0.96618,5.20217,0.12738,0,-0.0156,-0.0156,1.55139,13.30718,0.01507,-0.00112,0.00108,21.70923,13.11536
"34","2019_Q2",13.7630158730159,"Down",17875000,-14785000,3090000,-9256000,-6085000,-3171000,-6166000,217000,238000,67000,-88000,-5949000,103000,-5846000,-7000,-5853000,-5853000,-5853000,-5853000,26606000,17111000,12399000,12399000,17565000,7179000,3336000,3843000,63749000,85696000,53485000,35021000,139181000,202930000,14825000,8338000,4653000,4620000,19478000,12055000,12055000,12055000,31533000,87069000,100101000,-15773000,171397000,171397000,202930000,-5853000,1281000,4629000,1215000,1272000,-10153000,4069000,5556000,5556000,-379000,5177000,-4885000,2.8421709430404e-14,-13816000,0.17287,-0.34495,-0.32744,-0.03415,-0.02884,2.3605,3.27287,0.18398,0,-0.43878,-0.43878,1.34001,12.84892,-1.03573,-0.0319,-0.07531,5.44647,4.31495
"35","2019_Q3",14.42921875,"Up",26123000,-15772000,10351000,-9256000,-5358000,-3898000,1095000,235000,157000,119000,-41000,1330000,-73000,1257000,-550000,707000,707000,707000,707000,13513000,12765000,20634000,20634000,15525000,5935000,2275000,3660000,55607000,90754000,53289000,37006000,144043000,199650000,12209000,7117000,2433000,2393000,14642000,12055000,12055000,12055000,26697000,87661000,100808000,-15516000,172953000,172953000,199650000,707000,1517000,4901000,-11301000,-4176000,-9583000,-218000,-4394000,-4394000,48000.0000000001,-4346000,2612000,0,-17722000,0.39624,0.04192,0.02706,0.00409,0.00354,-25.06648,3.79777,0.15436,0,0.05276,0.05276,1.94941,12.9065,-1.32249,0.00382,-0.09579,-5.17343,-12.34064
"36","2019_Q4",15.18890625,"Up",22873000,-15283000,7590000,-10296000,-6050000,-4246000,-2706000,363000,418000,-1000.00000000003,-54000,-2343000,-629000,-2972000,-7e+05,-3672000,-3672000,-3672000,-3672000,15598000,15598000,14739000,14739000,17003000,6030000,1117000,4913000,53370000,92351000,49998000,34185000,142349000,195719000,9659000,4700000,3981000,3941000,13640000,12055000,12055000,12055000,25695000,88248000,97136000,-15360000,170024000,170024000,195719000,-3672000,1442000,5267000,6e+06,9037000,-6900000,-6184000,2853000,2853000,-20000,2833000,-1264000,-4.54747350886464e-13,-1464000,0.33183,-0.11831,-0.16054,-0.0216,-0.01876,0.398689999999995,3.91276,0.15113,-1.6940658945086e-21,-0.27392,-0.27392,1.70624,12.68315,-0.10921,-0.02017,-0.00804,12.34019,5.76423
"37","2020_Q1",11.8941935483871,"Down",28938000,-18541000,10397000,-10313000,-6133000,-4180000,84000,423000,396000,56000,-29000,507000,9325000,9832000,-1160000,8672000,8672000,8672000,8672000,18925000,18925000,27426000,27426000,23855000,1008000,1008000,5055936.14307591,71214000,93536000,37258000,22187000,130794000,202008000,4051000,4051000,9119000,9119000,13170000,9991000,9991000,9991000,23161000,88796000,105808000,-15757000,178847000,178847000,202008000,8672000,-275000,-1885000,-7016000,-504000,3893000,3893000,3389000,3389000,-62000,3327000,-191000,0,-2154000,0.35929,0.0029,0.29968,0.04849,0.04293,-0.24839,5.40729,0.1295,0,0.64672,0.64672,2.15808,13.3377,-0.16064,0.04592,-0.01141,99.08377,-225.29762
"38","2020_Q2",6.65492063492063,"Down",17705000,-15208000,2497000,-10293000,-5997000,-4296000,-7796000,-39000,122000,-132000,-29000,-7835000,-27000.0000000019,-7862000,-1420000,-9282000,-9282000,-9282000,-9282000,10141000,10141000,32681000,32681000,23907000,5179000,1960000,3208000,71908000,98600000,34668000,19703000,133268000,205176000,12615000,6339000,3818000,3658000,16433000,10028000,9982000,10028000,26461000,89387000,104519000,-15191000,178715000,178715000,205176000,-9282000,2164258.60093993,15529000,-9605000,-3358000,-5636000,-5636000,-8994000,-8994000,210000,-8784000,1657475.0064547,-7.27595761418343e-12,1942286.36928563,0.14103,-0.44033,-0.52426,-0.05194,-0.04524,-3.63814641496021,4.37583,0.14806,-2.71050543121376e-20,-0.68989,-0.68989,1.31594,13.28316,0.141534654344943,-0.04918,0.0112998234632245,41.1638297733874,1.30080000000001
"39","2020_Q3",6.82875,"Up",25907000,-18002000,7905000,-10291000,-6066000,-4225000,-2386000,285000,205000,108000,-28000,-2101000,-1103000,-3204000,-607000,-3811000,-3811000,-3811000,-3811000,18909000,18909000,18404000,18404000,18488000,2234000,1676000,558000,58035000,94282000,39521000,25316000,133803000,191838000,4919000,4919000,6528000,6528000,11447000,13964000,10912000,13964000,25411000,89920000,92715000,-16208000,166427000,166427000,191838000,-3811000,2923000,5340000,4632000,9084000,-107000,-107000,8977000,8977000,-209000,8768000,537000,0,5669000,0.30513,-0.0921,-0.1471,-0.0229,-0.01987,-1.48754,5.06989,0.15269,0,-0.2812,-0.2812,1.91157,12.27997,0.41829,-0.02113,0.03143,-35.21229,7.92498
"40","2020_Q4",6.843125,"Up",22703000,-14639000,8064000,-9718000,-5704000,-4014000,-1654000,852000,566000,307000,-21000,-802000,-910000,-1712000,-573000,-2285000,-2285000,-2285000,-2285000,26669000,26669000,14619000,14619000,21531000,2029000,1426000,603000,64848000,89082000,35461000,21689000,124543000,189391000,2394000,2394000,7172000,7172000,9566000,15359000,15359000,15359000,24925000,90479000,90430000,-16443000,164466000,164466000,189391000,-2285000,-1624000,9717000,909000.000000002,6717000,1198000,1198000,7915000,7915000,-155000,7760000,-3278000,0,-598000,0.3552,-0.0728500000000001,-0.10065,-0.01389,-0.01206,0.26171,6.77901,0.15155,0,-0.16869,-0.16869,1.67609,12.14202,-0.04415,-0.01271,-0.00333,8.13575,16.12394
"41","2021_Q1",9.62245901639344,"Up",21520000,-16554000,4966000,-9335000,-5301000,-4034000,-4369000,348000,171000,208000,-31000,-4021000,206000,-3815000,-49000,-3864000,-3864000,-3864000,-3864000,32686000,32686000,13778000,13778000,16933000,1540000,953000,587000,64937000,84191000,37717000,25049000,121908000,186845000,1593000,1593000,8753000,8753000,10346000,15529000,15529000,15529000,25875000,91102000,86566000,-16698000,160970000,160970000,186845000,-3864000,433000,7555000,1555000,5679000,495000,495000,6096000,6096000,-79000,6017000,-3936000,0,-1837000,0.23076,-0.20302,-0.17955,-0.024,-0.02068,0.47541,6.27653,0.16074,0,-0.2852,-0.2852,1.58836,11.88097,-0.13559,-0.02189,-0.01041,8.30437,7.48135
"42","2021_Q2",8.23047619047619,"Down",28460000,-21735000,6725000,-8874000,-5354000,-3520000,-2149000,467000,321000,149000,-3000,-1682000,690000,-992000,-57999.9999999999,-1050000,-1050000,-1050000,-1050000,33719000,33719000,18370000,18370000,14057000,7311000,2386000,4925000,73457000,73660000,42351000,30116000,116011000,189468000,5653000,5653000,10660000,8350000,16313000,5363000,5363000,13318000,29631000,91650000,85516000,-16501000,159837000,159837000,189468000,-1050000,433000,1170000,1757000,2310000,-498000,-498000,984000,984000,49000,1033000,-1716000,7955000,-399000,0.2363,-0.07551,-0.03689,-0.00657,-0.00554,0.38,4.50297,0.18538,0.04199,-0.07737,-0.0773699999999999,2.09704,11.77739,-0.0294,-0.00606,-0.0023,15.01399,11.98883
"43","2021_Q3",9.225,"Up",23892000,-23045000,847000,-9243000,-5478000,-3765000,-8396000,1053000,812000,-36000,277000,-7343000,220000,-7123000,-61000,-7184000,-7184000,-7184000,-7184000,35111000,31246000,10531000,10531000,15313000,6618000,2179000,2707000,67573000,68110000,41100000,29298000,109210000,176783000,5228000,5228000,10977000,8454000,16205000,8883000,8883000,8883000,25088000,92129000,78332000,-16438000,151695000,151695000,176783000,-7184000,433000,5433000,-4925000,-6243000,8759000,5228000,-2515000,-2515000,42000,-2473000,-7963000,0,-4068000,0.03545,-0.35141,-0.30069,-0.04736,-0.04064,0.566259999999999,4.16989,0.16538,0,-0.53342,-0.53342,1.77401,11.26356,-0.30205,-0.04474,-0.02533,4.40927,4.18187
"44","2021_Q4",8.73421875,"Down",23083000,-17456000,5627000,-8901000,-5243000,-3658000,-3274000,-175000,151000,-49000,-277000,-3449000,2831000,-618000,-169000,-786999.999999999,-786999.999999999,-786999.999999999,-786999.999999999,29970000,20070000,18981000,18981000,15170000,4118000,1951000,2167000,68239000,71311000,33161000,21792000,104472000,172711000,2973000,2973000,11304000,8766000,14277000,8031000,8031000,8031000,22308000,92475000,77545000,-16166000,150403000,150403000,172711000,-786999.999999999,433000,658000,-3886000,-3582000,-2243000,-6387000,-11229000,-11229000,53000,-11176000,-2841000,0,-8801000,0.24377,-0.14184,-0.0340899999999999,-0.00523000000000001,-0.00456,11.18297,4.77965,0.14832,0,-0.0582099999999999,-0.0582099999999999,1.70737,11.11465,-0.65098,-0.00497000000000002,-0.05555,10.5491,9.15394
"45","2022_Q1",6.59338709677419,"Down",19429000,-16334000,3095000,-9747000,-5851000,-3896000,-6652000,55000,157000,-105000,3000,-6597000,1852000,-4745000,-290000,-5035000,-5035000,-5035000,-5035000,23562000,14066000,17159000,17159000,16196000,3113000,2062000,1051000,60030000,68888000,35011000,22689000,103899000,163929000,6391000,6391000,8831000,8329846.27103814,15222000,6250000,6219000,6250000,21472000,93072000,72510000,-16320000,142457000,142457000,163929000,-5035000,447000,4569000,362000,343000,-685000,-1661000,-5956000,-5956000,-48000,-6004000,-6205000,0,-6238000,0.1593,-0.34237,-0.25915,-0.03534,-0.03071,1.23893,3.94363,0.15073,0,-0.37706,-0.37706,1.455,10.66834,-0.46715,-0.03386,-0.04195,3.79726,3.54209
"46","2022_Q2",5.71258064516129,"Down",17991000,-16289000,1702000,-11013000,-5744000,-5269000,-9311000,195000,194000,18000,-17000,-9116000,2425000,-6691000,-77000,-6768000,-6768000,-6768000,-6768000,14788000,7163000,19239000,19239000,19919000,3169000,2118000,1051000,57115000,64757000,28661000,16785000,93418000,150533000,3767000,3767000,7798000,7401000,11565000,3579000,3579000,3579000,15144000,93609000,65742000,-16462000,135389000,135389000,150533000,-6768000,446000,876000,-1880000,-7326000,121000,1920000,-6908000,-6908000,5000,-6903000,-8865000,5.82076609134674e-11,-10547000,0.0946,-0.51754,-0.37619,-0.04999,-0.04496,1.55836,4.93861,0.11186,0,-0.50684,-0.50684,1.34731,10.13903,-0.78984,-0.0487,-0.0759,1.66813,1.58823
"47","2022_Q3",4.69171875,"Down",24700000,-17890000,6810000,-10664000,-5991000,-4673000,-3854000,2e+05,126000,93000,-19000,-3654000,2205000,-1449000,-25000,-1474000,-1474000,-1474000,-1474000,11871000,8211000,25218000,25218000,18325000,1170000,1170000,4338714.2039498,56584000,60716000,28310000,16881000,89026000,145610000,4640000,4640000,6883000,6483000,11523000,1310000,1310000,1310000,12833000,94027000,64268000,-18018000,132777000,132777000,145610000,-1474000,447000,-4824000,2845000,-3006000,2000,3927000,921000,921000,127000,1048000,-3407000,0,-534999.999999998,0.27571,-0.15603,-0.05968,-0.0111,-0.01012,0.36296,4.91053,0.09665,0,-0.11409,-0.11409,1.91181,10.27712,-0.0414100000000001,-0.01099,-0.00398999999999999,3.4843,3.08018
