"","YQ","p","d","revenue","sales_services_revenue","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"31","2018_Q2",23.85859375,"Up",1.593e+09,1.583e+09,-2.48e+08,-2.2e+07,-1.05e+08,-1.21e+08,5.08e+08,-1.81e+08,-1.85e+08,4e+06,3.27e+08,8e+06,3.35e+08,3.35e+08,3.35e+08,3.35e+08,3.35e+08,0,0,8.3e+07,1.628e+09,1.628e+09,2.065e+09,1.5145e+10,2.55e+08,2.31e+08,1.54e+10,1.7465e+10,5.2e+08,1.1e+07,5.09e+08,1.29e+08,9.5e+07,3e+07,6.49e+08,1.6052e+10,3.9e+07,3.6e+07,1.6091e+10,1.674e+10,1.744e+09,7.25e+08,7.25e+08,1.7465e+10,3.35e+08,1.05e+08,4.9e+07,-1.58e+08,3.31e+08,-1.94e+08,-1.94e+08,-2.49e+08,-2.49e+08,-1.12e+08,-1.12e+08,-1.12e+08,6.13e+08,1.6052e+10,0.3189,0.2103,0.46207,0.01918,3.18182,23.08966,0.9191,0.96099,0.96099,4.56971,2.07975,0.01992,26.18597,31.59843
"32","2018_Q3",27.8557142857143,"Up",1.407e+09,1.398e+09,-2.54e+08,-1.9e+07,-1.06e+08,-1.28e+08,4.55e+08,-1.77e+08,-1.84e+08,7e+06,2.78e+08,3e+06,2.81e+08,2.81e+08,2.81e+08,2.81e+08,2.81e+08,-4.65661287307739e-10,-4.65661287307739e-10,8.7e+07,1.715e+09,1.715e+09,2.062e+09,1.5207e+10,2.73e+08,2.42e+08,1.548e+10,1.7542e+10,5.86e+08,1.4e+07,5.72e+08,1.44e+08,9.8e+07,3.9e+07,7.3e+08,1.6046e+10,3.8e+07,3.1e+07,1.6084e+10,1.6814e+10,1.744e+09,7.28e+08,7.28e+08,1.7542e+10,2.81e+08,1.06e+08,8000000.00000001,78999999.9999999,4.74e+08,-1.51e+08,-1.51e+08,-2.79e+08,-2.79e+08,4.4e+07,4.4e+07,4.4e+07,5.61e+08,1.6046e+10,0.32338,0.19972,0.38599,0.01602,2.82466,23.09615,0.91472,0.80608,0.80608,4.03614,2.08835,0.01671,28.6025,35.26593
"33","2018_Q4",27.2688888888889,"Down",1.529e+09,1.324e+09,-2.73e+08,-2.1e+07,-1.07e+08,-1.44e+08,5e+08,-1.75e+08,-1.83e+08,8e+06,3.25e+08,-1.8e+07,3.07e+08,3.07e+08,3.07e+08,3.07e+08,3.07e+08,0,0,8.8e+07,1.701e+09,1.701e+09,2.035e+09,1.5282e+10,2.19e+08,1.94e+08,1.5501e+10,1.7536e+10,5.16e+08,1.3e+07,5.03e+08,1.78e+08,1.19e+08,5.3e+07,6.94e+08,1.6059e+10,3.5e+07,3.3e+07,1.6094e+10,1.6788e+10,1.756e+09,7.48e+08,7.48e+08,1.7536e+10,3.07e+08,1.07e+08,2.1e+07,2.4e+07,4.59e+08,-2.33e+08,-2.33e+08,-3e+08,-2.9e+08,-6.4e+07,-6.4e+07,-6.4e+07,6.07e+08,1.6059e+10,0.32701,0.20078,0.41043,0.01751,2.93228,22.44385,0.91577,0.88067,0.88067,4.38612,2.14573,0.01823,26.45634,32.118
"34","2019_Q1",31.3683606557377,"Up",1.897e+09,2.082e+09,-2.61e+08,-2.2e+07,-1.06e+08,-1.33e+08,5.24e+08,-1.74e+08,-1.81e+08,7e+06,3.5e+08,1e+06,3.51e+08,3.51e+08,3.51e+08,3.51e+08,3.51e+08,7.45058059692383e-09,7.45058059692383e-09,9.9e+07,1.795e+09,1.795e+09,2.356e+09,1.539e+10,2.28e+08,1.97e+08,1.5618e+10,1.7974e+10,8.36e+08,1.5e+07,8.21e+08,2.32e+08,1.17e+08,4.9e+07,1.068e+09,1.6066e+10,4e+07,2.6e+07,1.6106e+10,1.7174e+10,1.79e+09,8e+08,8e+08,1.7974e+10,3.51e+08,1.06e+08,9.6e+07,5.7e+07,6.1e+08,-2.26e+08,-2.26e+08,-3e+08,-3e+08,8.4e+07,8.4e+07,8.4e+07,6.3e+08,1.6066e+10,0.27623,0.18503,0.43875,0.01953,2.20599,21.4675,0.89385,1.00688,1.00688,5.44177,2.29489,0.02076,25.50159,30.66031
"35","2019_Q2",32.8133333333333,"Up",1.749e+09,1.738e+09,-3.05e+08,-2.4e+07,-1.14e+08,-1.67e+08,5.65e+08,-1.78e+08,-1.87e+08,9e+06,3.87e+08,-2e+06,3.85e+08,3.85e+08,3.85e+08,3.85e+08,3.85e+08,0,0,1.09e+08,1.66e+09,1.66e+09,2.09e+09,1.5615e+10,3e+08,2.64e+08,1.5915e+10,1.8005e+10,7.56e+08,3.1e+07,7.25e+08,1.72e+08,1.06e+08,5.6e+07,9.28e+08,1.6073e+10,1.23e+08,1.13e+08,1.6196e+10,1.7124e+10,1.846e+09,8.81e+08,8.81e+08,1.8005e+10,3.85e+08,1.14e+08,-6.2e+07,-9.3e+07,3.44e+08,-2.83e+08,-2.84e+08,-3.04e+08,-3.04e+08,-2.44e+08,-2.44e+08,-2.44e+08,6.79e+08,1.6073e+10,0.32304,0.22013,0.437,0.02138,2.25216,19.437,0.8927,1.10442,1.10442,5.01721,2.52725,0.02254,23.67158,28.44779
"36","2019_Q3",34.7409375,"Up",1.705e+09,1.693e+09,-3.67e+08,-3e+07,-1.38e+08,-1.99e+08,4.58e+08,-2.23e+08,-2.3e+08,7e+06,2.35e+08,-3e+06,2.32e+08,2.32e+08,2.32e+08,2.32e+08,2.32e+08,1.016e+09,1.016e+09,1.04e+08,9.06e+08,8.89e+08,2.435e+09,1.6232e+10,3.06e+08,2.69e+08,1.6538e+10,1.8973e+10,1.15e+09,7.4e+07,1.076e+09,1.8e+08,1.22e+08,5e+07,1.33e+09,1.672e+10,1.22e+08,1.1e+08,1.6842e+10,1.8172e+10,1.783e+09,8.01e+08,8.01e+08,1.8973e+10,2.32e+08,1.38e+08,9e+06,-8e+07,2.99e+08,-3.02e+08,-3.05e+08,-3.31e+08,3.21e+08,3.15e+08,3.15e+08,3.15e+08,5.96e+08,1.672e+10,0.26862,0.13607,0.28964,0.01223,1.83083,22.68664,0.88125,0.66552,0.66552,4.89099,2.29776,0.01315,26.34899,34.28821
"37","2019_Q4",33.331875,"Down",1.476e+09,1.463e+09,-3.81e+08,-3.7e+07,-1.38e+08,-2.06e+08,3.47e+08,-2.23e+08,-2.31e+08,8e+06,1.24e+08,-1.4e+07,1.1e+08,1.1e+08,1.1e+08,1.1e+08,1.1e+08,1.707e+09,1.707e+09,1.03e+08,4.35e+08,4.27e+08,2.589e+09,1.6338e+10,2.94e+08,2.65e+08,1.6632e+10,1.9221e+10,6.74e+08,1.7e+07,6.57e+08,2.44e+08,1.69e+08,4.6e+07,9.18e+08,1.7571e+10,1.4e+08,1.08e+08,1.7711e+10,1.8629e+10,1.627e+09,5.92e+08,5.92e+08,1.9221e+10,1.1e+08,1.38e+08,8.4e+07,2e+06,3.34e+08,-5.71e+08,-5.68e+08,-3.37e+08,5.14e+08,2.8e+08,2.8e+08,2.8e+08,4.85e+08,1.7571e+10,0.23509,0.07453,0.18581,0.00572,2.82026,31.46791,0.91416,0.31555,0.31555,4.23408,1.69822,0.00601,32.70928,45.71758
"38","2020_Q1",27.5366129032258,"Down",1.908e+09,1.895e+09,-3.57e+08,-2.2e+07,-1.37e+08,-1.98e+08,6.77e+08,-2.28e+08,-2.37e+08,9e+06,4.49e+08,-1e+06,4.48e+08,4.48e+08,4.48e+08,4.48e+08,4.48e+08,1.781e+09,1.781e+09,1.16e+08,4.08e+08,3.91e+08,2.707e+09,1.6368e+10,3.09e+08,2.77e+08,1.6677e+10,1.9384e+10,7.49e+08,4e+07,7.09e+08,2.17e+08,1.56e+08,5.2e+07,9.66e+08,1.7579e+10,1.916e+09,1.9e+09,1.9495e+10,2.0461e+10,-1.077e+09,-1.077e+09,-1.077e+09,1.9384e+10,4.48e+08,1.37e+08,-3.5e+07,2e+07,5.7e+08,-1.75e+08,-1.75e+08,-3.22e+08,-3.25e+08,7e+07,7e+07,7e+07,8.14e+08,1.7579e+10,0.35482,0.2348,-0.41597,0.02311,2.80228,-18.99814,0.90688,1.28514,1.28514,5.47332,-3.0895,0.02432,19.40786,23.3353
"39","2020_Q2",27.4963492063492,"Down",1.718e+09,1.704e+09,-3.5e+08,-2.7e+07,-1.38e+08,-1.85e+08,6.69e+08,-2.28e+08,-2.34e+08,6e+06,4.41e+08,-6e+06,4.35e+08,4.35e+08,4.35e+08,4.35e+08,4.35e+08,1.734e+09,1.734e+09,9.8e+07,3.19e+08,3.06e+08,2.448e+09,1.6476e+10,3.09e+08,2.68e+08,1.6785e+10,1.9233e+10,5.77e+08,8e+06,5.69e+08,1.42e+08,9.4e+07,3.6e+07,2.715e+09,1.5591e+10,1.07e+08,1.05e+08,1.5698e+10,1.8413e+10,1.782e+09,8.2e+08,8.2e+08,1.9233e+10,4.35e+08,1.38e+08,2e+06,-4e+07,5.35e+08,-3.17e+08,-3.17e+08,-3.37e+08,-3.37e+08,-1.19e+08,-1.19e+08,-1.19e+08,8.07e+08,1.7587e+10,0.38941,0.2532,0.53049,0.02262,0.90166,22.45488,0.91442,1.24785,1.24785,4.92828,2.35227,0.0235,19.64436,23.69656
"40","2020_Q3",29.41546875,"Up",1.47e+09,1.461e+09,-3.83e+08,-3.2e+07,-1.38e+08,-2.13e+08,6.84e+08,-2.36e+08,-2.36e+08,0,4.48e+08,-4.2e+07,4.06e+08,4.06e+08,4.06e+08,4.06e+08,4.06e+08,1.341e+09,1.341e+09,1.01e+08,4.28e+08,4.08e+08,2.163e+09,1.6584e+10,3.1e+08,2.73e+08,1.6894e+10,1.9057e+10,4.22e+08,1.2e+07,4.1e+08,7.1e+07,2.2e+07,4.3e+07,4.93e+08,1.7566e+10,1.1e+08,1.09e+08,1.7676e+10,1.8169e+10,1.825e+09,8.88e+08,8.88e+08,1.9057e+10,4.06e+08,1.38e+08,4.4e+07,-2.49e+08,3.39e+08,-2.64e+08,-2.64e+08,-4.05e+08,-4.1e+08,-3.35e+08,-3.35e+08,-3.35e+08,8.22e+08,1.7566e+10,0.46531,0.27619,0.45721,0.0213,4.38742,20.46059,0.92176,1.16466,1.16466,4.21687,2.54733,0.02187,19.73844,23.72076
"41","2020_Q4",30.8253125,"Up",9.82e+08,9.77e+08,-3.43e+08,-2.6e+07,-1.37e+08,-1.8e+08,1.52e+08,-2.19e+08,-2.21e+08,2e+06,-6.7e+07,0,-6.7e+07,-6.7e+07,-6.7e+07,-6.7e+07,-6.7e+07,1.254e+09,1.254e+09,1.13e+08,4.08e+08,3.94e+08,2.061e+09,1.6666e+10,3.03e+08,2.73e+08,1.6969e+10,1.903e+10,5.83e+08,1.7e+07,5.66e+08,2.59e+08,1.79e+08,4.9e+07,8.42e+08,1.7573e+10,7.64e+08,7.39e+08,1.8337e+10,1.9179e+10,-1.49e+08,-1.49e+08,-1.49e+08,1.903e+10,-6.7e+07,1.37e+08,7.2e+07,3.17e+08,4.59e+08,-2.14e+08,-2.14e+08,-3.42e+08,-3.42e+08,-9.7e+07,-9.7e+07,-9.7e+07,2.89e+08,1.7573e+10,0.15479,-0.06823,0.44966,-0.00352,2.44774,-128.71812,0.92344,-0.16125,-0.16125,2.36342,-0.3586,-0.00368,56.46713,107.36184
"42","2021_Q1",34.66,"Up",1.997e+09,1.984e+09,-3.79e+08,-2.5e+07,-1.38e+08,-2.16e+08,6.25e+08,-2.16e+08,-2.18e+08,2e+06,4.09e+08,0,4.09e+08,4.09e+08,4.09e+08,4.09e+08,4.09e+08,1.21e+09,1.21e+09,1.07e+08,3.16e+08,3.02e+08,2.135e+09,1.6723e+10,2.87e+08,2.76e+08,1.701e+10,1.9145e+10,6.74e+08,1.2e+07,6.62e+08,2.09e+08,1.38e+08,6e+07,8.83e+08,1.758e+10,1.43e+08,1.08e+08,1.7723e+10,1.8606e+10,-1.75e+08,5.39e+08,5.39e+08,1.9145e+10,4.09e+08,1.38e+08,1.9e+07,-1.48e+08,4.18e+08,-1.77e+08,-1.77e+08,-3.45e+08,-3.45e+08,-1.04e+08,-1.04e+08,-1.04e+08,7.63e+08,1.758e+10,0.31297,0.20481,0.75881,0.02136,2.41789,34.51948,0.91826,0.84417,0.84417,4.12178,1.11249,0.0224,21.45478,26.192
"43","2021_Q2",36.9411111111111,"Up",1.963e+09,1.95e+09,-3.55e+08,-2.3e+07,-1.39e+08,-1.93e+08,6.18e+08,-2.17e+08,-2.17e+08,-3775142.00951134,4.01e+08,-5.4e+07,3.47e+08,3.47e+08,3.47e+08,3.47e+08,3.47e+08,1.219e+09,1.219e+09,1.03e+08,3.27e+08,3.11e+08,2.12e+09,1.6734e+10,2.99e+08,2.9e+08,1.7033e+10,1.9153e+10,7.18e+08,1.1e+07,7.07e+08,1.71e+08,1.06e+08,3.9e+07,1.739e+09,1.6732e+10,-5.6e+07,-9.8e+07,1.6676e+10,1.8415e+10,7.38e+08,7.38e+08,7.38e+08,1.9153e+10,3.47e+08,1.39e+08,8.7e+07,1.5e+07,5.88e+08,-1.46e+08,-1.46e+08,-4.07e+08,-4.07e+08,3.5e+07,3.5e+07,3.5e+07,7.57e+08,1.7582e+10,0.31482,0.17677,0.47019,0.01812,1.21909,24.95257,0.91798,0.71694,0.71694,4.05579,1.52479,0.019,21.61559,26.47735
"44","2021_Q3",37.234375,"Up",1.889e+09,1.875e+09,-3.78e+08,-2.4e+07,-1.38e+08,-2.15e+08,6.1e+08,-2.15e+08,-2.09e+08,-6e+06,3.95e+08,-1.49011611938477e-08,3.95e+08,3.95e+08,3.95e+08,3.95e+08,3.95e+08,1.239e+09,1.239e+09,1.16e+08,3.4e+08,3.17e+08,2.045e+09,1.6789e+10,2.89e+08,2.68e+08,1.7078e+10,1.9123e+10,6.69e+08,1.6e+07,6.53e+08,1.83e+08,1.16e+08,4.6e+07,1.506e+09,1.6935e+10,-1.23e+08,-1.31e+08,1.6812e+10,1.8318e+10,8.05e+08,8.05e+08,8.05e+08,1.9123e+10,3.95e+08,1.38e+08,-4.1e+07,-5000000.00000003,4.87e+08,-1.7e+08,-1.7e+08,-3.55e+08,-3.55e+08,-3.8e+07,-3.8e+07,-3.8e+07,7.48e+08,1.7589e+10,0.32292,0.20911,0.49068,0.02066,1.3579,22.75528,0.91978,0.81612,0.81612,3.90289,1.66322,0.02162,21.85829,26.80328
"45","2021_Q4",38.1421875,"Up",2.324e+09,2120080285.18876,-3.58e+08,-2.4e+07,-1.4e+08,-1.94e+08,6.16e+08,-2.08e+08,-2.1e+08,2e+06,4.08e+08,-2.7e+07,3.81e+08,3.81e+08,3.81e+08,3.81e+08,3.81e+08,1.713e+09,1.713e+09,1.34e+08,4.12e+08,3.68e+08,2.815e+09,1.682e+10,2.94e+08,2.69e+08,1.7114e+10,1.9929e+10,8.65e+08,1.4e+07,8.51e+08,2.46e+08,1.7e+08,5.3e+07,2.055e+09,1.7171e+10,9.7e+08,9.56e+08,1.8141e+10,2.0196e+10,-2.67e+08,-2.67e+08,-2.67e+08,1.9929e+10,3.81e+08,1.4e+08,2.2e+07,4.9e+07,5.92e+08,-1.79e+08,-1.79e+08,6.74e+08,1.29e+08,5.42e+08,5.42e+08,5.42e+08,7.56e+08,1.8115e+10,0.26506,0.16394,-1.42697,0.01912,1.36983,-75.64045,0.90898,0.78719,0.78719,4.80165,-0.55165,0.07727,21.69577,26.62662
"46","2022_Q1",45.7101612903226,"Up",3.258e+09,2615014726.9383,-3.85e+08,-2.3e+07,-1.4e+08,-2.21e+08,7.23e+08,-1.86e+08,-1.95e+08,9e+06,5.37e+08,-3e+07,5.07e+08,5.07e+08,5.07e+08,5.07e+08,5.07e+08,8.76e+08,8.76e+08,1.76e+08,3.47e+08,3.26e+08,2.212e+09,1.683e+10,3.16e+08,2.83e+08,1.7146e+10,1.9358e+10,1.098e+09,2.1e+07,1.077e+09,2.47e+08,1.56e+08,7.5e+07,1.345e+09,1.7177e+10,1.18e+08,1.07e+08,1.7295e+10,1.864e+10,7.18e+08,7.18e+08,7.18e+08,1.9358e+10,5.07e+08,1.4e+08,4.1e+07,-6.4e+07,6.24e+08,-1.53e+08,-1.53e+08,-1.47e+09,-1.343e+09,-8.72e+08,-8.72e+08,-8.72e+08,8.63e+08,1.7177e+10,0.22192,0.15562,0.70613,0.02619,1.64461,25.961,0.88733,1.04752,1.04752,6.7314,1.48347,-0.03142,18.88876,22.54633
"47","2022_Q2",49.205,"Up",3.328e+09,3.313e+09,-3.99e+08,-2.6e+07,-1.53e+08,-2.2e+08,3.62e+08,-2.03e+08,-2.03e+08,10552591.1037763,1.59e+08,118487566.927391,1.59e+08,1.59e+08,1.59e+08,1.59e+08,1.59e+08,1.156e+09,1.156e+09,1.49e+08,4.05e+08,3.81e+08,2.434e+09,1.6915e+10,3.09e+08,2.79e+08,1.7224e+10,1.9658e+10,1.188e+09,2.4e+07,1.164e+09,4.12e+08,1.16e+08,4e+07,1.6e+09,1.7184e+10,1.234e+09,-1.765e+09,1.8418e+10,2.0018e+10,-3.6e+08,-3.6e+08,-3.6e+08,1.9658e+10,1.59e+08,1.53e+08,5.27e+08,-3.9e+07,8e+08,-8.7e+07,-8.7e+07,-3.95e+08,-3.95e+08,3.18e+08,3.18e+08,3.18e+08,5.15e+08,1.7184e+10,0.10877,0.04778,-0.44167,0.00809,1.52125,-55.60556,0.87415,0.32851,0.32851,6.87603,-0.7438,0.0088,31.12233,44.27624
"48","2022_Q3",47.906875,"Down",4.181e+09,4.166e+09,-4.24e+08,-2.1e+07,-1.56e+08,-2.47e+08,5.55e+08,-2.13e+08,-2.16e+08,3e+06,3.42e+08,523462700.782174,3.42e+08,3.42e+08,3.42e+08,3.42e+08,3.42e+08,1.111e+09,1.111e+09,1.7e+08,4.71e+08,3.18e+08,2.96e+09,1.6861e+10,3.09e+08,2.73e+08,1.717e+10,2.013e+10,1.613e+09,3.1e+07,1.582e+09,6.69e+08,1.24e+08,6.7e+07,3.779e+09,1.5693e+10,1.24e+09,-1.938e+09,1.6933e+10,2.0712e+10,-5.82e+08,-5.82e+08,-5.82e+08,2.013e+10,3.42e+08,1.56e+08,2.86e+08,2e+06,7.86e+08,-1.52e+08,-1.52e+08,-7.37e+08,-7.37e+08,-1.03e+08,-1.03e+08,-1.03e+08,7.11e+08,1.719e+10,0.13274,0.0818,-0.58763,0.01699,0.78328,-35.58763,0.85395,0.70661,0.70661,8.63843,-1.20248,0.01916,22.61463,28.97117
