"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"32","2018_Q3",25.1595238095238,"Down",105781000,-77840000,27941000,-40081000,-40081000,-12140000,-1947000,-2183000,-14087000,-16497000,-2091000,-18588000,-18588000,-18559000,-18559000,36824000,36824000,100279000,100279000,62161000,50844000,24677000,250108000,24706000,74067000,19830000,35268000,18969000,98773000,348881000,103593000,68123000,35470000,42498000,42498000,165139000,137323000,6124000,5340000,143447000,308586000,0,216739000,-140036000,-13399000,39304000,40295000,348881000,-18588000,4332000,1683000,15241000,2668000,-3942000,-3942000,18553000,17279000,17279000,17279000,-7808000,156371000,5581999.99999999,0.26414,-0.11477,-0.17545,-0.46058,-0.0532,-0.30077,1.51453,7.65817,0.44821,-8.03211,-8.03211,45.78075,17.0103,2.41582000000001,-0.09152,0.02753,-15.31084,-9.84736
"33","2018_Q4",22.6079365079365,"Down",236699000,-172369000,64330000,-44287000,-44287000,20043000,-2855000,-3078000,17188000,17652000,-1953000,15699000,15699000,15682000,15682000,52177000,52177000,205412000,205412000,64451000,31452000,26485000,353492000,21187000,72912000,18777000,35197000,18938000,94099000,447591000,191151000,142612000,48539000,30270000,30270000,240786000,145056000,6145000,5358000,151201000,391987000,0,217498000,-124354000,-14548000,54596000,55604000,447591000,15699000,6563000,-40000,-10877000,11345000,-2934000,-2934000,-13180000,-4769000,-4769000,-4769000,26606000,164421000,14748000,0.27178,0.08468,0.06625,0.28203,0.03504,0.94044,1.46808,7.04962,0.36735,6.78698,3.43256,102.44049,23.62849,6.38276,0.06934,0.06521,4.21875,5.60016
"34","2019_Q1",16.9852459016393,"Down",132326000,-91840000,40486000,-42157000,-42157000,-1671000,-3144000,-2992000,-4815000,-2100000,-1243000,-3343000,-3343000,-3247000,-3247000,53282000,53282000,122278000,122278000,53880000,20703000,15780000,250143000,20902000,71796000,17612000,35083000,19101000,92698000,342841000,87488000,57574000,29914000,29403000,29403000,144102000,139792000,7298000,5867000,147090000,291192000,4.54747350886464e-13,218185000,-127601000,-15847000,50737000,51649000,342841000,-3343000,3090000,-5935000,2939000,-3249000,-2198000,-2198000,7693000,2246000,2246000,4733000,1419000,167003000,3403000,0.30596,-0.01263,-0.02454,-0.0628700000000002,-0.00947,-1.04804,1.73587,5.6379,0.48712,-1.40538,-61.96565,57.27407,21.96027,1.47291,-0.01437,0.01506,80.14165,-68.05566
"35","2019_Q2",8.84301587301587,"Down",70826000,-56486000,14340000,-35266000,-35266000,-20926000,-2908000,-2991000,-23834000,-29372000,245000,-29127000,-29127000,-29158000,-29158000,42431000,42431000,67793000,67793000,44685000,33004000,28030000,187913000,20156000,103906000,16422000,35083000,52401000,124062000,311975000,57897000,27914000,29983000,26009000,26009000,112723000,142411000,32647000,31217000,175058000,287781000,0,218554000,-156759000,-14544000,23251000,24194000,311975000,-29127000,3234000,3492000,20506000,-1895000,-2459000,-2459000,-7749000,-12103000,-12103000,-12103000,-17692000,171228000,110000,0.20247,-0.29546,-0.41168,-1.20517,-0.09346,-0.00377,1.66703,11.89473,0.54885,-12.37764,-12.37764,30.0658,9.8701,0.0467,-0.12785,0.00048,-7.27996,-6.15488
"36","2019_Q3",8.09453125,"Down",95182000,-77436000,17746000,-33870000,-33870000,-16124000,-3141000,-2899000,-19265000,-21896000,-589000,-22485000,-22485000,-22542000,-22542000,32125000,32125000,85119000,85119000,53521000,33446000,28523000,204211000,21107000,103426000,15231000,35083000,53112000,124533000,328744000,98016000,64388000,33628000,24498000,24498000,133588000,160656000,32868000,31437000,193524000,327112000,0,218927000,-179301000,-14994000,631999.999999996,1632000.00000001,328744000,-22485000,4239000,546000.000000001,10730000,-6970000,-2746000,-2746000,-191000,-9907000,-9907000,-9907000,-11885000,171730000,-3312000,0.18644,-0.1694,-0.23683,-13.8125,-0.06857,0.14693,1.52866,200.43627,0.52238,-9.5521,-9.5521,40.33306,0.267810000000001,-1.40345,-0.10931,-0.01606,-11.74632,-8.65821
"37","2019_Q4",8.8771875,"Up",280130000,-199271000,80859000,-44586000,-44586000,36273000,-4564000,-4600000,31709000,17430000,-1016000,16414000,16414000,16445000,16445000,71028000,71028000,200788000,200788000,65298000,23357000,18495000,360471000,16925000,102245000,14044000,35083000,53118000,119170000,479641000,196432000,136175000,60257000,38109000,38109000,250814000,170812000,35796000,34365000,206608000,457422000,180000,199818000,-162856000,-15892000,21250000,22219000,479641000,16414000,6998000,16680000,-5118000,34974000,-2407000,-2407000,7173000,39740000,39740000,39785000,43271000,187085000,36762000,0.28865,0.12949,0.0587,0.74013,0.03429,2.23545,1.4372,20.58698,0.39005,6.06692,6.06692,103.34612,7.77319,13.56231,0.0671,0.14999,2.6821,3.19954
"38","2020_Q1",7.7741935483871,"Down",152511000,-106111000,46400000,-47488000,14142000,-1088000,-6395000,-5360000,-7482999.99999999,-19629000,-552000,-20181000,-20181000,-20293000,-20293000,61613000,61613000,117942000,117942000,54259000,26571000,21898000,260385000,15259000,89578000,3488000,35083000,51007000,104837000,365222000,103203000,61196000,39515000,47816000,47816000,152924000,174962000,32832000,32606000,207794000,360718000,483000,200511000,-183149000,-14422000,3423000,4504000,365222000,-20181000,3163000,15021000,-2286000,-4283000.00000001,-1791000,-1791000,-5e+06,-11074000,-11074000,-12544000,2074999.99999999,176867000,-1449999.99999999,0.30424,-0.00713000000000003,-0.13306,-4.50555,-0.05556,0.0714500000000005,1.70271,80.08837,0.48427,-6.84234,-6.84234,51.42322,0.9913,-0.488910000000004,-0.09474,-0.00677,55.5441,-105.93199
"39","2020_Q2",6.54539682539683,"Down",66557000,-50207000,16350000,-32336000,-32336000,-15986000,-5493000,-5533000,-21479000,-11722000,-276000,-11998000,-11998000,-12038000,-12038000,39467000,39467000,64761000,64761000,48233000,23363000,18802000,175824000,15399000,85690000,3092000,35083000,47515000,101089000,276913000,45188000,22785000,22056000,31743000,31743000,88428000,169397000,28136000,27910000,197533000,285961000,790000,200284000,-195187000,-16056000,-10169000,-9048000,276913000,-11998000,1882000,-7531000,-1220000,-18867000,-1585000,-1585000,-172000,-20624000,-20624000,-20624000,-14104000,180894000,-16633000,0.24565,-0.24019,-0.18087,1.33046,-0.04347,1.38171,1.98833,-31.60489,0.65325,-3.98504,-3.98504,22.03291,-3.62785,-5.50616,-0.0602,-0.08317,-10.02744,-8.84693
"40","2020_Q3",5.235,"Down",78758000,-61988000,16770000,-24664000,-24664000,-7894000,-5524000,-5540000,-13418000,-22996000,-272000,-23268000,-23268000,-23276000,-23276000,48133000,48133000,69003000,69003000,57681000,33003000,28448000,207820000,16979000,75621000,2838000,35083000,37700000,92600000,300420000,78797000,53103000,25192000,32312000,32312000,122513000,174164000,25793000,25567000,199957000,322470000,1102000,210157000,-218463000,-15975000,-23179000,-22050000,300420000,-23268000,2579000,11141000,16513000,6965000,-2685000,-2685000,4299000,8579000,8579000,10132000,-5315000,185568000,8785000,0.21293,-0.10023,-0.29554,1.0556,-0.07748,-0.37743,1.69631,-14.62449,0.6177,-7.59363,-7.59363,25.69425,-7.92151,2.86604,-0.12295,0.04641,-25.85795,-17.41006
"41","2020_Q4",4.7340625,"Down",242290000,-167674000,74616000,-36958000,-36958000,37658000,-5451000,-5563000,32207000,32164000,267000,32431000,32431000,32382000,32382000,75189000,75189000,166789000,166789000,54583000,26756000,22125000,323317000,14219000,70055000,2584000,35083000,32388000,84274000,407591000,141039000,95529000,43885000,44217000,44217000,217461000,151379000,25436000,25210000,176815000,394276000,1418000,211641000,-186081000,-14841000,12137000,13315000,407591000,32431000,4531000,3971000,-13085000,27848000,-1850000,-1850000,0,25998000,25998000,24864000,42189000,183584000,26987000,0.30796,0.15543,0.13365,2.43199,0.07945,0.8334,1.48678,29.61142,0.45041,8.44381,8.44381,63.17862,2.79505,7.03703,0.14565,0.12138,2.56927,2.87841
"42","2021_Q1",7.6616393442623,"Up",128267000,-86238000,42029000,-40902000,3533999.99999999,1127000.00000001,-4769000,-4904000,-3642000,-10855000,-454000,-11309000,-11309000,-11342000,-11342000,87953000,87953000,102254000,102254000,38642000,21979000,17239000,250828000,13511000,65030000,2331000,35083000,27616000,78541000,329369000,80283000,30348000,49451000,42108000,42108000,138266000,150410000,26015000,25892000,176425000,314691000,1740000,221596000,-197423000,-12446000,13467000,14678000,329369000,-11309000,1944000,10108000,26878000,27621000,-2070000,-2070000,-15073000,10478000,10478000,8083000,3071000.00000001,166285000,28333000,0.32767,0.00878999999999999,-0.0884199999999999,-0.772719999999999,-0.03444,-2.49806,1.8141,21.43964,0.50486,-2.45764,-2.45764,27.7935,2.54106,6.13933,-0.0548,0.13689,25.507,69.50488
"43","2021_Q2",9.13904761904762,"Up",83843000,-57749000,26094000,-28817000,-28817000,-2723000,-4818000,-4873000,-7541000,-23963000,-88000,-24051000,-24051000,-24086000,-24086000,80406000,80406000,79657000,79657000,36653000,27133000,23480000,223849000,13025000,61531000,2077000,35083000,24371000,74556000,298405000,59715000,31307000,28233000,39499000,39499000,116044000,154960000,30983000,30860000,185943000,301987000,2066000,227119000,-221509000,-12504000,-4828000,-3582000,298405000,-24051000,1793000,17972000,-2675000,-6961000,-1451000,-1451000,-164000,-8576000,-8576000,-8518000,-930000,171790000,-4968000,0.31122,-0.03248,-0.28728,6.72418,-0.08072,0.20626,1.929,-84.30681,0.57569,-4.47778,-4.47778,15.5871,-1.28165,-0.92359,-0.12092,-0.02494,-98.26237,-33.56004
"44","2021_Q3",12.63703125,"Up",112352000,-80455000,31897000,-30076000,-15787000,1821000,-4294000,-4366000,-2473000,-15160000,99999.9999999999,-15060000,-15060000,-15084000,-15084000,37511000,37511000,107898000,107898000,60580000,33325000,32495000,239314000,14657000,61160000,1823000,35083000,24254000,75817000,315131000,107085000,68809000,37573000,42282000,42282000,193444000,95735000,29590000,29467000,125325000,318769000,2397000,241412000,-236593000,-12124000,-4908000,-3638000,315131000,-15060000,2779000,14005000,-13294000,-11570000,-2242000,-2242000,-32286000,-46098000,-46098000,-46478000,4600000,139812000,-11036000,0.2839,0.01621,-0.13426,4.14623,-0.04787,0.73164,1.23712,-87.62205,0.44366,-2.80424,-2.80424,20.88715,-1.35806,-2.05168,-0.091,-0.06658,22.23935,56.17847
"45","2021_Q4",11.17796875,"Down",236957000,-162033000,74924000,-38181000,-37575000,36743000,-2525000,-2654000,34218000,36674000,-298000,36376000,36376000,36334000,36334000,25897000,25897000,209190000,209190000,89796000,13178000,12370000,338061000,12785000,58262000,1569000,35083000,21610000,71047000,409108000,164086000,105271000,58180000,47691000,47691000,224098000,93896000,27360000,27237000,121256000,345354000,2733000,272577000,-200259000,-12609000,62442000,63754000,409108000,36376000,4293000,-762000,-48318000,-8411000,-2650000,-2650000,-90000,-11151000,-11151000,-10829000,41036000,106217000,-9634000,0.31619,0.15506,0.15334,0.56991,0.08881,-0.26515,1.50854,5.41698,0.25963,5.32757,5.32757,34.74443,8.75499,-1.41261,0.18413,-0.04882,1.95731,2.18599
"46","2022_Q1",12.2032258064516,"Up",187964000,-137922000,50042000,-47116000,-16533000,2926000,-2008000,-2198000,918000,-3212999.99999999,60000,-3153000.00000001,-3153000.00000001,-3172000,-3172000,44521000,44521000,147394000,147394000,83954000,11688000,10877000,287557000,13149000,56341000,1315000,35083000,19943000,69490000,357047000,114206000,66131000,47071000,46285000,46285000,173072000,93415000,29587000,29536000,123002000,296074000,3073994.2376114,276025000,-203431000,-12952000,59642000,60973000,357047000,-3153000.00000001,1386000,4368000,18462000,21063000,-1846000,-1846000,-247000,18970000,18970000,19476000,4312000.00000001,105996000,20868000,0.26623,0.0155699999999999,-0.01688,-0.0520199999999998,-0.00888,-6.57881,1.66149,4.85582000000001,0.29687,-0.18039,-0.18039,10.68949,3.39183,1.18676,-0.01614,0.10617,14.25673,21.00991
"47","2022_Q2",13.2345161290323,"Up",120881000,-90964000,29917000,-30651000,-30651000,-734000,-2113000,-2199000,-2847000,-3492000,-417000,-3909000,-3909000,-3809000,-3809000,39225000,39225000,103730000,103730000,85306000,17412000,17412000,245673000,13944000,56152000,1061000,35083000,20008000,70096000,315769000,83751000,36439000,46107000,39375000,39375000,136615000,92934000,29592000,29541000,122526000,259141000,3420000,272831000,-207240000,-13614000,55397000,56628000,315769000,-3909000,1812000,1693000,-2332000,-2736000,-1817000,-1817000,-892000,-5445000,-5445000,-4783000,1078000,106423000,-2654000,0.24749,-0.00607,-0.03151,-0.06726,-0.01206,0.69677,1.79829,4.5762,0.33703,-0.40048,-0.40048,12.7096,5.46494,-0.27905,-0.01977,-0.01378,62.33581,-91.55041
"48","2022_Q3",20.5559375,"Up",220422000,-159532000,60890000,-36930000,-24016000,23960000,-2148000,-2331000,21812000,27541000,-1334000,26207000,26207000,26560000,26560000,62283000,62283000,164020000,164020000,123666000,14519000,14519000,364488000,16243000,62906000,507000,35083000,27316000,79149000,443637000,189436000,86660000,100443000,45625000,45625000,247775000,82453000,31570000,31519000,114023000,361798000,3771000,273635000,-180680000,-15765000,80961000,81839000,443637000,26207000,2556000,-4160000,14682000,39285000,-3457000,-3457000,-10619000,25209000,25209000,27360000,26516000,95167000,39075000,0.27624,0.1087,0.1205,0.32454,0.05987,1.4712,1.47104,4.42085,0.21452,2.77013,2.77013,22.98936,8.05069,4.07541,0.12734,0.18734,1.24016,1.37245000000003
